Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HOCO(14),CH2O(15),HCO(16),CH3(17),CH4(18),CH2(19),CH(20),C2H4(21),CH3OH(22),CH2(S)(23),CH2OH(24),CH3O(25),HCOH(26),CH3OO(27),CH2CO(28),C2H5(29),C2H3(30),C(31),C2H2(32),C2H(33),CH3OOH(34),CH2OOH(35),C2H6(36),CH3CHO(37),C2H5O(38),C2H5O2(39),CH2CHO(40),H2CC(41),C2H4O(42),C2H5O(43),cC2H4O(44),C2H5O2(45),C2H3O2(46),CHCHO(47),OCHCHO(48),HCCO(49),HCCOH(50),CHCHOH(51),C2(52),C2O(53),C2H6O(54),C2H5O(55),C2H5O3(56),CH3CO(57),cC2H3O(58),HOCHO(59),C2H3O3(60),OCHCO(61),C2H6O2(62),C2H5O2(63),C2H4O2(64),HOCH2O(65),OCHO(66),C2H4O3(67),C2H3O2(68),N2,Ne,C7H16(1),O2(2),C4H9(82),C5H11(84),C3H7(83),C7H15(88),C7H15(85),C7H15(86),S(164),S(165),S(206),S(207),S(166),S(208),S(255),C4H8(127),C6H12(193),C5H10(134),C3H6(72),S(267),C6H13(87),C7H15(89),C6H13(188),S(228),S(229),S(334),S(513),S(506),S(290),S(277),S(1639),S(1643)
0.0,0.0038082213198320962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0038082213198320962,2.6083670610455467e-25,2.8655562695413909e-33,3.8657901216043835e-32,1.0938081907044352e-33,2.6309063613684273e-40,0.0,0.0,2.6744731403562329e-23,3.7217769426117685e-35,2.6105135998297703e-50,4.6310997199187789e-51,1.8404422173372686e-63,2.1509216214974479e-32,4.2935183878825666e-48,1.0092058882094134e-21,3.5836796235589379e-32,7.4473148267230516e-44,1.3896985857147612e-44,1.4235938188088137e-29,2.854257462716646e-46,2.0502728949549185e-45,3.1182856179337169e-45,2.6119982762717424e-35,7.5813332416414746e-55,1.4586387300336413e-29,1.5558888399347467e-53,1.3970089775286805e-21,6.1603490183235819e-50,6.0697155009948588e-65,1.3416293874133166e-50,2.9429109573101648e-77,5.5621805678658887e-41,1.8523765681028945e-34,3.1668037825867761e-33,1.7006674711637823e-32,4.6639687752149121e-35,6.1337388106436046e-29,7.4839708518591768e-48,3.8817243191230263e-52,8.4561434461696139e-46,1.4070566251813609e-44,1.6599558473338303e-40,1.5286245662902327e-33,3.7269853975476333e-52,7.7519916481402903e-59,3.0588694420295509e-58,3.1570542696898374e-73,2.6020323023639958e-74,1.0966922900622489e-67,1.5334497870041445e-106,1.349697750227419e-97,-1.9102655702385501e-58,4.9682645845228441e-44,1.1954744149141109e-52,9.1783834236531244e-49,1.750760204436745e-61,3.6037118510604767e-45,3.5106923196593328e-56,6.1004258147388146e-74,1.5023518765451211e-39,2.8904443700578253e-33,9.6113359439532182e-38,2.5187490379882698e-48,1.2230866947455658e-66,-8.8681803058730793e-86,1.2532924914707253e-68,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.6498215083367375e-21,1.397008946812667e-21,1.6498215881615346e-21,1.1598858031631694e-23,9.6080033714212512e-24,4.8040016894917553e-24,1.0729837601418495e-28,9.1757290171307629e-29,2.6183054817463372e-30,2.1799343791986558e-30,2.7553090377782174e-29,1.0828204428000956e-30,4.2602489145044975e-33,4.0308580624615723e-31,2.1069652483828554e-31,3.053672425081315e-31,4.9827703237609774e-31,5.9144034503108578e-31,1.0092057971799318e-21,9.9469285612694691e-25,3.2258662865464716e-29,6.8589595458227186e-29,6.9670480214616122e-36,9.8870199478228936e-40,6.7952630955065745e-32,1.1364586405409894e-37,6.4933036542412933e-31,7.6412107815141039e-32,1.652510554318948e-38,3.5151717969849169e-41
3.0000000000000002e-15,0.0038082213198320962,8.5703591082405069e-25,1.012107284000563e-32,2.5403815189856513e-31,7.1878861130587933e-33,2.4805723621835441e-39,0.0,0.0,8.7875565346166624e-23,2.4457393673357575e-34,2.4613761427171308e-49,4.3665812273209548e-50,2.2610960196326741e-62,1.4134630392706596e-31,4.048174803593359e-47,3.3159621655836865e-21,2.354989455011888e-31,4.8941358637184007e-43,9.1323012005230332e-44,9.3550448780279307e-29,2.6911570164997005e-45,1.3473252080548048e-44,2.9400975952485303e-44,1.716455991998461e-34,7.1483797800978271e-54,9.585340173144861e-29,1.46718089838158e-52,4.5901721449279279e-21,5.8083287677376923e-49,5.7230253941840463e-64,1.2649648842216166e-49,3.6155774852012786e-76,5.244341658438698e-40,1.2172502942533555e-33,2.0810424443430796e-32,1.1175863736680449e-31,3.0648929675771045e-34,4.030742565581425e-28,7.056315390881983e-47,3.6599110868843613e-51,7.9729338866839247e-45,1.3266531437279945e-43,1.5650996457957184e-39,1.0045232584393926e-32,3.5140229235577145e-51,9.523874467997588e-58,3.7580394948235361e-57,4.7806811971754598e-72,3.2136887807060265e-73,1.347364593028624e-66,2.3225968416591523e-105,2.4294554798832693e-96,1.1297858172450355e-56,4.6843627093179145e-43,1.4687254887855613e-51,8.6539300649699175e-48,2.1509253056201082e-60,3.3977489414911312e-44,4.313146103272914e-55,9.2353850264814594e-73,1.4165031779035153e-38,1.8993856953572185e-32,6.3160207820499466e-37,2.3747931068504949e-47,1.502633275190132e-65,4.7381403689508399e-84,1.8978333377100226e-67,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.4208417409735997e-21,4.590171943079847e-21,5.4208422655365236e-21,3.8110524907752768e-23,3.1569146721026157e-23,1.5784573385360866e-23,7.0510359011414412e-28,6.0297645710817644e-28,1.7206004996977079e-29,1.4325281112244547e-29,1.8106316521632968e-28,7.1156761760703888e-30,2.7995970283243644e-32,2.6488495385606611e-30,1.384577148692313e-30,2.0066989908790408e-30,3.2743920441834336e-30,3.8866084695999903e-30,3.3159615673899827e-21,3.2682763277456115e-24,2.1198546900080736e-28,4.5073160495116704e-28,6.5689301517177863e-35,9.3220584169808439e-39,4.4654584635492411e-31,1.0715182121044926e-36,4.2670266406763931e-30,5.0213695476046631e-31,1.5580818622775413e-37,3.3143095971108609e-40
7e-15,0.0038082213198320962,1.9003905353887395e-24,2.6983250824887759e-32,1.3806603510826199e-30,3.9064729893046878e-32,4.0065521221706884e-38,0.0,0.0,1.9485463869242716e-22,1.3292070040898374e-33,3.9759233307366461e-48,7.0526736215905849e-49,1.1435803569435412e-60,7.6818735170479867e-31,6.5384204570047414e-46,7.3527854235604615e-21,1.2798855312975287e-30,2.6598188673350733e-42,4.963193766167073e-43,5.0842627532372756e-28,4.3466260395241208e-44,7.3222993560533546e-44,4.7486990426085247e-43,9.3285645329806434e-34,1.1545801681203186e-52,5.2094238204492237e-28,2.3726803329463422e-51,1.0178206449546695e-20,9.3813264641978669e-48,9.2435158942834286e-63,2.0431104413568358e-48,1.8288080882787662e-74,8.4704060753111319e-39,6.6145807222170959e-33,1.1310011821875441e-31,6.0740119797079036e-31,1.6656998741193692e-33,2.1906206716365177e-27,1.1397018735820659e-45,5.9113048080551765e-50,1.28774760747864e-43,2.142742197201626e-42,2.5278496478402958e-38,5.4593140243359995e-32,5.6757996668161273e-50,4.8173026108790314e-56,1.9008681733092709e-55,7.8953267867071839e-70,1.7281862138088601e-71,6.8151447262233661e-65,3.836588689786668e-103,1.3525868685122033e-93,2.1798435050383188e-55,7.5659401037542528e-42,7.4290050432668376e-50,1.3977788575242912e-46,1.087915425302636e-58,5.4873387967683571e-43,2.1817091286923329e-53,1.5193311749309804e-70,2.2878669578162179e-37,1.0321009571452796e-31,3.4326200570058956e-36,3.8352448818176831e-46,7.5995499269428405e-64,1.7297346504733543e-81,3.1340533792051391e-65,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.2020125036012946e-20,1.0178205352546719e-20,1.2020127886897649e-20,8.4505891036261463e-23,7.0001105006718455e-23,3.5000552638402528e-23,3.8320838909607196e-27,3.2770452142019261e-27,9.3510809918915719e-29,7.7854719653885352e-29,9.8403893702953155e-28,3.867211707697115e-29,1.5215373982044973e-31,1.4395919801668647e-29,7.5248752942294055e-30,1.0905971668975673e-29,1.7795613078473644e-29,2.1122889374432316e-29,7.3527821725088513e-21,7.2470462254257686e-24,1.152093885300128e-27,2.4496274975159238e-27,1.0609805052215807e-33,1.5056700186060891e-37,2.4268790973237081e-30,1.7306652306764177e-35,2.3190310015181373e-29,2.7290138979782948e-30,2.5165454237843189e-36,5.3531826379216411e-39
1.5e-14,0.0038082213198320962,3.9871196394190242e-24,7.4453045331428597e-32,6.1081752469239693e-30,1.7282333109749251e-31,3.7262443638230548e-37,0.0,0.0,4.0881316142993277e-22,5.8804178578101514e-33,3.6983117550969884e-47,6.5591749500830118e-48,2.1990800768283286e-59,3.3984675830462581e-30,6.0808606818412821e-45,1.542643118895912e-20,5.6622132812232557e-30,1.1767151790011552e-41,2.1957070685861666e-42,2.249277278044058e-27,4.0424433391794669e-43,3.2393095674286401e-43,4.4163733038487479e-42,4.1269564783724235e-33,1.073821208339716e-51,2.304648960963835e-27,2.2109577997402257e-50,2.1354270972069069e-20,8.7248029891886092e-47,8.5966944205502656e-62,1.9001317606494508e-47,3.5172778902630679e-73,7.8776361318946666e-38,2.9256219740427898e-32,5.0035481551277012e-31,2.6872699803450029e-30,7.3690354773330156e-33,9.691303735391988e-27,1.0599441603348232e-44,5.4976154340562965e-49,1.1976264917827326e-42,1.9927851364678049e-41,2.3509134310528903e-37,2.4151626697803697e-31,5.2787755979768857e-49,9.2649292025336471e-55,3.6558701779408718e-54,3.0975181366882373e-68,3.619713534415891e-70,1.3107286412073528e-63,1.5057204633912345e-101,1.072920855647906e-91,3.9089864558803907e-54,7.0364437405356392e-41,1.4287902006443741e-48,1.3000160347269166e-45,2.0921973261460916e-57,5.1025395303604997e-42,4.1961753127594735e-52,5.9273725919558554e-69,2.1277587629349958e-36,4.5647373259685081e-31,1.5185911622672512e-35,3.5662577523473723e-45,1.4613122703161701e-62,1.3134965272141882e-79,1.2294289848548753e-63,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.5218684655859101e-20,2.1354266118944554e-20,2.5218697268167453e-20,1.7729645529886488e-22,1.46864881069462e-22,7.343244113216266e-23,1.6953132975692655e-26,1.4497642528024767e-26,4.1369118515725099e-28,3.4442877266815253e-28,4.3533882253484817e-27,1.710851809875566e-28,6.7314083972832241e-31,6.3687537418004018e-29,3.3290044525141872e-29,4.8248010524181565e-29,7.8727822703960475e-29,9.3447789415037351e-29,1.5426416806315185e-20,1.5204582134317505e-23,5.0968555959115842e-27,1.0837146241337714e-26,9.8672996114553362e-33,1.4003252106785167e-36,1.0736509434167827e-29,1.6095525456569147e-34,1.0259354816515874e-28,1.2073221487860624e-29,2.3404448821060292e-35,4.9786631182586431e-38
3.1e-14,0.0038082213198320962,8.1606572669692876e-24,2.2437506936498882e-31,2.5461024532676854e-29,7.203655167630122e-31,3.1450696774478675e-36,0.0,0.0,8.3673171108399711e-22,2.451065193255258e-32,3.1224130755318462e-46,5.5360650543489392e-47,3.7378413856662952e-58,1.4165457726488125e-29,5.1322481704111047e-44,3.1573719717537419e-20,2.3601085388671141e-29,4.9048794245718638e-41,9.1520079526947145e-42,9.3753735710907894e-27,3.411814945008168e-42,1.350139929428745e-42,3.7274021597581516e-41,1.7201867197920866e-32,9.0637512020192484e-51,9.6061758351652308e-27,1.8732083996069099e-49,4.3706383670265083e-20,7.3637086459633823e-46,7.2557320863049563e-61,1.6037093296611595e-46,5.9801682327964401e-72,6.6487114563070021e-37,1.2189056917391561e-31,2.0855648561818178e-30,1.1202042368320199e-29,3.0715249935976666e-32,4.0395019125953544e-26,8.9459121889572518e-44,4.6399637256160832e-48,1.0107899460080839e-41,1.6818986379069145e-40,1.9841104945418954e-36,1.0066508870146948e-30,4.4555689235293794e-48,1.5752447887780244e-53,6.2158120951852383e-53,1.05742171120959e-66,7.1491526514001195e-69,2.2285265202419037e-62,5.1441451633663212e-100,7.3403477455449202e-90,6.6888700989941953e-53,5.9387098472472804e-40,2.4292582388333834e-47,1.0973033352789362e-44,3.5567059535082458e-56,4.3052286454126807e-41,7.1350383654939225e-51,2.0012467805650421e-67,1.7958242454587423e-35,1.9016218781015007e-30,6.3297519889392863e-35,3.0089349807889379e-44,2.4836185995110685e-61,9.1534047754142926e-78,4.1960920608834063e-62,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.1615776014654002e-20,4.3706363441627235e-20,5.1615828584899292e-20,3.6287691184996255e-22,3.0059187116321313e-22,1.5029593807179371e-22,7.0663551110590914e-26,6.0428646018709931e-26,1.724331478476134e-27,1.4356347854054398e-27,1.814567760382733e-26,7.1311057574137783e-28,2.8058713054555218e-30,2.6546061600815822e-28,1.3875865391530503e-28,2.0110601733441636e-28,3.2815148011334784e-28,3.8950764196191092e-28,3.1573659768248993e-20,3.1119638406238265e-23,2.1244515766176737e-26,4.5171059528981336e-26,8.3279548633331444e-32,1.1819117503864964e-35,4.4751605080448235e-29,1.358462090039284e-33,4.276245956067711e-28,5.0323804517747624e-29,1.975348984505833e-34,4.2021541253440192e-37
6.300000000000001e-14,0.0038082213198320962,1.6508050199117146e-23,7.4415430448501702e-31,1.0376388993872536e-28,2.9355924504282649e-30,2.5742723003287916e-35,0.0,0.0,1.6925748271012571e-21,9.988263748109462e-32,2.5572294848641784e-45,4.5311927346419019e-46,6.1287651954217839e-57,5.7725453364553528e-29,4.2004837312754783e-43,6.3868284765822244e-20,9.6175682388071524e-29,1.9988709608641148e-40,3.7294276928184662e-41,3.8205118420227255e-26,2.7923830731936576e-41,5.5014031671602189e-42,3.0506591651807504e-40,7.0098510529737501e-32,7.41936576953674e-50,3.9145678394590235e-26,1.5448148540659211e-48,8.841054367935766e-20,6.0267754809010669e-45,5.9386558463580293e-60,1.3125504593263536e-45,9.8111230710423641e-71,5.4416060912141133e-36,4.9626929629516019e-31,8.4987827787112444e-30,4.5657317165152212e-29,1.2516493554475558e-31,1.6461175358866107e-25,7.321741585688965e-43,3.7975327369212481e-47,8.2726840950989856e-41,1.3765278269035363e-39,1.6237936235423296e-35,4.1019065782171946e-30,3.6471146870002757e-47,2.5843529467404125e-52,1.0197741010919715e-51,3.4737250510228299e-65,1.4988161606769959e-67,3.6561139650561156e-61,1.6925050721120556e-98,4.8256404224894965e-88,1.1052870702790851e-51,4.8604488106311908e-39,3.9854375647272616e-46,8.9823266806655886e-44,5.8335199052532994e-55,3.5214642540078307e-40,1.1707747390174998e-49,6.4330569978747495e-66,1.4697829145545572e-34,7.7407822310349116e-30,2.5794085855790684e-34,2.4610496930506702e-43,4.0715637590517719e-60,6.080799013062012e-76,1.3778652471264422e-60,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.0440984720891627e-19,8.8410461246785662e-20,1.0441006143514813e-19,7.3403513708409532e-22,6.0804360324639674e-22,3.0402181177072788e-22,2.8795739550902321e-25,2.4624964576884196e-25,7.0267020868944599e-27,5.8502560618184597e-27,7.3944618152284358e-26,2.9059467410834237e-27,1.1434917466172467e-29,1.0817656265965821e-27,5.6544878976266503e-28,8.1951738818596483e-28,1.3372370909959607e-27,1.5872731531854424e-27,6.3868040469775355e-20,6.2949688766721477e-23,8.6572041002330495e-26,1.8407413302703028e-25,6.8159271947857756e-31,9.6739476874138886e-35,1.8236497332737096e-28,1.11183086096957e-32,1.742568059811239e-27,2.0507646623907723e-28,1.6167434932171792e-33,3.4395120348051019e-36
1.2700000000000001e-13,0.0038082213198320962,3.3204106764310652e-23,2.6634970984488969e-30,4.1880522082646013e-28,1.1846957599600305e-29,2.0815714861660911e-34,0.0,0.0,3.4042851259156617e-21,4.0307482160816272e-31,2.0702189113583669e-44,3.6637360851875656e-45,9.9071666979911968e-56,2.3295187153041918e-28,3.3960280774795181e-42,1.2845736682693922e-19,3.8811217835791958e-28,8.0672064962297677e-40,1.5049400557100611e-40,1.5417461807226322e-25,2.2575777795669921e-40,2.2196696633950376e-41,2.4663643231961909e-39,2.828789184854821e-31,6.0003023130131951e-49,1.5797043032210741e-25,1.2678539757244484e-47,1.778186021491083e-19,4.8724850111451501e-44,4.8016549468016165e-59,1.0611710139643688e-44,1.5878178982745495e-69,4.3994156650029317e-35,1.9991203435798099e-30,3.4296372043584301e-29,1.8431534210738252e-28,5.0508600325465234e-31,6.6428169027764854e-25,5.9194668664706764e-42,3.0701816893963156e-46,6.6881524591201197e-40,1.1128689319001453e-38,1.3126516242787976e-34,1.6551027926476906e-29,2.9493785424912427e-46,4.1824494242678248e-51,1.650393498073368e-50,1.1248672863648577e-63,3.480275816443168e-66,5.9169089609168031e-60,5.4975973879525168e-97,3.1259973373683372e-86,1.7964623495004608e-50,3.9294663846479003e-38,6.4498852386481706e-45,7.2644252200982189e-43,9.435558042526167e-54,2.8435911815985912e-39,1.8953884773292605e-48,1.9973278397022506e-64,1.1882849283508418e-33,3.1169774343983095e-29,1.0409081966804242e-33,1.9871256121928266e-42,6.5793993466084233e-59,3.9611726520455262e-74,4.4580166486326082e-59,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.0999754350622758e-19,1.778182694982347e-19,2.0999840800291607e-19,1.4763408363070999e-21,1.222938075176489e-21,6.1146907853711401e-22,1.1620349429662422e-24,9.937256748868888e-25,2.8355578198893485e-26,2.3608156614824932e-26,2.9839993508139013e-25,1.1726667041914537e-26,4.6151831789533627e-29,4.3654069012654962e-27,2.2818393965837781e-27,3.3071186854933753e-27,5.3963722442000832e-27,6.4054321691993422e-27,1.2845638098645656e-19,1.2660954075499504e-22,3.4935317430919481e-25,7.4281921751088934e-25,5.510446269192031e-30,7.8222147026575611e-34,7.3592311415485875e-28,8.9889671106873822e-32,7.0318451507785983e-27,8.2761036594259673e-28,1.307146776166063e-32,2.7812188865281441e-35
2.55e-13,0.0038082213198320962,6.6601302639957178e-23,1.0021668581277433e-29,1.6830029161477566e-27,4.7596061254037704e-29,1.6742516239853912e-33,0.0,0.0,6.8278019902108726e-21,1.6192691893715621e-30,1.6690283565493516e-43,2.9464840992625518e-44,1.5901169962957927e-54,9.3584921942882318e-28,2.7306855591408524e-41,2.5763533880763781e-19,1.5591335048472893e-27,3.2414705849921682e-39,6.0452640388553574e-40,6.1935206441437627e-25,1.8152428137250468e-39,8.9137453541568186e-41,1.9830828835946259e-38,1.1363868893395208e-30,4.827723105597794e-48,6.3460253392899881e-25,1.0498487074495485e-46,3.5663367290097861e-19,3.9177621351936144e-43,3.8614743707276488e-58,8.5325859759702761e-44,2.5543949222315715e-68,3.5374258342120586e-34,8.0025444994647605e-30,1.3777586069475013e-28,7.4097502719518752e-28,2.02895628670029e-30,2.6685614590426605e-24,4.7596557298578704e-41,2.4685716331829539e-45,5.3775216629048505e-39,8.9478484719349038e-38,1.0552208339788338e-33,6.6473028294540721e-29,2.3727345060410082e-45,6.7284007939131178e-50,2.6550821621500767e-49,3.6199132924709109e-62,8.9917407116183827e-65,9.5185023752716923e-59,1.7800630852098817e-95,2.0121264523565827e-84,2.897358326924855e-49,3.1593994860501214e-37,1.0375937637252752e-43,5.8449487790755609e-42,1.5162301287550453e-52,2.280945267781737e-38,3.0511925250714872e-47,5.9378185785085995e-63,9.5545872623002441e-33,1.2467487379914333e-28,4.1815668860116619e-33,1.5936582930820891e-41,1.0552686908986714e-57,2.5582109795152148e-72,1.4321774068975873e-57,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.2117115175277119e-19,3.5663233658134155e-19,4.2117462460856984e-19,2.9609092315878973e-21,2.4526910515395061e-21,1.2263456902625629e-21,4.6681320818585883e-24,3.9919983200944747e-24,1.1390806854380208e-25,9.4837157750557152e-26,1.1987402214877029e-24,4.7107551290302262e-26,1.8545679328239295e-28,1.7536781183994849e-26,9.1666512860585893e-27,1.3285412516376709e-26,2.1678584249705636e-26,2.5732620310447342e-26,2.5763137849828079e-19,2.539282498066947e-22,1.4033978791804439e-24,2.9840487350373252e-24,4.4306453255032011e-29,6.2912687158722524e-33,2.9563545853419441e-27,7.2278391336244804e-31,2.8246877580907049e-26,3.3249732117282175e-27,1.0511080757658152e-31,2.2370122013852395e-34
5.11e-13,0.0038082213198320962,1.3341602490564473e-22,3.8818743861109992e-29,6.7507949230486037e-27,1.9082158731614945e-28,1.3435732303630593e-32,0.0,0.0,1.3675220781841744e-20,6.4910351007585778e-30,1.3456594305222172e-42,2.3640084069828539e-43,2.5391836205925722e-53,3.751570499930799e-27,2.1900670118306876e-40,5.1599051420509565e-19,6.2497625093686154e-27,1.2998941548510489e-38,2.4229004444616384e-39,2.4826480031989138e-24,1.4558071513730725e-38,3.5705270990880407e-40,1.5903519791830201e-37,4.5551808090785836e-30,3.876730944973097e-47,2.5437940402966936e-24,8.90771147122213e-46,7.1425962970305178e-19,3.1419428697305087e-42,3.0978661850443211e-57,6.843154965149357e-43,4.0978490290276073e-67,2.8369857187219121e-33,3.1852955818973338e-29,5.5226965004841633e-28,2.9744561258954638e-27,8.1323404100653581e-30,1.0696832773340706e-23,3.8172143065059584e-40,1.9796762036145089e-44,4.3124025371704697e-38,7.1755127816664124e-37,8.4589467544042018e-33,2.6632667439953689e-28,1.9048954191353634e-44,1.0793626302344985e-48,4.2594360255743682e-48,1.1615096298616622e-60,2.530962098929773e-63,1.5268954766076389e-57,5.7817166795572468e-94,1.2912875796281167e-82,4.6565770965541296e-48,2.5335623136441998e-36,1.6644520898440026e-42,4.6937207073626725e-41,2.4269148333428775e-51,1.8205747493825444e-37,4.9011552688801764e-46,1.6529725478605521e-61,7.6626630694165355e-32,4.9547165342834259e-28,1.6761791149264664e-32,1.2715498854614954e-40,1.6827633367664998e-56,1.6461466566013675e-70,4.5797126255903345e-56,0.88168480800000004,0.0,0.0094599999999999979,0.10885,8.435112309877334e-19,7.1425427319382758e-19,8.4352515170864494e-19,5.9298740240140885e-21,4.9120531458594058e-21,2.4560272322325458e-21,1.8711955412966829e-23,1.6001701708934075e-23,4.5657759125428822e-25,3.801365052941545e-25,4.8051386764842539e-24,1.8882110900963024e-25,7.438379449208588e-28,7.0295630447147977e-26,3.6744312458329268e-26,5.3254181240607349e-26,8.6899462777819709e-26,1.0315334183061172e-25,5.1597463962735285e-19,5.0856168825810399e-22,5.6252419117508248e-24,1.1961333956929662e-23,3.5531417103980751e-28,5.0482425523338201e-32,1.1850394864512774e-26,5.7968353252471575e-30,1.1321419806958126e-25,1.333032489819383e-26,8.4309886879960148e-31,1.7952283888684989e-33
