Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),HOCO(37),HCOH(38),CH3OO(39),CH3OOH(40),CH2OOH(41),C2H5O(42),C2H5O2(43),H2CC(44),C2H4O(45),C2H5O(46),cC2H4O(47),C2H5O2(48),C2H3O2(49),CHCHO(50),OCHCHO(51),HCCOH(52),CHCHOH(53),C2(54),C2O(55),C2H6O(56),C2H5O(57),C2H5O3(58),cC2H3O(59),HOCHO(60),C2H3O3(61),OCHCO(62),C2H6O2(63),C2H5O2(64),C2H4O2(65),HOCH2O(66),OCHO(67),C2H4O3(68),C2H3O2(69),N2,Ne,C7H16(1),O2(2),CH4(3),C4H9(99),C5H11(101),C3H7(100),S(160),S(162),S(161),S(177),C7H15(105),S(194),S(267),S(266),S(268),C7H15(102),S(310),C7H15(103),S(829),S(830),S(859),S(882),S(752),S(926),C7H15(106),S(900),S(992),S(1016),S(1066),S(847),S(779),S(1065),S(1245),S(1588),S(184),S(1604)
0.0,0.0020477699652703646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0020477699652703646,1.3335214467412368e-24,3.085187015506266e-32,5.2001628658001441e-33,3.7458873325771453e-32,7.1967525577756002e-41,0.0,0.0,5.9314369742070112e-22,2.0368695351985644e-33,9.3327331058919185e-38,1.7695404291942012e-44,3.312164590389545e-48,6.7540224213728451e-58,2.963965142094503e-47,1.5646110444636312e-37,4.6705417365241235e-22,3.5002013749305997e-33,-4.8867547174247683e-79,9.7086706540524608e-77,6.7358869204151704e-51,4.7974575607870279e-49,2.508207550835838e-32,9.6981219128213948e-46,3.7204707378377785e-35,3.3001656914093881e-59,1.2479583302956743e-48,6.2839391671575486e-29,2.6678183998572487e-32,4.8793636115804189e-21,6.6034556615250451e-44,1.3568994374213902e-59,5.8863480120848874e-56,7.1972775947390583e-44,7.864782053725923e-72,3.6362296243145642e-54,1.6089806516667921e-29,2.8301484418832463e-40,1.312849766472386e-41,1.4953965270733671e-42,4.2112608880324434e-28,1.8367801848763533e-54,3.1142247581590735e-59,6.6624573022820509e-52,2.584871025917476e-47,1.4785029992844507e-40,1.4751505856162354e-55,2.5411836026497905e-57,9.6994200712002866e-57,1.167521326899865e-84,1.0035128819011501e-76,-3.434421933365262e-109,-6.9923266939796344e-103,3.1905022867753461e-53,3.5619562353188362e-50,6.8791169127040192e-59,1.27846003063323e-67,4.8400995306541959e-56,9.0302424831329837e-67,6.6684942492268894e-72,5.6124389394784324e-38,6.0925857569507358e-40,2.8122494686040384e-50,1.6989109846023493e-51,5.7208040728527195e-75,-3.3425899030978193e-86,-2.862101298911006e-78,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,5.9205359034181532e-21,4.8793637713874021e-21,5.9205359962927649e-21,3.0721269850640288e-28,2.2115692498875391e-28,2.5318696429984286e-28,1.4121746475238588e-36,5.457495839490959e-23,3.7941431841332108e-37,2.187318155817725e-29,5.6598764926726593e-43,1.5206604666773715e-43,4.5057898711117896e-23,6.9493047491089471e-39,2.2528949350115507e-23,1.8058824998005839e-29,9.0294123171396217e-30,2.0275557274781549e-37,8.126271642918422e-44,1.7073167996872059e-51,5.9771270774193719e-57,5.2611748283096838e-24,5.417498163319209e-52,9.5271378194334539e-52,2.729988882716921e-31,8.6832803356885833e-41,4.0410585586673311e-38,5.7374496706927736e-39,1.1437822865652448e-44,3.1484450420601342e-50,1.2618701517275784e-56,4.374708789149362e-37,1.4167661102721051e-64
3.0000000000000002e-15,0.0020477699652703646,4.381570620606225e-24,1.0707795550151342e-31,3.4172498871603508e-32,1.6374495581641511e-31,6.7855095652128923e-40,0.0,0.0,1.9489007782501458e-21,1.3385142833534321e-32,6.1329127358330593e-37,1.6684186478079235e-43,3.1228981086002021e-47,6.3680536985373233e-57,1.9477481394201396e-46,1.0281683871590322e-36,1.5346065803938992e-21,2.3001323385691755e-32,2.8901719766200958e-77,1.1928563875845937e-75,6.3515138467463192e-50,4.523315403415319e-48,8.2411711790677733e-32,9.1439435347025237e-45,2.444880776876605e-34,4.0740213064182769e-58,1.1766462466469876e-47,4.1294456338382527e-28,1.7531377390811657e-31,1.603219332423153e-20,6.226114404007153e-43,2.0546874428790925e-58,7.231878802798627e-55,8.8421265484981087e-43,9.6806666066939533e-71,3.4284474528215867e-53,1.0573301429248627e-28,2.6684258811288147e-39,1.2378060010140899e-40,1.4105057420000207e-41,2.7673999026079158e-27,1.207170013734615e-53,4.716981246984056e-58,8.1878014394468698e-51,3.1756984671945043e-46,1.3940169867501737e-39,1.8123276498641542e-54,3.1218295565017125e-56,1.1916429294921729e-55,2.1016542712931321e-83,1.5197047148742315e-75,1.8349358943992792e-107,1.1066539146176955e-95,3.9226989349759519e-52,4.3774523669490989e-49,1.0419526402042689e-57,1.9359472750306763e-66,7.3291664948273465e-55,1.6254130383116665e-65,1.0095414845298345e-70,5.2917280423158254e-37,5.7442322291680401e-39,3.4550491057614509e-49,2.0871888892847844e-50,7.0813200812431806e-74,1.6904065853686642e-84,2.3751459051738698e-76,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.9453188344918152e-20,1.603219437439165e-20,1.9453188955237022e-20,2.0188262481128435e-27,1.4533169081741818e-27,1.6638000049161043e-27,1.3314787249126572e-35,1.7931764844089053e-22,3.5773344626289823e-36,1.4373801567460018e-28,6.953561384942009e-42,1.8682397144651277e-42,1.4804732223166335e-22,6.5522005236361138e-38,7.4023661080062278e-23,1.1867225133484231e-28,5.9336123952711147e-29,1.9116947082487401e-36,9.9837019908754967e-43,2.5853631605612376e-50,1.0758820760950377e-55,1.728671660909205e-23,7.2168861449669348e-51,1.5413556172647789e-50,1.7939926571843289e-30,8.1870928170578608e-40,3.8101398867769682e-37,5.409594539953971e-38,1.0784248501939395e-43,3.8680935269377045e-49,1.9108334592566979e-55,4.1247242454949762e-36,2.5501805992778992e-63
7e-15,0.0020477699652703646,9.7156575763790864e-24,2.7416041516371305e-31,1.857201039749667e-31,6.2476226727774323e-31,1.095962612011361e-38,0.0,0.0,4.3214760129339406e-21,7.2745347627796284e-32,3.3330122273292337e-36,2.6946721399324435e-42,5.0439545922946399e-46,1.0285007623163522e-55,1.0585574186065464e-45,5.5877095284088125e-36,3.4028233501607412e-21,1.2500719460267469e-31,5.5760459711079142e-76,6.0345547365627953e-74,1.0260100354684988e-48,7.3058141842360267e-47,1.8273372379450387e-31,1.4768854504629403e-43,1.3287395749143097e-33,2.1791949343953247e-56,1.9004593159440522e-46,2.2442635615860172e-27,9.5279201418289809e-31,3.5549637061089191e-20,1.0056104285348992e-41,3.3922000551168441e-56,3.6584698591133762e-53,4.4709955307784441e-41,5.1860288711945414e-69,5.5374628226162232e-52,5.7463594865980679e-28,4.3099119058080835e-38,1.9988922780459361e-39,2.2777282391127961e-40,1.5040212988530251e-26,6.5613517885323029e-53,7.7897532853116195e-56,4.141072162243516e-49,1.6063112500216081e-44,2.2515467701418706e-38,9.1669932292074659e-53,1.5778757669886897e-54,6.0274896604267463e-54,1.171240944034945e-80,2.5122588155229135e-73,6.7000761031831598e-105,1.0366844526414289e-93,1.9834979643400019e-50,2.2139446809988406e-47,1.7207145541976896e-55,3.1970751535766472e-64,1.2101053246734553e-52,9.0463672528019642e-63,1.6609035216109598e-68,8.5469403449213181e-36,9.2747601903320408e-38,1.7476105819745517e-47,1.0554584746686466e-48,4.3026909527172831e-72,2.6246763938578995e-81,5.8117471074745485e-74,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,4.313532390829742e-20,3.5549642768478828e-20,4.3135327225246752e-20,1.0971879790116475e-26,7.8984604861205154e-27,9.0423896972939293e-27,2.1505364975226204e-34,3.9761693106875095e-22,5.7779291895223349e-35,7.8118364540567071e-28,3.5172013117974642e-40,9.4497997057419242e-41,3.28278463703119e-22,1.0582780344108627e-36,1.6413923165716732e-22,6.4495692492678419e-28,3.224784347683135e-28,3.0876663604273008e-35,5.0498765231109657e-41,4.2696954274353183e-48,5.9898511968994362e-53,3.83314106888064e-23,4.6326246658468988e-49,3.2741615853691425e-48,9.7499587787779224e-30,1.3223393530935e-38,6.1539378145553932e-36,8.7373020128170945e-37,1.7418424992724036e-42,1.9565593838672667e-47,3.1557968652695828e-53,6.6620370817431045e-35,1.4198188934157539e-60
1.5e-14,0.0020477699652703646,2.0383834463060977e-23,7.1949804371849231e-31,8.2162575073479865e-31,2.3388963332806574e-30,1.0192658020535886e-37,0.0,0.0,9.0666276150303817e-21,3.2182546303745749e-31,1.4744566203346064e-35,2.5059836368060438e-41,4.6909738349058723e-45,9.5647190100813725e-55,4.6830480780228538e-45,2.4718835453846187e-35,7.1392570810031742e-21,5.5303184574986325e-31,9.9982365649609327e-75,1.1606622197922108e-72,9.5426239304600683e-48,6.7945069890862847e-46,3.8336173837893794e-31,1.3735312143448674e-42,5.8783440430439113e-33,4.5321665468418757e-55,1.7674589498651588e-45,9.9286192784272434e-27,4.2151501413841579e-30,7.4584497274375065e-20,9.3523454779420611e-41,1.3301939749263061e-54,7.0376019232024728e-52,8.5946561527151071e-40,1.1886609350142219e-67,5.1499478448188242e-51,2.5421894472920553e-27,4.0082989360443023e-37,1.858493987232773e-38,2.1184539749837799e-39,6.6537873794950991e-26,2.902826133925688e-52,3.0562458248430544e-54,7.9647989724292963e-48,3.0893573081720779e-43,2.0939779985549974e-37,1.7630514228874546e-51,3.0312501519077754e-53,1.1592437190658079e-52,9.3037571424590276e-79,9.8701668114608333e-72,5.0878315521782273e-103,4.6178108650553299e-92,3.8149587948518902e-49,4.2582244086198447e-46,6.7511191892672263e-54,1.2541973844928253e-62,4.7457452446555357e-51,7.1724762902576753e-61,6.4801788692399054e-67,7.948811701620559e-35,8.6212610267908885e-37,3.3611129355865256e-46,2.0291454115888647e-47,1.3033350380294138e-70,4.0333848218655076e-79,7.0134647486517045e-72,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,9.0499574543411996e-20,7.4584522523850046e-20,9.0499589217588572e-20,4.853958154404733e-26,3.494278205211581e-26,4.0003520014160222e-26,2.0000343549104275e-33,8.3421409390939446e-22,5.3735708942177615e-34,3.4559474638943883e-27,6.7644875948616944e-39,1.8174412736539474e-39,6.8873959261156547e-22,9.8421605477470699e-36,3.4436979544580771e-22,2.8532823605102733e-27,1.4266409226867826e-27,2.8715726971408907e-34,9.7121920786186047e-40,1.6750709812744007e-46,4.7512889419625169e-51,8.0420785526484994e-23,9.5133049815668319e-48,1.3711390080870064e-46,4.3133807976117624e-29,1.2298001467184202e-37,5.723255159695211e-35,8.1258361157019862e-36,1.619979719071145e-41,3.763049283741002e-46,1.2381154446123222e-51,6.1957938935819688e-34,1.1262726188613532e-58
3.1e-14,0.0020477699652703646,4.1720200136895613e-23,2.0548643691880009e-30,3.4246788553858689e-30,8.9355640048352801e-30,8.6025871109642122e-37,0.0,0.0,1.8556935350132543e-20,1.341424766087394e-30,6.1452372895073365e-35,2.1148604604815454e-40,3.9591767181673041e-44,8.0717270759908349e-54,1.9519676358687268e-44,1.0302269086311492e-34,1.4612125307919973e-20,2.3051328757880652e-30,1.7105500595955993e-73,1.9734840251710801e-71,8.0544449059357171e-47,5.7344911389243097e-45,7.8455374008762614e-31,1.1592581886990574e-41,2.4501959776544742e-32,8.8481707144986584e-54,1.4917260852110895e-44,4.1384186601361141e-26,1.7569463443340109e-29,1.526541086593892e-19,7.8933310369235349e-40,4.5366151532695336e-53,1.1970234786184834e-50,1.4598621860827079e-38,3.3179154746974313e-66,4.3465540066427392e-50,1.0596287021627084e-26,3.3829978548389667e-36,1.5677155797305386e-37,1.788225422134052e-38,2.7734117692762366e-25,1.2099639237808787e-51,1.0434632459092161e-52,1.3543819790967738e-46,5.2526033646181743e-42,1.7673095076002234e-36,2.9975795229342748e-50,5.142355835237175e-52,1.9709740037583615e-51,6.3829239041186769e-77,3.3789434526627328e-70,3.5454487023529728e-101,1.649130953747712e-90,6.4871949099603799e-48,7.2409311400681116e-45,2.3049921994668761e-52,4.2809407483066612e-61,1.6188851065685521e-49,4.902353215022423e-59,2.1882126388751801e-65,6.7087789885698896e-34,7.2689799862650345e-36,5.7146491450394098e-45,3.4473925667584867e-46,5.4391621623461797e-69,5.6347008705320537e-77,8.8878850624658319e-70,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.8522799384714327e-19,1.5265421390344737e-19,1.8522805501159929e-19,2.023212829372157e-25,1.4564752344906666e-25,1.6674151814822479e-25,1.6880175848420612e-32,1.7074028099803909e-21,4.5352658374728808e-33,1.4404915785615908e-26,1.1501112880614091e-37,3.0900503441220715e-38,1.4096572343295334e-21,8.3067282860677729e-35,7.0482861358031769e-22,1.1892918558296571e-26,5.9464571052928482e-27,2.4235779391516723e-33,1.6512768876789479e-38,5.7181134883048635e-45,3.2504700412701182e-49,1.6459948191450376e-22,1.6708320120175683e-46,4.8383974443873706e-45,1.7978912089640336e-28,1.0379489067410854e-36,4.8303808702308276e-34,6.8581615920680106e-35,1.3673158325442942e-40,6.3982770808498006e-45,4.2268034052689681e-50,5.2291976306298768e-33,7.7056356870132309e-57
6.300000000000001e-14,0.0020477699652703646,8.4392979085858006e-23,6.5043631450497273e-30,1.3955752904474584e-29,3.480251164378637e-29,7.0407481620032164e-36,0.0,0.0,3.7537568943924849e-20,5.4663816526728479e-30,2.5037679454256337e-34,1.7305947327425996e-39,3.2403738266739522e-43,6.6048310060676037e-53,7.9543082065587496e-44,4.1974426461796654e-34,2.9557864822656753e-20,9.3935425909211362e-30,2.8256633752452397e-72,3.2379515085816533e-70,6.5927635702940982e-46,4.6932669844560394e-44,1.5866817154996653e-30,9.4878962519773704e-41,9.9846825652767212e-32,1.8234900883895317e-52,1.2208858707502507e-43,1.6864262486453382e-25,7.1596401925263067e-29,3.08792895264468e-19,6.4602058257774765e-39,1.4874630812332279e-51,1.9653945564223115e-49,2.3904129701697664e-37,1.3943383325274465e-64,3.5574275370689639e-49,4.3180444938392983e-26,2.7687990532760525e-35,1.2817037168846271e-36,1.4639828945225332e-37,1.1301784531281978e-24,4.9306955154055002e-51,3.4287459628811916e-51,2.2226306524929472e-45,8.617462856390488e-41,1.4464389103663436e-35,4.9178362315705395e-49,8.3993146967653096e-51,3.233590798538867e-50,4.219609886179758e-75,1.116248136500297e-68,2.3550930482042481e-99,5.5900527360377789e-89,1.0645945886021892e-46,1.1882822262372177e-43,7.5742078911527383e-51,1.4059324612342525e-59,5.3102957536940294e-48,3.216751272930523e-57,7.0360721300340872e-64,5.4907606850142107e-33,5.9372980013007823e-35,9.3754988232836647e-44,5.6472790248204527e-45,3.0031706699149228e-67,7.477536311525262e-75,1.141135253350639e-67,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,3.7468450458923749e-19,3.0879332413860235e-19,3.7468475383723076e-19,8.2446923091107191e-25,5.935210843000336e-25,6.7947993459386575e-25,1.3815368602318852e-31,3.4537578040813643e-21,3.7118358914149712e-32,5.8700218764192073e-26,1.8868686647727479e-36,5.0695309100880421e-37,2.8514740536812409e-21,6.7985393024895178e-34,1.4257370122343087e-21,4.8463820049797208e-26,2.4231892233359808e-26,1.983525744830925e-32,2.7090503191728471e-37,1.8783234050245274e-43,2.1367614263123411e-47,3.3295666153848171e-22,2.7864585929789175e-45,1.6164568667290396e-43,7.3264977850698866e-28,8.4950379739344712e-36,3.9533421706906179e-33,5.6129802050044067e-34,1.1191640542831874e-39,1.0497868825334472e-43,1.3886483883517284e-48,4.2797434744326388e-32,5.0661582282008476e-55
1.2700000000000001e-13,0.0020477699652703646,1.6973872738423281e-22,2.2518440007934789e-29,5.6317778329368509e-29,1.3723096920342272e-28,5.6922891061985828e-35,0.0,0.0,7.5498908625468398e-20,2.2059344480204699e-29,1.0100211305260126e-33,1.3986578025908255e-38,2.6197764772031866e-42,5.3375380849010674e-52,3.2098698054972818e-43,1.6932227222765411e-33,5.9449356095546784e-20,3.79071986092658e-29,4.5903170182748425e-71,5.2409479266318492e-69,5.3310770774122172e-45,3.7942390109973565e-43,3.1899142085671942e-30,7.6707548374015146e-40,4.0292715280353618e-31,4.1388161947318779e-51,9.8704216259149188e-43,6.8054775634675764e-25,2.8892291590711801e-28,6.2106872382507628e-19,5.2228445611307488e-38,4.7983401830937396e-50,3.1857682858137268e-48,3.8536444044163605e-36,7.7419497836586546e-63,2.8761179654034635e-48,1.7425261552238378e-25,2.2385125547335533e-34,1.0339968365964998e-35,1.1842732397002797e-36,4.5607656361765026e-24,1.989760652805653e-50,1.1108697590894049e-49,3.5990744215550933e-44,1.3946343901029406e-39,1.1694017216437191e-34,7.9588823642842667e-48,1.3474237507925487e-49,5.233168197764681e-49,2.7637410315352511e-73,3.6550527052372945e-67,1.5338542600641708e-97,1.8716646941216742e-87,1.7238900150700472e-45,1.9241602171487425e-42,2.4540543170181443e-49,4.5501580143284204e-58,1.714500212680024e-46,2.0758932043858754e-55,2.1857221736182424e-62,4.4391440997535391e-32,4.7809480491027952e-34,1.5173135363008014e-42,9.111918917790313e-44,1.8472076367306283e-65,9.7055162516197596e-73,1.459416987796236e-65,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,7.5359621461693667e-19,6.2107045451707759e-19,7.5359722044134594e-19,3.3270981368015066e-24,2.3951219982212409e-24,2.7420022096217658e-24,1.1169202553625913e-30,6.9463780433202474e-21,3.0008858308919138e-31,2.3687711894399952e-25,3.053631389602635e-35,8.2043379656898257e-36,5.7350338385394275e-21,5.4963641454995292e-33,2.8675168603305673e-21,1.9556964181665172e-25,9.778467707222233e-26,1.6035710924266006e-31,4.3841231035638829e-36,6.0815878168254947e-42,1.3839894112839882e-45,6.6967016815655617e-22,4.5467991966265786e-44,5.2790463793363117e-42,2.9565678100788123e-27,6.8680379832932499e-35,3.1960910021489489e-32,4.5378880140380203e-33,9.0496584115911656e-39,1.6992161523093466e-42,4.4974273728003066e-47,3.4599655671259456e-31,3.2822848725503293e-53
2.55e-13,0.0020477699652703646,3.4043098554500375e-22,8.3007029463837765e-29,2.2624140522861325e-28,5.4486703819166182e-28,4.5769885014850474e-34,0.0,0.0,1.514218779612472e-19,8.8617593810679055e-29,4.0545762982194339e-33,1.123829398465748e-37,2.1064882334140796e-41,4.2880148505712107e-51,1.2894350513373292e-42,6.7969640404337876e-33,1.1923238761342256e-19,1.5228190498234386e-28,7.3994020117062593e-70,8.4335338641494507e-68,4.2880902446522897e-44,3.0505636701232936e-42,6.3922905911107035e-30,6.1678102955157597e-39,1.6186506507803907e-30,1.0382355969929817e-49,7.9362169908576589e-42,2.7339033630962366e-24,1.1606616080479641e-27,1.2456134024300834e-18,4.1993797360433175e-37,1.5324438714693203e-48,5.1411817289693856e-47,6.1519318634118471e-35,4.751744021350064e-61,2.3126212661993828e-47,7.0001240510986184e-25,1.7999161835072074e-33,8.278389832505004e-35,9.5332197017027941e-36,1.8321510133055833e-23,7.9932995441039351e-50,3.5785229638566208e-48,5.7964309546280903e-43,2.2436012839576195e-38,9.4025910875670731e-34,1.2803583634331974e-46,2.1303201006244666e-48,8.4187437463526931e-48,1.8180374706244165e-71,1.2022595162976724e-65,9.9019693231178501e-96,6.3369634607982222e-86,2.7764035433839355e-44,3.0988979608538588e-41,7.9061065952144761e-48,1.4626355634342621e-56,5.484890645220397e-45,1.3261660788591431e-53,6.5040646805278447e-61,3.5693509592110744e-31,3.813649438857213e-33,2.4409598674102336e-41,1.4570759639234454e-42,1.1663006792528018e-63,1.2436761687998162e-70,1.8471541587453523e-63,0.88168480800000004,0.0,0.0094599999999999979,0.10885,0.001,1.5114143888862536e-18,1.245620354941285e-18,1.5114184294802831e-18,1.3365646622251257e-23,9.6217188350803287e-24,1.1015194619910193e-23,8.9804500952749907e-30,1.3931259551552073e-20,2.4128339839975443e-30,9.5155072905698215e-25,4.9123567618795528e-34,1.3198314909503798e-34,1.1501858012807041e-20,4.4192831134491802e-32,5.7509287696626753e-21,7.8561738103937275e-25,3.9280753405260968e-25,1.2892749103918853e-30,7.0524089792414167e-35,1.9565701121762018e-40,8.9060601590584889e-44,1.3430937707000516e-21,7.3444888401853228e-43,1.7060278579544409e-40,1.1877163451668235e-26,5.5223505308139029e-34,2.5697161646838665e-31,3.6486386749237107e-32,7.2788960984967388e-38,2.7344307700633102e-41,1.4477480857686688e-45,2.7818673134862416e-30,2.1133460399893702e-51
5.11e-13,0.0020477699652703646,6.8181854782041252e-22,3.1782689907959468e-28,9.0688779232361221e-28,2.1712630288617951e-27,3.6707164275479085e-33,0.0,0.0,3.0326897649842041e-19,3.5522440681489516e-28,1.6229467883018784e-32,9.0004435747874894e-37,1.6894049005703012e-40,3.4329904038084035e-50,5.1683477186267639e-42,2.7204798131031932e-32,2.3879864652499591e-19,6.1042128274536507e-28,1.1901462767088691e-68,1.3536325386185067e-66,3.4414817635370176e-43,2.4461102934920795e-41,1.2780730654641903e-29,4.9465446224654277e-38,6.488352717939467e-30,2.8016109595205002e-48,6.3643537032020949e-41,1.0958734544519394e-23,4.652442578797073e-27,2.4946748462311388e-18,3.3676454240943319e-36,4.8436822069597246e-47,8.2992733583430233e-46,9.7198327718541269e-34,2.9818709710508243e-59,1.8547495396558758e-46,2.8059940131929767e-24,1.4435202819156028e-32,6.5828091438841007e-34,7.6629796545562329e-35,7.3440636530604436e-23,3.2040824541024246e-49,1.150576168911803e-46,9.3194717154216796e-42,3.5992292748018764e-37,7.5405027845277751e-33,2.0539206958523801e-45,3.3036163050562224e-47,1.3505336194050372e-46,1.2170257993564708e-69,4.0251431924469393e-64,6.3666213581720069e-94,2.2209157644838587e-84,4.4639510486134762e-43,4.9823050525043812e-40,2.5424261108534842e-46,4.6826096993494208e-55,1.7393600013208135e-43,8.3847593915205901e-52,1.8133594563184431e-59,2.8625585947467235e-30,3.0106212634232339e-32,3.9158357419955674e-40,2.3096716431072884e-41,7.3622097449065211e-62,1.5752695526425873e-68,2.2975655933205585e-61,0.88168480800000004,0.0,0.0094599999999999945,0.10885,0.0009999999999999998,3.0270297545995612e-18,2.494702714735479e-18,3.0270459510353732e-18,5.3575575364719534e-23,3.8568331269365073e-23,4.4153899619284032e-23,7.2017011299229661e-29,2.7899586891853384e-20,1.9349444155096412e-29,3.8139742800865506e-24,7.8800630672285153e-33,2.117198559935331e-33,2.3034324938982945e-20,3.5439663912797542e-31,1.1517161520766215e-20,3.1488974283062426e-24,1.5744394405367746e-24,1.0338208257816066e-29,1.131202110998832e-33,6.2745596423921891e-39,5.7124944763933294e-42,2.6899273316316911e-21,1.180501985575773e-41,5.4852000815441397e-39,4.7609174735033418e-26,4.4288568875860871e-33,2.0606408910175272e-30,2.9259718225046795e-31,5.8414007271888987e-37,4.3893122353558552e-40,4.648162374981287e-44,2.2307494829188942e-29,1.3570423504298297e-49
