Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),HOCO(37),HCOH(38),CH3OO(39),CH3OOH(40),CH2OOH(41),C2H5O(42),C2H5O2(43),H2CC(44),C2H4O(45),C2H5O(46),cC2H4O(47),C2H5O2(48),C2H3O2(49),CHCHO(50),OCHCHO(51),HCCOH(52),CHCHOH(53),C2(54),C2O(55),C2H6O(56),C2H5O(57),C2H5O3(58),cC2H3O(59),HOCHO(60),C2H3O3(61),OCHCO(62),C2H6O2(63),C2H5O2(64),C2H4O2(65),HOCH2O(66),OCHO(67),C2H4O3(68),C2H3O2(69),N2,Ne,C7H16(1),O2(2),CH4(3),C4H9(99),C5H11(101),C3H7(100),S(160),S(162),S(161),S(177),C7H15(105),S(194),S(267),S(266),S(268),C7H15(102),S(310),C7H15(103),S(829),S(830),S(859),S(882),S(752),S(926),C7H15(106),S(900),S(992),S(1016),S(1066),S(847),S(779),S(1065),S(1245),S(1588),S(184),S(1604),S(848)
0.0,0.0030969394785472955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0030969394785472955,4.9345079517648075e-24,9.6843377316194787e-32,9.1056414572610641e-33,1.5870427730841587e-31,8.8262112305718037e-41,0.0,0.0,8.5257652129081656e-22,2.4852937410346438e-33,3.0368117739696169e-37,3.8735675107731313e-44,4.3270167606250963e-48,3.6614117709491326e-57,1.4532880409361992e-46,5.1115517655773745e-37,6.632284842932042e-22,4.0121364840774922e-33,-6.811629574922453e-78,2.3825731774650677e-75,8.2283887430510031e-50,5.7963265518117474e-48,1.2343095007069169e-31,9.9213679107844992e-46,5.0829358190205726e-35,1.4929558739231805e-58,7.0043709898666283e-48,2.4079313211392003e-28,6.5919913459486456e-32,1.4725602934646862e-20,1.3131163131504146e-43,3.5580324976416722e-59,2.2412336701285982e-55,1.6318265586847015e-43,4.0797534514901796e-71,1.282403733160255e-53,1.1839917142079546e-29,1.8003505575976248e-40,1.7528604344615296e-41,6.5369059983442413e-42,8.1548977361470566e-28,5.9140261054299181e-53,1.5100850868782427e-58,4.1344489435003473e-51,5.408960549281488e-47,3.3679737064145051e-40,4.1654763463781932e-55,1.1324395192129571e-56,4.1935331994880663e-56,9.7521461606047251e-84,1.1105878794377311e-75,-2.5467048367626768e-107,-3.6514059702478898e-101,1.1142646489402101e-52,2.1636675368716356e-49,2.214030470942523e-58,3.9968149614583596e-67,1.0773708211934595e-55,1.4710417235692336e-66,3.2848107736942157e-71,8.944364486415694e-38,2.061453004508413e-39,1.0027962732693127e-49,3.1039972999964753e-51,3.5816485308028643e-74,-8.4970040303532425e-86,-7.259836535446607e-78,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.8134848295435855e-20,1.4725603166462238e-20,1.813484849764497e-20,6.2043297438528619e-28,4.4512471352558667e-28,5.0379521408162804e-28,3.7422020284145418e-36,8.2656437164262093e-23,9.6927603613085019e-37,2.1905019569468966e-29,9.9173169408897679e-43,2.5687061915866735e-43,6.8037363024096992e-23,5.5670095578521119e-39,3.4018681505186354e-23,1.8030777377729285e-29,9.0153884891501211e-30,2.6002418026368228e-37,6.8909752206976814e-44,3.7043495804178263e-51,1.4985823532890237e-56,9.5700553240359933e-24,6.0476510342062467e-52,1.1193620725049429e-51,3.2741260406433799e-31,8.3323415957053298e-41,5.4970328163761754e-38,4.5823976413686404e-39,2.9669514660457715e-44,8.860567303999639e-50,2.3481644196567324e-56,1.2083743659524286e-36,3.3863193438468457e-64,6.4703760284517489e-38
3.0000000000000002e-15,0.0030969394785472955,1.6213385050485496e-23,3.3510148389580067e-31,5.9837075137961596e-32,6.3735231591898869e-31,8.3218565862241022e-40,0.0,0.0,2.801322971655327e-21,1.6331930592246802e-32,1.9956135240319828e-36,3.6522132674568336e-43,4.0797602390079037e-47,3.4521793925805667e-56,9.5501777167813769e-46,3.3590097971071946e-36,2.1791795588408822e-21,2.6365469657413934e-32,4.0286144966233924e-76,2.9276523802138325e-74,7.7598920692032552e-49,5.4651065126397461e-47,4.0555615444848719e-31,9.354432933096189e-45,3.3402151362147131e-34,1.8436735580142393e-57,6.6041205876306e-47,1.5823548436776401e-27,4.3318799258478922e-31,4.8384121320909633e-20,1.238081008437467e-42,5.3877969021572151e-58,2.753556449504797e-54,2.0047785598601098e-42,5.0174522505959254e-70,1.2091240504170459e-52,7.780517350260436e-29,1.6974737182558968e-39,1.6526827945968001e-40,6.1649659872623489e-41,5.3589326599305227e-27,3.8875735452825885e-52,2.2870649863048438e-57,5.0804761443949003e-50,6.6452940035022648e-46,3.1755178259344915e-39,5.117584846995262e-54,1.3911879466257198e-55,5.1520547960627141e-55,1.755460940228856e-82,1.6818320871807932e-74,1.3606157957439771e-105,1.6986577503467628e-94,1.3697760311454694e-51,2.6587487725004823e-48,3.3532157317673016e-57,6.0522952925074517e-66,1.6314278343600198e-54,2.6478416598668324e-65,4.9725407893181331e-70,8.4332579235506954e-37,1.9436090354276994e-38,1.2320067784834193e-48,3.8134264776874698e-50,4.4205740510006039e-73,4.2970749565993675e-84,6.5296362116950702e-76,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,5.9585927884635764e-20,4.838412284426775e-20,5.9585929213438459e-20,4.077130882875725e-27,2.9251052174954958e-27,3.3106541896065116e-27,3.5283614500629043e-35,2.7158536433622084e-22,9.1388873611964181e-36,1.4394724088793754e-28,1.2184130376766672e-41,3.1558386000515657e-42,2.235512765692377e-22,5.2488939508284917e-38,1.1177563823952705e-22,1.1848794220548354e-28,5.9243969219720199e-29,2.4516558011988513e-36,8.466052776337862e-43,5.60943815578917e-50,2.6974460131150739e-55,3.1444466596775083e-23,8.0360573802814333e-51,1.8072147083191846e-50,2.1515685033113726e-30,7.8562077763682234e-40,5.1829152638184683e-37,4.3205457539654733e-38,2.7974129231903933e-43,1.0885843740541444e-48,3.5557927379320902e-55,1.1393240507696832e-35,6.0953758516797213e-63,6.1006393018023875e-37
7e-15,0.0030969394785472955,3.5951430481478058e-23,8.5181067692521382e-31,3.2520159101861511e-31,2.1590215738872786e-30,1.3441063119255839e-38,0.0,0.0,6.2116299443596627e-21,8.876050274647285e-32,1.084552615805919e-35,5.8987663380089353e-42,6.5894543080338131e-46,5.5756617773694278e-55,5.1903110130878723e-45,1.8255136698079515e-35,4.8320954343554505e-21,1.432906431231714e-31,7.7726300878266921e-75,1.4814138677496976e-72,1.2537692347769158e-47,8.826954647509095e-46,8.9925943593806713e-31,1.5108831432954445e-43,1.8153349123424433e-33,9.9000844862059046e-56,1.0666646017401003e-45,8.5997537187728428e-27,2.3542822094743287e-30,1.0728651310863298e-19,1.9996871313123229e-41,8.8959989415482617e-56,1.3930349989797555e-52,1.0138207748113166e-40,2.6202757542029261e-68,1.9529192956948992e-51,4.2285433508694608e-28,2.7416778012227458e-38,2.6691231237390812e-39,9.9559077891754699e-40,2.9124629137108748e-26,2.1133601328281113e-51,3.7769287539096459e-55,2.5695611884324067e-48,3.3612800904360872e-44,5.1289388731075862e-38,2.5885435231223491e-52,7.0310662576802346e-54,2.6059795168065836e-53,9.7808739868727003e-80,2.7796505485186386e-72,4.969919939047136e-103,1.589664468751619e-92,6.9265164070411874e-50,1.3447195891531956e-46,5.5376142867880127e-55,9.9948180733624197e-64,2.693839710897088e-52,1.4738412961387385e-62,8.1729092838372916e-68,1.3620986909230207e-35,3.1385325473103119e-37,6.2316578498677027e-47,1.9285448310432614e-48,2.4811579801993233e-71,6.6728379026488858e-81,1.767914568700285e-73,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.3212530401015158e-19,1.0728652138775104e-19,1.3212531123190371e-19,2.2158316774189694e-26,1.5897309450470485e-26,1.799268318337579e-26,5.6988314956960907e-34,6.0221056157371435e-22,1.4760673267414535e-34,7.8232088028511963e-28,6.1628918317041525e-40,1.5962645554853451e-40,4.957002765654787e-22,8.4777475142426318e-37,2.4785013803768399e-22,6.439553794007625e-28,3.2197765928682412e-28,3.9597843958231344e-35,4.2822324763654732e-41,9.2639044820987742e-48,1.501770195822266e-52,6.9724681032842505e-23,5.1093561582164728e-49,3.8008429889049078e-48,1.1693305750550659e-29,1.2688964325885933e-38,8.3711728385523516e-36,6.9783272099404938e-37,4.5182685342256554e-42,5.5062354008791038e-47,5.8724475155063027e-53,1.8401757642348037e-34,3.3935866169468587e-60,9.8534426938914133e-36
1.5e-14,0.0030969394785472955,7.542755602252724e-23,2.2144475179112316e-30,1.4386925428374949e-30,7.4598043431308484e-30,1.2500446527136403e-37,0.0,0.0,1.3032246148962649e-20,3.9267654056111691e-31,4.7979141536711907e-35,5.4858007392613073e-41,6.1283502466971296e-45,5.1852789183960494e-54,2.2961914143605571e-44,8.075814293057554e-35,1.0137932119343138e-20,6.3391815175481527e-31,1.3937359847107795e-73,2.849440125828544e-71,1.166150232360116e-46,8.2092036391867464e-45,1.8866137726385179e-30,1.4051503861649241e-42,8.0310460556283944e-33,2.0693516886202638e-54,9.9201672693828955e-45,3.804530408440177e-26,1.041534185698498e-29,2.2509124590009184e-19,1.8597446741431791e-40,3.488973464114468e-54,2.6798887501328886e-51,1.9491993818161797e-39,5.5839703554528473e-67,1.8162531934939529e-50,1.8707085431228129e-27,2.5498129963246344e-37,2.4820282547967785e-38,9.2593189917505397e-39,1.2884732340795935e-25,9.3502244140017595e-51,1.481790459721417e-53,4.9420061890292667e-47,6.4646234775923453e-43,4.7700041925534867e-37,4.9784468900780358e-51,1.3506036489448384e-52,5.0119826777363957e-52,7.7669382683668426e-78,1.0917137306846355e-70,3.7741974141304415e-101,7.0678027001096499e-91,1.3321574914770626e-48,2.5862819869575047e-45,2.1725630928302951e-53,3.9208601303009525e-62,1.0565845825473924e-50,1.1687301771445992e-60,3.1842893252269521e-66,1.2667770059200705e-34,2.9178870784716879e-36,1.1985112972668158e-45,3.7081231882771521e-47,6.3891711076240216e-70,1.0255924703124942e-78,2.2092420450199048e-71,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.7720401284535018e-19,2.2509128252689481e-19,2.7720404479436942e-19,9.8028369587521578e-26,7.0329685881110988e-26,7.9599611077438191e-26,5.300010220783993e-33,1.2634595524420698e-21,1.3727681915015022e-33,3.4609796296254579e-27,1.1852837616340662e-38,3.0700311204923234e-39,1.0399971257626539e-21,7.8844474624179833e-36,5.1999856179722285e-22,2.84885251172645e-27,1.4244259730126634e-27,3.6826574579286918e-34,8.2358214634232681e-40,3.6343727136591648e-46,1.191236456852397e-50,1.4628509244290008e-22,1.0461009787562481e-47,1.5869943128468042e-46,5.1731174846607675e-29,1.1800972724758271e-37,7.7853177343718943e-35,6.4899623760495531e-36,4.2021077949092776e-41,1.059001479067727e-45,2.3039134657978962e-51,1.7113903940582336e-33,2.6919341845784739e-58,9.1638659724071941e-35
3.1e-14,0.0030969394785472955,1.5437994582062713e-22,6.2565973192050083e-30,5.996726023546002e-30,2.7091162759888361e-29,1.0550366082201306e-36,0.0,0.0,2.6673487594938507e-20,1.6367446116928175e-30,1.9997344633502026e-34,4.6297373657010509e-40,5.1723742714084102e-44,4.3760501584885959e-53,9.5709066868101333e-44,3.3659292569937234e-34,2.0749625225137797e-20,2.6422837275893172e-30,2.3846399746288401e-72,4.8450125355292486e-70,9.8429915715768883e-46,6.9285052296023991e-44,3.8611135630573735e-30,1.1859458454833698e-41,3.3474830014637561e-32,4.0720324076611953e-53,8.3725825320169032e-44,1.5857938015490717e-25,4.3412931457363747e-29,4.6070050834725466e-19,1.5696183939887165e-39,1.1902889099819429e-52,4.5588264817967448e-50,3.3119169665285181e-38,1.318744206410041e-65,1.5329175313278376e-49,7.7974458198851153e-27,2.1520400719094619e-36,2.0943202577144468e-37,7.8152170924962035e-38,5.3705771922296451e-25,3.8974725071492016e-50,5.058691497147169e-52,8.4029172292637943e-46,1.0991320818554028e-41,4.0258672401980557e-36,8.4644799470230868e-50,2.2907887171431448e-51,8.5215043853236775e-51,5.3251663969670311e-76,3.734950942402647e-69,2.6300917956050476e-99,2.515478479627287e-89,2.2650767054663998e-47,4.39746432452068e-44,7.4169824492031406e-52,1.3382633645684357e-60,3.6051029798194539e-49,7.9907277461671597e-59,1.0723373533959302e-64,1.0691571993480922e-33,2.4610239495097045e-35,2.0377400482977976e-44,6.3013739865302644e-46,2.1812731986892947e-68,1.4332305286994425e-76,2.8313816954820903e-69,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,5.673612568525407e-19,4.6070066101400294e-19,5.6736139002149855e-19,4.0859906793896645e-25,2.9314624922104783e-25,3.3178483989151078e-25,4.4731835096667618e-32,2.5859519197966973e-21,1.1586106300296822e-32,1.4425899188015314e-26,2.0152434377253428e-37,5.2197318453576391e-38,2.1285862210089939e-21,6.6544331085516199e-35,1.0642931059858578e-21,1.1874462234235833e-26,5.9372287298836401e-27,3.1081298892705139e-33,1.4002639766193767e-38,1.2406440106976269e-44,8.1494984503675834e-49,2.9940584541428513e-22,1.8344314817197209e-46,5.5912695677078572e-45,2.1562443742250037e-28,9.9599983520441634e-37,6.5707457602704911e-34,5.4774964591401708e-35,3.546627384431865e-40,1.8005685551839141e-44,7.8651493903487301e-50,1.4443981442912409e-32,1.8417016186177148e-56,7.7342539367761637e-34
6.300000000000001e-14,0.0030969394785472955,3.1228528027879376e-22,1.960841979591396e-29,2.443703063913864e-29,1.0247317802635762e-28,8.6349139297058891e-36,0.0,0.0,5.3956006633910729e-20,6.6698281077815307e-30,8.1480567458441713e-34,3.7887471448745013e-39,4.2333982325089138e-43,3.5810408539865853e-52,3.9001819716121973e-43,1.3714636812587081e-33,4.1973090379884934e-20,1.0767472408575935e-29,3.9397642698089088e-71,7.9493101066479535e-69,8.0566059867924114e-45,5.6705225634378161e-43,7.8092777889916834e-30,9.7063385460512594e-41,1.3641203893462441e-31,8.4816862149282352e-52,6.8524646685813869e-43,6.4621915267325956e-25,1.7690987548322561e-28,9.319182207001317e-19,1.2846418701674844e-38,3.9051820455296753e-51,7.4871487417442154e-49,5.4264908438894528e-37,4.5855454307602334e-64,1.2546138289478828e-48,3.1775078385869618e-26,1.7613305838986799e-35,1.7132590447249467e-36,6.3969384114045386e-37,2.1885369560078714e-24,1.5882674573333232e-49,1.6619607924524016e-50,1.3787218639412296e-44,1.8032463484726355e-40,3.2949384641026513e-35,1.3886888986042733e-48,3.7402590160014789e-50,1.3980463402641129e-49,3.5158763919817205e-74,1.2322764003674248e-67,1.7470518039538577e-97,8.4698560140701634e-88,3.7164670381649542e-46,7.2151971296423623e-43,2.4367823115187958e-50,4.3948159384345518e-59,1.1831057630967755e-47,5.2465238673791905e-57,3.4299679021121237e-63,8.7504589001298776e-33,2.0114958273505402e-34,3.3431353276598533e-43,1.0327383121796451e-44,1.0750046921357156e-66,1.9031931368688886e-74,3.648132874794262e-67,0.88168480800000004,0.0,0.0094599999999999979,0.10885,0.001,1.1476750502150926e-18,9.3191884282439405e-19,1.1476755928850026e-18,1.6650617843587318e-24,1.1945861267764157e-24,1.3520399368236493e-24,3.6610294049978503e-31,5.2309141973331711e-21,9.4825380774113246e-32,5.8785795969352041e-26,3.3062048653215821e-36,8.5634921483322719e-37,4.3057459991753519e-21,5.4462447088278641e-34,2.1528729811746109e-21,4.8388674923544702e-26,2.4194317923886738e-26,2.5437904154763877e-32,2.2972475216247903e-37,4.0753143642381892e-43,5.3571907537253496e-47,6.0564707195876675e-22,3.0568498314743176e-45,1.8664519577300274e-43,8.7868062792559582e-28,8.1517089397893981e-36,5.3777152386207011e-33,4.4829969604992945e-34,2.9028109428572519e-39,2.9541171126690859e-43,2.5838485384881318e-48,1.1821404622087659e-31,1.2107914089717429e-54,6.3300087601062096e-33
1.2700000000000001e-13,0.0030969394785472955,6.2809816862668095e-22,6.7382303419383257e-29,9.8614843979104233e-29,3.9771541764262949e-28,6.981161078553746e-35,0.0,0.0,1.0852118929946476e-19,2.6915811489697381e-29,3.2873274047098674e-33,3.0624068418713644e-38,3.4227575916497873e-42,2.8943562673191092e-51,1.5738880691893702e-42,5.5330992092124303e-33,8.442033646105593e-20,4.345180226193177e-29,6.4022248062584894e-70,1.286636883678192e-67,6.5144506731674172e-44,4.5843611402457111e-42,1.5702266236845004e-29,7.847390308101469e-40,5.5048657527589695e-31,1.9472944585296489e-50,5.5400056630306513e-42,2.6077829313886056e-24,7.1390989166836383e-28,1.874350395252659e-18,1.038596194872159e-37,1.2613416838646516e-49,1.2142632650865684e-47,8.7593548628416036e-36,2.3068345894964011e-62,1.0143347278819112e-47,1.2822731612402646e-25,1.4240019576799013e-34,1.3837971781991928e-35,5.1727684463153886e-36,8.8317165387396082e-24,6.4094231196672566e-49,5.3826664777955504e-49,2.2317275993052758e-43,2.9183457271710931e-39,2.6638618231654757e-34,2.2474273157511879e-47,5.9956511656823358e-49,2.2625775074376153e-48,2.2970371125464388e-72,4.0247782064542426e-66,1.1378084368989223e-95,2.7992574796237255e-86,6.0158344249485436e-45,1.167915229343497e-41,7.8923654636042324e-49,1.422166644426531e-57,3.8233839043053848e-46,3.3900137120614129e-55,1.0551092673088318e-61,7.0745370423872295e-32,1.6218742400702347e-33,5.4104779756591e-42,1.667911331594717e-43,6.3684047058500096e-65,2.4734243688652223e-72,4.6738144884210733e-65,0.88168480800000004,0.0,0.0094599999999999962,0.10885,0.001,2.3082998583408802e-18,1.8743529057970237e-18,2.3083020482526391e-18,6.7192640866402544e-24,4.8206889571036297e-24,5.4560818655276743e-24,2.9598172027156274e-30,1.0520748926559309e-20,7.666328715756808e-31,2.3722301568430051e-25,5.3506380913414105e-35,1.3858864630739002e-35,8.6599919083284827e-21,4.4030943829211799e-33,4.3299958798640631e-21,1.9526692464487655e-25,9.763330436819613e-26,2.0565266126816587e-31,3.7177045359819352e-36,1.3194726575610479e-41,3.4698169845718266e-45,1.2181284074276339e-21,4.9859923480288163e-44,6.09294442804367e-42,3.5458682128102026e-27,6.5904660459844189e-35,4.3476317381225354e-32,3.6243471716022176e-33,2.3470037100598244e-38,4.7811802292011572e-42,8.3675553818707308e-47,9.5570108213662354e-31,7.8437986015476587e-53,5.1175812757272711e-32
2.55e-13,0.0030969394785472955,1.259732822918167e-21,2.4721220271729915e-28,3.9616135819363356e-28,1.5661208559011979e-27,5.6133685342968444e-34,0.0,0.0,2.1765213297723209e-19,1.0812725960657006e-28,1.3199665854308705e-32,2.4612404938095198e-37,2.7523694208767297e-41,2.3259161591756682e-50,6.3225727578264625e-42,2.2216666561944149e-32,1.6931609170246867e-19,1.7455725114788327e-28,1.0327875418766822e-68,2.0702634432343678e-66,5.2393719007144522e-43,3.6859280996362459e-41,3.1474894431684943e-29,6.3098850138963895e-39,2.2114485578417499e-30,4.9305455910648689e-49,4.4544446936340334e-41,1.0476029440991457e-23,2.8679269872938862e-27,3.7592017438453468e-18,8.3508866834560877e-37,4.0383998549205978e-48,1.9616570346860849e-46,1.4018781790952747e-34,1.3734452708831323e-60,8.1560578654589302e-47,5.1512240645615772e-25,1.1450028300647625e-33,1.1105305683327012e-34,4.1608413659546935e-35,3.5478858769972125e-23,2.5748151242759459e-48,1.7327507745832325e-47,3.5916456904130167e-42,4.6948693043181478e-38,2.1418892937804538e-33,3.6155173292266658e-46,9.465484431182786e-48,3.639909690620441e-47,1.5036452314151721e-70,1.3173537645659632e-64,7.3447498112521251e-94,9.2469710112774954e-85,9.6816638188488711e-44,1.8795800336516102e-40,2.5408155661610879e-47,4.5704176928981562e-56,1.225422607501163e-44,2.171044811630169e-53,3.0861872793531761e-60,5.688384839230437e-31,1.2971160880676765e-32,8.7040704242109482e-41,2.6721813907046671e-42,3.9861876401676655e-63,3.1775211229822295e-70,5.9279681101435709e-63,0.88168480800000004,0.0,0.0094599999999999927,0.10885,0.001,4.6295383602591574e-18,3.7592118292068527e-18,4.629547157579585e-18,2.6992708894086748e-23,1.9365755492780454e-23,2.1918238083639349e-23,2.3798237345506506e-29,2.1100059104377443e-20,6.1640999991887874e-30,9.5294472508813878e-25,8.6075711279148773e-34,2.2294850310295564e-34,1.7368189154921072e-20,3.5402688068902023e-32,8.684094279018346e-21,7.8440553338579516e-25,3.9220149671745583e-25,1.6534722340757293e-30,5.9804304300136806e-35,4.2448678118802372e-40,2.2327746031692242e-43,2.443086607669468e-21,8.0523169646968935e-43,1.9686497208826127e-40,1.4244516536976378e-26,5.2991669915525753e-34,3.495579673703331e-31,2.914130802235766e-32,1.8873843610794965e-37,7.6926029021143625e-41,2.6930650488597103e-45,7.6839517051563173e-30,5.0494024835235388e-51,4.1147379295250825e-31
5.11e-13,0.0030969394785472955,2.5230376408399713e-21,9.4400994819914262e-28,1.5880351824833817e-27,6.2146805481529331e-27,4.5019500072865629e-33,0.0,0.0,4.3591633368917173e-19,4.3342980758261655e-28,5.2860505818246694e-32,1.9720674004813511e-36,2.2077656909257173e-40,1.8632175991183149e-49,2.5343229940564033e-41,8.8966846931328816e-32,3.3911265444048826e-19,6.9972314285448762e-28,1.664347565301672e-67,3.3224199337020094e-65,4.2040112148516538e-42,2.9557524028737219e-40,6.2966846386243711e-29,5.0605642266111403e-38,8.8647236484229962e-30,1.337137406688859e-47,3.5722793293339907e-40,4.1992854410200954e-23,1.1495969838260417e-26,7.5288524397855685e-18,6.697140839606637e-36,1.2827042851193736e-46,3.1733168475140239e-45,2.2259405535420709e-33,8.5756910102660123e-59,6.5412902744252002e-46,2.0648968416766848e-24,9.1829796311984967e-33,8.8724228119287658e-34,3.3395042950002095e-34,1.4221546454100563e-22,1.0321092110299401e-47,5.5634543597874919e-46,5.7662149818027419e-41,7.5316521473952179e-37,1.7177216387333451e-32,5.8000701433559676e-45,1.4638066407351236e-46,5.8392607724727023e-46,9.9720684245407489e-69,4.3691761757667868e-63,4.7217518040900542e-92,3.0998917781271458e-83,1.5543571441883486e-42,3.0175367057231348e-39,8.1589724470416658e-46,1.4625139386579298e-54,3.9003980094077878e-43,1.3793381717022163e-51,8.3744017555958723e-59,4.562007288630439e-30,1.0292531096754231e-31,1.3963334274765422e-39,4.2516894096972748e-41,2.518830879384663e-61,4.0448137721143524e-68,7.4013733772610914e-61,0.88168480800000004,0.0,0.009459999999999984,0.10885,0.0009999999999999998,9.2719709072743001e-18,7.5288928663422017e-18,9.2720061708334171e-18,1.0819922112975034e-22,7.7627080664521874e-23,8.7858403339105174e-23,1.9084892165919263e-28,4.2257242519478994e-20,4.9433261854749151e-29,3.8195977693069246e-24,1.380778199596588e-32,3.5764453387671565e-33,3.4783405497273139e-20,2.8390813812305371e-31,1.7391701552641128e-20,3.1440736995254677e-24,1.5720266659945954e-24,1.3258890077936512e-29,9.5926986785012907e-34,1.3612024422908619e-38,1.4320427911070982e-41,4.8929851236457206e-21,1.294156376859848e-41,6.3289841423933587e-39,5.7098684499532238e-26,4.2498703033225816e-33,2.8030912266105297e-30,2.3369674136555118e-31,1.5140441150741504e-36,1.2343628558449948e-39,8.6431916219631456e-44,6.1616190627346756e-29,3.2411668500667867e-49,3.2997585125640244e-30
