Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HOCO(14),CH2O(15),HCO(16),CH3(17),CH4(18),CH2(19),CH(20),C2H4(21),CH3OH(22),CH2(S)(23),CH2OH(24),CH3O(25),HCOH(26),CH3OO(27),CH2CO(28),C2H5(29),C2H3(30),C(31),C2H2(32),C2H(33),CH3OOH(34),CH2OOH(35),C2H6(36),CH3CHO(37),C2H5O(38),C2H5O2(39),CH2CHO(40),H2CC(41),C2H4O(42),C2H5O(43),cC2H4O(44),C2H5O2(45),C2H3O2(46),CHCHO(47),OCHCHO(48),HCCO(49),HCCOH(50),CHCHOH(51),C2(52),C2O(53),C2H6O(54),C2H5O(55),C2H5O3(56),CH3CO(57),cC2H3O(58),HOCHO(59),C2H3O3(60),OCHCO(61),C2H6O2(62),C2H5O2(63),C2H4O2(64),HOCH2O(65),OCHO(66),C2H4O3(67),C2H3O2(68),N2,Ne,C7H16(1),O2(2),C4H9(82),C5H11(84),C3H7(83),C7H15(88),C7H15(85),C7H15(86),S(164),S(165),S(206),S(207),S(166),S(208),S(255),C4H8(127),C6H12(193),C5H10(134),C3H6(72),S(267),C6H13(87),C7H15(89),C6H13(188),S(228),S(229),S(334),S(513),S(506),S(290),S(277),S(1639),S(1643),S(1790),S(1801),S(1965),S(1957),S(2177),S(1944),S(2145),S(1948)
0.0,0.0035613754154733253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0035613754154733253,1.2026174896378917e-26,7.8161075081945863e-35,2.0367531746841543e-33,3.8177659274959623e-35,1.31104991762614e-41,0.0,0.0,4.1927266387535639e-24,3.5145932511827179e-36,2.2679651084511036e-52,1.9960964349811026e-53,7.7834266084237998e-66,1.1400402751554834e-33,6.8093763622123955e-50,6.8010778418502974e-23,1.6638285025432194e-33,3.1212392708483142e-46,8.0247116554461298e-47,6.1477644665539236e-31,6.8935182208232695e-48,1.5703406788327517e-47,4.719466324441424e-47,7.7824071326587814e-37,2.5670239700138063e-57,1.1515754489020555e-30,7.0777344089783223e-56,1.0221837856842647e-22,4.3688106872198058e-52,3.1215923082607954e-68,7.38455175656833e-53,1.2639238080000214e-80,2.6157779946582719e-42,7.498889327120317e-36,1.5355909967945282e-34,8.9236796090558559e-34,1.424318386039292e-36,5.1625617483970137e-30,7.8696474783283332e-50,1.0452263279484793e-54,1.0076442088599467e-47,1.9677602326001149e-46,8.8987395608810429e-42,1.096739144697147e-34,4.6929132407103634e-54,5.182084130065776e-61,2.2100182499359318e-60,6.6350536396149389e-76,1.877514714526499e-77,1.8371734825293051e-70,1.997318876124098e-111,2.1302620614181285e-101,-6.9257599201733269e-61,8.7868156825237689e-46,2.3327811601212085e-54,1.3937024415531233e-50,1.4705022247597538e-63,6.8365816147231698e-47,6.4548370589480225e-58,1.3202274949888746e-76,7.9808135415259967e-41,1.5218735271397718e-34,3.465052986617986e-39,5.0903262533122501e-50,3.4729259121346607e-69,-2.9048369044706888e-88,4.9599549961878296e-71,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.166888508911264e-22,1.0221837655220586e-22,1.1668885708510509e-22,1.8124484387004329e-24,1.5110645544472771e-24,7.5553227757574063e-25,8.3669983752943149e-30,7.3718053612021151e-30,4.4049927388882095e-31,3.679463611200474e-31,2.1794327695000805e-30,1.8299025856657488e-31,6.2376094573769313e-34,1.7903434252002558e-32,8.3525969006863311e-33,1.3535920890574691e-32,2.4378181918176873e-32,4.0066375603976588e-32,6.801077300095025e-23,1.2570612964735681e-25,1.392078593351096e-30,5.0456418396723988e-30,3.2574557387706105e-37,1.5501689744575949e-40,9.3560644787762047e-33,8.4674072858505e-39,4.2087716030781097e-32,5.5258381225308207e-33,1.2942516376859382e-39,2.5399875412382804e-42,1.3825706084637842e-43,1.6676794447480031e-43,1.0798651452848484e-48,7.4047038226791239e-48,1.8239612717437698e-58,4.2620720316128431e-54,2.8792477614358502e-59,1.9063161784976528e-58
3.0000000000000002e-15,0.0035613754154733253,3.9514596799139955e-26,2.7832819073857195e-34,1.3384405916679783e-32,2.5088182206558904e-34,1.2361345761356664e-40,0.0,0.0,1.3776103137978445e-23,2.3095899473545695e-35,2.1384115343607294e-51,1.8820832808950925e-52,9.5624098453925504e-65,7.491694301594264e-33,6.420269448798385e-49,2.2346398270618001e-22,1.0933730084559461e-32,2.05117747091182e-45,5.2733795963093131e-46,4.0399594084492524e-30,6.4996028491906327e-47,1.0319374510156802e-46,4.449782132996482e-46,5.1141532080953249e-36,2.4204279410467404e-56,7.5674957537298828e-30,6.6754147968913314e-55,3.3586036883578538e-22,4.1191641274784503e-51,2.9432924694309411e-67,6.9625774006902548e-52,1.5528207475919718e-79,2.4663049543104957e-41,4.9277321766238406e-35,1.0091026316676411e-33,5.8641591673614079e-33,9.3598048325351133e-36,3.3925404985193357e-29,7.4199533147514469e-49,9.8549899196930854e-54,9.5006443124210557e-47,1.8553165474051261e-45,8.3902347598559172e-41,7.2071362985763004e-34,4.4247537478099912e-53,6.3665598552595296e-60,2.7151651875981524e-59,1.0047365926742124e-74,2.3291196564402249e-76,2.2570985750448761e-69,3.0252175349401825e-110,3.8344713059890932e-100,4.0960934951127135e-59,8.2847104984133891e-45,2.8659879825189759e-53,1.3140664123407815e-49,1.8066124114825076e-62,6.4458447354479828e-46,7.9302474210892221e-57,1.9988195174223902e-75,7.5247669312308753e-40,1.0000613083239944e-33,2.2770348092789418e-38,4.7993912153764027e-49,4.2666886552898462e-68,1.5520121187394554e-86,7.5107569284554778e-70,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.83406196603595e-22,3.3586035558633688e-22,3.8340623730688192e-22,5.9551862771735221e-24,4.9649251805589683e-24,2.4824625925933544e-24,5.4983130335544491e-29,4.8443290722759248e-29,2.8947091563731875e-30,2.4179329376536773e-30,1.4321986723420887e-29,1.2025072632746661e-30,4.0990046208513808e-33,1.1765113627730089e-31,5.48884927691705e-32,8.8950335064396835e-32,1.6019948187932882e-31,2.632933296103785e-31,2.2346394710512128e-22,4.130343971896841e-25,9.1479437193708636e-30,3.3157073500441702e-29,3.0713150644639843e-36,1.4615888924983504e-39,6.1482707439175988e-32,7.9835554412361445e-38,2.7657633907890974e-31,3.6312659256196648e-32,1.2202945896097771e-38,2.3948451306615481e-41,1.3035738187072737e-42,1.5723996735271169e-42,1.3266921624091755e-47,9.097207553779909e-47,2.7619560271179762e-57,5.2362468559652887e-53,4.3600056146497755e-58,2.8866964140450906e-57
7e-15,0.0035613754154733253,8.7619465800734959e-26,7.5559568155260288e-34,7.2742323390076121e-32,1.3634903247746749e-33,1.9965712273401329e-39,0.0,0.0,3.0547019831593379e-23,1.255212269456736e-34,3.4544773211568364e-50,3.0398435189853435e-51,4.8362800165575133e-63,4.0715767551891607e-32,1.0369712475504374e-47,4.9550706939829151e-22,5.9422443458982047e-32,1.1147551376833331e-44,2.8659588657144379e-45,2.1956297662016955e-29,1.0497842727387233e-45,5.6082601782094283e-46,7.1870664104001347e-45,2.77943091272979e-35,3.9093860186910129e-55,4.112769242734154e-29,1.0813227963223463e-53,7.4473374621944017e-22,6.6530707052317698e-50,4.7538452910889007e-66,1.1245617885360533e-50,7.8543742950636392e-78,3.9834560040796243e-40,2.6777285545900302e-34,5.4842526065347998e-33,3.1871379707069569e-32,5.0868444251964597e-35,1.8437717306842926e-28,1.1984348513673282e-47,1.5917284543520674e-52,1.5344963986934075e-45,2.9966137301354987e-44,1.3551420475557956e-39,3.9168983756001725e-33,7.14675102805889e-52,3.2202908790079587e-58,1.3733678858069181e-57,1.6593297077557225e-72,1.3144745243380804e-74,1.1416702842272694e-67,4.9972668598448655e-108,2.1348229633654699e-97,7.9031376158681392e-58,1.3381041531008101e-43,1.4496548909462948e-51,2.1224771963776607e-48,9.1378178265428299e-61,1.0409904643335693e-44,4.0113453564865148e-55,3.2916727286766687e-73,1.2153636900433643e-38,5.4341608157097051e-33,1.2375188809559745e-37,7.7508669272043327e-48,2.1578536328601114e-66,5.6658788968395474e-84,1.2403294854823287e-67,0.88168480800000004,0.0,0.0094599999999999997,0.10885,8.5016138779765813e-22,7.4473367421159704e-22,8.5016160901111262e-22,1.3204968936449094e-23,1.1009174119140576e-23,5.5045870721458331e-24,2.9882129527183451e-28,2.6327869554522158e-28,1.5732102328276686e-29,1.3140929531981037e-29,7.7836882683747199e-29,6.5353602507396522e-30,2.2277344740906086e-32,6.3940823994852933e-31,2.9830698526267278e-31,4.8342565565786768e-31,8.7064938289223397e-31,1.4309421577388981e-30,4.9550687591434016e-22,9.1585869543872224e-25,4.9717038655584397e-29,1.8020143527817392e-28,4.9606340518252096e-35,2.3607023530387528e-38,3.34145078650804e-31,1.289465167151937e-36,1.5031294288727958e-30,1.9735171797627527e-31,1.9709634440215954e-37,3.8680338127665612e-40,2.1055764895919802e-41,2.5399035097222091e-41,6.7106364733163915e-46,4.601494519711387e-45,4.5603489501996533e-55,2.6484873800176026e-51,7.2006363316378463e-56,4.7672370679687494e-55
1.5e-14,0.0035613754154733253,1.8382963504444036e-25,2.1291729740552493e-33,3.2181928824837429e-31,6.0320970808463791e-33,1.856887489546567e-38,0.0,0.0,6.4088879026158077e-23,5.5530615901202704e-34,3.2136333388406747e-49,2.8271369019923677e-50,9.299945527192407e-62,1.8012683225345264e-31,9.6440337867153745e-47,1.0395931741013244e-21,2.6288487036731188e-31,4.9317264531916848e-44,1.267894097970808e-44,9.7134635349247853e-29,9.7631897276137329e-45,2.481028038908145e-45,6.6840979303197313e-44,1.2296201045182535e-34,3.6359379735639608e-54,1.8194889743525237e-28,1.0102356544489023e-52,1.5624801525395282e-21,6.1874755062610185e-49,4.4211928044181426e-65,1.0458636273244425e-49,1.5106011253149343e-76,3.7046885581617754e-39,1.1843429835446092e-33,2.4262327457751218e-32,1.4100595837281766e-31,2.2504155442481637e-34,8.1568440833659441e-28,1.1145668491254188e-46,1.4803347933990437e-51,1.4271080957908643e-44,2.7869017339647306e-43,1.260295868907437e-38,1.7328185523821642e-32,6.646763287454275e-51,6.1934593673583908e-57,2.6413479269981295e-56,6.5099323948150121e-71,2.9212370922995488e-73,2.1957289645972896e-66,1.9612791570456671e-106,1.6934190114621119e-95,1.4172262268908011e-56,1.2444588765194754e-42,2.7880643471528185e-50,1.9740323518160912e-47,1.7573632729407449e-59,9.6797856770806863e-44,7.7152105888472039e-54,1.2860821586596423e-71,1.130310769994434e-37,2.4033712180877196e-32,5.4747832564481633e-37,7.2071723050682531e-47,4.1492670117412078e-65,4.302465927391794e-82,4.8656565621701917e-66,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.7836712296068735e-21,1.5624798339770453e-21,1.783672208254755e-21,2.7704506011921267e-23,2.3097648376567145e-23,1.1548824243917925e-23,1.321984930776137e-27,1.164744520033963e-27,6.9598727720189694e-29,5.8135396212144362e-29,3.4435035662677149e-28,2.89123947219492e-29,9.8556043991734114e-32,2.8287412496597165e-30,1.3197098040139322e-30,2.1386745245551839e-30,3.8517530525557108e-30,6.3304892007432755e-30,1.0395923181287912e-21,1.9215067310706465e-24,2.1994783525539825e-28,7.9721077386047364e-28,4.6134752554669992e-34,2.1955191316754844e-37,1.4782573100258362e-30,1.1992267986716053e-35,6.6498236579692232e-30,8.7308627099611899e-31,1.8330370508224477e-36,3.5973382845814774e-39,1.9583821537059192e-40,2.3625078221601281e-40,1.2906450239102338e-44,8.8498904520002423e-44,1.7885365835104888e-53,5.0935127311278088e-50,2.825007003907755e-54,1.8702160647363414e-53
3.1e-14,0.0035613754154733253,3.7625169849120042e-25,6.5525063888809565e-33,1.3414576790106315e-30,2.5142957211040574e-32,1.5672743049667963e-37,0.0,0.0,1.31172700644546e-22,2.3146145161596027e-33,2.7138020743606682e-48,2.3861576848121461e-49,1.5807004494467457e-60,7.5080215865479706e-31,8.1395599299401042e-46,2.1277651087826994e-21,1.0957496172872447e-30,2.055683876863615e-43,5.2847529715584158e-44,4.0487381474603137e-28,8.2401147710726396e-44,1.0340819181104187e-44,5.6413534862434593e-43,5.1252689863563619e-34,3.0689693569393719e-53,7.5839447762453146e-28,8.6023973270336224e-52,3.1979715713920055e-21,5.2222109311621404e-48,3.7315511315964271e-64,8.8270732177058904e-49,2.5683596118421629e-75,3.1267507295514613e-38,4.9342337797602177e-33,1.0112954326469567e-31,5.8779409198610002e-31,9.3800865685637918e-34,3.3999125427561174e-27,9.4069254387542478e-46,1.2493959774208249e-50,1.2044730421133573e-43,2.3521318503885644e-42,1.0636683479084522e-37,7.2225476832842195e-32,5.6101074172378765e-50,1.0530264193088717e-55,4.490892301474809e-55,2.2223419368763068e-69,6.2883109261720835e-72,3.7332269705833446e-65,6.7007747506621329e-105,1.1585463765508442e-93,2.4250977744570607e-55,1.0503161586445043e-41,4.7403315886495244e-49,1.6662271251277553e-46,2.9876497393969516e-58,8.1670377724206255e-43,1.3118747059170026e-52,4.3547684341843563e-70,9.5398002787957715e-37,1.0011957377214901e-31,2.2819844803448267e-36,6.0807220463428518e-46,7.0518306630037955e-64,2.9982832019969741e-80,1.6607243569879238e-64,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.6506887509122725e-21,3.1979702435700253e-21,3.6506928300829342e-21,5.6703467191064635e-23,4.7274502412894979e-23,2.3637251438340408e-23,5.5102587793814455e-27,4.8548538617268762e-27,2.9009882182551597e-28,2.423178041224957e-28,1.4353119643899616e-27,1.2051156237785596e-28,4.1080742525032478e-31,1.1790678044445719e-29,5.5007771284771319e-30,8.914361995596442e-30,1.6054776869852177e-29,2.6386586873107102e-29,2.1277615409443958e-21,3.9328005588718259e-24,9.167779592289343e-28,3.3229098381859612e-27,3.8937532639261954e-33,1.8530505023743761e-36,6.1616288717354508e-30,1.0121454837097982e-34,2.7717448837254584e-29,3.6391936441687988e-30,1.5470870591268264e-35,3.0361382034189517e-38,1.6531308697752311e-39,1.9945329143735069e-39,2.1944338210493899e-43,1.5046844784731161e-42,6.1016348741210606e-52,8.6593723226530586e-49,9.6441417452401932e-53,6.3839534454538379e-52
6.300000000000001e-14,0.0035613754154733253,7.6110272520041858e-25,2.2103965228141919e-32,5.4669912021163041e-30,1.02459964864921e-31,1.2828331881170017e-36,0.0,0.0,2.6534075679771044e-22,9.4321962787087502e-33,2.2235492029309681e-47,1.9530400077905687e-48,2.5916743966772685e-59,3.0595777721888429e-30,6.6618032173666975e-45,4.3041078792472426e-21,4.4652378232633108e-30,8.3774815952698573e-43,2.1535251171050525e-43,1.6498810640462469e-27,6.7440813743979814e-43,4.2135048135780991e-44,4.6171163077122366e-42,2.0885740378648148e-33,2.5121845546613494e-52,3.0904977069428874e-27,7.1647249521980715e-51,6.4689488339556664e-21,4.2740807589634368e-47,3.0541945185278487e-63,7.2244791948737542e-48,4.2136627218435889e-74,2.5590740270632114e-37,2.008851272402331e-32,4.1210797128575357e-31,2.3957530589199422e-30,3.8224068442990573e-33,1.3854814406954722e-26,7.6990535686554845e-45,1.0225555291167542e-49,9.8578906824016089e-43,1.9250772533989309e-41,8.7052290252887444e-37,2.9431129909339654e-31,4.5919746141852982e-49,1.7275996087955102e-54,7.3678126563762617e-54,7.3005932614555654e-68,1.4646282630554907e-70,6.1247392480582956e-64,2.2048309454126557e-103,7.6164362777935388e-92,4.0073244659068875e-54,8.5961805704909959e-41,7.7770064758028042e-48,1.3639555394731658e-45,4.9006981650483923e-57,6.679895417613503e-42,2.1526486148847979e-51,1.4077516093958127e-68,7.8077984618761651e-36,4.0752974098822241e-31,9.2992087030005607e-36,4.9732827026772372e-45,1.1559937961767062e-62,1.991835965084309e-78,5.45366335044883e-63,0.88168480800000004,0.0,0.0094599999999999997,0.10885,7.3847151442918142e-21,6.468943423023299e-21,7.3847317671042482e-21,1.1470093766626646e-22,9.5627832574819627e-23,4.781391723237671e-23,2.245457162758881e-26,1.9783764382742891e-26,1.1821622803921678e-27,9.8745316284513761e-28,5.8489732737071352e-27,4.9108857038628136e-28,1.6741333713467017e-30,4.8047599262720043e-29,2.241594534053335e-29,3.6326470450010227e-29,6.5424098475444137e-29,1.075268448770435e-28,4.3040933401436153e-21,7.9553792406389941e-24,3.7358971613289996e-27,1.3541012931961772e-26,3.1868041750188608e-32,1.5166792573670181e-35,2.5108937536252874e-29,8.28385812125071e-34,1.1294872228489823e-28,1.4830061656415937e-29,1.2662172937936741e-34,2.4848978196700177e-37,1.3534209909342161e-38,1.6333633810574379e-38,3.6003580403630853e-42,2.4686095751593895e-41,2.0018083111092927e-50,1.4204191304381918e-47,3.1683280502148018e-51,2.0968363333006541e-50
1.2700000000000001e-13,0.0035613754154733253,1.5308323777080538e-24,8.0026664463745511e-32,2.2065626292973322e-29,4.1348073708169215e-31,1.0373108952378975e-35,0.0,0.0,5.3367852076442754e-22,3.8063308606102054e-32,1.8016506934667681e-46,1.579152533963407e-47,4.1890399833126442e-58,1.2346925892132984e-29,5.385948562826361e-44,8.6567890245879548e-21,1.8019242201552089e-29,3.3810636999287334e-42,8.6901214711713458e-43,6.6580021200416543e-27,5.452435668615391e-42,1.6999888778889716e-43,3.7327979737858436e-41,8.4283331335560454e-33,2.0316938327514997e-51,1.2471547547311496e-26,5.9931879780676228e-50,1.3010881058593814e-20,3.4554771068255596e-46,2.4694499745139543e-62,5.8408337120686093e-47,6.8192870516249524e-73,2.068953325930486e-36,8.091535346727879e-32,1.6630386688768318e-30,9.6716463804743246e-30,1.5424902787183622e-32,5.5910328035651469e-26,6.2245119074332063e-44,8.2670233855806375e-49,7.9697829418545077e-42,1.5563591771834663e-40,7.0374741914064482e-36,1.187586883035449e-30,3.7131688556486633e-48,2.7959028824671261e-53,1.1923994500842357e-52,2.3640904935346068e-66,3.7713290084461837e-69,9.9120925443195814e-63,7.1628386217660762e-102,4.933845906550393e-90,6.5133342579456143e-53,6.9496857174455265e-40,1.2586102476175351e-46,1.1031137854435827e-44,7.9284062954761662e-56,5.3934878866618664e-41,3.4850218280733192e-50,4.4175853097168398e-67,6.3124199678344298e-35,1.6408448881109978e-30,3.752649515106128e-35,4.0152169035165567e-44,1.8678206934249601e-61,1.2975452944824326e-76,1.7647418960935178e-61,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.4852733334292868e-20,1.3010859223150931e-20,1.4852800414617757e-20,2.3069407111728174e-22,1.9233298128270637e-22,9.6166494454639663e-23,9.0614088653693396e-26,7.9836201310197883e-26,4.7705094561076424e-27,3.9847792099915746e-27,2.3603243901458326e-26,1.981743500182169e-27,6.7564559996922154e-30,1.9389334843427236e-28,9.045831054038689e-29,1.4659341804458106e-28,2.6401590203991505e-28,4.3391999801386162e-28,8.6567303529836933e-21,1.6000500708956465e-23,1.5075850032879413e-26,5.4643906312709572e-26,2.5764276119372763e-31,1.2262961840322335e-34,1.0132563419240717e-28,6.6973152002440151e-33,4.5578797149792404e-28,5.9847212305169486e-29,1.0237263394842482e-33,2.0089595954950564e-36,1.0948954572442301e-37,1.3220686415039323e-37,5.8272467783386779e-41,3.9951921259057792e-40,6.4653022660201274e-49,2.2979912096212817e-46,1.0260644661234046e-49,6.7877534872290778e-49
2.55e-13,0.0035613754154733253,3.0704020776914006e-24,3.0315609724875199e-31,8.8673336933075136e-29,1.6611141672673169e-30,8.3433812052898342e-35,0.0,0.0,1.0703606552980886e-21,1.5291003733986667e-31,1.4550188878498543e-45,1.2700083826044032e-46,6.7221713157137007e-57,4.9601580826944318e-29,4.3307140304589864e-43,1.7362133732951477e-20,7.2387307765922469e-29,1.3585485754142708e-41,3.4907577524467691e-42,2.6746598425031359e-26,4.3841216957855497e-41,6.8264259687994912e-43,3.0013620197736112e-40,3.3858473520265357e-32,1.6346630327810721e-50,5.0100981602837246e-26,5.1417499434553762e-49,2.6094656306521445e-20,2.7784025370094068e-45,1.9859300026167926e-61,4.6964314834661346e-46,1.0970357645486458e-71,1.6635771106771525e-35,3.2384978945066279e-31,6.6807782777340561e-30,3.8882736232504106e-29,6.1963442107068099e-32,2.2460361504908517e-25,5.0049287708913117e-43,6.6470699811703377e-48,6.4080817000585402e-41,1.2513814799070764e-39,5.6577872055701541e-35,4.7700657851882285e-30,2.9867002218420218e-47,4.4978343956648869e-52,1.9182780688734818e-51,7.6078364375535149e-65,1.0574419031998071e-67,1.5945724142683031e-61,2.3199626754391139e-100,3.1757951996665192e-88,1.0505072049602226e-51,5.5878017844048725e-39,2.0247540629844929e-45,8.8759523561071089e-44,1.274574784881911e-54,4.3254377785111428e-40,5.6103718206900313e-49,1.3387351049204399e-65,5.0755956884471201e-34,6.5619377791331816e-30,1.5075234271143023e-34,3.2195936271963067e-43,2.9951711134594172e-60,8.380050201794269e-75,5.6708960906678422e-60,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.9788631328598846e-20,2.609456858950514e-20,2.9788900803616634e-20,4.626731082853594e-22,3.857372324503136e-22,1.928686315433228e-22,3.6401533384345768e-25,3.20718326998088e-25,1.9163822268703401e-26,1.6007437895494748e-26,9.4819542260191153e-26,7.9609468028514261e-27,2.7146807918492832e-29,7.7891020351433254e-28,3.6339031224363307e-28,5.8889660909460008e-28,1.0606126662775047e-27,1.7431599444490158e-27,1.7361898037787113e-20,3.2090600065715219e-23,6.0561642887757584e-26,2.1951538052210935e-25,2.071570104978985e-30,9.8617768193352197e-34,4.0704588212535516e-28,5.3850962066449457e-32,1.8309141640672208e-27,2.404295842920414e-28,8.2317410876077786e-33,1.6152996488309386e-35,8.8147117826580059e-37,1.0654941140146063e-36,9.3761002190290611e-40,6.4273447870724425e-39,2.069739412057452e-47,3.6943379936008039e-45,3.302545631257583e-48,2.1829084032740488e-47
5.11e-13,0.0035613754154733253,6.1499830464208497e-24,1.1785903637389662e-30,3.5568934065321605e-28,6.6591074265466805e-30,6.6956069556236488e-34,0.0,0.0,2.1437513504357061e-21,6.1294718201074397e-31,1.1771338956334601e-44,1.018958892968043e-45,1.0730172569168562e-55,1.9883681115395548e-28,3.4732738727913238e-42,3.4772752820691751e-20,2.9016322566718798e-28,5.4481226927316396e-41,1.3990575847974851e-41,1.0721263152190936e-25,3.5160238807481727e-40,2.734112430174539e-42,2.4069733995374271e-39,1.3572094648778872e-31,1.3126626353563776e-49,2.0082887399719995e-25,4.6419183667576563e-48,5.2261850001846105e-20,2.2282020764584926e-44,1.593222439969498e-60,3.76651240097279e-45,1.7598580096902671e-70,1.334174192373008e-34,1.2885859626876323e-30,2.6779633131853095e-29,1.5609489999728414e-28,2.4836470475088263e-31,9.0031458940207517e-25,4.0139244403888089e-42,5.3306176865342599e-47,5.1389719640717659e-40,1.0035398508649152e-38,4.5361910610680947e-34,1.9114832414589052e-29,2.3970132425634797e-46,7.2153837452088543e-51,3.0774029359438681e-50,2.4411034768861745e-63,3.1424419438484255e-66,2.5579688852996062e-60,7.5399295509350002e-99,2.0380773735144526e-86,1.6884433320978192e-50,4.4810290688368216e-38,3.2480860360766236e-44,7.1282219796351897e-43,2.0418218351086221e-53,3.4510420375651176e-39,9.0125851752774448e-48,3.8465226300974381e-64,4.0705622744105801e-33,2.6068282770739793e-29,6.0428851541929588e-34,2.5679394559210844e-42,4.7742166462308139e-59,5.3926367157645959e-73,1.8143532872664918e-58,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.9659873785113569e-20,5.2261498396325991e-20,5.9660953958208744e-20,9.2660226579435375e-22,7.7252155151821007e-22,3.8626083715642392e-22,1.4591358355343307e-24,1.285581892229218e-24,7.6814821306363369e-26,6.4163063933115056e-26,3.8008288784683881e-25,3.191004554851581e-26,1.0885452339018758e-28,3.1222271795639489e-27,1.4566366507056668e-27,2.3605671600063081e-27,4.2514629478100982e-27,6.9874791264733525e-27,3.4771808054740496e-20,6.4270224467658269e-23,2.4274901156710598e-25,8.7991258835019191e-25,1.6613002485290161e-29,7.9115178673176701e-33,1.6316220951366821e-27,4.3188093721771123e-31,7.3384844876340964e-27,9.6383790387600398e-28,6.6022575279253012e-32,1.2953944531906383e-34,7.0869933749814083e-36,8.5846609245868985e-36,1.5046415915491766e-38,1.0311282076886397e-37,6.5725727656638501e-46,5.9184894707476167e-44,1.0600540663254032e-46,6.9950327179897707e-46
