Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HOCO(14),CH2O(15),HCO(16),CH3(17),CH4(18),CH2(19),CH(20),C2H4(21),CH3OH(22),CH2(S)(23),CH2OH(24),CH3O(25),HCOH(26),CH3OO(27),CH2CO(28),C2H5(29),C2H3(30),C(31),C2H2(32),C2H(33),CH3OOH(34),CH2OOH(35),C2H6(36),CH3CHO(37),C2H5O(38),C2H5O2(39),CH2CHO(40),H2CC(41),C2H4O(42),C2H5O(43),cC2H4O(44),C2H5O2(45),C2H3O2(46),CHCHO(47),OCHCHO(48),HCCO(49),HCCOH(50),CHCHOH(51),C2(52),C2O(53),C2H6O(54),C2H5O(55),C2H5O3(56),CH3CO(57),cC2H3O(58),HOCHO(59),C2H3O3(60),OCHCO(61),C2H6O2(62),C2H5O2(63),C2H4O2(64),HOCH2O(65),OCHO(66),C2H4O3(67),C2H3O2(68),N2,Ne,C7H16(1),O2(2),C4H9(82),C5H11(84),C3H7(83),C7H15(88),C7H15(85),C7H15(86),S(164),S(165),S(206),S(207),S(166),S(208),S(255),C4H8(127),C6H12(193),C5H10(134),C3H6(72),S(267),C6H13(87),C7H15(89),C6H13(188),S(228),S(229),S(334),S(513),S(506),S(290),S(277),S(1639),S(1643),S(1790),S(1801),S(1965),S(1957),S(2177),S(1944),S(2145),S(1948),S(2148)
0.0,0.0038024667101990623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0038024667101990623,1.5025683214184432e-25,1.4865560092512899e-33,2.2667361465862476e-32,5.9267925561356142e-34,1.5103888556930753e-40,0.0,0.0,1.8969675717658813e-23,2.3832818594015694e-35,1.0893393669848925e-50,1.6975673263320225e-51,6.8178087185489415e-64,1.2578417023588101e-32,1.9998279221912545e-48,6.2265752987530186e-22,2.0446366038718864e-32,2.745511189825273e-44,5.4608261243150213e-45,7.9570529619769095e-30,1.4342281199067969e-46,8.477630660048421e-46,1.4463814595364853e-45,1.3775653936632503e-35,2.7049714308054549e-55,9.1982494325349947e-30,5.9207448146427504e-54,8.7487719756582786e-22,2.4642569054087332e-50,1.5197922568809044e-65,5.2237099816249412e-51,7.1758035473283349e-78,3.159812345951348e-41,1.0493252301025071e-34,1.821135045677938e-33,1.00137330706547e-32,2.4786644344609349e-35,3.8959185474522281e-29,3.2877828013913998e-48,1.3187599856669211e-52,3.7849082263599513e-46,6.4837151218029877e-45,9.7376088894358302e-41,9.484789399400266e-34,1.6753780506395748e-52,3.0465930826085056e-59,1.2187586235709866e-58,1.0019046565032659e-73,6.9984192333761984e-75,3.4166226033032183e-68,1.991472887242648e-107,2.6449565364228072e-98,-6.8257984002395537e-59,2.3738723737996673e-44,5.7548831486920217e-53,4.2792514913300532e-49,7.2882987644264935e-62,1.7660416436467114e-45,1.6784387766835169e-56,1.9365537752625287e-74,8.6830927506148463e-40,1.6847731636317292e-33,5.2724856396669024e-38,1.2345693452066607e-48,4.2190902174311117e-67,-3.0448501465711971e-86,4.5287827262901706e-69,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.0269781786822266e-21,8.7487717893670812e-22,1.0269782287159678e-21,8.2189156938894224e-24,6.816326663685673e-24,3.4081633342825405e-24,6.7274059264650199e-29,5.7843514177768157e-29,1.8615492166007731e-30,1.5508394988876696e-30,1.7300874465933511e-29,7.704243192300451e-31,2.9825308485761801e-33,2.2761640104313255e-31,1.1630145600389577e-31,1.7212996957713789e-31,2.8706460970035963e-31,3.6531319608903113e-31,6.2265747562211544e-22,6.7651885276775723e-25,1.8379714568910997e-29,4.2567644745683635e-29,3.9861273323398649e-36,6.9398773221481293e-40,4.6476851584909409e-32,7.0637070656965939e-38,3.9718520625405401e-31,4.7754172529547718e-32,1.0370203832887511e-38,2.1923171472206733e-41,1.5290296728806648e-42,1.7287726328994664e-42,8.7138186940474336e-48,1.1309117629687209e-46,8.3554631991166092e-57,1.3243550254437141e-52,7.1377807969318508e-58,6.6057729915171389e-57,1.0001316375209049e-61
3.0000000000000002e-15,0.0038024667101990623,4.9370153421111808e-25,5.258226552193375e-33,1.4895724641285022e-31,3.8947511581112553e-33,1.4240829176484001e-39,0.0,0.0,6.2328946336828033e-23,1.5661567797716672e-34,1.0271066821253508e-49,1.6006061598817587e-50,8.376095074196174e-63,8.2658183652121721e-32,1.8855521829677522e-47,2.0458747157309311e-21,1.3436183324664924e-31,1.8042620742903049e-43,3.5885413885114965e-44,5.228920397274674e-29,1.3522722176612956e-45,5.5710230278881942e-45,1.3637309657981237e-44,9.0525724938615935e-35,2.5504966030723485e-54,6.0445638779671326e-29,5.5832818713742603e-53,2.8745963724832019e-21,2.3234421021748894e-49,1.4329849532300873e-64,4.9252123718444941e-50,8.8159894501891577e-77,2.9792516286281736e-40,6.89541966404658e-34,1.1967458629401903e-32,6.5804816565125412e-32,1.6288362331404251e-34,2.5601749929531392e-28,3.099909502528724e-47,1.2434021318456859e-51,3.5686271916052242e-45,6.1132160591995994e-44,9.1811655639320937e-40,6.2328532950118842e-33,1.5796454722457744e-51,3.7429568342445136e-58,1.497331980293419e-57,1.5171696530507387e-72,8.6480167299979352e-74,4.1975642668503577e-67,3.0163296335286825e-106,4.7609209935545057e-97,4.0369729250276053e-57,2.2382220532242585e-43,7.0702840230753478e-52,4.0347346981997746e-48,8.9541624279302279e-61,1.6651069176954642e-44,2.0620865775981253e-55,2.9317720215763033e-73,8.1869159047614825e-39,1.1071080038717815e-32,3.4647762829799771e-37,1.1640090031215944e-47,5.183397766363697e-66,1.6268193294393442e-84,6.8578374063530013e-68,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.3743566487007949e-21,2.8745962500632804e-21,3.3743569774939382e-21,2.7005002576685923e-23,2.2396496767724392e-23,1.1198248399894631e-23,4.4208666054467247e-28,3.801145086907966e-28,1.2233036041402515e-29,1.0191229659043154e-29,1.1369146066173379e-28,5.0627876888049499e-30,1.9599519250368644e-32,1.4957648934678219e-30,7.6426670184739988e-31,1.1311397808953715e-30,1.8864246313804636e-30,2.4006298160521346e-30,2.0458743592100125e-21,2.2228475213008774e-24,1.2078096456564471e-28,2.7973022353963356e-28,3.7583481661781301e-35,6.5433198718019918e-39,3.0541930081669225e-31,6.6600669754926744e-37,2.6100733370236586e-30,3.1381326942011065e-31,9.7776234325985711e-38,2.0670420089311549e-40,1.4416659387271535e-41,1.6300042732645022e-41,1.0705557430262536e-46,1.3894059303947663e-45,1.2652357287696303e-55,1.627060158803869e-51,1.0808360992159759e-56,1.0002965927839047e-55,1.8001529947875196e-60
7e-15,0.0038024667101990623,1.0947327984164079e-24,1.406505632930824e-32,8.0956084678537495e-31,2.1167188246328011e-32,2.3001392351424145e-38,0.0,0.0,1.3820773977819108e-22,8.5117262021458088e-34,1.6591269280353709e-48,2.5852154761828419e-49,4.2363212455447892e-61,4.4922977663423246e-31,3.0454545675754546e-46,4.5365046417246099e-21,7.3022732906502858e-31,9.805633476440313e-43,1.950288952236214e-43,2.8418041372464007e-28,2.1841243778017424e-44,3.0276804220854769e-44,2.2026302906551e-43,4.9198760262208399e-34,4.1194687617106588e-53,3.2850889408945932e-28,9.0306574162700536e-52,6.3741041388512582e-21,3.7527092102433425e-48,2.3144786027952182e-63,7.9549657564649087e-49,4.4592465384651793e-75,4.8119426037675819e-39,3.746993972172928e-33,6.5040527464024157e-32,3.5764494813523529e-31,8.8523568552768181e-34,1.3913992669698691e-27,5.0068235901951683e-46,2.0082807592675352e-50,5.7638652555842974e-44,9.8737545518480686e-43,1.4828847160391774e-38,3.3873908797533068e-32,2.5514157850734706e-50,1.8932374765606599e-56,7.5737114752026746e-56,2.5056160874265522e-70,4.677646097003274e-72,2.1231826550916215e-65,4.9825345082510949e-104,2.6506186895195619e-94,7.7890596063074623e-56,3.6150607727082603e-42,3.576242313623991e-50,6.5168834624813695e-47,4.5289386419753911e-59,2.6891326212666118e-43,1.0430604061391364e-53,4.8240696897091192e-71,1.3223107890580391e-37,6.0158784453414292e-32,1.8830306079673742e-36,1.8798507417741871e-46,2.6214948351277335e-64,5.9389646399927411e-82,1.1324954791893564e-65,0.88168480800000004,0.0,0.0094599999999999997,0.10885,7.482267648484347e-21,6.3741034735258589e-21,7.4822694354031356e-21,5.9880618430637159e-23,4.9661764187956549e-23,2.4830882181111273e-23,2.4026443771180618e-27,2.0658392596713014e-27,6.6483832551267493e-29,5.5387070547515873e-29,6.1788836911570771e-28,2.7515125914206634e-29,1.0652021620284178e-31,8.1291560510635416e-30,4.153623060068834e-30,6.1474981308046417e-30,1.0252309665956791e-29,1.3046909723824714e-29,4.5365027041115817e-21,4.9289218779546932e-24,6.5641768846403666e-28,1.5202724815203501e-27,6.0702949032836658e-34,1.0568556165845822e-37,1.659887164988164e-30,1.0757021908530248e-35,1.4185150217210181e-29,1.7055116964681343e-30,1.5792382917622329e-36,3.338587916828845e-39,2.3286479430642835e-40,2.6329799520741832e-40,5.4150734535171927e-45,7.0278121133084278e-44,2.0890523311287744e-53,8.2296188451775622e-50,1.7843242483415454e-54,1.6519223489772695e-53,1.0017458299640384e-57
1.5e-14,0.0038024667101990623,2.296805344805629e-24,3.8960305821475692e-32,3.5815750141454072e-30,9.3644099286943842e-32,2.1392157493526232e-37,0.0,0.0,2.8996555720450068e-22,3.7655910325168298e-33,1.5433037774383233e-47,2.4043198185700667e-48,8.146342255311045e-60,1.9873963347905207e-30,2.8323329518356075e-45,9.5177640011474073e-21,3.2305255161159305e-30,4.3380546444841595e-42,8.6280395171744676e-43,1.2572138368883438e-27,2.03127643998703e-43,1.3394139228889683e-43,2.0484848032360435e-42,2.1765529121144353e-33,3.8313259934650289e-52,1.4533232568982493e-27,8.4173752706070001e-51,1.3373117065309725e-20,3.490087315232884e-47,2.1525216496071023e-62,7.3982696373445261e-48,8.5762999501789377e-74,4.4751966420461556e-38,1.6572905283763251e-32,2.8773923055379577e-31,1.5822952653629021e-30,3.9162724010368235e-33,6.1555489921942191e-27,4.6564399639336296e-45,1.8677357528499886e-49,5.3604906290397134e-43,9.1827541768519445e-42,1.3790921765866019e-37,1.4985601273259209e-31,2.3729360597730001e-49,3.6411894974500462e-55,1.456624188528582e-54,9.8301082232440807e-69,9.8709116240869073e-71,4.0834302408086987e-64,1.9554630254150773e-102,2.102566795998168e-92,1.3967667337172415e-54,3.362064176087193e-41,6.8780421137960521e-49,6.0610800168071884e-46,8.709765011475378e-58,2.5005538238670468e-42,2.0061622983114677e-52,1.8825524637505601e-69,1.2297735891494897e-36,2.6606805589175972e-31,8.3305275520818005e-36,1.7480044814904347e-45,5.040847538806374e-63,4.509827783869809e-80,4.4425768791463347e-64,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.569808528273911e-20,1.3373114121912163e-20,1.5698093188064371e-20,1.2563173070209054e-22,1.0419219915905217e-22,5.2096099965001818e-23,1.0629294923836346e-26,9.1392694933890926e-27,2.9412404177470532e-28,2.4503205348731043e-28,2.7335381152332383e-27,1.2172673649019681e-28,4.7125344574228674e-31,3.5963379177740987e-29,1.8375626069457999e-29,2.7196526745019308e-29,4.5356231827722091e-29,5.7719591449690629e-29,9.5177554291522537e-21,1.0341067907292454e-23,2.9039874647825769e-27,6.7256819858262617e-27,5.6454781804108652e-33,9.8291060488510124e-37,7.3433383232702062e-30,1.0004238968839985e-34,6.2754877018918546e-29,7.5452190017708882e-30,1.4687270212682528e-35,3.1049521499656106e-38,2.1658891301996734e-39,2.4491236091241422e-39,1.0414770978841443e-43,1.3516349404877529e-42,8.1930210657904787e-52,1.582693014865479e-48,6.9964174372503205e-53,6.4805364731028314e-52,7.9416843511835556e-56
3.1e-14,0.0038024667101990623,4.7009905094411277e-24,1.1787747956898702e-31,1.4929260029972068e-29,3.903285978023175e-31,1.805566055090857e-36,0.0,0.0,5.9348211423088198e-22,1.5695664505805856e-32,1.3030184931073883e-46,2.0292910606321929e-47,1.3846541427776518e-58,8.2838438969820962e-30,2.3904895183204253e-44,1.9480280749735144e-20,1.3465389636708459e-29,1.8082236708633471e-41,3.5962850343185374e-42,5.2402829689955458e-27,1.7143936900859787e-42,5.5826538160154489e-43,1.7289134043548824e-41,9.0722484133720149e-33,3.2338891363768978e-51,6.0577028917840565e-27,7.1352469569912003e-50,2.7371132493123824e-20,2.9456236561770204e-46,1.8167593881427621e-61,6.2441313394248867e-47,1.4581645515819836e-72,3.7770583127272073e-37,6.9047838116503149e-32,1.1993465512029524e-30,6.5958839175391167e-30,1.6323619538544464e-32,2.5657385673537039e-26,3.9300279635395199e-44,1.5763609340627917e-48,4.5242252148989835e-42,7.7501918958635241e-41,1.1639210150199986e-36,6.2460827972294042e-31,2.0028727661672733e-48,6.1908353242750028e-54,2.4765928788289719e-53,3.3557739120705929e-67,1.9722530167095594e-69,6.9427305318017439e-63,6.6806523301577822e-101,1.4384632940926661e-90,2.3900802355860655e-53,2.8375598818010017e-40,1.1694191921709902e-47,5.1159660757214237e-45,1.4806645711529579e-56,2.109817249063256e-41,3.4112096731382487e-51,6.3595652387158672e-68,1.0379265042327969e-35,1.1084120871410784e-30,3.4723086163963593e-35,1.4748291760421812e-44,8.5673053016695873e-62,3.1427748221306486e-78,1.5162797148083315e-62,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.2129703090019585e-20,2.7371120224548209e-20,3.21297360407595e-20,2.5713347750160844e-22,2.1325266962569881e-22,1.0662633641957047e-22,4.4304715508030691e-26,3.8094034181102118e-26,1.225956534260514e-27,1.0213333121184965e-27,1.1393861160273572e-26,5.0737669822050725e-28,1.9643314253682666e-30,1.4990154900551045e-28,7.6592780307054948e-29,1.1335980413044609e-28,1.8905276100271666e-28,2.4058578911557302e-28,1.9480245020211021e-20,2.116534923009646e-23,1.2104288122239071e-26,2.8033781794158781e-26,4.7647579452819422e-32,8.2959992120429637e-36,3.0608288599306616e-29,8.4435727743276757e-34,2.6157136769623236e-28,3.1450069889642993e-29,1.2396128196901254e-34,2.6205791629672596e-37,1.8283432540294638e-38,2.0677242907497405e-38,1.7708015613022119e-42,2.2980925446155878e-41,2.7950046594364128e-50,2.6906717486958524e-47,2.3857781141071522e-51,2.2120881813801368e-50,5.4272745630850748e-54
6.300000000000001e-14,0.0038024667101990623,9.5095211256803055e-24,3.9222104620071632e-31,6.0842680804638283e-29,1.5906405323308655e-30,1.4778736442123428e-35,0.0,0.0,1.2005189169741199e-21,6.3960906345936983e-32,1.0672212630017288e-45,1.6609477439109412e-46,2.2703410093009058e-57,3.3757364193497687e-29,1.9564934118320844e-43,3.9405306365882261e-20,5.4872180582532861e-29,7.3690054829439723e-41,1.4654799837921315e-41,2.1354416545471871e-26,1.4031370546969938e-41,2.2747543371324187e-42,1.4150139273848084e-40,3.6969888271156571e-32,2.6471830931027008e-50,2.4685461802721106e-26,5.8904175966438465e-49,5.5367121648402715e-20,2.4108249309665705e-45,1.4869782280667428e-60,5.1104865913148383e-46,2.3922775656696037e-71,3.0913152803354249e-36,2.8112306091458792e-31,4.8873980726838878e-30,2.6883469474273126e-29,6.6518955384402063e-32,1.0455514773103392e-25,3.2165135489044401e-43,1.2901571406359413e-47,3.7027982755341238e-41,6.3430471423979617e-40,9.5255591278044487e-36,2.545169758634259e-30,1.6394355543620109e-47,1.0156710519440973e-52,4.0631298563495341e-52,1.1024019236234821e-65,4.198806805817177e-68,1.1390230937531989e-61,2.1980442811442966e-99,9.4566468339996092e-89,3.9494335445691844e-52,2.322360298898636e-39,1.9185488969651878e-46,4.1878305678268994e-44,2.4285622770632006e-55,1.7257166336297849e-40,5.5973797353152829e-50,2.0465042425605864e-66,8.4948548178652157e-35,4.5119286361288286e-30,1.4149846854372361e-34,1.2062782960128338e-43,1.4044885452089696e-60,2.0878071833504479e-76,4.9790522077946706e-61,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.4992868859826987e-20,5.536707165342484e-20,6.4993003135650456e-20,5.2013506014635058e-22,4.3137201267225502e-22,2.1568601288352629e-22,1.8054386693162763e-25,1.5523503078401456e-25,4.9958106893732168e-27,4.1619657053365485e-27,4.643060014906424e-26,2.067575616695643e-27,8.005286881677525e-30,6.1085646558773894e-28,3.1211957803468546e-28,4.6194701952554205e-28,7.7040117059904669e-28,9.8040429385254155e-28,3.9405160766456713e-20,4.2813868932282249e-23,4.9325340184219727e-26,1.1423895138097744e-25,3.8996672165830792e-31,6.7902297908671884e-35,1.2473027090717279e-28,6.9106215905647919e-33,1.0659024568739156e-27,1.2816307253764557e-28,1.0145710508973703e-33,2.1448083944508273e-36,1.4969482003140932e-37,1.6934098686493563e-37,2.90537419968588e-41,3.7702972863270529e-40,9.1693599256095853e-49,4.4134772067112034e-46,7.8202319456490196e-50,7.2654885051308589e-49,3.56015519053633e-52
1.2700000000000001e-13,0.0038024667101990623,1.9127223502350913e-23,1.4069652165645653e-30,2.4556901388902522e-28,6.4191980045399168e-30,1.1950155985575009e-34,0.0,0.0,2.4146072771859063e-21,2.5811295598798898e-31,8.640721342612809e-45,1.3429757470685669e-45,3.6699734674366404e-56,1.3622824030541619e-28,1.5817947541428373e-42,7.9255326074087572e-20,2.2143394704220211e-28,2.9740475524130121e-40,5.9136670161135957e-41,8.6174554300961375e-26,1.1344042068319952e-40,9.177990355544356e-42,1.143995532960385e-39,1.4919007801735655e-31,2.140870630553577e-49,9.9616946222022251e-26,4.8440749140229952e-48,1.1135893315805939e-19,1.9490867948359626e-44,1.202286455861052e-59,4.1317245996005615e-45,3.8716220621825914e-70,2.4992585598129056e-35,1.1324425431734862e-30,1.9722826414875713e-29,1.085262237556392e-28,2.6842856743999525e-31,4.2192654479658343e-25,2.6004802371146881e-42,1.043050109274349e-46,2.9935767447401182e-40,5.1281128749942099e-39,7.7003967762096379e-35,1.0269758311722529e-29,1.3257600327398978e-46,1.6437359468534265e-51,6.575733431739142e-51,3.5698166841534702e-64,9.9117357989226404e-67,1.8433520921660729e-60,7.1397171205038567e-98,6.1259147092797133e-87,6.4191547560388685e-51,1.8775322088550226e-38,3.1049135224372954e-45,3.3868824235893176e-43,3.9283105256318627e-54,1.3935049998221083e-39,9.0616716506707212e-49,6.3668659056943016e-65,6.8678902230132279e-34,1.8168187238195342e-29,5.7101034377848238e-34,9.7397740700723973e-43,2.269543208242773e-59,1.3600403682667736e-74,1.61098996473643e-59,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.3071892102172835e-19,1.1135873140680267e-19,1.3071946288351631e-19,1.0461305817727511e-21,8.6760430734195123e-22,4.3380218009205649e-22,7.2857406914351552e-25,6.2644169567677894e-25,2.0160122675126386e-26,1.6795227637552712e-26,1.8736843921745261e-25,8.3435056966019985e-27,3.230922295422146e-29,2.4650780675114577e-27,1.2595423015313102e-27,1.8641623327979091e-27,3.1089242893790153e-27,3.9564079207866879e-27,7.9254738517208171e-20,8.6110736563475542e-23,1.9904769794966567e-25,4.6100394461385485e-25,3.1527506617269667e-30,5.4904083225103311e-34,5.0334168189213599e-28,5.5871135901035243e-32,4.3012767468853647e-27,5.1721472716700621e-28,8.202834319689911e-33,1.7340419562612978e-35,1.2111367694962369e-36,1.3708466029890384e-36,4.7025967294333326e-40,6.1018718399548342e-39,2.9611878662142322e-47,7.139913857471615e-45,2.5212566427433225e-48,2.3518075452693361e-47,2.2962015943271533e-50
2.55e-13,0.0038024667101990623,3.8365192803017822e-23,5.3008429882272148e-30,9.8683630977124775e-28,2.5789342171986253e-29,9.611735849185832e-34,0.0,0.0,4.8428430162180023e-21,1.0369128101727988e-30,6.9677885647608717e-44,1.080063270727311e-44,5.8902432439250393e-55,5.4727594522724194e-28,1.271891620579348e-41,1.5895523939433878e-19,8.8954968823015115e-28,1.1950003873938246e-39,2.3754881629600701e-40,3.4618142705555879e-25,9.1213653526320027e-40,3.6856654913090664e-41,9.1983114831817994e-39,5.9932941451078887e-31,1.7225023949447731e-48,4.0018352571285526e-25,4.0265430710158392e-47,2.2334188897773737e-19,1.5671797374050178e-43,9.6687709818802575e-59,3.3222028393240332e-44,6.2284379594775446e-69,2.0095717526443198e-34,4.5331665270761855e-30,7.9230806525232357e-29,4.3628808956117303e-28,1.078294547593509e-30,1.6949689761233146e-24,2.0909641982645991e-41,8.3866178317734088e-46,2.4069531637193522e-39,4.1231905465029637e-38,6.1903461238268195e-34,4.1246702689517297e-29,1.0665040880187886e-45,2.6443167712877371e-50,1.0578757523926967e-49,1.1487964002854652e-62,2.597162136848126e-65,2.9653997047193792e-59,2.3117812350496641e-96,3.9431012401775337e-85,1.0352898401575162e-49,1.5095918672251947e-37,4.9948930327127629e-44,2.7250646371947862e-42,6.3130992392133743e-53,1.117754920871183e-38,1.4587371198012825e-47,1.8996394856636004e-63,5.5222322324380388e-33,7.2670475628049385e-29,2.2938789311361563e-33,7.8110899522143969e-42,3.6400367156386045e-58,8.7833661008599536e-73,5.17571473744482e-58,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.6216990784508464e-19,2.2334107850570786e-19,2.6217208461223282e-19,2.098091051605888e-21,1.740043331975886e-21,8.7002177212232981e-22,2.926831337880079e-24,2.5165441345217304e-24,8.0985937357738372e-26,6.7468761258570377e-26,7.5270147762209233e-25,3.35169849520379e-26,1.2982781075668545e-28,9.9027480351400658e-27,5.0598576291720543e-27,7.4887424093959454e-27,1.2489314880152807e-26,1.5894059074420756e-26,1.5895287906573118e-19,1.7270378473723405e-22,7.9960103376648866e-25,1.8519427408809117e-24,2.5349554827478015e-29,4.4157197673488144e-33,2.0220272441526508e-27,4.4924663291987953e-31,1.7278231282742614e-26,2.0779201963344715e-27,6.5960423536840713e-32,1.3943068541388536e-34,9.7526317422035818e-36,1.1050876354439954e-35,7.5671516540666015e-39,9.8166083102518661e-38,9.4779550518327524e-46,1.1477361467156331e-43,8.0430956047306161e-47,7.5624505541676854e-46,1.4652745754679092e-48
5.11e-13,0.0038024667101990623,7.6851389358112773e-23,2.0547446485238274e-29,3.9583368022328919e-27,1.0339210564451068e-28,7.7132991790576604e-33,0.0,0.0,9.6995505663745134e-21,4.1565714658204319e-30,5.6203050299124204e-43,8.6655538642819791e-44,9.4054523715893661e-54,2.1938789763148246e-27,1.0200816419455878e-40,3.1835456165177309e-19,3.5657457636659195e-27,4.7922161990412562e-39,9.5207909271206383e-40,1.3876544802959413e-24,7.3152472860243906e-39,1.4763213858953764e-40,7.3766774386994283e-38,2.402398450563182e-30,1.3831953596447598e-47,1.6041290814100295e-24,3.4404328054641427e-46,4.4730513185030307e-19,1.2568391188849244e-42,7.7568070550091301e-58,2.6644085379734577e-43,9.9918229642494898e-68,1.6116594897684467e-33,1.8043299877950823e-29,3.1759383829918316e-28,1.7513405978866369e-27,4.3219815198442391e-30,6.7942215510733035e-24,1.6769453182009822e-40,6.7256665004188673e-45,1.9302219124404634e-38,3.3065125901925215e-37,4.9625370354359391e-33,1.6526293748603054e-28,8.561355420282287e-45,4.2419937905260255e-49,1.6971072331497104e-48,3.68611364180742e-61,7.3830133004645666e-64,4.7569254172994653e-58,7.5088740742751529e-95,2.5305022215844234e-83,1.6638975998398022e-48,1.2105673782753269e-36,8.0125872853112594e-43,2.1883052570717441e-41,1.0106724050900247e-51,8.9211529718547698e-38,2.3431529815458558e-46,5.3191561234312934e-62,4.4287628347106098e-32,2.8880193946775617e-28,9.1949985525899703e-33,6.2321171290563967e-41,5.804259174255547e-57,5.6517954379335023e-71,1.6552218439102406e-56,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.2506741157326659e-19,4.4730188314932399e-19,5.2507613700679694e-19,4.2018897074540836e-21,3.4848191303269919e-21,1.7424099905613275e-21,1.1732047469086339e-23,1.0087428828473967e-23,3.2461653842787508e-25,2.7043603751952436e-25,3.0171963217304742e-24,1.3434634116560083e-25,5.2068873144422976e-28,3.9694832540660058e-26,2.0282314758565183e-26,3.0018387727689087e-26,5.006378668226068e-26,6.3713356279519822e-26,3.1834510046269209e-19,3.4588713276292441e-22,3.2050430402116763e-24,7.4233771233003093e-24,2.0329040198259138e-28,3.5430739700699467e-32,8.1051929690687057e-27,3.6030028242288477e-30,6.9251825312041731e-26,8.3305362080444326e-27,5.2906317025894996e-31,1.1182554500913159e-33,7.8444310072710266e-35,8.9081811755666015e-35,1.2145487229883594e-37,1.5748943901667557e-36,3.0087122239310707e-44,1.8383972461515743e-42,2.5366967433809615e-45,2.4228182857731274e-44,9.244286760302818e-47
