Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),HOCO(37),HCOH(38),CH3OO(39),CH3OOH(40),CH2OOH(41),C2H5O(42),C2H5O2(43),H2CC(44),C2H4O(45),C2H5O(46),cC2H4O(47),C2H5O2(48),C2H3O2(49),CHCHO(50),OCHCHO(51),HCCOH(52),CHCHOH(53),C2(54),C2O(55),C2H6O(56),C2H5O(57),C2H5O3(58),cC2H3O(59),HOCHO(60),C2H3O3(61),OCHCO(62),C2H6O2(63),C2H5O2(64),C2H4O2(65),HOCH2O(66),OCHO(67),C2H4O3(68),C2H3O2(69),N2,Ne,C7H16(1),O2(2),CH4(3),C4H9(99),C5H11(101),C3H7(100),S(160),S(162),S(161),S(177),C7H15(105),S(194),S(267),S(266),S(268),C7H15(102),S(310),C7H15(103),S(829),S(830),S(859),S(882),S(752),S(926),C7H15(106),S(900),S(992),S(1016),S(1066),S(847),S(779),S(1065),S(1245),S(1588),S(184),S(1604),S(848),S(1887),S(1607),S(1912),S(1910),C7H14(241),S(303)
0.0,0.0015421840848233734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0015421840848233734,1.1148507666081232e-34,1.6537680132665314e-43,3.369995858005911e-40,1.3425989036953161e-43,2.8163029096430181e-48,0.0,0.0,1.0390315121726867e-27,7.5212236351734913e-41,6.3459922987867346e-50,1.1776914287687126e-56,3.2361227425996296e-59,4.7012647630154279e-77,8.8110414386864396e-64,9.9242429693279281e-50,9.3919419694986561e-28,3.3699442968023093e-40,-1.9634295122115375e-105,2.503680042760851e-103,4.9121203717221286e-69,5.7903028903188264e-67,1.2844263750301129e-44,5.2864143141857668e-55,1.2686459519450325e-43,3.8181531399982353e-75,1.16095156677542e-63,6.0342103890146956e-38,2.8048607005956519e-42,1.1667172285528539e-29,3.3221033200349291e-55,2.7476696193892234e-76,4.9562773182778931e-71,1.8609140706305311e-56,4.9746942298386661e-93,7.757784489094246e-70,6.2670654066775797e-35,1.8092249383170016e-47,1.4482296372763476e-51,3.5425925303491132e-57,1.925365323550265e-36,5.0888139187114819e-77,1.0546707229271767e-76,7.8591641848620883e-69,9.5535100131811151e-60,8.7413481012169543e-52,2.857603823718217e-70,1.0285790570956779e-72,7.1177162405104313e-72,1.2315037236899534e-108,6.4247935780863789e-100,-2.5881225925746403e-147,-1.7995279711155519e-139,6.5992183538503908e-69,2.8621963042912977e-67,2.565451992582645e-75,3.2229615899419874e-86,6.0739517110467763e-70,4.5865976877140379e-83,4.970909547139458e-91,1.1466974082683386e-47,1.5210648616809288e-52,6.250233745961257e-65,7.120877881448995e-64,4.96094232055583e-97,-1.0991566963204685e-108,-5.870056577545011e-98,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.0743804087047654e-29,1.1667173491520085e-29,1.0743804256335142e-29,7.1788030890327138e-37,5.4863012982845255e-37,7.7957807517879009e-37,2.9154368804243986e-47,4.3178995668005658e-29,1.5153105331823551e-47,2.2979263162496181e-35,1.5515551085482668e-53,8.0642726799174138e-54,3.7083395741112711e-29,5.6708805298216974e-46,1.854169787073223e-29,1.9735269348372563e-35,9.8676346720109265e-36,2.6364411136512954e-45,1.4030774273789037e-51,1.0773090328479305e-63,2.8900778875406897e-70,1.0332220439227958e-30,7.9576244916129325e-62,5.8683129725360581e-62,6.9037908180148234e-38,1.7012646344457799e-48,2.0147856974926355e-46,4.8703195532022956e-46,3.1337534124376452e-57,2.0271609629549368e-63,1.0788269739832088e-69,4.4182149867777933e-48,1.4412092631541146e-79,4.2672183156747055e-47,2.2709544566960522e-53,4.1254361325562307e-81,3.3316276921491434e-87,5.6088858075974499e-64,9.2172472546529407e-40,4.2778429654948709e-47
3.0000000000000002e-15,0.0015421840848233734,3.6630803856441325e-34,9.7717228775543404e-43,2.2145686343867338e-39,8.4007609638489151e-43,2.6553712543828199e-47,0.0,0.0,3.4139606830539526e-27,4.9425183889547092e-40,4.1702007909108597e-49,1.110390412912964e-55,3.0512011657084322e-58,4.4325998328270029e-76,5.7901120457776018e-63,6.5216086152723413e-49,3.0859235840441967e-27,2.2145347593595832e-39,1.1614822946305584e-103,3.0760379545590895e-102,4.6316030652326054e-68,5.459425631421378e-66,4.2202045338099978e-44,4.9843333944953506e-54,8.3368160114878899e-43,4.7092239377786234e-74,1.0946111888168516e-62,3.9653379625019047e-37,1.8431940382916172e-41,3.8334988128353365e-29,3.132268518712332e-54,4.1606605417398504e-75,6.0891394850004458e-70,2.2862007272333632e-55,8.4463917598066434e-92,7.3164063570308328e-69,4.1183571477436334e-34,1.7058406216384655e-46,1.3654477917387581e-50,3.3433928339732504e-56,1.2652399761364095e-35,3.3440774858649104e-76,1.5980354914030418e-75,9.6627187531540716e-68,1.1737168945489385e-58,8.2418420386015368e-51,3.5107697020418476e-69,1.2636641541205581e-71,8.7446210893664126e-71,2.216726172625455e-107,9.7290747071098693e-99,1.3834929353697203e-145,4.2877237433479822e-127,8.116602707781403e-68,3.5190252732983689e-66,3.8871691579765823e-74,4.8804840035890864e-85,9.1975883405192865e-69,8.2557150698545608e-82,7.5271823208129878e-90,1.0811717863210929e-46,1.4340936331502119e-51,7.6788582755374962e-64,8.7483781928254263e-63,8.8069246609183496e-96,5.5586309222561012e-107,3.3275859946860799e-96,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,3.5301068212881125e-29,3.8334996053439833e-29,3.5301069325341696e-29,4.7174990356471168e-36,3.6052836302425237e-36,5.1229414879997895e-36,2.7488399797853071e-46,1.4187376740062175e-28,1.4287210983957338e-46,1.5100655154320387e-34,1.9061960060905079e-52,9.9075336146917694e-53,1.2184537830889368e-28,5.3468293512480573e-45,6.0922689155602271e-29,1.2968888284623741e-34,6.4844441402608048e-35,2.4857865085204835e-44,1.7237803990323829e-50,1.6313533744856345e-62,5.2021393825020666e-69,3.3948722142331854e-30,1.1085099524740297e-60,9.8513156613505633e-61,4.5367766978218851e-37,1.6040494815649078e-47,1.8996547552620634e-45,4.5920148380284839e-45,2.9547032759143426e-56,2.4905256313414816e-62,1.63365950782912e-68,4.1657452182444876e-47,2.5941863219159343e-78,4.0233759730053824e-46,2.790029071240705e-52,7.4258117887168606e-80,6.948845075106922e-86,8.4934539477053961e-63,6.0570468178779422e-39,4.0333941446836835e-46
7e-15,0.0015421840848233734,8.1224780600546829e-34,4.9581256181877664e-42,1.2035696542922079e-38,4.4298446587650267e-42,4.288826010246349e-46,0.0,0.0,7.5700867332815471e-27,2.6861512987920304e-39,2.2663331280932284e-48,1.793384170215456e-54,4.9281480802365692e-57,7.1590060512292072e-75,3.1467968432687003e-62,3.5442224953535788e-48,6.842698796001777e-27,1.203551272418588e-38,2.2416307546825908e-102,1.5564351293238662e-100,7.4833356065934525e-67,8.8177580083197914e-65,9.3575002363602539e-44,8.0504521279397013e-53,4.5308774036682031e-42,2.4933932451819253e-72,1.7679586499731167e-61,2.1550739429382385e-36,1.0017354080457869e-40,8.5003627346969457e-29,5.0590834190821148e-53,6.8689949441226619e-73,3.0799643062731174e-68,1.1559968981905743e-53,4.1355059905830271e-89,1.1817624097064074e-67,2.2382371576754216e-33,2.7551905538892559e-45,2.2050222032719296e-49,5.3993038166924834e-55,6.8763009070593048e-35,1.817432548770341e-75,2.6397412344112387e-73,4.8879174037143546e-66,5.9368207953839301e-57,1.3311816892968043e-49,1.7757919917939874e-67,6.3906551111399962e-70,4.4231409182865916e-69,1.2343472339156167e-104,1.6070158824686126e-96,5.0578244222846291e-143,4.1342351419578135e-125,4.1050447717588281e-66,1.780109870470986e-64,6.4210859559285136e-72,8.0601483474899697e-83,1.518719157132376e-66,4.5947338134338027e-79,1.2426404130692248e-87,1.7462554232864717e-45,2.3154906684324669e-50,3.8840716791876566e-62,4.4242691011317045e-61,4.7682347470476154e-93,8.6306574807668698e-104,2.9439188909773513e-94,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,7.8276266510769574e-29,8.5003670418062641e-29,7.8276272556748881e-29,2.5638576865283181e-35,1.9593929941763089e-35,2.7842068038841786e-35,4.4397855452272357e-45,3.1458917226928973e-28,2.3075971759057923e-45,8.2068654400089969e-34,9.6417889771238935e-51,5.0113602941101107e-51,2.7017846510370532e-28,8.6359267575242983e-44,1.3508923255813113e-28,7.0482982356667282e-34,3.5241491145205561e-34,4.0149095989263525e-43,8.7190950488956935e-49,2.6941879925465835e-60,2.8962623290674158e-66,7.5277587385941461e-30,8.7291077086388934e-59,2.5847471810925316e-58,2.4656390660468899e-36,2.5907824928685147e-46,3.0682253566403287e-44,7.4167887572321825e-44,4.7726115845998995e-55,1.2598251434434684e-60,2.6981825285260241e-66,6.7283046567166621e-46,1.444399162344557e-75,6.4983426109127394e-45,1.4112314460274815e-50,4.1345580244556658e-77,1.3362926314093602e-82,1.4026977288101309e-60,3.2918683971376234e-38,6.5145330208039205e-45
1.5e-14,0.0015421840848233734,1.7041259683753483e-33,2.1369525565971362e-41,5.3245902714329443e-38,1.9379950101521334e-41,3.9886873499754679e-45,0.0,0.0,1.5882338837648697e-26,1.1883533349141543e-38,1.002566734919306e-47,1.6677866877947514e-53,4.5832641843579877e-56,6.6575513828741385e-74,1.3921405852851095e-61,1.5678684931367448e-47,1.4356245208685666e-26,5.3245091592310151e-38,4.0214839600139268e-101,2.9949707497693568e-99,6.9634288984320793e-66,8.2006197230873092e-64,1.9631048649618378e-43,7.4870693215304167e-52,2.0044595288331011e-41,5.1164816379879982e-71,1.6442284835069256e-60,9.5340395049357538e-36,4.4316739005300934e-40,1.7834077870641764e-28,4.7050354566287835e-52,2.6935173049703481e-71,5.9235642419424769e-67,2.2221488749804624e-52,3.2455650114212831e-87,1.0993372594171236e-66,9.901958079701165e-33,2.5623781619696622e-44,2.0501535809985881e-48,5.0246723798239322e-54,3.0420730879610732e-34,8.0403151797026664e-75,1.036247564295327e-71,9.4064707739064772e-65,1.14180671536774e-55,1.23802295941646e-48,3.4153050342147042e-66,1.2287649939228829e-68,8.5068392045700951e-68,9.7935041253730366e-103,6.3061319461269842e-95,3.8535469889529139e-141,1.9390212105082945e-123,7.8998332930306119e-65,3.4257014742719351e-63,2.5206399267141892e-70,3.162178119317465e-81,5.9567509581181844e-65,3.6429096964004642e-77,4.8724355043306132e-86,1.624049101819985e-44,2.1523011161015212e-49,7.4700909444904371e-61,8.506783710177136e-60,3.7731275432740097e-91,1.3262531376138904e-101,1.2451020309382934e-92,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.6422661716035271e-28,1.7834096925272166e-28,1.6422664390775035e-28,1.134250284077316e-34,8.6683525255041394e-35,1.2317327030738782e-34,4.1290728921986943e-44,6.600185112420958e-28,2.1461030197438578e-44,3.6307081863456935e-33,1.8543661894348776e-49,9.6381463189371734e-50,5.6684337572262879e-28,8.0315552750120836e-43,2.8342168788908867e-28,3.1181593387104348e-33,1.5590796662742428e-33,3.7339233835368436e-42,1.676904774658997e-47,1.0569897305967213e-58,2.2974167471215496e-64,1.5793527583931336e-29,1.9286263707151124e-57,1.1636526710757255e-56,1.0907983967866938e-35,2.4094756581079807e-45,2.8534999974766661e-43,6.8977366945502482e-43,4.4390824993597054e-54,2.4232147283764464e-59,1.0586628632906781e-64,6.2574422048224825e-45,1.1458612707711846e-73,6.0435525496101466e-44,2.7141590787519075e-49,3.2799906804398195e-75,2.1324519011175045e-80,5.5030927186203948e-59,1.4563189973847098e-37,6.0586238620399352e-44
3.1e-14,0.0015421840848233734,3.4878768030822284e-33,8.799025966594854e-41,2.2193801282132493e-37,8.0362338594236437e-41,3.3664435219356212e-44,0.0,0.0,3.250684306203079e-26,4.9532629990189231e-38,4.1783912394690997e-47,1.407453055978404e-52,3.8682576422593908e-55,5.6182024756998134e-73,5.8026645828867811e-61,6.534369786732509e-47,2.9383321989145494e-26,2.2193464896901493e-37,6.8881493041552825e-100,5.0972957195629245e-98,5.8834003337159188e-65,6.9212092400539995e-63,4.0173974355827538e-43,6.3190707802379158e-51,8.3549301174747422e-41,9.7774484306848007e-70,1.3877158559825884e-59,3.9739469679602603e-35,1.8471957269571335e-39,3.6501457311556225e-28,3.9710306596354252e-51,9.1859262401858865e-70,1.0071346831958527e-65,3.7743409529986881e-51,2.2136451101298762e-85,9.283361578220668e-66,4.1273054936926241e-32,2.1626417976962585e-43,1.729401169844091e-47,4.2464193317870518e-53,1.2679868904712773e-33,3.3513377125806733e-74,3.5419457724640795e-70,1.6013509751239078e-63,1.9413305170010104e-54,1.0448877435002421e-47,5.8067605773694466e-65,2.0880843842846798e-67,1.4463477686282119e-66,6.703213969758689e-101,2.1537467174458412e-93,2.7010474389771366e-139,7.5601775881919522e-122,1.3448664537204119e-63,5.8318862531513007e-62,8.6156791580806014e-69,1.0794927808326371e-79,2.0324589465963094e-63,2.4898331162720783e-75,1.6614903039990004e-84,1.3706928237417793e-43,1.8146371680184606e-48,1.2700849732382944e-59,1.4455909085915344e-58,2.5784602194661926e-89,1.852699767428552e-99,6.304911526949641e-91,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,3.3612713467494057e-28,3.6501536734390666e-28,3.3612724616261642e-28,4.727749184134844e-34,3.613118118705143e-34,5.1340725806449681e-34,3.4849126812905632e-43,1.350871306179705e-27,1.8112981204455484e-43,1.5133347992627177e-32,3.1528321945729763e-48,1.6386978734240092e-48,1.1601681451207037e-27,6.7785887953524147e-42,5.8008407267611596e-28,1.2996965875697959e-32,6.4984829118456971e-33,3.1513956820482045e-41,2.8510970484804993e-46,3.6083058419457176e-57,1.571764289128088e-62,3.2325048461075218e-29,3.5271503032169783e-56,4.2780940648950269e-55,4.5466344224891066e-35,2.0335924596381127e-44,2.4083375393409966e-42,5.8216521085670094e-42,3.7473480544571778e-53,4.1208208832182264e-58,3.6147363074467897e-63,5.2812589186990334e-44,7.8408871171176178e-72,5.1007021781831447e-43,4.6146527273186006e-48,2.244415146922222e-73,2.92140312050702e-78,1.878620835856041e-57,6.0701612159022926e-37,5.1134454323942511e-43
6.300000000000001e-14,0.0015421840848233734,7.0553565124927739e-33,3.5642315313820328e-40,9.0440819486862145e-37,3.2665506069469484e-40,2.7552466655815288e-43,0.0,0.0,6.5755851573385849e-26,2.0184815357866356e-37,1.7023267235820593e-46,1.1516685139893187e-51,3.1659414391906383e-54,4.5969513413771949e-72,2.3646018184271545e-60,2.6621594423875205e-46,5.9437411370570453e-26,9.0439462537847426e-37,1.1414263672631384e-98,8.3796031506341713e-97,4.8254904302780038e-64,5.6644676457705162e-62,8.1243148060766063e-43,5.171808433166614e-50,3.4046751340530111e-40,1.9568159205215746e-68,1.1357527869721321e-58,1.6193999004294296e-34,7.5273993127743503e-39,7.3836012870591756e-28,3.2500527015052854e-50,3.011686484561797e-68,1.6522978446218595e-64,6.1797597288341521e-50,1.452858743655762e-83,7.6061072678466252e-65,1.6818973165059624e-31,1.7700022035525846e-42,1.4139123743351706e-46,3.4846329814580599e-52,5.1670992451439914e-33,1.3656840423790158e-73,1.1664846160892853e-68,2.6338945798287529e-62,3.1849684641862748e-53,8.5518089090806946e-47,9.5265279916229667e-64,3.4221527344152846e-66,2.3728682579440245e-65,4.4107705606420056e-99,7.0816936474584259e-92,1.8149776534571853e-137,2.9826199467670224e-120,2.2120431068825289e-62,9.5922464830710602e-61,2.8374437963054214e-67,3.5462147549394193e-78,6.6699967004107471e-62,1.6336383824841035e-73,5.4460555435926381e-83,1.1218339692938337e-42,1.4820864408230138e-47,2.0837155503275366e-58,2.3691815975095427e-57,1.6928155813664403e-87,2.458372401098472e-97,4.7088186433119596e-89,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,6.7992743456737462e-28,7.3836336521545173e-28,6.7992788888471917e-28,1.9265810732169824e-33,1.4723638508823678e-33,2.0921598588829841e-33,2.8521810632779226e-42,2.7325533644238449e-27,1.4824333175527007e-42,6.1668612833381903e-32,5.1725351644614979e-47,2.6884472677331152e-47,2.3467974769019777e-27,5.547854347642672e-41,1.1733987389227189e-27,5.2962824757444061e-32,2.6481412165901211e-32,2.5791969156843196e-40,4.6774708191940825e-45,1.1853509554753699e-55,1.0332920564542019e-60,6.5388022961308627e-29,6.0104516668449466e-55,1.4611423734920039e-53,1.8527760268239177e-34,1.6643825767423905e-43,1.9710734177948529e-41,4.7646610494599008e-41,3.0682561648714718e-52,6.763305061535338e-57,1.1879352689319734e-61,4.3224021198729146e-43,5.1566992309798227e-70,4.1745704263717042e-42,7.5707405454066848e-47,1.4760621178204548e-71,3.8437455524700908e-76,6.1713788834654983e-56,2.4735999226506712e-36,4.1850377811054882e-42
1.2700000000000001e-13,0.0015421840848233734,1.4190228092327464e-32,1.4340521488217742e-39,3.6496857725396394e-36,1.3165461629170132e-39,2.2275499805002356e-42,0.0,0.0,1.3225386884645662e-25,8.1454852314098858e-37,6.8665114846458311e-46,9.3068659902255531e-51,2.5595670801680805e-53,3.7145292760098672e-71,9.5421122415302885e-60,1.0737925386262261e-45,1.1954533341653796e-25,3.6496321296020721e-36,1.8726298798847118e-97,1.3616201688378705e-95,3.9178643766173689e-63,4.5793308602587231e-61,1.6331483878672887e-42,4.181282554578598e-49,1.3739368996217229e-39,4.3047260137382001e-67,9.1820362882923136e-58,6.5349698134548998e-34,3.0376269000846913e-38,1.485043107063477e-27,2.6275645756560178e-49,9.714043528245637e-67,2.6739989450717634e-63,9.961148585201248e-49,9.3908338989526996e-82,6.1626087756525001e-64,6.7871992065170158e-31,1.4310041810795909e-41,1.140686978021126e-45,2.8320700801586458e-51,2.0851450820121008e-32,5.5111180322976704e-73,3.7962656341952125e-67,4.2843477003976493e-61,5.1545145619792069e-52,6.9139042576108677e-46,1.5417268339314912e-62,5.5268158530975214e-65,3.8401372487994405e-64,2.862456977508627e-97,2.2974088447516948e-90,1.2092493932576509e-135,1.2691868903010845e-118,3.5981938939156301e-61,1.5602906327545363e-59,9.2343456896292824e-66,1.1483307975873823e-76,2.1554906103559748e-60,1.0541184346328969e-71,1.7557735359622815e-81,9.0697256061570408e-42,1.1932620054036312e-46,3.3722601237521504e-57,3.8262834783105312e-56,1.0938644979003587e-85,3.1902010287821965e-95,4.9095568924656183e-87,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.3675250938178512e-27,1.4850561677288988e-27,1.3675269271857509e-27,7.7746062989143201e-33,5.9416424466556675e-33,8.4427899011890742e-33,2.3058770407555907e-41,5.4958233575951718e-27,1.1984896803974832e-41,2.4885587667152559e-31,8.371050624020665e-46,4.3508900975795169e-46,4.719975315158622e-27,4.4852354187046163e-40,2.3599876594828743e-27,2.1372477209360212e-31,1.068623843262239e-31,2.0851452118387555e-39,7.5697334561628432e-44,3.8383588938260526e-54,6.6934716143343127e-59,1.315137029460988e-28,9.9175507345203787e-54,4.8268511435963785e-52,7.4767712041284799e-34,1.3456133991869199e-42,1.5935377746804019e-40,3.8520525619985087e-40,2.4826474071397835e-51,1.0954195080254223e-55,3.8497827974775129e-60,3.494533845053727e-42,3.3430414263084663e-68,3.3749249307474495e-41,1.225203894087565e-45,9.5689498668500825e-70,4.9841725234230116e-74,1.9983877613693731e-54,9.9819025272001708e-36,3.3834484759516629e-41
2.55e-13,0.0015421840848233734,2.8459619904262764e-32,5.7523430365452843e-39,1.4661536712621478e-35,5.2855020210822439e-39,1.7910922516102033e-41,0.0,0.0,2.6524990439401813e-25,3.27222656108582e-36,2.7559096387572987e-45,7.476738921522533e-50,2.0580235864267357e-52,2.9835160682482414e-70,3.8331831607487e-59,4.3095842631890278e-45,2.3976015064971554e-25,1.4661330182338623e-35,3.1292583693705576e-96,2.2081175862166139e-94,3.1768588297824055e-62,3.6816663636561353e-60,3.2719202596844085e-42,3.3620196203523276e-48,5.5193895986244384e-39,1.0563563459430019e-65,7.3825423916468622e-57,2.6252132508813107e-33,1.2202685741176956e-37,2.9783765331946492e-27,2.1126908085643369e-48,3.1016002242579915e-65,4.3016040545669238e-62,1.5897503020299254e-47,6.0200193930836159e-80,4.976450122711447e-63,2.7265588696389952e-30,1.1506192834418147e-40,9.1330680095768025e-45,2.3010084506393082e-50,8.3763974250308046e-32,2.2139138357843694e-72,1.233855665138775e-65,6.962208149149513e-60,8.2923275565333093e-51,5.5591790542880922e-45,2.4801412155298948e-61,8.8543173192234924e-64,6.177551763957192e-63,1.8492958074350134e-95,7.420702335376461e-89,8.1603117908617746e-134,6.0004546105977224e-117,5.8473068521221012e-60,2.5355109907027919e-58,3.00134868219956e-64,3.6953549176012619e-75,6.9084026058835467e-59,6.7324874400261318e-70,5.6008170690852774e-80,7.2925904838509426e-41,9.5156436999217537e-46,5.4251249493490512e-56,6.1300434830341836e-55,7.0064885304976358e-84,4.0862844969827238e-93,5.8834616828955051e-85,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.7427086502818459e-27,2.9784289999464769e-27,2.7427160152738711e-27,3.123220775091042e-32,2.3868838946592684e-32,3.391644006502882e-32,1.8540046005068671e-40,1.1021986876327112e-26,9.6362735184748902e-41,9.996716886735492e-31,1.3466551980092628e-44,6.9993015603033709e-45,9.4660077124756048e-27,3.6063027554861129e-39,4.7330038638842655e-27,8.585475572901451e-31,4.292737648109824e-31,1.6764726470117739e-38,1.2177075547837223e-42,1.2351736397535116e-52,4.3083151657554233e-57,2.6376398685729913e-28,1.6111268260954166e-52,1.5690594803796473e-50,3.0035749515057829e-33,1.0819598416993338e-41,1.281262285411513e-39,3.0971992649091649e-39,1.9994818292911359e-50,1.7650051121680357e-54,1.2408162056524039e-58,2.8097907144315434e-41,2.1551634199653448e-66,2.7134718794449693e-40,1.9709326825442726e-44,6.1685360240264901e-68,6.4262874912030045e-72,6.430726624798511e-53,4.0098036398939493e-35,2.7204233382664299e-40
5.11e-13,0.0015421840848233734,5.6996998202886501e-32,2.30408968918385e-38,5.876999718302387e-35,2.1179716543689062e-38,1.4364286696407359e-40,0.0,0.0,5.3124197949464118e-25,1.3116691906482272e-35,1.1026857536232984e-44,5.9857113363575265e-49,1.6504528656775269e-51,2.3876114338668654e-69,1.5364478249580551e-58,1.7242272615169511e-44,4.801856777512153e-25,5.8769241181156437e-35,5.8164992034587672e-95,3.5988294906464741e-93,2.5905238065714143e-61,2.9519865407792464e-59,6.5388507176943055e-42,2.6962913083398289e-47,2.2124207341748687e-38,2.8477851173404106e-64,5.9200442986026407e-56,1.0522882822190322e-32,4.8913142247381919e-37,5.9649132687902344e-27,1.6942837557115259e-47,9.7986570300201016e-64,6.9002058998211592e-61,2.5103872491938108e-46,3.8324338280851968e-78,4.0252335653169854e-62,1.0929280882272924e-29,9.2278016953232939e-40,7.2631340348467681e-44,1.8836156227410785e-49,3.3575880501277429e-31,8.8742336895002923e-72,4.0372358808225828e-64,1.1392894166923122e-58,1.3302921185726033e-49,4.4583111879065007e-44,3.9783920861495158e-60,1.4087365225063045e-62,9.9094348483917673e-62,1.1957786386822271e-93,2.3991938848648612e-87,5.7099696018013019e-132,3.1438708454214033e-115,9.568874715640062e-59,4.1490432696917093e-57,9.82067427209549e-63,1.185674081031181e-73,2.1988332926899683e-57,4.254611187689885e-68,1.7662210539637913e-78,5.8484704094689981e-40,7.507757205040368e-45,8.7032270652385859e-55,9.7532805140035417e-54,4.4528311359615862e-82,5.1716024282047915e-91,7.2812329409334795e-83,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,5.4930287158668431e-27,5.9651235740183961e-27,5.4930582378643453e-27,1.2519280936100639e-31,9.5677319085314267e-32,1.3595242645698405e-31,1.4867749948758103e-39,2.2072808248577043e-26,7.7275864856408009e-40,4.0068632595425078e-30,2.1602425378039676e-43,1.1227966392079572e-43,1.8956779566518808e-26,2.8920192617871464e-38,9.4783898139056511e-27,3.4412124916599438e-30,1.7206061348898798e-30,1.3443177228297021e-37,1.9532644386382777e-41,3.9629972216695347e-51,2.7647375647505075e-55,5.2826025048079808e-28,2.5971183693584509e-51,5.0599019101499692e-49,1.2039692135774097e-32,8.6771665373326433e-41,1.0274827003187625e-38,2.4837515409352596e-38,1.6088061151301708e-49,2.8403163941117334e-53,3.9937185574164075e-57,2.2533493654168954e-40,1.3873568590156124e-64,2.1758695754203681e-39,3.1614902968933349e-43,3.9705333020102181e-66,8.2729821443230249e-70,2.0632483411044733e-51,1.6072032911893357e-34,2.1816016696493743e-39
