Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),HOCO(37),HCOH(38),CH3OO(39),CH3OOH(40),CH2OOH(41),C2H5O(42),C2H5O2(43),H2CC(44),C2H4O(45),C2H5O(46),cC2H4O(47),C2H5O2(48),C2H3O2(49),CHCHO(50),OCHCHO(51),HCCOH(52),CHCHOH(53),C2(54),C2O(55),C2H6O(56),C2H5O(57),C2H5O3(58),cC2H3O(59),HOCHO(60),C2H3O3(61),OCHCO(62),C2H6O2(63),C2H5O2(64),C2H4O2(65),HOCH2O(66),OCHO(67),C2H4O3(68),C2H3O2(69),N2,Ne,C7H16(1),O2(2),CH4(3),C4H9(99),C5H11(101),C3H7(100),S(160),S(162),S(161),S(177),C7H15(105),S(194),S(267),S(266),S(268),C7H15(102),S(310),C7H15(103),S(829),S(830),S(859),S(882),S(752),S(926),C7H15(106),S(900),S(992),S(1016),S(1066),S(847),S(779),S(1065),S(1245),S(1588),S(184),S(1604),S(848),S(1887),S(1607),S(1912),S(1910),C7H14(241),S(303),S(1907)
0.0,0.0018557488258602523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0018557488258602523,8.849276645675179e-26,1.3463744921629332e-33,6.6457120265457934e-34,1.5854443926572207e-33,9.0563898580103577e-42,0.0,0.0,1.3156644339572486e-22,2.9905154016743421e-34,3.7793268260531714e-39,7.629603084029198e-46,1.976670387128715e-49,4.4447125067929064e-60,3.7784462410381258e-49,6.283803977715361e-39,1.0602866576815017e-22,5.8279259958611962e-34,-4.5457070085845471e-82,5.7645516186544149e-80,3.631646069170191e-53,2.7312695910071601e-51,9.204646109377333e-34,9.5444649376364535e-47,4.2819493098755338e-36,3.5168370462332384e-61,1.6445140436325221e-50,3.905109123329274e-30,1.9199716321983725e-33,4.9099508460534025e-22,3.5010751860766827e-45,1.8637881726602411e-61,8.1304841893963755e-58,2.842911109417006e-45,2.6527744201634702e-74,5.892036429506188e-56,4.4569701456442502e-30,5.0045792616795805e-41,1.060005998753206e-42,3.231205585042402e-44,4.9250726782260319e-29,2.8268882145673223e-57,3.0549888469578663e-61,7.1145940559285242e-54,1.0835180669852052e-48,7.9260704536935298e-42,2.3915174883152265e-57,3.1610713946696396e-59,1.2897142783652594e-58,1.4973304509302444e-87,1.5249656806139875e-79,-9.6642397691862954e-114,-4.2025757575808111e-107,5.2180314104929499e-55,3.9044667060100543e-52,9.5225963376694053e-61,1.0907588601274905e-69,1.3539141333660962e-57,1.5403922513658734e-68,3.1791618436882076e-74,4.6553752982049288e-39,2.2450270880794108e-41,5.9619289798327469e-52,7.1575544647591295e-53,1.3128445775406999e-77,-1.0783740685514684e-88,-1.9427290963818602e-80,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,5.7745540538550064e-22,4.9099510643721378e-22,5.7745541488468986e-22,3.3197315558117033e-29,2.4070976742383581e-29,2.8226802182364563e-29,8.7071457658058319e-38,1.102703341247527e-23,2.5249265228221388e-38,4.8768482881063456e-30,3.8508479438322269e-44,1.1166814369598756e-44,9.1582549109659073e-24,1.1669937571806988e-39,4.5791274557926546e-24,4.050356842458956e-30,2.0251783995065278e-30,2.7069633337002658e-38,1.197189569141962e-44,7.4630671843383042e-53,1.935875975308618e-58,8.6183797124221539e-25,4.5274945171754818e-53,7.1665022179353034e-53,4.9546175969690342e-32,1.1863992413554083e-41,4.784517421667503e-39,9.6922046173816046e-40,4.1891171651293658e-46,9.7378749058790313e-52,4.3067012672819726e-58,2.4767451658788699e-38,2.8782864184353281e-66,4.1635052714639751e-39,1.8413641099231204e-45,5.215697431611915e-67,3.500872392234053e-73,8.856787798729631e-55,4.5594874347426361e-33,4.1635253444061741e-39,1.8413730086419553e-45
3.0000000000000002e-15,0.0018557488258602523,2.9076193644397341e-25,4.7065598719580357e-33,4.3671820972481037e-33,7.3942176725248374e-33,8.5388817418323852e-41,0.0,0.0,4.3228974905442278e-22,1.9651958481712142e-33,2.4835459919248243e-38,7.1936012457932182e-45,1.8637176786604065e-48,4.1907112311155853e-59,2.4829784262467101e-48,4.1293367054648753e-38,3.4837988971973087e-22,3.8297798824039057e-33,2.6884592794288006e-80,7.0822991552364907e-79,3.4242099831904589e-52,2.5751959571641912e-50,3.0243506043396649e-33,8.9990668425790529e-46,2.8138523593063388e-35,4.3410995600410483e-60,1.550541538873291e-49,2.5662144807746037e-29,1.2616955874431498e-32,1.6132693973280056e-21,3.3010132116227272e-44,2.8222401411881886e-60,9.9889378458605409e-57,3.492616434707416e-44,3.2734220936750826e-73,5.5553552881068374e-55,2.928866048188047e-29,4.7186033653251204e-40,9.9941260061161917e-42,3.0479519329743324e-43,3.2364761839036008e-28,1.8577322016878133e-56,4.6274286132214261e-60,8.7438399231161183e-53,1.3311792564977749e-47,7.4731515353277676e-41,2.9381496584242716e-56,3.883396892103144e-58,1.5845059351617653e-57,2.6953615244562771e-86,2.3094034720020377e-78,5.1634450358972183e-112,2.903187935421804e-99,6.415589192595091e-54,4.7985915269304347e-51,1.4424017824969675e-59,1.6517168438703579e-68,2.0501778878136722e-56,2.7726501287900243e-67,4.8132318576499598e-73,4.3893537242913641e-38,2.1166585429454979e-40,7.3246551473623379e-51,8.7933821869436092e-52,1.6392937947942664e-76,5.4535304512546579e-87,1.4151692301244519e-78,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.8973533638598909e-21,1.6132695407945953e-21,1.8973534262831292e-21,2.1815378193002816e-28,1.5818070125557993e-28,1.8549040926053822e-28,8.2095931299347161e-37,3.6231665154616887e-23,2.3806446238022293e-37,3.2047853047375251e-29,4.7310410436515456e-43,1.3719227148777357e-43,3.0091395688556645e-23,1.1003082290369765e-38,1.5045697846313735e-23,2.6616624884766658e-29,1.3308312237567088e-29,2.552278826501574e-37,1.4708324798650097e-43,1.1301208282619969e-51,3.4845747480061181e-57,2.8317532097299087e-24,6.0631723519844174e-52,1.1644875370616257e-51,3.2558914963714143e-31,1.1186049847555271e-40,4.5111153405651607e-38,9.1383629676096789e-39,3.9497468996756212e-45,1.1963691907889406e-50,6.5215836545499138e-57,2.3352163016670074e-37,5.1809203289144899e-65,3.9255895345008869e-38,2.2622467905673402e-44,9.3882637715427551e-66,7.3018251955835109e-72,1.3411704612145257e-53,2.996234339499099e-32,3.9256084398691897e-38,2.2622577202481962e-44
7e-15,0.0018557488258602523,6.4473292203519296e-25,1.2255770697594711e-32,2.3734682071823606e-32,3.0455230749146594e-32,1.3791585929001193e-39,0.0,0.0,9.5855557213515881e-22,1.0680412670467256e-32,1.3497121048791103e-37,1.1618392962534272e-43,3.0101847311555584e-47,6.7683715016123253e-58,1.3494429149164253e-47,2.2441333168196424e-37,7.7249446027828579e-22,2.0814019058292941e-32,5.1868324289066932e-79,3.5825091162412695e-77,5.5309026675175172e-51,4.1593155772079261e-49,6.7059556388010229e-33,1.4534854985628276e-44,1.5292674298150553e-34,2.3196551648717118e-58,2.504355463045964e-48,1.3946814789432446e-28,6.8570392353909538e-32,3.5772484626174698e-21,5.3316285659985765e-43,4.6592862583605861e-58,5.0528918929537144e-55,1.7659893756014435e-42,1.8829450447828621e-71,8.9727414541877879e-54,1.5917748581300206e-28,7.6212584683209135e-39,1.6138826732135362e-40,4.9218835730373126e-42,1.7589539261295806e-27,1.0096652350368644e-55,7.6419664320565385e-58,4.4223143909906323e-51,6.733285388960397e-46,1.2070263042759138e-39,1.4861546735540414e-54,1.9630318028135277e-56,8.0146412857028884e-56,1.5022919009550605e-83,3.8181839337988725e-76,1.8850825326811449e-109,2.7224181891657126e-97,3.2440915558545163e-52,2.4269511240353769e-49,2.3820595610504029e-57,2.7277342638167333e-66,3.3850262814744187e-54,1.5431040029826287e-64,7.9262903307035139e-71,7.0894692388621077e-37,3.4175213786245631e-39,3.7049100064870083e-49,4.4466939929708668e-50,1.2223824022339449e-74,8.4673936865149575e-84,2.7993146330790573e-76,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,4.2071741361777242e-21,3.5772492423268375e-21,4.2071744754343501e-21,1.1856181670387967e-27,8.5967761629774158e-28,1.0080998706484766e-27,1.3259715326652291e-35,8.0339675927655406e-23,3.8450960945574337e-36,1.741728621774467e-28,2.3930222272518567e-41,6.939364780115097e-42,6.6724313523362351e-23,1.7771619767585572e-37,3.3362156772744e-23,1.4465536511137593e-28,7.2327679247604823e-29,4.1223038651204684e-36,7.4396504509548756e-42,1.8663861161570411e-49,1.940003142073926e-54,6.2791041431372445e-24,3.9730341056351551e-50,2.5271869812265436e-49,1.7695060098391105e-30,1.8067162936206408e-39,7.286118705544687e-37,1.4759820266996155e-37,6.3795560290142632e-44,6.0515056712380164e-49,1.0770640718469717e-54,3.7717197236285321e-36,2.8845044620116731e-62,6.3404048586492573e-37,1.144272686721265e-42,5.2269623190080871e-63,1.4041036195563612e-68,2.214949190319358e-51,1.6283873068160579e-31,6.3404350894653647e-37,1.1442781967025111e-42
1.5e-14,0.0018557488258602523,1.3526746889808267e-24,3.2861823047521241e-32,1.0500220969487975e-31,1.1913529593447059e-31,1.2826430965526248e-38,0.0,0.0,2.0110873442909992e-21,4.7250148976988497e-32,5.9708239496239402e-37,1.0804793805683631e-42,2.7995257936584766e-46,6.2943300694131499e-57,5.969921625037447e-47,9.9275210051729899e-37,1.6207233659051817e-21,9.2081205309524609e-32,9.3002175095101379e-78,6.8902893499094412e-76,5.1440174462234448e-50,3.8682180667341251e-48,1.4068520734924378e-32,1.3517685705022201e-43,6.7654779574342891e-34,4.8178604742166122e-57,2.3290916529762916e-47,6.1700686280994653e-28,3.0335526874036783e-31,7.5052033525003517e-21,4.9585030339274204e-42,1.8269977552695535e-56,9.7190494567217744e-54,3.3946648653730624e-41,5.1226030538969541e-70,8.3448262616857744e-53,7.0420107372923066e-28,7.0879122033639327e-38,1.5004743070170596e-39,4.5778855194568333e-41,7.7816083356106412e-27,4.4667946742150257e-55,2.9983723206093883e-56,8.5060362197308751e-50,1.2949873347440109e-44,1.1225557981601527e-38,2.8582613488321532e-53,3.771846712315639e-55,1.5414242779142234e-54,1.1935505037532692e-81,1.5003485786588711e-74,1.4314412166952072e-107,1.2149849334306267e-95,6.239749641919222e-51,4.6680810832317453e-48,9.3461940496249349e-56,1.0701027464665789e-64,1.3275352995648332e-52,1.2234194477998724e-62,3.0967616954827739e-69,6.5933363846158191e-36,3.1766052869690889e-38,7.1255134112626757e-48,8.5489368219399588e-49,4.9476756376821521e-73,1.301148783226665e-81,3.0837415451087932e-74,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,8.8268135191531517e-21,7.5052068019319666e-21,8.8268150200237114e-21,5.2451732055169744e-27,3.803212981411268e-27,4.45983250726794e-27,1.233175272075704e-34,1.6855538469783062e-22,3.5760032253476544e-35,7.7053888877193844e-28,4.6024018485195471e-40,1.3346199163136944e-40,1.3998989004390698e-22,1.6527902944583288e-36,6.99949450708969e-23,6.3995382933051382e-28,3.1997688389957425e-28,3.8338007499143022e-35,1.4308341208669118e-40,7.3221676331828266e-48,1.5388619961215462e-52,1.3173803587788246e-23,8.2124204846282558e-49,1.0652171091835991e-47,7.8282928370629779e-30,1.6802796993588832e-38,6.7762036446126164e-36,1.3726879817263668e-36,5.9332765572401697e-43,1.1638943229968198e-47,4.2256831791717401e-53,3.5077578144767308e-35,2.2881529290344154e-60,5.8966706316362626e-36,2.200729353951773e-41,4.1463207528133081e-61,2.240510656905157e-66,8.6897353419495943e-50,7.2039786756332587e-31,5.8966983029537323e-36,2.200739898045681e-41
3.1e-14,0.0018557488258602523,2.7685574059232017e-24,9.6104437246242067e-32,4.3766724463285258e-31,4.6672748421295756e-31,1.0825482559289742e-37,0.0,0.0,4.1161513925793328e-21,1.9694685056634369e-31,2.4884967281341729e-36,9.1183505499764861e-42,2.3627911357792647e-45,5.3117704867335643e-56,2.4883557019446378e-46,4.137535585778635e-36,3.3171802351986636e-21,3.8381032665254653e-31,1.5910838320789027e-76,1.1715495629565029e-74,4.3417686844405075e-49,3.2647309170676237e-47,2.8791071488394907e-32,1.1408901386717212e-42,2.8199677217333903e-33,9.3866444074033305e-56,1.965739791671923e-46,2.5717898949385394e-27,1.2644362241963175e-30,1.5361100169503746e-20,4.1849493873598395e-41,6.2305361570491312e-55,1.6527984304570154e-52,5.7656696438273058e-40,1.8889293468627942e-68,7.0430351487916791e-52,2.9352313173168682e-27,5.9821845471404135e-37,1.2656245724247869e-38,3.8645784625393059e-40,3.2435063184750435e-26,1.8618433811400602e-54,1.0237827681931202e-54,1.4465260203465876e-48,2.2017707814709662e-43,9.4743310887635799e-38,4.859676787450633e-52,6.4009965314736943e-54,2.62076451921484e-53,8.1912429911073741e-80,5.1380407828116871e-73,9.9748920264802395e-106,4.3540605107737741e-94,1.0611261217135072e-49,7.9384719389555327e-47,3.19124828246776e-54,3.6527454727002591e-63,4.5285922331423991e-51,8.3614492695260302e-61,1.0485186232940589e-67,5.5647602647068175e-35,2.6781467499924178e-37,1.2114981209927967e-46,1.4524303167090911e-47,2.6011993537555877e-71,1.8175859894451168e-79,3.787248808560432e-72,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.806608363847146e-20,1.5361114547312132e-20,1.8066089894354378e-20,2.1862779720511492e-26,1.5852445477115128e-26,1.8589345352182149e-26,1.0407927487113917e-33,3.4498555114484262e-22,3.0181272178049092e-34,3.2117247515767723e-27,7.8250972436864576e-39,2.2691487666893451e-39,2.8652000649700615e-22,1.3949462290151461e-35,1.4326000345251172e-22,2.6674263863182437e-27,1.333712933499028e-27,3.2356898361164551e-34,2.4327216980148248e-39,2.4995561960849169e-46,1.0527810312934712e-50,2.6963192788389272e-23,1.4473114434324433e-47,3.7720053483002172e-46,3.2629669263260809e-29,1.4181527730099802e-37,5.7190660584450664e-35,1.1585414755536151e-35,5.0079572830979964e-42,1.9789876227606167e-46,1.4426280801375561e-51,2.9605215541246917e-34,1.5655122976077963e-58,4.976739306939687e-35,3.7417129191270028e-40,2.8368326834262029e-59,3.0690202457374255e-64,2.9664630557032843e-48,3.0027378564517388e-30,4.9767619255159808e-35,3.7417306681656425e-40
6.300000000000001e-14,0.0018557488258602523,5.6003195719990124e-24,3.1071159727280449e-31,1.7835161882884009e-30,1.8428393066342036e-30,8.8600590617904402e-37,0.0,0.0,8.3262815050560318e-21,8.0256931627859606e-31,1.013875956601007e-35,7.4614390165282255e-41,1.933808805355506e-44,4.3463594347623024e-55,1.0140092941006548e-45,1.6857211873262872e-35,6.710090205948764e-21,1.5640469027248612e-30,2.6281471878761101e-75,1.922188051034768e-73,3.5538464685107141e-48,2.6719404987496874e-46,5.8225858858332205e-32,9.3375570375420978e-42,1.1491513771793177e-32,1.9293982243129017e-54,1.6088346740202714e-45,1.0480168507032921e-26,5.15263645764637e-30,3.1072841952635505e-20,3.4251212574834986e-40,2.0425880616360234e-53,2.7127116320576225e-51,9.4395240331122042e-39,9.7707736753276515e-67,5.7643648093906043e-51,1.1961218625433112e-26,4.896088272890259e-36,1.0345843772143122e-37,3.1643444598895821e-39,1.3217438783764737e-25,7.587116172986241e-54,3.3645960609070716e-53,2.3742029872127191e-47,3.6122445890749066e-42,7.7541871746613704e-37,7.9727870825253984e-51,1.0462451523539616e-52,4.2996340030273311e-52,5.4187096177514824e-78,1.6985296248469248e-71,6.6259042769750127e-104,1.4858451633158422e-92,1.7416462295998982e-48,1.3029492888870439e-45,1.0488002656929534e-52,1.1997363484512131e-61,1.4855147464381414e-49,5.4857504019259046e-59,3.3890848563317074e-66,4.5544442463069106e-34,2.187192306432902e-36,1.9875945155687728e-45,2.3793320778749353e-46,1.5797231141164771e-69,2.4116621445169783e-77,4.8199306902494544e-70,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,3.6544589290645239e-20,3.1072900542810619e-20,3.6544614783657655e-20,8.9091909422760033e-26,6.4599522533377938e-26,7.5752503059235664e-26,8.5182355833504557e-33,6.9784087974766303e-22,2.4701499032327421e-33,1.308782992721983e-26,1.2837842459637016e-37,3.7227647045628828e-38,5.7957609311745783e-22,1.1416773392589709e-34,2.8978804739009321e-22,1.0869807563440902e-26,5.4349016565730045e-27,2.6481835158172028e-33,3.991081525457374e-38,8.2108451633242277e-45,6.920782772636954e-49,5.4541932434417235e-23,2.4179890556602049e-46,1.2624874467223131e-44,1.3296755595774788e-28,1.1606796574805394e-36,4.6806798035062383e-34,9.4819482901370078e-35,4.0991990353511746e-41,3.2470870834738007e-45,4.7396655412244202e-50,2.4229919614542487e-33,1.0292946921882515e-56,4.0731221242379796e-34,6.138609469584918e-39,1.8651585373478844e-57,4.0368624875074916e-62,9.7450079676757303e-47,1.2236274822340673e-29,4.0731394347993254e-34,6.1386380046822281e-39
1.2700000000000001e-13,0.0018557488258602523,1.1263830832807966e-23,1.0924127929053753e-30,7.197281259104464e-30,7.3187664487456299e-30,7.1631490978566292e-36,0.0,0.0,1.6746549793556976e-20,3.2387316708559479e-30,4.0898359922136065e-35,6.0300928877743869e-40,1.5634305784898722e-43,3.5122637690200183e-54,4.0919119838355713e-45,6.7998498919052103e-35,1.3495895076136513e-20,6.3116280939142943e-30,4.2687720870224591e-74,3.1112584176037833e-72,2.8737555558717765e-47,2.1601019074301906e-45,1.1705420597470608e-31,7.5491980071212765e-41,4.6373389994078852e-32,4.3688740760427308e-53,1.3006812069926438e-44,4.229209703219925e-26,2.0793138309496565e-29,6.2496118116794635e-20,2.7690838282560925e-39,6.5873170287985929e-52,4.393818054934464e-50,1.5213462417587124e-37,5.8870532960326835e-65,4.6604014879183171e-50,4.826885692489297e-26,3.9583735003369935e-35,8.344091098227503e-37,2.5605616336597494e-38,5.3338134364227084e-25,3.0617384501539486e-53,1.0904218580288554e-51,3.8456712090485074e-46,5.8459966747460787e-41,6.2690306479722981e-36,1.2902891732077119e-49,1.6807177086317972e-51,6.9584061765907058e-51,3.5538612525449245e-76,5.5691644470465493e-70,4.3154406998508018e-102,5.0390223819414744e-91,2.8210864744262683e-47,2.1104731062800587e-44,3.3991355446785255e-51,3.8835606927653459e-60,4.7964285375327442e-48,3.5392192849299424e-57,1.0632534642122125e-64,3.6821537450843981e-33,1.7607081976046629e-35,3.2166899636173566e-44,3.839265957133538e-45,9.9931422077224271e-68,3.129283830727403e-75,6.151613767129943e-68,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,7.3501462249680096e-20,6.2496354553228623e-20,7.3501565125105183e-20,3.5952528287942076e-25,2.6068784492999312e-25,3.0569488038829861e-25,6.8866671880612935e-32,1.4035315204456705e-21,1.997025060812101e-32,5.2814319792676387e-26,2.0776288410192543e-36,6.0247932834391833e-37,1.1656716817450651e-21,9.2300462728951707e-34,5.8283584422758162e-22,4.3863782578880162e-26,2.1931874108557112e-26,2.1409135882744754e-32,6.4588956584335812e-37,2.6585766476358308e-43,4.4827709130811634e-47,1.0969925670281493e-22,3.9491436477420888e-45,4.1269139748562721e-43,5.3658324674506334e-28,9.3838217143663996e-36,3.7841230013990581e-33,7.665813429090557e-34,3.3148537844954879e-40,5.2561400176725671e-44,1.5351318662369799e-48,1.9588813760655813e-32,6.6690379508928783e-55,3.2929200330036676e-33,9.9343719436379669e-38,1.2084724946859919e-55,5.2317225162610937e-60,3.1555866348991877e-45,4.9378537735210455e-29,3.2929320864774311e-33,9.934416234291121e-38
2.55e-13,0.0018557488258602523,2.2590801068199882e-23,4.065755878892206e-30,2.8913014402302579e-29,2.9165384431715165e-29,5.7596395543676932e-35,0.0,0.0,3.3587118624328409e-20,1.3010735456649089e-29,1.6416868277606805e-34,4.8448861613600925e-39,1.2570868802159547e-42,2.8214143289818389e-53,1.6437547776834699e-44,2.7294099606939973e-34,2.7067444531542254e-20,2.5355180297201585e-29,6.8781175406774264e-73,5.0065563162023222e-71,2.3115746285793403e-46,1.7367036483640228e-44,2.3454622078532416e-31,6.0700527964564102e-40,1.862919535680628e-31,1.0952126182336581e-51,1.0457944115812246e-43,1.6989600817061485e-25,8.3530132316965993e-29,1.25341840847861e-19,2.2264500875371913e-38,2.10266813011897e-50,7.0801305917304985e-49,2.4273325683447113e-36,3.6996406732825189e-63,3.7473446322735975e-49,1.9390643945405349e-25,3.1827929491305371e-34,6.67681937958362e-36,2.0624975416576838e-37,2.1426976548354252e-24,1.2299635524105706e-52,3.5148123546150771e-50,6.197306567253871e-45,9.4046968923117063e-40,5.0406341088265642e-35,2.0756983367731616e-48,2.6644620034389298e-50,1.1194113371841764e-49,2.3438886446294803e-74,1.8366825538345478e-68,2.7859444615087087e-100,1.7464412403979815e-89,4.5462279635851684e-46,3.4010002418897786e-43,1.0957309491363556e-49,1.2488320409590005e-58,1.5345920132067538e-46,2.2598047143033638e-55,3.2207321573222786e-63,2.960680400921453e-32,1.4036780587084745e-34,5.1748223134674901e-43,6.1399636319623242e-44,6.3568187052290061e-66,4.0074962963086578e-73,7.7855378112411096e-66,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.4741465479080859e-19,1.2534279065549616e-19,1.4741506806154998e-19,1.4442880649427473e-24,1.0472389230743142e-24,1.2280401535045145e-24,5.5371278138399487e-31,2.8148327410682553e-21,1.6056854851282222e-31,2.1215918363617488e-25,3.3422830226064903e-35,9.6921178497833202e-36,2.3377965247843568e-21,7.4213246214735742e-33,1.1688982758710656e-21,1.7620433079552062e-25,8.8102027259216038e-26,1.7213049536846371e-31,1.0390035220083855e-35,8.5537594026390821e-42,2.8848855102904065e-45,2.2001328512128582e-22,6.3820683123435661e-44,1.334335235657755e-41,2.1555693539808483e-27,7.5452051423749775e-35,3.042526886336598e-32,6.1636238397443211e-33,2.6665611124336854e-39,8.4593345308533777e-43,4.9422731419924793e-47,1.5749871772082594e-31,4.2944679467333173e-53,2.6475565606865847e-32,1.5981025678444174e-36,7.7817642822114348e-54,6.7380949265084723e-58,1.0154560022190102e-43,1.9836190783839006e-28,2.6475631306098228e-32,1.5981090850415652e-36
5.11e-13,0.0018557488258602523,4.5244532387238044e-23,1.5652150367387371e-29,1.1589677862516518e-28,1.1643727285682892e-28,4.6191609765712804e-34,0.0,0.0,6.7268385297584173e-20,5.2153534405047267e-29,6.5703431052245354e-34,3.8796141612180701e-38,1.008146839762053e-41,2.2584589307602715e-52,6.5885016952184925e-44,1.0922864755424383e-33,5.4210302304715032e-20,1.0163550563106014e-28,1.1048953845160222e-71,8.0359596460081141e-70,1.8552762807225236e-45,1.3925596094872448e-43,4.6887337611969945e-31,4.8681156401624079e-39,7.467457223912631e-31,2.9632260739261314e-50,8.3865305931608642e-43,6.8101899798743402e-25,3.3482475974814957e-28,2.5102996801030944e-19,1.7854668860050651e-37,6.6391080103202038e-49,1.1395377103678711e-47,3.8309818644271234e-35,2.3363846717760468e-61,3.005448965338238e-48,7.7726803783796397e-25,2.5525645565284132e-33,5.3035420137956179e-35,1.659931734572391e-36,8.5888532665973225e-24,4.9302437795620714e-52,1.1314753808829478e-48,9.9759305581654834e-44,1.5087264163013417e-38,4.0424052557099984e-34,3.3297514786998739e-47,4.153335753766842e-49,1.7957362163568789e-48,1.5768548355012982e-72,6.1800245519593142e-67,1.7913500435656929e-98,6.3673957141592355e-88,7.3182869946780791e-45,5.4745587808102188e-42,3.527779296207991e-48,4.0011379384408966e-57,4.8674796669815268e-45,1.4272999893577156e-53,9.2469980923067533e-62,2.3744108271412324e-31,1.1068807728061159e-33,8.3015871522373559e-42,9.7347552711480846e-43,4.0210368217710737e-64,5.0700280650071806e-71,9.6926803623070104e-64,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.9523882639977542e-19,2.5103377521573535e-19,2.9524048296612488e-19,5.7893624017816868e-24,4.1978208947632436e-24,4.9225429404325733e-24,4.4403844298995235e-30,5.6371149812710023e-21,1.2876550362580244e-30,8.5037458171775889e-25,5.361507935789382e-34,1.554765777858635e-34,4.6817809078929946e-21,5.9514343288633392e-32,2.3408905079835438e-21,7.0626180465349629e-25,3.531297945843205e-25,1.3802580789301481e-30,1.6665860392402938e-34,2.7434917121232893e-40,1.8506618551338574e-43,4.4063886129543163e-22,1.0260640386617627e-42,4.291234899834591e-40,8.6405209168875704e-27,6.0511619174629671e-34,2.4398206443945099e-31,4.942845141294144e-32,2.1404768254977654e-38,1.3582119228567199e-41,1.5871549552728725e-45,1.2629899961305833e-30,2.7582630625117344e-51,2.1230415321471683e-31,2.5634587451657287e-35,4.9979814492271527e-52,8.6555087087677495e-56,3.2580219109026477e-42,7.9510873396162377e-28,2.1230417949802915e-31,2.5634672498874209e-35
