Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HOCO(14),CH2O(15),HCO(16),CH3(17),CH4(18),CH2(19),CH(20),C2H4(21),CH3OH(22),CH2(S)(23),CH2OH(24),CH3O(25),HCOH(26),CH3OO(27),CH2CO(28),C2H5(29),C2H3(30),C(31),C2H2(32),C2H(33),CH3OOH(34),CH2OOH(35),C2H6(36),CH3CHO(37),C2H5O(38),C2H5O2(39),CH2CHO(40),H2CC(41),C2H4O(42),C2H5O(43),cC2H4O(44),C2H5O2(45),C2H3O2(46),CHCHO(47),OCHCHO(48),HCCO(49),HCCOH(50),CHCHOH(51),C2(52),C2O(53),C2H6O(54),C2H5O(55),C2H5O3(56),CH3CO(57),cC2H3O(58),HOCHO(59),C2H3O3(60),OCHCO(61),C2H6O2(62),C2H5O2(63),C2H4O2(64),HOCH2O(65),OCHO(66),C2H4O3(67),C2H3O2(68),N2,Ne,C7H16(1),O2(2),C4H9(82),C5H11(84),C3H7(83),C7H15(88),C7H15(85),C7H15(86),S(164),S(165),S(206),S(207),S(166)
0.0,0.0033505639261619483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0033505639261619483,1.2645482372442021e-20,2.1089806901342321e-27,7.7641561593052277e-28,2.3082713294513638e-28,1.258539740429563e-36,0.0,0.0,3.4931990163446034e-20,4.2198022895947781e-31,9.9236976904022931e-43,2.2468625154023105e-42,3.0319297533003835e-61,1.4583756406530918e-34,1.0019241460953779e-42,1.2311895468307874e-24,2.4711653270106539e-34,2.6710061852443138e-35,1.96141461001948e-43,3.0483006056264247e-24,7.3635686291826215e-57,1.4730480127620239e-37,1.5617947080296099e-45,9.1459332000191357e-37,1.2275352397846872e-52,1.5098347563834003e-32,3.8713143443560437e-45,1.7542004015023442e-17,1.4106407114894614e-41,6.8749590416395735e-53,1.6453349165488708e-49,3.8343264926700783e-73,5.6703300314080376e-43,2.2911451092664051e-41,2.2034530960494631e-28,7.3164262541103374e-28,1.8473495322274162e-29,6.658641841788106e-25,8.0416730081641605e-41,2.0732700813830548e-42,1.2120246311831243e-38,1.3719100854163551e-37,8.0665089487468304e-36,2.4539695765824916e-29,5.1751024765997281e-45,2.8907367732965215e-50,8.5694653115137053e-50,5.5272804211245342e-66,6.0149756023835072e-65,2.9762803106262258e-57,2.7512038000509606e-101,2.2067907062774273e-97,7.159451671050631e-50,1.9245528485241426e-37,5.8423364489151505e-46,5.7420774448086846e-42,1.0999779298274638e-53,2.349713349503558e-46,1.3262512062026859e-49,2.1882702442198186e-63,1.4071647079987974e-34,1.8515290832519518e-28,1.9743370324049665e-32,1.9720766401012485e-49,1.2006248386990502e-64,3.9812682346346739e-76,1.4694330214100688e-59,0.88168480800000004,0.0,0.0094599999999999598,0.10885,2.3311885190344888e-17,1.7542001982109448e-17,2.3311886739260201e-17,2.1542475604824029e-20,1.7356582528995299e-20,8.6782932156424075e-21,1.4529683302349291e-24,1.1094326958911807e-24,4.7190398153158362e-27,3.902290883668013e-27,3.7668180723085101e-25
3.0000000000000002e-15,0.0033505639261619488,3.1226671814260567e-20,5.3692344148590818e-27,3.8979667318548691e-27,1.1588482008498446e-27,1.0633463801420371e-35,0.0,0.0,8.6260844592448932e-20,2.1185164901709975e-30,8.384557073878845e-42,1.8983691674417363e-41,5.3831842108887532e-60,1.2321778905894753e-33,8.465352811703438e-42,6.1810738668993175e-24,2.0878824957390213e-33,1.3409534778054825e-34,1.6571942721125766e-42,1.5303712497539466e-23,4.1721358901542345e-55,7.3952980536541417e-37,1.9826482710353753e-44,7.7273795655032796e-36,1.5582234038189327e-51,1.2756561248547962e-31,3.2709228634687387e-44,4.3318010025458817e-17,1.1918473391565018e-40,5.8086349030466288e-52,2.0885674101734821e-48,6.8078911652460325e-72,7.1978466800811835e-42,1.1640721163161956e-40,1.106223392952323e-27,3.6731873684207468e-27,9.2744294395619337e-29,3.3429099406141513e-24,6.7943938063685361e-40,1.7517012507134441e-41,1.0240356344960305e-37,1.1591222435939904e-36,6.8153177345592621e-35,1.2319783397913764e-28,4.3726530593637651e-44,3.6694647235086581e-49,1.087797423144253e-48,7.0163801898133299e-65,1.0679639521397449e-63,3.7780490775313829e-56,1.7384886881320703e-99,2.4022136383626495e-95,2.6053844124029316e-48,1.6260481854323641e-36,7.4161795852060153e-45,4.8515079741642738e-41,1.3962472681087683e-52,2.9826728533211002e-45,1.6835375841913454e-48,3.8802844814023672e-62,1.1889105744675714e-33,9.2950056272711455e-28,9.9119790364345575e-32,2.5033016725454179e-48,2.1316920793126871e-63,2.192608695593435e-74,2.608765094731888e-58,0.88168480800000004,0.0,0.009459999999999899,0.10885,5.756607802936677e-17,4.3317999819402921e-17,5.7566085805551902e-17,5.3196713895686784e-20,4.2860122873495015e-20,2.1430071232276658e-20,7.2944924999551116e-24,5.5698034168349097e-24,2.3691464479295411e-26,1.959106408473587e-26,1.8910963151443195e-24
7e-15,0.0033505639261619488,8.1809222947259327e-20,1.5188844463412638e-26,2.3990939122600973e-26,7.1321397923318915e-27,1.6618700855005492e-34,0.0,0.0,2.2599065613142822e-19,1.3038431257617582e-29,1.3103766239210463e-40,2.966771885867252e-40,6.6130719055032504e-58,1.9256442447257279e-32,1.3230606670741687e-40,3.8041238921504954e-23,3.2629464289167232e-32,8.2528448976281523e-34,2.5898589156029308e-41,9.4186245654719527e-23,2.8538215492562987e-53,4.5514053046780461e-36,8.4471879815481428e-43,1.2076357827291381e-34,6.6392332241076155e-50,1.9935973062921179e-30,5.1122666181251481e-43,1.1348602703584659e-16,1.8626203598171801e-39,9.0777138961573513e-51,8.8988924277220211e-47,8.3633657495927773e-70,3.0668371950816468e-40,7.9993287925135008e-40,6.8082204376970937e-27,2.2607525137127436e-26,5.7078763092405424e-28,2.0573843049363556e-23,1.0618297363121069e-38,2.7375587926215793e-40,1.6003527433957902e-36,1.811464058697362e-35,1.0650514016959227e-33,7.5818359870897334e-28,6.8353618746815543e-43,1.5634719337019937e-47,4.6348561780636674e-47,2.9898028167157575e-63,1.3119643089109841e-61,1.6097272025880147e-54,1.5546605440483715e-96,1.541111833335446e-92,5.9852887064145451e-47,2.5411703615489549e-35,3.1598345131085808e-43,7.5822562502546623e-40,5.9476485607331454e-51,1.2708360003480603e-43,7.1734659989780451e-47,4.7176398978072064e-60,1.8580316071301205e-32,5.7195902552681984e-27,6.100302285497031e-31,1.066573071453725e-46,2.6185691517322436e-61,5.5944486606756831e-72,3.2025552463021678e-56,0.88168480800000004,0.0,0.0094599999999997342,0.10885,1.5081356898124186e-16,1.134859642230155e-16,1.5081361683950648e-16,1.3936651702762351e-19,1.1228637156932737e-19,5.6143246070633199e-20,4.4893709962199075e-23,3.4279160541512923e-23,1.4580747440606759e-25,1.205719712211443e-25,1.1638696012537766e-23
1.5e-14,0.00335056392616195,1.8297614375098665e-19,3.8875924808539372e-26,1.1387839809314098e-25,3.3852106601311707e-26,1.6429269064679383e-33,0.0,0.0,5.0545569374000117e-19,6.1885876442402749e-29,1.2954087554647904e-39,2.9327428799822116e-39,2.7300416918856026e-56,1.9035508966527865e-31,1.3080415430695922e-39,1.8055765363003714e-22,3.2255253215513562e-31,3.917090443634867e-33,2.5601452616326493e-40,4.4704236290375131e-22,1.0543132616519688e-51,2.1602557622075417e-35,1.7153369838773867e-41,1.1937852654684608e-33,1.3482058132185803e-48,1.9707334420575473e-29,5.054397823906204e-42,2.5382206383654773e-16,1.8412576552148313e-38,8.9735552206949592e-50,1.807058827157474e-45,3.4526164711822997e-68,6.2277070842909532e-39,5.3161202048819331e-39,3.231431481242865e-26,1.0731207342129439e-25,2.7091296500087337e-27,9.7651005673841732e-23,1.0496532584243554e-37,2.7061581627613564e-39,1.5819794387823216e-35,1.7906658803137112e-34,1.0527584449375677e-32,3.5983298915473561e-27,6.759886838771392e-42,3.1748724733732175e-46,9.4118245942319223e-46,6.0722108342584866e-62,5.4160658396340299e-60,3.2687690285974618e-53,2.8832699543600467e-94,1.5108474260309556e-90,1.2753898821749483e-45,2.511993047470126e-34,6.4164580526996679e-42,7.4958108417254101e-39,1.2073033590071214e-49,2.5806315535616794e-42,1.4567835997502451e-45,1.9173640274392374e-58,1.8367228932018675e-31,2.7138848649833576e-26,2.8954300278429191e-30,2.1657962879207077e-45,1.0809183576211677e-59,5.1181114402264418e-70,1.3206744508324106e-54,0.88168480800000004,0.0,0.0094599999999994064,0.10885,3.3730840517391533e-16,2.5382176570420388e-16,3.373086323264293e-16,3.1170583284611668e-19,2.5113863078174345e-19,1.2556960152736298e-19,2.1308172425481188e-22,1.6270117856761455e-22,6.9204760026664626e-25,5.7227313009940409e-25,5.5241504712604806e-23
3.1e-14,0.0033505639261619522,3.8531725950455271e-19,1.0244194327282509e-25,4.9251116737281353e-25,1.463876992073132e-25,1.4416392343515771e-32,0.0,0.0,1.0644074270852192e-18,2.6761541548103549e-28,1.1366440688777698e-38,2.5730628045861714e-38,9.6942225802461255e-55,1.6700832761260778e-30,1.1478909815145057e-38,7.8077460098424368e-22,2.8299462989472345e-30,1.6938335636296284e-32,2.246147997018851e-39,1.9331179086881781e-21,4.0724234894191663e-50,9.3413964066113985e-35,3.0332351718936963e-40,1.0473779279027176e-32,2.3840616923248405e-47,1.7290419073642496e-28,4.435846665929163e-41,5.3449414855737464e-16,1.6154433238311986e-37,7.8729483884795033e-49,3.1954198675321278e-44,1.2260056312287231e-66,1.1012503636737066e-37,4.9469389411401703e-38,1.3973490693851218e-25,4.6411564758136414e-25,1.1714605328543029e-26,4.2226646247607938e-22,9.2092552956013211e-37,2.3742658630748475e-38,1.3879310643330102e-34,1.5710176637604137e-33,9.2351185365672205e-32,1.5557584186489635e-26,5.9359160066127563e-41,5.6141194891889171e-45,1.6643011076112073e-44,1.0740818443836273e-60,1.9231688318943047e-58,5.7800444620436153e-52,4.3177232376905983e-92,2.4997902055445139e-88,2.3415919437683944e-44,2.2038629097393001e-33,1.1345939379021441e-40,6.5774107707082218e-38,2.133262832389549e-48,4.5633521685844732e-41,2.5763774221697245e-44,6.6045974528772394e-57,1.6114670748277342e-30,1.1728287351728077e-25,1.2520560618482431e-29,3.8296314652256377e-44,3.8376256254846365e-58,3.8217101725920998e-68,4.679614198692448e-53,0.88168480800000004,0.0,0.0094599999999987524,0.10885,7.1029749471715647e-16,5.3449285936468891e-16,7.1029847697620336e-16,6.5638330275271861e-19,5.2884219652560408e-19,2.6442233556162023e-19,9.214141993337613e-22,7.0355658253983774e-22,2.9925106623899086e-24,2.4745982749820851e-24,2.3887743409590876e-22
6.300000000000001e-14,0.0033505639261619566,7.9002858755766645e-19,2.9434474554866147e-25,2.0456215959482393e-24,6.0785851622084778e-25,1.205243488001856e-31,0.0,0.0,2.182397526332852e-18,1.1112465768078475e-27,9.5017053273035149e-38,2.1505277104507602e-37,3.2569121525697028e-53,1.3958130747239957e-29,9.5984295846646812e-38,3.241943203759344e-21,2.3652417140494301e-29,7.0330740017248466e-32,1.8772743920655134e-38,8.0267151058230051e-21,1.4281453186923934e-48,3.8786915670535088e-34,5.0868433351872574e-39,8.7538617374101675e-32,3.9982537306968522e-46,1.4451158138553348e-27,3.7096420653587211e-40,1.0958383624745032e-15,1.3501682950112042e-36,6.5799865008686528e-48,5.3588227447238939e-43,4.1189392248447591e-65,1.8468517092073843e-36,6.4730725112411661e-37,5.802097225814857e-25,1.9277077272771653e-24,4.8638885477558011e-26,1.7533414696941588e-21,7.6970387896368534e-36,1.9843741230870232e-37,1.1599623732155599e-33,1.3129735309779108e-32,7.7163511728272272e-31,6.4578048626238119e-26,4.9696346118839659e-40,9.415048563328629e-44,2.791118229154092e-43,1.8023875295433437e-59,6.4608406802118086e-57,9.6929341379916955e-51,5.9521396953621636e-90,3.6083411894761687e-86,4.0049615510693238e-43,1.8418690338124422e-32,1.9026585338366072e-39,5.4988154883218519e-37,3.5721644665389353e-47,7.6529890699872719e-40,4.3218355357608218e-43,2.0935074304020262e-55,1.3468489399682585e-29,4.8638736374129805e-25,5.1988268042304461e-29,6.421951599550732e-43,1.2888660048877576e-56,2.6318596142757578e-66,1.5654903278359732e-51,0.88168480800000004,0.0,0.0094599999999974444,0.10885,1.4562733424528189e-15,1.0958330094961407e-15,1.4562774209784565e-15,1.3457335960534388e-18,1.084245517577602e-18,5.4212789611917342e-19,3.8258899677752576e-21,2.9212980848437816e-21,1.2424971152029066e-23,1.0274663482183894e-23,9.9186953889267007e-22
1.2700000000000001e-13,0.0033505639261619657,1.5995676295401073e-18,9.3726008542657927e-25,8.3385159982140006e-24,2.4765346438894735e-24,9.8557475110343164e-31,0.0,0.0,4.4187242554160397e-18,4.5274651413233904e-27,7.7684588443592711e-37,1.7575741383181231e-36,1.0672090227865104e-51,1.1407351764701641e-28,7.8519457657345848e-37,1.3207205132109267e-20,1.9330785307982381e-28,2.8651025182793964e-31,1.5342136120776684e-37,3.2699636806346643e-20,4.779937865719618e-47,1.5800768449558514e-33,8.3275322940497198e-38,7.1543718869135412e-31,6.5457610565401161e-45,1.1810715914259934e-26,3.0354356344956e-39,2.218526968192879e-15,1.1034675405483002e-35,5.3774886166050603e-47,8.7727623167256959e-42,1.3496715002003891e-63,3.0234862464435061e-35,9.8444321448729996e-36,2.3636940224909642e-24,7.8580738906891417e-24,1.9812606167401675e-25,7.142864397749664e-21,6.2907335723272898e-35,1.621777484649001e-36,9.4792771365556449e-33,1.0729638363667498e-31,6.3027553736664382e-30,2.6291579713754082e-25,4.0754273706690819e-39,1.5413044631704828e-42,4.5693554177326607e-42,2.9542869689377682e-58,2.1168453071018819e-55,1.586673174919661e-49,7.9007061484867195e-88,4.8947367852412592e-84,6.6242363210213771e-42,1.5051729172895206e-31,3.1144810714895486e-38,4.4965127639204684e-36,5.8303120488652523e-46,1.2528809953337602e-38,7.0789503842437427e-42,6.1625323247428098e-54,1.1007611429289544e-28,1.9766312614821594e-24,2.117944440043391e-28,1.0511669734335394e-41,4.2204191856518975e-55,1.7465623295275991e-64,5.0864324981266925e-50,0.88168480800000004,0.0,0.0094599999999948267,0.10885,2.9482157126616932e-15,2.2185051611453498e-15,2.9482323277857114e-15,2.7244155998768561e-18,2.1950369202436949e-18,1.0975393872372104e-18,1.5585965038484791e-20,1.1900785651126793e-20,5.0612855107744581e-23,4.1854242746491583e-23,4.0407267174038743e-21
2.55e-13,0.0033505639261619826,3.219111254548124e-18,3.2597430968344249e-24,3.3697130482369575e-23,9.997912599524651e-24,7.9771584510741126e-30,0.0,0.0,8.8927638388051718e-18,1.8277870513146657e-26,6.285411584982394e-36,1.4209653634908294e-35,3.455290562874861e-50,9.2221589463792496e-28,6.3600324550635807e-36,5.3309315004080395e-20,1.5628958902472712e-27,1.1564084676718213e-30,1.2403224417845105e-36,1.3198793251434883e-19,1.5650033340561491e-45,6.3774237667101319e-33,1.3475326004109275e-36,5.7842597078801363e-30,1.0593200568173608e-43,9.5489579711968968e-26,2.459954449406359e-38,4.4639048910238552e-15,8.9214509659330965e-35,4.3473150274124058e-46,1.4195728172289511e-40,4.3697992039843661e-62,4.8926854884850626e-34,1.5578599181981302e-34,9.5408024410577922e-24,3.1757252123424477e-23,7.9953732967578656e-25,2.8831374221035214e-20,5.0861495044375655e-34,1.3111709149946526e-35,7.6625000311754409e-32,8.6731317545674279e-31,5.089796854546205e-29,1.0598925241930817e-24,3.3173254551021939e-38,2.494063668592073e-41,7.3942768937657693e-41,4.7923077332519108e-57,6.8523146837339618e-54,2.5670792993797328e-48,1.0299090677719728e-85,6.4490847017580846e-82,1.0783992491077324e-40,1.2166742750741467e-30,5.0387493093673908e-37,3.6393017978616461e-35,9.3779508499517172e-45,2.0274718906769558e-37,1.1467108891057212e-40,1.6575477517561531e-52,8.8996742359457268e-28,7.9396323131033059e-24,8.5489761694735469e-28,1.7004689020390939e-40,1.364583242577773e-53,1.1390121595753512e-62,1.6195179181232177e-48,0.88168480800000004,0.0,0.0094599999999895913,0.10885,5.9320631531562323e-15,4.4638168711439664e-15,5.9321302165466561e-15,5.4817053025785207e-18,4.4165587862592625e-18,2.2083638498592308e-18,6.290965143630638e-20,4.8034833349117063e-20,2.0425508743458043e-22,1.6891351505387948e-22,1.630986882875e-20
5.11e-13,0.003350563926162018,6.4600606490426602e-18,1.2053025550627337e-23,1.3571124766647312e-22,4.0185473025810936e-23,6.4292727918281e-29,0.0,0.0,1.7846387529410506e-17,7.3467700501571544e-26,5.0622086625222895e-35,1.1427027942698485e-34,1.1121437424763323e-48,7.4154633462450594e-27,5.1335141451418873e-35,2.1419897579862661e-19,1.2569015732791039e-26,4.6460447644166888e-30,9.9733776889387412e-36,5.3033067797410198e-19,5.0728813408222448e-44,2.5621783443001856e-32,2.168050252188436e-35,4.6516866046944781e-29,1.7046922860170426e-42,7.6793704287832927e-25,1.9876099998373839e-37,8.9546635811248245e-15,7.1745963309555552e-34,3.4955414834371454e-45,2.2839398800623289e-39,1.4064833429439725e-60,7.8724556358790883e-33,2.4768168964131503e-33,3.8335587703554109e-23,1.2791166951792869e-22,3.2111678823797873e-24,1.1584602822792751e-19,4.0904851358217689e-33,1.0544002635162077e-34,6.1598650329364913e-31,6.9721678562634251e-30,4.083685554360532e-28,4.247994075638385e-24,2.7037648838229849e-37,4.0126386825584193e-40,1.1897660303387564e-39,7.7481138387981103e-56,2.2046511190872929e-52,4.1288324842876334e-47,1.3310181578420529e-83,8.3806890549557208e-80,1.7433721427016766e-39,9.780484242827431e-30,8.1036604371877964e-36,2.9329050935693666e-34,1.4909272061271781e-43,3.26233983805452e-36,1.8488192154133705e-39,3.9830069712888018e-51,7.1572513035427496e-27,3.1594142043030521e-23,3.4351289446785093e-27,2.7343061135937504e-39,4.380235979688323e-52,7.3707179245339704e-61,5.0456320909852822e-47,0.88168480800000004,0.0,0.0094599999999791205,0.10884999999999999,1.1899608843464555e-14,8.9543099271809891e-15,1.1899878294137904e-14,1.0995987697402306e-17,8.8593589084248823e-18,4.4300186996408262e-18,2.5276350679523505e-19,1.929956542737439e-19,8.2040244399022408e-22,6.784911407793203e-22,6.5533351102384346e-20
