Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HOCO(14),CH2O(15),HCO(16),CH3(17),CH4(18),CH2(19),CH(20),C2H4(21),CH3OH(22),CH2(S)(23),CH2OH(24),CH3O(25),HCOH(26),CH3OO(27),CH2CO(28),C2H5(29),C2H3(30),C(31),C2H2(32),C2H(33),CH3OOH(34),CH2OOH(35),C2H6(36),CH3CHO(37),C2H5O(38),C2H5O2(39),CH2CHO(40),H2CC(41),C2H4O(42),C2H5O(43),cC2H4O(44),C2H5O2(45),C2H3O2(46),CHCHO(47),OCHCHO(48),HCCO(49),HCCOH(50),CHCHOH(51),C2(52),C2O(53),C2H6O(54),C2H5O(55),C2H5O3(56),CH3CO(57),cC2H3O(58),HOCHO(59),C2H3O3(60),OCHCO(61),C2H6O2(62),C2H5O2(63),C2H4O2(64),HOCH2O(65),OCHO(66),C2H4O3(67),C2H3O2(68),N2,Ne,C7H16(1),O2(2),C4H9(82),C5H11(84),C3H7(83),C7H15(88),C7H15(85),C7H15(86),S(164),S(165),S(206),S(207),S(166),S(208)
0.0,0.004243118369663564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.004243118369663564,3.2066539246313036e-32,1.709120798075498e-41,3.8532789287514068e-39,2.2059423325303754e-41,6.0595292435640502e-49,0.0,0.0,1.3660347109083273e-27,9.1183386091026116e-41,3.1746955514610988e-62,2.7499454511020075e-64,2.4563086321097741e-87,1.2707397074665509e-49,8.3124584547352347e-64,2.5348083984614293e-38,8.293419491125034e-50,5.8541876939903204e-57,7.5358859925382006e-67,4.499419487725377e-36,-2.8765296474425805e-88,1.7230726791103527e-56,1.5511514554712265e-65,6.3671434537124299e-54,3.2529160658111182e-78,5.512519615887123e-46,1.0059647292238479e-65,1.9344929697015167e-27,1.1820914516465972e-60,6.5779035833513418e-83,2.2868205771881043e-70,1.8035624007774662e-108,1.0117373203675322e-58,1.5384841542160362e-61,3.146995039903768e-40,3.8519206122140276e-39,5.4179347792284179e-43,1.0284969348190917e-34,1.8937496456365684e-58,7.8668172704168809e-65,7.3876593193867714e-56,4.0883556303602372e-54,2.3843464645993606e-47,1.3640612647505293e-39,3.4627047398716965e-62,8.3834040738145559e-70,4.8408315435354043e-69,3.7386497138456111e-99,2.9954949933875557e-91,2.6170073141634555e-82,-5.6736218739592467e-150,0.0,-5.843056074869444e-72,2.2907761174174991e-53,8.1581732736920547e-62,2.4552802223042543e-58,1.2018910851996039e-72,1.6246106555236653e-65,1.3568109338452066e-65,1.3595474331326859e-87,1.7247697737140509e-46,4.3974081052205653e-40,3.0916086812427197e-45,9.5055014101626578e-69,2.0765832111106961e-91,-2.1463700822302909e-99,1.3858378803418987e-81,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.9112998673999086e-27,1.9344929528906323e-27,1.9112999578694192e-27,5.9965578404778009e-28,5.1094048553725425e-28,2.5547024332301712e-28,1.2261629613466159e-34,1.2402487073164904e-34,1.1442207720056155e-34,9.7504127036913755e-35,3.2179311643513242e-35,4.819766397900411e-35
3.0000000000000002e-15,0.004243118369663564,1.0536148358119677e-31,6.2399968073646248e-41,2.5321611329568212e-38,1.449619232053723e-40,5.7132805071871921e-48,0.0,0.0,4.4883997789255731e-27,5.9920510944053268e-40,2.993446223301042e-61,2.5928138408804738e-63,3.7195529932457318e-86,1.1981259908113808e-48,7.8395703558533821e-63,1.6657312053280492e-37,7.8195097144818185e-49,3.8470522910999783e-56,7.1052620300042484e-66,2.9567613066057402e-35,5.0265514031278781e-80,1.1323025029578842e-55,1.9057054386720435e-64,6.0033066135275401e-53,3.9964672801282195e-77,5.1975184341837751e-45,9.5527801222943659e-65,6.356190833792776e-27,1.1145433104102412e-59,6.2020388907225623e-82,2.8095222974194298e-69,2.7311088377896666e-107,1.2429915538648858e-57,1.1339732571210353e-60,2.0680252620908913e-39,2.5312685182879138e-38,3.5603569777218196e-42,6.7586939801721616e-34,1.7855353563418434e-57,7.417284123951461e-64,6.9655072834383534e-55,3.8547351612048762e-53,2.2480979009770496e-46,8.9638300572662792e-39,3.2648377424466586e-61,1.0299610010675437e-68,5.9473071052430532e-68,4.618464549188423e-98,4.5360351439315828e-90,3.2151802994234897e-81,2.8692717800913094e-148,4.2853737173895215e-142,3.4557638884536435e-70,2.1598744550240767e-52,1.0022898297894563e-60,2.3149825209150283e-57,1.4766084851752142e-71,1.9959502153575315e-64,1.6669413718715565e-64,2.0586173679268651e-86,1.626211473608074e-45,2.8896606298491133e-39,2.0316285217290311e-44,1.1678186752322818e-67,3.1445282901389304e-90,1.1467745234504573e-97,2.0985293213738504e-80,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.2799848756222873e-27,6.3561907233212519e-27,6.2799854701361991e-27,1.9702972001993758e-27,1.6788041321094542e-27,8.3940206969789162e-28,8.0576420924000393e-34,8.1502055633486151e-34,7.5191644467793096e-34,6.4074135289143372e-34,2.1146404639437708e-34,3.1672748007542021e-34
7e-15,0.004243118369663564,2.3362762133017209e-31,1.7853840147070727e-40,1.3761971879396348e-37,7.8783648597860269e-40,9.2279628383103735e-47,0.0,0.0,9.9525387336110062e-27,3.256549537619256e-39,4.8372653565249891e-60,4.1879075629151151e-62,6.1428749537957358e-84,1.9351547268412548e-47,1.2693325091531809e-61,9.052885997140866e-37,1.2629691609390268e-47,2.0908411459211046e-55,1.1476046518050552e-64,1.6069352414776893e-34,4.7002878129408098e-78,6.1537330595939249e-55,9.6393051453508098e-63,9.6962487156724285e-52,2.021480462864634e-75,8.3947788739420609e-44,1.6435489317851264e-63,1.4094160016207837e-26,1.8001554536090703e-58,1.0017462161587404e-80,1.4210948156790496e-67,4.5104447681667574e-105,6.28722404259696e-56,1.8098496067989551e-59,1.123926596594514e-38,1.3757120477233906e-37,1.9349760421783389e-41,3.6732026739068295e-33,2.8839097833514198e-56,1.1980026868582487e-62,1.1250348534639634e-53,6.2259791535904762e-52,3.631015855626495e-45,4.8716428408474107e-38,5.2732349391946662e-60,5.2096821562465393e-67,3.0082295856245261e-66,2.4894770058826146e-96,7.4913015821677538e-88,1.6262823593982272e-79,4.4567788778275938e-145,3.1704827887541927e-139,6.6677831179654096e-69,3.4885219821970875e-51,5.0697200191483526e-59,3.7391071141129023e-56,7.4688576092187352e-70,1.009579360828963e-62,8.4317571126165535e-63,3.3967235037073175e-84,2.6265775210520385e-44,1.5702389743112275e-38,1.1041457934463536e-43,5.9069856224348616e-66,5.1929221072892429e-88,4.1864318008081662e-95,3.4651198195940798e-78,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.3925181261569409e-26,1.4094159415819331e-26,1.3925184492622529e-26,4.3689174594994418e-27,3.7225636227325007e-27,1.8612818311661401e-27,4.3791525152969915e-33,4.4294587404272933e-33,4.0865002014505504e-33,3.4822880745930062e-33,1.1492610669381106e-33,1.7213440783572087e-33
1.5e-14,0.004243118369663564,4.9015984786306424e-31,5.3242076027721306e-40,6.0884628230908511e-37,3.4853882231392733e-39,8.5823961637340966e-46,0.0,0.0,2.0880816925659861e-26,1.4406975373357767e-38,4.5022441142176628e-59,3.8950082277986748e-61,2.4099948068188858e-82,1.799729790496362e-46,1.1850602454935672e-60,4.0049960388008406e-36,1.1745848176246144e-46,9.2502623177996605e-55,1.0672897401031458e-63,7.1090796619015896e-34,2.0866899415157451e-76,2.7223491206271604e-54,1.8538915232644454e-61,9.0176916814488353e-51,3.8879054091824142e-74,7.8073005399550063e-43,1.675375660285124e-62,2.957009151750091e-26,1.67417708674282e-57,9.3167628448834183e-80,2.7331388168565401e-66,1.7695506477976551e-103,1.2091992020317523e-54,2.780579931690728e-58,4.9722499678367107e-38,6.0863163897166165e-37,8.5603297764526281e-41,1.6250244394939473e-32,2.682089690825625e-55,1.1141633961667319e-61,1.046303359637982e-52,5.7902742382189931e-51,3.3769086741879404e-44,2.1552119050550263e-37,4.9042472829053704e-59,1.0019583654502222e-65,5.785616926721887e-65,5.2301668877237721e-95,2.9390138612232564e-86,3.1277688985724505e-78,6.8525106568525596e-143,8.9601694052310412e-137,1.1957344082239704e-67,3.2443872222759303e-50,9.7504066947079955e-58,3.4775266871663547e-55,1.4364489264630134e-68,1.9416877005101216e-61,1.6216887235622814e-61,1.3308508673899408e-82,2.4427657834599919e-43,6.9450566552470478e-38,4.8847399446133073e-43,1.1360682909965907e-64,2.0371380932706269e-86,3.1789653278470167e-93,1.359094989055423e-76,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.9215566184171278e-26,2.9570088861383675e-26,2.9215580478344828e-26,9.1661506551178612e-27,7.8100763637423421e-27,3.9050382694658862e-27,1.9373364879374972e-32,1.959591955261561e-32,1.8078660611051795e-32,1.5405628576022507e-32,5.0843305576233187e-33,7.6152194264485875e-33
3.1e-14,0.004243118369663564,1.0032241050686763e-30,1.7266071901988632e-39,2.5379125341951361e-36,1.4527699988118894e-38,7.2438890346142475e-45,0.0,0.0,4.2737374440468499e-26,6.0050776169965836e-38,3.8056843484561257e-58,3.2876718158466881e-60,8.2271947977099334e-81,1.5189683550420358e-45,1.0077445038222511e-59,1.6693512833449226e-35,9.9134736294058869e-46,3.8559803873724399e-54,9.0078399223402987e-63,2.9631863113291008e-33,7.4063703104594811e-75,1.1346715482620853e-53,3.1520357499553738e-60,7.6109146682965192e-50,6.6105403742038284e-73,6.5893468781993559e-42,1.6574933409456374e-61,6.0521927065963283e-26,1.4130006716990382e-56,7.86388832775935e-79,4.6469558167226744e-65,6.0408366302835438e-102,2.0559154918960263e-53,4.4578386361418485e-57,2.0725190486314086e-37,2.5370177225054987e-36,3.5680906071552956e-40,6.7733805157167094e-32,2.2636785169034628e-54,9.403494899863584e-61,8.8307807886893196e-52,4.8869768321029614e-50,2.850098514871442e-43,8.9832738342438438e-37,4.1392428687622455e-58,1.7035549960342402e-64,9.8368636185870971e-64,1.0379151661545065e-93,1.0033146447336889e-84,5.3179181604150408e-77,9.5831791875612217e-141,1.3639244481235536e-134,2.0462077476383025e-66,2.738251491776513e-49,1.6577911661167023e-56,2.9351709244783857e-54,2.4422597425660093e-67,3.3013136551573905e-60,2.7573737474773712e-60,4.5313175367937437e-81,2.0616894003083495e-42,2.8934518526563383e-37,2.0360435553984165e-42,1.9315727638816354e-63,6.9532058863225478e-85,2.2152584273110214e-91,4.6372587174119597e-75,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.9796304632237766e-26,6.0521915994817776e-26,5.9796364212790204e-26,1.8760587754517648e-26,1.5985076884893486e-26,7.9925388075557591e-27,8.0751500356497594e-32,8.1679146326005641e-32,7.535486321421344e-32,6.4213221327218409e-32,2.1192369117155218e-32,3.1741501351670686e-32
6.300000000000001e-14,0.004243118369663564,2.0293518360397118e-30,6.0606648533519672e-39,1.0343230163927354e-35,5.9201139434333723e-38,5.9293154554286765e-44,0.0,0.0,8.6450493992921497e-26,2.4471018392454342e-37,3.1242112503281998e-57,2.6912551495993714e-59,2.7027233137622542e-79,1.2431915396510024e-44,8.3711881219961369e-59,6.8026922037300337e-35,8.1136314959782608e-45,1.5715849593242588e-53,7.3723136677899988e-62,1.2075132698144379e-32,2.48032934279829e-73,4.6234354918821742e-53,5.1712631982798348e-59,6.2291138885493837e-49,1.0846044006362763e-71,5.3930170550548958e-41,1.75412663905486e-60,1.2242548834658761e-25,1.1564604850194275e-55,6.4370699995120415e-78,7.6238462122121773e-64,1.9844663618885983e-100,3.3729658921905885e-52,7.2012403211994694e-56,8.4456189460202896e-37,1.0339582613006413e-35,1.4540134712606956e-39,2.7601864910779194e-31,1.8526958647402032e-53,7.6962043546291718e-60,7.2275074964069761e-51,3.9997150644737594e-49,2.3326386488081107e-42,3.6607137014305547e-36,3.3878521419388424e-57,2.7948660827597353e-63,1.6138474415048498e-62,2.1899562486111526e-92,3.295995773067983e-83,8.7246399256053563e-76,1.2744178619334006e-138,1.9072520304156703e-132,3.3816169722188909e-65,2.2410993855842846e-48,2.7197931703838283e-55,2.4025119345981874e-53,4.0067022322516579e-66,5.4161848964739914e-59,4.5242195540758913e-59,1.4808253721205601e-79,1.687378598405374e-41,1.1779878267247147e-36,8.2969809861302541e-42,3.168956085843982e-62,2.2834575377082083e-83,1.4715405441889476e-89,1.5218208857683934e-73,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.2095765594007989e-25,1.2242544323116866e-25,1.2095789873370171e-25,3.7949344786687413e-26,3.2334978084333522e-26,1.6167490529996034e-26,3.2906635623602499e-31,3.3284655945337241e-31,3.0707407715865899e-31,2.6167144195655929e-31,8.6360026787038635e-32,1.2934789110350889e-31
1.2700000000000001e-13,0.004243118369663564,4.0816041642250245e-30,2.2511503025538163e-38,4.1748447522699957e-35,2.3890314402094187e-37,4.7946673586382967e-43,0.0,0.0,1.7387675118910626e-25,9.8751630136556891e-37,2.5411589320680061e-56,2.1765879564675199e-58,8.7521066529894435e-78,1.0050909248475169e-43,6.9672663368872593e-58,2.7451898649293584e-34,6.5596820891028317e-44,6.3440876823719285e-53,5.960171648250788e-61,4.872851907672094e-32,8.1100083937708591e-72,1.8654324972602006e-52,8.3691042707022366e-58,5.0360933823214142e-48,1.755543069130686e-70,4.360128677978967e-40,2.0608760023924753e-59,2.4623217164419327e-25,9.3496709038643477e-55,5.2056931463987806e-77,1.2338336753627019e-62,6.4261142884845148e-99,5.4587933565268153e-51,1.1595382331355282e-54,3.4081820182103662e-36,4.173371877422653e-35,5.8675788836488926e-39,1.1138577318831864e-30,1.4978611756137447e-52,6.2221410817107239e-59,5.8432720986759707e-50,3.233666799768022e-48,1.8858681481220589e-41,1.477248012583934e-35,2.7391775029678996e-56,4.5231606995550863e-62,2.6118333197298946e-61,5.1210162669078362e-91,1.0673258644554913e-81,1.4119865567896663e-74,1.6611003094832864e-136,2.6339978425933155e-130,5.4975851958146039e-64,1.8118629796971443e-47,4.4016886379802084e-54,1.9427559997574681e-52,6.4840869968195304e-65,8.7655302449326699e-58,7.3233674179123452e-58,4.7457989465110635e-78,1.3642055109098804e-40,4.7447888918895625e-36,3.348201217132797e-41,5.1285883498536254e-61,7.3895878920430311e-82,9.584629079226403e-88,4.9179136783494451e-72,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.4327985620466589e-25,2.4623198958388967e-25,2.4328083598374957e-25,7.6326390190254829e-26,6.5034381116659401e-26,3.2517196562310803e-26,1.32792834314002e-30,1.343183135915301e-30,1.2391739928888015e-30,1.0559551288518427e-30,3.4850152223562632e-31,5.2197358212363996e-31
2.55e-13,0.004243118369663564,8.1860962856005855e-30,8.6543939815176842e-38,1.6778363476418377e-34,9.597265522069351e-37,3.8567540309503031e-42,0.0,0.0,3.4872933794607819e-25,3.9670783622621125e-36,2.0678855538027574e-55,1.75135886582556e-57,2.8165652111868412e-76,8.0815844834130806e-43,5.9226760305231193e-57,1.1028020483213045e-33,5.2744159030943761e-43,2.5501957750695023e-52,4.7920931345379557e-60,1.957527448077168e-31,2.6232191970501673e-70,7.4911952503202735e-52,1.3463781621339068e-56,4.0493501766551825e-47,2.8249787396532889e-69,3.5058302685951769e-39,2.6911111302544516e-58,4.9384378119730108e-25,7.5176816747433634e-54,4.1880852295581401e-76,1.9849291660914051e-61,2.0679643310332258e-97,8.7819199267742919e-50,1.8585806654647545e-53,1.3691386255434491e-35,1.6772439187514673e-34,2.3571216496642778e-38,4.474601518371151e-30,1.2043784651220051e-51,5.0029128293788299e-58,4.6983761482588077e-49,2.6000652690455523e-47,1.5163365282785624e-40,5.9343172631143867e-35,2.2027650373726653e-55,7.2765824728543741e-61,4.2017946817440081e-60,1.331464206906031e-89,3.4348121611499945e-80,2.2715383351566461e-73,2.1464137646297496e-134,3.7334756549717967e-128,8.8708410099464395e-63,1.4568350321328331e-46,7.0812447844180645e-53,1.5627131885895546e-51,1.0430275447935816e-63,1.4101685453923386e-56,1.1786032705920766e-56,1.4963784641238602e-76,1.0969097075416504e-39,1.898958011795097e-35,1.3450440454245637e-40,8.2505802336709721e-60,2.374983118072373e-80,6.1882624428130273e-86,1.5761823346778765e-70,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.8792224734596465e-25,4.9384304982611771e-25,4.8792618331787847e-25,1.5307860640027711e-25,1.3043158975425266e-25,6.5215818995813511e-26,5.334564901214046e-30,5.3958465848840516e-30,4.9779737999517782e-30,4.241952327179155e-30,1.4000080968148689e-30,2.0968574739805078e-30
5.11e-13,0.004243118369663564,1.6395030388627208e-29,3.3913080767941405e-37,6.7311953834918988e-34,3.8470421345635751e-36,3.0954963795404262e-41,0.0,0.0,6.984348009143292e-25,1.5902006734339176e-35,1.6979637396629093e-54,1.4065556320723971e-56,9.0378496043075427e-75,6.4813274344949573e-42,5.2639698567853936e-56,4.4205474935715491e-33,4.2300221957398184e-42,1.0235503571904373e-51,3.8427606464980886e-59,7.8466683665654209e-31,8.443409087727573e-69,3.0006999400998448e-51,2.1599138593493599e-55,3.2475329769444742e-46,4.5343593787476159e-68,2.8116364161407735e-38,3.8186104618135146e-57,9.890599722348478e-25,6.0289858080252706e-53,3.3625868967907003e-75,3.1843076043899264e-60,6.6353395885480884e-96,1.4088615701902013e-48,2.9646947198880065e-52,5.4881358001948203e-35,6.7288146928835851e-34,9.4483562279295487e-38,1.7936255907978279e-29,9.6589724706083907e-51,4.0121227690034855e-57,3.7680464040898489e-48,2.0851981399156802e-46,1.2160439042787169e-39,2.3786667269278312e-34,1.7670517070935291e-54,1.1673243527226855e-59,6.7407276163409273e-59,3.7666234215109108e-88,1.1021629010072529e-78,3.6441169025528742e-72,2.7640471193907337e-132,5.6256403145644638e-126,1.4270718324406789e-61,1.1683300310849365e-45,1.1360132522995858e-51,1.2542460810466199e-50,1.6729497294729659e-62,2.2622984470264751e-55,1.8922172475065569e-55,4.6148216181637051e-75,8.7970721624089328e-39,7.5553800707063379e-35,5.3915614692411328e-40,1.3235824688136398e-58,7.6010611495375144e-79,3.9798446573282392e-84,5.0166133678875682e-69,0.88168480800000004,0.0,0.0094599999999999997,0.10885,9.7719899220922966e-25,9.890570405913846e-25,9.7721476933133826e-25,3.0657554079966079e-25,2.6121961763445462e-25,1.306099054913947e-25,2.1383356226089071e-29,2.1629001030927252e-29,1.9953605528430547e-29,1.7003352773260951e-29,5.6119064867150068e-30,8.4050022143867146e-30
