Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),HOCO(37),HCOH(38),CH3OO(39),CH3OOH(40),CH2OOH(41),C2H5O(42),C2H5O2(43),H2CC(44),C2H4O(45),C2H5O(46),cC2H4O(47),C2H5O2(48),C2H3O2(49),CHCHO(50),OCHCHO(51),HCCOH(52),CHCHOH(53),C2(54),C2O(55),C2H6O(56),C2H5O(57),C2H5O3(58),cC2H3O(59),HOCHO(60),C2H3O3(61),OCHCO(62),C2H6O2(63),C2H5O2(64),C2H4O2(65),HOCH2O(66),OCHO(67),C2H4O3(68),C2H3O2(69),N2,Ne,C7H16(1),O2(2),CH4(3),C4H9(99),C5H11(101),C3H7(100),S(160),S(162),S(161),S(177),C7H15(105),S(194),S(267),S(266),S(268),C7H15(102),S(310),C7H15(103)
0.0,0.0020511031556971985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0020511031556971985,1.3792884070188237e-26,2.0952521753308618e-34,1.7344031911464697e-34,2.3286597367005397e-34,1.984091016502867e-43,0.0,0.0,5.006118032729593e-23,6.9333044723777026e-35,5.7700925861193134e-40,1.0338328950177535e-46,2.7578061449877297e-50,2.1902923335937497e-61,2.9215458550926812e-50,9.5513696292829084e-40,4.1036913459153825e-23,1.6424232052484242e-34,-7.8220931648830771e-84,8.9650558901356403e-82,2.1586700700532375e-54,1.6806278865468125e-52,1.5532585195173222e-34,1.7067667445954474e-47,9.8645939166242883e-37,2.331584663834056e-62,1.3654700517588238e-51,8.7094208173140267e-31,3.170734979368544e-34,1.4220577300860143e-22,5.3234799187446212e-46,1.1687575889211531e-62,5.9464583478056009e-59,3.6602037280194981e-46,7.447787731732982e-76,4.7395849835750998e-57,1.5218819031791694e-30,1.0753495841442994e-41,1.8664707274201231e-43,3.5005187693937979e-45,1.3244825665859468e-29,9.9654683154413524e-59,1.929272793803975e-62,5.3344393430788822e-55,1.4144294916500194e-49,1.2809092188791305e-42,1.7927358342198e-58,2.3530649207280302e-60,1.0030562354155346e-59,2.6304046502405287e-89,3.4096201871638703e-81,-1.6791461877422044e-116,-1.6546583148555405e-109,4.2095143555592436e-56,2.9409954489465179e-53,6.6150829349468122e-62,5.1854523115484484e-71,1.3472976744575339e-58,9.2594086764315933e-70,1.2241783031089837e-75,8.5492805403664768e-40,3.2461160436745946e-42,5.8521883890644281e-53,8.8795227776046145e-54,3.0912735455507135e-79,-2.2766796180952821e-90,-7.0849240462527314e-82,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.6442779112727755e-22,1.4220577914657552e-22,1.6442779353279132e-22,8.5623246235167668e-30,6.2329232614597882e-30,7.4051474920784801e-30,1.6622764512875028e-38,4.0176817118146966e-24,5.0233096321711143e-39,1.6076362324531391e-30,6.651437426850747e-45,2.0100284565980437e-45,3.3469163581619984e-24,2.7150100349203279e-40,1.6734581790809787e-24
3.0000000000000002e-15,0.0020511031556971985,4.5319475299943349e-26,7.2190132358953765e-34,1.139750651530639e-33,1.0199006950993726e-33,1.8707143676639354e-42,0.0,0.0,1.6448673705149883e-22,4.5561715307773212e-34,3.7917590938514706e-39,9.7475373339458367e-46,2.6002170637602659e-49,2.0651249133911034e-60,1.919872633598948e-49,6.2765866465954058e-39,1.348355682488863e-22,1.0793066619237858e-33,4.6262059750127031e-82,1.1014340132352722e-80,2.035349039044781e-53,1.5845914022492247e-51,5.1035132840025174e-34,1.6092371991703905e-46,6.482447331677383e-36,2.8783615658662918e-61,1.2874429820076665e-50,5.7233334921581167e-30,2.0836257566191954e-33,4.6724749503113367e-22,5.0192803631214037e-45,1.7697951463188038e-61,7.3056782349261891e-58,4.4967037182802484e-45,9.2116578857975028e-75,4.4687577042456099e-56,1.0000938067303085e-29,1.0139010409253742e-40,1.7597806876490806e-42,3.3018718574934276e-44,8.7037422130147786e-29,6.5488675454030761e-58,2.922228673141536e-61,6.5558467169576251e-54,1.737727569062527e-48,1.2077143229590141e-41,2.2025037493634631e-57,2.8907692537502969e-59,1.2323261005408441e-58,4.7350122047798717e-88,5.1635069680378658e-80,8.9714221773951463e-115,2.0450495021425208e-101,5.1751532841362657e-55,3.614384481039442e-52,1.0019738353698696e-60,7.8522421232901796e-70,2.0401628253005209e-57,1.6666636350561256e-68,1.8534373577206736e-74,8.0607499977123042e-39,3.0605190428245814e-41,7.1898310682981191e-52,1.0908925019139556e-52,3.8879173711024575e-78,1.1513567744354664e-88,4.8978363834629677e-80,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,5.4026271378654361e-22,4.6724753536639005e-22,5.4026272959420457e-22,5.6266703294205534e-29,4.095920931087549e-29,4.8662396626251055e-29,1.5672889773136057e-37,1.320094891646045e-23,4.736262679929123e-38,1.0564464632743983e-29,8.1717649049231254e-44,2.4694632321011581e-44,1.0997010893815981e-23,2.5598662603033999e-39,5.4985054469079301e-24
7e-15,0.0020511031556971985,1.004910044590021e-25,1.8160540376411093e-33,6.1942964203389813e-33,3.9009060270436808e-33,3.0214868518365262e-41,0.0,0.0,3.6473147129578698e-22,2.4761802517650647e-33,2.0606819347285916e-38,1.574330612663288e-44,4.1997421813659112e-48,3.335373296188314e-59,1.0434077778499283e-48,3.4110905030359511e-38,2.9898318730273092e-22,5.8657965165214172e-33,8.9253632107441209e-81,5.5713932109032276e-79,3.2875127608077004e-52,2.5593462463589285e-50,1.1316161530576162e-33,2.5991616463862137e-45,3.5230688510034374e-35,1.5399178247846981e-59,2.0794123788719282e-49,3.110506668567522e-29,1.1324049949539132e-32,1.036070243832982e-21,8.1068878738315472e-44,2.9219011817297462e-59,3.6954925569685835e-56,2.2737791953246096e-43,5.6374172402760031e-73,7.2177217741981473e-55,5.4352918847127547e-29,1.6376036262703856e-39,2.8418007563483966e-41,5.3320074978525524e-43,4.7302933816433625e-28,3.5592257364153197e-57,4.8259320277645548e-59,3.3157349500866065e-52,8.7896629249924995e-47,1.9506403836852164e-40,1.1140554557578027e-55,1.4613474868158046e-57,6.2332693796771857e-57,2.6390261751373404e-85,8.5366449755821965e-78,3.2752225181930424e-112,1.9176733746021577e-99,2.616959274350535e-53,1.8280379536103453e-50,1.6547182815973759e-58,1.2967700721752694e-67,3.3685885644243243e-55,9.2760981119753432e-66,3.0531380335227129e-72,1.3019329045805393e-37,4.9416531426036745e-40,3.6367145633155388e-50,5.5166543235112887e-51,3.35940717992389e-76,1.7877156303885237e-85,8.679113196179539e-78,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.1979736602944666e-21,1.0360704630462382e-21,1.197973746205645e-21,3.0579725189829815e-28,2.2260437392046857e-28,2.6446950519201293e-28,2.5314054920378257e-36,2.9271635364116456e-23,7.6497716646372066e-37,5.7415496593956802e-29,4.1333861760112459e-42,1.2490871370049108e-42,2.438467634721862e-23,4.1345667741321061e-38,1.2192338173609276e-23
1.5e-14,0.0020511031556971985,2.108340446491302e-25,4.6561276597775414e-33,2.7403562964543773e-32,1.4625384809064745e-32,2.810039033079163e-40,0.0,0.0,7.6522097271005352e-22,1.0954621962901982e-32,9.1160401926933984e-38,1.4640922863777934e-43,3.9058355956177206e-47,3.1017899974974845e-58,4.6160267336320177e-48,1.5089945022318067e-37,6.2727833687248893e-22,2.5950279679921837e-32,1.6003697609016634e-79,1.0715475190952385e-77,3.0575322871704293e-51,2.3802269557207233e-49,2.3740476002005851e-33,2.4172687251297206e-44,1.5586054017361689e-34,3.2035036326453857e-58,1.9338879961533133e-48,1.3760876621041355e-28,5.0097574374289771e-32,2.1737148677546343e-21,7.5395426322801862e-43,1.1458003746941024e-57,7.1079239431867064e-55,4.371015062963934e-42,1.7304437772639796e-71,6.7126245701123172e-54,2.4045727306190675e-28,1.5230018612852008e-38,2.642181699321193e-40,4.9593097845723111e-42,2.092680837145868e-27,1.5746087038561407e-56,1.8934741715054837e-57,6.3775601612552073e-51,1.6904829384643593e-45,1.8141303522379287e-39,2.1426183378855264e-54,2.8081279279685425e-56,1.1988201854816038e-55,2.0965695756139936e-83,3.3542962231589618e-76,2.487038553877024e-110,8.5580384378233559e-98,5.0334843078978379e-52,3.5160879523810778e-49,6.4923730850442336e-57,5.0873371144818375e-66,1.3211446183879881e-53,7.3547861630558598e-64,1.1933823428185306e-70,1.2108215148284442e-36,4.5935718334935209e-39,6.9943568636881966e-49,1.0606434048833121e-49,1.5661631305611354e-74,2.7472458188488771e-83,9.0074599825097811e-76,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.5133949983984932e-21,2.1737158375534003e-21,2.5133953784693777e-21,1.3528466851337173e-27,9.8480157011216076e-28,1.1700127845891992e-27,2.3542492395732652e-35,6.1412905424522637e-23,7.1144163179730944e-36,2.5400562734403557e-28,7.9495755034973755e-41,2.4023195261043863e-41,5.1160007306853166e-23,3.8452172374234462e-37,2.5580003653427377e-23
3.1e-14,0.0020511031556971985,4.315200525171623e-25,1.2943346789024155e-32,1.14222771843646e-31,5.5924208323649458e-32,2.3716677007774766e-39,0.0,0.0,1.5662001072411465e-21,4.5660770358672592e-32,3.79938435444886e-37,1.2355842361957046e-42,3.29651325659794e-46,2.6176243581257094e-57,1.92403251891674e-47,6.2891650201292816e-37,1.2838682818604783e-21,1.0816523715851976e-31,2.7379577016725571e-78,1.8219323865513613e-76,2.5806691038650035e-50,2.008886038149538e-48,4.8585177479446062e-33,2.0401702881117786e-43,6.4965357844567863e-34,6.2575341246132651e-57,1.6321908379189171e-47,5.7357682859405831e-28,2.0881520270554563e-31,4.4490006208752049e-21,6.3633366301720856e-42,3.9079193837963062e-56,1.2086832278169902e-53,7.4248022804151947e-41,7.3245555124342645e-70,5.6654586823349021e-53,1.0022673319275955e-27,1.2854107240042003e-37,2.2287607234206312e-39,4.1865017743800095e-41,8.722649235627658e-27,6.5632527964811866e-56,6.4651111133550115e-56,1.0845429061329174e-49,2.8742035326316003e-44,1.5311201019186309e-38,3.642926679292783e-53,4.7663156407217908e-55,2.038261691149879e-54,1.4387217808324471e-81,1.1485898460591327e-74,1.7330721298582954e-108,3.0666767014435745e-96,8.5597607320977301e-51,5.9793150767238658e-48,2.2167797947708008e-55,1.7365713469141781e-64,4.5071700161999575e-52,5.0271871182935553e-62,4.0441907189258218e-69,1.0219305540625487e-35,3.8732283161278872e-38,1.1891989410674271e-47,1.8021446830540405e-48,8.9006512920464295e-73,3.8380360611408458e-81,1.0815004066096492e-73,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,5.1442354549611942e-21,4.4490046631592796e-21,5.1442370391612424e-21,5.6388969250630366e-27,4.1048224368974265e-27,4.8768139024695461e-27,1.9869736695471708e-34,1.2569503420864017e-22,6.0045312649642956e-35,1.0587352350001002e-27,1.3516039390280215e-39,4.084476844376873e-40,1.0471066943743438e-22,3.2453448172759729e-36,5.2355334718725979e-23
6.300000000000001e-14,0.0020511031556971985,8.7289177820219885e-25,3.9946065458092048e-32,4.6546369927355271e-31,2.1792126697870767e-31,1.9410793544933414e-38,0.0,0.0,3.1681589031119701e-21,1.8607015039171195e-31,1.547994194592281e-36,1.0110831093336023e-41,2.6980068179560384e-45,2.1419233186699797e-56,7.8404754975422605e-47,2.5623931733064938e-36,2.5970467552319377e-21,4.4077893541555347e-31,4.5226717094960054e-77,2.9892616687724658e-75,2.1123191224300072e-49,1.644128148395971e-47,9.8258875542686766e-33,1.6697669741945537e-42,2.647371856510263e-33,1.2909378951211618e-55,1.3358468151477799e-46,2.3373534529707015e-27,8.5093177990707362e-31,8.9995581482689416e-21,5.2080024491040007e-41,1.2814423185312518e-54,1.9835520167684469e-52,1.2158619821196149e-39,4.0744435150341976e-68,4.6368922512089174e-52,4.0842910899303402e-27,1.0520378530959832e-36,1.8221037032854469e-38,3.427824117260941e-40,3.5545205497726234e-26,2.6745603666078656e-55,2.1246609935139894e-54,1.7800184699439631e-48,4.7154468154338074e-43,1.25313331945819e-37,5.976591014933935e-52,7.7931387295403723e-54,3.3439795308988834e-53,9.5156976249154339e-80,3.7962748523128592e-73,1.1512077047414266e-106,1.0463813683121e-94,1.4048844615223235e-49,9.8135983869636426e-47,7.2851945627774453e-54,5.7039456878383111e-63,1.4787351679747367e-50,3.298958538181267e-60,1.3094452831484292e-67,8.363929679735598e-35,3.163938789903294e-37,1.9510115739066506e-46,2.9527270724963476e-47,5.5479567927284938e-71,5.0935109311750692e-79,1.367678625303035e-71,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.0405907489520595e-20,8.9995746207508028e-21,1.0405913945210506e-20,2.2978787133580529e-26,1.6727362120180167e-26,1.9873260854784656e-26,1.6262149380243604e-33,2.5425764645352335e-22,4.9143407611249294e-34,4.3143684660308615e-27,2.2174424193173556e-38,6.7010005551713842e-39,2.1181199454380635e-22,2.6561173994593056e-35,1.0590599727197911e-22
1.2700000000000001e-13,0.0020511031556971985,1.7556340693511093e-24,1.3566456740324164e-31,1.8783540511544319e-30,8.5951261337598336e-31,1.5693176558584144e-37,0.0,0.0,6.3720786020753478e-21,7.5087743020273564e-31,6.2446351603444272e-36,8.1715533780560806e-41,2.1812635530139635e-44,1.7309554987089871e-55,3.1639367172617865e-46,1.0336580170101155e-35,5.2233980355694841e-21,1.7787400148747432e-30,7.3462788218646804e-76,4.8383546546784339e-74,1.7080545222856876e-48,1.32918389024395e-46,1.9754349183775432e-32,1.3499678642965657e-41,1.0683328112672146e-32,2.9360399938016553e-54,1.0799826451807216e-45,9.432251470436709e-27,3.4338822374118703e-30,1.8100617288014993e-20,4.2104877806032167e-40,4.1344895076598199e-53,3.2120101504333932e-51,1.9604652790282604e-38,2.5141142334527996e-66,3.7488626476515482e-51,1.6481939075267675e-26,8.5054819538501553e-36,1.469883778707233e-37,2.7735839907042787e-39,1.4344045878904321e-25,1.0793035898810402e-54,6.885386581567547e-53,2.8830435315846916e-47,7.6314109268155477e-42,1.0131225537455729e-36,9.6723293873252226e-51,1.2527320551449789e-52,5.4118065200653524e-52,6.2385444630240409e-78,1.2442606595870057e-71,7.497810893754746e-105,3.5477800252384974e-93,2.2754603615507404e-48,1.5894728543470301e-45,2.3609657694656564e-52,1.8465128328409534e-61,4.7761325704304688e-49,2.1293243173233356e-58,4.1216861560191957e-66,6.762028812488446e-34,2.5481910009038908e-36,3.1574889119699727e-45,4.7661065909135315e-46,3.5356135386323601e-69,6.6117738326842035e-77,1.7436981805489351e-69,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.0929216044498658e-20,1.8100683761561244e-20,2.0929242096034649e-20,9.2729600344307645e-26,6.75023697025893e-26,8.0197425467699729e-26,1.3147351793295667e-32,5.1137628983729603e-22,3.9730703051680656e-33,1.7410144045049127e-26,3.5886365998818465e-37,1.084469671271278e-37,4.2601464813707465e-22,2.1473793622663389e-34,2.1300732406915944e-22
2.55e-13,0.0020511031556971985,3.5211140106278815e-24,4.939533734277601e-31,7.5457565084734253e-30,3.4130808830897138e-30,1.2618349789117318e-36,0.0,0.0,1.2779926428786489e-20,3.0164475630180031e-30,2.5068295168508363e-35,6.565939526866596e-40,1.7538598955434478e-43,1.3906140303108408e-54,1.270985540690454e-45,4.1493621519952179e-35,1.0476077930724715e-20,7.1455853067864673e-30,1.1837362532471491e-74,7.7855293398614127e-73,1.3738591091815025e-47,1.0686621732362319e-45,3.9586192258150207e-32,1.0854632167765127e-40,4.2917246577115878e-32,7.3942839665729067e-53,8.6834751763929378e-45,3.7891288743923885e-26,1.3794588533188874e-29,3.6302511910127116e-20,3.3854112262817484e-39,1.3208995083475267e-51,5.1732846333744309e-50,3.1307595239340022e-37,1.591038157727853e-64,3.0144017521303629e-50,6.6211524189746416e-26,6.8389685071980919e-35,1.1766992209875239e-36,2.2337900509063099e-38,5.7622883172638222e-25,4.3357850674418798e-54,2.2191676623681686e-51,4.6454414568193043e-46,1.2276999162699653e-40,8.1460664848757268e-36,1.5559999135086644e-49,1.9885218624152431e-51,8.7060855615429511e-51,4.1115510139704515e-76,4.1005206279935008e-70,4.8404272337022057e-103,1.2290808332414426e-91,3.6664751097548955e-47,2.561092081468667e-44,7.6097606774050304e-51,5.9387020544887754e-60,1.5291126807535521e-47,1.3607801160999493e-56,1.2560947734242691e-64,5.4370942261966421e-33,2.0333607786277445e-35,5.0795965588456036e-44,7.6273587702668444e-45,2.2547039304887548e-67,8.4739579376951146e-75,2.2089196719320326e-67,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,4.1975691098877879e-20,3.6302778946558414e-20,4.1975795753093277e-20,3.7251434898029845e-25,2.7117158906925779e-25,3.2216997226933385e-25,1.0570986429021936e-31,1.0255872536800882e-21,3.1945138233052473e-32,6.9938236188720222e-26,5.7730743950466167e-36,1.7446018749923985e-36,8.5441996884320207e-22,1.7265865238269887e-33,4.2720998442661983e-22
5.11e-13,0.0020511031556971985,7.0520553280060948e-24,1.8779345434781057e-30,3.0246952098170566e-29,1.3601733013185707e-29,1.0119780740716715e-35,0.0,0.0,2.5595655796525994e-20,1.2091422074838096e-29,1.0034344686172572e-34,5.2585628957203197e-39,1.4065446453915095e-42,1.1133551514206616e-53,5.0944158957415983e-45,1.660806452847502e-34,2.0981347059768752e-20,2.8642875683399211e-29,1.9014311746951119e-73,1.2495735914692834e-71,1.1025741706544011e-46,8.5691214303029351e-45,7.9149811010353697e-32,8.7052968729994773e-40,1.7203252453650931e-31,2.0103653409931707e-51,6.96357510065501e-44,1.5188522557878181e-25,5.5294712007416607e-29,7.2705406547116453e-20,2.714904659258402e-38,4.1779489944254828e-50,8.3183336415151149e-49,4.9498477395748757e-36,1.0077073674260372e-62,2.4176278909319754e-49,2.6540694913382437e-25,5.4847782080864706e-34,9.3548969112162913e-36,1.797320624675226e-37,2.3097754698470709e-24,1.7379767332251369e-53,7.1423590844272498e-50,7.475979017323223e-45,1.9695191721161686e-39,6.5328847696709567e-35,2.4960872639740387e-48,3.1073409544562673e-50,1.3966169875187647e-49,2.7622850398033522e-74,1.3778408912437363e-68,3.1124022301067536e-101,4.4782591698564829e-90,5.9006115950734168e-46,4.12153365134537e-43,2.4494067028465426e-49,1.9032739825888144e-58,4.8564633780382291e-46,8.6095562162360823e-55,3.6437217229324056e-63,4.3604534901148351e-32,1.6063290999374487e-34,8.1488665537848543e-43,1.2109105417512435e-43,1.428806767813282e-65,1.0737095333449756e-72,2.7571981803993741e-65,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,8.4068072993217104e-20,7.2706476936991515e-20,8.4068492492914955e-20,1.4932082635456041e-24,1.0869827753580754e-24,1.2914050142151752e-24,8.4772520123318214e-31,2.0539039016590805e-21,2.5618100824843398e-31,2.8032862192330643e-25,9.2609536955738381e-35,2.7986423221017752e-35,1.7112306643137676e-21,1.3846263948207206e-32,8.5561533219716528e-22
