Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HOCO(14),CH2O(15),HCO(16),CH3(17),CH4(18),CH2(19),CH(20),C2H4(21),CH3OH(22),CH2(S)(23),CH2OH(24),CH3O(25),HCOH(26),CH3OO(27),CH2CO(28),C2H5(29),C2H3(30),C(31),C2H2(32),C2H(33),CH3OOH(34),CH2OOH(35),C2H6(36),CH3CHO(37),C2H5O(38),C2H5O2(39),CH2CHO(40),H2CC(41),C2H4O(42),C2H5O(43),cC2H4O(44),C2H5O2(45),C2H3O2(46),CHCHO(47),OCHCHO(48),HCCO(49),HCCOH(50),CHCHOH(51),C2(52),C2O(53),C2H6O(54),C2H5O(55),C2H5O3(56),CH3CO(57),cC2H3O(58),HOCHO(59),C2H3O3(60),OCHCO(61),C2H6O2(62),C2H5O2(63),C2H4O2(64),HOCH2O(65),OCHO(66),C2H4O3(67),C2H3O2(68),N2,Ne,C7H16(1),O2(2),C4H9(82),C5H11(84),C3H7(83),C7H15(88),C7H15(85),C7H15(86),S(164),S(165),S(206),S(207),S(166),S(208),S(255),C4H8(127),C6H12(193),C5H10(134),C3H6(72),S(267),C6H13(87),C7H15(89)
0.0,0.004893663896950957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.004893663896950957,4.3211125213079379e-24,6.3283968171215167e-32,4.9330159697052096e-31,1.9511412069648724e-32,2.945054856736195e-39,0.0,0.0,1.208962716944703e-22,2.2320214955068936e-34,1.4884437101843759e-48,5.3908437464835047e-49,1.5879209046430411e-61,2.5780534113346434e-31,1.2918430277217792e-46,1.174625117891535e-20,4.9020865802573293e-31,1.072004409792406e-41,1.2577601014956831e-42,2.8345717294091928e-28,-4.1135384551771997e-56,1.3985529447766912e-43,9.9298974764825302e-44,5.2938025869467844e-34,1.1058544554178366e-52,1.2712917739162771e-28,1.9302263181116127e-51,1.5053739004309275e-20,5.2763321304693745e-48,4.9030662675540698e-62,1.5000976325922099e-48,2.790396795909876e-74,6.5110955205957532e-40,2.6197286646895365e-33,4.1574634337661168e-32,2.3266753924515515e-31,9.680953881341603e-34,4.6803635644626493e-28,3.8782994331716411e-46,9.5572140552580312e-50,3.8440833909993253e-44,6.1464130731667272e-43,1.7784946770611073e-39,1.414950944437249e-32,1.4867019065409804e-50,6.0440385363637829e-57,2.2074730312115104e-56,6.2485211238735749e-71,1.3309105158112181e-71,2.468188241668838e-65,-1.3705623136014517e-106,2.0846410587977426e-94,-1.842956005194548e-56,1.4134573307900075e-42,2.808068555124404e-51,3.2398048454472246e-47,8.4363565978139068e-60,9.5452017591696686e-44,8.4709414953718252e-55,1.1004944306902585e-71,1.466712321951033e-38,3.2755175972372744e-32,1.7766412082108641e-36,5.2228302210806731e-47,1.5147377283715804e-64,-7.1208447619058718e-84,1.0924011470157733e-66,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.8327397952365265e-20,1.505373865396647e-20,1.8327398628126753e-20,5.3318271449364076e-23,4.3889130486088173e-23,2.1944565275029746e-23,8.8807059490256417e-28,7.388138914607911e-28,9.0245098582991466e-30,7.5174310724937051e-30,2.1998868932244992e-28,3.7263286482158722e-30,2.0104336097423256e-32,6.8916404382117413e-30,3.8661700492679893e-30,5.336806235661872e-30,7.5974493614225144e-30,6.629962964800571e-30,1.1746251183235786e-20,6.0653293199564746e-24
3.0000000000000002e-15,0.004893663896950957,1.4197973247624199e-23,2.2214769605849003e-31,3.241701117379148e-30,1.2821797680534126e-31,2.776768938344562e-38,0.0,0.0,3.9723079590660846e-22,1.466757286043266e-33,1.4034040490283429e-47,5.0829094312082903e-48,1.9508623696898939e-60,1.6941496995228115e-30,1.2180235475971999e-45,3.8594825122042499e-20,3.2213711747758953e-30,7.044826772059453e-41,8.2652780124269896e-42,1.8627185404568968e-27,2.4328638459490377e-54,9.1905729503031453e-43,9.3624740147576103e-43,3.4787845205953163e-33,1.0426994446435205e-51,8.354203059917931e-28,1.8200150242963969e-50,4.9462283804852723e-20,4.974827254338317e-47,4.6229940537882155e-61,1.4143777665235321e-47,3.4282048531232354e-73,6.1390329071077478e-39,1.7215056599463752e-32,2.7320473634296398e-31,1.5289626958894882e-30,6.3617676108763131e-33,3.0756674425321451e-27,3.6566823453293205e-45,9.0110867636076452e-49,3.6244206884237278e-43,5.7951881306236309e-42,1.6768641032368763e-38,9.2982307126766941e-32,1.4017516805914166e-49,7.425532428880735e-56,2.7120382528883876e-55,9.4620351239360344e-70,1.6390430924474064e-70,3.0323449650665871e-64,7.3227869717113763e-105,3.7523501253353241e-93,1.0899769735168418e-54,1.3326879960829609e-41,3.4499121358867803e-50,3.054679227576233e-46,1.0364604600260788e-58,8.9996904551271659e-43,1.0407172594397522e-53,1.6658620288843609e-70,1.3829001758083322e-37,2.1524369766988036e-31,1.1675070899613885e-35,4.9243398077241996e-46,1.8609435649791543e-63,3.8045656867134915e-82,1.654155234259716e-65,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.0218590271471639e-20,4.9462281502600208e-20,6.0218594712189796e-20,1.7518857651730621e-22,1.4420711788502349e-22,7.2103559152703091e-23,5.8358922927101046e-27,4.8550625460137365e-27,5.9303911735686552e-29,4.9400253548791655e-29,1.4456399478018192e-27,2.448729839942018e-29,1.321145181014322e-31,4.528792261320114e-29,2.5406260204350598e-29,3.5070440783180973e-29,4.9926095637644359e-29,4.3568340767747374e-29,3.8594825150433908e-20,1.9928939381279156e-23
7e-15,0.004893663896950957,3.1482669014911408e-23,5.8405718639162726e-31,1.7618114423633908e-29,6.9684128867074672e-31,4.4849459372440959e-37,0.0,0.0,8.8081732826033825e-22,7.9715177149165557e-33,2.2668395183689877e-46,8.2096524500950644e-47,9.8670125240292693e-59,9.2073464595341036e-30,1.9672943762192511e-44,8.557982845948656e-20,1.7507451805675951e-29,3.8286642769800963e-40,4.4919895319664828e-41,1.0123469459171816e-26,4.6940200624349734e-53,4.994806939351356e-42,1.5121803004707705e-41,1.8906436319640154e-32,1.6841294813310825e-50,4.5403276586508873e-27,2.9408932709744274e-49,1.0967722838193357e-19,8.0350970553837765e-46,7.4668108325968616e-60,2.2844343726234709e-46,1.734033090104392e-71,9.9154680988492332e-38,9.354936916459051e-32,1.4848082227173614e-30,8.3097418438167463e-30,3.4574750321512248e-32,1.6715582417199802e-26,5.9060963654139453e-44,1.4554258977394088e-47,5.8539768037476289e-42,9.3600870755517165e-41,2.7083554492372308e-37,5.0533213600246921e-31,2.264103067792777e-48,3.7559340825228396e-54,1.3717865297936034e-53,1.5626571605382838e-67,8.5288084536490627e-69,1.5337988176101951e-62,2.6732743658532778e-102,2.089095828860101e-90,2.103027214680716e-53,2.1524879376700537e-40,1.7450096865219003e-48,4.933859892584526e-45,5.2421843627816538e-57,1.453480966562734e-41,5.2641896462600114e-52,2.736450915812801e-68,2.233593113830461e-36,1.1696399968521805e-30,6.3451475915796489e-35,7.952918793456675e-45,9.411702211276028e-62,1.3889049155721127e-79,2.7305654652805207e-63,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.335281591199352e-19,1.0967721586969645e-19,1.3352818325426665e-19,3.8846143524860803e-22,3.1976344744866397e-22,1.5988172486667438e-22,3.1716799287218321e-26,2.6386203501874185e-26,3.223035077477903e-28,2.6847936354351268e-28,7.8567384717768759e-27,1.3308299685117989e-28,7.1802462946961095e-31,2.4613000477820327e-28,1.3807749688762716e-28,1.9060021478596785e-28,2.7133747042130238e-28,2.3678491030410725e-28,8.5579828613787794e-20,4.4190258093104071e-23
1.5e-14,0.004893663896950957,6.6052685921671454e-23,1.584758440565368e-30,7.7943813344039467e-29,3.082858624659434e-30,4.1711471446440759e-36,0.0,0.0,1.8479940726148031e-21,3.5266073193444899e-32,2.1083958424487114e-45,7.6351860201805382e-46,1.8974793997175886e-57,4.073338255335544e-29,1.8296233021059328e-43,1.7954983162618507e-19,7.7452965089580486e-29,1.693814685567275e-39,1.9872492698118365e-40,4.4786222498124671e-26,8.417452159631768e-52,2.209671551254532e-41,1.4063544329259065e-40,8.3642064780980805e-32,1.566327403593576e-49,2.008640889086999e-26,2.7369730113965535e-48,2.3010708841570579e-19,7.4727870427269745e-45,6.9443097628847136e-59,2.1245667973262418e-45,3.3350033421026407e-70,9.2215710693739381e-37,4.1378364260773208e-31,6.5687906441749435e-30,3.6763487873043349e-29,1.5295815416278283e-31,7.3949725519526982e-26,5.4927809170408973e-43,1.3535717186773593e-46,5.444291094248972e-41,8.7050276790889476e-40,2.5187715545934695e-36,2.2355416781263769e-30,2.1057483883119447e-47,7.2236431415534959e-53,2.6383074009671803e-52,6.1306612291983892e-66,1.7090154237757734e-67,2.9498902996822366e-61,2.0300095835872972e-100,1.657146041951516e-88,3.7712160407602732e-52,2.0018467268837831e-39,3.3561033906960072e-47,4.5887137088130314e-44,1.0081018946294435e-55,1.3516108128812456e-40,1.0124706568946163e-50,1.0652832216413331e-66,2.077283209563422e-35,5.1732920030525097e-30,2.8070935616382461e-34,7.3954357474214156e-44,1.8097704161351293e-60,1.0546701779604326e-77,1.0705327334143425e-61,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.801472383707267e-19,2.3010703306160532e-19,2.8014734514096251e-19,8.1500657472690814e-22,6.7087561688133811e-22,3.3543781349437788e-22,1.4031507116502742e-25,1.1673252029111276e-25,1.4258680698254533e-27,1.1877506810644228e-27,3.475820824345151e-26,5.8875810052581936e-28,3.1766213893874216e-30,1.0888790718815569e-27,6.108548151960591e-28,8.4321529978579178e-28,1.2003969260032012e-27,1.0475397473862543e-27,1.7954983230881397e-19,9.2712899161832503e-23
3.1e-14,0.004893663896950957,1.3519522122184215e-22,4.6937160942181806e-30,3.248937275273117e-28,1.2850156867782196e-29,3.5205463061901938e-35,0.0,0.0,3.7823622799077692e-21,1.4699575741538926e-31,1.7798037793048863e-44,6.4442144606519e-45,3.2254517667011898e-56,1.6978447598494742e-28,1.5442034589641874e-42,3.6748982392682329e-19,3.2283739037569654e-28,7.0602660414648739e-39,8.2831437301899607e-40,1.8667669813934353e-25,1.440334132581538e-50,9.21005941454809e-41,1.1869581897591797e-39,3.4863456877112219e-31,1.3220771578071053e-48,8.3723633761700572e-26,2.3131295236728211e-47,4.7096669200174774e-19,6.307013620217917e-44,5.8610800502587407e-58,1.7931308998261743e-44,5.6702698506180801e-69,7.7829906129659457e-36,1.7240806567246291e-30,2.7379852134848629e-29,1.5324628848659445e-28,6.3755173000541875e-31,3.0823520314131614e-25,4.6358990392053302e-42,1.1424095731005666e-45,4.5949444402781982e-40,7.3469813769303437e-39,2.1257565213555679e-35,9.3177372581384839e-30,1.7773975513053294e-46,1.2281813996192647e-51,4.4857255319144042e-51,2.0928680468870201e-64,3.136643559950731e-66,5.015455826453796e-60,1.4146715140252019e-98,1.1337308549563512e-86,6.4530563544393555e-51,1.6895430724290673e-38,5.706107112456721e-46,3.8730847463451734e-43,1.7136391428395037e-54,1.1405025587560309e-39,1.7215259265060849e-49,3.581682415070468e-65,1.7532231916714072e-34,2.1553446310666398e-29,1.1700455448126985e-33,6.2401981478924717e-43,3.0758534410353063e-59,7.3495331490690587e-76,3.649606744636342e-60,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.7338516308802991e-19,4.7096646127654507e-19,5.7338560812452849e-19,1.6680945417611819e-21,1.3730979969797394e-21,6.8654901955449216e-22,5.8485717684758521e-25,4.8656105067168879e-25,5.943244065580652e-27,4.9507345461502106e-27,1.4487822348145448e-25,2.4540371913262967e-27,1.3241364692147874e-29,4.538636435163443e-27,2.5461486603947296e-27,3.5146673396086708e-27,5.0034624232648464e-27,4.3663544393242671e-27,3.6748982677214091e-19,1.8975819587953934e-22
6.300000000000001e-14,0.004893663896950957,2.7349029775204987e-22,1.5342060392590679e-29,1.3240437507009425e-27,5.2367253413102165e-29,2.8815458805890534e-34,0.0,0.0,7.6511575687979555e-21,5.9902089717103009e-31,1.4571969138256786e-43,5.2744596761600587e-44,5.2894414267821839e-55,6.9188635072784015e-28,1.2638532937669199e-41,7.4336975239706283e-19,1.3155797608602688e-27,2.8772246426962318e-38,3.3753803528815984e-39,7.6071724573303707e-25,2.3799820055487336e-49,3.7529600103386753e-40,9.7145608622965767e-39,1.4207041459372953e-30,1.0822113956877313e-47,3.4117830351924287e-25,1.8982781373339117e-46,9.5268543324825795e-19,5.161935506677809e-43,4.7971363715831956e-57,1.4675796491038081e-43,9.3027322813636582e-68,6.3699520330567687e-35,7.0205202343595427e-30,1.1157432053065575e-28,6.2456550216228281e-28,2.598022070731211e-30,1.2560744344952314e-24,3.794231542832926e-41,9.3499532746895779e-45,3.760664660764072e-39,6.0130248191335792e-38,1.7396807897012758e-34,3.7967130372307857e-29,1.4549466031503278e-45,2.0149620045622652e-50,7.3593452181113719e-50,6.8752675154792973e-63,5.9025716263591105e-65,8.2283239693940014e-59,9.3981122215897099e-97,7.4533063090325807e-85,1.0662983868469236e-49,1.3827786110799919e-37,9.3614038489801636e-45,3.1702634668837599e-42,2.8102273682990083e-53,9.3302354047220021e-39,2.8246689234452034e-48,1.1421163093077013e-63,1.4349166566806145e-33,8.7752540162874302e-29,4.7680008123148326e-33,5.1047536017526474e-42,5.042460357607227e-58,4.8822105251321518e-74,1.1956944986679257e-58,0.88168480800000004,0.0,0.0094599999999999979,0.10885,1.1598600773876176e-18,9.5268449303296345e-19,1.1598618909324024e-18,3.374261228259519e-21,2.7775349222006024e-21,1.3887675469388598e-21,2.3833214789001705e-24,1.9827597569823418e-24,2.4218866676068551e-26,2.0174377916883286e-26,5.9038643513415218e-25,1.0000263358278228e-26,5.3964599420713017e-29,1.8495185021897842e-26,1.0375691815643615e-26,1.4322456673329293e-26,2.0389377858511403e-26,1.7793349699191768e-26,7.4336976399190017e-19,3.8384884763543815e-22
1.2700000000000001e-13,0.004893663896950957,5.501204743980437e-22,5.4362132226636667e-29,5.3437922169317849e-27,2.1134301289729164e-28,2.329941447025018e-33,0.0,0.0,1.5388983643540248e-20,2.4173620879167919e-30,1.1789594827269058e-42,4.2646447753931638e-43,8.5530357378851593e-54,2.7921176001879256e-27,1.0218087141395947e-40,1.4951293848133768e-18,5.3089579817916225e-27,1.1611938426931689e-37,1.3620817130618164e-38,3.0698344706332075e-24,3.8680581572820636e-48,1.5143366750918497e-39,7.853935777326124e-38,5.7331782243480056e-30,8.752083121236453e-47,1.3768082862203684e-24,1.5429709597878766e-45,1.916121052042487e-18,4.1732927563769014e-42,3.8786428841714918e-56,1.1865054002406915e-42,1.5055508890216323e-66,5.1499633544622791e-34,2.8289109847252722e-29,4.5025230956813337e-28,2.5210360853696616e-27,1.0483904448495066e-29,5.0688220851861672e-24,3.0675540046719421e-40,7.5591562451083925e-44,3.0403387124531673e-38,4.8612704472527886e-37,1.4062753660874893e-33,1.5318909706281934e-28,1.17668594822042e-44,3.2609705522934167e-49,1.1910320740330516e-48,2.2263663203190661e-61,1.2000717997561139e-63,1.3316333258897361e-57,6.1223476845918977e-95,4.8281869982105898e-83,1.733020948664008e-48,1.1179132303653062e-36,1.5150062710715407e-43,2.5636599617170531e-41,4.5441976772584438e-52,7.5365863493611171e-38,4.5724247307390894e-47,3.4934601479258318e-62,1.1600969454049903e-32,3.5348626103585384e-28,1.9241052317248983e-32,4.1230350572436753e-41,8.1483253873262339e-57,3.1800750172924591e-72,3.8511476039050644e-57,0.88168480800000004,0.0,0.0094599999999999945,0.10885,2.3328061654635207e-18,1.9161172578683589e-18,2.3328134839114753e-18,6.7865576119281111e-21,5.586377433473328e-21,2.7931890631266219e-21,9.6177531896818748e-24,8.0013082186085658e-24,9.7732659457411743e-26,8.1411653000333284e-26,2.3824746103314508e-24,4.03550072557543e-26,2.1781445198486988e-28,7.4636393187259591e-26,4.1870589029901875e-26,5.7797558555519105e-26,8.2280331262804463e-26,7.1805970146202175e-26,1.4951294316038968e-18,7.7203038442505802e-22
2.55e-13,0.004893663896950957,1.1035409209612586e-21,2.0330914693650595e-28,2.1472641775140366e-26,8.4915332607883033e-28,1.873872233669114e-32,0.0,0.0,3.086557777883161e-20,9.7114307217636948e-30,9.4932742785892396e-42,3.4296456601331178e-42,1.3736205804297941e-52,1.1216918896669767e-26,8.2162184319220551e-40,2.9986477515492117e-18,2.1327283546005257e-26,4.6656129720448967e-37,5.4714961876073832e-38,1.2332195395086601e-23,6.2377792204130131e-47,6.0822120764603193e-39,6.3149838596337383e-37,2.3031439256263693e-29,7.0415229812556741e-46,5.5309489293473274e-24,1.2539276417134146e-44,3.8429848348637977e-18,3.3555828079246884e-41,3.1191185104485189e-55,9.5403069967824842e-42,2.4220811154332433e-65,4.1409181496035855e-33,1.1330894760871336e-28,1.8087618613406422e-27,1.0132626539480819e-26,4.2113907653645161e-29,2.036256280695244e-23,2.4665251267095922e-39,6.0779572392008269e-43,2.4445180422489333e-37,3.90858816647438e-36,1.1303906821148036e-32,6.1519121144227448e-28,9.4676886030723265e-44,5.2460245450515718e-48,1.9160879023472348e-47,7.1646653337315294e-60,2.7181876118529899e-62,2.142173349862374e-56,3.9542179983180525e-93,3.1078048081560805e-81,2.7948100044839179e-47,8.9882581855350534e-36,2.4371639223830253e-42,2.0622723814603525e-40,7.2981506385439349e-51,6.0491960420510562e-37,7.3591385984357946e-46,1.0119372316188973e-60,9.3279465743114074e-32,1.4149599575652242e-27,7.729579429421302e-32,3.3087228887590918e-40,1.3069116015551205e-55,2.0533652938001015e-70,1.2261803061631257e-55,0.88168480800000004,0.0,0.0094599999999999893,0.10885,4.6786833796566704e-18,3.8429695929606315e-18,4.6787127793257908e-18,1.3611002429574622e-20,1.1203937105220568e-20,5.6019699440778705e-21,3.863649099078826e-23,3.2142885073585238e-23,3.9260295631854052e-25,3.2704044303950594e-25,9.5709301857830484e-24,1.6211061843911414e-25,8.7535479340698669e-28,2.9983105789925492e-25,1.6820353943085112e-25,2.3218571276958407e-25,3.3053860637787603e-25,2.8847506188199211e-25,2.9986479395182575e-18,1.5483943910826467e-21
5.11e-13,0.004893663896950957,2.2110221786040277e-21,7.8493736379685441e-28,8.611587247560538e-26,3.4049493485015409e-27,1.5035331334715374e-31,0.0,0.0,6.1822533976313082e-20,3.8930893850501312e-29,7.6354194752042091e-41,2.7514848541705154e-41,2.1961468509280779e-51,4.4965688225214202e-26,6.5896390629990199e-39,6.0056808926326423e-18,8.5490172783841539e-26,1.8708750710469405e-36,2.1930075439833398e-37,4.9433278789979767e-23,1.0023091179777465e-45,2.4370704264725953e-38,5.0643901768426555e-36,9.2320998252357161e-29,5.6540773712172085e-45,2.217073776635091e-23,1.0269322435128893e-43,7.6966825816619566e-18,2.6911090258399389e-40,2.5021949062721731e-54,7.651255865709515e-41,3.8856921046928289e-64,3.3209839360673444e-32,4.5153663722954431e-28,7.2503741775471315e-27,4.0656638336701484e-26,1.6879464346774537e-28,8.1622775281525187e-23,1.9781412781676798e-38,4.8742903008873865e-42,1.9602926870030986e-36,3.1343341212806307e-35,9.0600418682838794e-32,2.4643530837081225e-27,7.6031797848826942e-43,8.4157032692298775e-47,3.07392017515713e-46,2.298928106058191e-58,6.8872002616843145e-61,3.4362736481558817e-55,2.5448335158322852e-91,1.9944696602069301e-79,4.4910398731206874e-46,7.2076807591889187e-35,3.9094762320709888e-41,1.6553817214413889e-39,1.166862923263212e-49,4.8343431134107684e-36,1.1816178495935813e-44,2.7054949872371499e-59,7.4809146041868179e-31,5.6315769245537175e-27,3.0984043186611067e-31,2.6432679262013055e-39,2.0840378182895856e-54,1.3207906979622884e-68,3.8527037535063158e-54,0.88168480800000004,0.0,0.0094599999999999771,0.10885,9.3703779612837458e-18,7.6966214858810205e-18,9.3704958080020316e-18,2.725930032707206e-20,2.2438555092540221e-20,1.1219283123477995e-20,1.548723597566434e-22,1.2884296441605926e-22,1.5736545697907381e-24,1.3108692789041897e-24,3.8364895976962179e-23,6.4978199394051529e-25,3.5116145155490978e-27,1.2018678162221978e-24,6.7424136302250427e-25,9.3071268377154832e-25,1.324959655268726e-24,1.1564632937212172e-24,6.0056816461120913e-18,3.1011261364477776e-21
