Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HOCO(14),CH2O(15),HCO(16),CH3(17),CH4(18),CH2(19),CH(20),C2H4(21),CH3OH(22),CH2(S)(23),CH2OH(24),CH3O(25),HCOH(26),CH3OO(27),CH2CO(28),C2H5(29),C2H3(30),C(31),C2H2(32),C2H(33),CH3OOH(34),CH2OOH(35),C2H6(36),CH3CHO(37),C2H5O(38),C2H5O2(39),CH2CHO(40),H2CC(41),C2H4O(42),C2H5O(43),cC2H4O(44),C2H5O2(45),C2H3O2(46),CHCHO(47),OCHCHO(48),HCCO(49),HCCOH(50),CHCHOH(51),C2(52),C2O(53),C2H6O(54),C2H5O(55),C2H5O3(56),CH3CO(57),cC2H3O(58),HOCHO(59),C2H3O3(60),OCHCO(61),C2H6O2(62),C2H5O2(63),C2H4O2(64),HOCH2O(65),OCHO(66),C2H4O3(67),C2H3O2(68),N2,Ne,C7H16(1),O2(2),C4H9(82),C5H11(84),C3H7(83),C7H15(88),C7H15(85),C7H15(86),S(164),S(165),S(206),S(207),S(166),S(208),S(255),C4H8(127),C6H12(193),C5H10(134),C3H6(72),S(267),C6H13(87),C7H15(89),C6H13(188)
0.0,0.002778223677665735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.002778223677665735,4.441755345405359e-32,3.3095343812024763e-41,1.1655713521641142e-38,4.8760704110661398e-41,6.3105584491462443e-47,0.0,0.0,2.3651449456283623e-27,2.7159279522662653e-40,1.1272819220309452e-60,3.5749293670608379e-62,1.0135910325056015e-75,6.7655681944778605e-39,3.1225841592775267e-57,1.0981725622629745e-27,6.4296324464664419e-39,4.9748222230346983e-55,5.7836655416136942e-56,7.0005372638721487e-36,-2.5346675540067751e-70,3.5555193857013849e-56,1.4906559424812662e-54,4.4374221862506995e-43,2.1206140796253708e-67,3.1741158313421494e-35,1.535659108262272e-65,2.2614763382253752e-27,3.1358189196383345e-60,9.6925548800106797e-81,6.3532264248311823e-62,3.3256359213699616e-94,9.6327401361747208e-48,9.1133490719486596e-42,6.987596571749192e-40,4.8871901198195445e-39,8.8624645772865246e-43,1.8608170037054549e-34,5.303323020324846e-58,1.4580774987918729e-64,1.3328773705787308e-55,6.9493575716543416e-54,3.8636457716331621e-47,1.8749372849406225e-39,8.078058935477649e-62,2.7585021122495114e-69,1.6056555131893577e-68,3.2333153955062262e-86,3.5588634026205757e-90,8.1244625191943759e-82,-2.2684696540096571e-135,1.2225172762146905e-117,-4.7612597779024991e-71,5.3277725944523138e-53,2.6364623410677241e-61,5.1295187577006498e-58,3.3297006908944259e-72,4.0050022078200598e-54,4.314271251093398e-65,7.4107895663355608e-87,5.0560476499551982e-46,8.5318732451114285e-40,4.421425728024506e-45,4.0023733820151376e-57,8.7762484683848446e-80,-1.7982630554144527e-98,5.7203306623650156e-81,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.2389616406809971e-27,2.261476308391038e-27,2.2389618048768985e-27,1.0232415271464004e-27,8.7163181175188888e-28,4.3581590544219678e-28,2.2290488037702301e-34,2.2266414669565131e-34,2.9975717221327887e-34,2.5515160789628812e-34,5.9253285705042121e-35,1.2775155288930604e-34,2.5392769436431547e-37,8.689998880294742e-38,2.9338486973122803e-38,7.010246992630856e-38,1.5155010422090519e-37,5.8519918011832012e-37,1.0981725901506144e-27,3.4499428715865621e-29,3.7892872787065172e-36
3.0000000000000002e-15,0.002778223677665735,1.4594338538467081e-31,1.2282185389228962e-40,7.6594863622913879e-38,3.2042747982594804e-40,5.9499645712813661e-46,0.0,0.0,7.7711905592089889e-27,1.7847526567002401e-39,1.063035690135196e-59,3.3706575932975301e-61,1.2452565866165611e-74,4.4459449041656201e-38,2.9441506564867367e-56,3.608281171798666e-27,4.2251869831951699e-38,3.2691826156967749e-54,3.8006923145170997e-55,4.600352889276538e-35,1.4990745192966982e-68,2.3364767447316519e-55,1.4054754827312372e-53,2.9160202560144218e-42,1.9995077688418648e-66,2.0858475201094071e-34,1.473098261625528e-64,7.4305644774190392e-27,2.9566290305121257e-59,9.1387191751065739e-80,5.9901848441946424e-61,4.0857806355523867e-93,9.0822977631647365e-47,5.9886257087345657e-41,4.5918490054055329e-39,3.2115994717609959e-38,5.823904924129551e-42,1.2228225570753201e-33,5.000275885614232e-57,1.3747585773651732e-63,1.2567129407144608e-54,6.5522510571551429e-53,3.6428656326683639e-46,1.2321014597001489e-38,7.6164646081035895e-61,3.3890165233064899e-68,1.9726623761391814e-67,4.8961628612026458e-85,4.7844221872559862e-89,9.9814820503252861e-81,1.2120458857850758e-133,2.2005308843078907e-116,2.8159537179542042e-69,5.023327878448211e-52,3.2390821647436604e-60,4.8364214790887862e-57,4.090773485215893e-71,3.7760960830011272e-53,5.300405599806941e-64,1.1221438418879694e-85,4.7671305181384464e-45,5.6064842321646142e-39,2.9055082450403431e-44,3.773615483764107e-56,1.0782086962096232e-78,9.6078562948396336e-97,8.662113452559245e-80,0.88168480800000004,0.0,0.0094599999999999997,0.10885,7.3565875133663332e-27,7.4305642813648424e-27,7.3565885923679114e-27,3.3620783184026693e-27,2.8639322573440003e-27,1.4319661258216915e-27,1.464803435926261e-33,1.4632214726965272e-33,1.9698325943134241e-33,1.6767103522369313e-33,3.8937873014169198e-34,8.3951009695511748e-34,1.6686677583530086e-36,5.7105703791903013e-37,1.9279576586944176e-37,4.6067334859237973e-37,9.9590066295904882e-37,3.8455945021055913e-36,3.6082813550602923e-27,1.1335526591640104e-28,2.4901030647501293e-35
7e-15,0.002778223677665735,3.23613564492223e-31,3.6294589719118216e-40,4.1628261182125922e-37,1.7414535415809685e-39,9.6102343432817817e-45,0.0,0.0,1.7231770522106652e-26,9.6997427827017733e-39,1.7194777012159086e-58,5.4441232082989259e-60,6.297928990506377e-73,2.416274724927504e-37,4.7552475834219152e-55,8.0009706234309778e-27,2.2962970858482982e-37,1.7767273830505413e-53,2.0655859245544053e-54,2.5001911870095844e-34,2.8923635732268269e-67,1.2697976867393214e-54,2.2700540762013559e-52,1.5847934836922274e-41,3.2295278335180118e-65,1.1336126900072304e-33,2.7522406622804654e-63,1.6476464979663307e-26,4.7754003559079368e-58,1.4760383693339872e-78,9.6750550812330077e-60,2.0666409084767663e-91,1.46692858160221e-45,3.2541697501242414e-40,2.4955695093096442e-38,1.7454959907848762e-37,3.165164412835186e-41,6.6457731625587979e-33,8.0762016186173732e-56,2.2204403314903171e-62,2.0297816816753471e-53,1.0582872781134157e-51,5.8837743115884558e-45,6.6961970537524044e-38,1.2301878193027751e-59,1.7142096755454539e-66,9.9779947836340806e-66,8.0860480046977901e-83,4.9223997780986725e-87,5.0487700238476346e-79,4.4248902491765108e-131,1.2251347145346172e-113,5.4332617653934573e-68,8.113427228537959e-51,1.6383721053370904e-58,7.8118210709414814e-56,2.0691602943453216e-69,6.0982441426901107e-52,2.6811114208172567e-62,1.8517169075294699e-83,7.6996362546300436e-44,3.0463824009878843e-38,1.5790802478356435e-43,6.0942081124153153e-55,5.4527516501840379e-77,3.5075292979193478e-94,1.4303057266063644e-77,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.6312428454916274e-26,1.6476463914151909e-26,1.6312434319053181e-26,7.4550368890054212e-27,6.3504530886824008e-27,3.1752265288505245e-27,7.9608859861720782e-33,7.9522883939497049e-33,1.0705603025630763e-32,9.112548696177171e-33,2.1161885919292576e-33,4.5625510642979776e-33,9.0688483705320642e-36,3.103569749292099e-36,1.0478028749197014e-36,2.5036586116955022e-36,5.4125028277912726e-36,2.0899966226411744e-35,8.0009716194179898e-27,2.5135298181825965e-28,1.3533168684665826e-34
1.5e-14,0.002778223677665735,6.78953834358003e-31,1.1174479343413732e-39,1.8416796624015208e-36,7.7041893426287011e-39,8.9379025040548825e-44,0.0,0.0,3.6152930907061423e-26,4.2911662682436354e-38,1.6028149741733685e-57,5.0631442341846309e-59,1.2110413596793206e-71,1.0689601736896593e-36,4.4224668272000453e-54,1.6786347496900862e-26,1.0158816928910191e-36,7.8602534901522459e-53,9.13809536196172e-54,1.1060841397193572e-33,5.186711917373932e-66,5.617389475841646e-54,2.1111902847542512e-51,7.0111253892356195e-41,3.0036249565687654e-64,5.0151018596222244e-33,3.1039001684736888e-62,3.4568253637034633e-26,4.4412068149925619e-57,1.3727404869540155e-77,8.9979812201060112e-59,3.9746854439149095e-90,1.3642709312249977e-44,1.4392640651393464e-39,1.104039508267993e-37,7.7225259692605467e-37,1.4002677758646723e-40,2.9400888682150286e-32,7.5110167608276997e-55,2.065046691221516e-61,1.887734858468563e-52,9.8422622992623357e-51,5.472012277733432e-44,2.9623927765017111e-37,1.1441172823343299e-58,3.2968721303958413e-65,1.9190302311849768e-64,3.172342519773998e-81,1.6681263051647796e-85,9.7101112034511452e-78,3.3604934653996005e-129,9.7182126264974456e-112,9.7433884116398753e-67,7.5456272793244765e-50,3.1510202406724282e-57,7.2655304313451488e-55,3.9795133929269718e-68,5.6704266308181696e-51,5.1567520519726768e-61,7.2561116095355051e-82,7.1608035127384159e-43,1.3472642329805763e-37,6.9858486638386381e-43,5.6666300361416197e-54,1.0484263460922173e-75,2.663513422305736e-92,5.610002262972652e-76,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.4224096029587105e-26,3.4568248923216299e-26,3.4224121972513345e-26,1.5640934842673266e-26,1.332347842061178e-26,6.6617391417754975e-27,3.5218943048675138e-32,3.5180907550743167e-32,4.7361522379071129e-32,4.0313859829224138e-32,9.3620171633659916e-33,2.0184697905258839e-32,4.0120598843835265e-35,1.3730184421047855e-35,4.6354784454739464e-36,1.1076179146293195e-35,2.3944906812825005e-35,9.2461421970461199e-35,1.6786351903146733e-26,5.2734841626515322e-28,5.9870737191689952e-34
3.1e-14,0.002778223677665735,1.3896340206922504e-30,3.7234670663132536e-39,7.6768099938617481e-36,3.211238944763461e-38,7.5439136364076492e-43,0.0,0.0,7.3995253513606288e-26,1.7886326444728455e-37,1.3588554286643409e-56,4.2733012934276158e-58,2.0583197168695233e-70,4.4556134893875517e-36,3.7325504827559097e-53,3.435709312466543e-26,4.2343701281206603e-36,3.2763020079263623e-52,3.8088705318274608e-53,4.6103471125520106e-33,8.875271893960404e-65,2.3412662092234736e-53,1.781836888675341e-50,2.9223579737695829e-40,2.5352409364894454e-63,2.090380961714827e-32,3.5221750908295257e-61,7.0751781563375849e-26,3.74836291088984e-56,1.158586854397541e-76,7.594279097786557e-58,6.7578391883963692e-89,1.1514421793859112e-43,5.9960035426873577e-39,4.6018247236399742e-37,3.2192505674244276e-36,5.8365513496515088e-40,1.2254791192833905e-31,6.3392822638128975e-54,1.7428886530844518e-60,1.5932448627720114e-51,8.3068403319404949e-50,4.6183558998844927e-43,1.2347728251163658e-36,9.656655195132396e-58,5.6054182029730072e-64,3.2627852399518403e-63,1.0829649591235667e-79,5.2611581430545419e-84,1.6509389618493519e-76,2.3422788428041241e-127,6.648678831262797e-110,1.6673156771275683e-65,6.3684769110498575e-49,5.3574493142396188e-56,6.1327424205972295e-54,6.7659889960506955e-67,4.7840832823136536e-50,8.7685552295036089e-60,2.471258337030845e-80,6.0437021937155665e-42,5.6119247735676603e-37,2.9118210796452505e-42,4.7808077008178441e-53,1.7816183406558612e-74,1.856166641075176e-90,1.9141665070323547e-74,0.88168480800000004,0.0,0.0094599999999999997,0.10885,7.0047373945304036e-26,7.0751761915396065e-26,7.0047482079798605e-26,3.2012654000219213e-26,2.7269463761787574e-26,1.3634731595249084e-26,1.4679853371002338e-31,1.466399971890876e-31,1.9741051427314462e-31,1.6803471317613292e-31,3.9022503258759642e-32,8.413309674889555e-32,1.6722973209247563e-34,5.7229725806731651e-35,1.9321466870506915e-35,4.6167384109500712e-35,9.9806481978314999e-35,3.8539502480063218e-34,3.4357111490657682e-26,1.0793392957315563e-27,2.4955161737645966e-33
6.300000000000001e-14,0.002778223677665735,2.810992979771374e-30,1.3323559604644943e-38,3.1286411053432601e-35,1.3085965401136145e-37,6.1748327703414326e-42,0.0,0.0,1.4967990607321757e-25,7.2887754283404903e-37,1.1220787666182897e-55,3.497490315437991e-57,3.3745289294167082e-69,1.8156882112859164e-35,3.0548815954323814e-52,6.9498551903523666e-26,1.7255278780378831e-35,1.335120749376478e-51,1.5520978467410472e-52,1.8787385302956274e-32,1.4665803587850061e-63,9.5394941369143129e-53,1.4583291691956066e-49,1.1908760722355927e-39,2.0752628810140463e-62,8.5184112755863474e-32,4.3564962804708505e-60,1.431186398629918e-25,3.0678165304987246e-55,9.4823394211564219e-76,6.2154986266466135e-57,1.1086894464045592e-87,9.4239208462381933e-43,2.4408915276401856e-38,1.8752656024149611e-36,1.3121600351463997e-35,2.3784199736976844e-39,4.9938860703022155e-31,5.1883502377265442e-53,1.4264470762134417e-59,1.3039834133227324e-50,6.7986737264500036e-49,3.7798498654369834e-42,5.0317344717186457e-36,7.903973603494417e-57,9.1962704045366344e-63,5.3529564809059921e-62,3.5576361705495425e-78,1.6576180611511134e-82,2.7085479068910079e-75,1.5566035464514733e-125,4.3709282040030272e-108,2.7553594394151278e-64,5.212217403891665e-48,8.7894905770770885e-55,5.0203682915062852e-53,1.1100072492202649e-65,3.9126617141731984e-49,1.4388754223494735e-58,8.0804162922904768e-79,4.9464330237012547e-41,2.2838860224283062e-36,1.1865813245008233e-41,3.9098646443500547e-52,2.9198534225791086e-73,1.2331376019761521e-88,6.2819169671706053e-73,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.4169370084297096e-25,1.4311855979667921e-25,1.4169414149588026e-25,6.4755785319039106e-26,5.5161173155861044e-26,2.7580585413926055e-26,5.9821089068679519e-31,5.9756486230794947e-31,8.0445422462896412e-31,6.8474689061744278e-31,1.5901873974826138e-31,3.428450793875937e-31,6.8147113023677182e-34,2.332136971177741e-34,7.8735927849786246e-35,1.8813416049709671e-34,4.0671644968392223e-34,1.5705037331155085e-33,6.9498626745893882e-26,2.1833210969541022e-27,1.0169363032444959e-32
1.2700000000000001e-13,0.002778223677665735,5.6537052435711684e-30,5.0075914128586914e-38,1.2627886477245517e-34,5.280772432901925e-37,4.9931030068572069e-41,0.0,0.0,3.0104924057836813e-25,2.941350614999103e-36,9.2322417483680853e-55,2.8276862978892587e-56,5.4536381250757176e-68,7.3271349558440423e-35,2.4697922830859288e-51,1.3978133955479639e-25,6.9632774534819294e-35,5.3878958265827231e-51,6.263113437551266e-52,7.5815354836014377e-32,2.3837052225513389e-62,3.8485749193262056e-52,1.1790153630482934e-48,4.8057179046729666e-39,1.6783001505862435e-61,3.4375602913222151e-31,5.9052769544321873e-59,2.878515662542715e-25,2.4802391222222511e-54,7.666162093211841e-75,5.0250858171227361e-56,1.7942599407882691e-86,7.6190230327697664e-42,9.8298963210622772e-38,7.5675205840876439e-36,5.2975529538290806e-35,9.5979482443093176e-39,2.0152524299465769e-30,4.1946559243697742e-52,1.1532311752115967e-58,1.0542407860363726e-49,5.4965418652893123e-48,3.0558886386632003e-41,2.0305066524298556e-35,6.3910413218192245e-56,1.4883000089110689e-61,8.6631430240068468e-61,1.1520390110323699e-76,5.2534756711418987e-81,4.383478240008471e-74,1.0147599302953459e-123,2.8314395721358341e-106,4.4791672702622575e-63,4.2139082700832732e-47,1.4224804196406371e-53,4.0605526579642562e-52,1.7963303270527193e-64,3.1587080009033356e-48,2.3296146823575662e-57,2.5924165609274259e-77,3.999069512377909e-40,9.192376285349899e-36,4.7883793479841182e-41,3.156259360015918e-51,4.7154870166347896e-72,8.0335523867448323e-87,2.0301582102556497e-71,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.8498543890909289e-25,2.8785124315269818e-25,2.8498721713449946e-25,1.3024081999468637e-25,1.1094354681052542e-25,5.5471768708081129e-26,2.4140424633636737e-30,2.4114355802958308e-30,3.2463014625967631e-30,2.7632335002525539e-30,6.4171185783188942e-31,1.3835198990935986e-30,2.7500512724460842e-33,9.4111831689708224e-34,3.1773426628354505e-34,7.5920286622306213e-34,1.6412816433591235e-33,6.3376770587118871e-33,1.3978164157722722e-25,4.3912848685523727e-27,4.103796999499531e-32
2.55e-13,0.002778223677665735,1.1339107153729219e-29,1.9378891976518191e-37,5.0748272881429758e-34,2.1214014843444207e-36,4.0162114776887783e-40,0.0,0.0,6.037880271311173e-25,1.181607654858275e-35,7.6814092879363544e-54,2.2737211231953736e-55,8.7490361250357095e-67,2.9434865545314237e-34,1.9858620022526581e-50,2.8034639523348439e-25,2.797300904266624e-34,2.1645046458365132e-50,2.5157917907042458e-51,3.0456561991107096e-31,3.8445330688324398e-61,1.545223530503331e-51,9.4799014451501287e-48,1.9305618949830147e-38,1.3502657844275222e-60,1.3809431791219453e-30,8.5842726910664927e-58,5.773142582395329e-25,1.9942447119838645e-53,6.1639564044822745e-74,4.0404994618130657e-55,2.886420941888122e-85,6.1261997618664112e-41,3.9327553897839921e-37,3.0400260424396822e-35,2.1300565818213401e-34,3.8556727939975248e-38,8.0956765131897268e-30,3.3727722082144099e-51,9.2724468323909005e-58,8.4767985362050222e-49,4.4195370196773777e-47,2.4570841271916378e-40,8.1568010137252523e-35,5.1402048840730926e-55,2.3942604829013882e-60,1.3936779775086304e-59,3.7073507489403554e-75,1.6722623194587866e-79,7.0519127668159863e-73,6.5632723097863515e-122,1.8225267661650927e-104,7.2265811376735328e-62,3.3881820993474057e-46,2.2884155530906045e-52,3.2676683085561161e-51,2.8895511760686579e-63,2.5324727134521374e-47,3.7508231474950475e-56,8.1910867230144407e-76,3.2155046935514672e-39,3.6735391090642575e-35,1.9235907315545245e-40,2.5302043187280236e-50,7.5541527454810181e-71,5.1890190491591746e-85,6.5072175072840291e-70,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.7156525217133409e-25,5.7731296028461003e-25,5.7157239564085231e-25,2.6120597768276754e-25,2.2250411374295623e-25,1.1125203800264761e-25,9.6976862930650236e-30,9.6872149229050979e-30,1.3040850502388609e-29,1.1100298718531252e-29,2.5778973777069277e-30,5.5577938761854452e-30,1.1047639492354888e-32,3.7806512495629976e-33,1.2764044488821878e-33,3.0498623867263073e-33,6.5933769742409795e-33,2.5459766533495281e-32,2.8034760852336778e-25,8.8072130883153761e-27,1.6485880670286702e-31
5.11e-13,0.002778223677665735,2.2709820504217362e-29,7.6204506781849436e-37,2.0357555041019558e-33,8.5035807915502064e-36,3.2232150747955077e-39,0.0,0.0,1.2092660703962949e-24,4.7364661393966423e-35,6.5743697352408903e-53,1.8236194682213551e-54,1.3957815863774484e-65,1.1799018325237839e-33,1.592617210889753e-49,5.614744281107734e-25,1.1212909044313185e-33,8.6769140572395671e-50,1.0082580242683696e-50,1.2208334815139509e-30,6.1790366347442326e-60,6.1873194606591467e-51,7.6025214333344708e-47,7.7386068558137831e-38,1.0841857400054891e-59,5.5354753628933754e-30,1.3049934861002002e-56,1.1562269992969422e-24,1.5993125842244914e-52,4.9431953102445747e-73,3.24043495065552e-54,4.6302185875214997e-84,4.9131497690789892e-40,1.5636516955627791e-36,1.2185765956015453e-34,8.5533955189983181e-34,1.5455101026615428e-37,3.2451044087614421e-29,2.7049139640329293e-50,7.4359322214040733e-57,6.7983116579431151e-48,3.5443480452936575e-46,1.9704714468794077e-39,3.2694817193624654e-34,4.124611436748069e-54,3.8408419611500339e-59,2.2357825223423756e-58,1.1895632483679988e-73,5.3364455005669968e-78,1.1312961182618173e-71,4.2358804050363731e-120,1.169611197340786e-102,1.1622480297658391e-60,2.7171598616500258e-45,3.6711767242978568e-51,2.6249289921185895e-50,4.6345971751313514e-62,2.0193769498113568e-46,6.0269026416776914e-55,2.5360923418996463e-74,2.578782124169412e-38,1.4573278971767192e-34,7.7106159404038615e-40,2.0170823862157981e-49,1.2017553084830302e-69,3.3399816212097478e-83,2.0714585447533001e-68,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.1447102275905569e-24,1.1562217965964294e-24,1.1447388615963425e-24,5.2311664788401929e-25,4.4560852735639177e-25,2.2280418804917367e-25,3.8872522695059889e-29,3.8830556889018902e-29,5.2271889307207461e-29,4.4493541085476788e-29,1.0333439178780863e-29,2.2277406588522159e-29,4.4284836042931974e-32,1.5154427770994199e-32,5.1164055582632115e-33,1.2225121848320633e-32,2.6429298699561125e-32,1.0205427029419732e-31,5.6147929154978447e-25,1.7639072233737276e-26,6.6083472966602584e-31
