Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),HOCO(37),HCOH(38),CH3OO(39),CH3OOH(40),CH2OOH(41),C2H5O(42),C2H5O2(43),H2CC(44),C2H4O(45),C2H5O(46),cC2H4O(47),C2H5O2(48),C2H3O2(49),CHCHO(50),OCHCHO(51),HCCOH(52),CHCHOH(53),C2(54),C2O(55),C2H6O(56),C2H5O(57),C2H5O3(58),cC2H3O(59),HOCHO(60),C2H3O3(61),OCHCO(62),C2H6O2(63),C2H5O2(64),C2H4O2(65),HOCH2O(66),OCHO(67),C2H4O3(68),C2H3O2(69),N2,Ne,C7H16(1),O2(2),CH4(3),C4H9(99),C5H11(101),C3H7(100),S(160),S(162),S(161),S(177),C7H15(105),S(194),S(267),S(266),S(268),C7H15(102),S(310),C7H15(103),S(829),S(830),S(859),S(882),S(752),S(926),C7H15(106),S(900),S(992),S(1016)
0.0,0.001941293117635974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.001941293117635974,2.7579262317591295e-34,2.6467150824236205e-43,4.0416539672492256e-40,2.9905918863980589e-43,2.7488283152938414e-48,0.0,0.0,1.3908416849998318e-27,9.3264205368506122e-41,1.5220859752133986e-49,2.270755667919619e-56,4.4418783240438602e-59,1.6972102667947195e-76,2.8702033693922918e-63,2.3866784675893502e-49,1.2528774187022219e-27,4.0415372939752033e-40,-1.3545072125127956e-104,1.6846334661098403e-102,1.9230574440818179e-68,2.2304279767824921e-66,3.877963973019415e-44,6.2619881881988544e-55,1.7444129309190146e-43,8.5216206041887512e-75,2.7696845781035454e-63,1.0430753572444407e-37,5.5061288599122107e-42,2.5498807550117926e-29,5.8673047908488814e-55,6.395402457611389e-76,9.5160788908329656e-71,3.7464058265384588e-56,1.4080239081763541e-92,2.0252963728052877e-69,6.1081112416702292e-35,1.6456869206455529e-47,2.1188142193186865e-51,1.0705452204347977e-56,3.3038969223235882e-36,3.6880541465101441e-76,3.4043701166448707e-76,2.8479374850224637e-68,2.0755316798693433e-59,1.7852763867326964e-51,4.9942959451476464e-70,2.3572174231515452e-72,1.5802893267390415e-71,4.1681368586638963e-108,2.5414309966767444e-99,-3.932306606090517e-146,-3.1069680256580648e-138,1.7348109183113594e-68,1.0752772080036537e-66,6.890748693290126e-75,9.7971120695027874e-86,1.2673212941814738e-69,8.3818675783848905e-83,1.2631175761404121e-90,1.7603805893923926e-47,3.8202601837902262e-52,1.7333042095433178e-64,1.2953612669004268e-63,1.4964888145969185e-96,-2.7596121868832025e-108,-1.4380542062521152e-97,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.3739602333292445e-29,2.5498809599716991e-29,2.3739602633506477e-29,1.2645013031764163e-36,9.6439253060812863e-37,1.3582063219232628e-36,6.1612493343861649e-47,5.9674031542196072e-29,3.1205031955145261e-47,2.5228651860645953e-35,2.6048183853172628e-53,1.3192688126524778e-53,5.1192239627782503e-29,5.4441813959423215e-46,2.5596119813828429e-29,2.1642767519093687e-35,1.0821383756083785e-35,3.4364906363565709e-45,1.4528602079979643e-51,2.0947668098914356e-63,6.2131397725564104e-70,1.5020321482842362e-30,9.9017497298525863e-62,7.5444613173798345e-62,8.0006462717424271e-38
3.0000000000000002e-15,0.001941293117635974,9.0617564699146234e-34,1.4811432117909283e-42,2.6559439714618352e-39,1.8378258996276437e-42,2.5917523679265828e-47,0.0,0.0,4.5699083939126141e-27,6.1287906387010952e-40,1.000223591123963e-48,2.1409915064990382e-55,4.1880564082079857e-58,1.6002207191296328e-75,1.8861334086113819e-62,1.5683816708250218e-48,4.1165970321647002e-27,2.6558673083113019e-39,8.0118961788890982e-103,2.0697226097865596e-101,1.8132034669694394e-67,2.1029740905949116e-65,1.2741752964586169e-43,5.9041602035687935e-54,1.146328472901729e-42,1.051389707852011e-73,2.611416349933372e-62,6.8544948070557729e-37,3.6183130405460507e-41,8.3781785038774333e-29,5.5320297683705795e-54,9.6842868907059523e-75,1.1691180834550817e-69,4.602622054709492e-55,2.3432353665482667e-91,1.9098544873545913e-68,4.0139015879962564e-34,1.5516476451223941e-46,1.9977086374516231e-50,1.0101199209735472e-55,2.1711321370721307e-35,2.4235783187305725e-75,5.157569517316103e-75,3.5008862044439266e-67,2.5499388337483122e-58,1.6832605181704397e-50,6.1358483339241583e-69,2.8959648883266308e-71,1.9414980178609993e-70,7.5027240225392166e-107,3.8485000134566731e-98,2.1014663846859555e-144,3.4100850433534204e-126,2.1331878970361837e-67,1.3218067768224631e-65,1.0439381049334206e-73,1.4835624627848599e-84,1.9190679438328228e-68,1.5087126140540838e-81,1.9126632781331092e-89,1.6597873456309044e-46,3.6018524263007076e-51,2.1294879560172022e-63,1.5914248435832565e-62,2.6413475083907571e-95,1.3955830586157663e-106,8.1631617952489492e-96,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,7.8001546368606179e-29,8.3781798507567139e-29,7.8001548341441239e-29,8.3095797996554259e-36,6.3374365177720787e-36,8.9253556229490444e-36,5.8091770862103565e-46,1.9607173502245289e-28,2.9421882980663359e-46,1.6578825316478445e-34,3.2002050821047621e-52,1.6208157882804687e-52,1.682030019571379e-28,5.1330846582003768e-45,8.4101500978156766e-29,1.4222387469030773e-34,7.1111937312502472e-35,3.2401188767293233e-44,1.7849421749611969e-50,3.1720749163761891e-62,1.1183649993091412e-68,4.9352482409580668e-30,1.3770668463945613e-60,1.2647875207123327e-60,5.2575674359214657e-37
7e-15,0.001941293117635974,2.0093452606730719e-33,7.219195847424203e-42,1.4434475836771333e-38,9.5782205722270554e-42,4.1860721179272169e-46,0.0,0.0,1.0133275136526966e-26,3.3308644782596467e-39,5.4358444592997015e-48,3.4579265652298478e-54,6.7643412514960631e-57,2.5845085557095627e-74,1.0250716766674607e-61,8.5235645916573731e-48,9.1281051710751974e-27,1.443405946711781e-38,1.5460401316407654e-101,1.0470753484558545e-99,2.9291166569357398e-66,3.3966090722818107e-64,2.8252624356263449e-43,9.5361119932730756e-53,6.2300451798327327e-42,5.5880925988928693e-72,4.2178251093648046e-61,3.7252675104274188e-36,1.9664737349922596e-40,1.8577692955539119e-28,8.9350594075893587e-53,1.5989259335243055e-72,5.9135514521531384e-68,2.3274324526554922e-53,1.0937289473920829e-88,3.0847823800427825e-67,2.1814679533831709e-33,2.5061457055331242e-45,3.2261509029145921e-49,1.6312715971210521e-54,1.1799626717744856e-34,1.3171616415841585e-74,8.5189610052664103e-73,1.7708555912501329e-65,1.2897941129507744e-56,2.7187196654412347e-49,3.1035918130583817e-67,1.4645457214005991e-69,9.8203497950549658e-69,4.1778851311515755e-104,6.3570004274328327e-96,7.6767880392687724e-142,3.2514765747619738e-124,1.0788679606570677e-65,6.6861023634848119e-64,1.7243141994562655e-71,2.4501119230497382e-82,3.1689003283218814e-66,8.3973495598257645e-79,3.1573605863483349e-87,2.6808070508633854e-45,5.815951204373655e-50,1.0771242795785408e-61,8.048495476006066e-61,1.4131874089482081e-92,2.1670252377615316e-103,7.2772241618020255e-94,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.7295992390647147e-28,1.8577700275531312e-28,1.7295993462839822e-28,4.5160752967743375e-35,3.4442585811772296e-35,4.8507360201356033e-35,9.3826884753725097e-45,4.3476722681241822e-28,4.7520735342419344e-45,9.0102203671068121e-34,1.6187061820917425e-50,8.1983013934440787e-51,3.7297141635687459e-28,8.2906997219040038e-44,1.8648570817619903e-28,7.7295491592854847e-34,3.8647745743691116e-34,5.2332700902561658e-43,9.0284643406809524e-49,5.238698362075778e-60,6.2264368220683203e-66,1.094337494965877e-29,1.0747728145754986e-58,3.2882636585832265e-58,2.8573732030302051e-36
1.5e-14,0.001941293117635974,4.2156822505284039e-33,3.0606409831412473e-41,6.3858104426888819e-38,4.1716845820094292e-41,3.8931246649348346e-45,0.0,0.0,2.1260008628412082e-26,1.4735744456999573e-38,2.4047049220583271e-47,3.215791971295691e-53,6.2909578516103432e-56,2.4035095987467799e-73,4.5349110124797131e-61,3.7706421167054155e-47,1.9151117539338513e-26,6.3856264449869412e-38,2.7729544894893708e-100,2.0143239634135717e-98,2.7248897532164712e-65,3.1588916078801008e-63,5.9271861385671067e-43,8.8687611631036708e-52,2.7561713492591328e-41,1.152546871178932e-70,3.9226448630997347e-60,1.6480573130061808e-35,8.6996743391106273e-40,3.897670004845515e-28,8.3097628839609536e-52,6.2704421468556313e-71,1.1373291236484158e-66,4.4744297953746072e-52,8.5474982176750706e-87,2.8693205294214061e-66,9.6508120139781302e-33,2.3307620304368136e-44,2.9997226628030177e-48,1.5177979587827207e-53,5.2201515807903063e-34,5.8271194597790063e-74,3.3435848234867059e-71,3.4072795183987662e-64,2.4806135321607688e-55,2.5284586757552588e-48,5.9690105637325282e-66,2.8159198138310599e-68,1.8887076698940065e-67,3.3149321032798922e-102,2.4946677055184961e-94,5.8385093782509027e-140,1.495576961767555e-122,2.075824215589992e-64,1.2864635297662396e-62,6.7677185723687167e-70,9.6123403449462973e-81,1.2429736933482182e-64,6.6584483410877581e-77,1.2378986144886098e-85,2.4931994015964379e-44,5.4066307114615089e-49,2.0715934713243046e-60,1.5476060391152559e-59,1.1172740644282847e-90,3.3303451862245184e-101,3.1457462041228264e-92,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,3.6287659804874195e-28,3.8976732432072167e-28,3.6287664548252484e-28,1.9979112106028215e-34,1.5237397053839223e-34,2.1459650777492288e-34,8.726057789945966e-44,9.1215659561657042e-28,4.4195082733864315e-44,3.9861135658364872e-33,3.1131935724291322e-49,1.5767469165095939e-49,7.8250686015124613e-28,7.7104920749994139e-43,3.9125343006572479e-28,3.4195457518345977e-33,1.7097728710127477e-33,4.8670206583485837e-42,1.7364059640478999e-47,2.0552583421393075e-58,4.9390295673354748e-64,2.2959623570314055e-29,2.3660689978408507e-57,1.4751098400986984e-56,1.2641016085239561e-35
3.1e-14,0.001941293117635974,8.6283472802256702e-33,1.25025231509618e-40,2.6617152906680565e-37,1.726253047814145e-40,3.2857893712561735e-44,0.0,0.0,4.3513475638807893e-26,6.1421141042889283e-38,1.0022309738654966e-46,2.7138835052508356e-52,5.3095476248809099e-55,2.0283396530263644e-72,1.8902246775962248e-60,1.5715201278527553e-46,3.9197126637646609e-26,2.6616387636297936e-37,4.7471053082337578e-99,3.4265651948278724e-97,2.301056459447001e-64,2.6660686550761618e-62,1.2130031404806121e-42,7.4852169508694376e-51,1.148819545054764e-40,2.2209254271251534e-69,3.3106866646606641e-59,6.8693805596989752e-35,3.6261708374509978e-39,7.9774626992844445e-28,7.0134098798800184e-51,2.1388835906611757e-69,1.9337099133563134e-65,7.6013863384893937e-51,5.8243794141342796e-85,2.4224495906990274e-65,4.0226241820771546e-32,1.9671585708885743e-43,2.5306704966143477e-47,1.2822165752852438e-52,2.1758471282818032e-33,2.4288415735273478e-73,1.1424360668272544e-69,5.7983708319566196e-63,4.2176071596069579e-54,2.1340123542012008e-47,1.0148630731097725e-64,4.7850606583453029e-67,3.2112189605029841e-66,2.2691027063130688e-100,8.5207753378555062e-93,4.0797006966301185e-138,5.6490712732591685e-121,3.5325627137121445e-63,2.1892501621061349e-61,2.3123959083227839e-68,3.2814243528927227e-79,4.2414732495740595e-63,4.5517662406616551e-75,4.220442589103192e-84,2.1042538634200475e-43,4.55935739423561e-48,3.5221800345663464e-59,2.6301687409324041e-58,7.6342288929070804e-89,4.6532128588008957e-99,1.6726866724452535e-90,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,7.4270962259971816e-28,7.9774761973150152e-28,7.4270982031178916e-28,8.3276366809287352e-34,6.3512092407129579e-34,8.9447506007460383e-34,7.3647479741401999e-43,1.8669288741654828e-27,3.7300424800751241e-43,1.661474876102746e-32,5.2931221919125072e-48,2.6808209304558232e-48,1.6015722077570707e-27,6.5076193010697751e-42,8.0078610383728525e-28,1.4253204949976664e-32,7.1266024335942256e-33,4.1077265594622758e-41,2.9522670814252755e-46,7.0161570420178287e-57,3.379010693508239e-62,4.6992101624644391e-29,4.3180317072612133e-56,5.4115863761697684e-55,5.2689925348388899e-35
6.300000000000001e-14,0.001941293117635974,1.7453641539711805e-32,5.0444012058231621e-40,1.0846623123601884e-36,7.0096597541007827e-40,2.6892366289770734e-43,0.0,0.0,8.8020409766101421e-26,2.5029448095683889e-37,4.0834005669634681e-46,2.2207741763231484e-51,4.345557418834815e-54,1.6597285070923093e-71,7.7027278152942181e-60,6.402820602280225e-46,7.9289082281486327e-26,1.0846312622771655e-36,7.8546104762862872e-98,5.6274181639340676e-96,1.8853361442834299e-63,2.1819813906231608e-61,2.4531714673785764e-42,6.1262361904878032e-50,4.6814977241541047e-40,4.4984660722571804e-68,2.7095847974948204e-58,2.7993029933860253e-34,1.4776806662051341e-38,1.6137013191734445e-27,5.7400659474666851e-50,7.0152792183492315e-68,3.1724408504794013e-64,1.2450786940488469e-49,3.8224258803810264e-83,1.983873034000241e-64,1.6392397057606098e-31,1.6100105332830926e-42,2.0694373424049615e-46,1.0513843955012321e-51,8.8666733523244572e-33,9.8976369576082945e-73,3.7596856739144985e-68,9.5300516404340887e-62,6.9194573656718022e-53,1.7465681970480139e-46,1.6649819887931795e-63,7.8417819886105e-66,5.2683200826545161e-65,1.4933246851741725e-98,2.8021467458848795e-91,2.7247373078936723e-136,2.1184385783283841e-119,5.8060543307962047e-62,3.5981895113091841e-60,7.6099623219302297e-67,1.0779717406901211e-77,1.3922117542280926e-61,2.987688288822091e-73,1.382882749108993e-82,1.722212953942246e-42,3.7253470656510942e-47,5.7785312052794015e-58,4.3114431304763655e-57,5.012785169254947e-87,6.1768213274656748e-97,1.3211030637918302e-88,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.5023743767696194e-27,1.6137068196752831e-27,1.5023751824556458e-27,3.3935537961283769e-33,2.5881502836589095e-33,3.645030821172484e-33,6.0275939172842005e-42,3.7764475953755052e-27,3.0528109989100249e-42,6.7705478014327312e-32,8.6839115299243637e-47,4.3981629636080933e-47,3.2396807433369461e-27,5.3260925768018888e-41,1.6198403715003943e-27,5.8082133556532864e-32,2.9041066439481224e-32,3.361899242873417e-40,4.8434662732782717e-45,2.3048545781019059e-55,2.2213953077115221e-60,9.5056980985418249e-29,7.3496568255989956e-55,1.8460965743894561e-53,2.1471410703284956e-34
1.2700000000000001e-13,0.001941293117635974,3.5104086860211994e-32,2.0255762486059869e-39,4.3770937284208097e-36,2.8237336783110977e-39,2.174183919513975e-42,0.0,0.0,1.7703427844669239e-25,1.0100513495816488e-36,1.6472361511740003e-45,1.7948145011064361e-50,3.5132584907969947e-53,1.3412773544965449e-70,3.108366322013162e-59,2.5828528315875097e-45,1.5947274335884064e-25,4.3769695168556111e-36,1.2821299839432555e-96,9.1259730588477867e-95,1.5275606824023147e-62,1.7640022926762068e-60,4.9319062511632182e-42,4.9529174661008196e-49,1.8891924984565099e-39,1.0037307340642454e-66,2.1905882449125976e-57,1.1296397532610119e-33,5.9630801476227441e-38,3.2455974592116994e-27,4.6406719844026103e-49,2.2645161348902638e-66,5.1341585877955986e-63,2.0085367659397374e-48,2.471503647912695e-81,1.6059079854515549e-63,6.6150612385019587e-31,1.3016555650771362e-41,1.6702272483484375e-45,8.5318895606183818e-51,3.5780859176257786e-32,3.9941243229522488e-72,1.2217946627322454e-66,1.5478921394083886e-60,1.1198379621203874e-51,1.4120544768821996e-45,2.694542542453086e-62,1.2663171446443726e-64,8.5260513888582064e-64,9.6942616284114019e-97,9.0934584685850259e-90,1.7938637214393357e-134,8.4048288780201303e-118,9.4303984913376632e-61,5.8442424718727552e-59,2.4730366662172336e-65,3.490669519075764e-76,4.5008525008046035e-60,1.9293288209606716e-71,4.4551288947381691e-81,1.3923645421601288e-41,3.0018273312107201e-46,9.3519162948682359e-57,6.9658345339039601e-56,3.2404448179991261e-85,8.0218139371347569e-95,1.4193585814542161e-86,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,3.0216987053988778e-27,3.2456196560707038e-27,3.0217019566949407e-27,1.3694496512783067e-32,1.044434054257328e-32,1.4709317992533667e-32,4.8730946645458953e-41,7.5953816970424051e-27,2.4680892870659653e-41,2.7321797456962516e-31,1.4053796377374726e-45,7.1178636705422509e-46,6.5158091783687244e-27,4.3059652908891101e-40,3.2579045885061449e-27,2.3438403251528784e-31,1.1719201351868523e-31,2.7179389684720358e-39,7.8384262932408517e-44,7.4635145799032342e-54,1.4389821488834553e-58,1.9118643271569167e-28,1.2120021364414407e-53,6.0947752645676472e-52,8.6646687634126617e-34
2.55e-13,0.001941293117635974,7.0404404716616074e-32,8.117052840433932e-39,1.7583708866131826e-35,1.1333545338367138e-38,1.7481848660158959e-41,0.0,0.0,3.5506201751186092e-25,4.0576058566445018e-36,6.6125029372309478e-45,1.4421374056633034e-49,2.8248531952943453e-52,1.0775524324685914e-69,1.2486753211696284e-58,1.0368085500076069e-44,3.1983906467849606e-25,1.7583218632484671e-35,2.0991586972073257e-95,1.4741329361773837e-93,1.2335818067324121e-61,1.4182471232327248e-59,9.8829766110979374e-42,3.9824685455815386e-48,7.5892882850128437e-39,2.4960542412377229e-65,1.7612999431595697e-56,4.5379753370269134e-33,2.3954814055003032e-37,6.5093339064364049e-27,3.7313450190203238e-48,7.2415985347386914e-65,8.2593178770852014e-62,3.2105716719038231e-47,1.5855617653388901e-79,1.2944607921241592e-62,2.657410967065644e-30,1.0466159716628097e-40,1.3383891429901457e-44,6.911157240235005e-50,1.4373843827375584e-31,1.6045148570859974e-71,3.9596820527322711e-65,2.5080598354698162e-59,1.8015440733744147e-50,1.1353762749214504e-44,4.3347041868107471e-61,2.0282777866341496e-63,1.3715856676999528e-62,6.2668385957656891e-95,2.939031390647978e-88,1.1830257067251024e-132,3.6720625439694293e-116,1.5280375532609336e-59,9.4694101860944369e-58,8.0148494236302641e-64,1.1233022613466647e-74,1.4436515442821611e-58,1.2341283828943866e-69,1.4191519272970029e-79,1.1195454171484522e-40,2.3976951081069777e-45,1.5044935022386919e-55,1.1168660436253752e-54,2.07727352498535e-83,1.0290829988604309e-92,1.7196385235901792e-84,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,6.0603266439564988e-27,6.5094230750447308e-27,6.0603397050620172e-27,5.5013690387010763e-32,4.195716505700115e-32,5.9090443118323765e-32,3.9181686734437251e-40,1.5232836559746868e-26,1.9844461623672067e-40,1.0975447418630402e-30,2.26085963441549e-44,1.1450640311630376e-44,1.3067711523112365e-26,3.4621884878165424e-39,6.5338557588319081e-27,9.4154480569073177e-31,4.7077238082298084e-31,2.1852758770902741e-38,1.2609489019778609e-42,2.4017526675420374e-52,9.26219431289292e-57,3.8344410821332598e-28,1.9683376087632184e-52,1.9806145401459958e-50,3.4807816651857607e-33
5.11e-13,0.001941293117635974,1.4100274936537259e-31,3.2496654859952125e-38,7.0483571630851269e-35,4.5409720154887575e-38,1.4020213394929723e-40,0.0,0.0,7.1111750245791078e-25,1.6264878067023852e-35,2.6467607511397921e-44,1.1549587948992336e-48,2.265439945171771e-51,8.6270790734162029e-69,5.0050951567683654e-58,4.1497809027145332e-44,6.4056770402756798e-25,7.0481676697979556e-35,3.5605866044470829e-94,2.3840845831185867e-92,9.9785461823282558e-61,1.137214968549565e-58,1.9759586509051189e-41,3.1938902940183412e-47,3.0421376986537227e-38,6.7956840525208011e-64,1.4124190744408376e-55,1.8190079697543149e-32,9.6020787118623096e-37,1.3036583477119723e-26,2.992399638134913e-47,2.2947430027570883e-63,1.3249125023327636e-60,5.0854837033840703e-46,1.0109281346743029e-77,1.0432840154700521e-61,1.0652132829692679e-29,8.3937306445702672e-40,1.0660938419912898e-43,5.6243987943245341e-49,5.7616301809066669e-31,6.4315583405200728e-71,1.2884011145239571e-63,4.0809296653651694e-58,2.8901309125589966e-49,9.1054550441688629e-44,6.9534689758426645e-60,3.2256281432646033e-62,2.2002200789346808e-61,4.0569838000385369e-93,9.5134654013382074e-87,7.9303971267106108e-131,1.7925685874264301e-114,2.4863868194701163e-58,1.5407747650003022e-56,2.6079037967139115e-62,3.6041537987371783e-73,4.6019510483471825e-57,7.8226364759864976e-68,4.4630103720584293e-78,8.9785117106774071e-40,1.8977927859753205e-44,2.4135869018261361e-54,1.7797701961310239e-53,1.322297716670201e-81,1.306333169989626e-90,2.1396171359202167e-82,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.2137499647398396e-26,1.3036940898939572e-26,1.2137552002007371e-26,2.2052018070323847e-31,1.6818393278022966e-31,2.3686168200998834e-31,3.1421347332291868e-39,3.0506093101685149e-26,1.5914072959216463e-39,4.3992263684723245e-30,3.6268258338743559e-43,1.836890217643111e-43,2.6170098264839142e-26,2.7764904859351041e-38,1.3085049121501211e-26,3.773940735897352e-30,1.8869701913419095e-30,1.7523648420795249e-37,2.0226834510733751e-41,7.7059991506632285e-51,5.9438141109410428e-55,7.6795454737442741e-28,3.1725284401510866e-51,6.3862249599539477e-49,1.3952581255781374e-32
