Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HOCO(14),CH2O(15),HCO(16),CH3(17),CH4(18),CH2(19),CH(20),C2H4(21),CH3OH(22),CH2(S)(23),CH2OH(24),CH3O(25),HCOH(26),CH3OO(27),CH2CO(28),C2H5(29),C2H3(30),C(31),C2H2(32),C2H(33),CH3OOH(34),CH2OOH(35),C2H6(36),CH3CHO(37),C2H5O(38),C2H5O2(39),CH2CHO(40),H2CC(41),C2H4O(42),C2H5O(43),cC2H4O(44),C2H5O2(45),C2H3O2(46),CHCHO(47),OCHCHO(48),HCCO(49),HCCOH(50),CHCHOH(51),C2(52),C2O(53),C2H6O(54),C2H5O(55),C2H5O3(56),CH3CO(57),cC2H3O(58),HOCHO(59),C2H3O3(60),OCHCO(61),C2H6O2(62),C2H5O2(63),C2H4O2(64),HOCH2O(65),OCHO(66),C2H4O3(67),C2H3O2(68),N2,Ne,C7H16(1),O2(2),C4H9(82),C5H11(84),C3H7(83),C7H15(88),C7H15(85),C7H15(86),S(164),S(165),S(206),S(207),S(166),S(208),S(255),C4H8(127),C6H12(193),C5H10(134),C3H6(72),S(267),C6H13(87),C7H15(89),C6H13(188),S(228),S(229),S(334),S(513),S(506),S(290)
0.0,0.005330778553801867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.005330778553801867,8.593829578437871e-28,2.2380667236847735e-36,1.2032856957366582e-34,1.3656174947982099e-36,4.6876839121978844e-43,0.0,0.0,5.4178339755594637e-25,1.868556636662908e-37,1.6352486030532899e-54,9.5159134049355645e-56,3.9011146002406954e-68,5.7541489373505879e-35,7.7349044567710701e-52,6.6902795469525189e-24,7.5654683621678953e-35,2.2977382680274778e-48,6.0282897801522053e-49,3.7330636636348876e-32,-6.5806970669826104e-63,1.5350884114819245e-49,5.7122913642620704e-49,2.394549562403839e-38,1.1814903836059496e-59,9.4258750006207442e-32,5.9466353782029474e-58,1.0772473393548386e-23,3.5442722342906212e-54,2.3919374374643894e-71,6.7870870724937353e-55,8.1888648076346026e-84,8.7401442393933772e-44,6.289893441022736e-37,7.2387484909920263e-36,6.2649413284857157e-35,5.0798206282044159e-38,3.7136568832283881e-31,1.0792605481649264e-51,5.7233527019711922e-57,1.425228380448067e-49,3.6831383376127956e-48,4.3210223534951101e-43,8.5357283364456433e-36,5.4535621525246375e-56,2.9673031782418186e-63,1.3355084373025308e-62,1.0744846281666756e-78,1.7422223099398127e-80,3.0365929180526222e-73,5.4815711704930777e-116,2.8343286803111428e-105,-1.6915146032450607e-63,1.320710246916367e-47,2.7417470857955402e-56,2.1381273590956248e-52,9.1659209543745285e-66,1.9699307609533875e-48,7.2627340476942418e-60,1.795467946115742e-79,2.4713932862384904e-42,6.7918954041836524e-36,1.5769773085391396e-40,9.8866315979409411e-52,1.2341131463131803e-71,-2.9730699764228256e-91,1.1769133645935759e-73,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.1940463499127141e-23,1.0772473260418625e-23,1.1940463932024027e-23,2.3426763889620601e-25,1.9632099398456209e-25,9.8160497039158209e-26,5.7714687181388316e-31,5.2239793687778662e-31,3.7245841224955356e-32,3.1325669037411792e-32,1.4525133102552627e-31,1.5538954058789231e-32,7.3103547573697394e-35,9.8200195477340966e-34,3.9185648430781388e-34,7.2416958503532191e-34,1.4644409108510227e-33,3.7948937826003527e-33,6.6902792040221372e-24,1.3893537088110683e-26,9.490570305956808e-32,3.3647152651554509e-31,1.4404474328255967e-38,1.1959438701765051e-41,7.0358363390784283e-34,5.1468262876663269e-40,3.4925219510621351e-33
3.0000000000000002e-15,0.005330778553801867,2.823687683032884e-27,8.0515686947772016e-36,7.9073152214237334e-34,8.9740589581703167e-36,4.419819852279751e-42,0.0,0.0,1.7801455418913781e-24,1.2279086747747553e-36,1.5418380017991689e-53,8.9723282559752424e-55,4.792763923402461e-67,3.7812985408011412e-34,7.2929105834037973e-51,2.198234678440922e-23,4.9715934657932906e-34,1.5099860595099122e-47,3.9614463858447373e-48,2.453156081643306e-31,3.8920118832503991e-61,1.0087715084456557e-48,5.3858744099001584e-48,1.573561129577712e-37,1.1140174590581733e-58,6.1941463917916822e-31,5.6085282459298014e-57,3.5395268429356847e-23,3.3417422635613017e-53,2.2553005905545525e-70,6.3992535332406257e-54,1.0060605251762008e-82,8.2407073912443745e-43,4.1332903711218844e-36,4.7568917899973481e-35,4.1169699978109408e-34,3.3381674965264242e-37,2.4404030558220467e-30,1.0175885126027703e-50,5.3963035510302455e-56,1.3437866735380771e-48,3.4726730304242222e-47,4.0741053011751357e-42,5.6091899649234127e-35,5.1419332392173159e-55,3.6455436718975287e-62,1.640767469318039e-61,1.6270766258571184e-77,2.1597714997579458e-79,3.730671033656927e-72,8.3021721367650381e-115,5.1017913034450189e-104,1.0004105764073149e-61,1.2452409598632838e-46,3.3684319355494023e-55,2.0159514941019742e-51,1.1260969806521778e-64,1.8573461504056835e-47,8.9227971942587532e-59,2.718399263392597e-78,2.3301707868617271e-41,4.4631592981341795e-35,1.0362993681560719e-39,9.3215913646862013e-51,1.5161820081884185e-70,1.5884684846972566e-89,1.782177118662257e-72,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.9232949581331839e-23,3.5395267554504158e-23,3.9232952426082735e-23,7.6973640519699513e-25,6.4505459136203826e-25,3.2252729598907891e-25,3.7926793592414263e-30,3.4329006519487361e-30,2.447583663290978e-31,2.0585438086483704e-31,9.5450874685752557e-31,1.0211311868636568e-31,4.8039491416516879e-34,6.4531555790599474e-33,2.5750568609206992e-33,4.7588286152353237e-33,9.6234688483371094e-33,2.493787264688192e-32,2.1982344530866778e-23,4.5650191131396377e-26,6.2366598944198062e-31,2.2110985383797108e-30,1.3581360539157251e-37,1.1276044970620868e-40,4.6235494948163907e-33,4.8527217996096108e-39,2.295085285726671e-32
7e-15,0.005330778553801867,6.261225801020713e-27,2.2344451074711868e-35,4.2974865294390944e-33,4.877209970223665e-35,7.1387319053226902e-41,0.0,0.0,3.9472798420759935e-24,6.6734176947628639e-36,2.4907632045839897e-52,1.4491650490259077e-53,2.4240403542848721e-65,2.0550559157430841e-33,1.1779165452030999e-49,4.8743462688544649e-23,2.7019528667584502e-33,8.2063617905394671e-47,2.1529558051826609e-47,1.3332368588172301e-30,7.5093121232174376e-60,5.4823918699643192e-48,8.6989986984502395e-47,8.5519622565053107e-37,1.799320040618243e-57,3.3663837770674665e-30,9.0838002746576492e-56,7.848515211463099e-23,5.3974181736103326e-52,3.6426429970316751e-69,1.0335764154738041e-52,5.0887900952561587e-81,1.3309990518085904e-41,2.246112389517751e-35,2.585267010123718e-34,2.2375139389414574e-33,1.814220245881494e-36,1.3263058711311957e-29,1.6435595651801591e-49,8.7158415629201148e-55,2.1704178208756043e-47,5.608889267450648e-46,6.5802753018513967e-41,3.0484624030304507e-34,8.3050487811393689e-54,1.8439654436256602e-60,8.2992284133003647e-60,2.6871301318866385e-75,1.2097992652859962e-77,1.8870238515042725e-70,1.3713447948812231e-112,2.840398989510553e-101,1.9302129725569962e-60,2.0112508971434328e-45,1.7037986694858554e-53,3.2561091678328526e-50,5.6958415203557921e-63,2.9996417486465953e-46,4.513333912493962e-57,4.4783374792258343e-76,3.7635784938255273e-40,2.4253250643286538e-34,5.6320615703159858e-39,1.5054452278075217e-49,7.6682012165663803e-69,5.7988672436704312e-87,2.9431348912479916e-70,0.88168480800000004,0.0,0.0094599999999999997,0.10885,8.6994788917806728e-23,7.8485147359998011e-23,8.6994804378406663e-23,1.7068060225889804e-24,1.430337777912741e-24,7.1516889063063748e-25,2.0612384847504182e-29,1.8657066069111348e-29,1.3302078455479761e-30,1.11877325499119e-30,5.1875475414543627e-30,5.5496231914127856e-31,2.610848041799847e-33,3.5071493336306516e-32,1.3994872972428874e-32,2.5863195939393303e-32,5.2301461330374705e-32,1.3553188891647288e-31,4.8743450441034143e-23,1.0122432296960712e-25,3.3894869781905362e-30,1.2016837603680076e-29,2.1935940686893558e-36,1.82125620708199e-39,2.512798286832657e-32,7.8378790609545791e-38,1.2473269515004141e-31
1.5e-14,0.005330778553801867,1.313631803927385e-26,6.452453340031592e-35,1.9012319946840048e-32,2.1576806412466862e-34,6.6392321747957504e-40,0.0,0.0,8.2815502496176377e-24,2.9523207113320486e-35,2.3171302272582166e-51,1.3477604711216074e-52,4.6614752265470671e-64,9.0915847173705301e-33,1.0954859269831152e-48,1.0226568868382623e-22,1.1953438719844751e-32,3.6305239036769755e-46,9.5246457108799145e-47,5.8982388192847903e-30,1.3465865919622081e-58,2.4253663488837884e-47,8.0902254093839758e-46,3.7833878051976407e-36,1.6734627836837437e-56,1.4892880863236277e-29,8.4848438725257739e-55,1.6466489431339345e-22,5.0196973842247054e-51,3.3877445593435069e-68,9.6124547480292084e-52,9.7870762161129243e-80,1.2378540154901538e-40,9.9350300221732433e-35,1.1437219290232817e-33,9.898983865410062e-33,8.0261014047280589e-36,5.8675761636271635e-29,1.5285411400620192e-48,8.1058869939915354e-54,2.0185274542645951e-46,5.2163666489630323e-45,6.1197473157389443e-40,1.3486321212145693e-33,7.7239205227206624e-53,3.546428957685672e-59,1.5961603395128208e-58,1.0542237599004025e-73,2.6650958193027454e-76,3.629241084079071e-69,5.381676653643463e-111,2.2531095541192138e-99,3.4613153328154643e-59,1.8704982586195633e-44,3.2768517973277612e-52,3.0283039672155701e-49,1.0954280003615652e-61,2.7893530040776051e-45,8.6805031454638156e-56,1.7506551499679932e-74,3.5001980514205382e-39,1.0727397391695804e-33,2.4916238820663062e-38,1.3998982645539156e-48,1.4745502558349274e-67,4.4033487229573506e-85,1.1545777596291487e-68,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.8251843027432569e-22,1.6466487327890645e-22,1.8251849867199919e-22,3.5809428692498629e-24,3.0009021416674664e-24,1.5004510782407274e-24,9.1189168705906149e-29,8.2538840509933662e-29,5.8848346060833713e-30,4.9494488082937812e-30,2.2949710354145745e-29,2.455151224400816e-30,1.1550436690818934e-32,1.5515625436056637e-31,6.1913308684201616e-32,1.1441875637387435e-31,2.3138166638145815e-31,5.9959287341927717e-31,1.0226563450086037e-22,2.1237254460981577e-25,1.4995074996273607e-29,5.3162472811535193e-29,2.0400815432591784e-35,1.6938084180913157e-38,1.1116617036621219e-31,7.2893717971848053e-37,5.5181596756186404e-31
3.1e-14,0.005330778553801867,2.6886566524828767e-26,2.0326212304345641e-34,7.9248600579747838e-32,8.9936115214187254e-34,5.6036297735283885e-39,0.0,0.0,1.6950098293386603e-23,1.230579113543789e-34,1.9567715164861686e-50,1.1375299602956736e-51,7.9235778700632704e-63,3.7895444643400505e-32,9.245907405965225e-48,2.0931011742243743e-22,4.9824001469944664e-32,1.5132973834227094e-45,3.9700126081751633e-46,2.4584874817541644e-29,2.304165950626872e-57,1.0108992543397603e-46,6.8281262656009255e-45,1.576981474225838e-35,1.4125100425033201e-55,6.2076104945921547e-29,7.2221083684358432e-54,3.370242780238339e-22,4.2366118784818344e-50,2.8592964287447957e-67,8.1128965714441294e-51,1.6640234045649701e-78,1.0447466677569593e-39,4.1396506285729326e-34,4.7672299496549094e-33,4.1262492516264539e-32,3.3454110948421604e-35,2.4457067821685696e-28,1.2900861034993919e-47,6.8413403147730936e-53,1.7036308632139493e-45,4.4025957449378633e-44,5.1650035184244288e-39,5.6212705080572142e-33,6.5190914169380677e-52,6.0297294159545729e-58,2.7138365709400551e-57,3.5988837463149234e-72,5.668534676240257e-75,6.1705271022716737e-68,1.8383398521931327e-109,1.54145937378902e-97,5.9227564815783027e-58,1.5786928522363247e-43,5.5713883999716982e-51,2.5559853195105397e-48,1.8623684020856323e-60,2.3535961171055841e-44,1.4759414732189678e-54,5.9340627116160205e-73,2.9541605795945818e-38,4.4695409091753853e-33,1.0385519606472789e-37,1.1811903164443132e-47,2.5062420871025174e-66,3.0684423826251788e-83,3.9409094660312467e-67,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.7356556372175933e-22,3.3702419034851579e-22,3.7356584881497064e-22,7.3292070101064063e-24,6.1420228318127273e-24,3.0710114467799911e-24,3.8009210737466789e-28,3.4403605471318764e-28,2.4528972293020355e-29,2.0630128675395125e-29,9.5658377043059494e-29,1.0233479604110977e-29,4.8144591524748563e-32,6.4671794105955389e-31,2.5806534251173541e-31,4.7691705648839399e-31,9.6443896486186385e-31,2.499205529732278e-30,2.0930989157859752e-22,4.3466881974547357e-25,6.2501950275688968e-29,2.2159027915995088e-28,1.7218220546087688e-34,1.4295814784755864e-37,4.6335968581536505e-31,6.1522134208193804e-36,2.3000527234381095e-30
6.300000000000001e-14,0.005330778553801867,5.4387319531643117e-26,6.9824824012695897e-34,3.2295816355228782e-31,3.6649649843218605e-33,4.5864745961273625e-38,0.0,0.0,3.4287223295635517e-23,5.0146814056885939e-34,1.603334937050095e-49,9.3104417173036838e-51,1.2993003734346658e-61,1.5442713770516791e-31,7.567309247056801e-47,4.233988818918931e-22,2.030354574899894e-31,6.1670368044699335e-45,1.6177813124648348e-45,1.001846290487897e-28,3.8073075684218895e-56,4.1191808817944779e-46,5.5884306668860976e-44,6.4262830618813903e-35,1.1562435364785641e-54,2.5296343010293201e-28,6.0103548841863034e-53,6.8174264269684732e-22,3.4674279527771257e-49,2.3402563070096618e-66,6.6399632937790957e-50,2.7300099517060608e-77,8.5506789766245182e-39,1.6857601688534763e-33,1.942670758909035e-32,1.6816156783134904e-31,1.3632672342602662e-34,9.966381084991849e-28,1.0558647829298038e-46,5.5992386196540762e-52,1.3943238549084167e-44,3.6032690506858648e-43,4.2271862666492736e-38,2.290647640731872e-32,5.3357080357295906e-51,9.892426238589711e-57,4.4523563634611863e-56,1.1822690376963398e-70,1.3025764127862392e-73,1.0123414854195102e-66,6.0467394355816029e-108,1.0133793117563205e-95,9.7866601951625175e-57,1.292066288715257e-42,9.1404712197889084e-50,2.0921001924343041e-47,3.0550692994423284e-59,1.9252895585093612e-43,2.4216389695803934e-53,1.9222178253710273e-71,2.4178176098598618e-37,1.8198824737897858e-32,4.2321545239405264e-37,9.6621529643850741e-47,4.1090586936705996e-65,2.038254479913172e-81,1.2942601117261468e-65,0.88168480800000004,0.0,0.0094599999999999997,0.10885,7.5565923355516895e-22,6.8174228541578361e-22,7.556603953241201e-22,1.4825697082175658e-23,1.2424232062826702e-23,6.2121161572243859e-24,1.5488945039171859e-27,1.4019642715725235e-27,9.9956567991392889e-29,8.4068623774962585e-29,3.8981307603018801e-28,4.1701847055157931e-29,1.9619479498830256e-31,2.6354085539541281e-30,1.0516296473753462e-30,1.9434613825094329e-30,3.9301411795724109e-30,1.0184384627249531e-29,4.233979615673605e-22,8.7926069743848702e-25,2.5469781845879119e-28,9.0299129657868808e-28,1.4092116580030028e-33,1.1700505523850592e-36,1.8882141381278339e-30,5.0352432154656228e-35,9.372741958570967e-30
1.2700000000000001e-13,0.005330778553801867,1.0938984968416919e-25,2.5582741280794998e-33,1.3034094294208484e-30,1.4789947428515185e-32,3.7084007961385917e-37,0.0,0.0,6.8961588958723134e-23,2.0236544348543907e-33,1.2992091868851175e-48,7.5279035689381363e-50,2.1006706055088743e-60,6.2319251272681728e-31,6.1180640486839125e-46,8.5157603880006582e-22,8.1933942236278056e-31,2.4888950482310839e-44,6.5283145721715467e-45,4.0428969785459994e-28,6.1876381548620879e-55,1.6620431203689366e-45,4.518093164001923e-43,2.5932940550631142e-34,9.35090387312423e-54,1.0208212471858083e-27,5.0199912095604328e-52,1.3711777610551669e-21,2.8033262619368715e-48,1.8921727787299519e-65,5.3682634746391605e-49,4.4181977974232998e-76,6.913030644048055e-38,6.7933875180928342e-33,7.8395439978675445e-32,6.7872598939013939e-31,5.5013515787434142e-34,4.0218797911447491e-27,8.5364280843986015e-46,4.5268198003227227e-51,1.1272717974747544e-43,2.9131384339083154e-42,3.417445415975265e-37,9.2433905914769029e-32,4.314104682846084e-50,1.600973486001185e-55,7.2056588353551739e-55,3.8284652658349409e-69,3.3137292071032928e-72,1.6383545811846052e-65,1.9630095739941175e-106,6.5646099015101929e-94,1.5905754987628646e-55,1.0445945833317867e-41,1.4792794019228022e-48,1.6916838198434329e-46,4.943145263169202e-58,1.5549401544850916e-42,3.9197743437699096e-52,6.0556944778834131e-70,1.9547493532698659e-36,7.3321419414970188e-32,1.7078647792571792e-36,7.8031754799770136e-46,6.6412983789265616e-64,1.3275373419474104e-79,4.1887383775721731e-64,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.5198441849838247e-21,1.3711763192695461e-21,1.5198488732357301e-21,2.9818524389475216e-23,2.498852192919023e-23,1.2494261472292916e-23,6.250477657024232e-27,5.6575488764564018e-27,4.0336730999406247e-28,3.3925271803871191e-28,1.5730719472647604e-27,1.6828469205104723e-28,7.9175864575505382e-31,1.0635047384943724e-29,4.2437959066916707e-30,7.8427330082390809e-30,1.5859896593808751e-29,4.1098486247757863e-29,8.5157232488564132e-22,1.7684417625171927e-24,1.0278125905967822e-27,3.6439690382577492e-27,1.1393071341966086e-32,9.4598600551160713e-36,7.6197836052348764e-30,4.0708700575080238e-34,3.782246237475564e-29
2.55e-13,0.005330778553801867,2.1939900651344572e-25,9.7586197392713056e-33,5.2371097827695745e-30,5.9415844671863748e-32,2.9823471941311931e-36,0.0,0.0,1.3831078291722441e-22,8.1295107901789132e-33,1.0493939510428732e-47,6.0539409371983914e-49,3.3727189021267723e-59,2.5035797433993911e-30,4.9194392232587177e-45,1.7079288644960837e-21,3.2914694094695517e-30,1.0000201325594443e-43,2.6224404828146018e-44,1.624119128087256e-27,9.9778582509686992e-54,6.6749378466128741e-45,3.6328073364846592e-42,1.0417838888177651e-33,7.5234774803038871e-53,4.1008668188501664e-27,4.2949605995451991e-51,2.7500415538510839e-21,2.2540450889344136e-47,1.5216407618163011e-64,4.3164495120779002e-48,7.1077216827891134e-75,5.5585407853777172e-37,2.7215232692398885e-32,3.1493145894749564e-31,2.7275406682792266e-30,2.2099795528812889e-33,1.6156761913663016e-26,6.8638613483338357e-45,3.639805889549313e-50,9.0639012408787116e-43,2.3423216953162187e-41,2.7476318984108318e-36,3.7129524866010815e-31,3.4693208252039488e-49,2.5755511940810933e-54,1.1592167860530622e-53,1.2320453237779554e-67,9.2098960482051227e-71,2.6356821794970634e-64,6.3489915391624753e-105,4.2255385802395914e-92,2.5650295235164061e-54,8.3990520515480044e-41,2.3797803181166537e-47,1.3606565329073194e-45,7.9486149416665611e-57,1.2476925599330712e-41,6.3079345890212093e-51,1.8484260919938526e-68,1.5717472736545897e-35,2.9359668433543998e-31,6.8608742628900273e-36,6.2607300950781222e-45,1.0656137532726385e-62,8.5705943547771702e-78,1.3464549988013911e-62,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.048204534949822e-21,2.7500357619102356e-21,3.0482233686360838e-21,5.9803567670609432e-23,5.0116587290793297e-23,2.5058295684878939e-23,2.5109495669338212e-26,2.2727574910080498e-26,1.62039715120109e-27,1.3628378239077332e-27,6.3193876690671877e-27,6.7602896117056022e-28,3.1808670629398162e-30,4.2723264646336979e-29,1.7048252629947569e-29,3.1505944719268108e-29,6.3712815470826403e-29,1.6510108948778589e-28,1.7079139449460205e-21,3.5467931314924148e-24,4.1288908011895603e-27,1.4638580053018587e-26,9.1606554921652196e-32,7.6067900947464353e-35,3.0610291804306743e-29,3.2732363693650584e-33,1.5193510371456333e-28
5.11e-13,0.005330778553801867,4.3943370601797868e-25,3.8081120053900796e-32,2.1000995703689573e-29,2.3817803436136327e-31,2.3926819228142929e-35,0.0,0.0,2.7701102134726779e-22,3.2587321953023312e-32,8.4921304053073776e-47,4.8568146842335045e-48,5.3892145130864464e-58,1.0036164470446591e-29,3.9455149053140503e-44,3.4206285634278221e-21,1.3193800381431723e-29,4.0099703799339221e-43,1.0510973037299312e-43,6.5102315692231816e-27,1.6030995428197718e-52,2.6741474614646444e-44,2.9134116207483139e-41,4.1759714776051454e-33,6.0413418594346559e-52,1.6438255875635849e-26,3.8594171098735e-50,5.5077433640008875e-21,1.8076969301529204e-46,1.2206746103048506e-63,3.4617640568249597e-47,1.1402344162646164e-73,4.4579022315110466e-36,1.0849267706225819e-31,1.2623932796595151e-30,1.0940823082660538e-29,8.8583759633196426e-33,6.4763892940968592e-26,5.504758198941315e-44,2.918995133057528e-49,7.2689775105674298e-42,1.8784623340141306e-40,2.2032186478509267e-35,1.4880712240828176e-30,2.7831531965066952e-48,4.1317638767690971e-53,1.8596867860930605e-52,3.9533158383065202e-66,2.7219988723634463e-69,4.2282098560698041e-63,2.057687957012704e-103,2.711831699362301e-90,4.1216095869734681e-53,6.7356636720321631e-40,3.8177140692435809e-46,1.0919170615234939e-44,1.2739754244655938e-55,9.9652583219068721e-41,1.0125818732734453e-49,5.3766973358277734e-67,1.2605239585101981e-34,1.1693155596928218e-30,2.750170110852876e-35,4.9994867054914548e-44,1.7005714447959267e-61,5.5112600810296631e-76,4.310625039174139e-61,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.1048870238072824e-21,5.5077201473742908e-21,6.1049625177764278e-21,1.1977120901013996e-22,1.003706606217691e-22,5.0185338485684849e-23,1.0065044465279015e-25,9.1102607392147526e-26,6.4951795056783546e-27,5.4627837178013589e-27,2.5331211715656175e-26,2.7097849280887338e-27,1.2752022138874737e-29,1.7125473101007599e-28,6.8337451748725351e-29,1.2629053450876589e-28,2.5539231827337046e-28,6.6179930649833516e-28,3.420568759248424e-21,7.1034528250908881e-24,1.6550094089991472e-26,5.8678045846916603e-26,7.3465448256029438e-31,6.1012662391175101e-34,1.227002013865283e-28,2.6250811790703571e-32,6.0897985508663903e-28
