Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),HOCO(37),HCOH(38),CH3OO(39),CH3OOH(40),CH2OOH(41),C2H5O(42),C2H5O2(43),H2CC(44),C2H4O(45),C2H5O(46),cC2H4O(47),C2H5O2(48),C2H3O2(49),CHCHO(50),OCHCHO(51),HCCOH(52),CHCHOH(53),C2(54),C2O(55),C2H6O(56),C2H5O(57),C2H5O3(58),cC2H3O(59),HOCHO(60),C2H3O3(61),OCHCO(62),C2H6O2(63),C2H5O2(64),C2H4O2(65),HOCH2O(66),OCHO(67),C2H4O3(68),C2H3O2(69),N2,Ne,C7H16(1),O2(2),CH4(3),C4H9(99),C5H11(101),C3H7(100),S(160),S(162),S(161),S(177),C7H15(105),S(194),S(267),S(266),S(268),C7H15(102),S(310),C7H15(103),S(829),S(830),S(859),S(882),S(752),S(926),C7H15(106),S(900),S(992),S(1016),S(1066),S(847),S(779),S(1065),S(1245)
0.0,0.001343759486788747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.001343759486788747,5.6599276721824569e-37,1.870540693117957e-45,1.0638872624805826e-41,4.5058230099329241e-46,8.9353960806083512e-50,0.0,0.0,5.7338203313330172e-29,1.9637611536667563e-42,1.1576053079770385e-52,2.3007754029122614e-59,1.4021867429638316e-61,2.3682677470197306e-81,1.7063581622938186e-67,1.7825730292382e-52,5.2768823597888605e-29,1.0638859486933212e-41,-2.2745315107383285e-111,3.2532357019169211e-109,5.0194909467400072e-73,6.6410044841450213e-71,2.0415287733015029e-47,5.3415551901065418e-57,1.7899346546231504e-45,1.438692430939358e-78,6.5313773861433835e-67,7.4223943805006499e-40,1.6513542192416178e-44,1.2103224196489056e-31,1.0944428348903761e-57,5.3336792544989249e-80,2.9737994554535132e-74,2.7921218048298889e-59,2.669791450357604e-97,2.6208717773580197e-73,4.2903350421535706e-36,5.6295300777955455e-49,9.3044445096004824e-54,1.6586362846883927e-60,2.4488778725304745e-38,4.7462775478393149e-82,1.283207310769438e-80,1.3162969339683713e-72,1.4515227311134476e-62,2.7171724763811947e-54,1.9734620335289458e-73,4.796780278999122e-76,3.8489511318182411e-75,8.2629434972320427e-114,5.74037550058022e-105,-8.749482772611914e-156,-9.8774939040975598e-148,2.1156965942924001e-72,3.7853797893186353e-71,5.6382915566892866e-79,2.0674428308176361e-90,4.919001211930779e-73,1.0767109070490912e-86,3.689328069421829e-95,8.5127402229335989e-50,2.1034247054742268e-55,3.2711778808164924e-68,1.2836145668534153e-66,1.5093538560486469e-101,-1.2431343896801812e-113,-2.5680974069828665e-102,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.0453931918446872e-31,1.2103225812567619e-31,1.0453932096370912e-31,7.8340016165840752e-39,6.0548474508093688e-39,9.0699548573508548e-39,1.1030454364650668e-49,1.9747904302831118e-30,6.6676474289606423e-50,1.2061442474822607e-36,6.7370789706277555e-56,4.0724040723997814e-56,1.7062558902499608e-30,1.9874774470873796e-47,8.5312794512443335e-31,1.0421312029870234e-36,5.2106560145251331e-37,5.0838769286475115e-47,3.1050833639222723e-53,1.9866605441318179e-66,2.966702551272858e-73,3.5198952714263835e-32,6.0431963814116322e-64,3.6906822208438536e-64,2.6377506053798598e-39,4.3395406100016734e-50,3.1769118466772813e-48,1.7172177102086395e-47,5.1868817318077636e-60,2.4115722360128475e-66
3.0000000000000002e-15,0.001343759486788747,1.8596900115714377e-36,1.2070736225644302e-44,6.9912588807649625e-41,2.8938892995287184e-45,8.424801789841271e-49,0.0,0.0,1.8839695374623132e-28,1.2904716152739676e-41,7.6070734386384041e-52,2.1692928416615776e-58,1.3220616471704074e-60,2.2329260656993315e-80,1.1213208972577337e-66,1.1713976328803847e-51,1.7338326343856103e-28,6.9912502728367206e-41,1.3465603518562614e-109,3.997415547920782e-108,4.7335653650962252e-72,6.2615148072084981e-70,6.7077834698972159e-47,5.0363233399600952e-56,1.1762427311518841e-44,1.773715506563138e-77,6.1581538959566296e-66,4.8775730080396931e-39,1.0851755314311794e-43,3.9767728355496872e-31,1.031903137674878e-56,8.076511400901706e-79,3.6535241679312898e-73,3.430215027682172e-58,4.7482866910174591e-96,2.4742562258771272e-72,2.8193629280320143e-35,5.3078425140023121e-48,8.772587462534727e-53,1.5660066782135486e-59,1.6092624560883722e-37,3.1189821072223643e-81,1.9448053605129417e-79,1.6188705775203736e-71,1.7832992663338813e-61,2.5619053110638536e-53,2.4245384880412837e-72,5.8931236227301653e-75,4.7287102760027909e-74,1.4873361212015831e-112,8.692612324232797e-104,4.6934906078131989e-154,4.0495816110411905e-134,2.6029355233093754e-71,4.6555148352012256e-70,8.5452909496037632e-78,3.1306988613104003e-89,7.4486804699598598e-72,1.9380386734728537e-85,5.5866112930791729e-94,8.0262974174440131e-49,1.9831491184135544e-54,4.0188754814971883e-67,1.5769879675639485e-65,2.7098090686010428e-100,6.2867554813876022e-112,1.44903076685686e-100,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,3.4348630872275651e-31,3.9767738975440385e-31,3.4348632041490713e-31,5.1480580374161336e-38,3.9788996531910251e-38,5.9602558548973719e-38,1.0400140506235369e-48,6.4885931650158027e-30,6.2866376920079225e-49,7.9260886642296943e-36,8.2769814035499325e-55,5.0032384872630526e-55,5.6062659297155277e-30,1.8739069604031227e-46,2.8031329648542179e-30,6.8482889438821504e-36,3.424144471554546e-36,4.7933678702243587e-46,3.8148156015385294e-52,3.0083711593253899e-65,5.3400638130984949e-72,1.1565369336937182e-31,8.4964583836918358e-63,6.2434114449312086e-63,1.7333789144593171e-38,4.0915667707195548e-49,2.9953734489901064e-47,1.6190906842425129e-46,4.8905432934423505e-59,2.9628142271558569e-65
7e-15,0.001343759486788747,4.1236571832840508e-36,6.488952068329887e-44,3.7995962534726084e-40,1.5511825463223338e-44,1.3607327985137055e-47,0.0,0.0,4.1774976701816367e-28,7.0134326919625131e-41,4.1341122806529192e-51,3.5035932999293542e-57,2.1353278138997782e-59,3.6063348510788605e-79,6.0941289164140397e-66,6.3660262353850099e-51,3.8445844995470772e-28,3.7995916655412915e-40,2.6021501981121865e-108,2.0254846451920059e-106,7.658786176556317e-71,1.0113240255432788e-68,1.4873157984683083e-46,8.1344234227609007e-55,6.3926220575552705e-44,9.3468498681116267e-76,9.9463230923820748e-65,2.6508533325195737e-38,5.8976896272194642e-43,8.8180561704137712e-31,1.6666783373646099e-55,1.333343119472259e-76,1.8479981761802809e-71,1.7344069662126071e-56,2.5704852671499239e-93,3.9971511841312825e-71,1.5322621084058188e-34,8.5729679424985914e-47,1.4166474996262913e-51,2.5291907941872049e-58,8.7459864508011248e-37,1.6950979723311188e-80,3.2133121190273246e-77,8.190559076314936e-70,9.0201711152619235e-60,4.137862777361721e-52,1.2263618656960312e-70,2.9804381624645224e-73,2.3918408720433969e-72,8.2813103640482074e-110,1.435700621200019e-101,1.7312312773047337e-151,4.0330005009640237e-132,1.3167024737838369e-69,2.3554238991636956e-68,1.411899166231137e-75,5.1703717297297283e-87,1.2299277278009703e-69,1.0785870166636491e-82,9.2242325233972455e-92,1.2963678928249266e-47,3.2019040730500893e-53,2.0328020774976359e-65,7.9751551444080664e-64,1.50069684938157e-97,9.760870429812536e-109,1.2486597879037471e-98,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,7.6164338848992036e-31,8.8180619421175666e-31,7.6164345203419326e-31,2.7978570357165918e-37,2.162445109338489e-37,3.2392687994980756e-37,1.6797770415488289e-47,1.4387724560212406e-29,1.0153852963010084e-47,4.307649438585297e-35,4.1866045998024732e-53,2.5307029715155709e-53,1.2431263290014155e-29,3.0266385312865877e-45,6.2156316449879412e-30,3.7218897336344723e-35,1.8609448661929906e-35,7.7419886503091144e-45,1.9295802654104289e-50,4.9683404777361752e-63,2.9730515662999826e-69,2.5644943990175786e-31,7.0524100653033849e-61,1.7290538448226066e-60,9.4205356409126217e-38,6.6084989345740938e-48,4.837973409216382e-46,2.6150723352844366e-45,7.8997797656664812e-58,1.4987874970488324e-63
1.5e-14,0.001343759486788747,8.6515816066912272e-36,2.8592930584043559e-43,1.6809406738423537e-39,6.8278260080725035e-44,1.2655065375644415e-46,0.0,0.0,8.7645539360940294e-28,3.1027426231124731e-40,1.8288087308515756e-50,3.2581983916125226e-56,1.9858919254041728e-58,3.3536978062032448e-78,2.6960379330827283e-65,2.816135094090092e-50,8.0660854839527174e-28,1.6809387104964905e-39,4.6774241683676613e-107,3.9057368621413492e-105,7.1423107985035956e-70,9.4054231108276497e-68,3.1202022171095978e-46,7.5651636986613915e-54,2.8280949096380386e-43,1.9057657042077776e-74,9.2502254947458467e-64,1.1727363655382769e-37,2.6091353348027235e-42,1.8500606692494511e-30,1.5500398195410441e-54,5.2281726164576953e-75,3.5541736856305276e-70,3.3338691576338567e-55,2.0340694423571483e-91,3.7219470175391073e-70,6.7787249771867413e-34,7.973018204954284e-46,1.3171320217230947e-50,2.3548444486076773e-57,3.8692206149237121e-36,7.4991060845119577e-80,1.2619775540990333e-75,1.5769480670885761e-68,1.7348158111523269e-58,3.8482864158797425e-51,2.358607894910217e-69,5.7310580578289579e-72,4.6001228121959842e-71,6.5697595531382854e-108,5.6332087476202522e-100,1.3477095605355018e-149,1.9949056848871589e-130,2.5350643575143678e-68,4.5349535107957538e-67,5.5450119520185489e-74,2.0284557781818041e-85,4.8239948704318847e-68,8.5511567875686088e-81,3.6176844100759536e-90,1.205645367073386e-46,2.9761073161623681e-52,3.9096122899701593e-64,1.5334095559680081e-62,1.1895658581892918e-95,1.4998659600319698e-106,4.8718822339340964e-97,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.5979570466446226e-30,1.8500632226478087e-30,1.5979573277643095e-30,1.2377715165718005e-36,9.5666545595613588e-37,1.4330520121218599e-36,1.5622194537726144e-46,3.0185910157774727e-29,9.4432454068092563e-47,1.9056986409104138e-34,8.051924135027976e-52,4.8671968166146939e-52,2.6081191318315109e-29,2.8148231260585572e-44,1.3040595659073126e-29,1.64655929162355e-34,8.2327964523123148e-35,7.2001556969203062e-44,3.7110736657217767e-49,1.9491907528719513e-61,2.3583293078596772e-67,5.3804076923109411e-31,1.5932356723979607e-59,7.9570331190303355e-59,4.1676435435361727e-37,6.1460260487160834e-47,4.4993935554495876e-45,2.4320598613594565e-44,7.3481273131315766e-57,2.8830106334842252e-62
3.1e-14,0.001343759486788747,1.7707390773607248e-35,1.1896171281808707e-42,7.0064467633813628e-39,2.8393289595495928e-43,1.06808465505709e-45,0.0,0.0,1.7938666469813801e-27,1.2932769886297381e-39,7.6217940460967715e-50,2.7495675500433925e-55,1.6760845996345992e-57,2.8300824489949786e-77,1.1237515844131605e-64,1.1736552201128431e-49,1.650907646910913e-27,7.0064391204399227e-39,8.047613577758263e-106,6.6749150822869841e-104,6.0604218393657464e-69,7.9380291789895518e-67,6.3852212911604184e-46,6.3849814753809048e-53,1.1787981667021029e-42,3.6034632982943577e-73,7.807106432868559e-63,4.8881593973589054e-37,1.0875308190402433e-41,3.7865643146281742e-30,1.3082272862440724e-53,1.7828559194607827e-73,6.0428593052092785e-69,5.6621209275121274e-54,1.3900879947343354e-89,3.1494618470322038e-69,2.8254881376551299e-33,6.7292098133604036e-45,1.1110332074039693e-49,1.9920536881846828e-56,1.6127552327820912e-35,3.1257516145737555e-79,4.3174967170798817e-74,2.6871136224754562e-67,2.9495797712276581e-57,3.2479415548486077e-50,4.0101404796853435e-68,9.7403766180656167e-71,7.8211989030780627e-70,4.4956667968177712e-106,1.923473659805298e-98,9.7943468771541761e-148,8.4180741036031368e-129,4.3197573999726345e-67,7.727540978344019e-66,1.897068636471268e-72,6.9246832771110718e-84,1.645924057320347e-66,5.8439993135677031e-79,1.2341854436166755e-88,1.0175609279998577e-45,2.5089769431396328e-51,6.647226322072301e-63,2.6057253631026946e-61,8.1324033138285061e-94,2.0950480165977402e-104,1.9870990337252808e-95,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,3.2705823574379303e-30,3.7865749576080835e-30,3.2705835291921588e-30,5.1592430038803876e-36,3.9875455744384501e-36,5.9732054496314226e-36,1.3185028881951127e-45,6.1781972584593563e-29,7.970036876057692e-46,7.9432381896198207e-34,1.369004053840951e-50,8.2753044115337783e-51,5.3380780608338841e-29,2.3756937526278037e-43,2.6690390303817947e-29,6.8631064587465746e-34,3.4315532244735926e-34,6.076855126883934e-43,6.3096120180525896e-48,6.654066787669276e-60,1.6134381456252519e-65,1.1012227729485869e-30,2.9528487523259735e-58,2.9649377965460467e-57,1.7371450184317483e-36,5.1872328376592313e-46,3.7974602017836588e-44,2.0526438648572002e-43,6.2037704647983141e-56,4.9032790341842755e-61
6.300000000000001e-14,0.001343759486788747,3.5818850389237026e-35,4.8434208774506775e-42,2.8551603639820214e-38,1.1557253741244299e-42,8.741676284711078e-45,0.0,0.0,3.628689154483323e-27,5.2701738642384298e-39,3.1051122393507741e-49,2.2498051895549662e-54,1.3717755916302957e-56,2.3155611565163974e-76,4.5793175602742038e-64,4.7814200375220635e-49,3.3395014504916764e-27,2.8551576883798866e-38,1.3503336801714846e-104,1.1063225671431685e-102,5.0128934524209608e-68,6.4966267155368731e-66,1.2912245777946637e-45,5.2257513779584634e-52,4.803659254206891e-42,7.1005533984003294e-72,6.3895777352678102e-62,1.9919438638131796e-36,4.4317301546072338e-41,7.6595457694082661e-30,1.0707063620725344e-52,5.8442613452273508e-72,9.9138430971536067e-68,9.2690487233076399e-53,9.1275359164955618e-88,2.5910641899310989e-68,1.1514000251478827e-32,5.5074831379676372e-44,9.0830277501340804e-49,1.6378603389699972e-55,6.5720399564417602e-35,1.2737558746466781e-78,1.4245255943773145e-72,4.4280414087782049e-66,4.8391108781027082e-56,2.6582530638228061e-49,6.5789888663656529e-67,1.5967987905475099e-69,1.2831369931358573e-68,2.9568202483008637e-104,6.321593495601455e-97,7.0434115216695624e-146,3.7084009456293598e-127,7.1184952769815204e-66,1.2734052501581557e-64,6.2592403453605215e-71,2.274820414309436e-82,5.4012578835282704e-65,3.8337430864804244e-77,4.0491081646368225e-87,8.3281509103229308e-45,2.0488183870528125e-50,1.090550780084925e-61,4.2703410455143115e-60,5.3393862846726218e-92,2.7794746207359261e-102,1.0534988403926117e-93,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,6.6158249569793965e-30,7.6595891399035882e-30,6.6158297319298111e-30,2.10241661828787e-35,1.6249447233688154e-35,2.4341102742837161e-35,1.079109867787938e-44,1.2497286238914986e-28,6.5229632387059199e-45,3.2368764503203647e-33,2.245984408956576e-49,1.3576443050038982e-49,1.0797889214292968e-28,1.94435533090916e-42,5.3989446070033496e-29,2.7967218351155734e-33,1.3983609135477209e-33,4.973468533022686e-42,1.0351438446261289e-46,2.1859048170016544e-58,1.0606899867457132e-63,2.2275841606233622e-30,5.0691360305923456e-57,1.0203076477879486e-55,7.0789507355750054e-36,4.2454615590912749e-45,3.1079800255085079e-43,1.6799593967192931e-42,5.0806519018838215e-55,8.0493105210778806e-60
1.2700000000000001e-13,0.001343759486788747,7.2041134758815748e-35,1.9536701566436243e-41,1.1521824600079075e-37,4.661212275601302e-42,7.0674293397816379e-44,0.0,0.0,7.298334172519124e-27,2.1267533313988372e-38,1.2524002165798543e-48,1.8180038603562888e-53,1.1090369358260646e-55,1.8709382839977624e-75,1.8479365188943496e-63,1.9284805840168964e-48,6.7166714839425765e-27,1.1521817342749323e-37,2.3087975237207057e-103,1.8267871982469326e-101,4.1380924068285234e-67,5.2520280902810689e-65,2.5954251228878138e-45,4.2248920282941927e-51,1.9384877942977276e-41,1.5329220768645176e-70,5.1656496515492715e-61,8.0383324298731654e-36,1.7883897643707646e-40,1.5405405336437797e-29,8.6563221740747523e-52,1.8844038000153172e-70,1.604399381709515e-66,1.4935682135619863e-51,5.8999726314982906e-86,2.1165023403569745e-67,4.6464056369242822e-32,4.4526653480173641e-43,7.3270389680857753e-48,1.3362518667574865e-54,2.6520949104237287e-34,5.1401414171522653e-78,4.6530066790450475e-71,7.229501359150613e-65,7.8315504816770094e-55,2.1491227689983063e-48,1.0647057727977683e-65,2.5803065012052445e-68,2.0765564600940364e-67,1.9171156558841674e-102,2.0489125563174533e-95,5.3038353729092847e-144,1.7923283456144433e-125,1.1622266288836268e-64,2.0790391113988439e-63,2.0444934962785565e-69,7.3663596948901392e-81,1.7453323372325515e-63,2.4729292722850024e-75,1.3077689406335496e-85,6.7330769923026743e-44,1.6489704251346936e-49,1.7649323816311753e-60,6.8960984962635816e-59,3.449946166774281e-90,3.6056719053501018e-100,8.5200031714479475e-92,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.3306278068035631e-29,1.5405580354172597e-29,1.3306297337024856e-29,8.4841779432321569e-35,6.55737243099415e-35,9.822708080704798e-35,8.7241573876303926e-44,2.5134970199506277e-28,5.2735467738263578e-44,1.3061967485246774e-32,3.6348129751019615e-48,2.1971584421070342e-48,2.1717084719712706e-28,1.5719352924482641e-41,1.0858542359278946e-28,1.128578439198629e-32,5.6428921635734565e-33,4.0207681683054839e-41,1.6752056559251786e-45,7.0783303932331874e-57,6.8709652840345394e-62,4.480296456968143e-30,8.3969939415767183e-56,3.3840699287190281e-54,2.8566689455825771e-35,3.4323527919781676e-44,2.5126781633623132e-42,1.3581815148322456e-41,4.1127730701458269e-54,1.3042880280992202e-58
2.55e-13,0.001343759486788747,1.4448316414027236e-34,7.8465641886366195e-41,4.6285484372549865e-37,1.8719546823398448e-41,5.6826582616945136e-43,0.0,0.0,1.4637624220718061e-26,8.5436515060782755e-38,5.0259392092319195e-48,1.4603315506305252e-52,8.9171986984446698e-55,1.5025287361057609e-74,7.4233796025028342e-63,7.7388148148967818e-48,1.3470941256733458e-26,4.6285483654653382e-37,4.4934295935351137e-102,3.0556829895647123e-100,3.4644200985303696e-66,4.2224241574162969e-64,5.1990176857091921e-45,3.3970810636699646e-50,7.7872993935945628e-41,3.6952904584721237e-69,4.1532405475701657e-60,3.2291316018692768e-35,7.1842585994462832e-40,3.0896711111404089e-29,6.9601087281605007e-51,6.0127253080382702e-69,2.5809333353929211e-65,2.3820576295349182e-50,3.7816623709782031e-84,1.736686990042285e-66,1.866555646073587e-31,3.5802253997171846e-42,5.8652566532653953e-47,1.0938577401728525e-53,1.0653905563954154e-33,2.064880151834904e-77,1.5231724161136509e-69,1.1833825458365802e-63,1.259898381979472e-53,1.7280153044041369e-47,1.7127498382668865e-64,4.1384698532878315e-67,3.3404777908401813e-66,1.2362708898371383e-100,6.6057436630518686e-94,4.3940351190324911e-142,9.5341858629547343e-124,1.9024764018814071e-63,3.403127199949142e-62,6.6927174671499476e-68,2.3705532384076814e-79,5.592881087104812e-62,1.5783805832488876e-73,4.1866643012102877e-84,5.4137740265581752e-43,1.3140538719619582e-48,2.8393297816603431e-59,1.104624370951176e-57,2.2093475773994824e-88,4.6153694453682886e-98,9.2315066273082882e-90,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.6687055939272484e-29,3.0897414182848033e-29,2.668713334642937e-29,3.4082684210017748e-34,2.6342343804782562e-34,3.9459834530076428e-34,7.0144836030044938e-43,5.0408362273897712e-28,4.2400902606333261e-43,5.2470547850672497e-32,5.8473103552626414e-47,3.5345614323084962e-47,4.3553768658021612e-28,1.2638900069276304e-40,2.1776884326691847e-28,4.5335535564619016e-32,2.2667767521645031e-32,3.2326963204588669e-40,2.6947991144837699e-44,2.2777978583709903e-55,4.4225799626031439e-60,8.9856791339271817e-30,1.3668341362754531e-54,1.1023190612053875e-52,1.1475827388308324e-34,2.7598310017298886e-43,2.0202760481191091e-41,1.0920246249935321e-40,3.315275928917821e-53,2.1034128431708447e-57
5.11e-13,0.001343759486788747,2.8935706618451218e-34,3.1449052779071646e-40,1.8553252800882915e-36,7.5023682751254992e-41,4.5573961655141787e-42,0.0,0.0,2.9316204365622692e-26,3.4247153036884102e-37,2.0104573180264432e-47,1.1688293634878599e-51,7.151191793520335e-54,1.2020866934788846e-73,2.9754938381530713e-62,3.0954389965480755e-47,2.6979199631724117e-26,1.85532753092579e-36,1.3501853386026915e-100,5.2766706849923822e-99,2.9983173062695135e-65,3.3854517307670278e-63,1.038703949390756e-44,2.7244046702832557e-49,3.1214948091786738e-40,9.8368401359022789e-68,3.3304006262713043e-59,1.2943551384224265e-34,2.8797160129988698e-39,6.1877669313199458e-29,5.5816983604144862e-50,1.8970943563967856e-67,4.1399834636506453e-64,3.7565856257155618e-49,2.4066723323798949e-82,1.4487498959792577e-65,7.4819831275272979e-31,2.8712837312065317e-41,4.6624395863145897e-46,9.084140811599845e-53,4.2704785762850611e-33,8.2768018287463102e-77,5.052894640522349e-68,1.9636761295901113e-62,2.0211766131734347e-52,1.3858155086530642e-46,2.747361484191135e-63,6.5990468967817062e-66,5.3583550501458546e-65,7.9644339257815914e-99,2.1277779732898565e-92,4.1888838990739595e-140,5.4578754073567384e-122,3.1570915316610088e-62,5.6470326648221712e-61,2.220221939178037e-66,7.60631274675965e-78,1.7795256176910163e-60,9.9617886588772278e-72,1.3295578781711975e-82,4.3416851434962537e-42,1.035369509596947e-47,4.5549601728686952e-58,1.7569258102529667e-56,1.4035460907802111e-86,5.8335909470671793e-96,1.1093958541491184e-87,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,5.3448098288092942e-29,6.188048745215161e-29,5.3448408567979518e-29,1.3661864611262423e-33,1.0559216203872332e-33,1.5817267036009393e-33,5.6250352225481735e-42,1.0094724427123242e-27,3.4002027732659877e-42,2.1030894534995179e-31,9.3798849621884371e-46,5.6699217637913887e-46,8.7220309312055774e-28,1.0135463816538383e-39,4.3610154646735076e-28,1.8171086657742121e-31,9.0855431198384838e-32,2.5921598545275823e-39,4.3225113728711748e-43,7.3082730255820526e-54,2.8380885495434621e-58,1.7996276827231748e-29,2.2055198162828342e-53,3.5584194190567806e-51,4.6000265347211601e-34,2.2133430954373622e-42,1.6201063739528928e-40,8.7572305066619879e-40,2.6721828483947981e-52,3.3908753540019578e-56
