Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),HOCO(37),HCOH(38),CH3OO(39),CH3OOH(40),CH2OOH(41),C2H5O(42),C2H5O2(43),H2CC(44),C2H4O(45),C2H5O(46),cC2H4O(47),C2H5O2(48),C2H3O2(49),CHCHO(50),OCHCHO(51),HCCOH(52),CHCHOH(53),C2(54),C2O(55),C2H6O(56),C2H5O(57),C2H5O3(58),cC2H3O(59),HOCHO(60),C2H3O3(61),OCHCO(62),C2H6O2(63),C2H5O2(64),C2H4O2(65),HOCH2O(66),OCHO(67),C2H4O3(68),C2H3O2(69),N2,Ne,C7H16(1),O2(2),CH4(3),C4H9(99),C5H11(101),C3H7(100),S(160),S(162),S(161),S(177),C7H15(105),S(194)
0.0,0.002280942759401671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.002280942759401671,2.8953971732223643e-36,7.1938094845779962e-45,2.4292937956218763e-41,5.3362796817438652e-46,3.3420537581250387e-51,0.0,0.0,1.4867429932934105e-28,1.90740737379653e-42,1.7742954630128327e-51,2.1514348365662897e-58,5.5140399775708647e-61,1.4081102648263021e-79,6.831381636545074e-66,2.753586709881956e-51,1.4274687459992146e-28,2.4292877580472537e-41,-9.10675329795638e-109,-2.632608572500049e-114,3.2839353605862606e-71,4.1304548422587225e-69,5.3114587146276578e-46,5.9026876066105745e-57,6.1518769274503378e-45,2.3018499609620312e-77,1.147948466732529e-65,4.3392339205414397e-39,4.7537968215643012e-44,1.2217335009158273e-30,7.8401331660207888e-57,1.0121336308404187e-78,3.1939227153566805e-73,2.9860024432777565e-58,7.4837655913834358e-96,5.937401562234415e-72,5.7865292022326554e-36,2.9972850044791848e-49,4.1494634121502855e-53,5.0716687700398174e-59,1.4095911115515897e-37,1.646844602678174e-79,5.4009179054734806e-79,6.725328364438904e-71,1.9083181808184923e-61,2.7553214051996988e-53,1.7069885698824132e-72,8.0178240008654886e-75,5.8351622235293236e-74,2.3879572207501223e-116,2.2765445722247624e-107,3.2053314201947547e-160,0.0,6.4963482757412671e-72,2.1910522592319792e-69,1.461177106947755e-77,8.5090947113958571e-89,6.2528875400698334e-72,1.176178243221171e-85,9.6323529248985106e-94,1.7242017757222388e-49,3.7167242881371677e-54,8.1619709576703909e-67,1.088663744634034e-65,6.2053608839977493e-100,-3.7590414491397103e-112,-6.5320562552600764e-101,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.0900055027743358e-30,1.221733591606759e-30,1.0900055140472799e-30,4.8713699243595814e-38,3.7442618841697206e-38,5.4600791084543784e-38,1.1712057244632831e-48,5.9274218339326899e-30,6.5591406209846731e-49
3.0000000000000002e-15,0.002280942759401671,9.513446928862306e-36,4.4048494385590316e-44,1.596393037462021e-40,1.7614895935263366e-45,3.1510792188205624e-50,0.0,0.0,4.8850126923921737e-28,1.2534391313678906e-41,1.1659613133538578e-50,2.0284903420105448e-57,5.1989516675237915e-60,1.3276425529893097e-78,4.4891932104749377e-65,1.8094929764168735e-50,4.6902542610067735e-28,1.5963890700087055e-40,5.3859739359776642e-107,1.4867100940443643e-112,3.0963867826817271e-70,3.8944274952412241e-68,1.7451786730779632e-45,5.5653911029291945e-56,4.0426619089643396e-44,2.8401617119656527e-76,1.0823512194422296e-64,2.8514964290047676e-38,3.1239234640738719e-43,4.0142667399031469e-30,7.3921250863316342e-56,1.5326361967126543e-77,3.9239616628359597e-72,3.6684486502653696e-57,1.3480357305945188e-94,5.5998544040857195e-71,3.8025762658711692e-35,2.8260115409488751e-48,3.9123034095221377e-52,4.7850495886010977e-58,9.2630268255179404e-37,1.0822121139108203e-78,8.1819298950621462e-78,8.2667765961562472e-70,2.3445051243969593e-60,2.5978743678742455e-52,2.0971571002805802e-71,9.8503460026793311e-74,7.1689126350338608e-73,4.9821024105563034e-115,4.0992119896019512e-106,-3.9192226527979534e-158,3.0209137904882853e-131,7.9991122084813046e-71,2.6932423571848278e-68,2.2135587186693229e-76,1.2885199312008635e-87,9.4685852067774309e-71,2.1170937597327934e-84,1.4585802548086346e-92,1.6256759013804093e-48,3.504254609308405e-53,1.0027564023537153e-65,1.3374884503869099e-64,1.1169627338684179e-98,1.9010096142856411e-110,3.692193525375573e-99,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,3.5814464919088525e-30,4.0142673358720851e-30,3.5814465659881995e-30,3.2011858880539068e-37,2.4605149157059654e-37,3.5880519158118912e-37,1.1042796654518559e-47,1.9475814597606325e-29,6.1843324942822343e-48
7e-15,0.002280942759401671,2.1095028535755699e-35,2.2901752433732012e-43,8.6760481181982308e-40,3.9582943885211913e-45,5.0894697996174671e-49,0.0,0.0,1.0831984666655453e-27,6.8121691927786009e-41,6.336595028925515e-50,3.2762398822792879e-56,8.3970900538283441e-59,2.1442806938609313e-77,2.439777375408024e-64,9.8339583073868985e-50,1.040012779006923e-27,8.6760265593371875e-40,1.0391202446318704e-105,1.2633172968964381e-110,5.0026863456823121e-69,6.2900703938186263e-67,3.8696481100080998e-45,8.9889488505071616e-55,2.1970986091799577e-43,1.5105070089999799e-74,1.7481583687595409e-63,1.5497257990013562e-37,1.6977839201061997e-42,8.9011970904836299e-30,1.1939395072109071e-54,2.5305884082578699e-75,1.9847913418338108e-70,1.8551358460092293e-55,7.499782742957983e-92,9.0450820170260785e-70,2.0666172987657221e-34,4.5644363082029194e-47,6.3182550896862423e-51,7.7265148595195582e-57,5.0342520156549645e-36,5.8815856085189998e-78,1.3512343195372495e-75,4.1809886099280917e-68,1.185882985871033e-58,4.1959592426567099e-51,1.0607695899145093e-69,4.9816927663972669e-72,3.6261302500163026e-71,9.5811138224501488e-112,2.2823365121197359e-103,4.8411402870526169e-155,2.8856056395415541e-129,4.0420442041444709e-69,1.3621286459851676e-66,3.6556621659956206e-74,2.1279997345252788e-85,1.5635655399776796e-68,1.1784135580321624e-81,2.4080405986365706e-90,2.6257120278952065e-47,5.6586376460349636e-52,5.0720800059261091e-64,6.7644308308091854e-63,6.2176778282612945e-96,2.9519991858482808e-107,3.2140082976112058e-97,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,7.9414672781691005e-30,8.9012003294437457e-30,7.941467680774157e-30,1.739774719048316e-36,1.3372362372699252e-36,1.9500279684645754e-36,1.7835787140400506e-46,4.3185501936389721e-29,9.9886326478781375e-47
1.5e-14,0.002280942759401671,4.4258173712478691e-35,9.9653962257635343e-43,3.8382829537300836e-39,8.5104676301061248e-45,4.73330156181472e-48,0.0,0.0,2.2725928617955626e-27,3.0137036512981231e-40,2.8031985008081252e-49,3.046848753467678e-55,7.8094445683118011e-58,1.9941290791580555e-76,1.07935637668206e-63,4.3503648399458202e-49,2.1819871144726221e-27,3.8382734185777786e-39,1.8632083659377268e-104,4.7028152158158802e-109,4.6548575917739564e-68,5.8498541846698195e-66,8.1182967017314279e-45,8.3598895881678996e-54,9.719962377504974e-43,3.1181150242799647e-73,1.6258159325880458e-62,6.8559831051214898e-37,7.5109918644936813e-42,1.867504849289911e-29,1.1103851262917047e-53,9.9248258286278211e-74,3.8172691817243231e-69,3.5667160919162246e-54,5.9478109498593318e-90,8.4145838159035039e-69,9.1427131877662632e-34,4.2450106533343094e-46,5.8750634029962195e-50,7.1872070911185455e-56,2.227151846896201e-35,2.6020120211593708e-77,5.3021522002156662e-74,8.0426108523328514e-67,2.2807652800768163e-57,3.9023186612763031e-50,2.0401353555526726e-68,9.5789516619480051e-71,6.9739904044702411e-70,1.5290761834980613e-109,1.8107516390733016e-101,7.1445502725212371e-153,1.3315224613491663e-127,7.7750550248722814e-68,2.6202097500142727e-65,1.4344575976650105e-72,8.3486312846070491e-84,6.1332122706131467e-67,9.3445788944236163e-80,9.4426544398143881e-89,2.4419601831836145e-46,5.2607950431933419e-51,9.7549455663967612e-63,1.3007562673826616e-61,4.9310339821158338e-94,4.5370426056801409e-105,1.2948334365676195e-95,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.6661505732923808e-29,1.8675062822047641e-29,1.6661507514047912e-29,7.6967617394601378e-36,5.9159321585880564e-36,8.6269219198400289e-36,1.6587612865661048e-45,9.060487662172687e-29,9.2896137959349728e-46
3.1e-14,0.002280942759401671,9.0584391917781759e-35,4.1219189267059558e-42,1.5998623693217458e-38,1.8249067732314074e-44,3.9948974880561031e-47,0.0,0.0,4.6513816531650413e-27,1.2561639996568501e-39,1.1683312572037106e-48,2.5713434515149941e-54,6.5911474613331639e-57,1.6828888836428719e-75,4.4989355118809508e-63,1.8131623211100195e-48,4.4659343040178125e-27,1.59985839693168e-38,3.187634220411326e-103,1.6294900835568294e-107,3.9324482516477254e-67,4.9372189230712659e-65,1.6614432915293884e-44,7.055730848547664e-53,4.0514475329085478e-42,6.0170492014515387e-72,1.3721791446982768e-61,2.8576896568864132e-36,3.1307083785009354e-41,3.8222714102818891e-29,9.3716157044573193e-53,3.3859029880320456e-72,6.4902024471203542e-68,6.0602042655428389e-53,4.0677149092336727e-88,7.1063766912772647e-68,3.8108401535709234e-33,3.5827808970160884e-45,4.9568332642734396e-49,6.0685890894311611e-55,9.2831453859948728e-35,1.0845625970465091e-76,1.8107689926236984e-72,1.3679900591831834e-65,3.8778203292723567e-56,3.2935470746570832e-49,3.4686815009272781e-67,1.62791585278376e-69,1.1857328052192664e-68,2.0952403472815531e-107,1.2393170423085092e-99,1.0282036923747514e-150,5.0561599312358423e-126,1.3224871425295835e-66,4.4567848504988571e-64,4.8989030949011611e-71,2.8500306015807473e-82,2.0930500801930494e-65,6.3889392798548875e-78,3.2203617236959635e-87,2.0610083551894057e-45,4.4370481008313845e-50,1.6585628761870643e-61,2.210836259112155e-60,3.3721151325939592e-92,6.3401409961377967e-103,5.8007348943287059e-94,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,3.4101570171378984e-29,3.8222773829107722e-29,3.4101577595408065e-29,3.2081425897340323e-35,2.4658624452653708e-35,3.5958493414561235e-35,1.3999912179581671e-44,1.854436260234826e-28,7.8404157843153065e-45
6.300000000000001e-14,0.002280942759401671,1.8323653973671385e-34,1.6734009600056444e-41,6.5195210615821941e-38,4.0263274514163427e-44,3.2696031823300997e-46,0.0,0.0,9.4089592403417591e-27,5.1189364230247535e-39,4.7602782805199468e-48,2.104190849591917e-53,5.3944760842703803e-56,1.3771031853546809e-74,1.8333331160967349e-62,7.3875556160602553e-48,9.0338227575710527e-27,6.5195048903341611e-38,5.2654012186264011e-102,5.4123306604250015e-106,3.2246260283683483e-66,4.0407648032410114e-64,3.3602062731843763e-44,5.7747263871437182e-52,1.6509856039526421e-41,1.2212841867473713e-70,1.1230424726737079e-60,1.164521499096329e-35,1.2757778650395881e-40,7.7317896543579949e-29,7.6701282244338163e-52,1.1108546044565888e-70,1.064782835128093e-66,9.9292860011645369e-52,2.6723824233796731e-86,5.8235555360443069e-67,1.5529368764241103e-32,2.932308497190831e-44,4.0541071595522779e-48,4.9710720844463655e-54,3.7829238526926117e-34,4.4196417846997705e-76,5.9534147973827769e-71,2.246201784778555e-64,6.3620011038905735e-55,2.695582596470715e-48,5.6907196411489664e-66,2.6684102885144727e-68,1.9453139332052611e-67,2.7579445389552385e-105,8.15404636630825e-98,1.4213434462901752e-148,1.9128283287438468e-124,2.1715020565582333e-65,7.317908018236733e-63,1.6106548746791398e-69,9.3626000193481302e-81,6.8713441947231035e-64,4.1947684854290502e-76,1.0558595541064297e-85,1.6868193720146929e-44,3.6265048614469894e-49,2.72105924287463e-60,3.6246856359455213e-59,2.2149912456991505e-90,8.4185139798589476e-101,3.6554379376121731e-92,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,6.8981649164143718e-29,7.7318139930717001e-29,6.8981679417421041e-29,1.3073344330025021e-34,1.0048516870056085e-34,1.4653269078428376e-34,1.1458153357495376e-43,3.7512112495131949e-28,6.4169468614091158e-44
1.2700000000000001e-13,0.002280942759401671,3.6853968101506343e-34,6.7403452283182822e-41,2.6309174720395301e-37,9.4439651198222455e-44,2.643397831862463e-45,0.0,0.0,1.8924114432446104e-26,2.0657221901590853e-38,1.920394953686575e-47,1.7006853087765353e-52,4.3612845944018045e-55,1.1129543063447856e-73,7.3982671586958258e-62,2.9802619965116114e-47,1.8169575962590459e-26,2.6309109594822128e-37,8.5519848816573751e-101,1.7676649063107168e-104,2.6169483162157175e-65,3.2667403942464333e-63,6.7558762068791193e-44,4.6687314119398513e-51,6.6624630720777103e-41,2.7321220304435485e-69,9.0793672961243679e-60,4.6993501031278439e-35,5.148317854724521e-40,1.5550766631331763e-28,6.2010837568344244e-51,3.5878673090304635e-69,1.7232090334950437e-65,1.6027042238535849e-50,1.728874453008335e-84,4.72014719360485e-66,6.2667928254905945e-32,2.3707029653133852e-43,3.2731550738128852e-47,4.0258920675711955e-53,1.5265740961494781e-33,1.7835174442091666e-75,1.9310035960368324e-69,3.6412532396482431e-63,1.0296204939323602e-53,2.1793091774336457e-47,9.2096695623952301e-65,4.3108848618599696e-67,3.1482321284653242e-66,3.5793222053674046e-103,5.2906756832700574e-96,1.9703218555203261e-146,7.6867839909015592e-123,3.5201894742242575e-64,1.1862820638799538e-61,5.2242088322501542e-68,3.0318084815081871e-79,2.222173173716686e-62,2.710351991510689e-74,3.4058508951505535e-84,1.3637504342279826e-43,2.9239372063860244e-48,4.4037376226708021e-59,5.8582772771063895e-58,1.4324152890072202e-88,1.0939329430148911e-98,3.4277967007821381e-90,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.3874160761366146e-28,1.5550864848453178e-28,1.3874172969895497e-28,5.2756766340768855e-34,4.0550255866868592e-34,5.9132466314587136e-34,9.2636456740693763e-43,7.5447612330429405e-28,5.1879502933680426e-43
2.55e-13,0.002280942759401671,7.3914134619115455e-34,2.7052284760648661e-40,1.0568961991104059e-36,2.4338375153883581e-43,2.1254654396438019e-44,0.0,0.0,3.7954424887657357e-26,8.2984755502642374e-38,7.7099078112689842e-47,1.3666531567929814e-51,3.5067216338791314e-54,8.9424337224807501e-73,2.9720034593278206e-61,1.1964760487863658e-46,3.6440987564772936e-26,1.0568935935296049e-36,1.3774594737509849e-99,5.7446240140590281e-103,2.1201379341055447e-64,2.6264750643155201e-62,1.3539800063861157e-43,3.7539665710374554e-50,2.6764548278054145e-40,6.8136922032796524e-68,7.3001359774000257e-59,1.8878193307179846e-34,2.0681783018636644e-39,3.1188482544189103e-28,4.9860209399448234e-50,1.14865226334304e-67,2.7721403555252642e-64,2.5648172295277698e-49,1.1099423866477796e-82,3.8145093140335245e-65,2.5175056435607154e-31,1.9062008776712664e-42,2.6246310618085969e-46,3.2481699176381726e-52,6.132541755109313e-33,7.1647326418799187e-75,6.2344560685510076e-68,5.8772583889746371e-62,1.6564085515576083e-52,1.7522973739509046e-46,1.4815665855337179e-63,6.910690379789519e-66,5.0645895376188829e-65,4.6229469830762382e-101,3.4165119264571959e-94,2.8361728211680502e-144,3.4105831831805639e-121,5.6819308918972265e-63,1.9147393752141911e-60,1.6867014185751884e-66,9.7565782801347123e-78,7.1324329412678166e-61,1.7356776571060132e-72,1.0875996186672224e-82,1.0965390442018671e-42,2.338263512896777e-47,7.084541051769454e-58,9.3992839922093974e-57,9.188922844213246e-87,1.4049464122853474e-96,3.9653982204794358e-88,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.7826072637321617e-28,3.1188877099966427e-28,2.7826121681475176e-28,2.1193522764793411e-33,1.6289918471716983e-33,2.3754777991950798e-33,7.4485733519284342e-42,1.5131861219994373e-27,4.1714504328738059e-42
5.11e-13,0.002280942759401671,1.4803262074805004e-33,1.0838793950179724e-39,4.2365340400924125e-36,7.0363329613514939e-43,1.7045988766376571e-43,0.0,0.0,7.601504608208143e-26,3.32643674213179e-37,3.0867044390512998e-46,1.0947439281152803e-50,2.8122902249113463e-53,7.1614023885599103e-72,1.1912860457092596e-60,4.7899583857566539e-46,7.2983431541648274e-26,4.2365236811118049e-36,2.208863467407541e-98,1.8725711806180923e-101,1.7258896924065845e-63,2.1060841601199661e-61,2.7078048459097702e-43,3.010637982399459e-49,1.072848173934592e-39,1.8609896003339472e-66,5.8541897377901778e-58,7.5671758502570664e-34,8.2901305660052494e-39,6.2462962234530675e-28,3.9986391503085931e-49,3.6480270317678047e-66,4.4469570436559083e-63,4.071837917401141e-48,7.0863125685273428e-81,3.0899912171812988e-64,1.0091339694188953e-30,1.5287512440023751e-41,2.093465987529314e-45,2.6227792412773806e-51,2.4581812790012922e-32,2.8719269338851718e-74,2.0134763757474738e-66,9.4907700119516041e-61,2.6573040429615289e-51,1.4053058327657174e-45,2.3766686736703367e-62,1.1008803449784302e-64,8.1244220064302786e-64,5.9719013511470333e-99,2.2067200892092685e-92,4.4013479131144692e-142,1.6900619649148083e-119,9.1755882395444814e-62,3.0919462922537705e-59,5.447416294573274e-65,3.1305450259936665e-76,2.276653194073974e-59,1.1026155333730718e-70,3.4368626935078904e-81,8.7940232709159251e-42,1.8550913942831323e-46,1.1365420422205717e-56,1.4998455492103008e-55,5.8573305869886617e-85,1.7874313544486153e-94,4.8840130097386472e-86,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,5.5729577137093004e-28,6.2464543770088354e-28,5.5729773727883911e-28,8.4953496476703515e-33,6.5297668800546811e-33,9.5220198837659269e-33,5.9736605442837601e-41,3.0306061273464249e-27,3.345451694435422e-41
