Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),HOCO(37),HCOH(38),CH3OO(39),CH3OOH(40),CH2OOH(41),C2H5O(42),C2H5O2(43),H2CC(44),C2H4O(45),C2H5O(46),cC2H4O(47),C2H5O2(48),C2H3O2(49),CHCHO(50),OCHCHO(51),HCCOH(52),CHCHOH(53),C2(54),C2O(55),C2H6O(56),C2H5O(57),C2H5O3(58),cC2H3O(59),HOCHO(60),C2H3O3(61),OCHCO(62),C2H6O2(63),C2H5O2(64),C2H4O2(65),HOCH2O(66),OCHO(67),C2H4O3(68),C2H3O2(69),N2,Ne,C7H16(1),O2(2),CH4(3),C4H9(99),C5H11(101),C3H7(100),S(160),S(162),S(161),S(177),C7H15(105),S(194),S(267),S(266),S(268),C7H15(102),S(310),C7H15(103),S(829),S(830)
0.0,0.0021400133326598993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0021400133326598993,4.3042489593998393e-37,7.0399829853656015e-46,3.9667692100015694e-42,2.1755369980613353e-46,8.252253094232853e-52,0.0,0.0,3.4381865838855625e-29,6.8403629187942305e-43,6.5982027072331661e-53,8.2260941019188721e-60,3.1800057269710735e-62,8.0146582594746931e-82,7.8966519559469889e-68,1.0158092921480266e-52,3.1668957237379045e-29,3.9667629719860217e-42,-7.2768117576605879e-112,1.0343158163758192e-109,2.7194264859779242e-73,3.6311619984291615e-71,1.8531715010161638e-47,1.2251390775085057e-57,6.5929750956945535e-46,3.7896337519958365e-79,2.2919506547139389e-67,4.3538234763740481e-40,8.1614318131526573e-45,1.1299256403784646e-31,3.9443618334847341e-58,1.152962789334834e-80,6.5456345783407874e-75,9.9317867401269179e-60,4.9797894433809627e-98,9.1288395500611772e-74,1.4130603101942575e-36,1.1106048211941252e-49,2.9576688493780832e-54,9.2639342607404964e-61,1.4373615245739661e-38,3.9515217524508623e-82,4.9063713388744231e-81,7.2420022038309077e-73,6.5597116454854631e-63,1.3632614983657603e-54,3.802296930809992e-74,1.4828866523185101e-76,1.1604745529574387e-75,1.0655183871785048e-114,1.186263023578789e-105,-1.3124183421568255e-156,-2.9158719012211851e-148,7.3638726068649135e-73,2.0746044168531603e-71,1.8039123108007603e-79,5.5827096459488447e-91,1.5157137424987823e-73,1.4623371491747819e-87,6.7657543042220141e-96,3.037986760027523e-50,1.1942195790895156e-55,1.5979249529130074e-68,4.0031268437424537e-67,2.7779711172823753e-102,-1.0105341838157396e-114,-3.4056411907978848e-103,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,9.7501236481737954e-32,1.1299257353170215e-31,9.7501237522810731e-32,4.5862090214793563e-39,3.5452149713855486e-39,5.3148819316924563e-39,6.3557734730362629e-50,1.1815091059482862e-30,3.8506399948426325e-50,4.5312745120983492e-37,2.437539769971756e-56,1.4767814125366582e-56,1.0209316480083138e-30,4.5490970199362387e-48,5.1046582400414103e-31,3.9154345336703458e-37,1.9577172668351127e-37
3.0000000000000002e-15,0.0021400133326598993,1.4142530668848769e-36,4.4998992592925648e-45,2.6067340014785568e-41,1.368748060994566e-45,7.7806956688637558e-51,0.0,0.0,1.1296898775766785e-28,4.4950956323751992e-42,4.335944903422665e-52,7.756009850593333e-59,2.9982909218411552e-61,7.5566520894217501e-81,5.1892279181077206e-67,6.6752913704864242e-52,1.0405514056543952e-28,2.6067299024472492e-41,4.3057821858003872e-110,1.2708061115729675e-108,2.564229481864937e-72,3.4236657544438087e-70,6.0889369158331153e-47,1.1551311144715065e-56,4.3325264066949129e-45,4.6748455825287359e-78,2.1609816292016515e-66,2.861083835767984e-39,5.3632263144613526e-44,3.7126123318117369e-31,3.7189694951624406e-57,1.7458875998958294e-79,8.041778435835262e-74,1.2201673076442158e-58,8.8406003617948003e-97,8.6132405414890525e-73,9.2858247154076799e-36,1.0471416743958603e-48,2.7886245253362948e-53,8.7420820750949603e-60,9.445518051816773e-38,2.5967141481773389e-81,7.4336279075850624e-80,8.9031916436936087e-72,8.0590740513100529e-62,1.2853607881133637e-53,4.6713926808881725e-73,1.8218128214539982e-75,1.4257256722529685e-74,1.9179422364875103e-113,1.7963513252109285e-104,7.0259369011699111e-155,6.4634056032193862e-135,9.055007790493768e-72,2.550482573427444e-70,2.7331019603426928e-78,8.4538168301444546e-90,2.2952057331164853e-72,2.6321720134180672e-86,1.024510789755107e-94,2.864387402835646e-49,1.1259500413913236e-54,1.9631648797893171e-67,4.9180798997209768e-66,4.9860901370555258e-101,5.1104398117908357e-113,1.9215270657479477e-101,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,3.2036119051369158e-31,3.71261295569363e-31,3.203611973550266e-31,3.0137944381742549e-38,2.3297126586514468e-38,3.4926366265278267e-38,5.9925856244926569e-49,3.8820998593365203e-30,3.6306029464994864e-49,2.9776941828394115e-36,2.9946914132717781e-55,1.814331266660641e-55,3.3544884141666888e-30,4.2891481203045218e-47,1.6772442070832943e-30,2.5729994073743448e-36,1.2864997036871335e-36
7e-15,0.0021400133326598993,3.13595140615536e-36,2.4049372759449804e-44,1.4167030819888936e-40,7.2429373688165364e-45,1.2567000833645857e-49,0.0,0.0,2.5049645112401727e-28,2.4429867568130184e-41,2.3564321162407233e-51,1.2526809344079022e-57,4.8426912803766591e-60,1.22047576274564e-79,2.8202307602599021e-66,3.6277808450657226e-51,2.307309339852169e-28,1.4167008550892945e-40,8.3137183607950699e-109,6.4324747139864845e-107,4.1445622437300705e-71,5.5297200893927e-69,1.3501200848109027e-46,1.8657115365491604e-55,2.3546336169211522e-44,2.4800162104963701e-76,3.490306583862507e-65,1.5549362908403424e-38,2.9147958292360271e-43,8.2323111699735357e-31,6.0066957572178046e-56,2.8826720344491294e-77,4.0676365239795359e-72,6.1703417421036497e-57,4.7771308694558859e-94,1.391332632200386e-71,5.0466432299488962e-35,1.6912922523505672e-47,4.5035378318224137e-52,1.4118667892569333e-58,5.1334318203142926e-37,1.4112571668056449e-80,1.227965878989024e-77,4.5038881673018492e-70,4.0763905528656819e-60,2.0760516367767355e-52,2.3628514028199504e-71,9.2138085767388578e-74,7.2115068135107699e-73,1.0678976999456744e-110,2.9669416916127019e-102,2.5775842628299657e-152,6.2324971255576261e-133,4.5801754852953205e-70,1.2902211421209835e-68,4.5148299639409386e-76,1.3961542604953712e-87,3.7901115362349672e-70,1.4651037951552288e-83,1.691552221217926e-92,4.6264179694454481e-48,1.81815929455443e-53,9.9299581052862689e-66,2.4873458641664914e-64,2.7600483260484539e-98,7.9357214326523693e-110,1.6554488079636035e-99,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,7.1036602112881615e-31,8.232314560634293e-31,7.1036605830997601e-31,1.6379315418329723e-37,1.2661480537979021e-37,1.8981718269803057e-37,9.6789220117106791e-48,8.6081248907477015e-30,5.8639667849503284e-48,1.6183102998705838e-35,1.514754856541116e-53,9.1771295955306657e-54,7.4382051622119376e-30,6.927616705122562e-46,3.7191025811058567e-30,1.3983677258394794e-35,6.991838629197187e-36
1.5e-14,0.0021400133326598993,6.5793449169085489e-36,1.0574261443380796e-43,6.2674931142105999e-40,3.1728691342509059e-44,1.1687544270501299e-48,0.0,0.0,5.2555137788453011e-28,1.0807773412782849e-40,1.0424417124915156e-50,1.1649698296194384e-56,4.5037895967517812e-59,1.1350098470898296e-78,1.2476687626239729e-65,1.6048605078963677e-50,4.840824303854758e-28,6.26748326854181e-40,1.4924662575671427e-107,1.2384496347922659e-105,3.858815182730634e-70,5.1427159374374755e-68,2.8324654443128788e-46,1.7351463926937138e-54,1.0416896918301846e-43,5.102355916655876e-75,3.246041605810607e-64,6.8790339145055461e-38,1.2895048805712347e-42,1.727169936868583e-30,5.5863347047621621e-55,1.1305546455556577e-75,7.8231195738048284e-71,1.1863064423968529e-55,3.7800714444267216e-92,1.2948341054952741e-70,2.2326344967064094e-34,1.5729332203617335e-46,4.1876258904664419e-51,1.313906173370238e-57,2.2710288384169856e-36,6.2433978621798299e-80,4.8204726437368325e-76,8.6674537736821266e-69,7.839972218146604e-59,1.9307658231683307e-51,4.5443758086760069e-70,1.771720364895247e-72,1.3869597838995757e-71,8.4720010327291795e-109,1.1641447163973807e-100,1.9811891180579551e-150,2.9235200652288612e-131,8.8142314952518773e-69,2.4829499521428055e-67,1.772331045416658e-74,5.4774361791162207e-86,1.4866987773463854e-68,1.1617840227460371e-81,6.6338721121048921e-91,4.3026530535676805e-47,1.6903088365045927e-52,1.9097923681055353e-64,4.7829948436357361e-63,2.187966179882895e-96,1.219657868566445e-107,6.4542237957523001e-98,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.4903753888381848e-30,1.7271714368956463e-30,1.4903755533275717e-30,7.2462075386505249e-37,5.601438032775005e-37,8.3975103057914256e-37,9.0015619342540625e-47,1.8060145954888207e-29,5.4535888189872952e-47,7.1593918615774693e-35,2.9132687176924965e-52,1.7650014309716172e-52,1.5605613600972249e-29,6.4428027408734227e-45,7.8028068004858889e-30,6.1863676684368835e-35,3.0931838342183477e-35
3.1e-14,0.0021400133326598993,1.3466119267287125e-35,4.3950615302696738e-43,2.6123988568960298e-39,1.3164960697916791e-43,9.8642647162115471e-48,0.0,0.0,1.0756612315168115e-27,4.5048675803539388e-40,4.3447207523040546e-50,9.8315483734215076e-56,3.8011842685124233e-58,9.5785445601656532e-78,5.2004891949002253e-65,6.6887690765287298e-50,9.9078506142906833e-28,2.6123947580488619e-39,2.5599466824667025e-106,2.1100677175718695e-104,3.2639538873120272e-69,4.340398370233357e-67,5.7967265177839491e-46,1.4644601909707018e-53,4.341941676517893e-43,9.792644685617634e-74,2.7396389528177843e-63,2.8672973031929635e-37,5.3748737270112879e-42,3.5350437855744719e-30,4.7148491100581973e-54,3.8568534876643856e-74,1.3301028677869497e-69,2.0156050271484433e-54,2.5837823040974911e-90,1.0944026281096657e-69,9.3060043495563125e-34,1.3275525923148531e-45,3.5331086721443612e-50,1.1103951330420849e-56,9.46603104843475e-36,2.6023534811365812e-79,1.6476564609612443e-74,1.4755361753356816e-67,1.3329736940304985e-57,1.6295613331672412e-50,7.7264411104618036e-69,3.0111936579941788e-71,2.3581377464759267e-70,5.7975211949034987e-107,3.9751101950492157e-99,1.4094802006136847e-148,1.1401161518844377e-129,1.5005270262886077e-67,4.2269396532652895e-66,6.0579004587151649e-73,1.8698724485953555e-84,5.0735599628680895e-67,7.9429983982505017e-80,2.262974313686989e-89,3.6314281586536375e-46,1.4256019639117052e-51,3.2470816438003771e-63,8.1294042987369258e-62,1.4960917342077953e-94,1.7043315909139262e-105,2.626452333841226e-96,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,3.0503929501742844e-30,3.5350500379374441e-30,3.0503936357940784e-30,3.020343789657763e-36,2.3347758323162722e-36,3.5002265622198362e-36,7.5972753445394358e-46,3.6964072089153585e-29,4.6028030697359442e-46,2.9841482996021896e-34,4.9532075048162205e-51,3.0008967215341221e-51,3.1940330249787191e-29,5.4376972610380459e-44,1.5970165124893114e-29,2.5785763537066147e-34,1.2892881768532682e-34
6.300000000000001e-14,0.0021400133326598993,2.7239617283719542e-35,1.7885404635786687e-42,1.0645658276895137e-38,5.3528831906897592e-43,8.073355853576575e-47,0.0,0.0,2.1758809392263967e-27,1.8357579692865221e-39,1.7702072627510691e-49,8.0453153147809157e-55,3.1110505245560937e-57,7.8380136744261069e-77,2.1192187795711323e-64,2.7252485150992824e-49,2.0041888764906183e-27,1.064564161445396e-38,4.2567450648880977e-105,3.4762881993812879e-103,2.6829920869197654e-68,3.552304645886795e-66,1.172353058068969e-45,1.1985797787684875e-52,1.7693633222438443e-42,1.9722957137643023e-72,2.2422205213613683e-62,1.1684363981626621e-36,2.1902849374906937e-41,7.1507763189035634e-30,3.8588328865551278e-53,1.2653067871373686e-72,2.1821652499479564e-68,3.3022952955398624e-53,1.6972331703588445e-88,8.98283517208408e-69,3.792244141545139e-33,1.0865284781349792e-44,2.8896328226293975e-49,9.1118709780625477e-56,3.8574497328199917e-35,1.0604706128537768e-78,5.4262593022168556e-73,2.4269357262349377e-66,2.1868931596316358e-56,1.3337038583621359e-49,1.2675990373883199e-67,4.9364899725073341e-70,3.868758812782709e-69,3.8132569372613595e-105,1.3065095554057644e-97,9.7452154947153927e-147,4.4995657525705886e-128,2.4680511645635894e-66,6.9523875110793947e-65,1.9950624732321661e-71,6.1427063945964503e-83,1.6656021310046023e-65,5.2148744566076482e-78,7.4230840567502131e-88,2.9721190023958472e-45,1.165122114997021e-50,5.3272023802068741e-62,1.3328117678892394e-60,9.8268002829554263e-93,2.2629278055972268e-103,1.3861549081525916e-94,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,6.1704233765230006e-30,7.1508017975386818e-30,6.1704261704565781e-30,1.2308054135887556e-35,9.5143317993618666e-36,1.4263600775555737e-35,6.2179086558625705e-45,7.4771460387316293e-29,3.7671150734128365e-45,1.2160480785119258e-33,8.1262533189468734e-50,4.9232841727412984e-50,6.4609362637514811e-29,4.4504291352657971e-43,3.2304681318756436e-29,1.050776471649911e-33,5.2538823582493976e-34
1.2700000000000001e-13,0.0021400133326598993,5.4786410580777362e-35,7.2126301172678952e-42,4.2959971816638589e-38,2.1577472670338615e-42,6.5271187795250398e-46,0.0,0.0,4.3763203564256376e-27,7.4081130477993283e-39,7.1412485671744179e-49,6.5024067118634372e-54,2.5151970428479166e-56,6.3344334732236487e-76,8.5519347947566408e-64,1.0993891971283693e-48,4.03099071852771e-27,4.2959904903453822e-38,7.0477039498979696e-104,5.672858289401358e-102,2.1879253270601947e-67,2.8718390938445421e-65,2.3570270352807469e-45,9.6902362287681637e-52,7.1401688851872977e-42,4.3726991759347739e-71,1.8127460801683648e-61,4.7151463214834551e-36,8.8387472096603413e-41,1.438218072973978e-29,3.1197585505949221e-52,4.0863459083914165e-71,3.5315371009538564e-67,5.3297994398531605e-52,1.0979543106671122e-86,7.3040831175719751e-68,1.5303393969639717e-32,8.7843278717277603e-44,2.3329398943292335e-48,7.4053616908091321e-55,1.5566478349673526e-34,4.2794576728246093e-78,1.7659226305570562e-71,3.9476417465731397e-65,3.5392469384341765e-55,1.0782648985929305e-48,2.0514362745738514e-66,7.9771838496322418e-69,6.2610612541572856e-68,2.4726540456608932e-103,4.2350025967035696e-96,6.8498200354128212e-145,1.9157434134252154e-126,4.0145528324261291e-65,1.1308693899731393e-63,6.4927488849741026e-70,1.9891462104607579e-81,5.3864205492817134e-64,3.3691628823605847e-76,2.3966701125300317e-86,2.4028814039478666e-44,9.3931114028834779e-50,8.6214932958782026e-61,2.1540762495315873e-59,6.3547279563316599e-91,2.940263743088137e-101,1.1171350328199935e-92,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.2410465443983058e-29,1.4382283546877272e-29,1.2410476718733312e-29,4.9668475358515526e-35,3.839457757736104e-35,5.7559976254968074e-35,5.0269660144242797e-44,1.5038438114772424e-28,3.0455837116833009e-44,4.9072347235575855e-33,1.315132014785069e-48,7.9677177171594128e-49,1.299458238127238e-28,3.5980259319631627e-42,6.4972911906359936e-29,4.2402984573555677e-33,2.1201492286777195e-33
2.55e-13,0.0021400133326598993,1.098791862435994e-34,2.8964830348358528e-41,1.7257940476566003e-37,8.6633432629655176e-42,5.2482306238692954e-45,0.0,0.0,8.7771991979442878e-27,2.9760073846999309e-38,2.8669256510651269e-48,5.225080062939345e-53,2.0223600027832558e-55,5.0894167241309325e-75,3.4354497618497615e-63,4.4135127978974239e-48,8.0845712503900959e-27,1.7257913858937851e-37,1.2056407802202988e-102,9.2769944177920564e-101,1.7894457169767447e-66,2.3089602764643135e-64,4.7236308304980105e-45,7.7915839537177472e-51,2.8683586811597333e-41,1.0816705035145928e-69,1.4575076212883644e-60,1.8941632885904231e-35,3.5506916012799094e-40,2.884474693219447e-29,2.5084622146075095e-51,1.3080014182324865e-69,5.6811918937169689e-66,8.5277357898290068e-51,7.0486038830263506e-85,5.9399823068446692e-67,6.1477011052945998e-32,7.0631745423948774e-43,1.8706148435889433e-47,6.0165054519206905e-54,6.2533481969679108e-34,1.7191389336269957e-77,5.739404087796377e-70,6.4148511129907945e-64,5.6937824846218314e-54,8.6699010737083212e-48,3.3001501587756925e-65,1.2794948476136992e-67,1.0072191065797638e-66,1.5948093924472742e-101,1.3656287323773766e-94,5.0843968106769284e-143,9.06455576290153e-125,6.5236849140660638e-64,1.837635352970696e-62,2.1102100699623653e-68,6.4012647245263046e-80,1.7288038430551769e-62,2.1571825390698017e-74,7.6674749036983897e-85,1.9320625159003582e-43,7.5102092426083755e-49,1.3869873555946806e-59,3.4559810610868064e-58,4.0763673830892805e-89,3.7755185973268711e-99,1.2115214351496252e-90,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.4890474438406081e-29,2.8845159966623219e-29,2.4890519731364052e-29,1.9952886737989692e-34,1.5423933417453589e-34,2.3123071104809192e-34,4.0419015161774807e-43,3.0160279968928914e-28,2.4487835855502719e-43,1.9712924179236583e-32,2.1156837353830361e-47,1.2817856934143833e-47,2.6061233207704282e-28,2.89298140701922e-41,1.3030616603851744e-28,1.7033764796978089e-32,8.5168823984887858e-33
5.11e-13,0.0021400133326598993,2.2006149393954327e-34,1.1608480885833246e-40,6.9177851074090149e-37,3.4716863705023965e-41,4.2090183097201552e-44,0.0,0.0,1.7578956909461304e-26,1.1929299815914931e-37,1.147703353889922e-47,4.1851996367427896e-52,1.6218716741515245e-54,4.0754360976313664e-74,1.3770515149155462e-62,1.7667654535456256e-47,1.6191639706325561e-26,6.9177746485268937e-37,2.3335461191615063e-101,1.5366136461420567e-99,1.4835643083175454e-65,1.8514598558808109e-63,9.4458871833681119e-45,6.2487571760694265e-50,1.1497715215608242e-40,2.9380939586281994e-68,1.1688093302968526e-59,7.5925915855913517e-35,1.4232643622197961e-39,5.7768908892792775e-29,2.0117121432537629e-50,4.1526170555801514e-68,9.113475795105216e-65,1.3533493200684113e-49,4.4998042746479515e-83,4.8712976697109989e-66,2.4642845707975032e-31,5.6645818267973188e-42,1.4919031439775234e-46,4.9247834210985461e-53,2.5066011440249132e-33,6.8910214238646445e-77,1.8778559955218953e-68,1.049657923301659e-62,9.1342753518692194e-53,6.9530700537818263e-47,5.2939307552553347e-64,2.0404252344127513e-66,1.615731419949412e-65,1.0277314274495616e-99,4.4001512068293368e-93,4.1553267694848914e-141,4.7551528793838669e-123,1.0675002978636802e-62,3.0068836794571219e-61,6.9043862157780172e-67,2.0539734761563667e-78,5.5179344180332382e-61,1.3698952212797161e-72,2.4317292492139833e-83,1.5494728311889571e-42,5.9560829337365245e-48,2.2250805066367386e-58,5.5143496209608613e-57,2.598192771619468e-87,4.8016573604604363e-97,1.4640400159356022e-88,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,4.9850191868883067e-29,5.777056449458449e-29,4.9850373423097258e-29,7.9980422941437454e-34,6.1826374487807842e-34,9.2687992100874857e-34,3.2413833665962432e-42,6.0400994777048088e-28,1.9637909276846716e-42,7.9014652629721208e-32,3.3939602841746242e-46,2.0562295450411682e-46,5.2191969478012702e-28,2.3200292712361793e-40,2.6095984739005562e-28,6.8275868121361802e-32,3.4137934060679861e-32
