Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),HOCO(37),HCOH(38),CH3OO(39),CH3OOH(40),CH2OOH(41),C2H5O(42),C2H5O2(43),H2CC(44),C2H4O(45),C2H5O(46),cC2H4O(47),C2H5O2(48),C2H3O2(49),CHCHO(50),OCHCHO(51),HCCOH(52),CHCHOH(53),C2(54),C2O(55),C2H6O(56),C2H5O(57),C2H5O3(58),cC2H3O(59),HOCHO(60),C2H3O3(61),OCHCO(62),C2H6O2(63),C2H5O2(64),C2H4O2(65),HOCH2O(66),OCHO(67),C2H4O3(68),C2H3O2(69),N2,Ne,C7H16(1),O2(2),CH4(3),C4H9(99),C5H11(101),C3H7(100),S(160),S(162),S(161),S(177),C7H15(105),S(194),S(267),S(266),S(268),C7H15(102),S(310),C7H15(103),S(829),S(830),S(859),S(882),S(752),S(926)
0.0,0.0027130575094211416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0027130575094211416,7.9817323821235121e-31,1.3302979819734309e-39,7.5240158191259885e-38,2.1202351332532726e-39,3.2308642968223926e-47,0.0,0.0,1.1872102708687697e-25,2.1606036073287633e-38,2.6112390990019715e-45,3.1067912476658433e-52,1.6811026403030462e-55,7.1107177915655798e-70,1.5838748207278101e-57,4.1960686569383132e-45,1.0326345601802543e-25,7.515294772828137e-38,-2.1154726180048329e-95,2.1464635361775213e-93,3.0022558330635202e-62,2.9209210692374737e-60,9.2977769170783059e-40,5.9431123420005277e-52,1.1067588862851192e-40,1.3718298809078007e-69,2.679858162759223e-58,9.1484507943817603e-35,1.2530178962182361e-38,3.1316159104145195e-26,3.7074225563192234e-51,2.8432912167971203e-70,7.4649407206381221e-66,7.4615914134585119e-52,1.3348599135124372e-85,4.5572867256665362e-64,2.9657573446130384e-33,2.4414965526857597e-45,4.2248994765297467e-48,1.4616973915988993e-51,2.5868789435263867e-33,2.7346370048711729e-68,3.5454874723850994e-70,2.2145406767848716e-62,3.7750450602137604e-55,1.2424318946268562e-47,2.7367178874400803e-65,2.6656224697396474e-67,1.4417533770828741e-66,3.5355369043692611e-100,1.4947012346624205e-91,-3.7237435790460124e-133,-2.0907216624284672e-125,4.0497143957148213e-63,1.0856468913990185e-60,2.7668686227829685e-69,2.2277520794244057e-79,6.4384753867473123e-65,2.2959490642568386e-77,2.3451205168222167e-84,2.9417896016616458e-44,9.7413156041022599e-48,1.9803768714399964e-59,1.8837420442483239e-59,2.0134909685671563e-89,-8.5282328651017996e-101,-6.0494588786918498e-91,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,3.2210728965471055e-26,3.1316160553448501e-26,3.2210729284491831e-26,1.2578512832705966e-33,9.4011243939553661e-34,1.22291776712114e-33,3.2560262676138289e-43,6.8041742335036908e-27,1.3023489638464284e-43,2.0583356905442174e-33,9.849828717111755e-50,3.9397453090644853e-50,5.7694581865866978e-27,7.7253542428641897e-44,2.8847290932932621e-27,1.7453229881225686e-33,8.7266149271950132e-34,1.3417562136179798e-42,4.0589564696762573e-49,3.028765884899114e-59,2.2448807276550211e-65
3.0000000000000002e-15,0.0027130575094211416,2.6225690682352916e-30,5.0211686000569425e-39,4.9443531898467955e-37,1.0877967297895145e-38,3.0462434529189867e-46,0.0,0.0,3.900833750026061e-25,1.4198252281298739e-37,1.7159517268778337e-44,2.9292536543365856e-51,1.585039553702552e-54,6.704372327419064e-69,1.0408319144291549e-56,2.7574075443078794e-44,3.3929420288707456e-25,4.938622217626765e-37,1.2511591143391344e-93,2.6370876874708747e-92,2.8307045461218074e-61,2.7540104915007195e-59,3.0549614391010058e-39,5.6035058726562802e-51,7.2729868742716556e-40,1.6938045361086438e-68,2.5267230671614752e-57,6.01183887569437e-34,8.2341172980908898e-38,1.0289594255796453e-25,3.4955695723945274e-50,4.305492882645491e-69,9.1712134939555128e-65,9.1669345560119369e-51,1.7895518350576752e-84,4.2969171455733925e-63,1.9489262306357399e-32,2.301982444567854e-44,3.9834266877615256e-47,1.3787236259573634e-50,1.6999489568884934e-32,1.7970478212203253e-67,5.3702186428630255e-69,2.7215573256035466e-61,4.6379123725694857e-54,1.1714357435842017e-46,3.3622530538136508e-64,3.2748229621095842e-66,1.7712968325128881e-65,6.3641528917729044e-99,2.2634835544916069e-90,1.9895630832937727e-131,2.329664979670708e-115,4.978135930324001e-62,1.3342045211687273e-59,4.1908740385665151e-68,3.3734516883508341e-78,9.7496088738718711e-64,4.1326579370752487e-76,3.5509251900380836e-83,2.7736872669466633e-43,9.1844555883730389e-47,2.4330343738682006e-58,2.3142875384923956e-58,3.0529631964412439e-88,4.3128679060034589e-99,3.5424211577357326e-89,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.0583524817810685e-25,1.0289595208195715e-25,1.0583525027452889e-25,8.2658797198391152e-33,6.1778816661198081e-33,8.0363166180465766e-33,3.0699672825786563e-42,2.2356565719514318e-26,1.2279288920598955e-42,1.352620417466647e-32,1.2101217099929756e-48,4.8402581229703637e-49,1.8956785450966622e-26,7.2839047565017702e-43,9.4783927254830241e-27,1.1469263833106632e-32,5.7346319039022962e-33,1.2650841685948038e-41,4.9867171552060395e-48,4.5864157824835941e-58,4.0407844730274816e-64
7e-15,0.0027130575094211416,5.8152609265649211e-30,1.5317723055789381e-38,2.6871482509264776e-36,4.9290230386585923e-38,4.9201443296228168e-45,0.0,0.0,8.6496748555838987e-25,7.7164414733783858e-37,9.3256338006927901e-44,4.7310898077752464e-50,2.5600778733262943e-53,1.0828299787694962e-67,5.6566912749981988e-56,1.4985592228669112e-43,7.5234795239961232e-25,2.6840335958646961e-36,2.4139263890018544e-92,1.333895031843825e-90,4.5720987255624596e-60,4.4481323394294611e-58,6.7739007629444813e-39,9.0505102630790942e-50,3.9527099297619662e-39,9.0782009171420553e-67,4.0810355056311099e-56,3.2673029666900509e-33,4.4750626680993402e-37,2.2816051175613485e-25,5.6458705468545201e-49,7.1090230514671723e-67,4.6389314510219654e-63,4.6357710586559628e-49,3.2855992435710652e-82,6.9401843802458633e-62,1.0591989521131281e-31,3.7180501351664458e-43,6.4330980792200459e-46,2.2265332272919602e-49,9.2388507934979495e-32,9.7665651571960199e-67,8.8690557817403327e-67,1.3765363040399751e-59,2.3459200038464828e-52,1.8920455828271629e-45,1.7006723798900195e-62,1.6559373628208616e-64,8.9594559937435422e-64,3.5450745025942946e-96,3.7401071385639208e-88,7.2632730273007139e-129,2.1892981312566652e-113,2.5175697781332345e-60,6.7482703469698607e-58,6.9213400291950523e-66,5.5712512494569617e-76,1.6099537812233098e-61,2.3003385086794804e-73,5.858046349979114e-81,4.479924128618471e-42,1.4831128666560145e-45,1.2306623215774713e-56,1.1704525131216949e-56,1.0762606633462065e-85,6.697351370767384e-96,3.6917995049670997e-87,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.3467813238285775e-25,2.2816056351694603e-25,2.3467814377645351e-25,4.4923254337349899e-32,3.3575441062165825e-32,4.3675628937347961e-32,4.9584572569353645e-41,4.9573210909603356e-26,1.9832892711452265e-41,7.3511915843983256e-32,6.1209581589805506e-47,2.4482676706737604e-47,4.2034574323374099e-26,1.1764599847626777e-41,2.1017287161686415e-26,6.2332901951122375e-32,3.1166450771230118e-32,2.043298741899004e-40,2.5223463024290966e-46,7.5744810815556234e-56,2.2496823755579939e-61
1.5e-14,0.0027130575094211416,1.2200641857175235e-29,4.8575386174503411e-38,1.1887942231964051e-35,2.0230353704668279e-37,4.5758259549103741e-44,0.0,0.0,1.8147357122910182e-24,3.4137537196919026e-36,4.125520179225969e-43,4.3998583130882968e-49,2.3809187560362505e-52,1.0070117296627262e-66,2.5025173450288288e-55,6.6293920654233552e-43,1.5784552616367589e-24,1.1874163025551209e-35,4.3284771574792816e-91,2.5654869735214327e-89,4.2522548982520139e-59,4.1368291971866259e-57,1.4211343041555955e-38,8.4171432719941035e-49,1.7486786318820088e-38,1.893099306355312e-65,3.7954321680417468e-55,1.4454542665132909e-32,1.9797669300357704e-36,4.7868947905120988e-25,5.2507597793523444e-48,2.7881619635530886e-65,8.9219022175772795e-62,8.9129538911665155e-48,2.2049068991094414e-80,6.4545681598838529e-61,4.6858955301028669e-31,3.4578559488395435e-42,5.9818230379683624e-45,2.0710190844366979e-48,4.0872659499498786e-31,4.3207271559277489e-66,3.4800026785039791e-65,2.6478047586227688e-58,4.5118220777676219e-51,1.7596369659283578e-44,3.2708364492445678e-61,3.1833252198147853e-63,1.7231372072106926e-62,2.8141870464888668e-94,1.4684405402750004e-86,5.5156683330501425e-127,9.8094415707820751e-112,4.8425901297048284e-59,1.2980474967834915e-56,2.7157677752114162e-64,2.1857137783813379e-74,6.315072847069012e-60,1.8241492710541431e-71,2.2946464424151221e-79,4.1664119394552214e-41,1.3788621180409562e-44,2.366887798245279e-55,2.2506676222755487e-55,8.1611230179384855e-84,1.0293577732299304e-93,2.2467492342762075e-85,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,4.9236382021059635e-25,4.7868970804090449e-25,4.9236387061584756e-25,1.9874044037262479e-31,1.4853773086216112e-31,1.9322094672902557e-31,4.6114509078317659e-40,1.0400636957836233e-25,1.8444934022005469e-40,3.2521625001359084e-31,1.1772202549001836e-45,4.7086589786958609e-46,8.819004038940268e-26,1.0941284054744628e-40,4.4095020194700014e-26,2.7576036385613121e-31,1.3788018002775609e-31,1.9003005190206971e-39,4.8511248803176819e-45,2.9716331343504646e-54,1.7845245819853379e-59
3.1e-14,0.0027130575094211416,2.497139257420927e-29,1.6574889676222251e-37,4.9550993670988611e-35,8.1308500635903499e-37,3.8619887561229137e-43,0.0,0.0,3.7142721882404872e-24,1.4229118223087873e-35,1.719474200765485e-42,3.7132346386394605e-48,2.0094887729747346e-51,8.4984918961024805e-66,1.0430903303287496e-54,2.7630551169793841e-42,3.2306691209596886e-24,4.9493559771262443e-35,7.4058557538647178e-90,4.3620981141195891e-88,3.5890901482839262e-58,3.4914484288226586e-56,2.9084482327353252e-38,7.1040535535735129e-48,7.288794141859179e-38,3.712561475107254e-64,3.2033263233607418e-54,6.0248997005330669e-32,8.2520057772729458e-36,9.7974672923723309e-25,4.4316232373359519e-47,9.5122423181306634e-64,1.5169317107217723e-60,1.5144464555955393e-46,1.4419692744576506e-78,5.4477649691857356e-60,1.9531620868282427e-30,2.9184241209252039e-41,5.0468611918479526e-44,1.7484831698825606e-47,1.7036420652085952e-30,1.8009527882317235e-65,1.188346674551848e-63,4.503227420904456e-57,7.6711253238238577e-50,1.4851292272158632e-43,5.5611519639989034e-60,5.407414970507958e-62,2.9297184854124018e-61,1.9281872180545236e-92,5.0204541092635967e-85,3.8439453492169409e-125,3.5406309263482708e-110,8.2359989456796797e-58,2.2076394947930295e-55,9.2737784498837777e-63,7.4614158020087543e-73,2.1550442139713304e-58,1.2472185987182305e-69,7.8090958500102873e-78,3.5164423808823649e-40,1.162994355993441e-43,4.0242484332876019e-54,3.8252337257880455e-54,5.5192754196689675e-82,1.4384859517389031e-91,1.9416056970888707e-83,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.0077348735392229e-24,9.7974768370494068e-25,1.007735083636928e-24,8.2838435657013932e-31,6.1913088198575009e-31,8.0537815806163891e-31,3.8920449042350412e-39,2.1287216007277228e-25,1.5567447628418749e-39,1.355553993022513e-30,2.0015384900286248e-44,8.0057773634423155e-45,1.8050052580848974e-25,9.2344019979983395e-40,9.025026290424216e-26,1.1494138549980121e-30,5.7470691146049457e-31,1.6038412091765196e-38,8.2479789274453601e-44,1.0144406509917147e-52,1.2208689740599615e-57
6.300000000000001e-14,0.0027130575094211416,5.0512849431604315e-29,6.0272839550953149e-37,2.0192287852453181e-34,3.2536652414462539e-36,3.1608253384357515e-42,0.0,0.0,7.5133452300760316e-24,5.7984429188392907e-35,7.0060233576927849e-42,3.03869019977889e-47,1.6446522379040767e-50,6.9544565406213593e-65,4.2506306445815709e-54,1.125805238517783e-41,6.5350938030028891e-24,2.0168883409155229e-34,1.2235464048621236e-88,7.1571223830124225e-87,2.9377905947407126e-57,2.8575129739493499e-55,5.8823781451870509e-38,5.8142770062328509e-47,2.9702215453766716e-37,7.7044981399436445e-63,2.6217275962327941e-53,2.4551755571969473e-31,3.3627318503099982e-35,1.9818584920002563e-24,3.6270260532671417e-46,3.120988173847055e-62,2.4887143069056384e-59,2.4814851020896251e-45,9.365280839507526e-77,4.4588953952936013e-59,7.9592372294568151e-30,2.3885696087088428e-40,4.1276645434528347e-43,1.4319338324450988e-46,6.9424229482884866e-30,7.3389692467344338e-65,3.9061641043282464e-62,7.3925256661335996e-56,1.2585346605207418e-48,1.2154946758943644e-42,9.1236477915297363e-59,8.8552581287840746e-61,4.806509815374619e-60,1.2713929004329336e-90,1.6542147177985255e-83,2.5539072071973089e-123,1.2249199943741168e-108,1.3520300945404516e-56,3.6240686463034234e-54,3.0483516357645603e-61,2.4510694735939727e-71,7.0744175918682763e-57,8.1893250942264906e-68,2.5495509874357872e-76,2.8780118752906453e-39,9.5060399143257596e-43,6.6022335994006351e-53,6.2710998824251559e-53,3.6151011180026138e-80,1.9101545592334133e-89,2.1718879788153529e-81,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.0384756908906887e-24,1.981862381499062e-24,2.0384765470491572e-24,3.3757087408826842e-30,2.5229905702640456e-30,3.2819573088215453e-30,3.1854062803002837e-38,4.3060163370970801e-25,1.2741029228958701e-38,5.523925228686032e-30,3.2837362436442294e-43,1.31343301506041e-43,3.6511970981218721e-25,7.5578144700399928e-39,1.8255985490608812e-25,4.6838977040263549e-30,2.3419487207476452e-30,1.3126411681247377e-37,1.3531614045790613e-42,3.3324835567560234e-51,8.0260619378940605e-56
1.2700000000000001e-13,0.0027130575094211416,1.015955848402894e-28,2.2872152246629045e-36,8.1484920069155217e-34,1.3010877877477815e-35,2.5554544872646795e-41,0.0,0.0,1.5111491673491579e-23,2.3399338314312629e-34,2.82649951515901e-41,2.456084071018413e-46,1.3296573537732142e-49,5.6207544814589847e-64,1.7153062271481424e-53,4.5418857224497038e-41,1.3143931020701028e-23,8.1390474031967577e-34,1.9883179099435965e-87,1.1584992087836076e-85,2.3756494718636803e-56,2.3101599083639138e-54,1.1827447501544532e-37,4.7007090244631871e-46,1.1986173415188105e-36,1.7662338821754669e-61,2.1195760346573659e-52,9.9077127538087585e-31,1.3570100366738356e-34,3.9860710671500873e-24,2.9323447719348296e-45,1.0081475286038245e-60,4.0277675096388359e-58,4.0059064375750604e-44,6.0406775995104838e-75,3.6052369767332887e-58,3.2119085431626845e-29,1.931103542107763e-39,3.3324223134910208e-42,1.1591345815928916e-45,2.8015726551602266e-29,2.9615967695646698e-64,1.2664154428758186e-60,1.1978476902632066e-54,2.0368015195507304e-47,9.8269638705128742e-42,1.4765471996093074e-57,1.4279079736214532e-59,7.7787361581363239e-59,8.2849672040631365e-89,5.3888188411725553e-82,1.6640568197255442e-121,4.2608699193581732e-107,2.1907712010898826e-55,5.8722396833674088e-53,9.8830912628906587e-60,7.9366235747331182e-70,2.2875562222223732e-55,5.2919801487577311e-66,8.1554940348327892e-75,2.3268018481088243e-38,7.6654027066335601e-42,1.0684997282478358e-51,1.0134149111832842e-51,2.335960470003524e-78,2.482425916799686e-87,2.6791172023540821e-79,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,4.0999521683833959e-24,3.9860867629640795e-24,4.0999556233610859e-24,1.362249072048779e-29,1.0181396290452353e-29,1.3244161923532881e-29,2.5752979371386586e-37,8.6605215174042129e-25,1.0300715155125756e-37,2.2291286309536309e-29,5.3143264907580951e-42,2.1256320726763109e-42,7.3435093062090174e-25,6.1102614669199269e-38,3.6717546531043981e-25,1.8901433651110332e-29,9.4507157643166088e-30,1.0612165083233449e-36,2.1899038517373686e-41,1.0791011577512164e-49,5.1990787451194018e-54
2.55e-13,0.0027130575094211416,2.0376034243793592e-28,8.8982835806647801e-36,3.2734274515890011e-33,5.2029375653922217e-35,2.0547548275869546e-40,0.0,0.0,3.0307785999284794e-23,9.4000465266928775e-34,1.1348690428954263e-40,1.9738470103552821e-45,1.0691228540532381e-48,4.5166258151088989e-63,6.8906517605547947e-53,1.8235775819209783e-40,2.6361556870723317e-23,3.2696334573657907e-33,3.2078679559912573e-86,1.8643766909559769e-84,1.9110051792597835e-55,1.8574035194009074e-53,2.3706434812520382e-37,3.7796816628929162e-45,4.8151079509973311e-36,4.4945066947278691e-60,1.7042308630949706e-51,3.9801291405787402e-30,5.4513836956875129e-34,7.9944524164238995e-24,2.3577638170653945e-44,3.2283538528503438e-59,6.4798730544139854e-57,6.4122519522792513e-43,3.874375837612049e-73,2.8993686268836123e-57,1.2902939443981631e-28,1.5527353166252001e-38,2.6719627918258895e-41,9.34350909725768e-45,1.1254483764426046e-28,1.1897334895833242e-63,4.0851770182959082e-59,1.9317036127319389e-53,3.2767188444491224e-46,7.901481191112968e-41,2.3753542621239778e-56,2.2805436443540968e-58,1.2513847502320117e-57,5.3961568594244096e-87,1.7549064642089999e-80,1.0751818397515153e-119,1.5432400358172853e-105,3.5329665961145713e-54,9.4697794634653323e-52,3.188097073255458e-58,2.553767152390514e-68,7.3404296877432525e-54,3.3897338164684477e-64,2.5621088941189969e-73,1.8708957623934022e-37,6.1315558042499381e-41,1.7189564919161514e-50,1.6255497513854445e-50,1.4979124269982526e-76,3.1889640344999456e-85,3.3792521202675491e-77,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,8.2228844946313024e-24,7.9945154695018349e-24,8.2228983739924011e-24,5.472448355062103e-29,4.0900895501629149e-29,5.3204655612730127e-29,2.0706625610151994e-36,1.7369194721441958e-24,8.2822753467813591e-37,8.9547167848144197e-29,8.5493200094947676e-41,3.419572652647369e-41,1.4727847845573743e-24,4.9129629162881291e-37,7.3639239227866493e-25,7.592966484116846e-29,3.7964823887728834e-29,8.5325041175239219e-36,3.5228921546825061e-40,3.4724470338081641e-48,3.3463667946779163e-52
5.11e-13,0.0027130575094211416,4.0808700479190425e-28,3.5088666053368614e-35,1.312144955751876e-32,2.0808157196629808e-34,1.6478923636753363e-39,0.0,0.0,6.0700380406594037e-23,3.768000906344147e-33,4.5443095044285532e-40,1.5813916322786063e-44,8.5740986183619665e-48,3.6177499764752119e-62,2.7620130165258598e-52,7.3017811553491595e-40,5.2796614230704236e-23,1.3106242304736808e-32,5.1730682282349405e-85,2.9929706283391297e-83,1.5339304981125474e-54,1.4894290719400442e-52,4.7419887450010246e-37,3.0312659889928662e-44,1.9301235652778937e-35,1.2402479024921412e-58,1.3666974753652957e-50,1.5954118712810895e-29,2.1851551378334602e-33,1.6011039914700083e-23,1.8908450781216296e-43,1.0257870510648248e-57,1.0395943215392549e-55,1.0184858134876169e-41,2.4718710224380046e-71,2.3260966056921882e-56,5.1721103037173358e-28,1.2452779151498264e-37,2.1309139978801592e-40,7.5307656099301343e-44,4.5112936775410972e-28,4.7689782692378652e-63,1.3170542634286204e-57,3.1138933527516849e-52,5.2567016484094974e-45,6.3368281150396846e-40,3.8105153444557399e-55,3.6063953273180272e-57,2.0074635773558071e-56,3.5448534114813396e-85,5.7649486891862011e-79,6.9250401246080863e-118,6.0253862423357768e-104,5.695212075741727e-53,1.5265024539563365e-50,1.0278562388403958e-56,8.1922506467704519e-67,2.3418604091575065e-52,2.1543963446788196e-62,7.8476206949985811e-72,1.500427749771637e-36,4.8669839275378407e-40,2.757649298958615e-49,2.5925599481727045e-49,9.5434528011257882e-75,4.0590528102477037e-83,4.2489737061183781e-75,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.6468666633004205e-23,1.6011292657813193e-23,1.6468722267745465e-23,2.1936135291897625e-28,1.6395018418081534e-28,2.1326917449438711e-28,1.6605736742615089e-35,3.4785192608401535e-24,6.642007369026401e-36,3.5893304876408094e-28,1.3714862873618805e-39,5.4857060299180231e-40,2.9495381506159215e-24,3.9399978360929985e-36,1.4747690753079165e-24,3.0434985549726785e-28,1.5217485931929903e-28,6.842371356846209e-35,5.6512063437412231e-39,1.1140725137215698e-46,2.1473468885009576e-50
