Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),HOCO(37),HCOH(38),CH3OO(39),CH3OOH(40),CH2OOH(41),C2H5O(42),C2H5O2(43),H2CC(44),C2H4O(45),C2H5O(46),cC2H4O(47),C2H5O2(48),C2H3O2(49),CHCHO(50),OCHCHO(51),HCCOH(52),CHCHOH(53),C2(54),C2O(55),C2H6O(56),C2H5O(57),C2H5O3(58),cC2H3O(59),HOCHO(60),C2H3O3(61),OCHCO(62),C2H6O2(63),C2H5O2(64),C2H4O2(65),HOCH2O(66),OCHO(67),C2H4O3(68),C2H3O2(69),N2,Ne,C7H16(1),O2(2),CH4(3),C4H9(99),C5H11(101),C3H7(100),S(160),S(162),S(161),S(177),C7H15(105),S(194),S(267),S(266),S(268),C7H15(102),S(310),C7H15(103),S(829),S(830),S(859),S(882),S(752),S(926),C7H15(106),S(900)
0.0,0.0024146084282911664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0024146084282911664,1.2204637074901621e-31,1.2619120485957043e-40,2.0015536430904344e-38,2.3407947927802628e-40,1.3030015013137327e-46,0.0,0.0,3.7849230181907769e-26,5.8200577598394308e-39,2.0692584562447401e-46,2.6884126671628916e-53,2.0787120011104042e-56,1.3656757547128566e-71,5.0872198515222341e-59,3.3036808794029126e-46,3.3207117206504706e-26,2.0004843448972935e-38,-8.5467601778663978e-98,9.1074108271858569e-96,7.2125604900082441e-64,7.3402375650450744e-62,6.5574491119007859e-41,1.0682301721177285e-52,2.1416737301411156e-41,6.2881328148132599e-71,1.3742628455825185e-59,1.5697302581631826e-35,1.955660907192693e-39,4.8445224632073248e-27,3.9100285049079602e-52,1.0150249661293922e-71,4.1573298070919099e-67,5.875151985308687e-53,1.884900578278431e-87,1.8762683806925569e-65,1.1476917777302515e-33,7.489153280865494e-46,6.1457052973962357e-49,6.755220842072087e-53,4.6419336421929847e-34,2.3145503968511924e-70,9.8009018345624904e-72,6.3791444693261797e-64,3.047943883375369e-56,1.2625449962100366e-48,1.7119237142122713e-66,1.3388213690942233e-68,7.6606259448488232e-68,3.1997204304692902e-102,1.4538919236500399e-93,-1.9361726166972997e-136,-9.3616996105706181e-129,1.6580380093229506e-64,2.957023924026985e-62,9.9275961078500771e-71,5.2017836966030334e-81,3.9986994978497138e-66,9.6547581235968997e-79,5.7886241990643506e-86,4.5306085307633705e-45,6.9851615372582185e-49,9.6301667702473445e-61,1.6253890466138817e-60,2.6099461223140254e-91,-1.0542538063726208e-102,-1.2272763426362852e-92,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,4.8544567053960218e-27,4.8445227311080807e-27,4.8544567581597574e-27,2.1193494978873443e-34,1.5928055776713621e-34,2.115012542402021e-34,3.5310089069737177e-44,2.0082934908969659e-27,1.5027067818951835e-44,6.8262194701529252e-34,1.2001951836218743e-50,5.1077227178764011e-51,1.7085534085511591e-27,2.318780441478896e-44,8.5427670426761283e-28,5.8073984696195203e-34,2.9036992318341438e-34,2.9485351313450814e-43,1.0022114797789431e-49,2.593294485588917e-60,1.5108738054592689e-66,7.1108701312449897e-29,4.6020892098784628e-59
3.0000000000000002e-15,0.0024146084282911664,4.0100947385862678e-31,5.2013135122496535e-40,1.3153066562424102e-37,1.3227757313491325e-39,1.2285442573669825e-45,0.0,0.0,1.2436175636260781e-25,3.8246093857142635e-38,1.3597936275308163e-45,2.5347826349494518e-52,1.9599283480398179e-55,1.2876331227638857e-70,3.3430298080432468e-58,2.1709823645218214e-45,1.091090956212241e-25,1.3146039783183613e-37,5.0548794287781658e-96,1.1189131582379907e-94,6.8004374205626059e-63,6.920793150687108e-61,2.1545727379972649e-40,1.007188437269036e-51,1.4073855725848307e-40,7.7623093134462803e-70,1.2957333370654617e-58,1.0315369829154025e-34,1.285148540850382e-38,1.5917715089324753e-26,3.6865980085375407e-51,1.5370133501112622e-70,5.1075763259389743e-66,7.2179025266691629e-52,2.6615112176842149e-86,1.7690930986523486e-64,7.5419744258918382e-33,7.0612015915618321e-45,5.7944433934175156e-48,6.3722822054425291e-52,3.0504134049804717e-33,1.5209904083080843e-69,1.4845823671042843e-70,7.8401371962521094e-63,3.7446166604834874e-55,1.1903995220744284e-47,2.1032203102186914e-65,1.64480050858108e-67,9.4116250851763295e-67,5.7596268079159407e-101,2.2016668531929395e-92,1.0344895399380559e-134,3.6200810422610213e-118,2.0383307274111035e-63,3.6342604932367275e-61,1.5037734099765217e-69,7.8769842067769829e-80,6.0551194796757325e-65,1.7378332003173028e-77,8.7651309499211934e-85,4.2717164865751131e-44,6.5858414044377745e-48,1.1831347397107112e-59,1.9968845745426333e-59,4.2124103729744788e-90,5.3315375071086848e-101,7.0951819886448231e-91,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.5950357049614998e-26,1.591771684981533e-26,1.5950357396348099e-26,1.3927153577562265e-33,1.0467007932457228e-33,1.3898653585379672e-33,3.3292365620248906e-43,6.5986763692232738e-27,1.4168376545084901e-43,4.4858007006936288e-33,1.4745253724446386e-49,6.2752016214126579e-50,5.61381643453371e-27,2.1862784759357577e-43,2.8069082172145346e-27,3.8162898574253664e-33,1.9081449259071119e-33,2.7800467838756285e-42,1.2312881763229677e-48,3.9269879347911548e-59,2.7195723501401811e-65,2.3364287698789937e-28,6.9688768088744836e-58
7e-15,0.0024146084282911664,8.8919472705233315e-31,1.832224148572468e-39,7.1484049092690319e-37,6.4957755260668415e-39,1.9842848921991469e-44,0.0,0.0,2.7575867747763088e-25,2.0785920598473506e-37,7.3900134849774547e-45,4.0939625065113928e-51,3.16557961017186e-54,2.0796631139875802e-69,1.8168626818798549e-57,1.1798536843202573e-44,2.4193753558648274e-25,7.1445861399762135e-37,9.7527535406470151e-95,5.6597697652503318e-93,1.0984072770223757e-61,1.1178095969295673e-59,4.7774170620660397e-40,1.6267617716764511e-50,7.6488338729813612e-40,4.1502104663833956e-68,2.0928026563598977e-57,5.6061777032365989e-34,6.9845009835380616e-38,3.5295792886163654e-26,5.9544099756801105e-50,2.5377887963704803e-68,2.5834815876513324e-64,3.6500577986471904e-50,6.8473520319950927e-84,2.8573639855491893e-63,4.0988987431876997e-32,1.1404909352306099e-43,9.3577384056075398e-47,1.0290699383040486e-50,1.6578329078639877e-32,8.266250889250408e-69,2.4518895084882043e-68,3.9655178907315692e-61,1.894078686236531e-53,1.9226749139373386e-46,1.0638366441544525e-63,8.3173739476001358e-66,4.7605247614299612e-65,3.2079445917292542e-98,3.6375294016054293e-90,3.776724470696086e-132,3.4105086624572624e-116,1.0308374573738655e-61,1.8381975559701113e-59,2.4835856813700099e-67,1.3008851201264793e-77,9.9987538038054745e-63,9.6729977746791414e-75,1.4463373605820231e-82,6.89946745803558e-43,1.063464453992595e-46,5.9844584816380739e-58,1.0099187043436701e-57,1.8148637536437237e-87,8.2790285540028923e-98,6.957812353481787e-89,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,3.5368178540035883e-26,3.5295802454043387e-26,3.536818042445449e-26,7.5691042655523111e-33,5.6885907393431149e-33,7.5536151429262578e-33,5.3772154458537796e-42,1.4631833163467024e-26,2.2884049909548987e-42,2.4379328101974121e-32,7.4583466495881068e-48,3.1740810505593616e-48,1.2448015469566733e-26,3.5311676466100324e-42,6.2240077344991304e-27,2.0740685749021134e-32,1.0370342829196658e-32,4.4901875121135649e-41,6.2280144624908598e-47,6.4854364622329779e-57,1.514106130600278e-62,5.1807769177988103e-28,1.1509137731029748e-55
1.5e-14,0.0024146084282911664,1.8655646484887111e-30,6.5114254427439164e-39,3.1624537210236036e-36,2.7626048373741241e-38,1.8454218478225072e-43,0.0,0.0,5.7855252069376503e-25,9.1956912903579057e-37,3.2692175729533052e-44,3.8073225858795501e-50,2.9440460496209008e-53,1.9340389335042983e-68,8.0377906258324686e-57,5.2194666765761715e-44,5.0759434205327153e-25,3.1607643948397784e-36,1.7488225087834552e-93,1.0885666820233619e-91,1.0215882018262555e-60,1.0395789981166663e-58,1.0022761285143274e-39,1.5129187367667947e-49,3.3838435464148487e-39,8.6270925605203084e-67,1.9463413483533576e-56,2.480171875532112e-33,3.0899417977421084e-37,7.4051917791895573e-26,5.5377065959475782e-49,9.9529122801666402e-67,4.9687129319083152e-63,7.0175539097157157e-49,4.952055377997454e-82,2.6574592764531265e-62,1.8133525090551096e-31,1.0606778073686323e-42,8.701171939654662e-46,9.5725638783422329e-50,7.3342493714342996e-32,3.6569878377964491e-68,9.6212063407305641e-67,7.6282557454678633e-60,3.6428121123338715e-52,1.7881227536571233e-45,2.0460346826518985e-62,1.5990007760317082e-64,9.1557288147953788e-64,2.5461275319607241e-96,1.4279193627760445e-88,2.8682209943376091e-130,1.5351829282067037e-114,1.9829568346851606e-60,3.5360413595923452e-58,9.7455872130406108e-66,5.1036459680246334e-76,3.9219891827361502e-61,7.6703730991352759e-73,5.6673157653630195e-81,6.4166314130363063e-42,9.8867917454167073e-46,1.1509689645458454e-56,1.9419562575198307e-56,1.4074454783545178e-85,1.2724167092602931e-95,3.7790790673514785e-87,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,7.4203807950649849e-26,7.4051960120167108e-26,7.4203816287314732e-26,3.3485710365309272e-32,2.5166321548375351e-32,3.3417186512975229e-32,5.0009024492587946e-41,3.0698103048315154e-26,2.1282559376088674e-41,1.0785397458397058e-31,1.4344348045163209e-46,6.1045869222007767e-47,2.6116376378228705e-26,3.2840472792110074e-41,1.3058188187857078e-26,9.1756646788745016e-32,4.5878322972946041e-32,4.1759451134242661e-40,1.1978080989917287e-45,2.5443788529371014e-55,1.201041199197723e-60,1.0869473456528947e-27,4.5152923625528914e-54
3.1e-14,0.0024146084282911664,3.8183021515601007e-30,2.4089884460028498e-38,1.3181651129844581e-35,1.1302363541460673e-37,1.5575325132664765e-42,0.0,0.0,1.1841402110703789e-24,3.8329237800257034e-36,1.3625652995560209e-43,3.2131430970624465e-49,2.4847661693168937e-52,1.6321818755628421e-67,3.350282619018637e-56,2.1753964811595615e-43,1.0389076611320982e-24,1.3174610518208632e-35,2.9922878422665695e-92,1.850958761513868e-90,8.6229969346848759e-60,8.7739487431525105e-58,2.0512072212017984e-39,1.2769005879296588e-48,1.410444277742704e-38,1.6834022189063679e-65,1.6427016840096458e-55,1.0337777640259039e-32,1.287940211144625e-36,1.5156404485177034e-25,4.6738048247898469e-48,3.3953811827605348e-65,8.4479349647915033e-62,1.1923150702018464e-47,3.3078784113749776e-80,2.2429943610749732e-61,7.558365650169832e-31,8.9521009238948858e-42,7.3409575545740153e-45,8.0828368509864503e-49,3.0570396788266926e-31,1.5242946696803302e-67,3.2858537697809839e-65,1.2975354092617001e-58,6.1936100942523671e-51,1.5091710785468596e-44,3.4787136300759894e-61,2.716485569943982e-63,1.5566776876240507e-62,1.7439284400032193e-94,4.8802418543883098e-87,1.9991609727704504e-128,5.5868657974544539e-113,3.372935267634854e-59,6.0146582362777361e-57,3.3283361296994805e-64,1.7422504144734374e-74,1.3383675480002345e-59,5.2441169676367153e-71,1.9299627588772622e-79,5.4156219662976463e-41,8.338428852162589e-45,1.9569093264073339e-55,3.3004798988599313e-55,9.5720134854384948e-84,1.7780427635365582e-93,2.8946962170059617e-85,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.5187501249100449e-25,1.5156422128312295e-25,1.5187504723964652e-25,1.3957419761114849e-31,1.0489756541824245e-31,1.3928857851214597e-31,4.2207390043270936e-40,6.2830468004408697e-26,1.7962385442972744e-40,4.4955268034796065e-31,2.4388601920173177e-45,1.0379164913992554e-45,5.3452949550747011e-26,2.7717225079325321e-40,2.672647477013336e-26,3.8245643524826421e-31,1.9122821406731437e-31,3.524468526619684e-39,2.036536118518208e-44,8.6858784737958521e-54,8.2168421256572083e-59,2.2246867505542141e-27,1.5414125138005191e-52
6.300000000000001e-14,0.0024146084282911664,7.7237677985196138e-30,9.212697725874152e-38,5.371590278741432e-35,4.5636656137987126e-37,1.2747544187237934e-41,0.0,0.0,2.3953156076009386e-24,1.561937237919104e-35,5.551704887134123e-43,2.6294050852792796e-48,2.0336389885522714e-51,1.3356169202494278e-66,1.3652518010185806e-55,8.863496218794583e-43,2.1015331238720487e-24,5.3687218352875857e-35,4.9442335852729031e-91,3.0371895852843392e-89,7.0587726873826585e-59,7.1808653450908114e-57,4.1485185435960225e-39,1.0450727790535088e-47,5.747633222362711e-38,3.4697610840196785e-64,1.3444497555290182e-54,4.2126929064977131e-32,5.2484166970961422e-36,3.065878079667191e-25,3.825236723455008e-47,1.1138964230739659e-63,1.3859761334317265e-60,1.9534171354322755e-46,2.1601391411404841e-78,1.83593793216614e-60,3.0800730404385814e-30,7.3268014487262867e-41,6.0035781449369634e-44,6.6212725580391372e-48,1.2457579897588357e-30,6.2115723660636697e-67,1.0803538145967992e-63,2.1305922232907256e-57,1.0161315092151513e-49,1.2351714428415221e-43,5.7071848012962622e-60,4.4495757414440922e-62,2.553889725702619e-61,1.1491194815296204e-92,1.6069184146372844e-85,1.3285778473293586e-126,1.9627617578404059e-111,5.538478469172902e-58,9.8762338731996819e-56,1.0943238982711541e-62,5.7233343615618038e-73,4.3933147235270925e-58,3.4429076927519956e-69,6.3092803337882357e-78,4.4323833659599271e-40,6.8147614178368061e-44,3.2105302028636146e-54,5.4105941494111937e-54,6.2782326367455291e-82,2.360762828519911e-91,3.0428243046594987e-83,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,3.0721720444852441e-25,3.0658852693217154e-25,3.0721734605092641e-25,5.6877196756588418e-31,4.2746301084098943e-31,5.6760805597906967e-31,3.4544205799306207e-39,1.2709449866982271e-25,1.4701133170926737e-39,1.8319401118173248e-30,4.001206511301125e-44,1.7028114179615617e-44,1.0812550132304653e-25,2.2684903066237283e-39,5.4062750640170409e-26,1.5585209925898624e-30,7.7926046718453285e-31,2.8845484508612336e-38,3.3411328463910766e-43,2.8533573008433886e-52,5.4018114651663867e-57,4.5001659489707158e-27,5.0636462070910964e-51
1.2700000000000001e-13,0.0024146084282911664,1.5534661655883158e-29,3.5972145430119546e-37,2.1676761782753247e-34,1.8332401128719592e-36,1.030609168808752e-40,0.0,0.0,4.817666463770986e-24,6.303122738733428e-35,2.2397006887753054e-42,2.1252063818097165e-47,1.6441415128534952e-50,1.0794372471152624e-65,5.5093553172608197e-55,3.5757229960170006e-42,4.2267793476915509e-24,2.1665191510432037e-34,8.0376168648346572e-90,4.9169235281317569e-88,5.70899492181711e-58,5.8053557326670653e-56,8.3409388937029598e-39,8.4491710017318833e-47,2.3194267771765392e-37,7.8955080169381699e-63,1.0869385563521772e-53,1.700005889222028e-31,2.1179656620080867e-35,6.1663337018985934e-25,3.0925908895304135e-46,3.5972556613230596e-62,2.2430422581757908e-59,3.1526589004864832e-45,1.395124834727116e-76,1.4845893171012095e-59,1.2429470968434148e-29,5.9235491271579947e-40,4.8463500230675096e-43,5.3627069039743149e-47,5.0271782793602428e-30,2.5066412098143511e-66,3.5043876856839546e-62,3.4540839128477298e-56,1.6444980254755626e-48,9.9860433204725141e-43,9.2363370853428241e-59,7.1782057640444379e-61,4.1331421830411008e-60,7.478133762663733e-91,5.2276680084918896e-84,8.6610836757096512e-125,7.0163825115078647e-110,8.978945896817884e-57,1.6011148878463889e-54,3.549718141770376e-61,1.8532653451422716e-71,1.4204904771516105e-56,2.2242870608650794e-67,2.0234096905173286e-76,3.5834713243140532e-39,5.4938308187720437e-43,5.1958929837707454e-53,8.7428472341650007e-53,4.0578720764277152e-80,3.0672918843682536e-89,3.6787338095311894e-81,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,6.1790071987323598e-25,6.1663627152524147e-25,6.1790129130132215e-25,2.2952482515564652e-30,1.7250043618278313e-30,2.290551356252372e-30,2.7927837599493973e-38,2.5561976307466069e-25,1.1885380259017055e-38,7.39261400578644e-30,6.4754568804583634e-43,2.7557902613872434e-43,2.1746822662857846e-25,1.8340026329604517e-38,1.0873411322812526e-25,6.2892581493132462e-30,3.144628839308848e-30,2.3320341837712761e-37,5.4071488444695981e-42,9.2395831252719084e-51,3.4991726409671164e-55,9.0511259002007862e-27,1.6396973767153275e-49
2.55e-13,0.0024146084282911664,3.1156299625808977e-29,1.4209883132967979e-36,8.7080216976046228e-34,7.3477115505727982e-36,8.2867742442747644e-40,0.0,0.0,9.662368428543593e-24,2.5321077361137212e-34,8.9920641531754071e-42,1.7078314706235344e-46,1.3219846744678946e-49,8.6733137939634773e-65,2.2131909123569783e-54,1.4355676615431826e-41,8.4772529887722706e-24,8.7033778279251814e-34,1.2984626354394003e-88,7.9151611537005117e-87,4.5938508600644846e-57,4.6675556405162886e-55,1.6716979663402276e-38,6.7936908767570639e-46,9.3176405643863569e-37,1.9969127660802238e-61,8.7394154748094664e-53,6.8292611612230439e-31,8.5082878341433126e-35,1.2367166387086732e-24,2.4866080679231011e-45,1.1513808874370744e-60,3.6084797335209588e-58,5.0439890102185032e-44,8.9497377208398961e-75,1.1941517849596583e-58,4.9931883440265799e-29,4.7629244507470219e-39,3.8849328763539365e-42,4.3273439538673356e-46,2.0195171456709051e-29,1.0069675405342923e-65,1.1315812489687642e-60,5.5759304362601826e-55,2.6455967056156901e-47,8.0293873078689871e-42,1.485863321524599e-57,1.1474842896756043e-59,6.6490585626646679e-59,4.8578173280145119e-89,1.6979064912297496e-82,5.6018252073697405e-123,2.6558155511560059e-108,1.449486836842014e-55,2.5846641938652021e-53,1.1462283830420778e-59,5.9634799682317488e-70,4.5574118686526038e-55,1.4240674051319207e-65,6.3884487929655174e-75,2.8813347836833594e-38,4.3922926029996652e-42,8.3589260355109861e-52,1.4021516499139916e-51,2.6018477593463558e-78,3.9384012029841165e-87,4.6147624970116642e-79,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.239264276780784e-24,1.2367282939106795e-24,1.2392665723244183e-24,9.2205042938024144e-30,6.9297179396873414e-30,9.2016359099865941e-30,2.2455258654477258e-37,5.1265910466917131e-25,9.5563968203999059e-38,2.96970695493029e-29,1.0417241285258817e-41,4.4333169954349223e-42,4.3614416469840824e-25,1.474628298913776e-37,2.1807208200309138e-25,2.5264749611827711e-29,1.263237291361093e-29,1.8750187588509824e-36,8.6984304814092932e-41,2.9732402238981507e-49,2.2522502057816908e-53,1.8153052019782098e-26,5.276544202865558e-48
5.11e-13,0.0024146084282911664,6.2398976597820433e-29,5.6478075643428724e-36,3.4905819611429695e-33,2.9419340060620975e-35,6.6458974080581282e-39,0.0,0.0,1.9351773367793295e-23,1.0149932506374562e-33,3.6002013624234884e-41,1.3681015048019762e-45,1.0601955710616189e-48,6.9461778944662089e-64,8.8712172138067934e-54,5.7474054144814253e-41,1.6978125045366987e-23,3.48872381398349e-33,2.1040430811449121e-87,1.2714076962122945e-85,3.6897390100500176e-56,3.7427942875768084e-54,3.3433935311250474e-38,5.4484661851776279e-45,3.7349489355361368e-36,5.4921398734134132e-60,7.0084549407642153e-52,2.7374642367511428e-30,3.4104904193642882e-34,2.4768517528329203e-24,1.9941700310774566e-44,3.6549610724656162e-59,5.7888341138449492e-57,8.0038639339599376e-43,5.7086654223868866e-73,9.5840897892635657e-58,2.001505085110424e-28,3.8198138838189914e-38,3.0968305096206526e-41,3.495140083244796e-45,8.0950997141532518e-29,4.0363628909534802e-65,3.6555167516220166e-59,9.0066629037389585e-54,4.2442154659554049e-46,6.439400604153796e-41,2.3835828523441359e-56,1.817823569234055e-58,1.0666279768769409e-57,3.1749832887425877e-87,5.5491361035726177e-81,3.6153821391923789e-121,1.1024351221820133e-106,2.3413677921219705e-54,4.1748898789054246e-52,3.7028962067449623e-58,1.9131762428823736e-68,1.4535161013052918e-53,9.0423531090823245e-64,1.9751598930045643e-73,2.3107790058795381e-37,3.4829534263875601e-41,1.3409860649910703e-50,2.2355446811197046e-50,1.6571433140319259e-76,5.0082313052496097e-85,5.7937765929556269e-77,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.4819774949838749e-24,2.4768984716339923e-24,2.4819866965475236e-24,3.6960074260625202e-29,2.7777580882250097e-29,3.6884441406584471e-29,1.8007966745124096e-36,1.0266930429075513e-24,7.6637526313222302e-37,1.1903450505167902e-28,1.6711312196477872e-40,7.1119263254863094e-41,8.7345799399311457e-25,1.1825864462026461e-36,4.3672899560937192e-25,1.0126848127007552e-28,5.0634225459749289e-29,1.5035993975359082e-35,1.3953374679746007e-39,9.5392917047040605e-48,1.445285133173276e-51,3.6356929123693039e-26,1.692981532157577e-46
