Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),HOCO(37),HCOH(38),CH3OO(39),CH3OOH(40),CH2OOH(41),C2H5O(42),C2H5O2(43),H2CC(44),C2H4O(45),C2H5O(46),cC2H4O(47),C2H5O2(48),C2H3O2(49),CHCHO(50),OCHCHO(51),HCCOH(52),CHCHOH(53),C2(54),C2O(55),C2H6O(56),C2H5O(57),C2H5O3(58),cC2H3O(59),HOCHO(60),C2H3O3(61),OCHCO(62),C2H6O2(63),C2H5O2(64),C2H4O2(65),HOCH2O(66),OCHO(67),C2H4O3(68),C2H3O2(69),N2,Ne,C7H16(1),O2(2),CH4(3),C4H9(99),C5H11(101),C3H7(100),S(160),S(162),S(161),S(177),C7H15(105),S(194),S(267),S(266),S(268),C7H15(102),S(310),C7H15(103),S(829),S(830),S(859),S(882),S(752),S(926),C7H15(106),S(900),S(992),S(1016),S(1066),S(847),S(779)
0.0,0.0026510330930784175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0026510330930784175,1.8267200098778984e-32,1.3334625825110385e-41,4.2765626673134064e-39,2.5471373912409235e-41,2.3959789436089655e-47,0.0,0.0,1.1471946534335532e-26,1.1555983054547304e-39,1.8573358872380898e-47,2.1437654400895887e-54,1.8734866377470469e-57,2.9228084897915435e-73,1.9259172931438124e-60,2.948658980559316e-47,1.0154550792819093e-26,4.2754771765080725e-39,-4.6898965051317595e-100,5.2341902015034535e-98,2.293356155439799e-65,2.4392355548295069e-63,6.4621804758233684e-42,1.3233367960530801e-53,3.4560437957048473e-42,2.501912031689807e-72,7.008160327796075e-61,2.7964869623927437e-36,2.6645379000801799e-40,9.4603578806800676e-28,3.7182546769427969e-53,3.0672489079014716e-73,1.8757560330052025e-68,4.3003042706231376e-54,2.6065055211908144e-89,7.8490338722516902e-67,3.1624192824647414e-34,1.3278513577639585e-46,7.2087299099856199e-50,3.7709800944065526e-54,8.4814682219602516e-35,3.591608703883963e-72,2.9752511676889818e-73,2.3779911457013195e-65,2.4057411740946328e-57,1.3095403626068625e-49,7.8055277952107506e-68,6.0732569549842101e-70,3.6307605539468791e-69,2.4399880593262221e-104,1.4316090939880362e-95,-1.130423532999461e-139,-7.5116521719957125e-132,6.8870297116516497e-66,1.0416258023191731e-63,3.4941847213777711e-72,1.1419820887943795e-82,2.2291773052738316e-67,2.7560584903733802e-80,1.1569793773107454e-87,5.8051221473001737e-46,5.7307273452615759e-50,5.2495268882432033e-62,1.2078031899402758e-61,3.3730027745145983e-93,-8.5376393639220897e-105,-1.8653521714180728e-94,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,9.2653333990889984e-28,9.4603583820295849e-28,9.2653334889697402e-28,3.6651299512053363e-35,2.7675851529468837e-35,3.7422768683475401e-35,4.158720937798308e-45,5.6994840975835171e-28,1.8684737265102627e-45,1.7644939601573786e-34,1.2874916134947592e-51,5.7845772487578962e-52,4.8621628096761542e-28,4.4048008775181972e-45,2.431081404823052e-28,1.5052690321760981e-34,7.5263451559508678e-35,5.3190390651857877e-44,1.6467126043458254e-50,2.0440455092012002e-61,9.6490714990205633e-68,1.8140455551934439e-29,2.6312939238129097e-60,2.3351810211330215e-60,7.1759022706727599e-37,1.789254557106873e-47,4.9609094805698481e-45,3.7576837912450696e-45
3.0000000000000002e-15,0.0026510330930784175,6.0020796418479473e-32,5.8735972850945441e-41,2.8103125650344035e-38,1.4615027385203829e-40,2.2590658359532992e-46,0.0,0.0,3.7693538621900357e-26,7.5939317223553206e-39,1.2205311107229132e-46,2.0212598904149463e-53,1.7664301685008244e-56,2.7557830728835399e-72,1.2656026679711908e-59,1.9376837674350433e-46,3.3364951565734104e-26,2.8095992493710796e-38,2.7738024073506488e-98,6.4305956224098772e-97,2.1623161816032506e-64,2.2998499792042015e-62,2.1232720518615615e-41,1.2477175386074618e-52,2.271114463093447e-41,3.0886435447460073e-71,6.6076930721535755e-60,1.8376913590028696e-35,1.7509819781557897e-39,3.1084030159271079e-27,3.5057827405407652e-52,4.6446252669560218e-72,2.3045000908788213e-67,5.2831386564133637e-53,3.8701057122250145e-88,7.4007595644011102e-66,2.0781612145998232e-33,1.2519741255623262e-45,6.7967210838752806e-49,3.5571563704661598e-53,5.5735360357872127e-34,2.3602000718160286e-71,4.5066903185115983e-72,2.9225792171473478e-64,2.955624792868444e-56,1.2347094421968783e-48,9.5896473746676049e-67,7.4612801560409257e-69,4.4606482088922388e-68,4.392059008551647e-103,2.1679124312319121e-94,6.0398759849284543e-138,6.5764496691358934e-121,8.466276181675536e-65,1.2801703920427844e-62,5.2927328026813257e-71,1.7292867365109233e-81,3.3755850000389219e-66,4.9608460358537502e-79,1.7519114642876198e-86,5.4734007281915633e-45,5.4031342030345366e-49,6.4494185778568044e-61,1.4838582147674686e-60,5.6584854542532764e-92,4.3176245450600096e-103,1.0699047909004938e-92,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,3.0443237106672168e-27,3.1084033453853404e-27,3.0443237697317054e-27,2.4085139263607378e-34,1.8186987911686943e-34,2.4592104710931535e-34,3.921079306529757e-44,1.8726870521215983e-27,1.7617036089178183e-44,1.1595244459401001e-33,1.5817752760200917e-50,7.1067657432371789e-51,1.5975672857982129e-27,4.1530975796795183e-44,7.9878364288926014e-28,9.891766591914762e-34,4.9458832913095201e-34,5.0150929542163395e-43,2.0231037400805117e-49,3.0952683359776948e-60,1.7368325969954102e-66,5.9604351869557693e-29,3.631043130293632e-59,3.8896179365758918e-59,4.7155928488356071e-36,1.6870114216347211e-46,4.6774284031919485e-44,3.5429586702074526e-44
7e-15,0.0026510330930784175,1.3308956692359866e-31,2.2626174666907549e-40,1.5273436265040488e-37,7.2597985331648772e-40,3.6487332352219259e-45,0.0,0.0,8.3581324828751917e-26,4.1271368084417811e-38,6.6331833016676855e-46,3.2645718763262131e-52,2.8530510314213931e-55,4.4508918948155745e-71,6.8782709605654442e-59,1.0530663009057603e-45,7.3983146784543706e-26,1.5269559792292663e-37,5.3517827913522136e-97,3.2527956234468652e-95,3.492599483904437e-63,3.7145960109205979e-61,4.7080231975367916e-41,2.0152526959432783e-51,1.2343012282031848e-40,1.652522214091586e-69,1.0672411394711405e-58,9.987450441310555e-35,9.5162039108936872e-39,6.8925439664787941e-27,5.6623667434766935e-51,7.6690159816058261e-70,1.1656472194474572e-65,2.6717248963814192e-51,1.258509061494058e-85,1.1953412576291811e-64,1.1294353431192263e-32,2.0221277306956025e-44,1.0976529360961621e-47,5.7445912186750839e-52,3.0290948781764564e-33,1.2827171693911799e-70,7.4431706008966234e-70,1.4782475823649831e-62,1.494995786894343e-54,1.994242196438412e-47,4.8505710179246034e-65,3.7731101496291939e-67,2.256255241528186e-66,2.4460633252969087e-100,3.5814916955580212e-92,2.2051135508454608e-135,6.1976889270703717e-119,4.2817374502557585e-63,6.4751309136654447e-61,8.7413871227379827e-69,2.8559228338673387e-79,5.5741605382647739e-64,2.7613405520172766e-76,2.8911814035592115e-84,8.8403692056952717e-44,8.725059732135479e-48,3.262204872918006e-59,7.5046951628907936e-59,2.699107522945516e-89,6.7047700230919081e-100,1.0081045186834231e-90,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,6.7504561485065891e-27,6.8925457570119931e-27,6.750456469509173e-27,1.3089748129506282e-33,9.8842317251972458e-34,1.3365272800204082e-33,6.333130745490249e-43,4.1524762533463938e-27,2.8454154348949257e-43,6.301757760304616e-33,8.0008318709145784e-49,3.5946976887413127e-49,3.5424286254896771e-27,6.7078760663324231e-43,1.7712143126914143e-27,5.3759553872447908e-33,2.6879776861155868e-33,8.1001198600529764e-42,1.0233121781067019e-47,5.1118505990990574e-58,9.6697193525953155e-64,1.3216615810875033e-28,2.7212977120633382e-57,9.6991210786877331e-57,2.5628219462057613e-35,2.7247787883405509e-45,7.5547476425001393e-43,5.7224101347891511e-43
1.5e-14,0.0026510330930784175,2.7922703185025687e-31,8.5197168872932345e-40,6.7569670363258173e-37,3.1022231798926198e-39,3.393389821676009e-44,0.0,0.0,1.7535689741938795e-25,1.8258453261225848e-37,2.9344189160458386e-45,3.0360122716784578e-51,2.653389044266542e-54,4.1392447171285724e-70,3.042943832877094e-58,4.6585984772883915e-45,1.5521951697952653e-25,6.7552522632269618e-37,9.59681471618163e-96,6.2563045203226844e-94,3.2483742250593176e-62,3.4546291459983355e-60,9.8772173976377645e-41,1.8742225585409552e-50,5.4605478219818383e-40,3.4382507497455144e-68,9.9255222810545851e-58,4.418446166873171e-34,4.2099667787036665e-38,1.4460820263208183e-26,5.2661021100162733e-50,3.0078106983756362e-68,2.2418446422810535e-64,5.1368186468333195e-50,9.4433097467650535e-84,1.1117244044350623e-63,4.996621226008291e-32,1.8806164726906297e-43,1.0206620397827164e-46,5.3437461424601847e-51,1.3400709909973378e-32,5.6747384017418145e-70,2.9207193201136305e-68,2.8436474222464992e-61,2.8752707586827951e-53,1.8546817389734243e-46,9.3289118557961636e-64,7.2540679005331036e-66,4.3393670534075344e-65,1.9412168680329603e-98,1.4057679736983805e-90,1.6747905046534325e-133,2.7914012167964979e-117,8.23657462109378e-62,1.2455952914451016e-59,3.4301443562400456e-67,1.1204404270281009e-77,2.1865053431768087e-62,2.1897339141949114e-74,1.1330747009740078e-82,8.2217059044707397e-43,8.111813908538954e-47,6.2740794068837358e-58,1.4431014714645588e-57,2.113502968247134e-87,1.0305045503678127e-97,5.0201117313832895e-89,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.4162718677795841e-26,1.446082818452213e-26,1.4162720097910808e-26,5.7909034919772992e-33,4.3727835012125417e-33,5.9127955850296086e-33,5.8899210202818968e-42,8.7120433595901164e-27,2.64628562693509e-42,2.787893567048972e-32,1.5387691244662234e-47,6.9135436328083727e-48,7.4321416724461362e-27,6.2384421559158232e-42,3.7160708359868629e-27,2.3783191967353003e-32,1.1891595913862337e-32,7.5332413739800928e-41,1.9680943054804138e-46,2.0054923955781414e-56,7.670360080606317e-62,2.7728972993992044e-28,5.8962795292937583e-56,4.283184148792057e-55,1.1337922421529621e-34,2.5340950074580192e-44,7.0260454763818741e-42,5.3219415945591749e-42
3.1e-14,0.0026510330930784175,5.715016573695661e-31,3.2660244140615071e-39,2.8164202096336717e-36,1.2721041436519579e-38,2.8640146316850364e-43,0.0,0.0,3.5890804330839079e-25,7.6104403002346647e-37,1.2230341568867351e-44,2.5622223140495382e-50,2.2394528495115837e-53,3.493236934486618e-69,1.2683491747687096e-57,1.9416488002169086e-44,3.176921763989867e-25,2.8157056078249668e-36,1.6421257912648514e-94,1.0638224330050183e-92,2.7419394864511301e-61,2.9156768260436292e-59,2.0214373579764769e-40,1.5818403863803831e-49,2.2760504652820473e-39,6.7188969693815981e-67,8.3770907176117241e-57,1.8416835111063954e-33,1.7547857455887113e-37,2.9597350439204217e-26,4.444573065301293e-49,1.0261738109209179e-66,3.8116398949929073e-63,8.7283481124200204e-49,6.3698688717796049e-82,9.3835596413824746e-63,2.0826778712664533e-31,1.5872368443222758e-42,8.6114581481574756e-46,4.5121899497643668e-50,5.5856437740083515e-32,2.3653274998073387e-69,9.975033733160437e-67,4.8369943680604321e-60,4.8886155503233162e-52,1.5653468705677699e-45,1.5861228750520094e-62,1.2324781273711813e-64,7.3778920960657999e-64,1.3293187525604624e-96,4.8034921987385436e-89,1.1674867799152106e-131,1.016895211358762e-115,1.4010291962743755e-60,2.1187341307463234e-58,1.1714866228657566e-65,3.8249011132447134e-76,7.4617467756381105e-61,1.4971972593173636e-72,3.8599292086901446e-81,6.9391010144130868e-42,6.8419595357829048e-46,1.0667364824623958e-56,2.4527643910980331e-56,1.4408729209319557e-85,1.4401067726014261e-95,3.4296631627911269e-87,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.8987234350822319e-26,2.9597383456575811e-26,2.8987240270104249e-26,2.4137482243550831e-32,1.8226515739273595e-32,2.4645549474432713e-32,4.9710682615581429e-41,1.7831132387478536e-26,2.2334539801546577e-41,1.162039123333882e-31,2.6162527165102925e-46,1.1754576025123989e-46,1.5211529236844384e-26,5.2652211231918601e-41,7.6057646174379195e-27,9.9132190409753366e-32,4.9566094615649837e-32,6.3580069741619379e-40,3.3461933520497107e-45,6.8462630882223272e-55,5.2476320751082569e-60,5.6753671101333992e-28,1.0662445989375389e-54,1.5568393060536712e-53,4.7258413676421375e-34,2.1387714545237888e-43,5.9299518583171571e-41,4.4916981910529091e-41
6.300000000000001e-14,0.0026510330930784175,1.1560496910746674e-30,1.2744655337706878e-38,1.1477057366663703e-35,5.1423963826841985e-38,2.3440381157224608e-42,0.0,0.0,7.260103379173108e-25,3.101295707393275e-36,4.9832600987251713e-44,2.0967662272740198e-49,1.8328646129556113e-52,2.8585683974190478e-68,5.1685702366593229e-57,7.9112208375320926e-44,6.4263717135620849e-25,1.1474146505946813e-35,2.7136637675779011e-93,1.7456750028655691e-91,2.244645051243462e-60,2.386282114844664e-58,4.0883758246822702e-40,1.294649281039685e-48,9.2750237074198495e-39,1.3877518420997795e-65,6.8561357028661665e-56,7.5049475583194471e-33,7.1508349599816781e-37,5.9870321121611031e-26,3.6376262915213917e-48,3.3669848008379895e-65,6.2534033910226812e-62,1.4302135720090788e-47,4.1703970436350867e-80,7.6809573431940409e-62,8.4870204270288279e-31,1.2990659948967347e-41,7.0432571795967841e-45,3.6963829911525274e-49,2.2761762715601528e-31,9.6388216562530254e-69,3.2797726129992721e-65,7.9427028570490962e-59,8.0203262793633233e-51,1.2811484502500711e-44,2.6021982911042757e-61,2.019146761876008e-63,1.2104197564229041e-62,8.7554657775375625e-95,1.5809629038593558e-87,7.7607350653026853e-130,3.5793018969771634e-114,2.3006003146413417e-59,3.4791130437125173e-57,3.8518331679189054e-64,1.2564973053205927e-74,2.449623091796631e-59,9.8309498509572122e-71,1.2627185365083002e-79,5.6792662927956286e-41,5.5926029518866436e-45,1.750101752811383e-55,4.0212976807288141e-55,9.4571474596061136e-84,1.9123551633074365e-93,3.3591612947567896e-85,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,5.8636228154714741e-26,5.9870455668865344e-26,5.8636252276078938e-26,9.8361477640278603e-32,7.42739994431392e-32,1.0043187775193255e-31,4.0685225022894923e-40,3.6069129706654782e-26,1.8279489942425042e-40,4.7353455478075532e-31,4.2922403163075449e-45,1.9284632677019449e-45,3.0770150249111658e-26,4.3092731460443718e-40,1.5385075120545459e-26,4.0396675872789189e-31,2.0198337454148329e-31,5.2036217985928513e-39,5.489757615140599e-44,2.2490399963544763e-53,3.4498406367676218e-58,1.1480300228040136e-27,1.8058261434257612e-53,5.2840273962208872e-52,1.925804749513297e-33,1.7504666001885006e-42,4.8533104719709168e-40,3.6761902313768742e-40
1.2700000000000001e-13,0.0026510330930784175,2.3251408891708863e-30,5.0303971942129235e-38,4.6315051052085834e-35,2.066906278224558e-37,1.8951003396936957e-41,0.0,0.0,1.4602149384587413e-24,1.2515129865324303e-35,2.0104301883179109e-43,1.6947481195501187e-48,1.4818218019079491e-51,2.3103534791193449e-67,2.0857343897305209e-56,3.1916456757506332e-43,1.2925258657464413e-24,4.6303313933227882e-35,4.4130188922204377e-92,2.8263314759539782e-90,1.8155816512777653e-59,1.9291911538697233e-57,8.2202826188502326e-40,1.0466940387562173e-47,3.7428869044893397e-38,3.1657211005142992e-64,5.5429434405780507e-55,3.0285753317781396e-32,2.8856753050370471e-36,1.2041590381020876e-25,2.9409172712399364e-47,1.0876647720734715e-63,1.0120382600619534e-60,2.3089371515740822e-46,2.6956372129006955e-78,6.2115436953423836e-61,3.4248923932968647e-30,1.0502648661943324e-40,5.6866533116090468e-44,2.9939418155681964e-48,9.1853688254009141e-31,3.8896870794591105e-68,1.0639297921673917e-63,1.287727648418901e-57,1.2980029022741417e-49,1.0357760262723246e-43,4.2113256973488801e-60,3.2585125787340545e-62,1.9589111425407041e-61,5.6929325092668631e-93,5.1387994212221302e-86,5.0618669114152502e-128,1.2837326708565144e-112,3.7299162270081107e-58,5.6405692122585698e-56,1.2495057170157664e-62,4.0686999406695374e-73,7.9218898378486071e-58,6.3531241600979819e-69,4.055041266284749e-78,4.5915460576297608e-40,4.5099544448512272e-44,2.8323500507274752e-54,6.4991868974278334e-54,6.1146469063620545e-82,2.485410961532768e-91,3.9626128991371777e-83,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.179340655942379e-25,1.2041644676656168e-25,1.1793416293459628e-25,3.9693243856502432e-31,2.9972882700259341e-31,4.0528742735193093e-31,3.2892689241513262e-39,7.2544401412968523e-26,1.4778381439742663e-39,1.9109042424586112e-30,6.9464678333633127e-44,3.1209836956079939e-44,6.1886775819765105e-26,3.4839146522896094e-39,3.0943387893700444e-26,1.6301699437772375e-30,8.1508493290059826e-31,4.2069160330269014e-38,8.8844136698978781e-43,7.2827561487717452e-52,2.234741701479578e-56,2.309014044956834e-27,2.9701971580348449e-52,1.7398455532302787e-50,7.7714825294585844e-33,1.4152116461577641e-41,3.923743028265575e-39,2.9720866286865e-39
2.55e-13,0.0026510330930784175,4.6633038082680785e-30,1.9983044710329835e-37,1.8605758624162642e-34,8.2866463834852252e-37,1.5237855253316841e-40,0.0,0.0,2.9286241848354286e-24,5.0276121977959883e-35,8.0720166352887965e-43,1.3619843344977447e-47,1.1914716754842875e-50,1.8564992622306878e-66,8.3787302358645994e-56,1.2814426339263145e-42,2.5922980724507404e-24,1.8601051203835575e-34,7.1369482829885242e-91,4.5505680239794846e-89,1.4611951357893986e-58,1.5510963333068557e-56,1.6476223160126572e-39,8.4161126002935695e-47,1.5035992592809102e-37,8.0275510317285418e-63,4.4567583534527538e-54,1.2166393655550801e-31,1.1592335064991112e-35,2.4150563449954287e-25,2.3646606155033471e-46,3.4833383977340445e-62,1.6281008867767065e-59,3.6962874771961423e-45,1.730182183538507e-76,4.997173357942874e-60,1.375853978088578e-29,8.444824677671085e-40,4.5601805640870031e-43,2.4161731349020779e-47,3.6899464319471857e-30,1.5625652019506832e-67,3.4358368548247456e-62,2.079000360426137e-56,2.0881722830473863e-48,8.3282778830160358e-43,6.7748413014976572e-59,5.2126192208538709e-61,3.1513425079835624e-60,3.6918794816197579e-91,1.6661927398494905e-84,3.2772680238423013e-126,4.8841696394104476e-111,6.0219040243582397e-57,9.1064865903480208e-55,4.0351612435148602e-61,1.309269497957289e-71,2.5425832580827332e-56,4.0698457983655708e-67,1.2836478346913483e-76,3.6918914582483407e-39,3.6078891064318346e-43,4.556565213710659e-53,1.0427260978036353e-52,3.9223102262193681e-80,3.1931179273860231e-89,4.9409502927942955e-81,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.3652913980328127e-25,2.4150781565753205e-25,2.3652953083963643e-25,1.5945631894108968e-30,1.204076188661017e-30,1.6281269871494913e-30,2.6447294822447631e-38,1.4549205321234564e-25,1.188253285966458e-38,7.6763624038843736e-30,1.1174997579248147e-42,5.0208259569435691e-43,1.2411756124342938e-25,2.8012445907616602e-38,6.2058780556713572e-26,6.5486146128521599e-30,3.2743069929439267e-30,3.3824909196803946e-37,1.4292341536384546e-41,2.3435710896570563e-50,1.4384120143460343e-54,4.6309716835174697e-27,4.817368875146371e-51,5.6462992146842834e-49,3.1219731537718588e-32,1.137923531422171e-40,3.1548744242475996e-38,2.3897088572269198e-38
5.11e-13,0.0026510330930784175,9.339551739366953e-30,7.9651174865951189e-37,7.4580621061289593e-34,3.3183546352821231e-36,1.2220591478950336e-39,0.0,0.0,5.8654428587598147e-24,2.0153140606227725e-34,3.2321882448276424e-42,1.0911675808318316e-46,9.5552998712853374e-50,1.4870067270880128e-65,3.3584954415644335e-55,5.1309367196087475e-42,5.1918217577200603e-24,7.4561812709201436e-34,1.1607740322818259e-89,7.312110438892791e-88,1.1740240315724187e-57,1.2438010226628037e-55,3.2956672019361188e-39,6.7496340079191926e-46,6.0271367090583489e-37,2.2139146097144371e-61,3.5740570659256515e-53,4.8768227847735232e-31,4.6467145380092665e-35,4.8367935726277793e-25,1.8963825599978977e-45,1.1070255320027863e-60,2.6118202531668352e-58,5.8721425817274281e-44,1.1044899871292633e-74,4.011981356463715e-59,5.5150735932066307e-29,6.7726612132855304e-39,3.6376971433734936e-42,1.9519330321361752e-46,1.4790917947880193e-29,6.2634448619821987e-67,1.1101625934277863e-60,3.3588635576565362e-55,3.3499696062047264e-47,6.6791166264530409e-42,1.0868082654436451e-57,8.2691726089164353e-60,5.0553420409138246e-59,2.4049095088929537e-89,5.4272118817801138e-83,2.1194327637609234e-124,2.0412835829480278e-109,9.7292629872788065e-56,1.4712395889407514e-53,1.3038303719975756e-59,4.2005553742810177e-70,8.1153492664956393e-55,2.5871593428136765e-65,3.9885618831640446e-75,2.9608335727334912e-38,2.8643872936363216e-42,7.3099116861399582e-52,1.6637743110902557e-51,2.5001343617243285e-78,4.0651413670197355e-87,6.2032788609735288e-79,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,4.737168855657058e-25,4.8368810024665183e-25,4.7371845301560855e-25,6.3917555951056272e-30,4.8265078657029975e-30,6.5262950567278153e-30,2.1209484866222013e-37,2.9137579127726268e-25,9.5292439055125771e-38,3.0769235343515975e-29,1.7926993826479697e-41,8.0544467645788577e-42,2.4856927000318037e-25,2.2464832918588394e-37,1.2428463474106999e-25,2.6248874051673282e-29,1.3124434511858843e-29,2.7124850067296794e-36,2.2926925962671329e-40,7.5192364540825187e-49,9.2305931148547812e-53,9.2748453374115639e-27,7.7595375458361741e-50,1.81936021519386e-47,1.2514338118986698e-31,9.1260230483631413e-40,2.5300565764184399e-37,1.9164485601793842e-37
