Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138)
0.0,0.002895540339134344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.002895540339134344,1.8664775746641875e-24,5.466330868181072e-32,1.9014335081192315e-33,2.0699615025919332e-48,1.7109559522151884e-42,0.0,0.0,1.4046587859167252e-22,3.4374780298413449e-34,3.009319231725089e-49,1.8761080216984331e-49,2.3951252210135517e-54,-3.8265338305683291e-82,5.4511155284707615e-54,2.3268972319116188e-42,4.2262447763638117e-29,2.5259394799380384e-40,-7.4804682365554967e-93,6.6067470286899041e-86,1.0835830276164861e-55,2.01234318318102e-48,5.3080426054853563e-44,-1.4262633602689585e-69,2.985513594812639e-42,6.0556700724428099e-67,2.9930780664233543e-48,1.3187742182892916e-28,2.4124078987328856e-39,3.1584182509299803e-32,9.5310281895725411e-21,7.5006296327368839e-52,-5.8006251607962267e-72,1.0138506377528689e-55,-3.1056525393411748e-56,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.1536139169383443e-20,1.1536138975479363e-20,9.5310280197032721e-21,6.3648485636116358e-23,5.2455868857139869e-23,2.6227934510181548e-23,1.5681892349602385e-29,3.5634678001802934e-28,1.8939089556980235e-29,2.5524679348408504e-28,2.264273871457101e-28,4.2661510599756417e-28,8.5063507725149761e-37,7.7593340290333386e-30
3.0000000000000002e-15,0.002895540339134344,6.1327134261482663e-24,1.8585558190145757e-31,1.2495136434736473e-32,2.1031784960826653e-47,1.6131872308601531e-41,0.0,0.0,4.6153082408234987e-22,2.2589143044295613e-33,2.8373555576441034e-48,1.7689039360314727e-48,2.9425818603764388e-53,2.1537924898538862e-80,5.1396226457962949e-53,1.5291038020392616e-41,2.7772465152535926e-28,2.3816000501650341e-39,4.107620416399619e-91,1.0006786002837302e-84,1.3312588801059718e-54,1.8973516371144739e-47,3.4881326787031692e-43,1.4536833486182555e-65,2.814912762334333e-41,9.1700142980757775e-66,2.8220448448771773e-47,8.6662304611188974e-28,2.2745559890822234e-38,2.0755319726922636e-31,3.1316234759030683e-20,9.2150583410321666e-51,1.7473686972636293e-70,1.2455878622508552e-54,1.0242734302948853e-54,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.7904456401582555e-20,3.7904455127355755e-20,3.1316233642746929e-20,2.0913067633227357e-22,1.7235494618918959e-22,8.6177473630901208e-23,1.0305241461281688e-28,2.3417073596553067e-27,1.2445684728400018e-28,1.677336052302005e-27,1.4879513849665548e-27,2.8034706394410319e-27,8.0202734608428991e-36,5.098989913564324e-29
7e-15,0.002895540339134344,1.359863440041758e-23,4.5231633090563202e-31,6.7908419250325042e-32,3.2441349664176618e-46,2.6055443870259983e-40,0.0,0.0,1.0233949516810762e-21,1.2276714207212289e-32,4.5827210045301162e-47,2.8570787700784648e-47,1.4883955998704375e-51,1.8299627556844213e-78,8.3012609128504601e-52,8.3103434535526776e-41,1.5093729219651778e-27,3.8466444717519336e-38,1.5846008009959269e-88,1.6529769974882657e-82,6.7336768926145921e-53,3.0645028650147299e-46,1.895690314794583e-42,1.3586246575411597e-63,4.5465097894798884e-40,1.5144355641292618e-63,4.5580272060238273e-46,4.7099074483220174e-27,3.6737521120176008e-37,1.128006433422954e-30,6.9440342000154522e-20,4.6610994922815522e-49,2.8506553725033243e-69,6.3003533028844712e-53,3.5817204274259762e-54,0.88168480800000004,0.0,0.0094599999999999997,0.10885,8.4049006427474162e-20,8.4048999502330125e-20,6.9440335933396595e-20,4.6372414301650039e-22,3.8217802765183059e-22,1.9108901674062209e-22,5.6006673415652806e-28,1.2726668597746829e-26,6.7639495614665716e-28,9.115956128220494e-27,8.0866917339724399e-27,1.5236251455360551e-26,1.2953955056896958e-34,2.7711865638747663e-28
1.5e-14,0.002895540339134344,2.8530503523225297e-23,1.1069299555418788e-30,3.0042735430003836e-31,3.0087598452145579e-45,2.4232089597089244e-39,0.0,0.0,2.1471247678325163e-21,5.431222797457101e-32,4.2619608873663464e-46,2.6571819451377508e-46,2.8625685231923227e-50,6.8101368089270206e-77,7.7203161511658872e-51,3.6764935210850534e-40,6.6774644534398099e-27,3.577450860464703e-37,1.3768216705694905e-86,6.4873557937817617e-81,1.295059389786745e-51,2.8500342065570531e-45,8.3862843387402389e-42,6.0265669291492639e-62,4.2283382027643154e-39,5.9414853666882148e-62,4.2390467308830372e-45,2.0836627531051548e-26,3.4166577479971782e-36,4.9902999214916849e-30,1.4568854243870919e-19,8.9645104273065693e-48,4.7415605239370831e-68,1.211723374898809e-51,2.9825187231621862e-53,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.7633808954780846e-19,1.7633805891098244e-19,1.4568851559938296e-19,9.7290986511024044e-22,8.0182318775933028e-22,4.0091160677428075e-22,2.4777298188696001e-27,5.6302768389733533e-26,2.9923642823303777e-27,4.0328984930291566e-26,3.5775520000772046e-26,6.7405161594446891e-26,1.2047418667999716e-33,1.225970285401377e-27
3.1e-14,0.002895540339134344,5.8394350465802852e-23,2.9029274950717679e-30,1.2522375016173877e-30,2.538733468293011e-44,2.0451907448696357e-38,0.0,0.0,4.3945906439494626e-21,2.2638315583359059e-31,3.5969958924399235e-45,2.2427320217974342e-45,4.8669908316195152e-49,2.357657260135182e-75,6.5159140723627161e-50,1.5324243489882084e-39,2.7832820013849709e-26,3.019361645218567e-36,1.1657489217713226e-84,2.216362748712333e-79,2.2018823959336138e-50,2.4054061108627528e-44,3.4953455431947633e-41,2.1387185804021017e-60,3.5687086265348743e-38,2.0282912080314067e-60,3.5777418232103423e-44,8.6850656149796062e-26,2.8836525606457209e-35,2.0800431982219623e-29,2.981848871410666e-19,1.5241670779564845e-46,9.7845551699708776e-67,2.060204035690385e-50,3.115515502673621e-52,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.609161880627076e-19,3.6091606036318853e-19,2.9818477527018387e-19,1.9912764642374994e-21,1.6411094967330605e-21,8.205548021130869e-22,1.0327563913005109e-26,2.3467960284502843e-25,1.2472636737038356e-26,1.6809816966067553e-25,1.4911854347528477e-25,2.809562940225323e-25,1.0167997650427803e-32,5.1100353818080888e-27
6.300000000000001e-14,0.002895540339134344,1.1812247913789277e-22,8.4420180050976281e-30,5.1029693014321584e-30,2.0778134536451813e-43,1.6738872225518052e-37,0.0,0.0,8.8895473714245788e-21,9.2252656866469363e-31,2.943794196749561e-44,1.8356757269799996e-44,7.984756675311773e-48,7.8165963887423465e-74,5.3328867275000462e-49,6.2446962974958029e-39,1.1342016140522543e-25,2.4711808270471099e-35,1.0457677882777546e-82,7.2923234767199595e-78,3.6123920101271925e-49,1.9686639080052819e-43,1.4242071887748168e-40,7.1614731898942198e-59,2.9207898892274026e-37,6.6631458804398043e-59,2.9281752575335536e-43,3.5392093392098108e-25,2.3601104216434758e-34,8.4762852614417503e-29,6.03177351846935e-19,2.5005552623103327e-45,2.2650846619275935e-65,3.3799914937617938e-49,3.6261199929561188e-51,0.88168480800000004,0.0,0.0094599999999999997,0.10885,7.3007211418963524e-19,7.300715938079031e-19,6.031768959677377e-19,4.0279902825602048e-21,3.3196660699543259e-21,1.6598332539936213e-21,4.2085024941322809e-26,9.5633121610671705e-25,5.0826207808798989e-26,6.8500882782902409e-25,6.0766587151419713e-25,1.1449111524467155e-24,8.3219438987271624e-32,2.0823495972563589e-26
1.2700000000000001e-13,0.002895540339134344,2.3758047562250142e-22,2.7308694908026819e-29,2.0593058091579557e-29,1.6798942880571467e-42,1.353317221671752e-36,0.0,0.0,1.7879560727219307e-20,3.7228352692871362e-30,2.3797489870767997e-43,1.4843002386260603e-43,1.2922166399145755e-46,2.5434179319248906e-72,4.3114668298470533e-48,2.5200042464979277e-38,4.5770088751699667e-25,1.9978918519669416e-34,1.0338984414946064e-80,2.3687790692015895e-76,5.8461197597542193e-48,1.5915731012417382e-42,5.7459888306491636e-40,2.3411613982262163e-57,2.3613884502377279e-36,2.157688501807888e-57,2.3673467343727078e-42,1.4282293053652531e-24,1.9080940109174278e-33,3.4205612930109534e-28,1.2131613824645757e-18,4.0468354228064256e-44,5.8154692140174786e-64,5.4701303986214625e-48,4.6756696589276255e-50,0.88168480800000004,0.0,0.0094599999999999979,0.10885,1.4683828828336674e-18,1.4683807828641132e-18,1.2131595427917671e-18,8.1013404019508462e-21,6.6767150394030705e-21,3.3383584035020847e-21,1.6982920754469838e-25,3.8592214589763124e-24,2.0510298230439138e-25,2.7643175406196795e-24,2.4522041585635982e-24,4.6202260033295971e-24,6.7280954350149666e-31,8.4030803128815266e-26
2.55e-13,0.002895540339134344,4.7650342509495288e-22,9.6196945509838078e-29,8.2729169781614577e-29,1.3507620760423716e-41,1.0881856377037032e-35,0.0,0.0,3.585998704122365e-20,1.4955665342135134e-29,1.9130890027496741e-42,1.1937952570851744e-42,2.0787680173822229e-45,8.2045006587895516e-71,3.4666259565767362e-47,1.0123325931748253e-37,1.8386826910484222e-24,1.6064360060102339e-33,1.1225542548914622e-78,7.6703388063214306e-75,9.4045233412099707e-47,1.2796558044559608e-41,2.3072260123250001e-39,7.5699309318696317e-56,1.898708196881947e-35,6.9437292931631191e-56,1.9034787666103505e-41,5.7375087820412959e-24,1.534232626387106e-32,1.3741148994024672e-27,2.4331258485337868e-18,6.5102418793699231e-43,1.6268113275779727e-62,8.8000518835722924e-47,6.5618372044659382e-49,0.88168480800000004,0.0,0.0094599999999999945,0.10885,2.9450000856957152e-18,2.9449916496882342e-18,2.4331184581964248e-18,1.6247730591491641e-20,1.3390556285612481e-20,6.6952816929938202e-21,6.8221932934085957e-25,1.5503311921880095e-23,8.2391528358663603e-25,1.1104870485049533e-23,9.8510433094795612e-24,1.8560434319582335e-23,5.4098274851274034e-30,3.375594768450092e-25
5.11e-13,0.002895540339134344,9.5437714958494854e-22,3.5860033989022784e-28,3.3163659621061018e-28,1.0833038057134831e-40,8.7276006123377628e-35,0.0,0.0,7.182243807118726e-20,5.9951177543514067e-29,1.5336580596083228e-41,9.5792388955300749e-42,3.3345761372519378e-44,2.63535401502167e-69,2.7800715274805671e-46,4.0578431177053907e-37,7.3702971275561687e-24,1.288342849514616e-32,1.3064331789689861e-76,2.4915866627161015e-73,1.5085793821304032e-45,1.0261514203951584e-40,9.2399436076372475e-39,2.4348872162361335e-54,1.5227370690296043e-34,2.2280848712445302e-54,1.5265304815036508e-40,2.2998650432669656e-23,1.2304365381420516e-31,5.5081091068983865e-27,4.8730404000904494e-18,1.044367868853351e-41,4.8268960669145709e-61,1.4117362050868593e-45,9.7560874197510361e-48,0.88168480800000004,0.0,0.0094599999999999893,0.10885,5.8982171538219594e-18,5.8981833385398799e-18,4.8730107763594196e-18,3.2539270931819796e-20,2.6817212129560922e-20,1.3408620293751246e-20,2.7344843290690318e-24,6.2144428054505857e-23,3.3024166985547759e-24,4.4513605914263122e-23,3.9487676342581143e-23,7.4398830040813951e-23,4.3386146232560694e-29,1.3530131929843333e-24
