Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138),S(216),C4H8(85),C5H10(91),C6H12(123),S(259),S(211),C3H6(59)
0.0,0.001403831209071487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.001403831209071487,2.000064852565764e-34,1.1159708264937139e-43,1.1580138507782781e-44,2.5243682434718147e-43,3.8136534523275926e-54,0.0,0.0,1.8102229466073842e-28,1.5366581865986477e-41,3.319699975242757e-65,1.2699205148632023e-67,1.8559442734485589e-69,-5.9277123453267363e-114,3.8205977864755704e-76,9.6586326952194722e-61,1.5888179419066264e-40,7.0217409614133027e-53,-1.0289785617272302e-114,1.3521346837020466e-99,1.1828187570456645e-65,2.6910679349087402e-66,6.0961670689373014e-60,-1.6692680785477641e-88,2.999789219292537e-56,5.7526072960158293e-82,4.7082580528679348e-63,1.3365837501847787e-37,8.2506434824456311e-52,5.8365115315256118e-42,2.363616626903877e-29,3.877166181244193e-68,1.9932941515334103e-87,2.2347981663429758e-70,-3.0904232635045888e-76,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.2003661502299651e-29,2.200366110732827e-29,2.3636166335274079e-29,7.9155988569486592e-29,6.7910936091238366e-29,3.3955468149033653e-29,3.8218072606999219e-35,1.7003245503331858e-36,4.4497835054942875e-35,1.202876899885172e-36,1.6338551058807026e-36,1.600319915199099e-36,1.2194036255752234e-47,1.9005594389924628e-35,2.2752729277494348e-39,6.4227993107879042e-40,5.9592307433837294e-40,9.9940188497442359e-41,1.2627158750497577e-45,4.2677966752740418e-39,1.2147390969293005e-39
3.0000000000000002e-15,0.001403831209071487,6.5716401761202698e-34,4.0472514754921653e-43,7.6098045777934185e-44,1.6588703973098898e-42,3.5957301583848095e-53,0.0,0.0,5.9478754004447219e-28,1.0098039515218048e-40,3.1299900310757381e-64,1.1973801235685699e-66,2.2801596963680174e-68,3.3364553421773763e-112,3.6022770955512915e-75,6.3472485380275165e-60,1.0440801570406677e-39,6.6204977157254304e-52,7.2107568211714929e-113,1.6611930814554571e-98,1.1152291550142809e-64,2.5372912758094484e-65,4.0060282751269766e-59,1.2383993250947609e-86,2.8283723051574918e-55,8.711090197556371e-81,4.4392140417064417e-62,8.7832643586296441e-37,7.7791770771612642e-51,3.8354217389049242e-41,7.7661683363656757e-29,4.7633747467894044e-67,3.0184164829902211e-86,2.745608845310608e-69,1.0399437332270166e-74,0.88168480800000004,0.0,0.0094599999999999997,0.10885,7.229774096700601e-29,7.2297738371479874e-29,7.7661683798917414e-29,2.6008381623502757e-28,2.2313580729665866e-28,1.1156790432791146e-28,2.5114727280817823e-34,1.1173560981145235e-35,2.9241427315610583e-34,7.9046194418394479e-36,1.0736761775356799e-35,1.0516387680905951e-35,1.1497232612274108e-46,1.2489387558952697e-34,1.495178958714379e-38,4.220696281665289e-39,3.9160655510965457e-39,6.5674964943036444e-40,1.1905604635809738e-44,2.8045517628786309e-38,7.9825707977210445e-39
7e-15,0.001403831209071487,1.4571888243498242e-33,1.1422709476472203e-42,4.1357607853119941e-43,9.0155942319631923e-42,5.807645467237733e-52,0.0,0.0,1.3188767220919017e-27,5.4880649655370486e-40,5.0552186083471558e-63,1.9343425649916724e-65,1.1533340948698666e-66,2.8347905979384117e-110,5.818211207248168e-74,3.4501116254149178e-59,5.6743414373623808e-39,1.069309351771815e-50,8.3495605174653025e-111,8.4024881976593472e-97,1.8012646698406888e-63,4.0980898837884301e-64,2.1771030984973724e-58,1.0777359001919135e-84,4.5682440799084666e-54,1.4386426654294952e-78,7.1699930131429015e-61,4.7735122289149526e-36,1.2564533898911303e-49,2.0844678954666864e-40,1.7220630401098027e-28,2.4093762676029633e-65,4.9849332091337636e-84,1.3887652580324022e-67,4.3755074766565898e-74,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.6031235660380274e-28,1.603123424976878e-28,1.7220630637652635e-28,5.7670665170951002e-28,4.9477859074526721e-28,2.4738929906600862e-28,1.3649286567113206e-33,6.0725862533296557e-35,1.5892054780053546e-33,4.2959881693736342e-35,5.8351953827885404e-35,5.7154269088694932e-35,1.856974940471564e-45,6.787699878363183e-34,8.1259586746775355e-38,2.2938552309255623e-38,2.1282952008521328e-38,3.5692858899644224e-39,1.9229323001683267e-43,1.524211719208918e-37,4.3383522420666973e-38
1.5e-14,0.001403831209071487,3.0572355505520938e-33,3.358489019964421e-42,1.8296586811134063e-42,3.9884946600118021e-41,5.4012140714829586e-51,0.0,0.0,2.7670550948526939e-27,2.4279199492889178e-39,4.7011716146964784e-62,1.7995471936408322e-64,2.2181591738165907e-65,1.0549466709248047e-108,5.4110279239217034e-73,1.5267115169506508e-58,2.5103233295735095e-38,9.9447580409034283e-50,4.7029311407133896e-109,1.6160038359329846e-95,1.675210828439685e-62,3.8112713471753786e-63,9.6308708166618297e-58,4.211381103579931e-83,4.2485443352295996e-53,5.644125247041e-77,6.6682130343254222e-60,2.1118010682071335e-35,1.1685229285068731e-48,9.2216827293885878e-40,3.6129543221413866e-28,4.633852691412891e-64,1.9557020804351754e-82,2.6709569507155378e-66,4.5104597579238437e-73,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.3634151056586918e-28,3.3634144816045422e-28,3.6129544267930751e-28,1.2099494748107465e-27,1.0380617116870482e-27,5.1903087218293781e-28,6.0384284022208909e-33,2.6865112498197355e-34,7.0306264543241214e-33,1.9005446827743877e-34,2.5814895302870999e-34,2.5285039983402457e-34,1.7270181393086968e-44,3.0028705248840329e-33,3.594913882670973e-37,1.014800493040743e-37,9.4155684566554838e-38,1.5790479012509714e-38,1.7883583940869609e-42,6.7431038607455961e-37,1.919285964555728e-37
3.1e-14,0.001403831209071487,6.2573174539060276e-33,1.0755420354355804e-41,7.626319607775689e-42,1.6624703690693044e-40,4.5586073803455427e-50,0.0,0.0,5.6634118750379699e-27,1.0119991901568388e-38,3.9673228588334593e-61,1.519763674363413e-63,3.7713554665260471e-64,3.652140848122614e-107,4.5668695582223185e-72,6.3667114861586424e-58,1.0463420062998203e-37,8.3933273215986861e-49,2.5992730239352761e-107,2.747520986013742e-94,1.4138767122666368e-61,3.2166585675093151e-62,4.0137982674619224e-57,1.468798679406992e-81,3.5857506898773259e-52,1.9267744329678067e-75,5.6279361877304772e-59,8.8023474135752581e-35,9.8622765696087447e-48,3.8437548087794745e-39,7.3947323625504142e-28,7.8785631626840586e-63,6.6763059411172721e-81,4.5412203405581066e-65,5.7904251224903679e-72,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.8839950924416491e-28,6.8839924912786789e-28,7.3947327987562384e-28,2.4764237297247936e-27,2.1246181698369829e-27,1.0623091530233191e-27,2.5169087687291782e-32,1.1197837860488228e-33,2.930472018611796e-32,7.921796231476713e-34,1.0760089114851103e-33,1.0539236552837979e-33,1.4575948930109781e-43,1.2516421266454537e-32,1.4984141745937831e-36,4.2298559774830551e-37,3.9245646358726808e-37,6.5817117453971941e-38,1.509363768603752e-41,2.8106355908994608e-36,7.999908389489204e-37
6.300000000000001e-14,0.001403831209071487,1.2657435064753071e-32,3.740717819297706e-41,3.1077540933253608e-41,6.7746289401724225e-40,3.7309572129950915e-49,0.0,0.0,1.1456125574062953e-26,4.1239516370005662e-38,3.2462890319398029e-60,1.2453920828320503e-62,6.1872672389707731e-63,1.210790292841016e-105,3.7376855640420485e-71,2.5969958805998147e-57,4.2638652122030787e-37,6.8694271766171198e-48,1.5002812174947651e-105,4.5074423818346604e-93,1.1571832952996639e-60,2.6325805438532714e-61,1.6352258626211081e-56,4.8843468089651901e-80,2.934718492800293e-51,6.3296223971318935e-74,4.6061178853978968e-58,3.5869993986664263e-34,8.0716726626230724e-47,1.5663487858707275e-38,1.4958270348795177e-27,1.2925534176547657e-61,2.1932177816232334e-79,7.4503354653172138e-64,8.0924089518545747e-71,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.3925142696195777e-27,1.3925132096340414e-27,1.4958272126352835e-27,5.0093266752190705e-27,4.2976919519072689e-27,2.1488462534788332e-27,1.0256434051224722e-31,4.5631736432057206e-33,1.1941709488248577e-31,3.2281717267685069e-33,4.3847886659999401e-33,4.2947903199495468e-33,1.1929526379287092e-42,5.1004572763810589e-32,6.1060513170704283e-36,1.723682230091266e-36,1.5992750799624046e-36,2.6820556019928317e-37,1.2353190434007377e-40,1.1453434340829362e-35,3.2599989918234162e-36
1.2700000000000001e-13,0.001403831209071487,2.5457485505736544e-32,1.3814158984618382e-40,1.2541091417172643e-40,2.7338463881627583e-39,3.0163733461768837e-48,0.0,0.0,2.3041553526728003e-26,1.6642009057551651e-37,2.6233443979451519e-59,1.0093731111321221e-61,1.0013202818017131e-61,3.9394698379030204e-104,3.021758459522952e-70,1.0500412195332933e-56,1.7206339183292909e-36,5.5536936657428801e-47,9.0314812183547923e-104,7.2942366736470878e-92,9.3556087060324979e-60,2.1282554354085665e-60,6.595501054308996e-56,1.5915937529084664e-78,2.3726180724549311e-50,2.0496658081409715e-72,3.723878364490274e-57,1.4475124077074827e-33,6.5256674516375835e-46,6.3209079488269103e-38,3.0085273943337626e-27,2.0918126521845649e-60,7.1020579981767478e-78,1.2057399790522203e-62,1.1971782111728773e-69,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.8007388424630487e-27,2.8007345649623679e-27,3.0085281116547986e-27,1.0074950315431213e-26,8.6436829847687205e-27,4.3218426122780363e-27,4.138849440134231e-31,1.8414419420521814e-32,4.8189203437162061e-31,1.3027106046140436e-32,1.7694555504655019e-32,1.7331373687926081e-32,9.6446084030084498e-42,2.0582228666983901e-31,2.4640130587943745e-35,6.9557801787687409e-36,6.4537469687259759e-36,1.0823083662857818e-36,9.9870733180092057e-40,4.6219315080159162e-35,1.3155512291533927e-35
2.55e-13,0.001403831209071487,5.1056847286721853e-32,5.2932851959134532e-40,5.0379604474370272e-40,1.0982301091190224e-38,2.4253325829423709e-47,0.0,0.0,4.6212411650497222e-26,6.6854736416583654e-37,2.1074073116835558e-58,8.156221895851302e-61,1.6108114226551154e-60,1.2706028863729942e-102,2.4295747768532808e-69,4.2345857787825063e-56,6.9119494442102422e-36,4.4654092830475843e-46,5.5902180004921256e-102,1.1732825353926091e-90,7.5226072813955495e-59,1.7110570199348499e-59,2.6468559105668945e-55,5.138050788883035e-77,1.9076871780715832e-49,6.5959711561068543e-71,2.9941456241866969e-56,5.8149545377853392e-33,5.2469181358883985e-45,2.5392384980872818e-37,6.0338991623402866e-27,3.36507514233581e-59,2.2854636098940435e-76,1.9396918338221088e-61,1.8358548823331262e-68,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.6171681966594433e-27,5.617151013127694e-27,6.0339020439512974e-27,2.0205468645216921e-26,1.7335038970485593e-26,8.6675239837409151e-27,1.6626014323272001e-30,7.3974518612802971e-32,1.9357902068340852e-30,5.2332638627176052e-32,7.108266233665509e-32,6.9623695969377285e-32,7.754681202233451e-41,8.2680104656170825e-31,9.898061893747576e-35,2.7942495166830441e-35,2.5925760767052228e-35,4.3476997265103465e-36,8.0299528997601241e-39,1.8566972861822762e-34,5.284822545985944e-35
5.11e-13,0.001403831209071487,1.0225261461964242e-31,2.0705309877077722e-39,2.0193971386870989e-39,4.4021006172989939e-38,1.9450413079920045e-46,0.0,0.0,9.255413677162261e-26,2.6798666048980114e-36,1.6870240435870854e-57,6.6055354549460204e-60,2.5839332531627706e-59,4.0801107644688058e-101,1.948302707957017e-68,1.7104841456792403e-55,2.7704661246544636e-35,3.5810063125222121e-45,3.5157651253489622e-100,1.8816609325693091e-89,6.0331786252326907e-58,1.371927232442017e-58,1.0588261418075141e-54,1.6512277260832166e-75,1.5298573233659213e-48,2.1164158842167633e-69,2.4011146568410898e-55,2.3308939969770636e-32,4.2077323206121357e-44,1.0178404183750872e-36,1.2084526896960387e-26,5.3979883626700814e-58,7.333062470738413e-75,3.1116024459464191e-60,2.8738721254000805e-67,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.1249947740201001e-26,1.1249878861451004e-26,1.2084538447627645e-26,4.0463589921910296e-26,3.4715246982726746e-26,1.7357641520593148e-26,6.6639747054483863e-30,2.9652309467090005e-31,7.7589600508977537e-30,2.0977326752298887e-31,2.8493111934811684e-31,2.7908300587803374e-31,6.2188168091452934e-40,3.3139534277197632e-30,3.9672779715747078e-34,1.1200360462129916e-34,1.0391991986592621e-34,1.7426282100449504e-35,6.4394330722322083e-38,7.442253179398745e-34,2.1183798703698061e-34
