Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138),S(216),C4H8(85),C5H10(91),C6H12(123),S(259),S(211),C3H6(59),S(141),S(297),S(199),S(849),S(890),S(847),C7H15(76),C6H13(74)
0.0,0.0070489443196778264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0070489443196778264,2.7126664917284124e-26,1.0126085577154274e-34,1.776011598802512e-34,4.7566039524799137e-35,5.9590412557475952e-43,0.0,0.0,3.4942009197820913e-24,1.7172941529864935e-36,4.4267217314552323e-53,2.5645034929452447e-53,9.9519356633051943e-51,-3.76638974214837e-80,8.9872256266865405e-50,8.1077340336062301e-46,1.3897497107446616e-22,1.7199259489098589e-34,-7.6466342559044026e-93,3.1986922170927518e-80,1.8683311182766916e-52,2.4214308987074876e-52,1.7921857054795642e-47,-1.9102094160410248e-61,1.093354802042738e-36,4.9001193579608127e-71,5.1551378135357011e-52,8.8010497018046182e-31,1.9244293016285874e-33,1.756085254318952e-34,2.0445159178371739e-22,4.7298837051600707e-47,9.9509862880408949e-75,6.5813018336132845e-60,-4.9607408476752993e-61,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.3551542146203379e-22,2.3551541989416394e-22,2.0445159027962897e-22,1.5156668618442502e-24,1.2615747759430291e-24,6.3078738838644367e-25,1.4997854912025944e-31,3.1225203522754331e-30,1.784944909168085e-31,1.9817977488205595e-30,1.7784070850770449e-30,3.5491574931522777e-30,7.750602058292039e-31,7.4083858266878027e-32,4.025879585143666e-32,2.3080811055504962e-32,1.7898446465553724e-32,1.1600880456514337e-32,4.0804852504524393e-39,7.086446607477891e-32,3.4863250853208354e-32,4.9259578192296073e-34,1.3786875060176462e-46,5.3713409293476512e-33,9.9339830476157519e-42,5.959314697249856e-40,6.0470903791211388e-41,1.1329785382312035e-25,1.389749715296266e-22
3.0000000000000002e-15,0.0070489443196778264,8.9130528567749712e-26,3.5473481343375282e-34,1.1670933714318966e-33,3.1257691979027061e-34,5.6185247302712605e-42,0.0,0.0,1.1480946806024966e-23,1.1285076258541997e-35,4.1737834138993915e-52,2.4179614907017746e-52,9.3832534928502053e-50,2.2275516033584305e-78,5.9058908306039089e-49,5.3279394625733925e-45,4.5663204589796435e-22,1.130237050092579e-33,4.5269517067035433e-91,3.9298232602816862e-79,1.7615693483117491e-51,2.2830631728068417e-51,1.1777236109305736e-46,1.1297524261017818e-59,7.1849029561271516e-36,7.4201806147642372e-70,4.8605583764575924e-51,5.7835469205059033e-30,1.2646249673319858e-32,1.1539988769376696e-33,6.7176950987337575e-22,4.459604453304117e-46,1.5093767170537323e-73,8.08559922461901e-59,1.6508221530353529e-59,0.88168480800000004,0.0,0.0094599999999999997,0.10885,7.7383637791602245e-22,7.7383636761287671e-22,6.717694999893671e-22,4.9800476713799858e-24,4.1451737672379416e-24,2.0725868863456666e-24,9.8557325353371237e-31,2.0519419283039144e-29,1.1729637117535953e-30,1.3023242430673617e-29,1.1686675082970809e-29,2.3323034765154956e-29,5.0932527697732475e-30,4.8683674665694952e-31,2.6455780184557635e-31,1.5167390047208697e-31,1.176183619457048e-31,7.6234356982549857e-32,3.8473146184841096e-38,4.656806345041253e-31,2.2910136200607362e-31,3.2370599243804504e-33,1.2998749086268484e-45,3.5297387904436724e-32,9.3663280875826323e-41,5.618782864780673e-39,5.7015446350427607e-40,3.7226437872697954e-25,4.5663204888901876e-22
7e-15,0.0070489443196778264,1.976376330213337e-25,9.2828382632832003e-34,6.3428999982524603e-33,1.6987907418794928e-33,9.074770473381619e-41,0.0,0.0,2.5457757576736142e-23,6.1331950194349545e-35,6.7414987865616504e-51,3.9053895055416896e-51,1.5155374133595682e-48,4.2978336634941567e-77,3.2097222324448281e-48,2.8956188986782455e-44,1.0125319155178989e-21,6.142592591112103e-33,4.34649589405394e-89,1.9877573594999638e-77,2.8452015236998122e-50,3.687489301134534e-50,6.4006177725535671e-46,2.1797443538334683e-58,3.9048384615251756e-35,1.2254495140899184e-67,7.85053624788154e-50,3.1432319286701641e-29,6.8729616972966596e-32,6.2717328686839051e-33,1.4895758311915452e-21,7.2029341805968122e-45,2.4902782258260634e-71,4.089807870072476e-57,6.2984528200410468e-59,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.7158980110574886e-21,1.7158979550621396e-21,1.4895757774741116e-21,1.1042710611894022e-23,9.1914690711350338e-24,4.5957345503865642e-24,5.3563739286285571e-30,1.1151857687918643e-28,6.3747997504821631e-30,7.0778494345573272e-29,6.3514536813303835e-29,1.2675561700973348e-28,2.768072117204148e-29,2.6458506023818672e-30,1.4378141594256394e-30,8.2431464996180472e-31,6.3923020879007813e-31,4.1431714679410809e-31,6.2139953509079434e-37,2.5308679720023192e-30,1.2451160715621713e-30,1.7592785195699828e-32,2.0990441754659459e-44,1.9183379452053918e-31,1.5128056976859906e-39,9.0751921114541764e-38,9.2088921752363422e-39,8.2545580840235065e-25,1.012531931773628e-21
1.5e-14,0.0070489443196778264,4.1465297410686562e-25,2.5043074520845277e-33,2.8060998708570931e-32,7.5154732763773223e-33,8.4397093410817885e-40,0.0,0.0,5.3411397169459043e-23,2.7133265059523492e-34,6.2700235117968198e-50,3.6321079089140683e-50,1.4094779421661452e-47,7.7068748348267893e-76,1.4199803476162032e-47,1.2810215375833239e-43,2.1243316173957662e-21,2.7174829090754937e-32,2.0665639194294236e-87,3.822977706024805e-76,2.646090975558466e-49,3.429428919928081e-49,2.8315997402885056e-45,3.908719414705333e-57,1.7275004607216543e-34,4.8077279975824415e-66,7.3011431135638257e-49,1.390565736644764e-28,3.0405981948558725e-31,2.7746145048796263e-32,3.1251883572035658e-21,6.6988599742946871e-44,9.7693264087790824e-70,7.8657787494718777e-56,5.8615719833545914e-58,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.600021143178001e-21,3.6000208954546112e-21,3.1251881195576762e-21,2.3168025020926185e-23,1.9284050006535351e-23,9.6420250688271215e-24,2.3696580260446659e-29,4.9335813869044497e-28,2.8202091822746836e-29,3.1312408010964173e-28,2.8098829850754627e-28,5.6076680031001564e-28,1.2245950750481729e-28,1.1705233646233354e-29,6.3608899806411268e-30,3.6467678165568701e-30,2.8279543027641279e-30,1.8329389786372232e-30,5.7791312629516671e-36,1.1196522857292431e-29,5.5083933073334641e-30,7.783098302220738e-32,1.951493078424453e-43,8.4867391664913077e-31,1.4069403045545895e-38,8.4401083476616394e-37,8.5644917002740498e-38,1.7318387043639928e-24,2.1243316893111097e-21
3.1e-14,0.0070489443196778264,8.4868818498988141e-25,7.3720720526863932e-33,1.1696318824131001e-31,3.1325984962677406e-32,7.1231052785413382e-39,0.0,0.0,1.0931874856009969e-22,1.1309624293008282e-33,5.2923934259351659e-49,3.0655303523718436e-49,1.1895966336946747e-46,1.3187025119413382e-74,5.9187183380018139e-47,5.339518018270679e-43,4.3479308717035019e-21,1.1326940082417754e-31,9.8305081376206096e-86,6.4999226406752506e-75,2.2332968073940044e-48,2.8944236637339836e-48,1.1802331222980302e-44,6.6881148998834734e-56,7.2005212036017815e-34,1.6412533601757585e-64,6.1621482189055796e-48,5.7961188316274544e-28,1.2673740630528963e-30,1.1565073978452567e-31,6.3964129427304012e-21,5.6538204530286526e-43,3.3349675238576696e-68,1.3373618951804906e-54,6.8904630097489963e-57,0.88168480800000004,0.0,0.0094599999999999997,0.10885,7.3682668707694321e-21,7.3682658382156096e-21,6.3964119521813598e-21,4.7418607951130785e-23,3.9469173187860767e-23,1.9734586867192806e-23,9.8771313564857153e-29,2.0564019982374629e-27,1.1755103308799709e-28,1.305155695895684e-27,1.1712079066834806e-27,2.3373729699924037e-27,5.1043246195449046e-28,4.8789369110608352e-29,2.6513294815898334e-29,1.5200359745295106e-29,1.1787403314529522e-29,7.6400072166585458e-30,4.8775758033571253e-35,4.6668749101179245e-29,2.295993797951124e-29,3.2441713301967632e-31,1.6459681499536327e-42,3.5374300690650746e-30,1.1874596949901206e-37,7.1234534382780956e-36,7.2284987481532822e-37,3.5446046427302627e-24,4.3479311714591264e-21
6.300000000000001e-14,0.0070489443196778264,1.7167767215916859e-24,2.3970590243935636e-32,4.7663193804267646e-31,1.2765661125203515e-31,5.8298795969238134e-38,0.0,0.0,2.21133740162101e-22,4.6087400406203051e-33,4.3323576583304403e-48,2.5090298348431799e-48,9.7361911192040869e-46,2.1788595832629703e-73,2.4119047394764781e-46,2.1758808171320615e-42,8.7951287825270501e-21,4.6157891573734687e-31,5.0159300914842687e-84,1.0663822733816428e-73,1.8278319689640851e-47,2.3689133363689875e-47,4.8092969027229262e-44,1.1050643759567457e-54,2.9342509449892356e-33,5.3916981037374936e-63,5.0433740212362729e-47,2.3619494024197922e-27,5.1646176394658918e-30,4.7128295947021823e-31,1.2938860247795757e-20,4.6273326150077661e-42,1.0955597742790151e-66,2.1940941465007886e-53,8.982128450749522e-56,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.4904756179354586e-20,1.4904751971643955e-20,1.2938856211256976e-20,9.5919590261092671e-23,7.9839264793412792e-23,3.9919633510258454e-23,4.0249726845497478e-28,8.3799466566199169e-27,4.790253612386095e-28,5.3185816366298744e-27,4.7727349170104483e-27,9.5249183443843797e-27,2.0800397673596534e-27,1.9881870192490655e-28,1.0804312340656464e-28,6.1942277385673296e-29,4.8034298414756987e-29,3.1133438513698681e-29,3.9920267529433371e-34,1.901752325767743e-28,9.3562979598372178e-29,1.3220505716883533e-30,1.3453608117526799e-41,1.4415299386864893e-29,9.7187801880598212e-37,5.8301831561304345e-35,5.9162646920653382e-36,7.1701371052298827e-24,8.7951300040473755e-21
1.2700000000000001e-13,0.0070489443196778264,3.4530262540421035e-24,8.4620539334812676e-32,1.9234301389582047e-30,5.1516440706729461e-31,4.7133392013951863e-37,0.0,0.0,4.4476487864850961e-22,1.859840381722151e-32,3.5039444698469559e-47,2.0285928489203661e-47,7.8714815955111775e-45,3.5407291915755872e-72,9.7330846689568703e-46,8.7806484842799031e-42,1.7689522213007027e-20,1.8626792434272405e-30,2.7734070609960562e-82,1.7258128640847515e-72,1.4777622983670942e-46,1.9151905357431195e-46,1.9405936701568606e-43,1.795783373626218e-53,1.1841024662910954e-32,1.7459702618644693e-61,4.0774431742817829e-46,9.5315296202952171e-27,2.084156303028676e-29,1.9018391093964834e-30,2.602374739397732e-20,3.7410782785192033e-41,3.5476571403939154e-65,3.550906284792474e-52,1.2674729948851459e-54,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.9977726210139339e-20,2.9977709230142987e-20,2.6023731104737448e-20,1.9292082068715912e-22,1.6057882898253772e-22,8.0289418984894838e-23,1.6242487771718183e-27,3.3816847695281838e-26,1.9330719372029417e-27,2.1462891811212226e-26,1.9260135752169593e-26,3.8437323814897379e-26,8.3938989191481537e-27,8.0231829016396698e-28,4.3600290545941902e-28,2.4996497900410363e-28,1.9384002717371981e-28,1.2563745258128712e-28,3.2274605338590619e-33,7.6742324483665209e-28,3.7756880370941837e-28,5.3353389680737061e-30,1.0848378445347864e-40,5.8172893112954647e-29,7.8575325091180448e-36,4.7136146977009295e-34,4.7833837387905381e-35,1.4421204373258411e-23,1.7689527142392767e-20
2.55e-13,0.0070489443196778264,6.9258151551599295e-24,3.1573974231477136e-31,7.7268950941047856e-30,2.0696312240272215e-30,3.7898626361062098e-36,0.0,0.0,8.9203177674715792e-22,7.4714456292667058e-32,2.8195472846991626e-46,1.6312839549985543e-46,6.3291855282101304e-44,5.7084547308454084e-71,3.9099684105359753e-45,3.5273748433243586e-41,3.5478299509303085e-20,7.4828035868880234e-30,1.6308086774937605e-80,2.776378557672831e-71,1.1882224763143544e-45,1.5399058548416698e-45,7.7944007070536296e-43,2.8952468592539327e-52,4.7568055289038897e-32,5.6188129658769637e-60,3.2785208634628604e-45,3.8290291400081695e-26,8.3725269810967011e-29,7.6401149690557029e-30,5.2193491830576671e-20,3.0080531460289786e-40,1.1416698096981009e-63,5.7125566951628613e-51,1.8893194534529348e-53,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.0123631926208998e-20,6.0123563713846154e-20,5.2193426393145371e-20,3.8692034482731781e-22,3.2205548132419951e-22,1.6102775871353129e-22,6.5248993578965144e-27,1.3584976837846125e-25,7.7654938666026341e-27,8.6221404975304808e-26,7.7372289789385759e-26,1.5441125429613804e-25,3.3720187026281416e-26,3.2230545582283409e-27,1.7515233625807425e-27,1.0041652972464835e-27,7.7869884094426576e-28,5.0471386413082236e-28,2.595090386852776e-32,3.0827548310597363e-27,1.516778869620613e-27,2.1435417455636318e-29,8.6772524212845858e-40,2.3369891717132725e-28,6.3181741490056407e-35,3.7901325122118738e-33,3.8465113785467851e-34,2.8923348281120545e-23,3.5478319311759371e-20
5.11e-13,0.0070489443196778264,1.3872552296101615e-23,1.2173165988509199e-30,3.0973505219940285e-29,8.2968901755645343e-30,3.0394718857057576e-35,0.0,0.0,1.786584057417433e-21,2.9949578657986559e-31,2.2646865289320474e-45,1.3085309711598316e-45,5.0759299991235622e-43,9.1679043035350089e-70,1.5672810617669406e-44,1.4139361517140435e-40,7.1055815843276273e-20,2.9994734999159207e-29,9.9692651543246718e-79,4.4539142923181294e-70,9.5294807797737628e-45,1.2349337268278685e-44,3.1232529980306592e-42,4.6499546553710658e-51,1.9067588062776657e-31,1.8029800596411633e-58,2.62931812206752e-44,1.5348606534909502e-25,3.356118117450838e-28,3.0625294668356025e-29,1.0453286128098294e-19,2.4123928810378005e-39,3.6632826669601418e-62,9.1644490640368e-50,2.9109299665849754e-52,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.2041530597668785e-19,1.2041503254915882e-19,1.0453259897678903e-19,7.7490764676735588e-22,6.4499888227178195e-22,3.2249951349099756e-22,2.6154384129717113e-26,5.4455105791951154e-25,3.1127149647550938e-26,3.456184795549673e-25,3.1014572820304245e-25,6.1895447865124959e-25,1.3516697557198994e-25,1.2919262679428448e-26,7.0209709971575144e-27,4.0251811910924869e-27,3.1214027097216524e-27,2.0231384411168094e-27,2.08123298276485e-31,1.2355923447789468e-26,6.0799883056599864e-27,8.5940904619297266e-29,6.8870923685142532e-39,9.3682164063131523e-28,5.0674271585973913e-34,3.0397658821780299e-32,3.085430091823692e-33,5.7927673581568459e-23,7.1055895221197868e-20
