Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138),S(216),C4H8(85),C5H10(91),C6H12(123),S(259),S(211),C3H6(59),S(141),S(297),S(199),S(849),S(890),S(847),C7H15(76),C6H13(74),S(172)
0.0,0.0013537590091496894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0013537590091496894,2.3445356788064056e-36,5.0690964161197319e-46,4.3143660999353687e-44,2.0399670476207133e-45,3.6834345173167745e-52,0.0,0.0,1.1641829268066237e-29,5.1206637292058399e-43,5.1538791455399157e-68,3.2728954920587138e-68,1.0487189818751427e-63,-5.6822862520631328e-109,3.0128742044553142e-69,2.5147317521530144e-61,1.7482505877840434e-31,4.3074481952330692e-44,-3.6960262794154505e-121,1.4847105910053082e-104,6.1694826903162777e-69,9.6264824624533304e-70,4.1037340078096194e-63,-3.0801119497094206e-79,9.1877173785279719e-48,4.029707774143618e-85,6.1401431960214468e-66,2.7344287213419147e-39,6.1479808477152958e-43,7.5196898559595533e-44,4.53808440914626e-31,3.7259057339019478e-60,4.9913833547284281e-91,2.8341096561736102e-73,-2.6931554024672145e-80,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.0039269010074476e-31,4.0039268331974973e-31,4.5380844317537076e-31,5.0325856342525944e-30,4.3409756365912136e-30,2.1704878114959072e-30,2.4862537455981458e-36,3.3064559496716389e-38,2.8752060231645031e-36,2.2648255784357347e-38,3.2607500138497442e-38,2.946555118478874e-38,1.4359210885270301e-38,1.248983715260208e-36,3.4515158808857318e-41,7.8191353987483503e-42,7.3432515200469539e-42,2.92149795488396e-42,1.9628242120046153e-47,6.2595110649465789e-41,1.6398014498395743e-41,9.4044193625610001e-40,2.5829342615237896e-55,7.4858612103910139e-42,4.9101616437397828e-51,4.2563176525785222e-48,5.3497522614861427e-46,9.7775916112222859e-32,1.7482506051341454e-31,1.2621550753532832e-38
3.0000000000000002e-15,0.0013537590091496894,7.7034723514276208e-36,1.9230360701677185e-45,2.8351548938442544e-43,1.3405496211811197e-44,3.4729525689511829e-51,0.0,0.0,3.8251724746988576e-29,3.3650075938245204e-42,4.8672814716212109e-67,3.0858727027992121e-67,9.8879207984506502e-63,3.3606663964327488e-107,1.9798884609866967e-68,1.6525378350235761e-60,5.7442514595228989e-31,2.8306087129348124e-43,1.7416971528448392e-118,1.8240719918918867e-103,5.8169414118332701e-68,9.0763927666858951e-69,2.6967227979191468e-62,1.821679854855737e-77,6.0376426314657592e-47,6.1021282870516178e-84,5.7892769167638889e-65,1.7969102417660508e-38,4.0401015556628448e-42,4.941510309473942e-43,1.4910847611821309e-30,3.5129964562757139e-59,7.5583794799463665e-90,3.4819057072820021e-72,9.207313817169711e-79,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.3155759071077308e-30,1.3155758625469084e-30,1.4910847760384509e-30,1.6535629065281878e-29,1.4263197493955816e-29,7.1315987022943145e-30,1.6338234830901523e-35,2.1728138409180379e-37,1.8894206315680463e-35,1.488313915128127e-37,2.1427785079837218e-37,1.9363075872468491e-37,9.4360525305130418e-38,8.2076052162013735e-36,2.268138382611051e-40,5.1382883469019565e-41,4.8255647125297417e-41,1.9198412425046198e-41,1.850662473108278e-46,4.1133925799410608e-40,1.0775837283914188e-40,6.1800443060209523e-39,2.4350632862741576e-54,4.9192789330380926e-41,4.6295801396958635e-50,4.0130987669578634e-47,5.0440505942100354e-45,3.2126372452552393e-31,5.7442515735378459e-31,8.294161663363585e-38
7e-15,0.0013537590091496894,1.7081599595553267e-35,5.9209226442086517e-45,1.5408451506338335e-42,7.2855903574892826e-44,5.609344959881474e-50,0.0,0.0,8.4819041888556493e-29,1.8288084761296717e-41,7.978498829199902e-66,4.9841491625030711e-66,1.5970475000596886e-61,6.4839930227023706e-106,1.0760252696726468e-67,8.9811777483324637e-60,1.2737250200612971e-30,1.5383739430524856e-42,3.4160026443858607e-116,9.2263486967089789e-102,9.3952504628296254e-67,1.4659675747804106e-67,1.4655511476369017e-61,3.5148498862424928e-76,3.2813267486815064e-46,1.0077706938290893e-81,9.3505452633346981e-64,9.7658143800693557e-38,2.195706857014203e-41,2.6856028374038378e-42,3.3063176363562796e-30,5.6740159447630861e-58,1.248270951632064e-87,1.7611938092034104e-70,4.3804439669800056e-78,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.9171460962618126e-30,2.9171458540835245e-30,3.3063177170971136e-30,3.6665899310348557e-29,3.1627037528851156e-29,1.5813518521581115e-29,8.8794610624060884e-35,1.1808768439087638e-36,1.0268573789666286e-34,8.0886612943813559e-37,1.1645532803868446e-36,1.0523408606222924e-36,5.1282882271253726e-37,4.4606477394689909e-35,1.2326816938791347e-39,2.7925457886726697e-40,2.6225874945357113e-40,1.0433910222702548e-40,2.9890950365345669e-45,2.2355380112246086e-39,5.856430424102637e-40,3.3587101700013795e-38,3.9289338290494687e-53,2.6735165938558681e-40,7.4774609600272346e-49,6.4817516865043347e-46,8.1468831892297257e-44,7.1236739017420825e-31,1.2737250820259135e-30,4.5076956353133549e-37
1.5e-14,0.0013537590091496894,3.5837814702924399e-35,1.8931860709084486e-44,6.8166996785876655e-42,3.2231411984711234e-43,5.2167965732778997e-49,0.0,0.0,1.7795367634809966e-28,8.0906487074005462e-41,7.591027019862519e-65,4.6353481332583974e-65,1.4852819118899544e-60,1.1626911183671047e-104,4.7603279455824216e-67,3.9732685250341481e-59,2.6723238493592219e-30,6.8057636971063605e-42,2.3829275209727329e-114,1.774452907185899e-100,8.7377719372484624e-66,1.3633665826415481e-66,6.483164242240626e-61,6.3031680690873836e-75,1.4516583889016147e-45,3.9537151943415364e-80,8.696161922973754e-63,4.3203947007657073e-37,9.7138033859920244e-41,1.1881102604551221e-41,6.9367811251097506e-30,5.2769331052200746e-57,4.8972491834811503e-86,3.3872335652506227e-69,5.0096266293510083e-77,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.120285020482679e-30,6.1202839490865879e-30,6.9367814823069523e-30,7.6926255785651735e-29,6.6354558479427454e-29,3.3177278165376187e-29,3.9282629993746836e-34,5.2241973676161224e-36,4.5428048456926019e-34,3.5784228101968468e-36,5.1519818269536877e-36,4.6555543549886781e-36,2.2687538359444899e-36,1.9733852176898595e-34,5.4533675744861024e-39,1.2354206210538073e-39,1.1602312207691298e-39,4.6159548469210259e-40,2.7799067878765113e-44,9.8900096202246506e-39,2.5908827013591312e-39,1.4858863524299967e-37,3.6480693942327752e-52,1.1827603859963405e-39,6.9541608625421215e-48,6.0281348197551054e-45,7.5767209892539344e-43,1.4945747245255675e-30,2.6723241234904851e-30,1.9942038723163769e-36
3.1e-14,0.0013537590091496894,7.3350087394812151e-35,6.5014318957594004e-44,2.8413193594798939e-41,1.3434579656200596e-42,4.4029687500027615e-48,0.0,0.0,3.6422294597281439e-28,3.3723228410707394e-40,6.6901142222229344e-64,3.9122195465980239e-64,1.2535718450851603e-59,1.9893885631945857e-103,1.9841809326540825e-66,1.6561236210329856e-58,5.4695178322795409e-30,2.8367583157210157e-41,1.519108737707302e-112,3.0169171305932723e-99,7.3746865284148433e-65,1.1506613462828772e-65,2.7019418413667881e-60,1.0786234502748167e-73,6.0507595697387261e-45,1.3497070470369477e-78,7.3395124675941992e-62,1.8008142246097471e-36,4.0488788266588053e-40,4.9522462771785164e-41,1.4197699056248663e-29,4.453709466174095e-56,1.6718053213144585e-84,5.7590484208583914e-68,6.9285062823835977e-76,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.2526557052580494e-29,1.2526552586820943e-29,1.4197700545106541e-29,1.5744623268366628e-28,1.3580896390955537e-28,6.7904477476800686e-29,1.637359596619903e-33,2.1775346958689656e-35,1.8935099832009206e-33,1.4915479770849582e-35,2.1474339269460162e-35,1.9405145612075612e-35,9.4565527055690794e-36,8.2253686385947811e-34,2.2730450439348599e-38,5.1494342877763496e-39,4.8360330289232195e-39,1.924004380300991e-39,2.3462241150139715e-43,4.1223191102559415e-38,1.0799231614341805e-38,6.1933750147321982e-37,3.0692068724210839e-51,4.9299232787137432e-39,5.8692704977229092e-47,5.0877097682505508e-44,6.394685199767942e-42,3.0589894054440767e-30,5.4695189749046181e-30,8.3121824169511623e-36
6.300000000000001e-14,0.0013537590091496894,1.4837400269249819e-34,2.3742094354740244e-43,1.1578535317352476e-40,5.4746377665826209e-42,3.6035909050397833e-47,0.0,0.0,7.3676148804475037e-28,1.3742398517765531e-39,5.9380031228270995e-63,3.2019269736059505e-63,1.0259740775350848e-58,3.2868172692192023e-102,8.0855929920935242e-66,6.7487637187300684e-58,1.1063891095456675e-29,1.1559926596452697e-40,9.6097780646743534e-111,4.9494061086671146e-98,6.0358127022717583e-64,9.4172434113385065e-65,1.1007689983236199e-59,1.7825283410787817e-72,2.4657136023073314e-44,4.4339035894352218e-77,6.0069344121286813e-61,7.3384051651565812e-36,1.6499375986527579e-39,2.0180643376649696e-40,2.871949873314446e-29,3.6450958692037715e-55,5.4920080939145174e-83,9.4483023667021943e-67,1.0192234297455924e-74,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.5339077851442641e-29,2.5339059653273734e-29,2.8719504800304393e-29,3.1848324232315851e-28,2.7471522893237448e-28,1.3735759621857401e-28,6.672259200240618e-33,8.8735601334576802e-35,7.7160751725457973e-33,6.0781326324794514e-35,8.750897235067692e-35,7.9076914048389486e-35,3.8535907173499524e-35,3.3518469880234818e-33,9.2626744006342292e-38,2.0984115766081397e-38,1.9706998499458358e-38,7.8403756486221292e-39,1.9202355445092275e-42,1.6798604196075141e-37,4.4007314348836203e-38,2.5237874243269632e-36,2.4961929162333092e-50,2.0089482772816738e-38,4.8036283436629741e-46,4.1639697102105201e-43,5.2336107223261283e-41,6.1878188161428662e-30,1.1063895751702707e-29,3.3872549351397632e-35
1.2700000000000001e-13,0.0013537590091496894,2.98419312986141e-34,9.0319606212186705e-43,4.6724661771239379e-40,2.209242546056928e-41,2.9134254255017496e-46,0.0,0.0,1.4818385834785928e-27,5.5456789133106309e-39,5.5482261534842555e-62,2.5886688446187395e-62,8.2946749833253678e-58,5.3405516906538345e-101,3.2628603221804648e-65,2.7234070768444651e-57,2.2252578811465866e-29,4.6649387976546927e-40,6.1011701650466352e-109,8.0094711865228259e-97,4.8798761280201771e-63,7.6131610912351705e-64,4.4397878440006519e-59,2.8977972212000837e-71,9.9502385942068269e-44,1.4357905985249075e-75,4.8563828296358782e-60,2.9613696960888473e-35,6.6582238679506031e-39,8.1437784343244014e-40,5.7762953346128902e-29,2.9469432205514418e-54,1.7784165816726002e-81,1.5290835475759912e-65,1.5566045628383111e-73,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.0964026388170545e-29,5.0963952950684951e-29,5.7762977829726765e-29,6.4054548540662402e-28,5.525175760015488e-28,2.7625871436650692e-28,2.6925017166455989e-32,3.5808729901709686e-34,3.1137199702793963e-32,2.4527961585320928e-34,3.5313724569094263e-34,3.1911022540204371e-34,1.5550933387401772e-34,1.352593241615746e-32,3.7378211008447417e-37,8.4679517844193413e-38,7.9525852011150479e-38,3.1639083737014416e-38,1.5524341776560762e-41,6.7789397398478205e-37,1.7758827169860344e-37,1.0184247995294742e-35,1.9930638998796162e-49,8.1068352244824815e-38,3.883547403364942e-45,3.3664075949319982e-42,4.2311126047368932e-40,1.2445477832976398e-29,2.225259760141711e-29,1.3669068369744683e-34
2.55e-13,0.0013537590091496894,5.9849985270752447e-34,3.5185540743457246e-42,1.877038994772276e-39,8.8748590489927292e-41,2.3425955149070219e-45,0.0,0.0,2.9719928195057088e-27,2.2278252995410725e-38,5.6630419358769005e-61,2.0814366334058885e-61,6.66932527806389e-57,8.6080778560108659e-100,1.3107315202893709e-64,1.0940351587505875e-56,4.4629719004575405e-29,1.8740006812935075e-39,3.8877997754659359e-107,1.2883349029890099e-95,3.9238413231044101e-62,6.1207413853673841e-63,1.7817087157845264e-58,4.6755177065775099e-70,3.997212790115926e-43,4.6204684370221463e-74,3.90471661753765e-59,1.1896427372508339e-34,2.6747437867549247e-38,3.2715222538770849e-39,1.158492836146368e-28,2.3694849237612449e-53,5.7229946938116615e-80,2.4598549007359064e-64,2.4320186289130491e-72,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.02213551220341e-28,1.0221325620808451e-28,1.1584938196973422e-28,1.2846228702362498e-27,1.1080815412200843e-27,5.5404047482931684e-28,1.0815938209730842e-31,1.4385103953985603e-33,1.2507998068730936e-31,9.8533990773077365e-34,1.418624496279984e-33,1.2819313924160637e-33,6.2471258515912513e-34,5.4334455461841026e-32,1.5014981021964085e-36,3.4016985911674423e-37,3.1946705081285056e-37,1.27098375399149e-37,1.2482084943205537e-40,2.7232089898372653e-36,7.1340337223288892e-37,4.0909427958253373e-35,1.5636915257389997e-48,3.2565561901547153e-37,3.1225080814425963e-44,2.7067087493807356e-41,3.4018681381021907e-39,2.4960796648298237e-29,4.4629794487230279e-29,5.4911464308742371e-34
5.11e-13,0.0013537590091496894,1.1986206114146225e-33,1.3884183599952213e-41,7.5241196610310766e-39,3.5573429790692312e-40,1.8787509938148437e-44,0.0,0.0,5.9523014721940681e-27,8.9302187029709886e-38,6.4693665232319665e-60,1.6692511282592039e-60,5.3485008133577594e-56,1.3818031685203696e-98,5.2537863557542887e-64,4.3852749804941829e-56,8.9383058454930685e-29,7.5118252307486325e-39,2.4835385841722376e-105,2.066197750475169e-94,3.1470368190938011e-61,4.9075777018258409e-62,7.1271367377832502e-58,7.5205935023985628e-69,1.6022598798027311e-42,1.4825409392684658e-72,3.1313228555574578e-58,4.7686182812898529e-34,1.0721558462221064e-37,1.3113719204428072e-38,2.3201962836794809e-28,1.9002179989236806e-52,1.83625890025107e-78,3.9460197450185304e-63,3.8513929073137267e-71,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.0471111194114167e-28,2.0470992940962803e-28,2.3202002261484705e-28,2.5725892621004302e-27,2.2190465798627465e-27,1.1095221044961264e-27,4.3351962315513805e-31,5.7661949553291778e-33,5.0134011692495847e-31,3.9496939601803133e-33,5.6864792155182659e-33,5.1385554754177699e-33,2.5041248942848921e-33,2.1778084385135081e-31,6.0181843343641628e-36,1.3635117398701849e-36,1.2805298317533869e-36,5.0944856899783132e-37,1.0009678459026922e-39,1.0915597484636178e-35,2.8595984685462381e-36,1.6396095389523059e-34,1.1959219098726657e-47,1.3052724821672322e-36,2.5040242808831697e-43,2.1705825182489743e-40,2.727899577449221e-38,4.999143740484883e-29,8.9383361019685335e-29,2.2010980352555395e-33
