Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138),S(216),C4H8(85),C5H10(91),C6H12(123),S(259),S(211),C3H6(59),S(141),S(297),S(199),S(849),S(890),S(847),C7H15(76),C6H13(74),S(172),S(971),C6H13(118),S(173),S(317),S(869),S(226),S(228),S(1518),S(925)
0.0,0.0037344024097268652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0037344024097268652,2.4683264320455942e-24,4.209474261322255e-32,3.5730850489502523e-32,1.3684093784579966e-32,2.7280479141101215e-40,0.0,0.0,1.1171244357136861e-22,2.4295678229798949e-34,3.5151140229037948e-49,2.8046876048448589e-49,2.3723815327529159e-47,-5.8493411493022271e-74,8.1264160362542607e-46,4.4864951187709827e-42,7.2016040646238937e-21,3.3252392060418159e-32,-2.627623832206638e-86,9.8766047441537739e-75,6.5217307954208673e-49,2.1684337464413403e-48,4.6470569799242116e-44,-3.9487523685533436e-57,3.9176744136038163e-34,2.0066186419161401e-66,2.5287402548431039e-48,1.4552235181415853e-28,3.6261226068687556e-31,3.1009906670059424e-32,9.3735135488546361e-21,8.0465432285295497e-44,1.0087359698319281e-69,6.6384284780746525e-56,-1.797985377937774e-56,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.1343199117581607e-20,1.1343198982130879e-20,9.3735133918193579e-21,4.879893642878932e-23,4.0220137775966181e-23,2.0110068913892999e-23,9.2255953039706915e-30,2.7210472045573703e-28,1.1109023287488366e-29,1.8784515857108126e-28,1.6242534344058328e-28,3.2681789106193521e-28,9.8972804948518922e-29,4.5819491752428931e-30,2.230342612579519e-30,4.0045901364285373e-30,3.179443073284482e-30,2.441813212594805e-30,4.4907463797093282e-37,4.8298439516925889e-30,4.9022283655247189e-30,1.8848554778767686e-32,2.1942799028826926e-44,2.6549597385506697e-31,7.8878651529235612e-40,5.7763768097714767e-38,4.422708227004022e-39,5.0515689194970535e-24,7.2016035633379066e-21,2.162364683343231e-28,1.5206955349841829e-31,3.1820108435900273e-28,6.9133307245353266e-35,5.3594944848679231e-34,6.383267504177989e-46,1.7957586007070426e-39,2.1623671380181021e-39,1.1928092959355868e-41,1.2361228289863596e-40
3.0000000000000002e-15,0.0037344024097268652,8.1102315884534898e-24,1.4598107147570441e-31,2.3480276987211449e-31,8.9924122816380023e-32,2.5721597527640045e-39,0.0,0.0,3.6705526321795269e-22,1.5965733138335983e-33,3.314262280710644e-48,2.6444214469457309e-48,2.236816845596513e-46,3.4594725492496657e-72,5.3402156562519209e-45,2.9482680591637512e-41,2.3662413159601945e-20,2.1851571849161172e-31,1.5424501474641524e-84,1.213413546201553e-73,6.149061065140004e-48,2.0445228174482162e-47,3.0538026678185778e-43,2.3354049431511342e-55,2.5744717268762401e-33,3.0385938405664101e-65,2.3842406820396924e-47,9.5628972679509087e-28,2.3828805616643014e-30,2.0377938526492551e-31,3.0798686879766698e-20,7.5867400452707118e-43,1.5392750887236169e-68,8.1557832183343258e-55,5.9647889912708397e-55,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.7270510715301046e-20,3.7270509825196302e-20,3.0798685847820597e-20,1.6033932599966089e-22,1.3215185059492012e-22,6.607592546772649e-23,6.0625330143664614e-29,1.7881166994703772e-27,7.3002139550763909e-29,1.2344110421462351e-27,1.0673665342226035e-27,2.1476603876304282e-27,6.5039271445581827e-28,3.0109946221512829e-29,1.4656540198209802e-29,2.6315877862783418e-29,2.0893482902653984e-29,1.6046201049158572e-29,4.234132681027338e-36,3.1738962200385236e-29,3.221464612868885e-29,1.2386226337783508e-31,2.0688003876160794e-43,1.7446890130699063e-30,7.4371351325259188e-39,5.4463003797790236e-37,4.1699895432573585e-38,1.6598011829506571e-23,2.3662409865437015e-20,1.4209824515125019e-27,9.9931419544000304e-31,2.0910354202811307e-27,6.5182822787721475e-34,3.5219798043699985e-33,6.0182259344105864e-45,1.6931436206745801e-38,2.0388030392422921e-38,1.1246539074694271e-40,1.1654897853902556e-39
7e-15,0.0037344024097268652,1.7983661043651309e-23,3.7305084400978502e-31,1.2761033570273878e-30,4.887208153713073e-31,4.1544320266028627e-38,0.0,0.0,8.1390573755073662e-22,8.6770349980588491e-33,5.3531228280701615e-47,4.2711659641119725e-47,3.6127977005797558e-45,6.6747066627203825e-71,2.9022890092547778e-44,1.6023187900441316e-40,5.2468827921402363e-20,1.187585399616582e-30,1.45291583629263e-82,6.1376116553163237e-72,9.9316741921327883e-47,3.3022077721885627e-46,1.6596502270684675e-42,4.505934449512878e-54,1.3991693084386521e-32,5.0182638314211763e-63,3.8509080198123812e-46,5.197226291629354e-27,1.2950437532273213e-29,1.1074966086846333e-30,6.8292737287042621e-20,1.2253724122476344e-41,2.5305331436763043e-66,4.1253068667921524e-53,2.2102990181516949e-54,0.88168480800000004,0.0,0.0094599999999999997,0.10885,8.2643302050724618e-20,8.2643297213199411e-20,6.829273167864095e-20,3.5553479201241853e-22,2.9303216701484347e-22,1.4651608443278523e-22,3.294851212192384e-28,9.7180243044782966e-27,3.9675028165958166e-28,6.7087556676457335e-27,5.8009047806906946e-27,1.1672065932527943e-26,3.5347428797615957e-27,1.636408175115641e-28,7.9655216923362746e-29,1.4302106909557602e-28,1.1355153219697255e-28,8.720761219864846e-29,6.8387714432906911e-35,1.7249392340383375e-28,1.7507968990245853e-28,6.731762151899429e-31,3.3400633480690715e-42,9.4820474092883907e-30,1.2012176044269342e-37,8.7966335449966112e-36,6.7352759745364889e-37,3.6804284947419216e-23,5.2468810018336906e-20,7.7227287808139641e-27,5.4310549409196082e-30,1.1364313142450996e-26,1.0527999052355451e-32,1.9142124194898767e-32,9.7161530924232305e-44,2.7346804799112364e-37,3.2929719328517184e-37,1.8165626007754993e-39,1.882480295330867e-38
1.5e-14,0.0037344024097268652,3.7730834895344371e-23,9.7658757381584251e-31,5.6454911496601073e-30,2.162121145490556e-30,3.8637060106711865e-37,0.0,0.0,1.7076084681548789e-21,3.8387247796958998e-32,4.978636050495217e-46,3.9723004880552128e-46,3.3599690358132627e-44,1.1969122255514043e-69,1.2839711083159877e-43,7.0886525257357273e-40,1.1008165363523405e-19,5.253877609712607e-30,6.685135512882998e-81,1.1804250056509183e-70,9.2366563149680965e-46,3.0711059113443035e-45,7.3421662051346156e-42,8.0800557130859215e-53,6.1899242243230774e-32,1.9687827485581704e-61,3.5814138922331424e-45,2.2992525554061823e-26,5.7292733417051714e-29,4.899564626695563e-30,1.4328082845905109e-19,1.1396177930709203e-40,9.9249717534281296e-65,7.9340496892370005e-52,1.986593844603513e-53,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.7338887165091305e-19,1.7338885024970624e-19,1.4328080364748977e-19,7.4592501207117171e-22,6.1479220247970653e-22,3.0739610533365472e-22,1.4576394667450122e-27,4.2992530438693724e-26,1.7552197422762382e-27,2.9679535101626005e-26,2.566320057000266e-26,5.1637209458930896e-26,1.5637701518340563e-26,7.2394554683014238e-28,3.5239546712166402e-28,6.327251637793797e-28,5.0235193936123804e-28,3.8580646020677202e-28,6.3601939619601514e-34,7.6310991017455309e-28,7.7455321966108014e-28,2.9782178555614905e-30,3.1043351101726969e-41,4.1948885688800681e-29,1.1171659939957283e-36,8.1810827323369491e-35,6.2640950569861166e-36,7.7216824666680213e-23,1.1008157443210758e-19,3.4165337913793902e-26,2.4026983611330497e-29,5.0275649366816822e-26,9.7912155621575032e-32,8.4691589231722448e-32,9.0300926029735086e-43,2.5432997697891815e-36,3.0625200104757509e-36,1.6895484028317162e-38,1.7507970086567371e-37
3.1e-14,0.0037344024097268652,7.7226442362632294e-23,2.7812656088520212e-30,2.3531467807246545e-29,9.0122613293490455e-30,3.2609720522631405e-36,0.0,0.0,3.4950210571172649e-21,1.6000507914440147e-31,4.2021805706990855e-45,3.3526749118176903e-45,2.8358074355151407e-43,2.048014960878338e-68,5.3518018515010927e-43,2.9546687155709688e-39,2.2530728982382332e-19,2.1899072328076574e-29,3.0761444799257927e-79,2.0069943068435437e-69,7.7957445446898586e-45,2.5919930604789389e-44,3.0602444675770422e-41,1.3825621814076267e-51,2.5800672241771256e-31,6.7209894909988954e-60,3.0227028766347488e-44,9.5836808972630568e-26,2.3880604068386473e-28,2.0422232905812334e-29,2.932569722329034e-19,9.6183302420325935e-40,3.3878630451009663e-63,1.3489685080926198e-50,2.256941928383845e-52,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.5487995856867515e-19,3.5487986936476884e-19,2.932568688140727e-19,1.5267026043411833e-21,1.2583098839247187e-21,6.291549590259372e-22,6.0756722657793472e-27,1.7920025629531292e-25,7.3160320425521059e-27,1.237094548554393e-25,1.0696865731061284e-25,2.1523276984894607e-25,6.5180646612224035e-26,3.0175190655520724e-27,1.4688518980348765e-27,2.6373079488417712e-27,2.0938897724398538e-27,1.6081081699240664e-27,5.3680070552384087e-33,3.1807484520392837e-27,3.2284777521409512e-27,1.2414431988294545e-29,2.6167664877571808e-40,1.7485274682359214e-28,9.4290467433367388e-36,6.9049010256511344e-34,5.2871547619616946e-35,1.5804187803889071e-22,2.2530695969172847e-19,1.4240694368179004e-25,1.0014861065480689e-28,2.0955704792584349e-25,8.2637351831214729e-31,3.5306490924732861e-31,7.6112721500250012e-42,2.1465336329227769e-35,2.5847525475454201e-35,1.4261603350037927e-37,1.4777610635623451e-36
6.300000000000001e-14,0.0037344024097268652,1.5622269634251237e-22,8.7811666721346911e-30,9.5892662220348671e-29,3.6726793738377507e-29,2.6689445637985033e-35,0.0,0.0,7.0698747460568456e-21,6.5203234906049857e-31,3.4396146668889776e-44,2.7440788284374463e-44,2.3209518914390765e-42,3.3839195835523933e-67,2.1808780281997686e-42,1.2040396976760346e-38,4.5575850124472443e-19,8.9239894211795422e-29,1.5199382000783635e-77,3.29271025036539e-68,6.3804263607672752e-44,2.1213796884683594e-43,1.2469872884900099e-40,2.2843923228985475e-50,1.0513908588460947e-30,2.207915860653117e-58,2.4739096288936811e-43,3.905399582860327e-25,9.731474189906515e-28,8.322168210370423e-29,5.9320910550002299e-19,7.8720364010807845e-39,1.1128929315076817e-61,2.2131328216109847e-49,2.8547767753771801e-51,0.88168480800000004,0.0,0.0094599999999999979,0.10885,7.1786192327390088e-19,7.1786155976346052e-19,5.9320868406320011e-19,3.0882463976476506e-21,2.5453356889976517e-21,1.2726679140329609e-21,2.4758514733172528e-26,7.3025016149298705e-25,2.9812995548958903e-26,5.0412273913375943e-25,4.3590293525169045e-25,8.7708453270468985e-25,2.6561460474575578e-25,1.2296459249241492e-26,5.9857032297767423e-27,1.0747169876334662e-26,8.5327117891891208e-27,6.5531269311125559e-27,4.3934428848185153e-32,1.2961510300387436e-26,1.3156266341593583e-26,5.0595190782416047e-29,2.136333408977699e-39,7.1255479627839385e-28,7.7174599321536639e-35,5.651415712395976e-33,4.3276860410909857e-34,3.1969188051763104e-22,4.5575715594085481e-19,5.8031507806387188e-25,4.0811079143079284e-28,8.5395157344553714e-25,6.7633589501949714e-30,1.4392106030693223e-30,6.2129740005246639e-41,1.7568087016477299e-34,2.1154634761277281e-34,1.1675351214639205e-36,1.2096156549804982e-35
1.2700000000000001e-13,0.0037344024097268652,3.1423536040106591e-22,3.0344162299401199e-29,3.86975510169615e-28,1.48220018267088e-28,2.1578098420633086e-34,0.0,0.0,1.4219696167982513e-20,2.6312691915569183e-30,2.7814328955252783e-43,2.2186842904943021e-43,1.8764353583764594e-41,5.4991108302728101e-66,8.800745797228606e-42,4.8588134617709681e-38,9.1666068026157039e-19,3.6012319780166479e-28,8.1946917636237918e-76,5.3289248371722799e-67,5.1584896849143033e-43,1.7150477695508069e-42,5.0315215009095061e-40,3.7122856584432807e-49,4.2428330252425983e-30,7.1497774465541344e-57,2.000088631906545e-42,1.5760033300337398e-24,3.927088444970458e-27,3.3583690039647545e-28,1.1931127549125097e-18,6.3642990800562353e-38,3.6036636972412733e-60,3.5817076874523866e-48,3.9400022700514489e-50,0.88168480800000004,0.0,0.0094599999999999962,0.10885,1.443825016164443e-18,1.44382354923808e-18,1.1931110542286672e-18,6.211288420577719e-21,5.1193490688492313e-21,2.5596748150191067e-21,9.9910350668708208e-26,2.9468845788885491e-24,1.2030704133647944e-25,2.0343630965252297e-24,1.7590641794693213e-24,3.5394270165445446e-24,1.0718744462270276e-24,4.9621007462606047e-26,2.4155437750146046e-26,4.3369662957723289e-26,3.4433327429967545e-26,2.6444820116645728e-26,3.5520368478602702e-31,5.2303841056262284e-26,5.3091838674745351e-26,2.042204855419874e-28,1.7185997254877372e-38,2.8756449127849635e-27,6.2398797456243043e-34,4.5692561328434331e-32,3.4995467404281852e-33,6.4299146840891189e-22,9.1665525137118007e-19,2.3418260209434518e-24,1.6469096427603237e-27,3.4460421303981368e-24,5.4679331751111978e-29,5.8115103928039456e-30,4.9967146858763104e-40,1.420321611350022e-33,1.710280403660302e-33,9.4441235178171496e-36,9.7818805410670746e-35
2.55e-13,0.0037344024097268652,6.3034131225396342e-22,1.1173103571157824e-28,1.5546110046059366e-27,5.9552031806247532e-28,1.7350698229619118e-33,0.0,0.0,2.851979518791807e-20,1.0570599077413328e-29,2.2373950594547212e-42,1.7842261311070935e-42,1.5087771589729544e-40,8.8661739428573298e-65,3.5353932123170609e-41,1.9518710065592998e-37,1.8384640629966609e-18,1.4466958845475451e-27,4.7393922427997515e-74,8.5730461940470099e-66,4.1478672676723631e-42,1.3789496445439429e-41,2.0207661889525787e-39,5.9852417413342297e-48,1.704439044603669e-29,2.3008998455014467e-55,1.6081872585171716e-41,6.3311483118074682e-24,1.5775997288591593e-26,1.3491315712787897e-27,2.3929175852551718e-18,5.1172202409478031e-37,1.1596399466192936e-58,5.7620744917421486e-47,5.7916651211564981e-49,0.88168480800000004,0.0,0.0094599999999999927,0.10885,2.8957478558761699e-18,2.8957419629200167e-18,2.3929107532553754e-18,1.2457190221716701e-20,1.0267222915167517e-20,5.1336125847376996e-21,4.0135097511924171e-25,1.1838266186324475e-23,4.8328571376153993e-25,8.1724990436047523e-24,7.0665512652268561e-24,1.4218638935509842e-23,4.3059590574995552e-24,1.9933273758132106e-25,9.7041257947130471e-26,1.7422559640505455e-25,1.3832633478278789e-25,1.0623478351814792e-25,2.8561365683364837e-30,2.1010267593181098e-25,2.1328486033041285e-25,8.2076979366141093e-28,1.3682776505378631e-37,1.1553438851818657e-26,5.0180667285529308e-33,3.6743332734805672e-31,2.8150127271104259e-32,1.2895889758988584e-21,1.8384422540603938e-18,9.4075864654527786e-24,6.615995568606771e-27,1.3843226016376272e-23,4.3964412720690898e-28,2.3375444831806642e-29,3.9760671252328674e-39,1.1420041796583042e-32,1.3751416981689684e-32,7.6015361371641237e-35,7.8691664434704118e-34
5.11e-13,0.0037344024097268652,1.2628757056279187e-21,4.2761317531659583e-28,6.2319849511060399e-27,2.3878340082814834e-27,1.3915847073935081e-32,0.0,0.0,5.7121817931311471e-20,4.2373699573780344e-29,1.7958736873402298e-41,1.4313430610582573e-41,1.2100218139294014e-39,1.4240445817582929e-63,1.4171060779885992e-40,7.8238592697194062e-37,3.6820669272822338e-18,5.7990610985259294e-27,2.8696167145486364e-72,1.3753699012835502e-64,3.3267068259046253e-41,1.1058033384482962e-40,8.0961370542187138e-39,9.6130705442776424e-47,6.8322017751416118e-29,7.3831038680002016e-54,1.2897231106416373e-40,2.5378230795913177e-23,6.3237871856179033e-26,5.4079694879329142e-27,4.7925173720488408e-18,4.1038008859092006e-36,3.7206418752906215e-57,9.2437787177415278e-46,8.8538109876910237e-48,0.88168480800000004,0.0,0.0094599999999999858,0.10885,5.7995801511044214e-18,5.799556529404704e-18,4.7924899863072921e-18,2.4948264925183775e-20,2.0562359016596437e-20,1.0281184026020153e-20,1.6087188291709071e-24,4.745327525123394e-23,1.9371262366746972e-24,3.2759392465665727e-23,2.8326134578065938e-23,5.699493953144788e-23,1.7260365812973142e-23,7.989744345708879e-25,3.8901609137046485e-25,6.9838021552545474e-25,5.5447857095623064e-25,4.258406536043468e-25,2.290694087095638e-29,8.4208461809360299e-25,8.5497358133320981e-25,3.2930116750991989e-27,1.0761683829366199e-36,4.6322438075632268e-26,4.0257048709725662e-32,2.9473364946609093e-30,2.2594477188675132e-31,2.5827773174858073e-21,3.6819795075552207e-18,3.7709740494820521e-23,2.6520042424158679e-26,5.5487979023438875e-23,3.5256772018158204e-27,9.3935123244456651e-29,3.1242196372662082e-38,9.1582987176958063e-32,1.102790027161537e-31,6.1089282490042596e-34,6.3172246115708469e-33
