Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138),S(216),C4H8(85),C5H10(91),C6H12(123),S(259),S(211),C3H6(59),S(141),S(297),S(199),S(849),S(890),S(847),C7H15(76),C6H13(74),S(172),S(971),C6H13(118),S(173),S(317),S(869),S(226),S(228),S(1518),S(925),S(942),S(1546)
0.0,0.0013396618199268263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0013396618199268263,2.6493424645245938e-36,5.9282357851423352e-46,5.2097631384369398e-44,2.356244240704143e-45,4.5080448958602789e-52,0.0,0.0,1.2675159420971181e-29,5.7502082833263057e-43,9.1431493174817609e-68,4.0395933176565679e-68,1.2749245309076011e-63,-8.2910436319278728e-109,3.8498133235476219e-69,3.0676849372112833e-61,1.9491003634044147e-31,4.9335150825266931e-44,2.3610479751498992e-117,2.0521534103871575e-104,7.6027950267808706e-69,1.2042450664105998e-69,9.9036921268664927e-63,-4.1898294540488597e-79,1.0721892808358426e-47,4.6231285915076004e-82,7.5051365312155847e-66,3.0695930491405108e-39,7.0298893931292635e-43,8.5860885334960313e-44,5.0452729931880368e-31,4.5092209703503524e-60,5.8977293385372959e-88,3.1638245867695433e-70,3.1603181023465291e-70,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.4578452493091105e-31,4.4578451728470952e-31,5.0452730184252715e-31,5.4793788670784569e-30,4.7257274594496335e-30,2.362863722339468e-30,2.7366451012016324e-36,3.7179757045678668e-38,3.1652083243567815e-36,2.5489223309499196e-38,3.6652658998602642e-38,3.3176148530503254e-38,1.6224536024011674e-38,1.3746767368363113e-36,3.863403872869556e-41,8.8757264525911896e-42,8.3366398556370362e-42,3.327354132520058e-42,2.2212561054066866e-47,7.0122883942221406e-41,1.8522477990679709e-41,1.0284606348645162e-39,2.9431016736242291e-55,8.359408035945151e-42,5.5292344496699827e-51,4.8128837245612706e-48,5.9154130677201652e-46,1.0718473294580884e-31,1.9491003814793769e-31,1.4233872510841351e-38,7.8362443409974553e-39,1.8014511890056249e-40,1.0387015231522747e-46,2.6818461565872769e-45,2.8401802969680799e-53,5.3506566646668489e-47,6.1885784928203538e-47,1.227057953672103e-49,2.6258754120629516e-51,6.361037772236892e-66,1.3937808730835156e-64
3.0000000000000002e-15,0.0013396618199268263,8.7049800579634507e-36,2.2475996577986136e-45,3.4235623567832985e-43,1.5483888926187314e-44,4.2504455518803803e-51,0.0,0.0,4.1646952393358612e-29,3.7787083008726699e-42,8.6303900799896004e-67,3.808759338768615e-67,1.2020715738563154e-62,4.9035600202101293e-107,2.5298769356650439e-68,2.0159071530448912e-60,6.4041863752766197e-31,3.2420240797632069e-43,4.9511446238636817e-116,2.5212156221499761e-103,7.1683503271267061e-68,1.1354304325463497e-68,6.5080988941631715e-62,2.4780021047996472e-77,7.0458150170820915e-47,8.3201011595604685e-81,7.0762704089015505e-65,2.0171610775411431e-38,4.6196414340185222e-42,5.6422865574659372e-43,1.6577324244053841e-30,4.2515507356951925e-59,1.0613964110863587e-86,4.7898871143764211e-69,4.7855791533748437e-69,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.4647204979007001e-30,1.4647204476542349e-30,1.6577324409898499e-30,1.8003663020256406e-29,1.5527381232060513e-29,7.7636905674981144e-30,1.798366327954207e-35,2.4432410989656373e-37,2.0799935192564792e-35,1.6750060617657394e-37,2.4086032231833966e-37,2.1801468327931391e-37,1.0661837572785834e-37,9.0335876976118441e-36,2.5388075525423172e-40,5.8326195204499184e-41,5.478362679835557e-41,2.1865466916058253e-41,2.0943267787135865e-46,4.6080747724154433e-40,1.2171913177683686e-40,6.7584526202189438e-39,2.7746079655816721e-54,5.4933238203019144e-41,5.213277242003033e-50,4.5378609565151169e-47,5.5773877495193902e-45,3.5217838267668797e-31,6.404186494054934e-31,9.3536873491861072e-38,5.149531832926463e-38,1.1838104464705139e-39,9.793469573025285e-46,1.7623579449344112e-44,2.6775259622088494e-52,5.0449039698787355e-46,5.8349444145728301e-46,1.1569401078860828e-48,2.4758249522411542e-50,7.8148978758897361e-65,1.7123590761712653e-63
7e-15,0.0013396618199268263,1.9302332121143997e-35,6.9126368347969241e-45,1.8606448819148215e-42,8.4151506648859258e-44,6.8651612668596821e-50,0.0,0.0,9.2347590155047225e-29,2.053645817110155e-41,1.4083089702672858e-65,6.1517223056493735e-66,1.9415258478591051e-61,9.4608154394393542e-106,1.3749317335901119e-67,1.0956013902454275e-59,1.4200583749887584e-30,1.7619691936419658e-42,9.4756271100941974e-113,1.2752573850466431e-101,1.1577982706139245e-66,1.8338828554495994e-67,3.5368629459409057e-61,4.7812249913562685e-76,3.8292463830702135e-46,4.6284833404680713e-78,1.142923143731329e-63,1.0962829501653868e-37,2.5106741011633309e-41,3.0664594026164381e-42,3.6758406230778813e-30,6.8668917294256115e-58,5.9045672321553016e-84,7.9044881415716018e-67,7.9023091714378975e-67,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.2478579547259325e-30,3.247857681647422e-30,3.6758407132107935e-30,3.9921098905025751e-29,3.4430222262839611e-29,1.7215110867659444e-29,9.7737140286380818e-35,1.3278481463641517e-36,1.130429412765001e-34,9.1032923487663282e-37,1.3090231993130896e-36,1.1848621593071148e-36,5.7944755771634631e-37,4.9095504421968917e-35,1.379784213828935e-39,3.1698993676182057e-40,2.977368709232634e-40,1.18833949777715e-40,3.382649053417732e-45,2.5043868432837993e-39,6.6151669146149086e-40,3.6730615362727308e-38,4.4767328385599186e-53,2.9854969113058154e-40,8.4202185208244291e-49,7.3293205496695038e-46,9.0083008938831367e-44,7.8091711876459955e-31,1.4200584395421614e-30,5.0835246694843097e-37,2.7986580298620143e-37,6.4337405835304276e-39,1.5817908631623726e-44,9.5780994740887107e-44,4.3193130624257651e-51,8.1482711828731444e-45,9.4243041886775312e-45,1.8686298894062733e-47,3.9988259638843333e-49,3.9523295603400176e-63,8.6613340026011498e-62
1.5e-14,0.0013396618199268263,4.0496990951469566e-35,2.2081315372386321e-44,8.2315897167101464e-42,3.7228579799988844e-43,6.3847983742531116e-49,0.0,0.0,1.9374886587647054e-28,9.0853291053198467e-41,1.3307225937521953e-64,5.7212155390190226e-65,1.8056527274850491e-60,1.6964860853786374e-104,6.0826878211349057e-67,4.846938173392584e-59,2.9793368116191816e-30,7.7949486633687034e-42,1.5112712100519181e-110,2.452632133351224e-100,1.0767756919477269e-65,1.7055318511716988e-66,1.5645999125813699e-60,8.5742243096658835e-75,1.6940579319725201e-45,3.6702291246748577e-76,1.0629374227551835e-62,4.8499539772584239e-37,1.1107217878510328e-40,1.3566011378048576e-41,7.7120544785269934e-30,6.386328099409624e-57,4.6821179476294154e-82,3.1000446512738627e-65,3.0996256142606426e-65,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.8141312319086313e-30,6.8141300238100491e-30,7.7120548772747041e-30,8.3755768099411955e-29,7.2235729180247753e-29,3.6117863423255045e-29,4.3238793171110955e-34,5.8743981639262714e-36,5.001006143280761e-34,4.0272954583278661e-36,5.791116491165058e-36,5.2418283568386051e-36,2.5634749925096795e-36,2.1719791709204301e-34,6.1041469930317286e-39,1.4023616094149636e-39,1.3171862175631545e-39,5.2572058874057043e-40,3.1459183049117237e-44,1.1079395489346452e-38,2.926547424718998e-39,1.6249546778407254e-37,4.1566347491243235e-52,1.3207800378322111e-39,7.8309406033429323e-48,6.8163874553518156e-45,8.3778518080478117e-43,1.6383940928072011e-30,2.9793370972032261e-30,2.2489505320109459e-36,1.2381258898485427e-36,2.8462781307517282e-38,1.4710910083747165e-43,4.2374005667789019e-43,4.009335860798024e-50,7.578025948901348e-44,8.7647576439319331e-44,1.7378554855465085e-46,3.7189737464486725e-48,7.5997756065858521e-62,1.6657985634716202e-60
3.1e-14,0.0013396618199268263,8.2886127428758583e-35,7.5772997322043987e-44,3.4311483266739224e-41,1.5517480261015449e-42,5.3888749060633485e-48,0.0,0.0,3.9655141811150044e-28,3.786922899589594e-40,1.1578930293591623e-63,4.8286939899424165e-64,1.5239634494154414e-59,2.9027216917078593e-103,2.5353615938860501e-66,2.0202860351241745e-58,6.0978895317184739e-30,3.249067437662343e-41,2.0690568348592358e-108,4.1699536124824517e-99,9.0879956242557604e-65,1.4394435635668566e-65,6.5206422129110084e-60,1.4672801704433075e-73,7.0611221047906786e-45,2.5097958366143068e-74,8.9711325132596784e-62,2.0215435503418403e-36,4.6296776913532428e-40,5.6545449570469174e-41,1.5784472021854497e-29,5.3900339571783997e-56,3.2017468637623227e-80,1.0577839780656943e-63,1.0577127566216722e-63,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.394667124040896e-29,1.3946666204850448e-29,1.5784473683901854e-29,1.7142429619506454e-28,1.4784604244495547e-28,7.392301635881901e-29,1.8022583724660545e-33,2.4485494749366789e-35,2.0844951140532965e-33,1.6786457830050917e-35,2.4138361407882248e-35,2.1848835606886519e-35,1.0685000613823763e-35,9.0531378028236603e-34,2.5442994678569285e-38,5.8452713936259055e-39,5.4902469706776441e-39,2.1912881189084877e-39,2.655135416944475e-43,4.6180746768341356e-38,1.2198338007639212e-38,6.7730300789105201e-37,3.496953815939061e-51,5.5052095577958709e-39,6.6092670739839101e-47,5.7529898923539787e-44,7.0708320041124567e-42,3.3533460483616681e-30,6.0978907220806336e-30,9.3740098625407136e-36,5.1607202029366356e-36,1.1863710448489495e-37,1.2415915207979889e-42,1.7662623320699986e-42,3.3711662546852915e-49,6.3958099596611761e-43,7.3974047190917204e-43,1.4667383144445848e-45,3.1387922141568332e-47,1.2915991026582229e-60,2.8322232220888295e-59
6.300000000000001e-14,0.0013396618199268263,1.6766367565612726e-34,2.7657292584628877e-43,1.3982755547753523e-40,6.3234264382956687e-42,4.4106882217865587e-47,0.0,0.0,8.0215652575028597e-28,1.5431916249368237e-39,1.0044295925109199e-62,3.9520179596505229e-63,1.247273458221334e-58,4.79579942296303e-102,1.0331668725021285e-65,8.2327594048138434e-58,1.2334978359315071e-29,1.3240105834045182e-40,2.7192747274280718e-106,6.8410182137967847e-98,7.4380708819195879e-64,1.1780691162576633e-64,2.6564813585823707e-59,2.4249012134160782e-72,2.8774411319772283e-44,1.6485963269765056e-72,7.3423132329437787e-61,8.2378877266968752e-36,1.886615891696549e-39,2.3042544144038548e-40,3.1929266438329004e-29,4.4114212866435718e-55,2.10310853716232e-78,3.4719886879097738e-62,3.4718720002606624e-62,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.8211725073997338e-29,2.8211704553872829e-29,3.1929273211243312e-29,3.4675811127380974e-28,2.9906386674586939e-28,1.4953191355368532e-28,7.3442227526506132e-33,9.9779584296192992e-35,8.4943408097977121e-33,6.8405654757793277e-35,9.8364990026114717e-35,8.9035068511765924e-35,4.354189061117534e-35,3.6891634262703484e-33,1.0368036800479189e-37,2.3819674164997545e-38,2.2372941727640478e-38,8.929564663078809e-39,2.173059593179847e-42,1.8818825992460223e-37,4.9708728927445391e-38,2.759995250229394e-36,2.8438857744996372e-50,2.2433776412490875e-38,5.4092684218104582e-46,4.708458914522663e-43,5.7869896532077066e-41,6.7832419893649079e-30,1.233498321009151e-29,3.8199546827758757e-35,2.1030186739963141e-35,4.8344687726866002e-37,1.0161635719071663e-41,7.1979412933767234e-42,2.738594433914805e-48,5.2345694394161812e-42,6.0543120978392099e-42,1.2004306498790216e-44,2.5689045238856763e-46,2.1172605452952331e-59,4.6465364408486461e-58
1.2700000000000001e-13,0.0013396618199268263,3.3721587325194006e-34,1.0518331625090382e-42,5.6431899544504349e-40,2.5517634084627542e-41,3.566247821012031e-46,0.0,0.0,1.6133667537026958e-27,6.2274756803583221e-39,9.0378804080845575e-62,3.1951115465255021e-62,1.0083808942155724e-57,7.7923941767254072e-101,4.1692410068644091e-65,3.3222777584104009e-57,2.4809089564454085e-29,5.3429647996002651e-40,3.5185516046814359e-104,1.1070599206156759e-96,6.0135840156626201e-63,9.5238316205927887e-64,1.0714335092634508e-58,3.9423428829632665e-71,1.1611739744754504e-43,1.0662187891972408e-70,5.935985767141262e-60,3.3243504222885891e-35,7.6133245655250658e-39,9.2986811528024027e-40,6.4218692591375263e-29,3.5664921255431511e-54,1.3601636516912104e-76,1.1224712532563639e-60,1.122452471236224e-60,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.6741728007908968e-29,5.6741645200332212e-29,6.4218719922993627e-29,6.9741277746039635e-28,6.01488306849137e-28,3.0074407344834303e-28,2.9636630059538842e-32,4.026546302944562e-34,3.4277779658630909e-32,2.7604715723193328e-34,3.9694604602754143e-34,3.5929575982249562e-34,1.7571067160916671e-34,1.4887124550148594e-32,4.1838734229513401e-37,9.6122152119402362e-38,9.028402435485742e-38,3.6034399495176036e-38,1.756831979335327e-41,7.5941832588673181e-37,2.0059589611409004e-37,1.1137414966587565e-35,2.2703709880887111e-49,9.0528401499254854e-38,4.3731830903447875e-45,3.8066049143455068e-42,4.6784905127751349e-40,1.3643001991086562e-29,2.4809109139417015e-29,1.5415201799645189e-34,8.4866082285236276e-35,1.9508802057938477e-36,8.2152741483903252e-41,2.9049579223773719e-41,2.1816323514982082e-47,4.231949379774582e-41,4.8946802345821148e-41,9.7049788318002697e-44,2.0768609829804289e-45,3.4208954866204544e-58,7.519766933996571e-57
2.55e-13,0.0013396618199268263,6.7630867340715566e-34,4.0969481247827322e-42,2.2674122724761453e-39,1.0250813269436351e-40,2.8679948663391656e-45,0.0,0.0,3.2357872603063585e-27,2.5017185627464637e-38,8.7420574025916969e-61,2.5690750823667161e-61,8.1078745283768553e-57,1.256000046355104e-99,1.6748352959652943e-64,1.3346242193544535e-56,4.9757046177345566e-29,2.1463773263996813e-39,4.5174861777452603e-102,1.7807186763101414e-95,4.8354408533312736e-62,7.6568501527401514e-63,4.2995654917620861e-58,6.3617062919687052e-70,4.6646711427784126e-43,6.8410714931812751e-69,4.7727566624482147e-59,1.3354594306617697e-34,3.0584268919416438e-38,3.7354700487805603e-39,1.2879689418441e-28,2.867631185532979e-53,8.7269781656807583e-75,3.6005476402207336e-59,3.6005180815694646e-59,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.1380131494574338e-28,1.1380098229209533e-28,1.2879700398051395e-28,1.3986702577843647e-27,1.2062923563847537e-27,6.0314585693700471e-28,1.190520355203162e-31,1.6175464411703113e-33,1.3769581284656846e-31,1.1089395557283366e-33,1.5946133021573357e-33,1.4433648595518986e-33,7.0586540552361451e-34,5.9802415478405679e-32,1.6806783318751615e-36,3.8613651481314887e-37,3.6268416325241194e-37,1.4475492275362791e-37,1.4125504515828427e-40,3.0507049952645111e-36,8.0582894291539131e-37,4.4738208225816855e-35,1.7807948737193175e-48,3.6365689893015776e-37,3.5161909428471381e-44,3.0606410431634764e-41,3.7615635694475626e-39,2.736239447449411e-29,4.9757124813519067e-29,6.192603414807521e-34,3.4092452989354154e-34,7.8367562310138988e-36,6.6053448261405947e-40,1.1671991292281736e-40,1.7041446468160672e-46,3.4026401199070263e-40,3.9355000410088367e-40,7.8030800724640699e-43,1.6698709583574972e-44,5.4852654805288961e-57,1.2097001731702474e-55
5.11e-13,0.0013396618199268263,1.3544478967660352e-33,1.6165179794247599e-41,9.0922257147979309e-39,4.1088690414373138e-40,2.3008966966085872e-44,0.0,0.0,6.4806284763049739e-27,1.0028117522188509e-37,9.3770909905857041e-60,2.0603614058712134e-60,6.5021495686866842e-56,2.0161693690835982e-98,6.7132134585330669e-64,5.3497466637177445e-56,9.9651896236223159e-29,8.603630141010752e-39,5.767060975813097e-100,2.8558601647737275e-94,3.8781675719637574e-61,6.1392053480648479e-62,1.71977921038205e-57,1.0235539182244517e-68,1.8698064368268987e-42,4.3624722031145178e-67,3.8274303075897127e-58,5.353115904540361e-34,1.2259528400432187e-37,1.4973426864711828e-38,2.5795069457067429e-28,2.299706749341048e-52,5.5649629277554188e-73,1.1479017472706646e-57,1.1478974235559959e-57,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.2791881312603072e-28,2.2791747971248578e-28,2.5795113467763411e-28,2.8009778409062164e-27,2.4157211593549506e-27,1.2078592921468775e-27,4.7717862705846105e-31,6.4838509493942789e-33,5.5190583100673679e-31,4.4451375998495094e-33,6.3919199844364478e-33,5.7856524490648441e-33,2.8294209047513488e-33,2.3969704488148395e-31,6.7363535811541153e-36,1.5477606098761797e-36,1.4537579500526668e-36,5.80221199031167e-37,1.1327565054364672e-39,1.222831552752071e-35,3.2300752607966784e-36,1.7930611699693502e-34,1.3613030541815981e-47,1.4575851496258448e-36,2.819727072128657e-43,2.454407685142886e-40,3.0163298337575085e-38,5.48006693699947e-29,9.965221144141537e-29,2.4822728509225212e-33,1.3665785044094541e-33,3.1410579939299188e-35,5.2969695781355547e-39,4.6804029623858881e-40,1.2927592537398151e-45,2.7286777087333849e-39,3.1559944459537817e-39,6.2573966792480583e-42,1.3391184588711395e-43,8.7421833475579199e-56,1.9405161796376349e-54
