Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138),S(216),C4H8(85),C5H10(91),C6H12(123),S(259),S(211),C3H6(59),S(141),S(297),S(199),S(849),S(890),S(847),C7H15(76),C6H13(74),S(172),S(971),C6H13(118),S(173),S(317),S(869),S(226),S(228),S(1518),S(925),S(942),S(1546),S(1549)
0.0,0.0022372885741451932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0022372885741451932,1.4677452254045415e-29,4.0888643052290715e-38,2.511675478407785e-37,3.6133488157761263e-38,2.0247024334486606e-45,0.0,0.0,1.0454844437971087e-25,4.13481480547174e-38,1.380007425727344e-57,4.9547795634318408e-58,2.0222299104508096e-54,-4.3035184505989305e-89,6.0237654270476817e-56,5.3659897923298605e-51,1.8534460460153453e-25,2.4209407714517963e-37,-2.5338650086989521e-101,1.0795565497484051e-87,1.1894752584174789e-57,4.4641665877279455e-58,2.7477137246573495e-52,-1.1991822242824073e-66,5.3212772216295025e-40,1.1757688078978293e-71,2.3288352548869228e-56,1.2209483868737217e-33,2.8789697855192832e-36,2.9071870481068643e-37,3.309674779308131e-25,8.7075524766839807e-51,4.806716744076144e-76,1.5032222785692802e-60,2.564721655317845e-60,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.5028722771669358e-25,3.5028722243336378e-25,3.3096747614562693e-25,4.5208382762282623e-26,3.8161322943878178e-26,1.9080661462546763e-26,1.4427118265286114e-32,1.5786491928941696e-32,1.7126641941728513e-32,1.1457824731284851e-32,1.2976338999528784e-32,1.6803251658901872e-32,6.7740160838670223e-33,7.2090864745046332e-33,5.2610364410658937e-35,2.5909897483578741e-35,2.1725888298809383e-35,1.1810964577389035e-35,1.8946238843873218e-41,1.0808151941831235e-34,4.593893285899307e-35,1.3361139874488785e-35,5.2634603623566171e-49,8.0694507908163615e-36,1.3596891478862338e-44,3.0000671204266406e-42,5.0984224108800706e-42,2.1127145691624744e-27,1.8534460095256318e-25,8.9243279639335456e-33,1.015878534745691e-34,1.4431427241545413e-33,5.3675835594334122e-40,6.0895950325583639e-39,4.0884806762489106e-49,9.4623422804315954e-43,1.1232884155179336e-42,3.727126045625788e-45,3.6566457989521974e-45,1.7445266504217179e-56,4.8857555021699951e-57,1.0623228990660641e-60
3.0000000000000002e-15,0.0022372885741451932,4.8225916284280213e-29,1.4590093093013159e-37,1.6505297713813953e-36,2.3744864018003641e-37,1.9090052896128925e-44,0.0,0.0,3.4351632121407211e-25,2.7171640286651774e-37,1.3012432730937633e-56,4.6716499708828392e-57,1.9066738006262312e-53,2.5452241303600883e-87,3.9584739001213141e-55,3.526221909422432e-50,6.0898939295964408e-25,1.5909039103595816e-36,2.9700904078519491e-99,1.3263118959601168e-86,1.1215052333214958e-56,4.2090699354836859e-57,1.8056341053082983e-51,7.0923074222956094e-65,3.4968392584751769e-39,2.1161715881243659e-70,2.195758751284814e-55,8.023374965131313e-33,1.8918944005529869e-35,1.910437167759889e-36,1.0874645241527685e-24,8.2099772093025109e-50,8.6512254072155412e-75,2.2760360327949616e-59,3.8836240821260908e-59,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.1509437100795213e-24,1.150943675360497e-24,1.0874645124215443e-24,1.4854177278240497e-25,1.2538715654115936e-25,6.2693578208860233e-26,9.4806761399469287e-32,1.0373980192611238e-31,1.1254648538496983e-31,7.5294275850882688e-32,8.5273083277219379e-32,1.1042136570448184e-31,4.4514962129053279e-32,4.737398889112877e-32,3.4572520730347484e-34,1.7026503417601872e-34,1.4277011786154104e-34,7.7614906859148886e-35,1.7863594992264231e-40,7.1024984123282007e-34,3.0188440862175887e-34,8.7801798557415946e-35,4.9623327925796627e-48,5.3027817445886354e-35,1.2819926079453192e-43,2.8286346325114486e-41,4.8070848262229315e-41,6.9417761224937357e-27,6.0898936898069074e-25,5.8645582326680168e-32,6.6757730942064126e-34,9.4835075617172803e-33,5.0608638332028962e-39,4.001749121272099e-38,3.8545343604528798e-48,8.9216359727971901e-42,1.0591003827328296e-41,3.5141501686076547e-44,3.4476954168873266e-44,2.1432326550044553e-55,6.0021997724343377e-56,1.6085951940181533e-59
7e-15,0.0022372885741451932,1.0693573857906793e-28,3.9785749750356371e-37,8.970276554165459e-36,1.2904818714816645e-36,3.0833348301378034e-43,0.0,0.0,7.617101290848798e-25,1.4767196290375808e-36,2.1030850360076493e-55,7.5454322944308005e-56,3.0795653762879502e-52,4.9107178646900702e-86,2.151342660037913e-54,1.9164250786461649e-49,1.3503676417960529e-24,8.6462160141313068e-36,9.7372229103198885e-97,6.7086408365461658e-85,1.8114007239261658e-55,6.7982646807067166e-56,9.8129827394430092e-51,1.3683914318994875e-63,1.9004559115117375e-38,1.1775000533091671e-67,3.5464800638405011e-54,4.3605293467905496e-32,1.0282033727093869e-34,1.0382809446600135e-35,2.4113340824119705e-24,1.3260344690795928e-48,4.8137991844396225e-72,3.7568250629146407e-57,6.4113169202653554e-57,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.5520923291500198e-24,2.5520921404597169e-24,2.4113340186553312e-24,3.2937487306321361e-25,2.7803208547177202e-25,1.3901604240045973e-25,5.152535802465972e-31,5.6380319429934753e-31,6.1166501644995236e-31,4.092079871654088e-31,4.6344061422006911e-31,6.0011603521407702e-31,2.4192911697468075e-31,2.574670500835525e-31,1.8789397689467424e-33,9.2535321919805138e-34,7.7592436810772581e-34,4.2182003206815773e-34,2.8852388356932294e-39,3.8600484094911833e-33,1.6406758753379525e-33,4.7718447430814528e-34,8.0096173922471708e-47,2.8819458800650291e-34,2.0706120483836829e-42,4.5686723128206763e-40,7.7641827591146827e-40,1.5392631957793372e-26,1.350367511475689e-24,3.1872594011040422e-31,3.6281370768723394e-33,5.1540739424633446e-32,8.1740520327246725e-38,2.1749175591079149e-37,6.2209408590508314e-47,1.4409778543966875e-40,1.710605762031745e-40,5.67592574381378e-43,5.5685624156726566e-43,1.0838162909733554e-53,3.0341769707230851e-54,2.6550028395216935e-57
1.5e-14,0.0022372885741451932,2.2435541696865523e-28,1.126793942371661e-36,3.9684547992729634e-35,5.7090927648985913e-36,2.8675622235715048e-42,0.0,0.0,1.5980978220860084e-24,6.5330079933898689e-36,1.9579223530116587e-54,7.0174078544657531e-55,2.8640510948183531e-51,8.8058123793938079e-85,9.5175263256918142e-54,8.4782655062365409e-49,2.8331237078369858e-24,3.8250853105885914e-35,1.271268824769358e-94,1.2902404216879553e-83,1.684636435110797e-54,6.3224830531313203e-55,4.3410839393512941e-50,2.4538054567870213e-62,8.4076154296228419e-38,9.3364654897701162e-66,3.2982886050091322e-53,1.9290977967809905e-31,4.5487709429545953e-34,4.5933539822004204e-35,5.0590722992040726e-24,1.2332351199777175e-47,3.8168859218897493e-70,1.4732699364409395e-55,2.5138775952645956e-55,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.3543888245370975e-24,5.354387989771523e-24,5.059072017144821e-24,6.9103997712776227e-25,5.8332101973124758e-25,2.9166050838171099e-25,2.2794777397650293e-30,2.4942647654226686e-30,2.7060011457411316e-30,1.8103358870914818e-30,2.0502608674911857e-30,2.6549127316895546e-30,1.0702942295416089e-30,1.1390321656197756e-30,8.3124179624051195e-33,4.0937609704816229e-33,3.4326880413528141e-33,1.8661309847737046e-33,2.6833227237328155e-38,1.7076816863815771e-32,7.2583481729446078e-33,2.1110698942925309e-33,7.4413704204495842e-46,1.2749723280226592e-33,1.9257076813981212e-41,4.2489492165281533e-39,7.2208537563696891e-39,3.2294337414047493e-26,2.8331231312999487e-24,1.4100431857500815e-30,1.6050874942231607e-32,2.2801577159714936e-31,7.6020073688215451e-37,9.6222314409992284e-37,5.7787228612496615e-46,1.3401342050581972e-39,1.5908927883701062e-39,5.2787769284717484e-42,5.1788849440944472e-42,2.0837141338740995e-52,5.830286879850211e-53,1.0407059365796119e-55
3.1e-14,0.0022372885741451932,4.5919490894737869e-28,3.4847604286509695e-36,1.6541244791630035e-34,2.3796497600414143e-35,2.4202228342533421e-41,0.0,0.0,3.2708735171261116e-24,2.7230714325690384e-35,1.6558221942253385e-53,5.9227045396062065e-54,2.4172503849427427e-50,1.5067103531039723e-83,3.9670591130090612e-53,3.5338890258961935e-48,5.7986341133923189e-24,1.5943614274846656e-34,1.6282766264786653e-92,2.1936760474625571e-82,1.421830062467915e-53,5.3361146822069762e-54,1.8092929215756514e-49,4.1986622569750755e-61,3.5044388252712164e-37,6.3828677702528234e-64,2.7837429771184008e-52,8.040811358696287e-31,1.8960060612273334e-33,1.9145889326383175e-34,1.0354545133885506e-23,1.040845441850804e-46,2.6094058609677905e-68,5.0257367234204e-54,8.572127321056377e-54,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.0958978844297152e-23,1.0958975364851942e-23,1.0354543958214588e-23,1.4143657992955572e-24,1.1938951938658184e-24,5.9694759074776126e-25,9.5012255350236684e-30,1.0396523930281889e-29,1.127904271652846e-29,7.5457922274675708e-30,8.5458398790388066e-30,1.1066132200232735e-29,4.4611706514955699e-30,4.7476669847345639e-30,3.4647506781051428e-32,1.7063492779511913e-32,1.4308028559786835e-32,7.7783510819765103e-33,2.2647142031333961e-37,7.117883330172423e-32,3.0254039747067128e-32,8.7993528894213373e-33,6.2677365631736473e-45,5.314301683955717e-33,1.625293558347352e-40,3.5861033790908731e-38,6.0944189600549661e-38,6.6097723469181596e-26,5.7986317102879195e-24,5.8773017382252658e-30,6.6902804766993839e-32,9.5040557452025997e-31,6.4160581076973506e-36,4.0110358749158462e-36,4.8658837652730085e-45,1.1310674011311571e-38,1.3427065287068616e-38,4.4553778473660306e-41,4.3709994189804952e-41,3.5402700890673802e-51,9.895267006543773e-52,3.5465576288767857e-54
6.300000000000001e-14,0.0022372885741451932,9.2887443369903148e-28,1.1801070584622212e-35,6.740676403892121e-34,9.6972082069273902e-35,1.9808283080574351e-40,0.0,0.0,6.6164261433560443e-24,1.1096666104909642e-34,1.3606511627896909e-52,4.8474488399552295e-53,1.9783807255368959e-49,2.4894067411808867e-82,1.6165891040193118e-52,1.4400795752816396e-47,1.1729648018404922e-23,6.4971049524806504e-34,2.0902376091698217e-90,3.598885969031104e-81,1.1636896634104312e-52,4.367235538592602e-53,7.3717799382249992e-49,6.9374192136535585e-60,1.4280768184432969e-36,4.1903070793595033e-62,2.2783297318648415e-51,3.2766716789600871e-30,7.7263223738905722e-33,7.8020476627311483e-34,2.0945476407656852e-23,8.5187024638865473e-46,1.7130488310689713e-66,1.6486785569268576e-52,2.8096952175705266e-52,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.2168146999773443e-23,2.2168132820866729e-23,2.0945471616742249e-23,2.8609999000017144e-24,2.4150287647783848e-24,1.2075143571847636e-24,3.8717738144043565e-29,4.2366361367330525e-29,4.5962387458056242e-29,3.0749496120992309e-29,3.4824733837889918e-29,4.5095048605865629e-29,1.8179500165232686e-29,1.9346863899746306e-29,1.4118970335986149e-31,6.953454787601879e-32,5.8305902132340708e-32,3.1697147104964854e-32,1.8535353683993977e-36,2.9005513838235153e-31,1.2328672698917457e-31,3.5858222540537507e-32,5.1090774183390066e-44,2.1656032542178209e-32,1.3302130203799524e-39,2.9350250590521766e-37,4.9879981814612009e-37,1.3370439615000452e-25,1.1729638225640874e-23,2.3950298615243991e-29,2.726323269705351e-31,3.8729238532592072e-30,5.2511542883593343e-35,1.6347809303482469e-35,3.9640579688388421e-44,9.2571085723519044e-38,1.0989247641781257e-37,3.6466445088835813e-40,3.5774715028644177e-40,5.7999783371553896e-50,1.6177111363658421e-50,1.1610440189891658e-52
1.2700000000000001e-13,0.0022372885741451932,1.8682356463472411e-27,4.2835222007732002e-35,2.7201913114274351e-33,3.9132669101809342e-34,1.6014687099234077e-39,0.0,0.0,1.3307536340401547e-23,4.4780081588616331e-34,1.1088664145865932e-51,3.9191169835041568e-52,1.5994659825515323e-48,4.0450761892482524e-81,6.5235950584682693e-52,5.8113769830988233e-47,2.3591648204102371e-23,2.6218719841356126e-33,2.6818680643263868e-88,5.8241238667777453e-80,9.4081625241156623e-52,3.5306788098762413e-52,2.9738896495347674e-48,1.1273806792310716e-58,5.7629272319434252e-36,2.7069262680567315e-60,1.8419597350780091e-50,1.3222830452990589e-29,3.1179161052624433e-32,3.1484739396953914e-33,4.2127281372989866e-23,6.8871022093240998e-45,1.1066148147057738e-64,5.3239431116776211e-51,9.0577726835342797e-51,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.4586435774651456e-23,4.4586378556525962e-23,4.2127262039549913e-23,5.7541979286224592e-24,4.8572367986247385e-24,2.4286182976040415e-24,1.5624138438045546e-28,1.7096711280640308e-28,1.8547639819242685e-28,1.2408798116438474e-28,1.4053332082488313e-28,1.8197857662139522e-28,7.3362400932565564e-29,7.807223825168986e-29,5.6975808610053188e-31,2.8060243401241173e-31,2.3528993821062293e-31,1.2791186696112944e-31,1.4985267262579246e-35,1.1704836704418342e-30,4.9751664728309932e-31,1.4470721665422678e-31,4.0974738621592256e-43,8.7391595989035068e-32,1.0754460280827013e-38,2.3728948682214405e-36,4.0327649296945247e-36,2.6891734379427996e-25,2.3591608686008455e-23,9.6650079676310711e-29,1.1001927910177041e-30,1.5628752854945618e-29,4.2453786207140547e-34,6.5991933142765774e-35,3.175512581068168e-43,7.48406877267261e-37,8.8844459245006777e-37,2.9484912419226781e-39,2.8923824073886028e-39,9.3601006375700691e-49,2.5997768020805102e-49,3.7338735554507219e-51
2.55e-13,0.0022372885741451932,3.7469667239679281e-27,1.6250982831228247e-34,1.0927817523695137e-32,1.5720523954379531e-33,1.2877105638769189e-38,0.0,0.0,2.6689776512728991e-23,1.7989191723562219e-33,9.0577207042935945e-51,3.1513363326059468e-51,1.2860617865460574e-47,6.5205964327328398e-80,2.620618111671542e-51,2.3345662511903485e-46,4.7315538078702212e-23,1.0532627625795185e-32,3.4355570217781531e-86,9.3686939363767398e-79,7.5647857801913867e-51,2.8386899577772449e-51,1.193911228784742e-47,1.8176689968346114e-57,2.3150923216618063e-35,1.7328163555290494e-58,1.481029798865127e-49,5.3118949673207625e-29,1.2525344293042286e-31,1.2648096099505052e-32,8.4490660976068506e-23,5.5375701444688076e-44,7.0837769923505881e-63,1.703840032581875e-49,2.8891346656053552e-49,0.88168480800000004,0.0,0.0094599999999999997,0.10885,8.9422823180914872e-23,8.9422593324073697e-23,8.4490583309773331e-23,1.1540313308506314e-23,9.7414164459819464e-24,4.8707078144287223e-24,6.276395850486351e-28,6.8681132303953236e-28,7.4507990415739718e-28,4.9848855951598064e-28,5.6455253369246156e-28,7.3104669612063471e-28,2.9471264991342661e-28,3.1362508064779913e-28,2.2887981220528219e-30,1.127236590436966e-30,9.452073165376862e-31,5.1384745395354285e-31,1.2048924392847897e-34,4.7019390928140654e-30,1.9986293067191612e-30,5.8134654301224571e-31,3.2426407873962268e-42,3.5106963501163507e-31,8.6472899012481574e-38,1.9079562786557091e-35,3.2427442641009028e-35,5.3934164821663614e-25,4.7315379326619291e-23,3.8826373678421696e-28,4.419709553085088e-30,6.2782282720159698e-29,3.4134715177691548e-33,2.6527436840026676e-34,2.5073992967174888e-42,6.017542269235136e-36,7.1435103760009214e-36,2.3712054469002383e-38,2.3257943861790442e-38,1.4973469220370539e-47,4.1247062676356614e-48,1.1853015214779379e-49
5.11e-13,0.0022372885741451932,7.5044634864636701e-27,6.3228568676044037e-34,4.380559125322772e-32,6.3015915609017446e-33,1.0327684764650333e-37,0.0,0.0,5.3454335969480693e-23,7.2109640822733317e-33,7.4915821916790347e-50,2.5275100602490932e-50,1.0313844996245019e-46,1.0469076976350128e-78,1.0504257703103324e-50,9.3581202516963298e-46,9.4762875844849459e-23,4.2219721792680898e-32,4.3929663978700847e-84,1.5026892363208333e-77,6.0668798461317927e-50,2.2762637583169386e-50,4.779638559514908e-47,2.9194633884934558e-56,9.2799751747914808e-35,1.0999721197031972e-56,1.1877259360115649e-48,2.1292552217789071e-28,5.0207466723736638e-31,5.0699468500037928e-32,1.6921649888188642e-22,4.4408875836272031e-43,4.4965408955643153e-61,5.407448947885785e-48,9.1103112935581284e-48,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.7909483742591597e-22,1.7909391605777182e-22,1.692161875614421e-22,2.3111421469301642e-23,1.9508830151982269e-23,9.7544134384583257e-24,2.5157470212120558e-27,2.7530577818439373e-27,2.9864784608621171e-27,1.9981785431526023e-27,2.2629898560340113e-27,2.9303734503689105e-27,1.1813467815928312e-27,1.2570925176241608e-27,9.1742297985950639e-30,4.5184606851829598e-30,3.7888085032056883e-30,2.0597243065328823e-30,9.6627549638457033e-34,1.8846400832298755e-29,8.0114229880235174e-30,2.3305210599865749e-30,2.5208732453313418e-41,1.4072414039877691e-30,6.935023036949271e-37,1.5301477758859437e-34,2.6008624638125667e-34,1.0801838936228675e-24,9.4762239497175345e-23,1.5563389971261052e-27,1.7716247656742381e-29,2.5164644760041182e-28,2.7374179351935013e-32,1.0647110061957014e-33,1.9410227859157894e-41,4.8257745030439301e-35,5.7287445622720393e-35,1.9023606597956675e-37,1.8654672833533268e-37,2.3754141271407865e-46,6.4393891198006272e-47,3.7028722089760618e-48
