Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138),S(216),C4H8(85),C5H10(91),C6H12(123),S(259),S(211),C3H6(59),S(141),S(297),S(199),S(849),S(890),S(847),C7H15(76),C6H13(74),S(172),S(971),C6H13(118),S(173),S(317),S(869),S(226),S(228),S(1518),S(925),S(942),S(1546),S(1549),S(1413),S(1424),S(1776),S(1779),S(975),S(2129)
0.0,0.002378124717471178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.002378124717471178,1.2030854100620369e-36,1.3061378816501735e-46,1.4661057140153591e-44,5.6013356495306998e-46,7.0125759410522966e-53,0.0,0.0,4.4239921389045301e-30,9.9165550107634043e-44,7.6862241819926325e-69,3.78142246023023e-69,1.3152517319045829e-64,1.8604953885926485e-102,6.5617133382521475e-70,5.1385035657427303e-62,9.6551917668970614e-32,1.2385691490998152e-44,7.8780679324494307e-119,1.2453811415525592e-105,1.6001522413186148e-69,1.7162621662717519e-70,1.3765273072766868e-63,-3.2715128295559159e-80,2.3867073007649235e-48,5.2851515477160586e-83,7.4786991330546725e-67,8.7691299780674716e-40,1.7838651078654391e-43,2.1990364867107193e-44,2.5448869102226814e-31,6.1445055595203396e-61,6.3427713952558823e-89,6.8896957455180846e-71,5.7293121877195302e-69,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.2276076630911559e-31,2.2276076414070238e-31,2.5448869156206591e-31,1.9122305043971709e-30,1.6506381433197747e-30,8.2531906989245606e-31,5.336399058949089e-37,1.0424263954987659e-38,6.1722681554217493e-37,7.0693930687733051e-39,1.0094429980139317e-38,9.255926542571944e-39,3.8062156552755633e-39,2.6824370986205551e-37,1.8437829766748139e-41,2.6768049001717454e-42,2.4217992909177163e-42,8.9504057359152441e-43,5.8821489574926532e-48,3.2582857745732024e-41,6.8188399961047217e-42,3.4291346150412144e-40,7.2958030332837294e-56,4.0254187759101158e-42,2.4460961000128047e-51,1.2911881182042374e-48,1.1026195598006724e-46,3.5804202582526145e-32,9.6551917484063151e-32,3.9111252079012976e-39,1.4557151043288198e-39,7.9118914577210501e-41,2.5419538736173198e-47,2.2570962429583334e-45,5.2147688109433184e-54,5.4289665011538289e-48,6.2793349376165718e-48,3.9599219022164412e-50,1.2144202994326425e-51,1.9678465329652241e-66,3.1268100931695811e-65,5.660434617982974e-69,1.2517535142486111e-53,2.621058503207285e-53,8.4849620269695663e-77,2.8979646212449983e-79,1.4712374144856115e-43,4.7178896375592368e-50
3.0000000000000002e-15,0.002378124717471178,3.9529945589381855e-36,4.9689166714236441e-46,9.6344216496116069e-44,3.680877566867648e-45,6.6118633769357401e-52,0.0,0.0,1.4535974173596375e-29,6.5165932933545984e-43,7.2526502932071413e-68,3.5653411251906767e-68,1.2400944192872546e-63,1.7541805623812315e-101,4.3119826958794058e-69,3.3767308010786123e-61,3.172420026931345e-31,8.1391685545950475e-44,1.6500079644903874e-117,1.5300391508273128e-104,1.5087149940862198e-68,1.6181895375402326e-69,9.0457184456112262e-63,1.9348714178370038e-78,1.5684076276590536e-47,9.5127928656626271e-82,7.0513442367576178e-66,5.7625710204535003e-39,1.1722541936499619e-42,1.4450810927557593e-43,8.3617709160116899e-31,5.7933906204084656e-60,1.1416447266478705e-87,1.0432341915680038e-69,8.675521448017955e-68,0.88168480800000004,0.0,0.0094599999999999997,0.10885,7.319282088083419e-31,7.3192819455876973e-31,8.3617709514841136e-31,6.2830410577911946e-30,5.4235235746584693e-30,2.7117617757146767e-30,3.5067760314760398e-36,6.8502304769022214e-38,4.0560613613984503e-36,4.6456010965632775e-38,6.6334824340563141e-38,6.0824659035691349e-38,2.5012273877421993e-38,1.7627441295965782e-36,1.211628624057915e-40,1.7590431072839827e-41,1.5914680037580436e-41,5.8816947342723859e-42,5.5460255563148668e-47,2.1411590413522891e-40,4.4809518393431675e-41,2.2534307444214506e-39,6.878459183755563e-55,2.6452747989641112e-41,2.3063189392381507e-50,1.2174058127940554e-47,1.0396125432140036e-45,1.1764237518378849e-31,3.1724200147802805e-31,2.570167947574353e-38,9.5661276612042568e-39,5.1992421380915172e-40,2.3966991031315008e-46,1.4832354853086742e-44,4.9164118221530973e-53,5.118739342417445e-47,5.9205152191414808e-47,3.733640136017762e-49,1.14502466265048e-50,2.4176201539229815e-65,3.8413474392333266e-64,8.5712217993581653e-68,1.1802254617062891e-52,2.4712890076530753e-52,1.5272491695407487e-75,5.2161867165223977e-78,9.6681300825037592e-43,4.4482954634498777e-49
7e-15,0.002378124717471178,8.7653334456513717e-36,1.5376442946529562e-45,5.2361435366283591e-43,2.0004764233108268e-44,1.0679250884564807e-50,0.0,0.0,3.2231942751482739e-29,3.541626791872607e-42,1.179761237317162e-66,5.7585653562384508e-67,2.0029393321457557e-62,2.8332518873749476e-100,2.3434676010906719e-68,1.8351793815310649e-60,7.0344957767927061e-31,4.4234606776681576e-43,3.1625587028517772e-114,7.7391188692547085e-103,2.4368036595059874e-67,2.613613807757343e-68,4.9160365821718667e-62,3.7332176585971758e-77,8.5239535387127188e-47,5.2947902974312209e-79,1.1388979554848471e-64,3.131831694421538e-38,6.3709459941257577e-42,7.8537006332780052e-43,1.8541315798797172e-30,9.3571986682737478e-59,6.3541413744378621e-85,1.7224654305333591e-67,1.4320452871206641e-65,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.622971095365181e-30,1.6229710179218717e-30,1.854131599158202e-30,1.3931947556137344e-29,1.2026062730691243e-29,6.0130313022230987e-30,1.9058547954265353e-35,3.7229509143698079e-37,2.2043791613078051e-35,2.5247829821490362e-37,3.6051530571060562e-37,3.3056876016249232e-37,1.3593625591277896e-37,9.580122315608717e-36,6.5849314836479581e-40,9.5600128971989399e-41,8.6492790324039283e-41,3.1965715855659776e-41,8.9576626440539375e-46,1.1636727486095945e-39,2.4352993535732012e-40,1.2246885918871293e-38,1.1103232104175799e-53,1.4376479445600683e-40,3.7250509644697781e-49,1.9662929595129586e-46,1.6791290414006908e-44,2.6085914931738595e-31,7.0344957107543291e-31,1.3968302429407664e-37,5.1989818331116748e-38,2.8256721756729742e-39,3.8710282878669791e-45,8.0610911142067512e-44,7.9352737843867379e-52,8.2675321795392175e-46,9.5625205519708607e-46,6.0303869030607499e-48,1.8493854895589048e-49,1.2227453535558845e-63,1.9420233893460245e-62,1.4148217575694435e-65,1.9062535977305977e-51,3.9915842961758146e-51,8.4985139834782234e-73,2.9026001239612342e-75,5.2544132239757563e-42,7.1846640433992918e-48
1.5e-14,0.002378124717471178,1.839000421008596e-35,4.9384511153579479e-45,2.3165028345512171e-42,8.8501039104673705e-44,9.9320346214382942e-50,0.0,0.0,6.7623879963938165e-29,1.5668156941986425e-41,1.109381872223172e-65,5.3555727067285234e-66,1.8627696281232705e-61,2.6349550443383359e-99,1.0367491441489443e-67,8.1188306317977264e-60,1.475864484077736e-30,1.9569386412663394e-42,5.0449658043383735e-112,1.4884277435473814e-101,2.2662736339763539e-66,2.4306989688660784e-67,2.174770263812957e-61,6.6946348929019199e-76,3.7709963404334919e-46,4.199276713825787e-77,1.0591950402274958e-63,1.3855220609431651e-37,2.818505985655978e-41,3.4744764562806154e-42,3.8900398543739582e-30,8.7023630663152388e-58,5.0390571637323004e-83,6.7564215904672835e-66,5.6141252283258117e-64,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.4050564136581429e-30,3.4050560710490622e-30,3.890039939661937e-30,2.9229721049427705e-29,2.5231106889873968e-29,1.2615553165683727e-29,8.4314888025187507e-35,1.647033167205314e-36,9.7521586133339042e-35,1.1169638277827574e-36,1.5949193893527174e-36,1.4624359087536267e-36,6.0138188474532028e-37,4.2382396280020817e-35,2.9131687714355297e-39,4.2293467732975797e-40,3.8264384006955566e-40,1.4141620645195318e-40,8.3307812804538273e-45,5.1480835112564933e-39,1.0773760231261914e-39,5.4180074113879001e-38,1.0316711446506939e-52,6.3601441982203498e-40,3.4643620836959104e-48,1.8286865949077057e-45,1.561617523992246e-43,5.4729260544804887e-31,1.4758644548623694e-30,6.1795757943053736e-37,2.3000291283047621e-37,1.2500752397556374e-38,3.6001232441783912e-44,3.5662477962789352e-43,7.3719760962727682e-51,7.6889492056344027e-45,8.8933110106276014e-45,5.6083618404736664e-47,1.7199590746145194e-48,2.3513148117955167e-62,3.7321917829539423e-61,5.5465626632471505e-64,1.7728671581596988e-50,3.7123622629646755e-50,6.7363994186580759e-71,2.3007712836649066e-73,2.3245485159420503e-41,6.6818619760623046e-47
3.1e-14,0.002378124717471178,3.76393177030294e-35,1.7017263824522583e-44,9.6558542830365688e-42,3.6888738615628536e-43,8.3828382791398062e-49,0.0,0.0,1.384077546155798e-28,6.5307598223688348e-41,9.5651337478353439e-65,4.5200928717499864e-65,1.5721720242231208e-60,2.2238607722400929e-98,4.3213428943308959e-67,3.3840671434144285e-59,3.0206933225800541e-30,8.1568570247780794e-42,6.9081775935688845e-110,2.5306371125597515e-100,1.9127321384414914e-65,2.0514879216716182e-66,9.0641330753785643e-61,1.1455749929406774e-74,1.5718161641708458e-45,2.8720608274434725e-75,8.9395654019237648e-63,5.7750941878936007e-37,1.1748017982610395e-40,1.4482215299006805e-41,7.9618535951129433e-30,7.3447683592976508e-57,3.445870374518764e-81,2.3057937796050168e-64,1.9137471014224328e-62,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.9692252309621269e-30,6.9692238029089653e-30,7.9618539506077762e-30,5.9825110023216909e-29,5.1641058597414827e-29,2.5820528134738165e-29,3.5143804634439421e-34,6.8651175781962594e-36,4.0648569509028384e-34,4.6556978052280589e-36,6.647898257982141e-36,6.0956844125932727e-36,2.5066631869105799e-36,1.766566569030077e-34,1.2142553100811409e-38,1.762862766781344e-39,1.594923798260463e-39,5.8944631642614389e-40,7.0311443366022634e-44,2.1458067248744057e-38,4.4906869475637549e-39,2.2583073896440753e-37,8.6915741790608692e-52,2.6510101141972869e-39,2.9239073830899798e-47,1.5434039779634651e-44,1.3179960583093752e-42,1.1201591491634569e-30,3.0206932008054263e-30,2.5757534895328118e-36,9.5869171470906117e-37,5.2105132502883997e-38,3.0384887730059149e-43,1.4864911718335456e-42,6.2087506296874887e-50,6.4894427574349936e-44,7.505919395800883e-44,4.7334299019438021e-46,1.4516358385950985e-47,3.9966063484207149e-61,6.3360821590719268e-60,1.8906890971632763e-62,1.4963227974632556e-49,3.1334167288101261e-49,4.6019761456176775e-69,1.5717836840561639e-71,9.6890900237461845e-41,5.6394635128964523e-46
6.300000000000001e-14,0.002378124717471178,7.6137832545544305e-35,6.2283627954190409e-44,3.9350308389897076e-41,1.5032335987155146e-42,6.8612498009685482e-48,0.0,0.0,2.7997550482578481e-28,2.6613200536351766e-40,8.1582730176642899e-64,3.699446175694086e-64,1.2867328140885392e-59,1.8200481602371244e-97,1.7609645612468584e-66,1.3790237588520417e-58,6.1103471024111532e-30,3.3239610740124652e-41,9.081391584384675e-108,4.1517003253424127e-99,1.5654681968303583e-64,1.6790013177681381e-65,3.6931257814895806e-60,1.8930486568535212e-73,6.4052314442856388e-45,1.8870522157356657e-73,7.3165075385602039e-62,2.3533803432367698e-36,4.7873775833415871e-40,5.9015766151201001e-41,1.6105469843608421e-29,6.0112722122317801e-56,2.2633373412715544e-79,7.5703849299886772e-63,6.2686164991626765e-61,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.4097555588449753e-29,1.4097549769063518e-29,1.6105471292266934e-29,1.2101525592615856e-28,1.0446041557485197e-28,5.2230203044244217e-29,1.4321206219586609e-33,2.797570543581058e-35,1.6564414635278378e-33,1.8972210217622247e-35,2.7090524542538176e-35,2.4840225617376828e-35,1.021478105287095e-35,7.1988116755232274e-34,4.9481237123775969e-38,7.1837419767275237e-39,6.4993834856206317e-39,2.4020177344907243e-39,5.7545724102937393e-43,8.74424749128331e-38,1.8299765660453974e-38,9.202626392168044e-37,7.0880583812847389e-51,1.0802941789277263e-38,2.3930444522374962e-46,1.2631844392888828e-43,1.0786970107810882e-41,2.2658907624122741e-30,6.1103466061736812e-30,1.0496327211703181e-35,3.9067178519216954e-36,2.1232983112109583e-37,2.4868217414326773e-42,6.0576716289457327e-42,5.0601285971700304e-49,5.3112252161835388e-43,6.1431512994182612e-43,3.8740237887010176e-45,1.1880734933427131e-46,6.5530718831241169e-60,1.0364089766567097e-58,6.1929102695336993e-61,1.2247005864247159e-48,2.5648390005283062e-48,3.0166235170196728e-67,1.0303270746478038e-69,3.948330967693974e-40,4.6155648449989224e-45
1.2700000000000001e-13,0.002378124717471178,1.5313441365973415e-34,2.3725085058407432e-43,1.5881384721361029e-40,6.0662067315135644e-42,5.5477407435100052e-47,0.0,0.0,5.6311100887387226e-28,1.0739629231530922e-39,7.1286939916312846e-63,2.9909151205522579e-63,1.0402881908530294e-58,1.4713708007872782e-96,7.1062386238054968e-66,5.5649683235907987e-58,1.2289639073418494e-29,1.341366579826114e-40,1.1755995334030882e-105,6.7187669769261144e-98,1.265648482588899e-63,1.3573875325739755e-64,1.4898936499278214e-59,3.0770658557738372e-72,2.5847965992813864e-44,1.2210335834422204e-71,5.9151713443707413e-61,9.496938280211877e-36,1.9319204263528765e-39,2.3815491203891856e-40,3.2392657408793323e-29,4.8599482506955698e-55,1.463573774194274e-77,2.4486710182471919e-61,2.0182208321551892e-59,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.8354187195003011e-29,2.8354163711212757e-29,3.2392663254767234e-29,2.4339301960572847e-28,2.1009694382437667e-28,1.0504845277176008e-28,5.7791855801577639e-33,1.1289444527638508e-34,6.6844109704405585e-33,7.6561355146649749e-35,1.0932233723648468e-34,1.0024138377942747e-34,4.1221198500443377e-35,2.9050112559546252e-33,1.996765309133504e-37,2.8989489003397178e-38,2.6227808635333269e-38,9.6931628277956517e-39,4.6523868500698989e-42,3.5286738173825841e-37,7.3847605491737424e-38,3.7135960572114377e-36,5.6897181335422202e-50,4.3594202386434441e-38,1.9347004896226826e-45,1.0212445203065197e-42,8.7208511337271084e-41,4.5573480921953035e-30,1.2289637070881992e-29,4.2357359885206556e-35,1.5765348915691676e-35,8.5683546023522476e-37,2.0105152117302242e-41,2.4446567631205781e-41,4.0568424973639898e-48,4.2939601441623052e-42,4.9665465534277328e-42,3.1320134120353034e-44,9.6051295396676879e-46,1.0593120911832403e-58,1.667381785184384e-57,1.993732275857988e-59,9.9021121524438183e-48,2.0741139123468693e-47,1.9428651149213429e-65,6.6360220906250168e-68,1.5933092080000532e-39,3.7315361797560248e-44
2.55e-13,0.002378124717471178,3.0712578162593669e-34,9.2491958956973658e-43,6.3813244811013673e-40,2.4369168899934914e-41,4.4616812153950515e-46,0.0,0.0,1.1293820314806754e-27,4.3143532144053781e-39,6.5889162127798815e-62,2.4048909599997749e-62,8.3645158268120084e-58,1.1829249841771616e-95,2.8546980284493134e-65,2.2355615702742271e-57,2.4648160661128092e-29,5.3885588786793064e-40,1.510683304062482e-103,1.0807871076341565e-96,1.0176709178810414e-62,1.0913550247400464e-63,5.9816334797885773e-59,4.9634722101695079e-71,1.038368519149444e-43,7.8418570306304505e-70,4.756099089386324e-60,3.8151239241728268e-35,7.7609410602890196e-39,9.5671939268952723e-40,6.4966852812929959e-29,3.9076773674174765e-54,9.3876683150703081e-76,7.8622174292346021e-60,6.420828023115919e-58,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.6867333974896354e-29,5.6867239635680937e-29,6.496687629739222e-29,4.8813843487746747e-28,4.2136125786384253e-28,2.106805520441186e-28,2.3215752907949568e-32,4.5352128532614704e-34,2.6852164025226077e-32,3.0756366361710786e-34,4.3917129061391299e-34,4.02691194830289e-34,1.655944456128394e-34,1.1669812584724513e-32,8.0212493634689168e-37,1.1645610937372369e-37,1.0536193558972693e-37,3.8939121773479224e-38,3.7407432025169544e-41,1.4175282075937194e-36,2.9666085440571483e-37,1.4917720071197285e-35,4.5106204323695206e-49,1.7512340150418066e-37,1.5555939457489466e-44,8.2113060380597241e-42,7.0118759602196124e-40,9.1402391650100646e-30,2.4648152616531772e-29,1.7015862712105256e-34,6.3332803445350817e-35,3.4420114744655805e-36,1.6165507155054018e-40,9.8216454895546199e-41,3.2083590893468864e-47,3.4525593050241098e-41,3.9933526464145062e-41,2.5182729827008606e-43,7.7228859579434437e-45,1.700227609403274e-57,2.6510042864096361e-56,6.3421936017229331e-58,7.9630640576223394e-47,1.6685300849598705e-46,1.2363119051695401e-63,4.2229464087429374e-66,6.4005183290018661e-39,3.0003354393667459e-43
5.11e-13,0.002378124717471178,6.1510134067909296e-34,3.6511647730686259e-42,2.5590796633981052e-39,9.7682301445131458e-41,3.5797140307126034e-45,0.0,0.0,2.2619241347361559e-27,1.729404795266664e-38,6.6591906265302029e-61,1.9286929533630465e-61,6.708110359491291e-57,9.484457211762051e-95,1.1442715351128653e-64,8.9611271869692028e-57,4.9364954421841735e-29,2.1599866985479061e-39,1.9318905531652512e-101,1.7335426686601817e-95,8.1617069880343427e-62,8.751360327263715e-63,2.3948450503884296e-58,7.9796278187592189e-70,4.162266980506014e-43,5.01007397271499e-68,3.8141971606453947e-59,1.5292794740397933e-34,3.1109485552051752e-38,3.834977206801685e-39,1.3011452472419925e-28,3.1338479623819365e-53,5.9830237767189314e-74,2.5113839531044734e-58,2.0143476775489176e-56,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.1389316180562914e-28,1.1389278365176969e-28,1.3011461886031142e-28,9.7758882041388995e-28,8.4385491899872211e-28,4.219271513245187e-28,9.305574291676444e-32,1.8179252379131603e-33,1.0763158386134776e-31,1.2328606605975891e-33,1.7604032093290009e-33,1.6141743296423673e-33,6.6378007156917128e-34,4.6776115040570557e-32,3.2151419470365958e-36,4.6680323096588467e-37,4.223333249802362e-37,1.5608299274701627e-37,2.9999026529305704e-40,5.6819870824764549e-36,1.1891483468161727e-36,5.9792426887590057e-35,3.5184474397568335e-48,7.0194522486891247e-37,1.2475166485676995e-43,6.5850996667309334e-41,5.6230253845130975e-39,1.8305926964491289e-29,4.9364922175531406e-29,6.8207525695431059e-34,2.538675000799876e-34,1.3796541195044711e-35,1.2963981138406101e-39,3.9377224540242218e-40,2.4910572315865833e-46,2.7688060697690598e-40,3.2024996033538114e-40,2.0195109970867503e-42,6.193234551322366e-44,2.7150212516444955e-56,4.1555221158431689e-55,1.9892260746343775e-56,6.3880751815253421e-46,1.3394350923516945e-45,7.7571165692749891e-62,2.6499185837982903e-64,2.5655084445210272e-38,2.4061308242659558e-42
