Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138),S(216),C4H8(85),C5H10(91),C6H12(123),S(259),S(211),C3H6(59),S(141),S(297),S(199),S(849),S(890),S(847),C7H15(76),C6H13(74),S(172),S(971),C6H13(118),S(173),S(317),S(869),S(226),S(228),S(1518),S(925),S(942),S(1546),S(1549),S(1413),S(1424),S(1776),S(1779),S(975),S(2129),S(1032),S(2133),S(2134),S(372),S(2383)
0.0,0.0025565590296081886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0025565590296081886,2.5222167675159069e-28,1.0666492646005313e-36,4.0760154044057997e-36,7.3337235266758291e-37,3.1697353010893056e-44,0.0,0.0,5.3108195289111423e-25,3.0623157702076748e-37,1.0910769892761206e-55,4.1174672551665445e-56,9.1604319020045328e-53,2.504610671855756e-79,1.5110126715098921e-53,4.9504951701014074e-49,2.2743375295173523e-24,3.9145991902428857e-36,-1.1355541410012178e-97,1.1795842896177548e-84,1.3211517717898489e-55,6.3092183485797723e-56,2.3950227047291091e-50,-2.1014342240818416e-64,1.2929813829210947e-38,7.8265932212119168e-70,1.320535870674566e-54,1.4000561737725871e-32,4.5380755179936579e-35,4.4143531780336169e-36,3.7791528475493071e-24,3.9063107345750278e-49,6.0235704800185657e-74,7.6405477650174936e-59,9.8972987450768339e-59,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.1310800569289013e-24,4.131079997817916e-24,3.7791528201798887e-24,2.295344235192938e-25,1.9278886580028017e-25,9.6394432896308212e-26,6.4820384889373489e-32,1.5942452612563968e-31,7.72981422631497e-32,1.150029975717982e-31,1.2304017170411438e-31,1.7484664871913899e-31,6.5956850808262443e-32,3.2337641732488462e-32,6.7114969479430823e-34,4.0193804930376963e-34,3.2889919977734883e-34,1.9164866880937696e-34,2.1152472571016759e-40,1.4040153414236441e-33,6.7685488768717848e-34,7.2955907120740967e-35,6.6464678165570163e-48,9.6675749110041041e-35,1.8849025075533529e-43,3.1770052175665076e-41,2.4862254754893087e-41,1.2616264693001515e-26,2.2743374699937199e-24,9.7441357750015172e-32,5.390635286574008e-34,2.6549984860485882e-32,8.725908563706436e-39,9.1665121148639178e-38,2.2393833344979479e-48,5.295145297234155e-42,6.3144471478871841e-42,2.4442116527585001e-44,4.5293358879859931e-44,8.5577793048248226e-55,1.1538975766336852e-55,2.2610579686959166e-59,1.4045970676531329e-45,1.8456885652589112e-45,4.0828307232072512e-67,1.8892302037031364e-69,2.9230011418963909e-37,9.9202313400849178e-44,4.4027514098201704e-44,5.2455026134326643e-47,5.2534562584039408e-47,9.0330246197195709e-67,1.6427253623010512e-48
3.0000000000000002e-15,0.0025565590296081886,8.2872851051960212e-28,3.776369989279989e-36,2.6785247022871602e-35,4.8193043960305313e-36,2.9886077979791422e-43,0.0,0.0,1.7449836004183485e-24,2.0123789552249844e-36,1.0287668041009636e-54,3.8821841985058865e-55,8.6369782016054152e-52,2.361499640122084e-78,9.929510601855675e-53,3.2531825597371093e-48,7.4728230973742106e-24,2.5724508644444558e-35,7.7356659704776929e-96,1.4492032465052275e-83,1.2456573795869735e-54,5.9486898240834424e-55,1.5738679255800747e-49,1.2428483151869319e-62,8.4967346836180517e-38,1.4086420558160295e-68,1.2450765788628133e-53,9.2003689974017395e-32,2.9821638747115936e-34,2.9008606153778769e-35,1.2417216061246424e-23,3.6830926170835541e-48,1.084131589052971e-72,1.1568555032534404e-57,1.4987148242587842e-57,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.3573548373843892e-23,1.3573547985400282e-23,1.2417215881390255e-23,7.5418428026601884e-25,6.3344891734555006e-25,3.1672445864759833e-25,4.2596246498103338e-31,1.0476468661907891e-30,5.0795914335439689e-31,7.5573397670423331e-31,8.0854968732832525e-31,1.1489922411722774e-30,4.3343072841206242e-31,2.1250447033650326e-31,4.4104119193537002e-33,2.6413071053806789e-33,2.1613375381755406e-33,1.2594055008835658e-33,1.9943758641676942e-39,9.2263843595227684e-33,4.4479034751965377e-33,4.7942480014680326e-34,6.2662698983210535e-47,6.3529781144670836e-34,1.7771939058322172e-42,2.9954621530075743e-40,2.344156349274452e-40,4.1453439482277603e-26,7.4728227062189204e-24,6.4032890692830017e-31,3.5424174113610136e-33,1.7447129988318483e-31,8.2272842265182667e-38,6.0237349509448395e-37,2.1112656509185759e-47,4.9925650407684199e-41,5.953620965678277e-41,2.3045453235822402e-43,4.2705160690924438e-43,1.0513625499354854e-53,1.4175823780566303e-54,3.4237638977512938e-58,1.3243415144140079e-44,1.7402393953096913e-44,7.3488711185057583e-66,3.4005151660571857e-68,1.9208292394643404e-36,9.353360654729633e-43,4.151165563852929e-43,4.945765999600139e-46,4.9532628872973575e-46,1.6257768556918686e-65,1.5488775000101506e-47
7e-15,0.0025565590296081886,1.8376163198218355e-27,1.0121797957373182e-35,1.4557209854936196e-34,2.6191884598094159e-35,4.827057794233529e-42,0.0,0.0,3.8693117251018622e-24,1.0936842873552203e-35,1.6621579626783737e-53,6.2703270928058361e-54,1.3950021783410093e-50,3.8141597366270728e-77,5.3964687696852556e-52,1.7680339958613385e-47,1.6570171578666053e-23,1.398071008808923e-34,1.2069258047824594e-93,7.3302445951633837e-82,2.011925326370742e-53,9.6080093006140194e-54,8.5534411685800868e-49,2.3979535912173888e-61,4.6177901700751954e-37,7.8379761767794974e-66,2.0109858540806926e-52,5.0002000309242482e-31,1.6207411050060548e-33,1.5765545249916305e-34,2.7533824100984452e-23,5.9487472729747366e-47,6.0323365204699092e-70,1.9094761802963064e-55,2.4743430539800628e-55,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.0097865658252211e-23,3.0097863547146066e-23,2.7533823123505463e-23,1.6723200295111102e-24,1.4046027495560922e-24,7.0230137464122781e-25,2.3150111229385229e-30,5.693732268985639e-30,2.7606447869067491e-30,4.1072496138467103e-30,4.394291338959548e-30,6.244522277501138e-30,2.3556015913719763e-30,1.1549144511004122e-30,2.3969617239448837e-32,1.4354927241337406e-32,1.1746397529307651e-32,6.8445938047511417e-33,3.2212174059328046e-38,5.0143316521817067e-32,2.4173385889519608e-32,2.6055790310982059e-33,1.0115061131432692e-45,3.4527066138502049e-33,2.8704391025725901e-41,4.8381265782590663e-39,3.7861810177559864e-39,9.1918485613885414e-26,1.6570169452822614e-23,3.4800478615712232e-30,1.9252266323549425e-32,9.4821255365827873e-31,1.3288295917035711e-36,3.2738644449490811e-36,3.4077517800509052e-46,8.0637412146171328e-40,9.6159905829145959e-40,3.7222329253562911e-42,6.8975212421632974e-42,5.3166172720779732e-52,7.1664933152205831e-53,5.6513240276102441e-56,2.1391178558645572e-43,2.8110278578903377e-43,4.0892204276856984e-63,1.8922346056114942e-65,1.0439286432475678e-35,1.5107089850324997e-41,6.7047605921972558e-42,7.9882560899680606e-45,8.0003311917161929e-45,9.0461559581991105e-63,2.5019998957863859e-46
1.5e-14,0.0025565590296081886,3.8553947442671534e-27,2.8104230781846813e-35,6.4401172725527651e-34,1.1587299212162042e-34,4.4892592463021869e-41,0.0,0.0,8.1179687714989463e-24,4.8384598204994703e-35,1.5466316943494166e-52,5.8315384876804637e-53,1.2973772288393283e-49,3.5472225407860174e-76,2.3873945622599686e-51,7.8217824084558095e-47,3.4764864374908012e-23,6.1850653112657624e-34,1.115576254681854e-91,1.4097919227112608e-80,1.8711281874406556e-52,8.9355908541665178e-53,3.7839059651558227e-48,4.3000179879921221e-60,2.0429100634280468e-36,6.2146938336662336e-64,1.8702524306854006e-51,2.2120881180401625e-30,7.1701576839821794e-33,6.974676062712138e-34,5.7767031652021835e-23,5.5324387689703454e-46,4.7830104532721367e-68,7.4880680515775879e-54,9.7029680001674198e-54,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.3146492735016007e-23,6.3146483395485591e-23,5.7767027327656452e-23,3.5085865775365367e-24,2.946906262378866e-24,1.4734531305841717e-24,1.0241592498400096e-29,2.5189066417754662e-29,1.2213072464685935e-29,1.8170470384240384e-29,1.9440341649984462e-29,2.7625760879640107e-29,1.042118001836345e-29,5.109333090902527e-30,1.0604149291540842e-31,6.3506178426053266e-32,5.1966046981732914e-32,3.0280473374186327e-32,2.9957900069990785e-37,2.218334683544203e-31,1.0694304034231182e-31,1.1527151192506455e-32,9.3985790413502672e-45,1.5274782267486198e-32,2.6695646606661739e-40,4.4995504494359368e-38,3.5212388450472526e-38,1.9284854570154099e-25,3.47648549701804e-23,1.5395727729598908e-29,8.5172009926532754e-32,4.1948847483062566e-30,1.2358343112306705e-35,1.4484277771007909e-35,3.1659776852280066e-45,7.4994192734343164e-39,8.943038025251513e-39,3.4618092801222428e-41,6.4148106566698512e-41,1.0221453896528987e-50,1.3772016505190803e-51,2.2154101283253444e-54,1.9895739057875311e-42,2.6147136618035477e-42,3.2412056714403897e-61,1.4998776005583146e-63,4.6183381773646195e-35,1.4049870016704954e-40,6.2355520377943483e-41,7.4293661377980051e-44,7.4405473137970162e-44,7.1726630080265523e-61,2.3273855481097221e-45
3.1e-14,0.0025565590296081886,7.8909628165003296e-27,8.5235451837935208e-35,2.684358897478385e-33,4.82979517783096e-34,3.7889357386986932e-40,0.0,0.0,1.6615286052411605e-23,2.0167544826026742e-34,1.3066705354360237e-51,4.9218366800459552e-52,1.094982679667208e-48,2.9938232543784807e-75,9.9510487371439185e-51,3.2602547045046837e-46,7.1154233302032729e-23,2.5780419159450192e-33,1.2114061458821878e-89,2.3969433053384998e-79,1.5792289826156348e-51,7.5415611617536031e-52,1.5770867762272156e-47,7.357674640833206e-59,8.5152012826988996e-36,4.2485686791043803e-62,1.5784864798549337e-50,9.2203642307650582e-30,2.9886454097071825e-32,2.9071651205792451e-33,1.1823341264036122e-22,4.6693564542300058e-45,3.2698215950383909e-66,2.5543283867941561e-52,3.3093590491322591e-52,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.2924371692034593e-22,1.2924367799158739e-22,1.1823339461566894e-22,7.1810998718392225e-24,6.0314966817234329e-24,3.0157483383389359e-24,4.2688599319446695e-29,1.0499235973473482e-28,5.0906042664259854e-29,7.5737659388218119e-29,8.1030692466869117e-29,1.1514892089319442e-28,4.3437275833693541e-29,2.129651852506325e-29,4.4199858728278853e-31,2.6470461584010695e-31,2.1660337723373234e-31,1.2621419130745162e-31,2.5284375936712182e-36,9.2463581142835312e-31,4.4575700386326308e-31,4.8047733990121428e-32,7.9181355125748148e-44,6.3668011043539185e-32,2.253112311745094e-39,3.7976165672466344e-37,2.9719521711986529e-37,3.9470853717460498e-25,7.1154194101525878e-23,6.4172033181725678e-29,3.5501159039842845e-31,1.748494602528915e-29,1.0430386158624e-34,6.0378699391764293e-35,2.66663308557097e-44,6.3294789527456323e-38,7.5478870633971395e-38,2.9218656041205292e-40,5.4140674466080342e-40,1.7366035727379726e-49,2.3378552034908404e-50,7.5511685427474206e-53,1.6794527651566516e-41,2.2074856030215683e-41,2.2140419365369413e-59,1.0246239502151566e-61,1.9250017821582378e-34,1.1858056048159704e-39,5.2627940230553968e-40,6.2706019944983318e-43,6.2799578199673517e-43,4.9034826676542466e-59,1.9651033425081552e-44
6.300000000000001e-14,0.0025565590296081886,1.5962143854169939e-26,2.8416369840913692e-34,1.0938958571089335e-32,1.9681739886428245e-33,3.1010503627737684e-39,0.0,0.0,3.360993336669692e-23,8.218387412459899e-34,1.0715868405826519e-50,4.0282996366331609e-51,8.9618090737054961e-48,2.4502374021136094e-74,4.0550850151185342e-50,1.328571481156088e-45,1.4393290449490709e-22,1.0505655112780973e-32,1.453913002209578e-87,3.9323769454396477e-78,1.2925123822026919e-50,6.1722529942296422e-51,6.4258139761136966e-47,1.2157004393123819e-57,3.4699886643919761e-35,2.7890243745541578e-60,1.2918991898236683e-49,3.7573459411438006e-29,1.217888573799367e-31,1.184684787576719e-32,2.3916603816225219e-22,3.8215921661115313e-44,2.1465119144329231e-64,8.3790088842507046e-51,1.0851830799685666e-50,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.6143804541832396e-22,2.6143788678173007e-22,2.3916596471076292e-22,1.4526047254338723e-23,1.2200611095946656e-23,6.1003055376930779e-24,1.7395725190572267e-28,4.2784921962057482e-28,2.0744355669992776e-28,3.0863494307865582e-28,3.3020425219041835e-28,4.6923772168855958e-28,1.7700916056628492e-28,8.6783909547441862e-29,1.8011620111033761e-30,1.0786843619994809e-30,8.826694708627124e-31,5.1432903793488318e-31,2.069381024504116e-35,3.7679037706501445e-30,1.8164827183203678e-30,1.9580172280606675e-31,6.4574179147369293e-43,2.5945114065271258e-31,1.8440560015445634e-38,3.1081470975836257e-36,2.4324332500205485e-36,7.9842800531169229e-25,1.4393274475096325e-22,2.6150424999941124e-28,1.4466904056179077e-30,7.1251601248104916e-29,8.5366435925920278e-34,2.4609287672641076e-34,2.1736544755644385e-43,5.1803021927628019e-37,6.177496519388518e-37,2.3915574951459931e-39,4.4310820116060073e-39,2.8449213182257514e-48,3.8234465510853411e-49,2.4729596246800704e-51,1.3749576679304766e-40,1.8078026890145466e-40,1.4510705562927833e-57,6.716237150963385e-60,7.8444724966150935e-34,9.7051524780511926e-39,4.3073065409605716e-39,5.1325191314838018e-42,5.1400440014032954e-42,3.2189706788087119e-57,1.6096256522718868e-43
1.2700000000000001e-13,0.0025565590296081886,3.2104685500986897e-26,1.0206864720076967e-33,4.4144048711498915e-32,7.9425220248935953e-33,2.5071518777802169e-38,0.0,0.0,6.7599279004995998e-23,3.3164935811590368e-33,8.6982640134604524e-50,3.2568635505897048e-50,7.2453810316085788e-47,1.9808923466008808e-73,1.6363928803193897e-49,5.3613864041139567e-45,2.894899802356489e-22,4.2395021854429611e-32,1.8170121024810364e-85,6.3638689824853712e-77,1.0449670379416315e-49,4.9899628846385362e-50,2.5923806950796997e-46,1.9755918188347998e-56,1.4002956039296118e-34,1.8015347569999368e-58,1.044462405757409e-48,1.5162568898523374e-28,4.9147256526212653e-31,4.7807323488651984e-32,4.8103074338811451e-22,3.0896381901964767e-43,1.386509118600923e-62,2.705514387832891e-49,3.5013740607045976e-49,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.2582622292442475e-22,5.2582558275575508e-22,4.8103044697904182e-22,2.9215625202008608e-23,2.4538574232433423e-23,1.2269287074732573e-23,7.0198721429558864e-28,1.7265622177976759e-27,8.3711779355967143e-28,1.2454804598220576e-27,1.3325216624827364e-27,1.8935832426069645e-27,7.1431120049246177e-28,3.5020779256158253e-28,7.2684527039983681e-30,4.3529683889531958e-30,3.5619618525812441e-30,2.0755449789409237e-30,1.6730371199233852e-34,1.5204893711712284e-29,7.3303186485808962e-30,7.901855464099743e-31,5.1836604724037461e-42,1.0470069854624575e-30,1.4908889621351438e-37,2.5128764204652435e-35,1.9666533560127794e-35,1.6058648823492815e-24,2.8948933559863712e-22,1.0552856916867123e-27,5.8380409028545392e-30,2.8752836337372796e-28,6.901592986404468e-33,9.9347020331933166e-34,1.743236527349357e-42,4.1881095528344672e-36,4.9943090127529608e-36,1.9337958939381974e-38,3.5823722417940316e-38,4.5907515737495582e-47,6.1491480609518072e-48,7.9587956855106784e-50,1.1122971035448257e-39,1.4633399980759128e-39,9.3425150529750805e-56,4.3253268910366891e-58,3.1655877511024408e-33,7.8463695404835796e-38,3.4823567662524975e-38,4.1501317653338271e-41,4.1560015048669646e-41,2.0792789891458501e-55,1.3034411890995522e-42
2.55e-13,0.0025565590296081886,6.4390487069849688e-26,3.8484216416118719e-33,1.7733994793203302e-31,3.1907321802618361e-32,2.0159550506765027e-37,0.0,0.0,1.3557817431961515e-22,1.3323131336212789e-32,7.0498358399019387e-49,2.6188564963137929e-49,5.8257100991904469e-46,1.5926592232211284e-72,6.5736240667309481e-49,2.1537907861828104e-44,5.8060306514105256e-22,1.7031008184394692e-31,2.3054765734976579e-83,1.0237097062150567e-75,8.4022365412496672e-49,4.0120013105778441e-49,1.040835794418216e-45,3.1852052703318542e-55,5.6252925068776406e-34,1.1530260396072271e-56,8.3980361758916077e-48,6.091132441201029e-28,1.9743528622201724e-30,1.9205238869570075e-31,9.6475797057800976e-22,2.484223999499318e-42,8.873954885409926e-61,8.6569653378533855e-48,1.1187084761322484e-47,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.0546006599841805e-21,1.0545980882946296e-21,9.6475677984248262e-22,5.8593513884784131e-23,4.9213437784798117e-23,2.4606718725757477e-23,2.8199705815663057e-27,6.9359708110369493e-27,3.3628064189099423e-27,5.0033699037370484e-27,5.3530285143782485e-27,7.6069299318786649e-27,2.8695443466298141e-27,1.4068281263566755e-27,2.919862472158523e-29,1.7486778977282393e-29,1.4309143090658761e-29,8.337894690274357e-30,1.3452170412818648e-33,6.1079097235856953e-29,2.944747532886125e-29,3.1746529784928245e-30,4.1097014877651856e-41,4.2061001948739203e-30,1.1987931024216723e-36,2.0205370506715422e-34,1.5814597171076621e-34,3.2207303994747413e-24,5.8060047550369103e-22,4.2393052825351204e-27,2.3452667362064343e-29,1.1550342633380185e-27,5.5491988383924578e-32,3.9940018574459771e-33,1.3795182626590746e-41,3.3674446460078024e-35,4.0156676900557213e-35,1.5553450672604403e-37,2.8803755495752006e-37,7.3425214203427611e-46,9.7703445609113902e-47,2.5301361720903502e-48,8.9544674239679004e-39,1.1794734333025799e-38,5.9410600304562878e-54,2.75203694377829e-56,1.2716793744670232e-32,6.3089647829903022e-37,2.8000435111579545e-37,3.3379591202496014e-40,3.342334665153876e-40,1.330821601353548e-53,1.0514242081653007e-41
5.11e-13,0.0025565590296081886,1.289649632230356e-25,1.4922846469059665e-32,7.1089186959096908e-31,1.2790347473213524e-31,1.6168374525766862e-36,0.0,0.0,2.715367810937958e-22,5.3405839621866733e-32,5.7435331408672109e-48,2.1004921303504991e-48,4.6720691551443022e-45,1.2771207733319369e-71,2.6349208416950182e-48,8.6334513571577748e-44,1.16282496867912e-21,6.826836287762755e-31,2.9445098038155673e-81,1.6420305279962692e-74,6.7385218638676028e-48,3.2171676129812549e-48,4.1675194389063795e-45,5.1158482158667626e-54,2.2548830480389223e-33,7.3166424690695837e-55,6.7349242023198724e-47,2.4416122515190899e-27,7.9141431884948464e-30,7.6983636362842681e-31,1.9322036919892826e-21,1.9922421513853725e-41,5.6309980669517292e-59,2.7464585187353808e-46,3.5390843439361719e-46,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.1121418623497148e-21,2.1121315538626102e-21,1.9321989189930448e-21,1.1734422285405565e-22,9.8558914384897173e-23,4.9279456524542588e-23,1.1303253628595549e-26,2.7802602252445547e-26,1.3479090848563661e-26,2.0055899335781535e-26,2.1457457287511977e-26,3.0492117662547475e-26,1.1502494779810474e-26,5.6389683931514508e-27,1.1703921347414369e-28,7.0094925481124421e-29,5.7357537057567076e-29,3.3422048147255751e-29,1.0788250992249493e-32,2.4481566100777406e-28,1.1803930249768982e-28,1.2727957810496997e-29,3.206127588511981e-40,1.6860398088619715e-29,9.6145110679091753e-36,1.6204786222540556e-33,1.2685390907718273e-33,6.4504284858998183e-24,1.1628145882686955e-21,1.6993080697543417e-26,9.4009254119580599e-29,4.6296841333635649e-27,4.4501770289230111e-31,1.6034022536774609e-32,1.0724397199582041e-40,2.7005389440146052e-34,3.2203835081740688e-34,1.248084459754754e-36,2.3098886888718997e-36,1.1644049769888164e-44,1.5296525421679536e-45,7.9261888869190982e-47,7.1988106658614195e-38,9.5049816470795069e-38,3.7230041083387506e-52,1.7264495656283355e-54,5.0974422179308587e-32,5.0596666767023447e-36,2.245602738686336e-36,2.6785777376710518e-39,2.681534622378734e-39,8.4452572029948418e-52,8.486413735665115e-41
