Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138),S(216),C4H8(85),C5H10(91),C6H12(123),S(259),S(211),C3H6(59),S(141),S(297),S(199),S(849),S(890),S(847),C7H15(76),C6H13(74),S(172),S(971),C6H13(118),S(173),S(317),S(869),S(226),S(228),S(1518),S(925),S(942),S(1546),S(1549),S(1413),S(1424),S(1776),S(1779),S(975),S(2129),S(1032),S(2133),S(2134),S(372),S(2383),S(1979),S(986),S(2393)
0.0,0.004483170592030343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.682874642073371e-16,0.004483170592030346,3.4841758446347116e-19,5.7077656050150655e-26,3.3565158198300826e-27,3.7397029078555517e-27,1.9098925963685692e-35,0.0,0.0,1.3825113063903674e-19,1.5034726508248084e-30,2.4287061483203634e-40,2.5856647300793445e-40,1.5356222027140408e-40,1.8052017754589573e-54,6.8743024051004451e-36,9.3149225698442738e-33,1.8818076945264666e-16,2.5836382291435019e-27,1.9751638845920926e-71,1.2895494456306438e-61,4.5091506200650014e-40,2.1714217577379759e-38,1.9326012993900028e-35,3.458220031202004e-48,1.5125147405881165e-28,1.305817250608645e-56,9.1005595087150185e-40,5.0288986778254274e-23,2.7843767413355859e-26,1.9391590325635983e-27,1.6835736405958279e-16,2.0527650990318625e-37,1.238227418231593e-59,1.8910168635893646e-47,6.5754779519421201e-47,0.88168480800000004,0.0,0.0094599999999994099,0.10885,2.3182687384382818e-16,2.3182687764734717e-16,1.6835734033277175e-16,1.5356369663207629e-19,1.2242149219352897e-19,6.1210751216319646e-20,8.1233891023896697e-27,1.6603202901984937e-24,9.7243381053782535e-27,1.131438323757865e-24,7.0137394992285751e-25,2.258619971014154e-24,5.9339311416000255e-25,4.0619702669381027e-27,2.4060490501747812e-26,1.5400523050295377e-24,1.4068745686117148e-24,1.6804185362925798e-24,1.2848112719912418e-33,5.1714959187290195e-26,9.017493524139498e-25,3.3123506566576059e-29,1.764833594480967e-40,2.3075331060069176e-27,5.9605983724649767e-36,1.3728885711267863e-34,2.1979199277473148e-36,1.4946686658370675e-19,1.8818071477988688e-16,1.8840951312325157e-24,1.5126386255348116e-27,2.376063746423835e-23,1.4074533738471116e-30,1.1068459704922607e-29,9.5124347617164364e-43,4.9916220205545661e-36,5.9753656526210166e-36,2.732096939915121e-38,4.0326594009471166e-37,1.3210925633165957e-43,8.0009288009528899e-46,4.991921432384531e-50,1.2343425477839809e-37,8.9048401221790188e-38,2.3172085795151509e-58,2.8756835499046148e-60,1.5306864383386339e-29,1.0603959903427478e-36,9.3237940117959254e-37,2.9951718751631943e-39,2.1310825689273888e-39,3.7931065332784251e-56,3.9157983898552774e-40,1.2399361091992351e-62,3.4676515109758247e-32,1.08906371031814e-47
1.311204899780544e-15,0.00448317059203035,9.7558641681462667e-19,1.6277593247973545e-25,2.0273425527894829e-26,2.2588137489145201e-26,2.2674316605623559e-34,0.0,0.0,3.8710501205467619e-19,9.0810109574355749e-30,2.8833610263977847e-39,3.0697264679479577e-39,1.8231493640349242e-39,2.1431876005783041e-53,4.1520782991820841e-35,5.6262119957305887e-32,5.2690620236582493e-16,1.5605176194691245e-26,1.206752477496355e-69,2.8847124875363372e-60,5.35327793275712e-39,2.577911107595086e-37,1.1673011500152175e-34,1.0873225110414526e-46,9.1355887776378317e-28,6.970858561260607e-55,1.0804183650900615e-38,3.0374545657523345e-22,1.6817636793377639e-25,1.1712521175623015e-26,4.7140064917812981e-16,2.437042277857327e-36,6.3972843969303059e-58,5.4741261819570824e-46,1.1826200526165786e-45,0.88168480800000004,0.0,0.0094599999999983517,0.10885,6.4911522844983759e-16,6.4911525142307377e-16,4.7140050586820122e-16,4.2997833852725032e-19,3.4278013264951582e-19,1.713900972468714e-19,4.9065162164276679e-26,1.0028331814768258e-23,5.8734853649690561e-26,6.8338869860778728e-24,4.2362987433652749e-24,1.3642062197971017e-23,3.5840944403071546e-24,2.4534245651811702e-26,1.4532578770917409e-25,9.3019159423419735e-24,8.4975217620765966e-24,1.0149726538580433e-23,1.5253290000524688e-32,3.1235817468131089e-25,5.4465742505526734e-24,2.0006869382648815e-28,2.0951123452945661e-39,1.3937585059193578e-26,7.0764752071540275e-35,1.6298987882631689e-33,2.6093961789812867e-35,4.1850717324828441e-19,5.2690587214241317e-16,1.1379930183326447e-23,9.1363342144752916e-27,1.4351419991333615e-22,1.6709244889854785e-29,6.6854734307469613e-29,1.1292764071169192e-41,5.9260417180861169e-35,7.0939376799325324e-35,3.243627670855956e-37,4.787617455600821e-36,2.9551278939250668e-42,1.7897247731852673e-44,2.0598730719191866e-48,1.4654521624489665e-36,1.0572191609320604e-36,1.7442785575145841e-56,2.1647155398415637e-58,9.2453941787022623e-29,1.2589054467381612e-35,1.1069204030430429e-35,3.5559507783891361e-38,2.5300756048943603e-38,2.0143840659313122e-54,4.6490439402573965e-39,9.3338324965634913e-61,2.0944559375994611e-31,2.4362961317065562e-46
2.9970397709269576e-15,0.0044831705920303595,2.2299928027625889e-18,3.8600700896290026e-25,9.7608529682495716e-26,1.0875553944505556e-25,2.2261930326308025e-33,0.0,0.0,8.8482015995124247e-19,4.3721526881131932e-29,2.830903082967583e-38,3.0139292402107659e-38,1.7901031627224502e-38,2.1042986261697633e-52,1.9990466091554759e-34,2.7087776282767982e-31,1.2043572597858199e-15,7.5132219063459351e-26,5.60356807559617e-68,5.6998762627820878e-59,5.2559103442275854e-38,2.5310067109273586e-36,5.6201530412083828e-34,2.4257700830918368e-45,4.3983924823586132e-27,4.1410899035996046e-53,1.060761029863814e-37,1.4624033820304126e-21,8.0969694773693557e-25,5.6390753950782937e-26,1.0774873386604094e-15,2.3927016115203728e-35,3.7062123387509967e-56,1.6194610627793798e-44,2.0948947554396664e-44,0.88168480800000004,0.0,0.0094599999999962318,0.10885,1.4836918644103747e-15,1.4836919750164317e-15,1.0774866486848924e-15,9.8280757414959677e-19,7.8349723159406019e-19,3.9174876467362562e-19,2.3622653489235868e-25,4.8282072968530688e-23,2.8278152451409724e-25,3.2902219113581586e-23,2.0395955751224734e-23,6.5680632352785684e-23,1.7255872221483694e-23,1.1812127395899433e-25,6.9968543996504312e-25,4.4784721329710008e-23,4.0911902970158121e-23,4.8866549725998222e-23,1.4975792982374633e-31,1.5038683310226791e-24,2.622299359769778e-23,9.6327228320444619e-28,2.0567859687884993e-38,6.7104339205233192e-26,6.9478372030707143e-34,1.6002558959282333e-32,2.5619749531848185e-34,9.5658757383326917e-19,1.2043556699028258e-15,5.4789420276512252e-23,4.3987484974262644e-26,6.9095858190109376e-22,1.6405147681855104e-28,3.2188937375616904e-28,1.1086458854797268e-40,5.81819759492296e-34,6.9648352893557917e-34,3.1847869649359299e-36,4.7006048620519057e-35,5.8383879948974294e-41,3.5359740814291003e-43,8.1481522111800068e-47,1.4388758134444489e-35,1.0380614452171379e-35,1.3790461883560674e-54,1.711527539698081e-56,4.4513082992775672e-28,1.2360078799788017e-34,1.0867801096610802e-34,3.4914287959951556e-37,2.4841584164342658e-37,1.1895656647359413e-52,4.5648997065012641e-38,7.3798100182468911e-59,1.008384696925348e-30,4.8141610910168122e-45
6.368709513219785e-15,0.004483170592030379,4.7390804594652983e-18,8.7981158815628002e-25,4.2628835541781967e-25,4.7499371775447204e-25,1.9690695332126627e-32,0.0,0.0,1.8802799960358781e-18,1.9094662933257704e-28,2.503905440851146e-37,2.665881614312176e-37,1.5835471043077867e-37,1.8614124567895271e-51,8.730358575254007e-34,1.1829932493466511e-30,2.5592601410002217e-15,3.2812225515418876e-25,2.2329091979603508e-66,1.0143231296672611e-57,4.648847124245456e-37,2.2386437465903266e-35,2.4545565870358902e-33,4.5432491990773251e-44,1.9208933244996034e-26,2.4685479200809861e-51,9.382308905968283e-37,6.3866976682013883e-21,3.5361604388467572e-24,2.4627329306735338e-25,2.2896611946056607e-15,2.1163157918861169e-34,2.1845457799200407e-54,4.8042523772038001e-43,4.8574481900590764e-43,0.88168480800000004,0.0,0.0094599999999919922,0.10885,3.1528448433258621e-15,3.1528453263699426e-15,2.2896581813021851e-15,2.0884658527402912e-18,1.6649307016296839e-18,8.324660009972949e-19,1.0316536740330131e-24,2.1086025246102229e-22,1.2349679211898354e-24,1.4369259125712356e-22,8.9074504944035514e-23,2.8684436014119995e-22,7.5360930269326647e-23,5.158617361438769e-25,3.0557481807513182e-24,1.9558664583302797e-22,1.7867297220133182e-22,2.1341293391236034e-22,1.324595916043307e-30,6.5677721014063158e-24,1.1452343285962775e-22,4.2071060227017404e-27,1.8188344451168582e-37,2.9306989475933552e-25,6.1454823527531752e-33,1.4154288534415876e-31,2.2661344440555577e-33,2.032747524028205e-18,2.559253197568616e-15,2.3927939822348497e-22,1.9210462746198024e-25,3.0175931505362842e-21,1.4510010739287503e-27,1.4058862303542786e-27,9.8043467726287415e-40,5.1460848678003941e-33,6.1602560477203443e-33,2.8172176904017782e-35,4.1577983644916479e-34,1.0387502766663611e-39,6.2912890049153514e-42,2.9076590962191785e-45,1.2728226933199213e-34,9.1829129288134922e-35,9.8553785086991911e-53,1.2232596549867423e-54,1.9440463175909688e-27,1.0932475085237901e-33,9.612430835794653e-34,3.0884409626352281e-36,2.1974148866339721e-36,7.0572792081354447e-51,4.0383863031931031e-37,5.2745352431182999e-57,4.403831008408214e-30,8.5681531264165814e-44
1.311204899780544e-14,0.004483170592030417,9.7583553106912906e-18,2.0568251052541275e-24,1.7797223043760197e-24,1.983253517540461e-24,1.6551670199726156e-31,0.0,0.0,3.8713178296139932e-18,7.9719162358713927e-28,2.1046896333951778e-36,2.2409945038741322e-36,1.3314387552628166e-36,1.5649387799106268e-50,3.6447502038884904e-33,4.9387546928057736e-30,5.2690689689255245e-15,1.3698467895681765e-24,8.5579904784247733e-65,1.7110085994648382e-56,3.9077268736995911e-36,1.8817098660518571e-34,1.0248026473217909e-32,7.8475070286267266e-43,8.0193495901738205e-26,1.5033550602612765e-49,7.8863921326880662e-36,2.666318791614127e-20,1.4762783278711824e-23,1.0281429824461223e-24,4.7140108144185307e-15,1.7788881026479841e-33,1.3245105979270849e-52,1.4588144097581586e-41,1.400961654572449e-41,0.88168480800000004,0.0,0.0094599999999835128,0.10885,6.4911496291372392e-15,6.491151645737556e-15,4.7139982344770404e-15,4.2997816394497639e-18,3.4277947304170899e-18,1.7139000795857472e-18,4.3068702270388338e-24,8.8029799832232929e-22,5.1556369040512143e-24,5.9988791651430307e-22,3.7186858798352663e-22,1.1975169230374669e-21,3.1461707206659161e-22,2.1535802471476927e-24,1.2757465045414745e-23,8.1653575997423743e-22,7.4592401416744388e-22,8.9095592617534289e-22,1.1134093860859597e-29,2.7419021924585602e-23,4.7811889254537294e-22,1.7565869299553542e-26,1.5282188544710033e-36,1.2235727650545306e-24,5.1659830321306362e-32,1.1897879511333233e-30,1.9049850602790536e-32,4.1850640205311559e-18,5.2690399815082572e-15,9.9894108760693009e-22,8.0199669744303586e-25,1.2597819717111633e-20,1.21962748794512e-26,5.8702240370498573e-27,8.238622090184391e-39,4.3255186785949096e-32,5.1779622754788939e-32,2.3685622213320019e-34,3.4951602936453333e-33,1.7514656055148571e-38,1.0608521249763772e-40,9.8219011198568474e-44,1.0701421318052457e-33,7.7211083126521108e-34,6.6632140191271561e-51,8.2719830365191533e-53,8.1163703598437795e-27,9.1896149213613954e-33,8.0798001080455516e-33,2.5965451509629869e-35,1.8474043012263111e-35,4.2841864837403438e-49,3.3958265014906988e-36,3.5668406158215018e-55,1.83847106456077e-29,1.4456879205623161e-42
2.659872796697675e-14,0.004483170592030492,1.9801303153173078e-17,5.1687468039865046e-24,7.2711740145899176e-24,8.104266450916858e-24,1.3570804281628606e-30,0.0,0.0,7.8538661443482405e-18,3.2570088255984707e-27,1.7255619433788037e-35,1.8375656895498334e-35,1.0922039728121893e-35,1.2835388925648022e-49,1.4889972229998363e-32,2.0176348802065661e-29,1.0688698886752954e-14,5.5962789938800749e-24,3.3903927010600739e-63,2.8110081821838141e-55,3.2039394096702102e-35,1.54273108698017e-33,4.1872544941216575e-32,1.3039328117849811e-41,3.2761644108266952e-25,9.3398754943904391e-48,6.4657344661977805e-35,1.0892767859133052e-19,6.0310864642035894e-23,4.20030334083015e-24,9.5627176857305433e-15,1.4584352883500092e-32,8.2144841996139349e-51,4.5246673605820288e-40,4.3855411822981496e-40,0.88168480800000004,0.0,0.0094599999999665542,0.10885,1.3167754512703569e-14,1.3167762751062477e-14,9.5626662926248987e-15,8.7224101321336212e-18,6.9535111438966647e-18,3.4767666610108457e-18,1.7594310061414784e-23,3.5962878227163968e-21,2.1061551433136847e-23,2.4507348862258113e-21,1.5192050442412779e-21,4.8922325373877346e-21,1.2853135845433085e-21,8.7977433462786924e-24,5.2121005390390278e-23,3.3358151305468741e-21,3.0473391220724035e-21,3.6398369874617335e-21,9.128512799956001e-29,1.1201455833438146e-22,1.9533215673425994e-21,7.1778894594620626e-26,1.2519090231894583e-35,4.9992140988967246e-24,4.2359340873346e-31,9.7551696977677702e-30,1.5620883191894307e-31,8.4896833980950283e-18,1.0688580464045365e-14,4.0809733400720944e-21,3.2763993466345464e-24,5.1465896256889992e-20,9.998811019250055e-26,2.3989347068179523e-26,6.7503912208211312e-38,3.5461973690233147e-31,4.2450355818510129e-31,1.9427448915273579e-33,2.8660030872696669e-32,2.8750201494418735e-37,1.7415811092565557e-39,3.2276359537656828e-42,8.777902795719967e-33,6.3340308601275803e-33,4.3806788880087971e-49,5.4403683790624816e-51,3.3160960435511097e-26,7.5345473223004645e-32,6.6242636751429635e-32,2.1296646458770184e-34,1.5151788741761197e-34,2.6565875247835352e-47,2.7862683192496759e-35,2.3459537925242423e-53,7.5104135047343116e-29,2.3763334094859691e-41
5.357208590531937e-14,0.004483170592030645,3.9904791308236669e-17,1.4426386685444519e-23,2.9394705664310154e-23,3.2775142086319815e-23,1.0991195891470745e-29,0.0,0.0,1.5820853379669985e-17,1.3167136542183188e-26,1.3974213537877322e-34,1.4885343101599381e-34,8.8548315149094243e-35,1.0402656635054581e-48,6.0187473783192111e-32,8.155541667025677e-29,2.152800777024168e-14,2.2621118236802133e-23,1.4597609074690539e-61,4.5589424778389839e-54,2.5948742462052403e-34,1.2493301090943677e-32,1.6930412879091725e-31,2.1259279825880575e-40,1.3242767736496226e-24,5.8767196805671109e-46,5.2361092346948967e-34,4.4030192848187059e-19,2.4378678812653186e-22,1.6978328256439428e-23,1.9260161955074063e-14,1.1810711708651314e-31,5.1647442397183189e-49,1.422325086637332e-38,1.4000663967727403e-38,0.88168480800000004,0.0,0.0094599999999326369,0.10884999999999999,2.6520945527786253e-14,2.6520978827649654e-14,1.9259954216409692e-14,1.7567654803780678e-17,1.4004897402795307e-17,7.0024935247234712e-18,7.1113678152474473e-23,1.4536635084711637e-20,8.51268219479589e-23,9.906238064797304e-21,6.1408739299665853e-21,1.9775066195288516e-20,5.1954445336150666e-21,3.5559179950038115e-23,2.1070244087871942e-22,1.3483899094707637e-20,1.2317800713561037e-20,1.4712732867410162e-20,7.3926844075340962e-28,4.5277191961276497e-22,7.8960413792271865e-21,2.9027585032460593e-25,1.0121855039345881e-34,2.0211827517903615e-23,3.4312586038868557e-30,7.9009111903784897e-29,1.2654510995878498e-30,1.7098867692299982e-17,2.1527529089555605e-14,1.6495728860333936e-20,1.3243577637870967e-23,2.0803089254345438e-19,8.0965967813798482e-25,9.7029963665691964e-26,5.4599773035644261e-37,2.8716014575065409e-30,3.4374633762820776e-30,1.5746694394557817e-32,2.3217076667975941e-31,4.6548140362869825e-36,2.8203600519114991e-38,1.0458473491107664e-40,7.1154283589054892e-32,5.1356188694432018e-32,2.8389613829608167e-47,3.528322116303774e-49,1.3406566557534902e-25,6.1022317540795482e-31,5.3644282071294568e-31,1.7260507849821733e-33,1.2279464745720272e-33,1.6697625070970616e-45,2.2599007130617717e-34,1.5215760471355125e-51,3.0355538606447278e-28,3.8579353882931956e-40
1.075188017820046e-13,0.0044831705920309484,8.0182136778620809e-17,4.5094594804034991e-23,1.1822262574291979e-22,1.3191930300873801e-22,8.8486132522071122e-29,0.0,0.0,3.1762390398056376e-17,5.295884105065256e-26,1.1247929287839876e-33,1.1987876159774149e-33,7.1430437569981839e-34,8.3862238101181802e-48,2.4200978024831678e-31,3.2792582964851967e-28,4.3206821727967278e-14,9.0959034397654384e-23,7.0057509082405138e-60,7.3490504743511791e-53,2.0889685591861107e-33,1.0055477923372534e-31,6.8115529028599101e-31,3.4339879233604876e-39,5.3248485095292396e-24,3.7213641578023759e-44,4.2144598696400372e-33,1.7704253251282867e-18,9.8026102230468413e-22,6.8269357125440462e-23,3.8655172600434297e-14,9.5061669463358764e-31,3.269176303545214e-47,4.501373029062858e-37,4.4783262927478725e-37,0.88168480800000004,0.0,0.0094599999998648005,0.10884999999999997,5.3227252551157462e-14,5.3227386441201998e-14,3.865433729630737e-14,3.5258094965936798e-17,2.8107483714905032e-17,1.4053922086551255e-17,2.8590206766259975e-22,5.8450082340772561e-20,3.4223222259588205e-22,3.9832353074625638e-20,2.4692218094028724e-20,7.951370703931702e-20,2.089066619667041e-20,1.429601475913813e-22,8.4739415244743162e-22,5.4218173143356054e-20,4.9529083639577347e-20,5.9158687271300619e-20,5.9505621152765224e-27,1.8205049326000629e-21,3.1752878286647441e-20,1.168264436205173e-24,8.1206481646863861e-34,8.1304683208355046e-23,2.7632071483008628e-29,6.360824232116676e-28,1.0192393245234284e-29,3.4317018443781191e-17,4.3204896996757362e-14,6.6326848168349097e-20,5.3250617875729763e-23,8.3646305563212492e-19,6.5157194984738639e-24,3.9064552613542327e-25,4.3840099945937127e-36,2.3109909949279026e-29,2.7663245839461386e-29,1.2696601603589212e-31,1.869909436172424e-30,7.4780988768329904e-35,4.5330786000593107e-37,3.3627466034020426e-39,5.7381577552471063e-31,4.1435098384780508e-31,1.8250922082897213e-45,2.2716245229283962e-47,5.3926321978029677e-25,4.9125081402172331e-30,4.3176421918639766e-30,1.3915188636735793e-32,9.8983122632818095e-33,1.0566984230626583e-43,1.8246202631240175e-33,9.7978570704291415e-50,1.2203615128052248e-27,6.2317817594930303e-39
2.154122335353751e-13,0.004483170592031557,1.6101829859944374e-16,1.5518466082847868e-22,4.7434864425146133e-22,5.3011333382936772e-22,7.1035724845180494e-28,0.0,0.0,6.3675715620447522e-17,2.1250385547523984e-25,9.0261827042474793e-33,9.6305197049550365e-33,5.7573664866285973e-33,6.7507860729869332e-47,9.7055619369747088e-31,1.3150898426892075e-27,8.6565234401712677e-14,3.6479052410454146e-22,4.6824785859943745e-58,1.1819387701733204e-51,1.6768883892551515e-32,8.0685384199284945e-31,2.7348712234998507e-30,5.5220051005629151e-38,2.1354942680360797e-23,2.3604825741632892e-42,3.3818123518956237e-32,7.1001222894607284e-18,3.9313257927596567e-21,2.737926289496788e-22,7.7445682316209083e-14,7.6279055589638009e-30,2.0729273371921176e-45,1.4272314786058073e-35,1.428571393197633e-35,0.88168480800000004,0.0,0.0094599999997291295,0.10884999999999995,1.066395665819677e-13,1.066401034828498e-13,7.7442332404389278e-14,7.0638779155445932e-17,5.6311912048665581e-17,2.8156678795369213e-17,1.1462511781300122e-21,2.3440224632024597e-19,1.3720314072362285e-21,1.5974399122917165e-19,9.9027111987808484e-20,3.1887779351842412e-19,8.3781013125487121e-20,5.7315974764160413e-22,3.3997842245456509e-21,2.174391875069274e-19,1.9863176241870766e-19,2.3724826776005809e-19,4.7754109150431578e-26,7.3004692987190762e-21,1.2736925526893438e-19,4.6939050981465485e-24,6.4745593689359155e-33,3.2633933790849135e-22,2.2195975671222738e-28,5.106540362697836e-27,8.1898817317410282e-29,6.8752448653127842e-17,8.6557515551377105e-14,2.6598627417335293e-19,2.1354896702849068e-22,3.3544304620612576e-18,5.2266483124176018e-23,1.5706159484120512e-24,3.5010253865273145e-35,1.8539054781493255e-28,2.2190874471448275e-28,1.0224026323481441e-30,1.5024036967230384e-29,1.1945649128378001e-33,7.2479541937249458e-36,1.0755236132891815e-37,4.6222529549647889e-30,3.3408418195354123e-30,1.1665665148144425e-43,1.4562783493430289e-45,2.1642190601826633e-24,3.9434236191418651e-29,3.4644492708051358e-29,1.1202072455358102e-31,7.9663997139754149e-32,6.6996721733082068e-42,1.4732444038028073e-32,6.2831771458772141e-48,4.8924217061177473e-27,1.0063574739389811e-37
4.3119909704211603e-13,0.004483170592032774,3.2381645967626154e-16,5.7151483505702294e-22,1.901655409962221e-21,2.1316925663941167e-21,5.6964980731484542e-27,0.0,0.0,1.2762337876499378e-16,8.5204681890376373e-25,7.2326160165966937e-32,7.7337663216336526e-32,4.6537935161962002e-32,5.4433064851058091e-46,3.8871969232664409e-30,5.2669033855444189e-27,1.7328519874479633e-13,1.4610977862624039e-21,2.7794190113899727e-56,1.901415044737607e-50,1.3445489811224388e-31,6.4640895552128804e-30,1.0978837600051408e-29,8.8620913267311533e-37,8.5530505158017551e-23,1.4934571524489316e-40,2.7095230860591145e-31,2.8436921601958458e-17,1.5746134565598773e-20,1.0966144123561881e-21,1.5502865543486374e-13,6.1112947640288415e-29,1.310877049163738e-43,4.5138904657671146e-34,4.5327700550588312e-34,0.88168480800000004,0.0,0.0094599999994577858,0.10884999999999988,2.1346299466979343e-13,2.1346514460859908e-13,1.5501523856548192e-13,1.4139936770991261e-16,1.1271779581037242e-16,5.6361792532950292e-17,4.588230404332955e-21,9.3876172534279497e-19,5.491497977659886e-21,6.397966875582234e-19,3.9662716195215501e-19,1.2771124740535188e-18,3.3556183766722998e-19,2.2942329345432062e-21,1.3627719904044536e-20,8.7089141492050342e-19,7.9554696384238755e-19,9.501942873254765e-19,3.8268753248548003e-25,2.9235394188794463e-20,5.1034971108403561e-19,1.8869260577254588e-23,5.1220668307763957e-32,1.309231542051851e-21,1.7820616472730025e-27,4.0952549466621331e-26,6.5796625917092405e-28,1.3761982433013799e-16,1.7325428454530262e-13,1.065219921004835e-18,8.5523102182402282e-22,1.3433933048251632e-17,4.1847871636111304e-22,6.3223810640428348e-24,2.7787781326480528e-34,1.4845490062742932e-27,1.7768276170230117e-27,8.2491217053003923e-30,1.2068198217362018e-28,1.8960347060966387e-32,1.1525895565868156e-34,3.4212497648058644e-36,3.7319281513608364e-29,2.7023413358043785e-29,7.4098123485024612e-42,9.3045870181400995e-44,8.680435792742442e-24,3.1618502645245326e-28,2.7754761955213425e-28,9.0330318842759928e-31,6.4206322354480877e-31,4.2367248545057917e-40,1.1950532038556491e-31,4.0171787051123771e-46,1.958102236603131e-26,1.632191018153643e-36
