Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138),S(216),C4H8(85),C5H10(91),C6H12(123),S(259),S(211),C3H6(59),S(141),S(297),S(199),S(849),S(890),S(847),C7H15(76),C6H13(74),S(172),S(971),C6H13(118),S(173),S(317),S(869),S(226),S(228),S(1518),S(925),S(942),S(1546),S(1549),S(1413),S(1424),S(1776),S(1779),S(975),S(2129),S(1032),S(2133),S(2134),S(372),S(2383),S(1979),S(986),S(2393),S(1847),S(1351)
0.0,0.0020126635395408122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0020126635395408122,6.2986054095083623e-23,3.7687178444150487e-30,1.8736485447171606e-30,9.5396875031786745e-31,3.0753400859453931e-38,0.0,0.0,1.6072210159968903e-21,1.2167938450517464e-32,3.0537646000521336e-46,2.7877468717014682e-46,8.851225028415325e-45,2.9300206985364836e-64,5.815380042688537e-43,2.3251508192031295e-39,1.2117330983151085e-19,1.715750554013867e-30,-2.0983928959035731e-81,1.1836273314158645e-70,2.6504611222043143e-46,1.5754287409572439e-45,1.5051394771034457e-41,-6.7112022277381885e-54,3.110490978656949e-32,3.5578071369440006e-61,1.3997418451313293e-45,5.9852158894408509e-27,1.8479625163490951e-29,1.5047522936720014e-30,1.4395226230873443e-19,2.1842593346828514e-41,3.2683297899454903e-64,3.3552620201247998e-51,3.3237956945981862e-51,0.88168480800000004,0.0,0.0094599999999999979,0.10885,1.8031910915223773e-19,1.8031910574526674e-19,1.4395225746567048e-19,7.0774949051268416e-22,5.788008262538188e-22,2.8940041428578941e-22,2.4560454970827579e-28,7.6493265207304531e-27,2.9884506322371277e-28,5.7520199685136813e-27,4.9539774343437913e-27,9.5342337974384493e-27,3.9312639311580829e-27,1.2221814054374064e-28,3.8437193218428861e-29,1.914860779747704e-28,1.508072388290555e-28,1.2880310293485346e-28,1.4790415928069754e-35,9.8574797908757384e-29,1.9795038153884995e-28,3.1074244075988037e-31,9.9633180699643012e-43,4.2638692657668417e-30,1.8451596098202145e-38,1.742159890999667e-36,1.3404292575442523e-37,9.4254467251663919e-23,1.2117329579458331e-19,6.5891104277259742e-27,5.1081513201528093e-30,8.3908877072763032e-27,3.4281506020731429e-33,5.6201501194833475e-33,2.5460791849064174e-44,1.4459976513099986e-37,1.7594513621194316e-37,2.7587902433170168e-40,2.4033464237866647e-39,1.9391789789420386e-47,3.2234871582741868e-49,8.7422406605970854e-53,1.618653016392966e-40,1.4908972080124863e-40,2.3460306169937197e-60,1.0797511820094295e-62,7.841137599237046e-33,3.3872815090658311e-39,3.0130336878638992e-39,2.4872402357128399e-42,2.3147055655559516e-42,5.0077669947502748e-59,1.159334247182435e-43,1.5799399241654828e-65,2.4309428559466005e-36,1.3488333432560378e-52,2.9528964008062496e-56,2.9528964008048029e-56
3.0000000000000002e-15,0.0020126635395408122,2.0695508664217377e-22,1.298548322574868e-29,1.2312550024053563e-29,6.2689494724862138e-30,2.8996067688591241e-37,0.0,0.0,5.2808720874333208e-21,7.9960758371947156e-32,2.8792773422504223e-45,2.6284492671660092e-45,8.345440816415566e-44,2.7627242197063727e-63,3.8215345554256113e-42,1.5279560706478056e-38,3.981408682016336e-19,1.1274932131656953e-29,1.2255624101753206e-79,1.4541777640706113e-69,2.4990068462716298e-45,1.4854036565043831e-44,9.8911260589896499e-41,3.9691966933552251e-52,2.0440368665755776e-31,6.382231429243595e-60,1.3197564666341533e-44,3.9331417649926874e-26,1.2143753586579575e-28,9.8883720884020838e-30,4.7298599073603411e-19,2.0594441014296343e-40,5.8652000842640081e-63,5.0598727171010317e-50,5.2553927786465826e-50,0.88168480800000004,0.0,0.0094599999999999962,0.10885,5.9247705139964648e-19,5.9247702901098166e-19,4.7298595891018661e-19,2.3254616355358813e-21,1.9017733279029238e-21,9.5088667156695339e-22,1.6139721580598071e-27,5.0267000798714928e-26,1.963838189945601e-27,3.7798987840511482e-26,3.2554708349753326e-26,6.2653534055619465e-26,2.5834019722092437e-26,8.0314746802903395e-28,2.5258750175853214e-28,1.2583370687707906e-27,9.9101898349216314e-28,8.4642037823272285e-28,1.3945256199701745e-34,6.4777698203212368e-28,1.3008169698804932e-27,2.0420388142654849e-30,9.393210324958992e-42,2.8019779117543558e-29,1.7397260354619235e-37,1.6426103639115922e-35,1.2638404366866882e-36,3.0969323875028037e-22,3.9814077595897423e-19,4.3299865491639229e-26,3.3567850517021448e-29,5.514010575702485e-26,3.2322552410736835e-32,3.6933066203865139e-32,2.4003891455166109e-43,1.363368862824483e-36,1.6589108154616268e-36,2.6011798724377931e-39,2.2660219999547538e-38,2.382330447220564e-46,3.9600751577287926e-48,1.3237683081285763e-51,1.5261893970037189e-39,1.4057462678221124e-39,4.2227002262933555e-59,1.9434949553170975e-61,5.1527571502502412e-32,3.1937262355575654e-38,2.8408602868304023e-38,2.3451405874732606e-41,2.1824608997399901e-41,8.9827075319145286e-58,1.0931306331561538e-42,2.8438027949009516e-64,1.5974752594588041e-35,1.6571050160484405e-51,4.4714563911096862e-55,4.4714563911178298e-55
7e-15,0.0020126635395408122,4.5890625808859041e-22,3.2671257545173413e-29,6.691611918955558e-29,3.4070800903341011e-29,4.6833102053381527e-36,0.0,0.0,1.1709779374791417e-20,4.3457004554750577e-31,4.6505279968240528e-44,4.2453755918251754e-44,1.3479152493182974e-42,4.4622161821280496e-62,2.0769177669341963e-41,8.3041004699544832e-38,8.8283405427586436e-19,6.1276802218781515e-29,1.1418432000019918e-77,7.3554386749080275e-68,4.0362842482005053e-44,2.3991433060643898e-43,5.3754895899255878e-40,7.6581767514576256e-51,1.1108893812246064e-30,3.5067156201461637e-57,2.1316047030025808e-43,2.1375766741097538e-25,6.5998657532896959e-28,5.3741148156236636e-29,1.0487949328966787e-18,3.326308129680883e-39,3.2215339810657579e-60,8.2502171306054793e-48,8.4290059364384054e-48,0.88168480800000004,0.0,0.0094599999999999962,0.10885,1.3137533232639478e-18,1.3137532015864526e-18,1.0487947599301822e-18,5.1564521279533808e-21,4.2169703925711164e-21,2.1084852376739631e-21,8.7715666967001136e-27,2.7319014916983495e-25,1.0673005456682347e-26,2.0542926321025781e-25,1.7692774492844072e-25,3.4050825494460379e-25,1.4040226706023534e-25,4.3649208332540529e-27,1.3727663677690376e-27,6.8387878845120733e-27,5.3859722226082005e-27,4.6001103098370327e-27,2.2523803775324952e-33,3.5205178329536191e-27,7.0696637014825051e-27,1.1098640385782782e-29,1.5159990676229e-40,1.5228377062682545e-28,2.8099821031369373e-36,2.6531011368069578e-34,2.041399453394072e-35,6.8671102518304158e-22,8.8283355295730035e-19,2.3532524865542177e-25,1.824339342909589e-28,2.9967401171697582e-25,5.2205665399687554e-31,2.0074621377196238e-31,3.874037415321351e-42,2.2020420790858993e-35,2.6793853701987645e-35,4.2018146282781192e-38,3.66011184307507e-37,1.2044731772146837e-44,2.0017929142108629e-46,2.1848181012695055e-49,2.4654836976288426e-38,2.2711326031992918e-38,2.3494282558116604e-56,1.0814634312885001e-58,2.800445392322833e-31,5.1584060999537319e-37,4.5884188288436704e-37,3.7881773201937512e-40,3.5253636534931327e-40,4.9343895534117787e-55,1.7662239271764808e-41,1.582388429987983e-61,8.6818786147668963e-35,8.3798607702595328e-50,7.3828667030103911e-53,7.3828667030173069e-53
1.5e-14,0.0020126635395408122,9.6282630475978623e-22,8.3780067224323539e-29,2.9603754662752e-28,1.5073233430732968e-28,4.3555750258114764e-35,0.0,0.0,2.4567653063550792e-20,1.9225430741899926e-30,4.3251712012949428e-43,3.9483253654634958e-43,1.2535866336269712e-41,4.1500832770085406e-61,9.1882607788294974e-41,3.6737278423166096e-37,1.8522202908743014e-18,2.7108855211099167e-28,5.157582410269474e-76,1.4146498656681475e-66,3.753834019596841e-43,2.2312356497166319e-42,2.3780749471212493e-39,1.3732670474552174e-49,4.9145730044626099e-30,2.7722405202465155e-55,1.9824295174097453e-42,9.456636471814219e-25,2.9197803694022495e-27,2.3775080638693256e-28,2.200412544665294e-18,3.0935200214615308e-38,2.5467168170608218e-58,3.2255823433042236e-46,3.3030046297580559e-46,0.88168480800000004,0.0,0.0094599999999999927,0.10885,2.7563054476427379e-18,2.7563049093417393e-18,2.2004117794620049e-18,1.0818414099353507e-20,8.8473486375218238e-21,4.4236745018622811e-21,3.8805255863663262e-26,1.2085926866635252e-24,4.7217169013647569e-26,9.0881892425164068e-25,7.8272821244198317e-25,1.5064079149440281e-24,6.2113952630783777e-25,1.9310328499482175e-26,6.0731787173687357e-27,3.025479368610161e-26,2.3827537337162289e-26,2.0350884766673066e-26,2.0947709071591261e-32,1.557470296399702e-26,3.1276238194367718e-26,4.9104819076471265e-29,1.4082374802446312e-39,6.737207624311052e-28,2.6134250300575393e-35,2.4674871213470377e-33,1.898693963272754e-34,1.4407463878601762e-21,1.852218073042719e-18,1.0410781116652852e-24,8.0708746139692604e-28,1.3257543290243766e-24,4.8552023430261437e-30,8.882704889494685e-31,3.5986256142118581e-41,2.0479328524572014e-34,2.4918685279455962e-34,3.908517992978399e-37,3.404181308781459e-36,2.3149572643407636e-43,3.8463271448724178e-45,8.5636085268211416e-48,2.2936123886410576e-37,2.1131290012711243e-37,1.8619164184003076e-54,8.5721595265124324e-57,1.2389419529963435e-30,4.7974937331009994e-36,4.2673142091075988e-36,3.5236887756507703e-39,3.2791776325705024e-39,3.9006992325505019e-53,1.6435734636996308e-40,1.2542105438486836e-59,3.8408247804174585e-34,1.6110910246591331e-48,2.8954581363034779e-51,2.8954581363060512e-51
3.1e-14,0.0020126635395408122,1.9707372130438064e-21,2.3294946556187937e-28,1.2339410624936866e-27,6.2830388396987806e-28,3.6761126637010255e-34,0.0,0.0,5.0283636897301959e-20,8.013535591307352e-30,3.6505945771656328e-42,3.3324572116951479e-42,1.0580253651032435e-40,3.5029212196180503e-60,3.8298075165272764e-40,1.5312684947953143e-36,3.7909922218713691e-18,1.1299439754569381e-27,2.3407995991639868e-74,2.4052473441287654e-65,3.1682529677745842e-42,1.8831383361472215e-41,9.9119322553193233e-39,2.3497711498526909e-48,2.0484780262144793e-29,1.8916024194206645e-53,1.673162590213679e-41,3.9416880194108263e-24,1.2170149495119523e-26,9.9098636489228712e-28,4.5036466779923093e-18,2.610911072868908e-37,1.7376907119808884e-56,1.098214565912256e-44,1.1259699995173932e-44,0.88168480800000004,0.0,0.0094599999999999858,0.10885,5.6414080190024049e-18,5.6414057752723483e-18,4.5036434884961647e-18,2.2142261989574593e-20,1.8108041590760064e-20,9.0540215585707979e-21,1.617457784806505e-25,5.0376197832047325e-24,1.9680766974113788e-25,3.7881139363145185e-24,3.2625460016347399e-24,6.2789647710652749e-24,2.5890165340265607e-24,8.0488139318836619e-26,2.5314554530226818e-26,1.261072003750283e-25,9.931728128535567e-26,8.4825994161299348e-26,1.7680079639952626e-31,6.4917512258306814e-26,1.3036516491405089e-25,2.0471353562602712e-28,1.1857909101991846e-38,2.8083265435446989e-27,2.2058739905271856e-34,2.0826434950721063e-32,1.6027502428180748e-33,2.9488162724589812e-21,3.7909829775785354e-18,4.3393878757267062e-24,3.3640784981465618e-27,5.5259456862187683e-24,4.0977456614413868e-29,3.7038445673427008e-30,3.0301313029797696e-40,1.7284394299977451e-33,2.1031162108001291e-33,3.3000290739898152e-36,2.8734694056635871e-35,3.9307153910698667e-42,6.5274112680939527e-44,2.9180556860737575e-46,1.9369100079591612e-36,1.7850247009126264e-36,1.2714652535292874e-52,5.8559148587208287e-55,5.1643281024133179e-30,4.0492084083482424e-35,3.6016040051512865e-35,2.9750036657842655e-38,2.7684882009776102e-38,2.661534960357785e-51,1.388752466090917e-39,8.5670843719429574e-58,1.6008912268422306e-33,2.7372888298647821e-47,9.8776010011309132e-50,9.8776010011398163e-50
6.300000000000001e-14,0.0020126635395408122,3.9868422880038027e-21,7.1911725658918493e-28,5.0284187760044683e-27,2.5605781995307005e-27,3.0087209452919501e-33,0.0,0.0,1.0171655039021135e-19,3.2655935606324974e-29,2.9880695411145739e-41,2.7275599313445333e-41,8.6593642790892138e-40,2.8673749108666464e-59,1.5606518385580215e-39,6.239961205727444e-36,7.668533915068598e-18,4.6045815939133052e-27,1.1573585147228305e-72,3.946146705132312e-64,2.593079786364005e-41,1.5412116959026677e-40,4.0389294068254095e-38,3.8825055478135302e-47,8.3476483420805504e-29,1.2395012629202886e-51,1.3693845066616663e-40,1.6062574348222292e-23,4.9594003312712062e-26,4.0383209913909944e-27,9.1101105838093075e-18,2.1368639295328316e-36,1.1386295815737016e-54,3.5959225934883706e-43,3.6890750990783242e-43,0.88168480800000004,0.0,0.0094599999999999719,0.10885,1.1411606452140776e-17,1.1411597308834985e-17,9.1100975864720507e-18,4.4789653568982379e-20,3.6629173357619833e-20,1.8314589788792755e-20,6.5911255242957612e-25,2.0528538530954364e-23,8.0198822608273619e-25,1.5436760710444303e-23,1.3295043210616301e-23,2.5587081933765754e-23,1.0550375953869093e-23,3.2798815695887011e-25,1.0316217170913868e-25,5.1389342134053257e-25,4.0472305745024165e-25,3.4567031173191539e-25,1.4470582992072026e-30,2.6453788961273573e-25,5.3124815817317795e-25,8.3451205035549613e-28,9.6603151899768394e-38,1.1445231380598378e-26,1.8056281929567037e-33,1.7046742089798261e-31,1.3121808261329817e-32,5.964952678619429e-21,7.6684962441893842e-18,1.7683188766685278e-23,1.3708784856230447e-26,2.2518296903247617e-23,3.3537202050815732e-28,1.5104564954865616e-29,2.4684951586436236e-39,1.4146127346189041e-32,1.7212583428874248e-32,2.7029286158553715e-35,2.3523424259181388e-34,6.4316875982391857e-41,1.0669180487101019e-42,9.5510911255361319e-45,1.5870593997591756e-35,1.463472044372794e-35,8.3279912001991938e-51,3.8384032229887941e-53,2.1046564936979004e-29,3.3142705585737146e-34,2.9477124579235339e-34,2.4365369326133201e-37,2.2672727283954358e-37,1.7440025281898974e-49,1.1391981155703794e-38,5.6144250527734425e-56,6.5234651425026261e-33,4.4845396466583782e-46,3.2404257441256917e-48,3.2404257441286391e-48
1.2700000000000001e-13,0.0020126635395408122,8.0201854604952427e-21,2.4429438417859158e-27,2.0292281253772875e-26,1.0334749963475709e-26,2.4325219357278031e-32,0.0,0.0,2.04586160681477e-19,1.3178422869296922e-28,2.416203749508828e-40,2.2053746763440952e-40,7.0009106604335197e-39,2.3188972306980802e-58,6.2978105292201712e-39,2.5180733271172115e-35,1.5423608626294001e-17,1.8581556538045562e-26,6.4637003887822364e-71,6.3866266223767136e-63,2.0965083547058719e-40,1.2459801251413803e-39,1.6297002127329204e-37,6.3093377603387274e-46,3.3686447310143936e-28,7.9851798314167777e-50,1.1071044758726647e-39,6.4819600812647965e-23,2.0013408853971141e-25,1.6296432612858091e-26,1.8323020952125835e-17,1.7275678578746699e-35,7.3351509088821043e-53,1.1580209499516965e-41,1.1883433878426951e-41,0.88168480800000004,0.0,0.0094599999999999441,0.10885,2.2951976480179166e-17,2.2951939582936106e-17,1.8322968502258158e-17,9.0083219997913928e-20,7.3670420389157649e-20,3.683522274427408e-20,2.6597342308577061e-24,8.2841645993820432e-23,3.2362744461812991e-24,6.2294233177839655e-23,5.3651437862515953e-23,1.0325511650995832e-22,4.2575479991342839e-23,1.3235370903291111e-24,4.1633815629722472e-25,2.0737901116130697e-24,1.6332384300197844e-24,1.3949341969548176e-24,1.169979636335279e-29,1.0674937022967805e-24,2.1438509344450829e-24,3.369998392207033e-27,7.7388389931049731e-37,4.6195942607018701e-26,1.4601994182221264e-32,1.3784242973982443e-30,1.061543333686535e-31,1.1997212038669232e-20,1.5423456608202364e-17,7.1359237688000128e-23,5.5321001546065196e-26,9.0869638311794114e-23,2.7113098864448307e-27,6.1044075690382703e-29,1.9774334201642777e-38,1.143649731170892e-31,1.3915547750876465e-31,2.1885482014587836e-34,1.9027289283832157e-33,1.0354122890768901e-39,1.7139888466023555e-41,3.0704906707943774e-43,1.2860200991336403e-34,1.1872709061074252e-34,5.3554121641854305e-49,2.4719670078419474e-51,8.4945690395416976e-29,2.6798608651797707e-33,2.3831539365758548e-33,1.9725673852828778e-36,1.8353283320812026e-36,1.1235395595569326e-47,9.2519261422621517e-38,3.614356194057632e-54,2.632308680804785e-32,7.2376437588552659e-45,1.046472294840165e-46,1.0464722948411218e-46
2.55e-13,0.0020126635395408122,1.6091403807794188e-20,8.897961202646637e-27,8.1521429338839348e-26,4.153037199516021e-26,1.9559737918123099e-31,0.0,0.0,4.1034051451634679e-19,5.2942945219012266e-28,1.9434608636964463e-39,1.7735975109314e-39,5.6292189408070575e-38,1.8656583437505414e-57,2.5298732583646789e-38,1.011540760737926e-34,3.0933723348217129e-17,7.4646246216715567e-26,4.118977183571369e-69,1.0275229648117183e-61,1.6858331151653837e-39,1.0017637507521196e-38,6.5453493366631522e-37,1.0172462075780146e-44,1.3532542162746303e-27,5.0864687741363736e-48,8.9016713277866805e-39,2.6039389673349812e-22,8.0398309198132635e-25,6.5466331974140689e-26,3.674877191573428e-17,1.3890189341964901e-34,4.6721741272389051e-51,3.6878275222045752e-40,3.7846255306782687e-40,0.88168480800000004,0.0,0.0094599999999998869,0.10885,4.6032609183986593e-17,4.6032460960403239e-17,3.6748561214800268e-17,1.8066548653019905e-19,1.4774884889373747e-19,7.3874474857902932e-20,1.0684091883334548e-23,3.3279143479592827e-22,1.2999962489540563e-23,2.5024950911735086e-22,2.1552945779584779e-22,4.1479667827658683e-22,1.7103493750007464e-22,5.3166010885865419e-24,1.6727834181994294e-24,8.3308694299898747e-24,6.5610737939001981e-24,5.6037538089102877e-24,9.408478374736538e-29,4.2880737719225184e-24,8.6125334802290656e-24,1.3557045432317991e-26,6.1109696256230443e-36,1.8565399528645747e-25,1.1747252640713883e-31,1.108721484292598e-29,8.5463691923125641e-31,2.4061676948705264e-20,3.0933112664468604e-17,2.8666289763590876e-22,2.2223590550076249e-25,3.6502899778382941e-22,2.1799191006658618e-26,2.4595394670155615e-28,1.5615073564634545e-37,9.1951861909820433e-31,1.1188332367758915e-30,1.7650373832801707e-33,1.5313897694014862e-32,1.6483604533613219e-38,2.7175770822752376e-40,9.7408588527326886e-42,1.038744939247695e-33,9.6122525028945196e-34,3.3977492296496591e-47,1.5729583322514475e-49,3.4135289221664602e-28,2.155347647498991e-32,1.9162078199163988e-32,1.5903910457467786e-35,1.4794079247467473e-35,7.1569844760358263e-46,7.5065371758803327e-37,2.2981360425002142e-52,1.0572941873555336e-31,1.1580603718851028e-43,3.3497696688694989e-45,3.3497696688725755e-45
5.11e-13,0.0020126635395408127,3.2251967807919482e-20,3.3848653661952974e-26,3.2679978283873713e-25,1.6658101512511465e-25,1.5687750844973335e-30,0.0,0.0,8.2190975543984834e-19,2.1223917697330753e-27,1.5597155084942507e-38,1.4229363322850934e-38,4.5146122931821338e-37,1.4980224807519134e-56,1.0140170494285111e-37,4.0545397670734877e-34,6.1953813991141089e-17,2.9921811243164807e-25,3.0306805377236615e-67,1.648635920730854e-60,1.3521835386425204e-38,8.0326497743077901e-38,2.6224761396743733e-36,1.6338436779421676e-43,5.4244522013406241e-27,3.198702492982342e-46,7.1387564648472135e-38,1.0437772828159073e-21,3.2227510118242863e-24,2.624200883311074e-25,7.3599994752814827e-17,1.1138825069454987e-33,2.937850641015268e-49,1.1594897456699717e-38,1.1897953048088426e-38,0.88168480800000004,0.0,0.0094599999999997724,0.10885,9.2193445187996298e-17,9.2192851043288619e-17,7.3599150176824178e-17,3.6181055904297796e-19,2.9588944726997616e-19,1.4794492567556053e-19,4.2821759328768658e-23,1.3339732602381033e-21,5.2103123505433031e-23,1.0031183072443343e-21,8.6394345775281431e-22,1.6626881054658168e-21,6.8558851941424029e-22,2.1308758347956858e-23,6.707409250031106e-24,3.3394083382404994e-23,2.6299877706179679e-23,2.2462487152850041e-23,7.5472135638471131e-28,1.7186373851898215e-23,3.4524845065453801e-23,5.449552932699853e-26,4.7312840903847122e-35,7.4478875599566703e-25,9.4312524469326233e-31,8.8978778696495347e-29,6.8715066709889526e-30,4.8190391520693258e-20,6.1951366130561887e-17,1.1490586550263156e-21,8.9082163311690707e-25,1.4630954061286534e-21,1.7480261887066814e-25,9.9173078608234824e-28,1.2093987836857971e-36,7.3736180460520075e-30,8.9718207092644705e-30,1.4240582266956991e-32,1.2305143449794947e-31,2.5904388737259789e-37,4.2383142099013652e-39,3.0399788314211582e-40,8.4061871180621306e-33,7.8147426952812936e-33,2.1202288069113636e-45,9.8730208603425254e-48,1.3691657626896675e-27,1.7294677417993997e-31,1.536769549016024e-31,1.2824042337490978e-34,1.1923734112074926e-34,4.5009624905193799e-44,6.1288973365944033e-36,1.4403272733021407e-50,4.2368411037851122e-31,1.8386202553095401e-42,1.0639358314987556e-43,1.0639358314997421e-43
