Time (s),Volume (m^3),H(19),O(20),OH(21),H2(22),H2O(23),Ar(24),He(25),HO2(26),H2O2(27),CO(28),CO2(29),HCO(30),C(T)(31),CH(32),CH2(T)(33),CH3(34),CH2O(35),HCCO(36),C2H(37),C2H2(38),H2CC(39),CH2(S)(40),CH3OH(41),CH3O(42),CH2CO(43),C2H3(44),C2H4(45),CH4(46),C2H6(47),C2H5(48),CH2OH(49),CH3CO(50),CH2CHO(51),CH3CHO(52),N2,Ne,CHPD(1),O2(2),C7H9(3),C7H10(4),C7H11(5),C5H7O2(6),C6H12O(7),C7H9O2(8),C7H9O(9),C7H9O2(10),C7H8(11),S(12),C7H8O(13),C7H8O(14),C7H9O4(15),C7H8O3(16),S(17),S(18),C7H11(102),C7H9(85),C7H10(101),S(142),S(143),C5H7(162),S(259),S(423)
0.0,0.000834863734453928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35999999999999999,0.0,0.0098899999999999995,0.108803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0756537733680503e-18,0.000834863734453928,1.0047416593028819e-26,4.079707499233208e-39,4.0766770602065326e-39,2.8475186664007828e-58,3.4370402314253495e-58,0.0,0.0,2.9674954692847183e-24,6.8575736466041874e-39,1.6759105206796819e-68,9.511189337446363e-69,2.4421443955657266e-66,-2.3695020434254661e-113,5.6026908350338426e-81,8.7330880706232836e-69,7.7810126071580598e-70,2.4225124147258826e-66,6.0887764189863767e-116,4.6367992258221049e-110,5.9061425143673222e-69,6.2297420002908559e-60,9.2079249257097733e-80,8.5258911858586835e-100,1.6759104050548167e-68,4.8760898716576836e-84,3.6575176205496333e-57,1.2818279857301021e-31,5.6026908390240625e-81,1.8199245776858458e-82,3.3064109827531074e-50,1.9022289479203197e-82,6.6205196723292243e-86,3.582138027160515e-67,1.1764952623484867e-80,0.35999999999999999,0.0,0.009889999999999427,0.108803,3.6711907510819683e-24,9.6251307534066737e-38,1.125036735400826e-29,8.1659467770288571e-63,0.0,4.0353191506956541e-33,1.6372766685046871e-45,2.8229210419983806e-48,5.3663189205669333e-29,1.2238079151766173e-46,0.0,7.3456267794455067e-53,0.0,0.0,0.0,0.0,2.7818067317500283e-16,2.7818067469058311e-16,1.5199464675323399e-17,2.5189752771343598e-24,3.0965112436460584e-25,1.2818279852407553e-31,1.0068453774183087e-38,4.8934653451735278e-41
3.011830565430541e-18,0.000834863734453928,2.8132767636534273e-26,2.4631620836617212e-38,2.4623130302565439e-38,4.2831596913826932e-57,5.1988697676468206e-57,0.0,0.0,8.3093545698908661e-24,4.1421274328241099e-38,3.7489452391571165e-67,2.127615131361872e-67,5.4629796488119237e-65,1.2279208589865806e-111,1.7615757889282252e-79,1.9535569786833708e-67,1.7405815024913004e-68,5.4190636926470564e-65,7.9185457932038038e-114,3.8341830722056641e-108,1.3211805340847366e-67,7.3959501409823753e-59,3.7996513852393609e-78,9.6976395093703535e-98,3.7489447620278437e-67,2.0121322550342044e-82,4.34220518869793e-56,7.7422415573511735e-31,1.7615757912263892e-79,1.1071533979389852e-80,3.9253713617709276e-49,7.8496014651557971e-81,2.7319761377353427e-84,8.0130999564751394e-66,5.6202594147820857e-79,0.35999999999999999,0.0,0.0098899999999984001,0.108803,1.0279334089320608e-23,5.8136424564813632e-37,6.7952218164671417e-29,2.5675554238840192e-61,0.0,2.4373327643025412e-32,9.889151082508733e-45,1.7050443535673115e-47,3.2412566246182961e-28,1.4529047609439377e-45,0.0,8.7207281041702333e-52,0.0,0.0,0.0,0.0,7.789058767281937e-16,7.7890588813008512e-16,4.2558501090888432e-17,1.5214610524998706e-23,1.8702927283497938e-24,7.7422415515416511e-31,1.1953268562044979e-37,5.8095218015118439e-40
6.884184149555522e-18,0.000834863734453928,6.4303474427759492e-26,1.1856921373778941e-37,1.1854978179457568e-37,4.601066042276028e-56,5.6034156451161875e-56,0.0,0.0,1.8994541794650008e-23,1.9944118365508321e-37,7.4072859461485696e-66,4.2038094903594449e-66,1.0793928584502202e-63,1.2887532210028656e-109,3.9299795086100629e-78,3.8598998615564539e-66,3.4390962003510526e-67,1.0707158054267119e-63,1.7535442515765081e-111,3.053225946647617e-106,2.6104304350665754e-66,7.2613886340739203e-58,1.5030907579722939e-76,8.779789443757219e-96,7.4072840586723809e-66,7.959796118628084e-81,4.2632033734323516e-55,3.7275565678151614e-30,3.9299795189159947e-78,4.9983529896674012e-79,3.8539533949410089e-48,3.1052246704377648e-79,1.0807427291243813e-82,1.5832537243439157e-64,2.926457973790812e-77,0.35999999999999999,0.0,0.0098899999999963427,0.108803,2.349562071096234e-23,2.7990832452244409e-36,3.271606728514832e-28,5.728519149137522e-60,0.0,1.1734708049458474e-31,4.7612005591222693e-44,8.2090550531356373e-47,1.5605255369923674e-27,1.4264705177435762e-44,0.0,8.5620625481091808e-51,0.0,0.0,0.0,0.0,1.7803562511873204e-15,1.7803563109948998e-15,9.7276573921950169e-17,7.3251798825674772e-23,9.0046537543364207e-24,3.7275565621113386e-30,1.1735790416294148e-36,5.7038224118721061e-39
1.4628891317805485e-17,0.000834863734453928,1.3664490682706693e-25,5.1777951941652849e-37,5.1773811977851595e-37,4.2273660776242743e-55,5.1702283668430973e-55,0.0,0.0,4.0370792338133509e-23,8.7114891813674295e-37,1.3180876381046532e-64,7.4804562549128834e-65,1.9207224164705338e-62,1.0289332457895038e-107,7.3604197777778294e-77,6.8684872652482633e-65,6.1196895984574993e-66,1.9052820637547321e-62,2.8979338927185189e-109,2.1840257313982057e-104,4.6451226914911606e-65,6.4226176655430065e-57,5.3643950758374169e-75,6.6551363680661654e-94,1.3180869644776367e-64,2.8407954239360515e-79,3.7707561188326988e-54,1.6279223533662908e-29,7.3604198165513392e-77,1.8873832414527613e-77,3.4087790490114915e-47,1.1082329091243243e-77,3.8570950192271183e-81,2.8173161431456978e-63,1.1678729951256319e-75,0.35999999999999999,0.0,0.0098899999999922279,0.108803,4.9928193734904059e-23,1.2224900018837897e-35,1.4287965526605908e-27,1.0730528537998428e-58,0.0,5.1248552792602223e-31,2.0793413763486173e-43,3.585110408442435e-46,6.8152249763214803e-27,1.2616970324345796e-43,0.0,7.5730473298995602e-50,0.0,0.0,0.0,0.0,3.7832568695165604e-15,3.7832571406677735e-15,2.0671271958380033e-16,3.1990983711767625e-22,3.9325683058380962e-23,1.6279223483213257e-29,1.0380174524142895e-35,5.0449653638902267e-38
3.011830565430541e-17,0.000834863734453928,2.8132784689310813e-25,2.1615410500457971e-36,2.1614553755120666e-36,3.6168590150067544e-54,4.4570044699094952e-54,0.0,0.0,8.3146797799184351e-23,3.6380191227317548e-36,2.2231497555867039e-63,1.2616889169786977e-63,3.2395807700944203e-61,7.3292326347636947e-106,1.2713305451157614e-75,1.1584713413165314e-63,1.0321756583098629e-64,3.2135383568314559e-61,4.193266677757455e-107,1.4772650238448167e-102,7.8346824384210981e-64,5.3985999175972451e-56,1.8125030044330301e-73,4.6287316725574424e-92,2.2231474795521043e-63,9.5984106076402661e-78,3.1695494294053907e-53,6.7962592837419954e-29,1.2713305585418076e-75,6.5489033285144582e-76,2.8652857256994771e-46,3.7444704252755502e-76,1.3032258980101122e-79,4.7518179389063915e-62,4.1508066715557602e-74,0.35999999999999999,0.0,0.0098899999999839967,0.108803,1.0279333890542415e-22,5.1041298911987565e-35,5.9649438594091228e-27,1.8539986510662501e-57,0.0,2.1395261757879874e-30,8.680840962540902e-43,1.4967133530615837e-45,2.8452222441613266e-26,1.0605324017929834e-42,0.0,6.3656025379008081e-49,0.0,0.0,0.0,0.0,7.7890575838190682e-15,7.7890587357865249e-15,4.2558501090640728e-16,1.335560484231166e-21,1.6417693851482147e-22,6.7962592413360391e-29,8.7251634891163554e-35,4.2405957457846147e-37
6.109713432730527e-17,0.000834863734453928,5.7069402809488172e-25,8.8304313065210348e-36,8.8302557241696087e-36,2.9921297079052171e-53,3.7409808835012586e-53,0.0,0.0,1.6879282620340443e-22,1.4871843061489655e-35,3.6515377001351916e-62,2.0723299141425974e-62,5.3210266500485202e-60,4.9445803158791826e-104,2.1123382674638097e-74,1.9027945363005986e-62,1.695353459167638e-63,5.27825190281272e-60,5.6997176905552692e-105,9.718279259415017e-101,1.2868502817356157e-62,4.42610293773076e-55,5.9591080943912967e-72,3.0880031262428293e-90,3.6515302170237726e-62,3.155750644295913e-76,2.5985909173447512e-52,2.7764968737560604e-28,2.1123383121331847e-74,2.1815202943388219e-74,2.3491368777471914e-45,1.2311012003475625e-74,4.2847260022554751e-78,7.8048833691432033e-61,1.3981081128518407e-72,0.35999999999999999,0.0,0.0098899999999675359,0.108803,2.0852362573703992e-22,2.0855916005915371e-34,2.4368737984535295e-26,3.0823281608377768e-56,0.0,8.7406623721957009e-30,3.5464068110372834e-42,6.1145651143064176e-45,1.1623661032322405e-25,8.6948857549329082e-42,0.0,5.2189054668134657e-48,0.0,0.0,0.0,0.0,1.5800656923000793e-14,1.5800661669116323e-14,8.633295935472479e-16,5.4561994507113894e-21,6.7071597954189671e-22,2.7764968389891213e-28,7.153418391559609e-34,3.4766939343137624e-36
1.2305479167330495e-16,0.000834863734453928,1.1494275947770837e-24,3.5693708745372011e-35,3.5693347915265967e-35,2.4362811406071718e-52,3.1329289281941159e-52,0.0,0.0,3.4046095282658355e-22,6.0189941889330102e-35,5.9193244538236642e-61,3.3593428354871976e-61,8.6256313616948399e-59,3.2484008448369452e-102,3.4436560847162559e-73,3.0845180339575803e-61,2.7482469862299201e-62,8.5562916361129452e-59,7.5158578270282653e-103,6.3056296119644898e-99,2.0860441026495041e-61,3.5843802921270759e-54,1.9328235335489134e-70,2.0190794275982066e-88,5.9193001824816847e-61,1.0235622580325628e-74,2.1044108334607586e-51,1.1223070157130918e-27,3.4436562304508086e-73,7.1238616401106328e-73,1.9023960413089407e-44,3.9930553373562628e-73,1.3897434498672792e-76,1.2652078665269718e-59,4.5887446607720258e-71,0.35999999999999999,0.0,0.0098899999999346143,0.108803,4.1998418536280532e-22,8.4334315149501611e-34,9.8502302866179276e-26,5.0311069379545319e-55,0.0,3.5331153477260293e-29,1.433514358611943e-41,2.4716071667587987e-44,4.6984694672652241e-25,7.0413445272180695e-41,0.0,4.2264048149467291e-47,0.0,0.0,0.0,0.0,3.1823847243675983e-14,3.1823866508147152e-14,1.738818758811436e-15,2.2054823193770031e-20,2.7111381238232555e-21,1.1223069875579661e-27,5.7930272589913537e-33,2.8155125724127025e-35
2.4697010636530438e-16,0.000834863734453928,2.3068995452552186e-24,1.4352247648690413e-34,1.4352172343269846e-34,1.9701801189867271e-51,2.6733304974422982e-51,0.0,0.0,6.853014844220213e-22,2.4262888017432047e-34,9.5329684555842164e-60,5.4101397907260171e-60,1.3891370982802855e-57,2.1062552122015609e-100,5.5615511851660438e-72,4.9675408305403341e-60,4.4259862969006777e-61,1.3779701437548409e-57,9.763725562867614e-101,4.0633601095249706e-97,3.3595237148222423e-60,2.8850329712069878e-53,6.2268630000524598e-69,1.3080398959754317e-86,9.5328902619039566e-60,3.2975557074930937e-73,1.6938202262791792e-50,4.5127679537242046e-27,5.5615516560377212e-72,2.3042584044578084e-71,1.5312204263444167e-43,1.2864211928264379e-71,4.4772619709240138e-75,2.0375867720736454e-58,1.4870189676355365e-69,0.35999999999999999,0.0,0.0098899999998687711,0.108803,8.4290524846632399e-22,3.3935683346078656e-33,3.9607316783423518e-25,8.1450635382257961e-54,0.0,1.4206500341273228e-28,5.7640983761062672e-41,9.9382412765732258e-44,1.8892337727815628e-24,5.6674876449912388e-40,0.0,3.4017780564513017e-46,0.0,0.0,0.0,0.0,6.3870194454312316e-14,6.3870272075710135e-14,3.4897970892698396e-15,8.8681414889007376e-20,1.0901342195524228e-20,4.5127677271079539e-27,4.6627380838076048e-32,2.2661625162338701e-34
4.948007357493032e-16,0.000834863734453928,4.6218627146593327e-24,5.7559066470645227e-34,5.7558904028877759e-34,1.5910311109327176e-50,2.3827357253994437e-50,0.0,0.0,1.3809996537302259e-21,9.7792524863091493e-34,1.5302779155635049e-58,8.6845422608221202e-59,2.229891211482091e-56,1.3568183885582009e-98,8.9401513693699407e-71,7.9740661893972501e-59,7.1047501192346565e-60,2.2119657587605595e-56,1.2590257358724794e-98,2.6094945886495193e-95,5.392824596566508e-59,2.3150763291413961e-52,1.9993256440604866e-67,8.4477550619853639e-85,1.5302528090074398e-58,1.0587846976888367e-71,1.3591958080334981e-49,1.80983847491731e-26,8.9401528834489752e-71,7.4226878247050867e-70,1.2287185314846394e-42,4.1304622835488154e-70,1.4375667110076285e-73,3.2708053871973224e-57,4.7884957934169593e-68,0.35999999999999999,0.0,0.0098899999997370831,0.108803,1.6887471500961382e-21,1.3629960460646235e-32,1.5884284680262244e-24,1.3156647447495345e-52,0.0,5.6974411719955927e-28,2.3116614055213523e-40,3.9856933387570473e-43,7.5766713233967771e-24,4.5478034922016828e-39,0.0,2.7297122886534974e-45,0.0,0.0,0.0,0.0,1.2796275515304112e-13,1.2796306676897321e-13,6.9917537499067545e-15,3.5565166286650996e-19,4.3719057746370172e-20,1.8098382930731547e-26,3.7415629133252715e-31,1.8184415539252115e-33
