Time (s),Volume (m^3),H(19),O(20),OH(21),H2(22),H2O(23),Ar(24),He(25),HO2(26),H2O2(27),CO(28),CO2(29),HCO(30),C(T)(31),CH(32),CH2(T)(33),CH3(34),CH2O(35),HCCO(36),C2H(37),C2H2(38),H2CC(39),CH2(S)(40),CH3OH(41),CH3O(42),CH2CO(43),C2H3(44),C2H4(45),CH4(46),C2H6(47),C2H5(48),CH2OH(49),CH3CO(50),CH2CHO(51),CH3CHO(52),N2,Ne,CHPD(1),O2(2),C7H9(3),C7H10(4),C7H11(5),C5H7O2(6),C6H12O(7),C7H9O2(8),C7H9O(9),C7H9O2(10),C7H8(11),S(12),C7H8O(13),C7H8O(14),C7H9O4(15),C7H8O3(16),S(17),S(18),C7H11(102),C7H9(85),C7H10(101),S(142),S(143),C5H7(162),S(259),S(423),S(422),C7H9O(956)
0.0,0.0007879765280919197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35999999999999999,0.0,0.0098899999999999995,0.108803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4969608531827443e-18,0.0007879765280919197,3.3571441823029052e-27,2.2085388828783566e-39,2.2082397699967197e-39,1.2154792950404888e-58,1.4701924720873515e-58,0.0,0.0,1.6307438082163696e-24,6.3080032577461036e-39,1.1457215739225579e-68,3.7604006359578168e-69,1.8502378421424152e-66,-2.2337246417592985e-114,6.4270562037767011e-82,3.2284585694165628e-69,5.3194206108689504e-70,1.842980269404817e-66,4.6578738340971072e-116,6.463600788143641e-111,3.8065049788287531e-69,9.363881204558162e-61,6.5454230020539403e-80,8.2968619043437557e-100,1.1457213600986356e-68,2.3820485240158575e-84,1.1072320220446748e-57,8.9120382876186152e-32,6.4270562140815928e-82,1.0379255913876393e-82,1.8701761619572932e-50,1.5855280028546633e-82,4.3689420019689639e-86,2.5570528837258077e-67,8.6871270272994373e-81,0.35999999999999999,0.0,0.0098899999999994201,0.108803,2.1133851392826662e-24,4.0836342133789598e-38,1.0382929323138657e-29,3.9737281209073653e-55,0.0,5.6908062645919209e-33,9.1002473326518038e-46,2.6842287581770994e-48,8.9445602682435307e-29,3.0970388945238036e-46,0.0,9.2719728642988017e-53,0.0,0.0,0.0,0.0,2.8263371572426749e-16,2.8263372061195386e-16,1.5373962654502247e-17,6.2046821531578705e-24,8.3754319311152501e-25,8.9120382716020967e-32,4.136663466410812e-38,9.2557440428540484e-41,6.7607751657033828e-41,7.0649091533823539e-52
6.991490388911684e-18,0.0007879765280919197,9.4000044041345326e-27,1.3338609496651371e-38,1.3337769032099527e-38,1.8340269366399941e-57,2.2282593582500205e-57,0.0,0.0,4.5666954973916125e-24,3.8104609223428482e-38,2.562934044533965e-67,8.4118667789487093e-68,4.1389085374417403e-65,1.1575585719776286e-112,2.0207696371917265e-80,7.2219334983917486e-68,1.1899332588408157e-68,4.1226736397119252e-65,6.0584736772232879e-114,6.7713219148904686e-109,8.5150004012104412e-68,1.1116801095907332e-59,2.700985346460452e-78,9.4372395773814773e-98,2.562933162183457e-67,9.8295910862104682e-83,1.3145060222067888e-56,5.3828718674325896e-31,2.0207696431268184e-80,6.3143082864624531e-81,2.2202734195919328e-49,6.5427264575803398e-81,1.802856360912885e-84,5.7200257072892472e-66,4.1499453536978046e-79,0.35999999999999999,0.0,0.0098899999999983741,0.108803,5.9174783709272318e-24,2.4666110231200527e-37,6.2712891696371076e-29,8.8890706353201788e-54,0.0,3.4372469745629715e-32,5.4965452627760826e-45,1.6212742201174567e-47,5.4025143867661324e-28,3.676804585813435e-45,0.0,1.1007686156035217e-51,0.0,0.0,0.0,0.0,7.9137438392431497e-16,7.9137441499943357e-16,4.3047095432581095e-17,3.7476279356230128e-23,5.0587605561659058e-24,5.3828718484177804e-31,4.9110469761779136e-37,1.0988418241673262e-39,8.0263915761226241e-40,8.3874543809512626e-51
1.5980549460369562e-17,0.0007879765280919197,2.1485727622543343e-26,6.4217559793124218e-38,6.4215624831294633e-38,1.972426373251199e-56,2.411527331780578e-56,0.0,0.0,1.0441050213171341e-23,1.8350077721302338e-37,5.0639288601377551e-66,1.6620435438197226e-66,8.1777879380980858e-64,1.2149053924956052e-110,4.5082277416691877e-79,1.4269327126379048e-66,2.3511082331872913e-67,8.1457105254266742e-64,1.342133440109599e-111,5.9615744722390594e-107,1.6824210314111624e-66,1.0914544054585984e-58,1.0684820200206907e-76,8.5451342893742554e-96,5.0639253696459949e-66,3.8884894903259485e-81,1.2905901579228449e-55,2.591621846605863e-30,4.5082277682846409e-79,2.8508818899125743e-79,2.1798782027377326e-48,2.5882381844869462e-79,7.131922317034947e-83,1.1301809864412346e-64,2.1608687297081406e-77,0.35999999999999999,0.0,0.0098899999999962837,0.108803,1.3525664757959665e-23,1.1876647666028831e-36,3.0193556348607719e-28,1.7563304298807486e-52,0.0,1.6548864478675314e-31,2.6463457351259662e-44,7.8057379814563434e-47,2.6010781031198547e-27,3.6099085649334289e-44,0.0,1.0807411482377583e-50,0.0,0.0,0.0,0.0,1.8088556399098817e-15,1.8088557929182481e-15,9.8393360988638038e-17,1.8043214428118035e-22,2.4355751102268215e-23,2.5916218279370141e-30,4.8216952488014678e-36,1.0788491889742581e-38,7.880357361283359e-39,8.2348402347810407e-50
3.395866760328532e-17,0.0007879765280919197,4.5657185158342838e-26,2.8045074922624683e-37,2.8044657809407821e-37,1.8135572997993908e-55,2.2432562665307307e-55,0.0,0.0,2.2199564993536831e-23,8.0177818276352913e-37,9.0110018514554336e-65,2.9575191864909608e-65,1.4551944327157658e-62,9.6997399979295763e-109,8.4434185271846871e-78,2.5391517846644978e-65,4.1836737504039594e-66,1.4494864318906656e-62,2.2183314430024438e-109,4.4659092115523501e-105,2.9937799147766205e-65,9.6537956240115312e-58,3.8133352371541819e-75,6.4789290272068876e-94,9.0109893941318418e-65,1.3877750010273807e-79,1.1415130025746033e-54,1.1318300121793767e-29,8.4434186273187514e-78,1.0766653299650383e-77,1.9280786394880062e-47,9.2372429836278153e-78,2.5453337347259088e-81,2.0110977431329643e-63,8.6234661720505436e-76,0.35999999999999999,0.0,0.009889999999992103,0.108803,2.8742037226999569e-23,5.1877028034980221e-36,1.3186318046537479e-27,3.1252956588995142e-51,0.0,7.2273238126489413e-31,1.1557250157497048e-43,3.4089713006515103e-46,1.1359591304159592e-26,3.1929232787637379e-43,0.0,9.5590329588323097e-50,0.0,0.0,0.0,0.0,3.8438178302229548e-15,3.8438185053313181e-15,2.090858921003488e-16,7.8799450188033928e-22,1.0636793433988936e-22,1.1318299956669978e-29,4.2647352027528377e-35,9.542294808549699e-38,6.9700842039300182e-38,7.2836012046364152e-49
6.991490388911684e-17,0.0007879765280919197,9.4000144625866639e-26,1.1708187039689318e-36,1.1708098717926773e-36,1.5529946904074117e-54,1.9647699101152855e-54,0.0,0.0,4.5755815942204408e-23,3.3504592369083947e-36,1.5198408859216228e-63,4.9882934603739017e-64,2.4544006820555819e-61,6.9092641091338029e-107,1.4583929605398028e-76,4.28265487822243e-64,7.0563849376534669e-65,2.4447733157408926e-61,3.2100837304880646e-107,3.0886391239899205e-103,5.0494527432289164e-64,8.1146053366921102e-57,1.2884401607620299e-73,4.5084854829009921e-92,1.519836676869184e-63,4.6889829585568783e-78,9.5951150907652811e-54,4.7251730469598465e-29,1.4583929952131058e-76,3.737020750386263e-76,1.6206680475855744e-46,3.1210588422147143e-76,8.6001163295536092e-80,3.3920138811650839e-62,3.0649194369969273e-74,0.35999999999999999,0.0,0.0098899999999837417,0.108803,5.9174780944994182e-23,2.1664814769492938e-35,5.5050271526647222e-27,5.2712662270233346e-50,0.0,3.0172653524429407e-30,4.8248935766416818e-43,1.4231787875754512e-45,4.7424056413522565e-26,2.6838444608894422e-42,0.0,8.0349429963469756e-49,0.0,0.0,0.0,0.0,7.9137409242173006e-15,7.9137437564593911e-15,4.3047095432215815e-16,3.2897212934681259e-21,4.4406494032050132e-22,4.7251729081634651e-29,3.5847675098697007e-34,8.0208668688878852e-37,5.85877131142654e-37,6.1222691328949593e-48
1.418273764607799e-16,0.0007879765280919198,1.9068624114459171e-25,4.783164281085504e-36,4.7831453720052558e-36,1.2866401801200267e-53,1.6999543766292457e-53,0.0,0.0,9.302520333298583e-23,1.3713814068265095e-35,2.4963554317453209e-62,8.193303653220533e-63,4.0313689591220754e-60,4.6612619636278911e-105,2.4231496334847255e-75,7.0342875029167215e-63,1.1590158631637247e-63,4.0155560184132966e-60,4.3634481132506019e-105,2.0541907067676452e-101,8.2937588410067728e-63,6.6528575430950272e-56,4.2361139103613044e-72,3.0108585135100741e-90,2.4963415932731809e-62,1.5416382215480367e-76,7.8666722831984049e-53,1.930391901593439e-28,2.4231497488453597e-75,1.2456281380009384e-74,1.3287244939474152e-45,1.0261379753663973e-74,2.8275359565101194e-78,5.5714047867383953e-61,1.0323523056972204e-72,0.35999999999999999,0.0,0.0098899999999670189,0.108803,1.200402635007601e-22,8.8566486715451245e-35,2.2489823513973873e-26,8.6580649956061469e-49,0.0,1.2326512908800685e-29,1.9711012404261345e-42,5.8141527859438213e-45,1.9374273521075942e-25,2.2003779335630405e-41,0.0,6.5875314232170875e-48,0.0,0.0,0.0,0.0,1.6053581965682251e-14,1.605359356392461e-14,8.7324107875932756e-16,1.3439579705343381e-20,1.8141481576954632e-21,1.9303917877999657e-28,2.9390099743974563e-33,6.575979970226047e-36,4.8033674102521259e-36,5.0193461901251652e-47
2.8565232160410595e-16,0.0007879765280919198,3.8405914451657826e-25,1.9334321018840442e-35,1.9334278936671393e-35,1.0505631217243837e-52,1.5050802126842881e-52,0.0,0.0,1.8819151962193341e-22,5.5644397155543209e-35,4.0467393556140418e-61,1.3281752341256549e-61,6.5350503109213993e-59,3.0622825964269204e-103,3.9503712878534955e-74,1.140292857759536e-61,1.8788228379095936e-62,6.5094169737738714e-59,5.7538959177364769e-103,1.3400814126596422e-99,1.344459747223207e-61,5.3876789163898231e-55,1.3739767066770327e-70,1.9726549819045902e-88,4.0466944706754627e-61,5.000287501071862e-75,6.370663111491375e-52,7.8029893594747234e-28,3.950371664220594e-74,4.0727536894260374e-73,1.0760402610763331e-44,3.3282676558232675e-73,9.1710832218851883e-77,9.0315255754447963e-60,3.3883035165067724e-71,0.35999999999999999,0.0,0.0098899999999335735,0.108803,2.4177120909233756e-22,3.5847405780110025e-34,9.0907392518481079e-26,1.4035078259463966e-47,0.0,4.9825731446584676e-29,7.9673024944647091e-42,2.350175995856484e-44,7.8313903711449858e-25,1.7819232506355e-40,0.0,5.3347532603847394e-47,0.0,0.0,0.0,0.0,3.2333243462545016e-14,3.2333290399702183e-14,1.7587813276078695e-15,5.432488802906473e-20,7.3330605932805578e-21,7.8029884379486776e-28,2.3800880751202817e-32,5.3253807887670313e-35,3.8898796685813424e-35,4.0646996041479578e-46
5.733022118907581e-16,0.0007879765280919198,7.7080779259730814e-25,7.7742712132308093e-35,7.7742611626698006e-35,8.5426244001535028e-52,1.4118375538371073e-51,0.0,0.0,3.8103431449817676e-22,2.2544028568933761e-34,6.5172768029183641e-60,2.1390026860023917e-60,1.0524585961676964e-57,1.9855910028050406e-101,6.3799435602231807e-73,1.8364211195760388e-60,3.0258126907931325e-61,1.0483304652716053e-57,7.4748792837633349e-101,8.65885346246619e-98,2.1652293936185306e-60,4.3365087539447549e-54,4.4264709228489992e-69,1.2831524435097719e-86,6.5171321989078427e-60,1.610922726892394e-73,5.1277090422614787e-51,3.1375771765626987e-27,6.3799447762814831e-73,1.320649129715306e-71,8.6609840781470864e-44,1.0722546368564277e-71,2.9546112730331674e-75,1.4545117394235826e-58,1.0980127890955942e-69,0.35999999999999999,0.0,0.0098899999998666843,0.108803,4.8523302220318863e-22,1.445221583076759e-33,3.6553406462197466e-25,2.26030022337604e-46,0.0,2.0034703797724483e-28,3.2034533502812632e-41,9.4499742547338193e-44,3.148967018124135e-24,1.434247099639719e-39,0.0,4.2938727652411493e-46,0.0,0.0,0.0,0.0,6.4892484112224535e-14,6.4892672954732454e-14,3.5298618252017664e-15,2.1843764815836889e-19,2.9485782901907392e-20,3.1375764348432092e-27,1.9157045195907162e-31,4.2863003223040476e-34,3.1308945805906492e-34,3.2714676019192322e-45
1.1486019924640625e-15,0.0007879765280919197,1.5443164540946864e-24,3.117855273403558e-34,3.1178526167768832e-34,6.9735847711890964e-51,1.4520542647510525e-50,0.0,0.0,7.767605235947245e-22,9.1772491592255168e-34,1.0462084241881747e-58,3.4336290013967209e-59,1.689457870717927e-56,1.2791068591178582e-99,1.0255840996681674e-71,2.9479095566940938e-59,4.8571849141297796e-60,1.6828314316914071e-56,9.6389405071355846e-99,5.5682671620669858e-96,3.4757322334834853e-59,3.4798330179846058e-53,1.4212611665193295e-67,8.3536388035990376e-85,1.0461619940958428e-58,5.1724223336580214e-72,4.1147365202309404e-50,1.2583324200347177e-26,1.0255844906943113e-71,4.2753450069071435e-70,6.9500161197061756e-43,3.4428421686680578e-70,9.4867965388755703e-74,2.3348535143852607e-57,3.5358591173557925e-68,0.35999999999999999,0.0,0.0098899999997329041,0.108803,9.7215633619577905e-22,5.8265698523065486e-33,1.4659505769583039e-24,3.6282636185561775e-45,0.0,8.0348093493464632e-28,1.2845965943832159e-40,3.7898783301974111e-43,1.2628761288725878e-23,1.1508933629100991e-38,0.0,3.4455612368799361e-45,0.0,0.0,0.0,0.0,1.3001063603717974e-13,1.3001139359938587e-13,7.0720228199768126e-15,8.7602996220986927e-19,1.1825012475270216e-19,1.2583318248593095e-26,1.5372363605971263e-30,3.4394388306053705e-33,2.5123152509029544e-33,2.6248959769048235e-44
