Time (s),Volume (m^3),H(19),O(20),OH(21),H2(22),H2O(23),Ar(24),He(25),HO2(26),H2O2(27),CO(28),CO2(29),HCO(30),C(T)(31),CH(32),CH2(T)(33),CH3(34),CH2O(35),HCCO(36),C2H(37),C2H2(38),H2CC(39),CH2(S)(40),CH3OH(41),CH3O(42),CH2CO(43),C2H3(44),C2H4(45),CH4(46),C2H6(47),C2H5(48),CH2OH(49),CH3CO(50),CH2CHO(51),CH3CHO(52),N2,Ne,CHPD(1),O2(2),C7H9(3),C7H10(4),C7H11(5),C5H7O2(6),C6H12O(7),C7H9O2(8),C7H9O(9),C7H9O2(10),C7H8(11),S(12),C7H8O(13),C7H8O(14),C7H9O4(15),C7H8O3(16),S(17),S(18),C7H11(102),C7H9(85),C7H10(101),S(142),S(143),C5H7(162),S(259),S(423),S(422),C7H9O(956),S(1059),C5H8(381),C7H8(253)
0.0,0.001269806021467445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35999999999999999,0.0,0.0098899999999999995,0.108803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8289167768209965e-18,0.001269806021467445,2.9226125596492137e-27,1.6133144911671054e-39,1.6124909051066776e-39,1.0795518978169826e-58,1.2194652652227147e-58,0.0,0.0,2.1608676622982297e-24,6.9107599777586432e-39,1.3199071458815895e-46,6.1281395531305943e-48,2.029547597288474e-44,3.469983181550755e-109,2.3403125327103109e-81,2.045311046604243e-68,6.1281395531307851e-48,2.0295475989406019e-44,1.1956154826011424e-90,1.0220261246406286e-88,4.344465146739205e-47,8.4379258361652673e-60,3.2573607457757461e-79,8.6923982723687089e-78,1.3199069806687482e-46,4.403495047875205e-57,1.7499289015037574e-35,2.594131837124451e-31,7.9967939426306302e-80,2.6361881421357657e-82,6.1139007616715955e-50,2.074166579414585e-60,5.2572574940194661e-64,2.8918824916329466e-45,2.0957753785330296e-78,0.35999999999999999,0.0,0.0098899999999993958,0.108803,2.7486498678658505e-24,2.348475114294592e-24,1.7701049027754388e-29,4.7227848586984571e-55,0.0,5.1547650031982737e-33,1.3713202489489384e-45,2.1829317740734443e-48,7.6294403837843779e-29,2.2511461435201862e-46,0.0,9.1560327089953915e-53,0.0,0.0,0.0,0.0,2.8886375655007035e-16,2.8886375960904935e-16,2.4808384692721937e-17,4.0589647646780563e-24,4.1499162885484941e-25,2.59430682783498e-31,2.2408151576712981e-38,1.2088016181550465e-40,9.7105144121246097e-41,7.5794646961890977e-52,2.8603893127208003e-60,1.9670284234376451e-46,3.7951022836787935e-43
7.920966975098791e-18,0.001269806021467445,8.1833166251041243e-27,9.7417663686380079e-39,9.7394465148886905e-39,1.6042025277689136e-57,1.8462729187224945e-57,0.0,0.0,6.0509564759127797e-24,4.1744026578570141e-38,7.9722401020154436e-46,3.7013962795987806e-47,1.2258467443248645e-43,1.0910585637022472e-107,7.203284554616901e-80,4.5752794100690725e-67,3.7013962795990061e-47,1.2258467462862707e-43,2.6755727414709543e-89,2.3499764824018068e-87,2.6240569411922422e-46,1.0017506517924377e-58,1.3420248645661528e-77,2.7331357585875706e-76,7.9722381406085998e-46,5.2278293072338854e-56,4.8998009075656044e-35,1.5668558020700167e-30,2.5144083227172125e-78,1.6037419450404514e-80,7.2584237157135509e-49,2.4624505538821903e-59,6.2414160780863828e-63,1.7466970199830841e-44,6.6129691898640454e-77,0.35999999999999999,0.0,0.0098899999999983133,0.108803,7.6962196126416226e-24,6.5757303200247542e-24,1.0691433448238333e-28,1.0564346187405466e-53,0.0,3.1134780560568447e-32,8.2827698875761443e-45,1.3184908317713471e-47,4.6081819855631782e-28,2.6725607095455397e-45,0.0,1.0870042018634306e-51,0.0,0.0,0.0,0.0,8.0881850518869994e-16,8.0881852556040439e-16,6.946347713956811e-17,2.4516146800684945e-23,2.5065492977926241e-24,1.5669047974913958e-30,2.6602958171897148e-37,1.4350416205666189e-39,1.1527939727535366e-39,8.9983360638086798e-51,6.3985730573666627e-59,2.3351790812290641e-45,4.5055454124218951e-42
1.8105067371654377e-17,0.001269806021467445,1.8704730588359189e-26,4.6896624881418922e-38,4.6891257241167435e-38,1.7165892307429458e-56,1.9937364283828335e-56,0.0,0.0,1.3833242188991586e-23,2.0101044415712986e-37,3.8382913915596163e-45,1.7820629663122286e-46,5.9019243463542724e-43,2.4342990877010707e-106,1.5951240491432656e-78,9.0399829087174761e-66,1.7820629663124495e-46,5.9019243656114782e-43,5.2921105758616959e-88,4.5883595125568404e-86,1.2633704535144047e-45,9.835249343809303e-58,5.2971346867754735e-76,6.0984041902078163e-75,3.8382894658387591e-45,5.1327137856323107e-55,1.1199544853109631e-34,7.543737969060546e-30,5.6102759132566287e-77,7.2406594198104218e-79,7.1263649953212208e-48,2.4176485364493446e-58,6.1278592767071518e-62,8.4095942112203759e-44,1.4957906266972836e-75,0.35999999999999999,0.0,0.0098899999999961449,0.108803,1.7591359032662256e-23,1.5030240731484667e-23,5.1474648104830042e-28,2.0872990172740459e-52,0.0,1.4990056541176966e-31,3.9877926598373803e-44,6.347966202470378e-47,2.2186412542362914e-27,2.6239359680638857e-44,0.0,1.0672271683782765e-50,0.0,0.0,0.0,0.0,1.848727949859972e-15,1.84872805208338e-15,1.5877366203304714e-16,1.1803468968728034e-22,1.2067954459739252e-23,7.5438499391026604e-30,2.6118943273329805e-36,1.4089075022600926e-38,1.1317999546636265e-38,8.834610337020367e-50,1.2642487322598357e-57,2.2926532331504387e-44,4.4235711636873931e-41
3.8473268164765556e-17,0.001269806021467445,3.9747581844249974e-26,2.0479825361320521e-37,2.0478656939542051e-37,1.5749321989499385e-55,1.8465858585199541e-55,0.0,0.0,2.9406245958058176e-23,8.7813713541404565e-37,1.6762835336500834e-44,7.7827370698483238e-46,2.5775253797770656e-42,4.5607766891627083e-105,2.9782029398979184e-77,1.6086173014759181e-64,7.7827370698502794e-46,2.5775253968098455e-42,9.4370729581616889e-87,8.0851808547336933e-85,5.5174706210661092e-45,8.6991702945166612e-57,1.8879256110791033e-74,1.1425077248746486e-73,1.6762818303718184e-44,4.5398271659982621e-54,2.3799032477879021e-34,3.2945501060739502e-29,1.0510276360437919e-75,2.7343876785220804e-77,6.303191891038021e-47,2.1383827168290404e-57,5.42002206355824e-61,3.6726906874440034e-43,2.8773145413063008e-74,0.35999999999999999,0.0,0.0098899999999918064,0.108803,3.7381637594580884e-23,3.1939261554402832e-23,2.2480329715105843e-27,3.7142031848328168e-51,0.0,6.5465514630009171e-31,1.7415698712700167e-43,2.7723239766535704e-46,9.6893891905811946e-27,2.3208416755735882e-43,0.0,9.4395033938204589e-50,0.0,0.0,0.0,0.0,3.9285466287785918e-15,3.9285470836104003e-15,3.3739403181915211e-16,5.1548846652868855e-22,5.270391508851976e-23,3.2945738826346337e-29,2.310191161571983e-35,1.2461517058549117e-37,1.0010553422576123e-37,7.8140961262412992e-49,2.2496577839772908e-56,2.0278097193768379e-43,3.9125985282196732e-40
7.920966975098791e-17,0.001269806021467445,8.1833377673551312e-26,8.5496989930059651e-37,8.5494469790938004e-37,1.3469458520549207e-54,1.6037571038549929e-54,0.0,0.0,6.0585982863908528e-23,3.6683204924014657e-36,6.9981608128879913e-44,3.2491394447050657e-45,1.0760660741809835e-41,7.8888943300080155e-104,5.1367235421737453e-76,2.7131703717645899e-63,3.2491394447067098e-45,1.0760660884980613e-41,1.5984567419240819e-85,1.3561822586251892e-83,2.3034353170377154e-44,7.31218290408494e-56,6.3741636908622991e-73,1.9745825808744787e-72,6.9981464958082853e-44,3.8159981918962742e-53,4.8998006662143191e-34,1.3754111056763961e-28,1.8163701464499366e-74,9.4899934211266376e-76,5.2982172168900703e-46,1.797439462408327e-56,4.5558550059907881e-60,1.5332760278269356e-42,5.23100897668817e-73,0.35999999999999999,0.0,0.0098899999999831293,0.108803,7.6962193605935571e-23,6.575730320023258e-23,9.3850938993876448e-27,6.2645164958067817e-50,0.0,2.7330563227412365e-30,7.2706783561327063e-43,1.1573909878360086e-45,4.0451292043313927e-26,1.9508073147519156e-42,0.0,7.9344712896988591e-49,0.0,0.0,0.0,0.0,8.088183144920328e-15,8.0881850605887934e-15,6.9463477138794933e-16,2.1520625909635472e-21,2.2002836563451333e-22,1.3754159865881318e-28,1.9418552193886189e-34,1.0474605281756298e-36,8.4144318857832201e-37,6.5681905886171432e-48,3.7943588288866118e-55,1.7044910998721588e-42,3.288774695756236e-39
1.606824729234326e-16,0.001269806021467445,1.6600534260221066e-25,3.4927926747616679e-36,3.4927369029481245e-36,1.1145938047424726e-53,1.3656509226335791e-53,0.0,0.0,1.2308037411512802e-22,1.5004843526273991e-35,2.8589827871235341e-43,1.3273794158441282e-44,4.3960807535325248e-41,1.3183214079456432e-102,8.5288734491299443e-75,4.4563976206155497e-62,1.3273794158454761e-44,4.3960808709125711e-41,2.6476615272977198e-84,2.2211417432266303e-82,9.4102844079128103e-44,5.9949793433873448e-55,2.0948860978658159e-71,3.2847318854162148e-71,2.8589710491172664e-43,3.1285857292029457e-52,9.9395950769573455e-34,5.6190136921728933e-28,3.0211844170239883e-73,3.1626492349275435e-74,4.3438061829394148e-45,1.4736493723759598e-55,3.7351649915041976e-59,6.2639325659713026e-42,9.558577701514006e-72,0.35999999999999999,0.0,0.0098899999999657769,0.108803,1.5612330117877868e-22,1.333933864918657e-22,3.8341160804000407e-26,1.0289456969732462e-48,0.0,1.1165426493651557e-29,2.9702823545970253e-42,4.7283222915959599e-45,1.652567231097808e-25,1.5993897735882537e-41,0.0,6.5051588035569127e-48,0.0,0.0,0.0,0.0,1.6407452810423343e-14,1.640746067024357e-14,1.409116250511893e-15,8.7918755746755298e-21,8.9888680843226182e-22,5.6190234769051333e-28,1.5920508022082515e-33,8.5876852304986594e-36,6.89863509944385e-36,5.3849534951618954e-47,6.2321871602237435e-54,1.3974451299831749e-41,2.6963359998961646e-38
3.23628079268322e-16,0.001269806021467445,3.3435076553957642e-25,1.4118403611551364e-35,1.4118272554575302e-35,9.0848032356301403e-53,1.1749861937832232e-52,0.0,0.0,2.4860882612484271e-22,6.0802006592165941e-35,1.1556512029833236e-42,5.3654793101046802e-44,1.776965908597733e-40,2.1987835525171653e-101,1.3899611738632819e-73,7.2240357249324842e-61,5.3654793101155979e-44,1.7769660036551268e-40,4.3639184351623981e-83,3.5953204092214002e-81,3.8037870476353612e-43,4.8549059239571415e-54,6.7934060896830268e-70,5.367764487126534e-70,1.1556416972426144e-42,2.5336096085251776e-51,2.0019182194004449e-33,2.2713036957882463e-27,4.9359146985311462e-72,1.0337024918146649e-72,3.5177391834102387e-44,1.1933993138078936e-54,3.0248331340447273e-58,2.531981449583132e-41,1.8409844802064339e-70,0.35999999999999999,0.0,0.0098899999999310702,0.108803,3.1444549852551132e-22,2.6866555307502694e-22,1.5498102089709925e-25,1.6679610531122408e-47,0.0,4.5132436182599654e-29,1.2006137983580111e-41,1.9112654575681037e-44,6.6799406621343151e-25,1.2952274257070838e-40,0.0,5.2680460295061567e-47,0.0,0.0,0.0,0.0,3.3045978674319899e-14,3.304601051234964e-14,2.838079208705179e-15,3.5538148096152699e-20,3.6334372572824404e-21,2.2713055722947972e-27,1.2892849417142206e-32,6.9545047712805241e-35,5.5866711992140221e-35,4.3608004787354344e-46,1.0102453933503969e-52,1.1316913777093136e-40,2.183562483974041e-37
6.495192919581008e-16,0.001269806021467445,6.7104758373305894e-25,5.6769866624688787e-35,5.6769528419988171e-35,7.3637243203480233e-52,1.0516525399057066e-51,0.0,0.0,5.0182440616698525e-22,2.4568873994544725e-34,4.6468600488039438e-42,2.1574352154240035e-43,7.1451000013532209e-40,3.8721041098992028e-100,2.2444514352783313e-72,1.1634161372401081e-59,2.1574352154327898e-43,7.1451007664576511e-40,7.2596878829043596e-82,5.7859411821294099e-80,1.5294857466111674e-42,3.9076767676393902e-53,2.1883811540283049e-68,8.710368819597025e-69,4.6467835383505286e-42,2.0392690632811949e-50,4.017834961034519e-33,9.1328807917598935e-27,8.0058216637959213e-71,3.3495453316864356e-71,2.8314023567508395e-43,9.605513418197391e-54,2.4346483508878556e-57,1.0180984075907369e-40,3.886281581308262e-69,0.35999999999999999,0.0,0.0098899999998616588,0.108803,6.310898220272561e-22,5.3920988624093292e-22,6.2317121492709428e-25,2.6861905637990252e-46,0.0,1.814755175500105e-28,4.8274398103120215e-41,7.6851303313243788e-44,2.6859745125184918e-24,1.0425119077441229e-39,0.0,4.2401813883788574e-46,0.0,0.0,0.0,0.0,6.6322976533774258e-14,6.6323104687784761e-14,5.6960051248733414e-15,1.4289718027297528e-19,1.4609835579700914e-20,9.132883800177942e-27,1.0377301759630127e-31,5.5975582699890617e-34,4.4966099643431061e-34,3.5098317221003498e-45,1.6269078615953615e-51,9.1089165258566858e-40,1.7575205440973341e-36
1.3013017173376585e-15,0.001269806021467445,1.3444651093835331e-24,2.2767679397643733e-34,2.276758151656648e-34,5.9745523622650058e-51,1.011800171192932e-50,0.0,0.0,1.0168902542910772e-21,9.9499943705631599e-34,1.8636287048289326e-41,8.652276806147081e-43,2.8655032586095694e-39,8.2911281510689456e-99,3.6077107576707659e-71,1.8675644893427174e-58,8.6522768062175849e-43,2.8655038725574063e-39,1.2397386372714244e-80,9.2844578620704297e-79,6.1339195523122773e-42,3.1357064167300802e-52,7.0261477252127621e-67,1.4134808053585303e-67,1.8635673100368034e-41,1.6363844028631557e-49,8.0496657172031235e-33,3.6627486399639273e-26,1.2979415656810519e-69,1.0828219219420615e-69,2.2720538932618011e-42,7.7078155826161819e-53,1.953651154421516e-56,4.0830283881361597e-40,9.1827055787194548e-68,0.35999999999999999,0.0,0.009889999999722834,0.108803,1.2643781842966129e-21,1.080298552571108e-21,2.499190048041393e-24,4.3119044812098609e-45,0.0,7.2779780506504192e-28,1.9358785494837345e-40,3.0820938117111087e-43,1.0771957135257918e-23,8.3655046108879317e-39,0.0,3.4024779397977034e-45,0.0,0.0,0.0,0.0,1.3287675678012054e-13,1.3287727100384149e-13,1.1411856956336034e-14,5.7308040050625265e-19,5.8591527300945722e-20,3.6627486349458716e-26,8.3271550286644185e-31,4.4916397797847956e-33,3.6082024772892357e-33,2.8162265351244931e-44,2.611350962927322e-50,7.3094655063982759e-39,1.4102987355469613e-35
