Time (s),Volume (m^3),H(19),O(20),OH(21),H2(22),H2O(23),Ar(24),He(25),HO2(26),H2O2(27),CO(28),CO2(29),HCO(30),C(T)(31),CH(32),CH2(T)(33),CH3(34),CH2O(35),HCCO(36),C2H(37),C2H2(38),H2CC(39),CH2(S)(40),CH3OH(41),CH3O(42),CH2CO(43),C2H3(44),C2H4(45),CH4(46),C2H6(47),C2H5(48),CH2OH(49),CH3CO(50),CH2CHO(51),CH3CHO(52),N2,Ne,CHPD(1),O2(2),C7H9(3),C7H10(4),C7H11(5),C5H7O2(6),C6H12O(7),C7H9O2(8),C7H9O(9),C7H9O2(10),C7H8(11),S(12),C7H8O(13),C7H8O(14),C7H9O4(15),C7H8O3(16),S(17),S(18),C7H11(102),C7H9(85),C7H10(101),S(142),S(143),C5H7(162),S(259),S(423),S(422),C7H9O(956),S(1059),C5H8(381),C7H8(253),S(1058),S(160),S(1870),S(1888),S(1972)
0.0,0.001204756585680135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35999999999999999,0.0,0.0098899999999999995,0.108803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.025927029571431e-18,0.001204756585680135,4.5534815189666998e-27,3.2898813654190981e-36,2.2024483787366262e-39,1.689073088336252e-58,3.0023318030020984e-49,0.0,0.0,2.7943122709932502e-24,7.7468905651657047e-39,1.8713970780339724e-46,8.6886284990164765e-48,2.769041743824551e-44,1.5412948706066457e-108,5.3284466097392196e-81,2.7906103055687069e-68,8.6886284990167572e-48,2.7690417455301511e-44,2.9724309038084529e-90,3.039914535827018e-88,6.2379677592570468e-47,1.525224681802597e-59,3.6766459497253962e-79,1.1803327739338063e-77,1.8713969074739178e-46,4.9886239278822365e-57,3.1878131723908445e-35,2.7921659981728142e-31,1.1449088072402878e-79,3.3820689081365854e-82,7.3898582891561188e-50,2.7679861274026141e-60,7.8692001800002161e-64,4.0372544068543674e-45,3.0003225314588622e-78,0.35999999999999999,0.0,0.0098899999999993767,0.108803,3.4945311060208682e-24,3.2118902073797233e-24,1.8426137134579896e-29,3.3340629864426309e-55,0.0,4.9653611241816129e-33,1.8132543931059079e-45,6.242516448975845e-46,6.9057620667738232e-29,1.8336005803034586e-46,0.0,9.5497408450646224e-53,0.0,0.0,0.0,4.0678361134555858e-118,2.9952202798741518e-16,2.9952203019770522e-16,2.39396331679559e-17,3.2390437424683348e-24,3.3296888466022139e-25,2.7924847776894117e-31,1.5520561878648345e-38,1.0106750642136842e-40,7.9028415406839141e-41,7.6481494155885588e-52,2.1858931727810742e-60,1.8954757636543182e-46,3.2921229856686426e-43,3.9398253457984484e-61,3.2876767478143578e-36,1.9922480261385235e-43,3.597174456748604e-46,1.2962369427913851e-54
5.672595682800007e-18,0.001204756585680135,1.2749750031171943e-26,1.9870876880304555e-35,1.3302789758980802e-38,2.5032422174984696e-57,3.5643686978135474e-48,0.0,0.0,7.8245504394389953e-24,4.6793597251654572e-38,1.1303239321199107e-45,5.2479316018944061e-47,1.6725012086076545e-43,4.8461848116341968e-107,1.6294932011277959e-79,6.2424842005585973e-67,5.2479316018947406e-47,1.6725012106325434e-43,8.3260247524769252e-89,6.2681160452967906e-87,3.7677325183265864e-46,1.8107468825255285e-58,1.5135896614224395e-77,3.711256228827423e-76,1.1303237296310147e-45,5.9224943152563326e-56,8.9258768592303284e-35,1.6864684116011448e-30,3.5998620574392265e-78,2.0574942685576767e-80,8.7732404692083373e-49,3.2861531209181662e-59,9.3423144319782382e-63,2.438501656378271e-44,9.4617562138861615e-77,0.35999999999999999,0.0,0.0098899999999982561,0.108803,9.7846870800296064e-24,8.9932925806630557e-24,1.1129386696365692e-28,7.4577660252610078e-54,0.0,2.9990781146940405e-32,1.0952052082546469e-44,3.770479930021306e-45,4.1710802839750023e-28,2.1768506155794824e-45,0.0,1.1337452320416986e-51,0.0,0.0,0.0,3.1389247701384319e-116,8.3866166786982578e-16,8.3866168347440957e-16,6.7030972870232932e-17,1.9563823968660427e-23,2.011131972302121e-24,1.686557668231949e-30,1.8426011484709716e-37,1.1998060790937354e-39,9.3817267314871679e-40,9.0798795791792373e-51,4.8897535860296957e-59,2.2501828831440281e-45,3.908408395843279e-42,8.8132268900475429e-60,1.9857566187137673e-35,2.3651967064721056e-42,4.2705659946467905e-45,2.8996305009965091e-53
1.2965932989257157e-17,0.001204756585680135,2.9142294167843104e-26,9.5669702505469096e-35,6.4047222123382164e-38,2.6761562106755311e-56,3.4995191304765174e-47,0.0,0.0,1.7886931098919572e-23,2.2531525050624752e-37,5.4420241577336573e-45,2.5266531502466743e-46,8.052373321106178e-43,1.0812122567927767e-105,3.6000460395756293e-78,1.2334099557312349e-65,2.5266531502470026e-46,8.0523733409866555e-43,2.6639233448664956e-87,1.1490862908870638e-85,1.814001011994945e-45,1.7778023233563828e-57,5.9677984854051711e-76,8.2804890175332719e-75,5.4420221696856778e-45,5.8147400133706119e-55,2.040200413905315e-34,8.1196209532579628e-30,8.0318392910746859e-77,9.2890132937446966e-79,8.6136210176392194e-48,3.2263646005444127e-58,9.1723396624823933e-62,1.1740335734705993e-43,2.135471343866583e-75,0.35999999999999999,0.0,0.0098899999999960131,0.108803,2.2364998960731857e-23,2.0556097327229038e-23,5.3583204793549909e-28,1.4734839144517696e-52,0.0,1.443927008444536e-31,5.2729370974375685e-44,1.8153237756220229e-44,2.0081956024797548e-27,2.1372448558227685e-44,0.0,1.1131177895374359e-50,0.0,0.0,0.0,3.4209541139298239e-114,1.9169409056549022e-15,1.9169409857111583e-15,1.5321365227461254e-16,9.4191388493254462e-23,9.6827338002351142e-24,8.1198249523100839e-30,1.8090768149413903e-36,1.1779417069151527e-38,9.210761015498888e-39,8.9146723970950675e-50,9.6613204188310775e-58,2.2091780275688461e-44,3.8372985125875214e-41,1.7413430356021611e-58,9.5605619281526895e-35,2.3221638337724819e-41,4.1928680335299174e-44,5.729182578552109e-52
2.755260760217146e-17,0.001204756585680135,6.1927410890227795e-26,4.1781467907232775e-34,2.7971118454672483e-37,2.4542243316254804e-55,3.0952864744873513e-46,0.0,0.0,3.8019309707897239e-23,9.8422371824103047e-37,2.3766757924076879e-44,1.1034558015321978e-45,3.516682942390376e-42,2.0254162707920032e-104,6.7148999449959725e-77,2.1947880922449037e-64,1.1034558015324883e-45,3.5166829599744313e-42,8.3709314115076824e-86,1.9584691138119833e-84,7.9222189261540679e-45,1.5724465492698441e-56,2.1255196082729277e-74,1.5511702270046324e-73,2.3766740340017822e-44,5.1430716470547302e-54,4.3354258323274187e-34,3.5460531226031625e-29,1.5045506920373719e-75,3.5077311685733562e-77,7.6186529129658311e-47,2.8536829158392415e-57,8.1128304761887146e-61,5.1273130135976531e-43,4.0906767189291306e-74,0.35999999999999999,0.0,0.0098899999999915271,0.108803,4.7525622452876145e-23,4.3681706820358249e-23,2.3401192100647868e-27,2.6219459205860438e-51,0.0,6.306008560880138e-31,2.3028261789507943e-43,7.9279958102178529e-44,8.7703177572263839e-27,1.8903688940903259e-43,0.0,9.84540075098122e-50,0.0,0.0,0.0,2.7985534404651726e-112,4.073499213306089e-15,4.073499572918023e-15,3.2557901108267396e-16,4.1135851873699133e-22,4.2287034239781369e-23,3.5460964582965708e-29,1.6001080972745632e-35,1.0418608127480631e-37,8.1466940647856635e-38,7.8849139419286157e-49,1.7191772475111929e-56,1.9539656996290389e-43,3.3940470303324724e-40,3.0986194477829724e-57,4.1753473467501651e-34,2.0539270474893466e-40,3.7085461000903885e-43,1.0194779073415677e-50
5.672595682800006e-17,0.001204756585680135,1.2749775813116404e-25,1.7442938289518256e-33,1.1677402944053609e-36,2.0982155334173828e-54,2.6017771996747835e-45,0.0,0.0,7.8314536083199961e-23,4.1107189131711224e-36,9.9221608374766992e-44,4.6067106695924866e-45,1.4681458675356541e-41,3.5013946109541203e-103,1.1576371120912727e-75,3.7018342128120053e-63,4.6067106695949273e-45,1.4681458823161121e-41,2.6355134075655103e-84,3.2292123573638301e-83,3.3073703906659436e-44,1.3217369585352712e-55,7.1737293449766083e-73,2.6803840241828881e-72,9.9221460570158753e-44,4.3230615370683014e-53,8.9258765190017943e-34,1.4804084866623496e-28,2.5996875815836143e-74,1.21725553899893e-75,6.4039413216427179e-46,2.398692377620422e-56,6.819322712273785e-60,2.1405522117175323e-42,7.3794984941188432e-73,0.35999999999999999,0.0,0.0098899999999825568,0.108803,9.7846868360129468e-23,8.9932925806605734e-23,9.7695360545127008e-27,4.4222608657891292e-50,0.0,2.6326344078937959e-30,9.613812689805459e-43,3.3097821492638745e-43,3.6614349869777866e-26,1.5889689967581423e-42,0.0,8.2756524922910076e-49,0.0,0.0,0.0,2.014140051697981e-110,8.3866151569327288e-15,8.3866166782652676e-15,6.7030972869600591e-16,1.7173406632483572e-21,1.7653997563829435e-22,1.480417396933885e-28,1.3449875070281411e-34,8.7574014607638851e-37,6.8477349355432951e-37,6.6277236732140725e-48,2.8996332437901725e-55,1.6424158387962201e-42,2.8529009548716157e-39,5.2262494792217953e-56,1.7431243010154049e-33,1.7264484899500278e-39,3.1172594939153344e-42,1.7195001152189068e-49
1.1507265527965728e-16,0.001204756585680135,2.5863890779768281e-25,7.1260080795315354e-33,4.7706096080837525e-36,1.7354592827060484e-53,2.133098097905334e-44,0.0,0.0,1.5902686544144538e-22,1.6808163272779174e-35,4.0535323820845508e-43,1.8819915514381151e-44,5.9978546281207098e-41,5.8376786315597141e-102,1.9216822588399018e-74,6.0802846475549222e-62,1.8819915514401162e-44,5.9978547492998308e-41,8.3477486296445011e-83,5.2431747709859332e-82,1.3511686709121031e-43,1.083641268932886e-54,2.3572204256223064e-71,4.4572276596233176e-71,4.0535202641703069e-43,3.5443069124962919e-52,1.8106777291671261e-33,6.0479608021957532e-28,4.3225755802107043e-73,4.0557043084481808e-74,5.2503453685593392e-45,1.9665928349511746e-55,5.5908925398806065e-59,8.7448539021445274e-42,1.3303337988309792e-71,0.35999999999999999,0.0,0.0098899999999646146,0.108803,1.9848935586653963e-22,1.824353637790569e-22,3.9911734379743236e-26,7.2635464307593315e-49,0.0,1.0755170300178026e-29,3.9275289659163882e-42,1.3521539719686076e-42,1.4958156352095424e-25,1.3027328473019816e-41,0.0,6.7848797942073773e-48,0.0,0.0,0.0,1.3652508160762446e-108,1.7012844357484023e-14,1.7012850612694188e-14,1.3597711639115059e-15,7.0158955223325794e-21,7.2122284759110098e-22,6.0479787810338517e-28,1.1027024082703424e-33,7.179814364598078e-36,5.6141608724337624e-36,5.4337728811611288e-47,4.7626219324891874e-54,1.3465495734083931e-41,2.3389804353178537e-38,8.5840479285556277e-55,7.1212231657964804e-33,1.4154452187313619e-38,2.555722655526147e-41,2.8242894064522783e-48
2.3176605218297173e-16,0.001204756585680135,5.209230278691362e-25,2.8804453694679417e-32,1.9283643443279399e-35,1.4133776131296187e-52,1.7274445529121011e-43,0.0,0.0,3.2093903041450043e-22,6.8058795573283278e-35,1.6385073916868749e-42,7.6073101866528683e-44,2.4244285077491616e-40,9.6482708775810771e-101,3.1314440279877825e-73,9.8564385675860283e-61,7.607310186669072e-44,2.4244286058831466e-40,2.656122726170137e-81,8.451025861642613e-81,5.4616393927280867e-43,8.7756315044894441e-54,7.6433871090983194e-70,7.278563893773997e-70,1.6384975782866126e-42,2.8702714293101473e-51,3.6468576434293348e-33,2.4446898027690035e-27,7.0571767049273227e-72,1.3249820386045667e-72,4.2518777300189444e-44,1.592597704576198e-54,4.5276493668021371e-58,3.534809500490086e-41,2.5085272982846811e-70,0.35999999999999999,0.0,0.0098899999999287301,0.108803,3.9977431364733001e-22,3.6744023972378456e-22,1.6132954602019337e-25,1.1774489478094458e-47,0.0,4.3474115826650408e-29,1.5875480068703473e-41,5.4656222905489648e-42,6.046325742383681e-25,1.0549869362667783e-40,0.0,5.4945713844766032e-47,0.0,0.0,0.0,8.9894389763325305e-107,3.4265292011786425e-14,3.4265317376492752e-14,2.7386940342978499e-15,2.8359359792479935e-20,2.9152935647526859e-21,2.4446933460182896e-27,8.9299763014671606e-33,5.8143778760009893e-35,4.546474941004284e-35,4.4003527968044308e-46,7.7203039337199402e-53,1.0904729968937718e-40,1.8941667840718124e-37,1.3914844022247361e-53,2.8785054943015597e-32,1.1462617077684443e-37,2.0696985430145651e-40,4.5783120305193146e-47
4.651528459896005e-16,0.001204756585680135,1.0454985509643528e-24,1.1582135986665125e-31,7.7539298611986874e-35,1.1438198531854189e-51,1.3904079776483298e-42,0.0,0.0,6.4671338399490217e-22,2.7460646007061737e-34,6.5884046985338922e-42,3.0588655104429533e-43,9.748518546690804e-40,1.6432581994878058e-99,5.0562352710712763e-72,1.5873603630560728e-59,3.058865510455996e-43,9.7485193365583503e-40,8.4741798883816932e-80,1.3574330782419206e-79,2.1961008502327388e-42,7.063429616949912e-53,2.4620717888306152e-68,1.1794168319265618e-68,6.5883257117651207e-42,2.3102438310489545e-50,7.3192165108672662e-33,9.8300492675914553e-27,1.1430586563310656e-70,4.289433552704719e-71,3.4223003006330114e-43,1.2818609270940115e-53,3.6442455183443118e-57,1.4213311404247854e-40,5.148635349843171e-69,0.35999999999999999,0.0,0.0098899999998569629,0.108803,8.0234416028363983e-22,7.3744999161254428e-22,6.4869848081875175e-25,1.8962401297935131e-46,0.0,1.7480749054538182e-28,6.3832838205524554e-41,2.1977024793117431e-41,2.4312008150202585e-24,8.4914543050891224e-40,0.0,4.4225087729304909e-46,0.0,0.0,0.0,5.8351405581045415e-105,6.877014433325225e-14,6.8770246483876614e-14,5.4965397748919142e-15,1.1403164471464272e-19,1.1722231025291429e-20,9.8300557528809034e-27,7.1876319661566198e-32,4.6798940751825117e-34,3.6593790231608625e-34,3.5416944153309906e-45,1.2432952507087917e-51,8.7771344111522534e-40,1.5245898711294465e-36,2.2408565498261502e-52,1.1574289564472749e-31,9.2260707500718726e-37,1.665886445998095e-39,7.3732857699201692e-46
9.319264336028583e-16,0.001204756585680135,2.0946787289531947e-24,4.6449480386431678e-31,3.1097221245444157e-34,9.2518586279644253e-51,1.1157313957212553e-41,0.0,0.0,1.3060621745571916e-21,1.1088748564646187e-33,2.642275870882065e-41,1.2267415138793684e-42,3.9095904643146506e-39,3.1890355224398071e-98,8.1270707038831216e-71,2.5481012642091099e-58,1.2267415138898338e-42,3.9095910981333881e-39,2.7075748382224196e-78,2.1771361589658549e-78,8.8073440053144172e-42,5.668018284160658e-52,7.9047018488356852e-67,1.9085024484598283e-67,2.642212488997021e-41,1.8538246615973617e-49,1.4663930401399206e-32,3.9423368130863848e-26,1.8481156676361792e-69,1.3841259380799909e-69,2.746211273477855e-42,1.0286122504831345e-52,2.9242765771940602e-56,5.7001718700159837e-40,1.1804308041647703e-67,0.35999999999999999,0.0,0.0098899999997134266,0.108803,1.6074835778779673e-21,1.4774694953873077e-21,2.601566808956126e-24,3.0438732303279531e-45,0.0,7.010560842388012e-28,2.5598404387657624e-40,8.8137682440212467e-41,9.7502012594777469e-24,6.8138599132963458e-39,0.0,3.5487842982471846e-45,0.0,0.0,0.0,3.7609257426466907e-103,1.377796770281227e-13,1.3778008701798223e-13,1.1012231255365552e-14,4.5731714547948313e-19,4.701109911882726e-20,3.9423376103109927e-26,5.7676382782516535e-31,3.7552881275831716e-33,2.9363936730695087e-33,2.8418385409787332e-44,1.995648987681487e-50,7.0432015448341587e-39,1.2233868018182836e-35,3.596794376191377e-51,4.6417641333200485e-31,7.4032754228560622e-36,1.3367898203289206e-38,1.1835934409158983e-44
