Time (s),Volume (m^3),H(19),O(20),OH(21),H2(22),H2O(23),Ar(24),He(25),HO2(26),H2O2(27),CO(28),CO2(29),HCO(30),C(T)(31),CH(32),CH2(T)(33),CH3(34),CH2O(35),HCCO(36),C2H(37),C2H2(38),H2CC(39),CH2(S)(40),CH3OH(41),CH3O(42),CH2CO(43),C2H3(44),C2H4(45),CH4(46),C2H6(47),C2H5(48),CH2OH(49),CH3CO(50),CH2CHO(51),CH3CHO(52),N2,Ne,CHPD(1),O2(2),C7H9(3),C7H10(4),C7H11(5),C5H7O2(6),C6H12O(7),C7H9O2(8),C7H9O(9),C7H9O2(10),C7H8(11),S(12),C7H8O(13),C7H8O(14),C7H9O4(15),C7H8O3(16),S(17),S(18),C7H11(102),C7H9(85),C7H10(101),S(142),S(143),C5H7(162),S(259),S(423),S(422),C7H9O(956),S(1059),C5H8(381),C7H8(253),S(1058),S(160),S(1870),S(1888),S(1972),S(1993)
0.0,0.0012937912229070909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35999999999999999,0.0,0.0098899999999999995,0.108803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.212383079555151e-18,0.0012937912229070907,4.5802096616581831e-27,3.3368936668152735e-36,2.2420934913957219e-39,1.3626047126010631e-50,3.1058247616993216e-49,0.0,0.0,2.7932533767373278e-24,7.8400355200820673e-39,2.0363017004415834e-46,9.4542570177228841e-48,3.016736715234222e-44,1.6628443531345828e-108,6.162512386686467e-81,3.4787380275016281e-68,9.4542570177232171e-48,3.0167367171236156e-44,1.231805337272327e-82,1.8622618198469664e-80,6.784885702555357e-47,1.8697550640638272e-59,4.6420478205974655e-79,1.0121188904795495e-68,2.0363015115021896e-46,5.5098812503682474e-57,3.4144465877334371e-35,3.220565367626427e-31,1.2684687537706078e-79,3.9855687483356902e-82,8.558844113080638e-50,3.1202592549224921e-60,8.6140853352922394e-64,4.3951584080437147e-45,1.8764460441462476e-68,0.35999999999999999,0.0,0.0098899999999993715,0.108803,3.4951500727854786e-24,3.3699393694984395e-24,1.9986322311167e-29,3.7705544724978438e-55,0.0,5.0284477745316812e-33,1.852688218631376e-45,6.0288166707471417e-46,7.0366256039377231e-29,1.8814092278813268e-46,0.0,9.7634548477025381e-53,0.0,0.0,0.0,3.95309929332672e-118,3.0152010567038479e-16,3.0152010790539887e-16,2.5908458984559703e-17,3.2552669906126054e-24,3.2281610529155563e-25,3.2209068102910958e-31,1.5791211239365106e-38,1.1116387948233496e-40,8.8281147974592521e-41,7.9464092114058719e-52,2.2340080673358007e-60,2.2111427617088437e-46,3.6197339464898498e-43,3.9168541192863575e-61,3.3346494336717114e-36,2.0804838716022351e-43,3.9900646125204179e-46,1.4513210827747268e-54,7.0403270460507408e-69
6.194672622754422e-18,0.0012937912229070909,1.2824588977267484e-26,2.0154831304102944e-35,1.3542246387633436e-38,2.0591685272718517e-49,3.6872355815018139e-48,0.0,0.0,7.8215952033049756e-24,4.7356271156871828e-38,1.2299263345106587e-45,5.7103712259775197e-47,1.8221089708396538e-43,5.2283755895304422e-107,1.886374712665096e-79,7.781798537666766e-67,5.7103712259779135e-47,1.822108973082742e-43,2.7554992799178816e-81,2.2108772454226913e-79,4.0980709552097778e-46,2.2197733878632439e-58,1.9115609670087937e-77,3.1822637220425227e-67,1.2299261102018104e-45,6.5413310070639889e-56,9.5604504201177921e-35,1.9452216574024077e-30,3.9883653327713191e-78,2.4246360381677104e-80,1.016106056976577e-48,3.7043717765247598e-59,1.022664208498234e-62,2.6546756725275599e-44,5.8998465632223649e-67,0.35999999999999999,0.0,0.009889999999998237,0.108803,9.7864201867539816e-24,9.4358302345954668e-24,1.2071738530446944e-28,8.4341599497171139e-54,0.0,3.0371824513949718e-32,1.1190232215798233e-44,3.6414052640846373e-45,4.250121860509269e-28,2.2336090422163084e-45,0.0,1.1591173584530187e-51,0.0,0.0,0.0,3.0503887115460428e-116,8.4425628532956441e-16,8.4425630108883997e-16,7.2543685156716247e-17,1.966181238451306e-23,1.9498091850891319e-24,1.9453172595391288e-30,1.8747326418619343e-37,1.3196687721164399e-39,1.0480191383029515e-39,9.4339734177263628e-51,4.9973845933016776e-59,2.6249322819432092e-45,4.2973481265700343e-42,8.7618411099818075e-60,2.0141281155423916e-35,2.4699502915887658e-42,4.737005250674518e-45,3.2465475626698262e-53,2.9052110838094636e-67
1.4159251709152966e-17,0.0012937912229070909,2.9313355306984329e-26,9.7036821073975973e-35,6.5200104222258231e-38,2.2151601727643105e-48,3.6201506567851986e-47,0.0,0.0,1.7880221850158929e-23,2.2802508144185183e-37,5.9215669565432504e-45,2.74929792166316e-46,8.7726702904738754e-43,1.1664870825311123e-105,4.1690316293808959e-78,1.5375525976051799e-65,2.7492979216635474e-46,8.7726703124966473e-43,5.4444023234011091e-80,2.1706524139482703e-78,1.9730447486026123e-45,2.1793870469612051e-57,7.5399004237609772e-76,7.0994552598790266e-66,5.9215647542656874e-45,6.4223175439712231e-55,2.1852457982743189e-34,9.3654067193982785e-30,8.8986647832389684e-77,1.0946567599958155e-78,9.9761912982278098e-48,3.6369741536880665e-58,1.0040577789079148e-61,1.2781120561628467e-43,1.3162232913860401e-65,0.35999999999999999,0.0,0.0098899999999959732,0.108803,2.236896034650966e-23,2.1567611964788859e-23,5.8120223098404806e-28,1.6664006270942281e-52,0.0,1.4622726062005741e-31,5.3876104026828537e-44,1.7531798802833219e-44,2.0462507192178199e-27,2.192970616123793e-44,0.0,1.1380282937411091e-50,0.0,0.0,0.0,3.3244632207186088e-114,1.9297286024578754e-15,1.9297286832706175e-15,1.6581413750082569e-16,9.4663160505208614e-23,9.3874909788006146e-24,9.3656252207336359e-30,1.8406237081804229e-36,1.2956228456445997e-38,1.0289229712251385e-38,9.262323422854078e-50,9.8739807745365012e-58,2.5771038631184444e-44,4.219161842443493e-41,1.7311900431890073e-58,9.6971584171876218e-35,2.4250115023296272e-41,4.6508209946933303e-44,6.4146324217082021e-52,1.1492729673181148e-65
3.008840988195005e-17,0.0012937912229070909,6.229091876041066e-26,4.2378524537264954e-34,2.8474613682227297e-37,2.0361150096490157e-47,3.2019838558254092e-46,0.0,0.0,3.8005247118396121e-23,9.9606527579117609e-37,2.586104824941889e-44,1.2006906215237971e-45,3.8312555483393106e-42,2.1852051507296524e-104,7.777345302126956e-77,2.7359939182745379e-64,1.2006906215241397e-45,3.8312555678182035e-42,9.6880233531344136e-79,1.9199175202988437e-77,8.6168047006736243e-45,1.9276438231948473e-56,2.6861019444542803e-74,1.3296493810432012e-64,2.5861028770523465e-44,5.6804670868169487e-54,4.6436472699420725e-34,4.0901207349040842e-29,1.6669331067950967e-75,4.1336679822158192e-77,8.8238313868656032e-47,3.2168624103707545e-57,8.8807772540241685e-61,5.581851086287445e-43,2.4651404741761413e-64,0.35999999999999999,0.0,0.0098899999999914456,0.108803,4.7534040393296448e-23,4.5831175425173016e-23,2.5382627079964406e-27,2.9652288356625618e-51,0.0,6.3861286051118716e-31,2.3529068693399042e-43,7.6565970936262062e-44,8.9365144507756752e-27,1.9396576988051826e-43,0.0,1.0065731340320373e-49,0.0,0.0,0.0,2.7196179552071204e-112,4.1006730679543179e-15,4.1006734308937611e-15,3.5235504218822997e-16,4.1341887079580822e-22,4.0997631286892711e-23,4.0901671508171394e-29,1.6280109714558189e-35,1.1459480935499553e-37,9.100582619016288e-38,8.1924066173111604e-49,1.7570188866839284e-56,2.2793897643270316e-43,3.7318008137378602e-40,3.0805526394500198e-57,4.235002573636175e-34,2.1448946056063879e-40,4.1136005458358912e-43,1.1414501124479164e-50,4.1016761153470933e-64
6.194672622754422e-17,0.0012937912229070909,1.2824616884323106e-25,1.7692197672276206e-33,1.188760339845679e-36,1.7419412654366198e-46,2.6914630509314914e-45,0.0,0.0,7.8286385550224429e-23,4.1602137024869991e-36,1.079648660417064e-43,5.0126468932535947e-45,1.5994737344098511e-41,3.777942969468436e-103,1.340893844047628e-75,4.6146577698524074e-63,5.012646893256474e-45,1.5994737507830332e-41,1.6340268467243713e-77,1.6138064299972664e-76,3.5973462720803426e-44,1.6203018944202875e-55,9.0669182683093077e-73,2.2966385833736526e-63,1.0796470230985716e-43,4.7747747755118048e-53,9.5604500498482809e-34,1.7075462041319679e-28,2.8802853519189098e-74,1.4344746057241344e-75,7.416967272968842e-46,2.7039666172008207e-56,7.4648282300190832e-60,2.3303129052095162e-42,4.2579168516713785e-63,0.35999999999999999,0.0,0.0098899999999823886,0.108803,9.7864199395977324e-23,9.4358302345930762e-23,1.0596746059685029e-26,5.0012557530721948e-50,0.0,2.6660829483678425e-30,9.8228884204987412e-43,3.196478528429942e-43,3.7308188355979001e-26,1.6303992083424393e-42,0.0,8.4608536296925416e-49,0.0,0.0,0.0,1.9573296910904113e-110,8.4425613239066122e-15,8.4425628591784447e-15,7.2543685155978024e-16,1.7259422253149032e-21,1.7115697225941625e-22,1.7075557473003341e-28,1.3684415613825769e-34,9.6323159029769364e-37,7.6495332456443771e-37,6.8861885836707474e-48,2.963458244102626e-55,1.9159537013133341e-42,3.1368033485878666e-39,5.1957768260757441e-56,1.7680291433194885e-33,1.8029121364479648e-39,3.4577325618837996e-42,1.9252242959783973e-49,1.3858653654611677e-62
1.2566335891873256e-16,0.001293791222907091,2.6015716171272067e-25,7.2278386577436759e-33,4.8564842580361316e-36,1.4402740436154706e-45,2.2066284254513339e-44,0.0,0.0,1.5897301397319184e-22,1.7010844667059168e-35,4.4107236254274423e-43,2.0478297367470466e-44,6.53437178500387e-41,6.3008751308733987e-102,2.2259640386112853e-74,7.5796027984023857e-62,2.0478297367494076e-44,6.5343719192411019e-41,2.683894347558959e-76,1.3230961289323521e-75,1.4696332748386883e-43,1.3284232107341403e-54,2.979508426693597e-71,3.8158991496480535e-62,4.4107102017018198e-43,3.914648701680653e-52,1.939405495594356e-33,6.9758941201887414e-28,4.7891998250535522e-73,4.7794840452349405e-74,6.0808866033969605e-45,2.2168750860543074e-55,6.1201169282152779e-59,9.5200882176671564e-42,7.0745916005416954e-62,0.35999999999999999,0.0,0.0098899999999642746,0.108803,1.9852451303781348e-22,1.9141255618740417e-22,4.3291156394126442e-26,8.2145450582013572e-49,0.0,1.0891818495250515e-29,4.0129421670112703e-42,1.3058657465453628e-42,1.524161201842696e-25,1.3366998400769732e-41,0.0,6.9367188779132649e-48,0.0,0.0,0.0,1.3267430141997741e-108,1.7126335135649797e-14,1.7126341447901768e-14,1.471600470289847e-15,7.0510356920335192e-21,6.9923152341964072e-22,6.9759133725578715e-28,1.1219314710802032e-33,7.8971206539051546e-36,6.2715217108925394e-36,5.6456760445936099e-47,4.8674531917333827e-54,1.5708125320676429e-41,2.5717407499655616e-38,8.5339953866804195e-55,7.2229672410279641e-33,1.4781346254935834e-38,2.8348637030579846e-41,3.1621927434664209e-48,4.5564333468899971e-61
2.5309662430110925e-16,0.0012937912229070909,5.2398111826691833e-25,2.9216069056210124e-32,1.9630769830554382e-35,1.1712123317615731e-44,1.7869920443441936e-43,0.0,0.0,3.2084367687953005e-22,6.8881938972924977e-35,1.7828903199326175e-42,8.27765458685174e-44,2.6412972960537181e-40,1.0427682039233932e-100,3.6273420863051378e-73,1.2286906710243629e-60,8.2776545868708571e-44,2.6412974047624993e-40,4.350709513162559e-75,1.0714777360247717e-74,5.9404922197206456e-43,1.0757945107073672e-53,9.6615184268823855e-70,6.2208780262804014e-61,1.782879449052554e-42,3.1701837875649099e-51,3.9061262153265891e-33,2.8197766031986211e-27,7.8192182949927586e-72,1.5614639679037439e-72,4.9244737507002028e-44,1.7952827372054633e-54,4.956228940995136e-58,3.8481715776348657e-41,1.1533366808316834e-60,0.35999999999999999,0.0,0.0098899999999280466,0.108803,3.9984512286774599e-22,3.8552106387018294e-22,1.7498970391057285e-25,1.3316095368830832e-47,0.0,4.4026469624697484e-29,1.6220725339786038e-41,5.2785178881445551e-42,6.1609030590869695e-25,1.0824942912494196e-40,0.0,5.6175346142050768e-47,0.0,0.0,0.0,8.7358877709914392e-107,3.4493871958498391e-14,3.449389755396722e-14,2.9639277076978456e-15,2.8501401831628914e-20,2.8264011249276385e-21,2.8197803945841132e-27,9.0856984321697369e-33,6.395269444471041e-35,5.0788206747676784e-35,4.5719542559641916e-46,7.890235074215577e-53,1.2720875832310561e-40,2.0826620885812404e-37,1.3833703071813233e-53,2.9196318079863037e-32,1.1970290359232919e-37,2.2957552628685765e-40,5.1260703403184579e-47,1.4778755219827985e-59
5.079631550658627e-16,0.0012937912229070909,1.0516369146347702e-24,1.1747644616463848e-31,7.8935137432829626e-35,9.446338846475655e-44,1.4383381476471122e-42,0.0,0.0,6.4657462551910625e-22,2.7794742868296883e-34,7.1689662580295488e-42,3.3284079971774527e-43,1.0620538207760108e-39,1.7848563061870938e-99,5.8569968099762283e-72,1.9787826024184354e-59,3.32840799719284e-43,1.0620539082742793e-39,7.0066871499433582e-74,8.6241880016152007e-74,2.3886454313635127e-42,8.6589776783140813e-53,3.1122025880605646e-68,1.0046732462383946e-59,7.1688787597451161e-42,2.5516393495016747e-50,7.8395666088440423e-33,1.1338267385837083e-26,1.2665569533116373e-70,5.0551770480948394e-71,3.9636676268408857e-43,1.4449994370138631e-53,3.9892035542031081e-57,1.5473326308143501e-40,1.8626408398917954e-59,0.35999999999999999,0.0,0.0098899999998555924,0.108803,8.0248627271555023e-22,7.7373807923507205e-22,7.0362532492072609e-25,2.1445100267183128e-46,0.0,1.7702848043483049e-28,6.5220985548149703e-41,2.1224686265288836e-41,2.4772718536001082e-24,8.7128574864729027e-40,0.0,4.5214802826839963e-46,0.0,0.0,0.0,5.6705601910866635e-105,6.9228902401707115e-14,6.9229005480597182e-14,5.9485821823053053e-15,1.146027883390346e-19,1.1364798503440994e-20,1.1338274301874107e-26,7.3129709977154264e-32,5.1474437324550296e-34,4.0878541334657788e-34,3.6798090209653386e-45,1.2706605755137343e-51,1.0238938625598579e-39,1.6763072377790776e-36,2.2277878830302801e-52,1.1739654505583451e-31,9.6346874957921969e-37,1.8478382707520656e-39,8.2554414980513125e-46,4.7612198122694746e-58
1.0176962165953695e-15,0.001293791222907091,2.1069800403969619e-24,4.7113243236280622e-31,3.1657062276284221e-34,7.5879529866113002e-43,1.1541942137998841e-41,0.0,0.0,1.3059950027881818e-21,1.1225234513944176e-33,2.8751103553467018e-41,1.334840067898329e-42,4.2593091912470842e-39,3.5178663604111882e-98,9.4142155171919895e-71,3.1764297556371824e-58,1.3348400679106765e-42,4.2593098933653314e-39,1.1247296192830718e-72,6.9203725931442026e-73,9.5795336163420245e-42,6.9483605527290779e-52,9.9920929208425453e-67,1.6149822040871869e-58,2.8750401435091975e-41,2.0475292995956391e-49,1.5706443212093119e-32,4.5472082298416318e-26,2.0480127619461495e-69,1.6313261015605668e-69,3.1806301306280612e-42,1.1595205703431116e-52,3.2010835301774571e-56,6.2054940206383598e-40,2.9941375978086106e-58,0.35999999999999999,0.0,0.0098899999997106823,0.108803,1.6077682931861002e-21,1.5501721099622046e-21,2.8218476195549514e-24,3.4423984676335544e-45,0.0,7.0996324353581886e-28,2.6155058454630556e-40,8.5120468813623417e-41,9.934966757733567e-24,6.9915221153562593e-39,0.0,3.6282027096945063e-45,0.0,0.0,0.0,3.6548518052280219e-103,1.3869879047867136e-13,1.3869920419204385e-13,1.1917891130686075e-14,4.5960767749681428e-19,4.5577635394553729e-20,4.5472090594179514e-26,5.8682154602234332e-31,4.1304635139207884e-33,3.2802132142359618e-33,2.9526585051254915e-44,2.0395713819207876e-50,8.2162274255776563e-39,1.3451303484449995e-35,3.5758125263263813e-51,4.708081140424828e-31,7.7311600089986964e-36,1.4827974452591426e-38,1.3252014943727491e-44,1.5287579834845375e-56
