Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13),CH3OOH(15),CH3O(19)
0.0,0.0025151084869230915,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0025151084869230915,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.3713306818538596e-25,1.3713307556361971e-25,7.3782348230772735e-33,2.7242925102609046e-48,2.7202258576875519e-49,2.7202218208317089e-49,1.5198983689767913e-57,4.9014909008616723e-40,9.6547984018138823e-48,3.548799483807104e-61
3.0000000000000002e-15,0.0025151084869230915,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.5058005693778506e-25,4.5058010542332028e-25,4.8485541988385706e-32,2.4979538994458778e-47,3.2714314418645201e-48,3.2714276439760244e-48,2.2621355269310532e-56,3.220979734851951e-39,9.1030966300446119e-47,4.359954016896535e-60
7e-15,0.0025151084869230915,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,9.9911214416948184e-25,9.991124076777869e-25,2.6350834024298596e-31,3.2372707677845837e-46,1.3256882942704014e-46,1.3256877070534775e-46,2.9854804436629076e-54,1.7505324645934319e-38,1.470287696390134e-45,2.2053251404541221e-58
1.5e-14,0.0025151084869230915,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.0961758464262417e-24,2.0961770121866885e-24,1.1657606023273829e-30,2.2854439929585694e-45,1.9581924855124515e-45,1.9581920021370583e-45,9.0515081898244481e-53,7.7443556233611992e-38,1.3673948157200075e-44,4.2414222839278892e-57
3.1e-14,0.0025151084869230915,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.2903013621148508e-24,4.2903062212043666e-24,4.8590901621029017e-30,1.303429713626488e-44,2.2781908387091053e-44,2.2781905670608784e-44,2.1271804008084263e-51,3.2279818647101111e-37,1.1540784853518112e-43,7.2113880498717151e-56
6.300000000000001e-14,0.0025151084869230915,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,8.6785448382054427e-24,8.6785646392392223e-24,1.9801036410550792e-29,6.444333889427642e-44,2.2869245089773028e-43,2.2869245427104521e-43,4.3016641944240553e-50,1.3154201151939203e-36,9.4454935383060235e-43,1.1831108766825828e-54
1.2700000000000001e-13,0.0025151084869230915,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.7455001569344227e-23,1.7455081475306925e-23,7.9905973315152109e-29,2.8973130092426752e-43,2.0802016130629408e-42,2.0802020794289901e-42,7.8688311874333821e-49,5.308314645631671e-36,7.6364575575331466e-42,1.9147405422249373e-53
2.55e-13,0.0025151084869230915,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.5007794148285051e-23,3.5008115147434294e-23,3.2099919189786074e-28,1.2318232825746861e-42,1.7823969284481456e-41,1.7823980241505058e-41,1.353435254763219e-47,2.1324706398470802e-35,6.1402078237844853e-41,3.0803659506649381e-52
5.11e-13,0.0025151084869230915,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,7.0112895779482495e-23,7.011418249165691e-23,1.2867123453905808e-27,5.0825383006820233e-42,1.4774233927231094e-40,1.4774254346096794e-40,2.248611252958382e-46,8.5479900671970838e-35,4.9243673273779031e-40,4.9417445213495088e-51
1e-12,0.0025151084869230915,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.3716727789506998e-22,1.3717225644202194e-22,4.9785476134120068e-27,1.9950634191523571e-41,1.1560129858302713e-39,1.1560163396546071e-39,3.5129361338503532e-45,3.3074399336965507e-34,3.7892296717957589e-39,7.5836863517210901e-50
1.023e-12,0.0025151084869230915,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.4032116498844119e-22,1.4032631717997367e-22,5.1521922170203769e-27,2.0649951585162336e-41,1.2034367585722613e-39,1.2034402605389705e-39,3.6675899686085407e-45,3.4227993228999605e-34,3.9442935523649473e-39,7.9171398766504998e-50
2.047e-12,0.0025151084869230915,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.8072996761899585e-22,2.807505865560932e-22,2.0618939837039931e-26,8.3246982884610827e-41,9.715135925803052e-39,9.7151938520643355e-39,5.9252693930608367e-44,1.3698385678080499e-33,3.1572776765193606e-38,1.267539479348285e-48
4.095e-12,0.0025151084869230915,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,5.6151663314133239e-22,5.6159912530627651e-22,8.2492175905559243e-26,3.3427599307133845e-40,7.8071681417368792e-38,7.8072623418719651e-38,9.5262620125266072e-43,5.4807901279554e-33,2.5264463740535247e-37,2.0286127483631532e-47
8.191e-12,0.0025151084869230915,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.1229662325103288e-21,1.1232962027984196e-21,3.299703319423986e-25,1.3395628557591869e-39,6.2592252140425594e-37,6.2593771370729654e-37,1.5277477110237435e-41,2.1926030404560903e-32,2.0212282498881495e-36,3.2459423534905412e-46
1e-11,0.0025151084869230915,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.3708214232727197e-21,1.3713699364784822e-21,5.4851327866626458e-25,2.2278547063235293e-39,1.5944381851250513e-36,1.5945039026214065e-36,6.5934915193822728e-41,3.6452757331060147e-32,5.1450282923172755e-36,1.399605829654171e-45
