Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13),CH3OOH(15),CH3O(19),H(4),C2H6O2(21),HCO(39),CO(40)
0.0,0.002529170865834933,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.002529170865834933,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.5747726458464208e-23,2.5747699708940724e-23,1.6946359117623919e-30,2.9972466253465064e-44,4.2536326806413331e-45,4.253580487550105e-45,3.9172704895973544e-53,8.0410704689640904e-37,2.3348311100976768e-44,3.9244955440912492e-56,2.8444157792812415e-29,-2.0874809483540213e-58,3.0803174069375982e-61,2.2652955786229754e-67
3.0000000000000002e-15,0.002529170865834933,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,8.4599667081153093e-23,8.4599584758150637e-23,1.113617852791917e-29,2.7195482026840824e-43,5.0748391562935774e-44,5.0747899666468179e-44,5.792759008644231e-52,5.2841320224675451e-36,2.2014161506543437e-43,4.8215297429609177e-55,9.3459170385213371e-29,1.2345958225960979e-56,4.5551031068893172e-60,3.9970947292976854e-66
7e-15,0.002529170865834933,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.8759053030705428e-22,1.8759038359546366e-22,6.0522698045525095e-29,3.2924054586520418e-42,1.9197393354000135e-42,1.9197314524505824e-42,7.1296602110121175e-50,2.8718108817950312e-35,3.5556159366941654e-42,2.4387947915023061e-53,2.0723423119192004e-28,2.3820277379266204e-55,5.6063899884687368e-58,1.6531947292731495e-63
1.5e-14,0.002529170865834933,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.9357214830231243e-22,3.9357198127403544e-22,2.6775233277595459e-28,2.1801830608658448e-41,2.6672078493264055e-41,2.6672006553373552e-41,2.036332209503179e-48,1.2704891341202255e-34,3.3067883550923416e-41,4.6904452504788849e-52,4.3478035559955674e-28,4.2714501125145422e-54,1.6012619903881489e-56,9.5859894308315127e-62
3.1e-14,0.002529170865834933,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,8.0553495046711171e-22,8.0553517664696137e-22,1.1160375251123646e-27,1.169324035971014e-40,2.921863469410941e-40,2.9218576766829002e-40,4.5089338061923187e-47,5.2956192662037361e-34,2.7909224345024086e-40,7.9748281949898616e-51,8.8985661615406927e-28,7.3087613905139095e-53,3.5455638735378802e-55,4.2677677104892437e-60
6.300000000000001e-14,0.002529170865834933,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.6294588194975215e-21,1.6294615674559384e-21,4.5479079220526352e-27,5.5153266703110243e-40,2.7968766188018999e-39,2.796872377989516e-39,8.6931638835630804e-46,2.1579935691801327e-33,2.2842150303179223e-39,1.3083614811110434e-49,1.7999451887184999e-27,1.2076082682187945e-51,6.8357199732899624e-54,1.6513354028130626e-58
1.2700000000000001e-13,0.002529170865834933,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.2772996163910191e-21,3.2773143493263569e-21,1.8352819331249755e-26,2.4075216932700521e-39,2.4663553554373155e-38,2.4663527644852666e-38,1.5405794586387549e-44,8.7084793193696538e-33,1.8467329064716822e-38,2.1174438499090415e-48,3.6198665756515159e-27,1.9624081129795605e-50,1.211379333001451e-52,5.8666389571514109e-57
2.55e-13,0.002529170865834933,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,6.5729534457441949e-21,6.5730199140767655e-21,7.3727089142881503e-26,1.0070559112830978e-38,2.0759814615591959e-37,2.0759807405447474e-37,2.6011878121212426e-43,3.4983940684009796e-32,1.4848919324362401e-37,3.4064625376236259e-47,7.2586866045134407e-27,3.1638417690532685e-49,2.0452526942928635e-51,1.9839129242777438e-55
5.11e-13,0.002529170865834933,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.3164150048598985e-20,1.3164431047613564e-20,2.9553153302681588e-25,4.1201447449540812e-38,1.7044682855170187e-36,1.7044698993731681e-36,4.2785123216288604e-42,1.4023282290216462e-31,1.1908621199479143e-36,5.4648753330549643e-46,1.4532237983160221e-26,5.0811898042224778e-48,3.3637708663985252e-50,6.5311913636860703e-54
1e-12,0.002529170865834933,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.5753941180855143e-20,2.5755056236059605e-20,1.1434665447844364e-24,1.6104367427326385e-37,1.327155437987773e-35,1.3271600365821259e-35,6.6494569777086155e-41,5.4259730667944965e-31,9.1634814200312241e-36,8.3864405703371209e-45,2.8410255137841576e-26,7.8018200093501638e-47,5.2268102002563951e-49,2.0276721542330821e-52
1.023e-12,0.002529170865834933,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.6346099045971487e-20,2.6347253330812692e-20,1.1833489686503368e-24,1.6668042522816288e-37,1.3815609554050114e-35,1.3815657627024337e-35,6.9420887407915439e-41,5.6152242554831992e-31,9.5384716938592733e-36,8.7551909176821671e-45,2.906300441096565e-26,8.1448775219582248e-47,5.4568305716534924e-49,2.1199713066537632e-52
2.047e-12,0.002529170865834933,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,5.2708220327913489e-20,5.2712897961566343e-20,4.735697486002422e-24,6.704900349030439e-37,1.1125183464962406e-34,1.1125278224575667e-34,1.1185542916823277e-39,2.2472689857100986e-30,7.6351820389916704e-35,1.4016948073940806e-43,5.8059338712813815e-26,1.3043037073549545e-45,8.7890268446985355e-48,6.8306583937603042e-51
4.095e-12,0.002529170865834933,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.0542535700481684e-19,1.0544418747932633e-19,1.8946284873427398e-23,2.6893786469583264e-36,8.9288933794465864e-34,8.929059276456567e-34,1.7958906339959694e-38,8.9914315416774526e-30,6.1095722498540193e-34,2.243264345642811e-42,1.1579238195272949e-25,2.0875494286399486e-44,1.4100373527738482e-46,2.1919909852318157e-49
8.191e-12,0.002529170865834933,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.1083121452245935e-19,2.1090676753058973e-19,7.5783309298456129e-23,1.0771135948520861e-35,7.1537722050242438e-33,7.1540490383144486e-33,2.8780655102816767e-37,3.5970434524329281e-29,4.887697160076357e-33,3.5892257586378123e-41,2.3022923434296267e-25,3.3398591071828866e-43,2.2562445988815363e-45,7.0155459480914134e-48
1e-11,0.002529170865834933,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.5735866655521932e-19,2.5748435808767538e-19,1.2597152931570416e-22,1.791056019774642e-35,1.8218209548273494e-32,1.8219423256729538e-32,1.2417087797658393e-36,5.9802048255348357e-29,1.2441144659873481e-32,1.5475004079092836e-40,2.79877273758544e-25,1.4397045860399345e-42,9.7099692131378106e-45,5.4921947714412881e-47
1.6383e-11,0.002529170865834933,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.215293278736863e-19,4.2183193162326272e-19,3.030590961316764e-22,4.3101795677462676e-35,5.725873114139673e-32,5.7263250584614257e-32,4.6075230009004732e-36,1.4389115297900488e-28,3.9093248248157069e-32,5.7413601657569556e-40,4.5505883019284768e-25,5.3411983973047538e-42,3.6010203714407993e-44,2.2395819009939335e-46
3.2767e-11,0.002529170865834933,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,8.4247164058978962e-19,8.4368227520682859e-19,1.2115248716990033e-21,1.7236157029180327e-34,4.5795781013542473e-31,4.5803080696395383e-31,7.3706081294284118e-35,5.7558344761012242e-28,3.1257703916279005e-31,9.1805700488696892e-39,8.8910395114594525e-25,8.536187121181118e-41,5.7255670178862894e-43,7.1226675557937232e-45
6.5535e-11,0.002529170865834933,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.6825445435356529e-18,1.6873830197702161e-18,4.8401797701802301e-21,6.8871515273504464e-34,3.6595989731809277e-30,3.6607712825670797e-30,1.1780567764116846e-33,2.3023715255790248e-27,2.4977747209744798e-30,1.4670102462173208e-37,1.6989345340285297e-24,1.3625643507232075e-39,9.041551095057259e-42,2.2500513413078936e-43
9.999999999999999e-11,0.002529170865834933,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.5623287992498972e-18,2.5747777222851016e-18,1.2451378471520582e-20,1.7718385501661709e-33,1.7092680798138293e-29,1.7103100233380167e-29,1.0446954531418171e-32,5.934822713315652e-27,1.1668600731358645e-29,1.3007467126361006e-36,2.4435837653609572e-24,1.2056516385270611e-38,7.8402544450182575e-41,3.7970810447963061e-42
1.31071e-10,0.002529170865834933,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.3554747911053246e-18,3.3747847091366905e-18,1.9313051323670479e-20,2.7482995129278864e-33,2.9202916845817117e-29,2.9221672780332539e-29,1.8803081679127634e-32,9.2095620388390765e-27,1.9936313917740379e-29,2.3411457717480823e-36,3.114902386185848e-24,2.1697363147650488e-38,1.4093309499528919e-40,7.0173906522324972e-42
2.62143e-10,0.002529170865834933,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,6.6727215478980682e-18,6.7495887065780855e-18,7.6872546439584163e-20,1.0939612634758521e-32,2.324131821068559e-28,2.3271212912861942e-28,2.9934273763062024e-31,3.6838402968587204e-26,1.5875899115118831e-28,3.7264804059161513e-35,5.3143151842529815e-24,3.4386524561327284e-37,2.143214739308171e-39,2.1360535720395759e-40
5.24287e-10,0.002529170865834933,0.84210526299999999,0.0,0.0,0.0,0.052631578999999991,0.105263158,1.3194714128398963e-17,1.3499198251321397e-17,3.0449252381261287e-19,4.333273148355066e-32,1.8400599110937511e-27,1.844797969016687e-27,4.7415156790177287e-30,1.4735393665991594e-25,1.2585132893216992e-27,5.9012183936161729e-34,8.1080224025257374e-24,5.3984570820496606e-36,3.1157648441533638e-38,6.2202785253324653e-39
9.999999999999999e-10,0.002529170865834933,0.84210526299999999,0.0,0.0,0.0,0.052631578999999977,0.10526315799999997,2.4635577656312862e-17,2.5747724489773992e-17,1.1121583884850794e-18,1.5827427763508374e-31,1.3254591226641524e-26,1.3322477113997468e-26,6.791541782113341e-29,5.484595994948465e-25,9.0884271849265889e-27,8.4488960400405297e-33,1.0471359446884195e-23,7.5984411492582012e-35,3.8367075004581608e-37,1.5303784754075184e-37
1.0485750000000002e-09,0.002529170865834933,0.84210526299999999,0.0,0.0,0.0,0.052631578999999977,0.10526315799999997,2.5803802922110563e-17,2.6998420102533868e-17,1.1946290575154933e-18,1.7001094576126647e-31,1.4420127713247391e-26,1.449446161824151e-26,7.4366097740650627e-29,5.8941645283332348e-25,9.8879387969258622e-27,9.2513545744887809e-33,1.0712679522075988e-23,8.3191935221157081e-35,4.1966582251688193e-37,1.6802937271438395e-37
2.0971510000000003e-09,0.002529170865834933,0.84210526299999999,0.0,0.0,0.0,0.052631578999999949,0.10526315799999994,4.9395402676358725e-17,5.3996866530761857e-17,4.6014807710033464e-18,6.5485267988183838e-31,1.1079910308737575e-25,1.1194308418410735e-25,1.1443068636848179e-27,2.3576673395570213e-24,7.6365637381529205e-26,1.4223135298014207e-31,1.2312064766939749e-23,1.2233807145227053e-33,5.0363496429193058e-36,4.0517250658862722e-36
4.194303e-09,0.002529170865834933,0.84210526299999999,0.0,0.0,0.0,0.052631578999999894,0.10526315799999988,9.0866057022357756e-17,1.079937584245842e-16,1.7127732380128409e-17,2.4375131072670017e-30,8.2041028480659616e-25,8.3739573574577178e-25,1.6989027336236275e-26,9.4306722270744753e-24,5.7125411250478041e-25,2.1080497173529102e-30,1.293696522515454e-23,1.6837213751580511e-32,5.2005319732134865e-35,8.4257767372609967e-35
8.388607e-09,0.002529170865834933,0.84210526299999999,0.0,0.0,0.0,0.052631578999999783,0.10526315799999972,1.5592636534618137e-16,2.1598752907357855e-16,6.006124666365898e-17,8.5475564814371296e-30,5.6885677358416823e-24,5.9252442523501318e-24,2.3671753960088788e-25,3.7722690814247927e-23,4.04205747756709e-24,2.9275502484194328e-29,1.3179404063966398e-23,2.0473520522532506e-31,4.5335303381754237e-34,1.4826398097305938e-33
9.999999999999999e-09,0.0025291708658349323,0.84210526299999999,0.0,0.0,0.0,0.052631578999999741,0.10526315799999965,1.7209066451990081e-16,2.5747721619326582e-16,8.5386672421413172e-17,1.215172248965762e-29,1.1407780565383412e-23,1.2170617708176709e-23,7.6295860400531878e-25,5.9461481223228484e-23,8.3024535325634952e-24,9.391545794691068e-29,1.3232730588474067e-23,5.5980309450494506e-31,1.0040697130145366e-33,5.4172853424707265e-33
1.6777215e-08,0.0025291708658349323,0.84210526299999999,0.0,0.0,0.0,0.052631578999999568,0.10526315799999937,2.4007465776339831e-16,4.3197501399482725e-16,1.9190063600871834e-16,2.7310164864299974e-29,3.5461710907989274e-23,3.8437480394951297e-23,2.9762292557319177e-24,1.5089073308270624e-22,2.622087569888946e-23,3.6577891755065347e-28,1.345701189153994e-23,2.0531516601522963e-30,3.320280183709185e-33,2.196566225869753e-32
3.3554431e-08,0.002529170865834932,0.84210526299999999,0.0,0.0,0.0,0.052631578999999137,0.10526315799999859,3.2128642314210634e-16,8.6394975752379728e-16,5.4266436551180401e-16,7.7228810313977052e-29,1.8999075658138125e-22,2.2231688985180046e-22,3.233081425935777e-23,6.0356259633805111e-22,1.5165500443484637e-22,3.9289858366547081e-27,1.3990354585343133e-23,1.6039457165372693e-29,2.0499563438627715e-32,2.748919184027543e-31
5.0331647e-08,0.002529170865834931,0.84210526299999999,0.0,0.0,0.0,0.052631578999998707,0.10526315799999778,3.6125726152243324e-16,1.2959242747188736e-15,9.3466915397798062e-16,1.3301664577108809e-28,4.388977698312152e-22,5.3902637891068841e-22,1.0014286008851116e-22,1.2825699967286804e-21,3.6769605986056348e-22,1.2100658018179365e-26,1.4523141531970441e-23,4.4724546019647472e-29,5.0636309694510669e-32,8.9964923454396676e-31
8.388607900000001e-08,0.0025291708658349288,0.84210526299999999,0.0,0.0,0.0,0.05263157899999784,0.10526315799999607,3.9001922428225374e-16,2.1598724037827814e-15,1.7698590353951654e-15,2.5187600287599657e-28,1.2516213363854081e-21,1.7384607151212923e-21,4.8690720138991359e-22,3.5459250127144976e-21,1.1858450402976544e-21,5.7939729892355332e-26,1.5588826876980457e-23,1.5538062943344778e-28,1.66494184073189e-31,5.0081026436580942e-30
9.999999999999998e-08,0.002529170865834924,0.84210526299999999,0.0,0.0,0.0,0.052631578999997423,0.10526315799999525,3.9480628054824761e-16,2.5747673042294209e-15,2.1799702083168759e-15,3.1024063582263925e-28,1.8364387707406998e-21,2.8703690737272666e-21,1.0340735668319766e-21,5.5024045836507915e-21,1.9578529483945346e-21,1.211337841310815e-25,1.6100803016664499e-23,2.6500230474435703e-28,2.7684657212848031e-31,1.2427282498593659e-29
1.5099494300000001e-07,0.002529170865834924,0.84210526299999999,0.0,0.0,0.0,0.052631578999996112,0.10526315799999264,4.0995564496564482e-16,3.887765040737322e-15,3.4778291147125214e-15,4.9494435444766984e-28,3.6871820957423818e-21,6.4524644698965396e-21,2.7656643830731162e-21,1.1693980439121411e-20,4.4009888722301888e-21,3.2112093771354949e-25,1.7721029034934522e-23,6.1191669535383904e-28,6.2607341386324338e-31,3.5906400573529507e-29
