Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13),CH3OOH(15),CH3O(19),H(4),C2H6O2(21),HCO(39),CO(40),CHO3(66)
0.0,0.0018200765164140588,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0018200765164140588,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.3058493268911739e-22,1.3058466447045597e-22,1.2608892680081886e-29,5.777215786748764e-43,8.9660143601954286e-44,8.9658303967871376e-44,1.3068983130037337e-51,9.7311185566212301e-36,4.366114272755316e-43,1.8711568428596743e-54,2.8082753460100205e-28,-1.0946260613693993e-56,2.2497567732749194e-59,2.3846437241881542e-65,9.107944079416861e-66
3.0000000000000002e-15,0.0018200765164140588,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.2906473740648818e-22,4.2906389754869541e-22,8.2858434100617533e-29,5.225336801367276e-42,1.0671192443839599e-42,1.0671019062235453e-42,1.9288468820501451e-50,6.3947350515125683e-35,4.1166362234515468e-42,2.2988559084703298e-53,9.2271609865859486e-28,6.4739308728916846e-55,3.3204190465737024e-58,4.2008256571274743e-64,1.6044696640979601e-64
7e-15,0.0018200765164140588,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,9.5140415113975464e-22,9.5140255545279953e-22,4.5031745245420705e-28,6.2047781742078951e-41,3.958488788638955e-41,3.9584609863766442e-41,2.32726706982898e-48,3.4753994845834918e-34,6.6489749926546106e-41,1.1627914620180977e-51,2.046003712372205e-27,1.2490792371955219e-53,4.0063040379060841e-56,1.7028036070192091e-61,6.5037136220518288e-62
1.5e-14,0.0018200765164140588,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.9960821716389026e-21,1.9960798713177187e-21,1.9922034970558829e-27,4.0401416517212075e-40,5.4118828510157905e-40,5.4118574321818478e-40,6.5434732965185501e-47,1.5375167320280885e-33,6.183668073940347e-40,2.236353963445214e-50,4.292521606011683e-27,2.2398471671997484e-52,1.1264304842529821e-54,9.7220165018420183e-60,3.7132415049231252e-60
3.1e-14,0.0018200765164140588,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.085434984772693e-21,4.0854345032743894e-21,8.303842583981448e-27,2.1349681650303236e-39,5.8425177283470561e-39,5.8424971504485624e-39,1.4280159211942429e-45,6.4086366501674315e-33,5.2190014577748597e-39,3.8023112173641247e-49,8.7853280698587897e-27,3.8325390676189006e-51,2.4582406544686356e-53,4.2662241881081454e-58,1.6294479941396919e-58
6.300000000000001e-14,0.0018200765164140588,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,8.2641276996225173e-21,8.2641437680949658e-21,3.3838548478000838e-26,9.964274323393501e-39,5.5326967403666281e-38,5.5326814528668788e-38,2.7234522119790333e-44,2.6115541892578883e-32,4.2714606006518833e-38,6.2381209094529113e-48,1.7770023797569045e-26,6.3324009753645148e-50,4.6881441379451309e-52,1.632815080366499e-56,6.2363977920801728e-57
1.2700000000000001e-13,0.0018200765164140588,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.6621461483973307e-20,1.6621562301364307e-20,1.3655334898295761e-25,4.3223596081649789e-38,4.8463956609226246e-37,4.846385892377978e-37,4.7934149827826e-43,1.0538801401899577e-31,3.4533694695176247e-37,1.0095721652977239e-46,3.5735747202847915e-26,1.0290363249904715e-48,8.2509803405149041e-51,5.7605154764051843e-55,2.2001794608709096e-55
2.55e-13,0.0018200765164140588,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.3335922473856721e-20,3.3336399382409766e-20,5.4856192758265656e-25,1.8019451367423276e-37,4.06415127686747e-36,4.0641476292630126e-36,8.0620123035147333e-42,4.2336760497465177e-31,2.7767250593220154e-36,1.6241567343070569e-45,7.1652527808741305e-26,1.6590299344136523e-47,1.3875940961759113e-49,1.9402150965879501e-53,7.4104834539353157e-54
5.11e-13,0.0018200765164140588,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,6.6764018158968629e-20,6.6766073602479822e-20,2.1988743774325574e-24,7.3594829623916129e-37,3.3302885981521415e-35,3.3302924389599484e-35,1.3233141275597043e-40,1.6970653747879092e-30,2.2268843455126153e-35,2.6055672557527592e-44,1.4342747212990045e-25,2.6644100860367465e-46,2.2771874156185917e-48,6.3731421615188513e-52,2.4341653540321044e-52
