Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13),CH3OOH(15),CH3O(19),H(4),C2H6O2(21),HCO(39),CO(40),CHO3(66),acetyl(76),CH3OH(35),CH2OH(41),O(12),CHO3(77)
0.0,0.0024674767679135788,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0024674767679135788,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.53473373054365e-21,1.5346970007116858e-21,1.2340615154537603e-28,4.3010497500824131e-41,9.3417243004270638e-38,8.113332240959533e-42,1.3376842011818457e-45,2.6962009588540067e-34,1.1358352879915141e-41,1.1212557788285716e-43,3.6853237577087672e-26,-9.2875717071379534e-55,1.0599987184290323e-56,8.9877682384113427e-63,3.1653861397812498e-63,-1.4460059841980197e-91,3.6566472425870457e-53,2.1437990807081769e-52,9.3409241608305018e-38,1.1743246222857893e-75
3.0000000000000002e-15,0.0024674767679135788,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,5.0426961377384109e-21,5.0425758597949648e-21,8.1095468028815782e-28,3.8602539598811796e-40,6.1392742191281961e-37,9.5999272070260715e-41,1.2613062225222415e-44,1.7717892015798647e-33,1.0709449730960155e-40,1.0571839711761127e-42,1.2108889458269995e-25,5.4929349821124257e-53,1.5570772889360847e-55,1.5770449558075223e-61,5.5541666185828905e-62,6.965081913086455e-90,4.4924521697609714e-52,2.6338096077830819e-51,6.138324780405184e-37,2.3960561161994247e-74
7e-15,0.0024674767679135788,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.118162795713774e-20,1.1181363865042271e-20,4.4073613366117783e-27,4.3825780269831196e-39,3.3394431566792709e-36,3.402848872763004e-39,2.0388911395928929e-43,9.6292891406908716e-33,1.7297232759070574e-39,1.7075115694403633e-41,2.6849943754644831e-25,1.0598061279722536e-51,1.7938797515547525e-53,6.0999194864354178e-59,2.148319716317072e-59,3.0833570147140768e-86,2.2723440246015645e-50,1.3322134523116319e-49,3.3360573542794891e-36,3.1903541061115007e-71
1.5e-14,0.0024674767679135788,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.3459483697969514e-20,2.3458939881647246e-20,1.9498158790675979e-26,2.7501241327270518e-38,1.4803546741620244e-35,4.4904662829737645e-38,1.8997191308496059e-42,4.2599975170688387e-32,1.6086737015670016e-38,1.5880167398684484e-40,5.6331439584332611e-25,1.9004431481228758e-50,4.8727479846618537e-52,3.3662959888252456e-57,1.1855696802576698e-57,6.6535052503896568e-84,4.370315504367095e-49,2.5621865602309069e-48,1.47588006176787e-35,3.5504251545635888e-69
3.1e-14,0.0024674767679135788,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.8015163587808335e-20,4.8014091939297659e-20,8.1271647447003643e-26,1.4090954321637884e-37,6.1986774905894607e-35,4.7019467688409513e-37,1.6101590529694431e-41,1.7756409190547394e-31,1.3577169599650091e-37,1.3402818154851161e-39,1.1529198029348463e-24,3.2517952927826957e-49,1.0315970884973025e-50,1.4331749231592792e-55,5.0474721498230728e-56,1.1607857114367135e-81,7.430529945801597e-48,4.3562644789297788e-47,6.1517918362314186e-35,3.0313265087434057e-67
6.300000000000001e-14,0.0024674767679135788,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,9.7126397000529581e-20,9.7124396152352154e-20,3.3118585721363557e-25,6.4399144563896458e-37,2.5504093871757079e-34,4.3575556811973766e-36,1.3296711930116037e-40,7.2358330461566913e-31,1.1112155858429854e-36,1.0969446229957868e-38,2.3320325872701908e-24,5.3728564234145734e-48,1.9248840670365001e-49,5.3660896574671427e-54,1.8898726844598231e-54,1.7597392759659065e-79,1.219061629400325e-46,7.1468243324413178e-46,2.5069433610552702e-34,2.2734853403680088e-65
1.2700000000000001e-13,0.0024674767679135788,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.9534835836088694e-19,1.9534500496941049e-19,1.3364804662670993e-24,2.7598504134720714e-36,1.0492970166131417e-33,3.7676429733837391e-35,1.0945903888940607e-39,2.9199856513295159e-30,8.9839050721254883e-36,8.8685072922918084e-38,4.6898661018291848e-24,8.7310801425046362e-47,3.3425749083553767e-48,1.8675371180313212e-52,6.577239411537355e-53,2.4645735419096324e-77,1.9729166237510684e-45,1.1565972959296413e-44,1.0117091594985169e-33,1.5837946291466572e-63
2.55e-13,0.0024674767679135788,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.9179025924318299e-19,3.9178622416680247e-19,5.3689125203268701e-24,1.1431777065683466e-35,4.3776098211836078e-33,3.1370149441721324e-34,9.1182698668670473e-39,1.1730246064566983e-29,7.2236279058457098e-35,7.1308077787455462e-37,9.4039654365592765e-24,1.4076425063669255e-45,5.5794972368332147e-47,6.2422753638545934e-51,2.1984515572641137e-51,3.3045487852053691e-75,3.1739368538873836e-44,1.8605601516063125e-43,4.0646208263179257e-33,1.0590065008311501e-61
5.11e-13,0.0024674767679135788,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,7.8466597382947253e-19,7.846686688105145e-19,2.152097259903712e-23,4.6536319682008481e-35,1.885110503811885e-32,2.5609795614789872e-33,7.8222292751470024e-38,4.7020590047180871e-29,5.7932317883519331e-34,5.7187386275805678e-36,1.8825897502159124e-23,2.2606898389844113e-44,9.1207714180810952e-46,2.0422079013394928e-49,7.1923873591977725e-50,4.3288722208185519e-73,5.0917913044833735e-43,2.9844205344811704e-42,1.6295844743841554e-32,6.9262126167172582e-60
