Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13),CH3OOH(15),CH3O(19),H(4),C2H6O2(21),HCO(39),CO(40),CHO3(66),acetyl(76),CH3OH(35),CH2OH(41),O(12),CHO3(77),CO2(174),CHO3(176),HOCO(82),CH2O2(18)
0.0,0.0022505015677711025,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0022505015677711025,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,9.490034131333112e-22,9.4899002679122998e-22,8.1538417992293041e-29,1.8690845612185862e-41,3.0828660662476868e-38,3.3846842815302772e-42,4.5570765470061849e-46,1.4363719456187049e-34,6.3005205367276129e-42,4.1260234533817032e-44,1.3467880211723288e-26,-4.1604101104711108e-55,3.2358316872314543e-57,2.9569730423494289e-63,1.0594513874287393e-63,-2.9704070752138701e-92,1.2870295179584397e-53,5.9807060794316062e-53,3.0825317192595709e-38,1.8233082672635457e-76,8.5843439398669785e-77,1.9968664101431905e-86,6.3338938996856587e-107,8.1249952073079643e-49
3.0000000000000002e-15,0.0022505015677711025,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.118153803812284e-21,3.1181100881512948e-21,5.3582386891994852e-28,1.6804015483448109e-40,2.0260619948852209e-37,4.0100549996721497e-41,4.2969361488019144e-45,9.439015642796743e-34,5.9405517805051279e-41,3.8902505188461295e-43,4.425148296918668e-26,2.4605852717375621e-53,4.7582218682559746e-56,5.1930155858605254e-62,1.8606011886351269e-62,1.4303211507562111e-90,1.5812076423431772e-52,7.3477225426187384e-52,2.0256648753173878e-37,3.5562688728401798e-75,1.9195990448313559e-75,4.4538307258130412e-85,1.6052025009614093e-105,7.641853081290603e-48
7e-15,0.0022505015677711025,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,6.9141654062411692e-21,6.914070196257182e-21,2.9120855105252238e-27,1.9263397723147161e-39,1.1023381464363092e-36,1.4354471471907424e-39,6.9475756195427626e-44,5.1298998064318194e-33,9.5948271553288899e-40,6.2833415656192981e-42,9.8122059235545249e-26,4.7474497398731024e-52,5.5368361424975269e-54,2.0290653050965853e-59,7.2699207926561884e-60,6.4039548513674939e-87,7.9979657473067379e-51,3.7165680235496571e-50,1.1009089757365826e-36,2.5541827834736557e-72,4.8120735137906367e-72,1.0555980871616454e-81,1.4430957910257705e-101,1.2070960754460815e-46
1.5e-14,0.0022505015677711025,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.4506183392656019e-20,1.4505990414864085e-20,1.2883060907266573e-26,1.2181875966477074e-38,4.8894768106426886e-36,1.9083361029769075e-38,6.4768368666269198e-43,2.2694676747799442e-32,8.9233624378320161e-39,5.8436219611966402e-41,2.0586080744701395e-25,8.5131210997527424e-51,1.5148837406790219e-52,1.127757497178182e-57,4.0406325433165837e-58,1.391720745789984e-84,1.5382193484722544e-49,7.1479066266864654e-49,4.8704518233604412e-36,1.7219776748509372e-70,6.5339350687968966e-70,1.3314021911780692e-79,3.9845721290653273e-99,1.0850332445361317e-45
3.1e-14,0.0022505015677711025,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.9690198491743776e-20,2.9689830861657972e-20,5.3698790416793886e-26,6.280962246275889e-38,2.0501712889452281e-35,2.010682728204986e-37,5.4965677042907782e-42,9.4595352481650883e-32,7.531297489892848e-38,4.9320015669425878e-40,4.2132868701475213e-25,1.456656292793616e-49,3.2270382785834644e-51,4.8310756459971718e-56,1.7309217406543443e-56,2.4430710259698937e-82,2.6153228631453939e-48,1.2152959913427315e-47,2.0301137321168587e-35,8.2355936663326995e-69,6.2691981148010397e-68,1.1183903917727801e-77,7.8718442129576098e-97,8.5908983945487265e-45
6.300000000000001e-14,0.0022505015677711025,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,6.0058145195189405e-20,6.0057511793562598e-20,2.188251263960764e-25,2.8825308584716762e-37,8.459766113694155e-35,1.8714401244300232e-36,4.5513150633483429e-41,3.8548119153670481e-31,6.1639463757055216e-37,4.0365642783477177e-39,8.5222598216747845e-25,2.4067947276146307e-48,6.0477104212868585e-50,1.816799940047282e-54,6.5093949530179225e-55,3.7200125082599609e-80,4.2907308109301802e-47,1.9937942719496769e-46,8.2730254068925002e-35,3.2869580721311975e-67,5.0148118816612329e-66,7.159957504448858e-76,1.3291134986578829e-94,6.2547537663529611e-44
1.2700000000000001e-13,0.0022505015677711025,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.2079370462506437e-19,1.2079287381061182e-19,8.8305540297479429e-25,1.2382539364639106e-36,3.5005996040303718e-34,1.6222332729478409e-35,3.7668550805793762e-40,1.5555908214590406e-30,4.9833985051202051e-36,3.2634568360018381e-38,1.7138667440413962e-24,3.9111245002061728e-47,1.0529644454965745e-48,6.3398988994875219e-53,2.2715154251594465e-53,5.2241477811105901e-78,6.9440767141322884e-46,3.2266230345155603e-45,3.3387024288849342e-34,1.1830681474797723e-65,3.6149610482611265e-64,3.6863715169288136e-74,2.1147748871130633e-92,4.1356126790359059e-43
2.55e-13,0.0022505015677711025,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.4226348759197471e-19,2.4226359845745023e-19,3.5474111490203025e-24,5.1354710221572581e-36,1.4763596788306473e-33,1.3525864982384845e-34,3.1700898990190317e-39,6.2491619002509534e-30,4.0069664112285794e-35,2.6240156924846429e-37,3.4365331739801716e-24,6.3055901462027592e-46,1.7601894933939293e-47,2.1222780445623675e-51,7.6038812009114555e-52,7.0154332906301345e-76,1.1171317665905514e-44,5.1904787122049007e-44,1.341363419657989e-33,4.0232937303706215e-64,2.460741894547241e-62,1.5957074530588744e-72,3.4165385618564729e-90,2.4290391906661569e-42
5.11e-13,0.0022505015677711025,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.8519771007623845e-19,4.8520505020032869e-19,1.4219581610699704e-23,2.0918716804864583e-35,6.4808039512997063e-33,1.1050185984844666e-33,2.76946098708155e-38,2.5049711427142246e-29,3.2135198247287744e-34,2.1044017389452047e-36,6.8794074167009748e-24,1.0126835340436652e-44,2.8795470724927189e-46,6.9485924735176046e-50,2.489598141760677e-50,9.1980258973272792e-74,1.7921625487658056e-43,8.3256663569862573e-43,5.377891977481785e-33,1.3278053638506358e-62,1.624981070870168e-60,6.0941284793871428e-71,5.9247817091682479e-88,1.2594826080257069e-41
