Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13),CH3OOH(15),CH3O(19),H(4),C2H6O2(21),HCO(39),CO(40),CHO3(66),acetyl(76),CH3OH(35),CH2OH(41),O(12),CHO3(77),CO2(174),CHO3(176),HOCO(82),CH2O2(18),C1OO1(327),CH2O2(169)
0.0,0.0016784093191612723,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0016784093191612723,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.8958711742202716e-23,1.8958705570484034e-23,1.8258037259051324e-30,1.905969708261572e-44,5.9989946392736221e-42,2.5755296769463281e-45,7.7541819213292943e-50,6.6203995783135271e-37,2.736054624343288e-44,1.2325460169215556e-47,7.9975210912807831e-30,-2.4954590197248632e-58,1.6955806300994495e-61,1.8398992591305038e-67,7.4438051952267151e-68,-2.7284649114398845e-98,1.9577566774216746e-57,2.3554754666699572e-57,5.9964314473346746e-42,7.9102527912378777e-82,3.4844567349753693e-82,1.7807752206621988e-92,2.2953291523209684e-115,4.8175016302440726e-52,1.3466196765807354e-53,1.095503199865972e-55
3.0000000000000002e-15,0.0016784093191612723,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,6.2292904011027961e-23,6.2292889731673095e-23,1.1998138266320555e-29,1.7322305289794857e-43,3.943580599055372e-41,3.0766222014311989e-44,7.3128749000491558e-49,4.3505482943227949e-36,2.5797118426412441e-43,1.1621147798316162e-46,2.6277484426577723e-29,1.4758856711073346e-56,2.5099220024747249e-60,3.2492384560048268e-66,1.3145664348147294e-66,1.3111477948628551e-96,2.4052438606272317e-56,2.8938688241614331e-56,3.9405156095974617e-41,1.5538348328400687e-80,7.8401826097954442e-81,3.998306139567158e-91,5.8331240273753632e-114,4.4968256851087127e-51,1.6415223861439941e-52,1.356414625957566e-54
7e-15,0.0016784093191612723,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.3812770507395326e-22,1.3812771201424202e-22,6.5207255365531901e-29,2.1187468881604541e-42,2.1533380952968531e-40,1.1759880933353283e-42,1.1864736564786745e-47,2.3644284208363662e-35,4.1666210725430149e-42,1.8769909126296926e-45,5.8266919333776862e-29,2.8475715777068393e-55,3.1218966429692098e-58,1.3582954612107807e-63,5.4953480341185146e-64,6.3286883337845823e-93,1.2166055578352882e-54,1.4637529468087244e-54,2.141597003556076e-40,1.2188177014147294e-77,2.148334879399786e-77,1.0454240339924203e-87,5.7014472958358748e-110,6.6582922424284405e-50,7.6055752798770123e-51,6.5175587397055086e-53
1.5e-14,0.0016784093191612723,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.8979719034856908e-22,2.8979735658099061e-22,2.8847676676980826e-28,1.415912006344488e-41,9.6391669655431087e-40,1.648252052661268e-41,1.1153991044350739e-46,1.0460231333844465e-34,3.8750339588509043e-41,1.7456359839673334e-44,1.2224413603473527e-28,5.1062614573133706e-54,8.9930081758980648e-57,7.9425849602680003e-62,3.2133854300428158e-62,1.4466479352517647e-90,2.3398531146409343e-53,2.8151657695946968e-53,9.4745165154256969e-40,8.7252759786969892e-76,3.0962621151394404e-75,1.4157802174457971e-85,1.6586648485670031e-107,5.4704177952406189e-49,1.2987307393192146e-49,1.1230254437788109e-51
3.1e-14,0.0016784093191612723,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,5.9313569349358375e-22,5.9313664572093058e-22,1.2024201759938964e-27,7.6573862713003739e-41,4.1311107626488879e-39,1.8204087563400553e-40,9.6590665199124352e-46,4.3600060081015496e-34,3.2705196886013884e-40,1.473312659407909e-43,2.5019195732496407e-28,8.7371794892048991e-53,2.0074079559036117e-55,3.5646540672645968e-60,1.4421762430754727e-60,2.6605345560054643e-88,3.9782839029081686e-52,4.7863669796558668e-52,3.9492174047675295e-39,4.3997418004521615e-74,3.1318920813837945e-73,1.2778240134054194e-83,3.4027885472171723e-105,3.7502194823452834e-48,1.8062131694180391e-48,1.5685314068326057e-50
6.300000000000001e-14,0.0016784093191612723,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.1998108301725245e-21,1.1998152240265779e-21,4.8999187608590459e-27,3.633588087483962e-40,1.784592983876407e-38,1.7532581185940517e-39,8.3474414508587251e-45,1.7767260926281745e-33,2.6767373634530571e-39,1.2058238495475258e-42,5.0606115419495805e-28,1.4436206412507781e-51,3.8941383299686116e-54,1.3878341467017546e-58,5.6148545170327898e-59,4.1943738339274929e-86,6.5268255350130535e-51,7.8523912001094042e-51,1.6093879515362714e-38,1.8248442710511252e-72,2.6036123039839169e-71,8.7374183806983224e-82,5.8045028858350844e-103,2.2251445908180834e-47,2.1698573408265408e-47,1.8882956449022796e-49
1.2700000000000001e-13,0.0016784093191612723,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.4131536251322862e-21,2.4131723807409222e-21,1.9773316762581713e-26,1.5918938510046103e-39,8.0461606722361802e-38,1.5520427148695479e-38,7.4909414445260695e-44,7.1698927439898102e-33,2.1640755291719919e-38,9.7487836784522692e-42,1.0176937869788703e-27,2.3459318930501581e-50,6.9281122991085478e-53,4.9501726310917294e-57,2.0027247641402725e-57,6.0215956874085464e-84,1.0562963786094856e-49,1.2707646523129191e-49,6.495095174135092e-38,6.7273803750372247e-71,1.9226139625243794e-69,4.7592974038492371e-80,8.9951333945931233e-101,1.1549073785276456e-46,2.2818981139136691e-46,1.987868768941976e-48
2.55e-13,0.0016784093191612723,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.8398093018291929e-21,4.839886694581632e-21,7.9433346229165631e-26,6.6719172139595677e-39,3.9180505280116087e-37,1.3092185550950587e-37,7.2315193422514922e-43,2.8803088719432279e-32,1.7400521900289189e-37,7.8386291215706152e-41,2.0405361837361903e-27,3.7821517684939766e-49,1.172304288421217e-51,1.6777698513528135e-55,6.7878662712886779e-56,8.1891935763073927e-82,1.6993262801388341e-48,2.0441602402065161e-48,2.6096189259609712e-37,2.3188721674368815e-69,1.3266954130187443e-67,2.1525169114026235e-78,1.3568900933736801e-98,5.3863084297342835e-46,2.1542681114793101e-45,1.8776496175221602e-47
5.11e-13,0.0016784093191612723,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,9.6930010052913862e-21,9.6933153239097413e-21,3.1840338016941032e-25,2.7324219995055864e-38,2.1218979353194339e-36,1.0761536136082752e-36,7.7445236826149006e-42,1.1545693137571604e-31,1.3954912211390803e-36,6.2864374178985572e-40,4.0845309009612233e-27,6.0741550082200536e-48,1.9301828744882095e-50,5.5296190957079342e-54,2.2371548415301142e-54,1.0812100725975683e-79,2.726163838734562e-47,3.2787460764504195e-47,1.0463773897034533e-36,7.7078890521337306e-68,8.8246778718834161e-66,8.471310935454305e-77,2.1113561578871251e-96,2.3411673761731289e-45,1.8897694378518447e-44,1.6475312749772725e-46
