Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160),S(2726),C7H9(2388),C7H9(1587),S(859),S(1111),S(1873),S(2962),S(2913),S(1093),C7H9(2432),S(3132),C7H9(3107),S(3133),C6H6(3100),S(2878),S(1393),S(2871),C6H7(2400),S(3154),S(3227),C6H7(3200),CH2O3(139),CH3O2(85),S(1826),S(1504),S(4018),S(4379)
0.0,0.002998016953240007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.471590660633308e-20,0.002998016953240007,9.4910661180637112e-36,1.941272519797452e-31,1.7674370674617659e-22,9.0779305752206679e-36,3.2333601529799398e-22,8.5465497180692367e-38,1.8602822390602541e-58,7.6346784830753739e-48,1.2681996419420444e-51,2.0668582624882401e-51,8.1288758554324438e-38,3.0121486570494144e-27,2.120634315845336e-43,7.5266807183453841e-63,2.4295576838662066e-58,1.1724098056264119e-44,4.7294362228625934e-60,2.6140698967023321e-86,6.9883647606016462e-58,1.3568377758732207e-74,3.103056538356761e-45,8.7803209686850817e-69,2.9259776130884289e-38,6.2158601908899931e-56,1.3514121150751224e-51,2.5751503470197652e-47,1.4522876515778771e-76,2.7240987324896616e-90,1.5824126669076904e-56,2.8685244777353455e-72,3.5169586746014138e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999999990992,0.108803,0.0001,4.2914872868836977e-17,3.4791602756289831e-16,3.479155966776833e-16,8.5046287964749504e-26,8.5099423999944654e-26,1.6145427458105206e-16,5.3323173635118039e-26,1.9829130943525909e-36,2.4768305899710993e-36,4.1884597812448884e-41,8.0622958569551154e-30,7.710714644014835e-24,1.898771583025946e-28,2.7914195853867345e-41,6.9968129752285926e-44,2.8183947135793408e-45,1.1113479772479576e-51,1.0822616693536425e-23,3.3793739903478956e-62,1.8273970588808246e-72,1.4559949497697297e-73,2.5783925632682108e-84,1.5475655138281928e-78,7.8526175191825666e-29,2.9259779228864008e-38,4.484483547063171e-48,5.9233264953500022e-49,6.9138246246294073e-23,3.1540915922183903e-54,3.3980249299896187e-62,4.6961700655540567e-38,1.9133410437532292e-75,4.1302742430591374e-29,5.9706805045760749e-34,1.5999332056255807e-43,2.4521290764361608e-53,1.9567009583055191e-53,1.6194461807734999e-54,1.604205799174456e-63,2.5756591765287556e-37,6.3000082336048542e-47,2.548546235520416e-57,1.5559304076365021e-47,1.4674134641619753e-57,1.0163189473488772e-45,3.4322726592865583e-51,5.6308133186804977e-40,6.8861560574842682e-50,1.9529770145911052e-63,9.1165991276558271e-74,6.8862978910967491e-50,4.4978604304260078e-50,1.3934877675170637e-47,3.4084094224107619e-57,8.417332270049297e-58,2.1357204362910528e-57,1.7453854981248167e-58,5.4207085838789738e-78,4.0500226329995578e-85,3.2208645918772885e-82,1.1303093190775036e-50,2.7646997138658901e-60,1.732362612860908e-60,6.827814512969701e-61,1.8630085858414272e-77,1.028627883652327e-38,5.7912783266866232e-85,9.7439337137878471e-68,2.4444127440576001e-77,1.4309343762208095e-86
1.8120453849773266e-19,0.002998016953240007,5.5987479524637747e-35,1.1725283375943552e-30,4.9488237838977529e-22,5.4830700628016151e-35,9.0534089481536579e-22,5.1621163195032152e-37,1.1236104723873745e-57,4.6101409139735299e-47,7.6601889398953704e-51,2.453295777384443e-50,2.2760852392745105e-37,8.4340162405126292e-27,1.2808631268689579e-42,8.9359564181018914e-62,2.884370882423428e-57,7.0813552265276395e-44,5.6147867174402431e-59,1.0787031679073197e-84,1.5632690888675887e-56,4.2650357253156734e-73,3.683948340911356e-44,2.7625002654115079e-67,3.4737206203446541e-37,1.3904630604569263e-54,8.1625291743405213e-51,2.9236061030027043e-46,1.7241558997986545e-75,1.5685514070890433e-88,3.5397934892489944e-55,1.1837045439586673e-70,4.0002810686828828e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999999974789,0.108803,0.0001,1.2016164403271581e-16,9.7416487672787828e-16,9.7416367042130553e-16,5.1336942402821768e-25,5.140005202684522e-25,4.5207190759266593e-16,3.2207194996875741e-25,2.3506236848449057e-35,2.9276644363115761e-35,4.9725414419166951e-40,4.8696266901473854e-29,4.657271118589352e-23,1.1468580357071863e-27,3.3139320584359731e-40,8.3066163502725118e-43,3.345997033642349e-44,2.4860401404547509e-50,6.5368597440569131e-23,1.3945076846037304e-60,1.3756184510354492e-70,1.0960363038253273e-71,3.5194920180716567e-82,1.1649683821374256e-76,4.7429809787326455e-28,3.4737209876038239e-37,1.0031606612178575e-46,1.3250243406762716e-47,1.9358695530973988e-22,7.0555767444541853e-53,7.5998302628172845e-61,5.5752925244506975e-37,1.4403149173207221e-73,2.4946841696947706e-28,3.609270737270093e-33,1.9008779266536691e-42,5.489278503142308e-52,4.3802246190722653e-52,3.6252548628998385e-53,6.602135531014384e-62,1.5556981415820424e-36,7.4793697635063418e-46,5.6911714815286943e-56,1.8472002704121153e-46,3.276842723096741e-56,1.20657018519814e-44,7.0702852506400177e-50,6.6849012124452059e-39,1.5403545680468233e-48,7.4367352888107906e-62,6.3398641925684724e-72,1.5404130932992354e-48,1.0061533350810245e-48,1.655600451686348e-46,7.6299255190896536e-56,1.884172663675242e-56,4.7809713981450802e-56,3.9071796824786062e-57,3.7698958707378156e-76,5.5282317716071434e-83,2.2398583082472561e-80,1.3419025014643098e-49,6.1844946700115813e-59,3.8752232350189852e-59,1.527302175147369e-59,7.6863815025657307e-76,6.2129124177337205e-38,6.1734309051515389e-83,4.0208612241110719e-66,1.8400927621763333e-75,1.9532182248381198e-84
4.141818022805318e-19,0.002998016953240007,2.6663028367605988e-34,5.6452186291260649e-30,1.1311597196788947e-21,2.6398622043267416e-34,2.0693508617740406e-21,2.4853370914851344e-36,5.4097007510772204e-57,2.2183579679783652e-46,3.6883198600184185e-50,2.4076373442092212e-49,5.2024805457560223e-37,1.9277751410536113e-26,6.1668045919563251e-42,8.7739717433037817e-61,2.8318924367405799e-56,3.4093677155777487e-43,5.5126309620069546e-58,4.2672416267875761e-83,3.0887556176275573e-55,9.5099626828064642e-72,3.6169215186889393e-43,6.1779804392756523e-66,3.4105194998826578e-36,2.7473206910516482e-53,3.9299064295711833e-50,2.8011766488199177e-45,1.6927864861897736e-74,7.0303286115827113e-87,6.9940339145723687e-54,4.6826164674387576e-69,3.6214377743857136e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999999942385,0.108803,0.0001,2.7465518636036237e-16,2.2266625732673653e-15,2.2266598168037188e-15,2.4684993042549854e-24,2.4746912395507387e-24,1.0333069286788767e-15,1.5506376075023138e-24,2.3004958230570039e-34,2.8475857126365132e-34,4.882071573824674e-39,2.3445156240222159e-28,2.2422750288862772e-22,5.5216277568370761e-27,3.2535507247280176e-39,8.1554851607777064e-42,3.2851172501623559e-43,4.9119927917339624e-49,3.147215826222004e-22,5.5165297451771213e-59,1.087659366028438e-68,8.6660232795895458e-70,5.5599308350645312e-80,9.2110491482080335e-75,2.283541170297828e-27,3.4105198593309313e-36,1.9820748181869785e-45,2.6180243659697376e-46,4.4248383671825721e-22,1.3940630744750435e-51,1.5009804951338131e-59,5.47385403854744e-36,1.138812880721688e-71,1.2010815402147224e-27,1.7407434542375088e-32,1.8693375367063671e-41,1.0863029591512623e-50,8.6682623515570992e-51,7.1742156666693794e-52,2.5964582968706737e-60,7.4900168697323235e-36,7.3432895616695185e-45,1.1202543038120673e-54,1.8135915235876626e-45,6.4499650615144617e-55,1.1846099908992112e-43,1.3286620223861059e-48,6.5632748898411409e-38,3.0432605562092658e-47,2.7960179703336659e-60,4.7620688536622496e-70,3.043492051939027e-47,1.9879892149515333e-47,1.6281298370807476e-45,1.509901305916155e-54,3.7282079887460586e-55,9.4613130586412743e-55,7.7321320194241142e-56,2.831771550029144e-74,8.7331483439597168e-81,1.6824355847678925e-78,1.317486303671303e-48,1.2219398208000861e-57,7.65677668533683e-58,3.0174642116428834e-58,3.039426870320297e-74,2.9912498863714625e-37,5.7498588616756145e-81,1.5906124467953816e-64,1.4549057724116298e-73,3.0856055665330295e-82
8.8013632984613e-19,0.002998016953240007,1.1585157994282939e-33,2.4654151630185142e-29,2.403714394264819e-21,1.1528971758741687e-33,4.3973716273871129e-21,1.0854122615481264e-35,2.3625584434783283e-56,9.6773906355504643e-46,1.6110233611997228e-49,2.1277078787325712e-48,1.105527115483715e-36,4.0965221762971329e-26,2.6932055826560363e-41,7.7615452287679446e-60,2.5047767906535592e-55,1.4889604539888802e-42,4.8758597766670093e-57,1.5229476296468724e-81,5.4962731996447552e-54,1.7791956080439386e-70,3.1991246857039904e-42,1.1629430948823123e-64,3.0165658675298623e-35,4.8887103692426205e-52,1.7162933850491442e-49,2.4477777750394104e-44,1.497250476233856e-73,2.6421860272582875e-85,1.2445504248561882e-52,1.6711918449007726e-67,2.7447272789828944e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999999877575,0.108803,0.0001,5.8364227101521147e-16,4.7316579592041644e-15,4.7316521051492224e-15,1.0752977064839771e-23,1.0807626740871938e-23,2.1957759911040577e-15,6.772040139724523e-24,2.0217898591484929e-33,2.4722342029178582e-33,4.3181374248222536e-38,1.0239115622812413e-27,9.792599438772393e-22,2.4114399036305348e-26,2.8775732673812058e-38,7.2134342143352403e-41,2.9056445951556551e-42,8.7406158835172301e-48,1.374471174879305e-21,1.9688074338854761e-57,7.7741231877087723e-67,6.1941021890893995e-68,7.9532884132856759e-78,6.5836648197024525e-73,9.9728242051303009e-27,3.016566183449475e-35,3.5269905120831582e-44,4.6586328859861497e-45,9.4027545267107233e-22,2.4806607792213874e-50,2.6687048034252228e-58,4.8415597320742652e-35,8.1397466081305545e-70,5.2454254555133795e-27,7.6289496218317905e-32,1.6588234400622641e-40,1.9391459321447189e-49,1.5473605290910824e-49,1.28066144562224e-50,9.1595145068246424e-59,3.2710871380713771e-35,6.4950564141791216e-44,1.9784935883132699e-53,1.6040999980021194e-44,1.1390667839731248e-53,1.0477602965454568e-42,2.303880929473213e-47,5.8051409588144784e-37,5.4145314166117628e-46,9.7182082258837657e-59,3.313850616860557e-68,5.4153574340874099e-46,3.5375197899532238e-46,1.4447791703024756e-44,2.6952133917666271e-53,6.6534462766025673e-54,1.6889238959531435e-53,1.3802544398656387e-54,1.970630165760329e-72,1.2492188986463342e-78,1.1707928991234955e-76,1.1652989944513225e-47,2.1743333352902767e-56,1.3624784269117792e-56,5.3686031276459961e-57,1.0838670926606193e-72,1.3063574129726337e-36,4.4150964940569308e-79,5.6767809247317099e-63,1.0399054605524953e-71,4.4138566745877491e-80
1.8120453849773264e-18,0.002998016953240007,4.8246864455006417e-33,1.0292622679857101e-28,4.9488237114673768e-21,4.813118726375068e-33,9.0534164853961428e-21,4.5313846842735562e-35,9.8632164303110529e-56,4.0311501979799038e-45,6.7277069283954222e-49,1.7854118116380187e-47,2.2760852357809317e-36,8.4340162517394778e-26,1.1243603156495943e-40,6.5258576836367437e-59,2.1054158175390235e-54,6.2161167970212271e-42,4.0984541353782441e-56,5.1456918053595106e-80,9.2702600365393586e-53,3.0665146304289596e-69,2.6890546422221629e-41,2.0291483715963341e-63,2.5356053612549825e-34,8.2455245474234335e-51,7.1651870243916308e-49,2.0451947697092554e-43,1.2585292403690784e-72,9.129704597481996e-84,2.0991143722036247e-51,5.6465747271687409e-66,1.9085131171985782e-84,0.88129999999999997,0.0,0.0,0.0,0.009889999999974794,0.108803,0.0001,1.2016164403231328e-15,9.7416487026653948e-15,9.7416366641629327e-15,4.4662482347625478e-23,4.5119713640882197e-23,4.5207101969720608e-15,2.8271920455127554e-23,1.6780120256510846e-32,2.0040073065988056e-32,3.6296549336398697e-37,4.274629159410485e-27,4.0882135610494619e-21,1.0067286872070973e-25,2.4185121596911356e-37,6.063326010966805e-40,2.4423619419224073e-41,1.4742282902273851e-46,5.7381410641238849e-21,6.6521360967215131e-56,5.2576281672201475e-65,4.1890622812395437e-66,1.0761924138946971e-75,4.4525249335868255e-71,4.1634577688621405e-26,2.5356056234259315e-34,5.9487656938581157e-43,7.8574599071540174e-44,1.9358500971940491e-21,4.1839970616715815e-49,4.4937197506324695e-57,4.0696190207213568e-34,5.5048987690127659e-68,2.1898508539101698e-26,3.2072214510554094e-31,1.4034514455747172e-39,3.2913329358392205e-48,2.6263506508478507e-48,2.1736840088153431e-49,3.0254911179226162e-57,1.3656144809117278e-34,5.4594862003988218e-43,3.2877025429223132e-52,1.3483407405129087e-43,1.8925866145168006e-52,8.806824046522128e-42,3.8352515687578398e-46,4.8795684833333836e-36,9.1297399840941137e-45,3.239656125726028e-57,2.2107508366119173e-66,9.1325297326189084e-45,5.9665414802206847e-45,1.2223587895187061e-43,4.5742995312762222e-52,1.1287089773738211e-52,2.8666170226372519e-52,2.3427243856584589e-53,1.3146902028688445e-70,1.6902948615238883e-76,7.8108033992414157e-75,9.7949944178200752e-47,3.6671848986456618e-55,2.2980052615027693e-55,9.0521906669790126e-56,3.6561849485141769e-71,5.4537850457322413e-36,3.0889455839288541e-77,1.9180546779557229e-61,7.0328809247970803e-70,5.9725854366665956e-78
3.67586349523972e-18,0.002998016953240007,1.9686626074079044e-32,4.2048720975468614e-28,1.0039042217995067e-20,1.9663160196192628e-32,1.836551950854568e-20,1.8512202609076787e-34,4.0294457401257986e-55,1.6395647449527879e-44,2.7501551211915936e-48,1.4588037302263923e-46,4.6172014705693293e-36,1.7109004422445358e-25,4.5933787654042231e-40,5.3533183536845784e-58,1.7261470925132454e-53,2.539486541805207e-41,3.3601606470754219e-55,1.6917882332467232e-78,1.5226403445531904e-51,5.0732278379154367e-68,2.2046454965050075e-40,3.4395996109904581e-62,2.0788424500840179e-33,1.354329870023858e-49,2.9272126897373446e-48,1.6717778167332357e-42,1.0318183067361627e-71,3.0247015855056509e-82,3.4477956587103298e-50,1.8564670685708188e-64,1.2726028112659474e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999999488685,0.108803,0.0001,2.4375647789318694e-15,1.9761630077166897e-14,1.9761605711481177e-14,1.8061526223171276e-22,1.8432874820319759e-22,9.1705629328314805e-15,1.154999051605368e-22,1.3418583610618141e-31,1.5333467106741081e-31,2.975810634990537e-36,1.7463254438288609e-26,1.6701654175146011e-20,4.1128151482377038e-25,1.982413590338968e-36,4.9710808499559584e-39,2.0023837156777199e-40,2.4214101553270882e-45,2.3442133398876572e-20,2.1870641504134012e-54,3.4586235401230675e-63,2.7556892619962618e-64,1.4162006060475643e-73,2.929005447864807e-69,1.7009083314205074e-25,2.0788426594871702e-33,9.7708020434411842e-42,1.2905883833396002e-42,3.9269650373031662e-21,6.8722279888685321e-48,7.3566226635713753e-56,3.3365135472378201e-33,3.6212854873678703e-66,8.9461652350743489e-26,1.3284660440656787e-30,1.1655743318765152e-38,5.4739610812525128e-47,4.3679971327680086e-47,3.6151623555141391e-48,9.5279766447118881e-56,5.5789806805046827e-34,4.4760165173118633e-42,5.2449199522670252e-51,1.1054479848132188e-42,3.0185878436782788e-51,7.2199850715955938e-41,6.2578356236498073e-45,4.0005613176205214e-35,1.4986898549556445e-43,1.0578878829799263e-55,1.4442185155092156e-64,1.4996062894728378e-43,9.8000534276713766e-44,1.0151758579611788e-42,7.6066730760363626e-51,1.8752549425228164e-51,4.7675593887085688e-51,3.8963013214067298e-52,8.5888594019310218e-69,2.2241229145827065e-74,5.102773937921847e-73,8.0304531449701808e-46,6.0228823574746992e-54,3.7744353728659057e-54,1.4859246259189436e-54,1.198174938519154e-69,2.2280491467007232e-35,2.0658936278054555e-75,6.3061356209104512e-60,4.6264577411337147e-68,7.8595760323264407e-76
7.403499715764506e-18,0.002998016953240007,7.9528897702261975e-32,1.6996764737783389e-27,2.0219478719538691e-20,7.9481635094332807e-32,3.6989778783370231e-20,7.4829425237316925e-34,1.6287663931444496e-54,6.5690505733213813e-44,1.1130558202176616e-47,1.1733839646535542e-45,9.2994339190818721e-36,3.445898084314185e-25,1.85671714402299e-39,4.3403373945655663e-57,1.3978786712172026e-52,1.0265010657826314e-40,2.7211457424527414e-54,5.4872573831943555e-77,2.4682570215173111e-50,8.2001906519705098e-67,1.7853726602797811e-39,5.8301297376424121e-61,1.6835004814826503e-32,2.1954270396488477e-48,1.183226168424385e-47,1.3518361661993643e-41,8.3559321385239073e-71,9.7853821209437233e-81,5.589005882842233e-49,6.0213859253314693e-63,8.31252445036123e-81,0.88129999999999997,0.0,0.0,0.0,0.0098899999998970176,0.108803,0.0001,4.909461456120915e-15,3.9801592385972092e-14,3.9801543523280984e-14,7.1557049874405696e-22,7.4508623779011571e-22,1.8470205701466754e-14,4.6686815560270185e-22,1.0355519126386062e-30,1.0947428303323919e-30,2.4098889051715732e-35,7.0589262899402753e-26,6.7510496435287374e-20,1.6624656201241419e-24,1.6047158366273803e-35,4.0257099223605614e-38,1.6215625441637044e-39,3.9251640463117842e-44,9.4756486193804814e-20,7.0936080363223756e-53,2.2440471637288208e-61,1.7879646795873721e-62,1.8379341955340617e-71,1.900420279715847e-67,6.8753432864383842e-25,1.683500642089126e-32,1.5838685385201726e-40,2.0920936595058932e-41,7.9090575265241154e-21,1.1140178529135225e-46,1.1847310844990427e-54,2.7019854542165095e-32,2.3495865993588012e-64,3.6161102377884092e-25,5.5171007970102573e-30,9.6810990437473932e-38,9.0937786049674606e-46,7.2564550187963104e-46,6.0058362853850199e-47,2.8578753246508534e-54,2.255113140802546e-33,3.6247940343356766e-41,8.0396752528462811e-50,8.9521522751897535e-42,4.6251146367761772e-50,5.846313485054312e-40,1.0109834203037729e-43,3.2397522265306649e-34,2.4266163492528913e-42,3.4192498148753775e-54,9.33661409421264e-63,2.429583773089306e-42,1.588628016783301e-42,8.4319100922192179e-42,1.2633335719353552e-49,3.1088641995362345e-50,7.9201221594674283e-50,6.472888243580523e-51,5.5530036462332337e-67,2.8859373866015561e-72,3.2991180059142097e-71,6.5031475776722454e-45,9.7617964370563784e-53,6.1183759493089358e-53,2.4058337448477114e-53,3.8612067047623482e-68,9.0061309087790148e-35,1.3514142624689342e-73,2.0453744492429121e-58,3.0017955412294815e-66,1.0200186205607031e-73
1.4858772156814077e-17,0.002998016953240008,3.1968700264496416e-31,6.8343239353416228e-27,4.0580349676562302e-20,3.1959214059839238e-31,7.4238510247117646e-20,3.0088697329882623e-33,6.5491980299282012e-54,2.5954474597816894e-43,4.487623584505355e-47,9.3182850500840994e-45,1.8663898749127908e-35,6.9158934001673553e-25,7.4657780199989358e-39,3.5022415274447996e-56,1.1251343710172727e-51,4.1275156599755995e-40,2.1902156848989091e-53,1.7677819777739424e-75,3.9750241668323139e-49,1.3020410413790801e-65,1.4370129028512734e-38,1.0138084722368424e-59,1.3550275968528186e-31,3.5356674318250512e-47,4.7577003681816654e-47,1.0872673361238623e-40,6.7255810934955628e-70,3.109284005991095e-79,9.0008590102674518e-48,1.9398564679792755e-61,5.3744078320360438e-79,0.88129999999999997,0.0,0.0,0.0,0.0098899999997933141,0.108803,0.0001,9.8532548103853014e-15,7.9881515313574843e-14,7.9881418015534015e-14,2.7669009436191001e-21,2.9959587185270304e-21,3.7069240429785202e-14,1.8772488605824305e-21,7.6154491918612417e-30,7.111509598774206e-30,1.9396887033377379e-34,2.8383629201090338e-25,2.7145464520548968e-19,6.6847009768100612e-24,1.290498981179028e-34,3.240241198543288e-37,1.3051428903010141e-38,6.3212070140431244e-43,3.8100872751442008e-19,2.2852474153992266e-51,1.4460220226899804e-59,1.1521310211827886e-60,2.3687887586361596e-69,1.2245997373564003e-65,2.7645451832202694e-24,1.3550277116778058e-31,2.5507051753229995e-39,3.3692339028273202e-40,1.5872692978974752e-20,1.7940916712924495e-45,1.8833090351558581e-53,2.1747773119702333e-31,1.5140296965872425e-62,1.4539634903408467e-24,2.3367963454879964e-29,8.1816981233306809e-37,1.535461656629043e-44,1.2252313215764932e-44,1.0140844207824493e-45,8.0733047623167638e-53,9.0677103571223357e-33,2.9175492865643954e-40,1.1674319964820446e-48,7.2053870875516532e-41,6.7112864131169946e-49,4.7046277425172639e-39,1.6251432869374268e-42,2.6076247082408635e-33,3.8989244054372801e-41,1.0994619814549262e-52,6.0039082818777746e-61,3.9084522048996127e-41,2.5584271889783386e-41,7.125982482979282e-41,2.131936226014273e-48,5.227585791810299e-49,1.3372502507132307e-48,1.092945564990282e-49,3.5714415646845077e-65,3.7181696009694094e-70,2.1218394732396616e-69,5.2341032204391814e-44,1.5716064452778626e-51,9.8529841937900162e-52,3.8651678493115378e-52,1.2281131349731417e-66,3.6213256468396554e-34,8.743852969844792e-72,6.5894106546864806e-57,1.934334943633729e-64,1.3146558290019799e-71
2.976931703891322e-17,0.002998016953240008,1.2818973968919905e-30,2.7408692521060926e-26,8.13020834062225e-20,1.2817072775528787e-30,1.4873682483097831e-19,1.2067005261771369e-32,2.6265213312438173e-53,1.0055343632115356e-42,1.8107434107835865e-46,7.2827301987999854e-44,3.7392828279507938e-35,1.3855884158728971e-24,2.9941109424480914e-38,2.8262504621604441e-55,9.0284948023337387e-51,1.6553184046418522e-39,1.7575115276106109e-52,5.6759060335767983e-74,6.3807052781584457e-48,2.0241796883422758e-64,1.1530957636786952e-37,1.8637582666669363e-58,1.0873242265622432e-30,5.6755288291978314e-46,1.9080506489958475e-46,8.721397216957781e-40,5.3968552029451146e-69,9.6742061285327472e-78,1.4448170923933457e-46,6.2283874275397998e-60,3.4571349473821839e-77,0.88129999999999997,0.0,0.0,0.0,0.0098899999995859071,0.108803,0.0001,1.9740841518459247e-14,1.6004135490364271e-13,1.6004116247465523e-13,1.0300388206527066e-20,1.2015132248681794e-20,7.4266306677670334e-14,7.5285477508345522e-21,5.2054752421303305e-29,4.1026502973173342e-29,1.5564787506340827e-33,1.1383102443945474e-24,1.0886377610203004e-18,2.6808639486416909e-23,1.03375769803708e-33,2.6000888974841148e-36,1.0472440750565309e-37,1.0146459913633883e-41,1.5279918593290926e-18,7.3371104882232042e-50,9.285822187284862e-58,7.3985624197468059e-59,3.0423811393775459e-67,7.8639867955296015e-64,1.1087061748209922e-23,1.0873242955211447e-30,4.0942339367358976e-38,5.4083073866474456e-39,3.1797766083852025e-20,2.8799153063206255e-44,2.9469552276838394e-52,1.7450967159747456e-30,9.7225429394746004e-61,5.8305744689095077e-24,1.032112230014265e-28,7.1903402946793135e-36,2.6924601311371899e-43,2.1484555234655805e-43,1.7782648731907488e-44,2.1319266172028642e-51,3.6365571073373662e-32,2.341149085925009e-39,1.5649480435958353e-47,5.7817347559971547e-40,8.9867898036054657e-48,3.7735731168350709e-38,2.6054985557436244e-41,2.0924389896067798e-32,6.2297281149137376e-40,3.5257164961933458e-51,3.8495415842552321e-59,6.2601150236243493e-40,4.1068125400029969e-40,6.2625431876311536e-40,3.7342973140344063e-47,9.0917810820184979e-48,2.3447441532477037e-47,1.9165517805840616e-48,2.2906561086207737e-63,4.7720883767255066e-68,1.3609041070687429e-67,4.1997241439477685e-43,2.5211700449495064e-50,1.581470769403743e-50,6.1746322728646089e-51,3.8454170929998937e-65,1.4523135672281616e-33,5.6265670762594127e-70,2.115698715484853e-55,1.2422025520077038e-62,1.6885524273001527e-69
