Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712)
0.0,0.002684002462790331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0
2.9634585947940133e-18,0.002684002462790331,7.0187977344550766e-38,5.672487827499882e-33,2.2576765198728892e-25,7.0184682656091656e-38,1.3435916613616803e-23,2.4580500009379287e-38,5.7258618192535063e-65,1.7753563939802991e-51,2.8911909944606405e-55,4.698219572682695e-53,3.7923835719531696e-43,1.0421272920521612e-28,2.4788801862857058e-44,7.1811994637206203e-65,6.2380686809063297e-60,3.5187362289644428e-46,5.2118932385414223e-61,3.0910129695964451e-108,2.0572323484934674e-76,2.0748566758374171e-77,7.3035016724722362e-95,2.0649343922254553e-68,3.8085803959878224e-76,1.0832679710183272e-67,3.2458027666640932e-55,6.3355865117811651e-48,5.1591138771405685e-83,2.9876663988458178e-92,3.9004660358786409e-85,1.1506801389409422e-88,-7.9249967041273721e-103,0.88129999999999997,0.0,0.0,0.0,0.0098899999999995068,0.108803,0.0001,3.8778175640405597e-17,2.2748215008918897e-16,2.2748213872541891e-16,2.2978100052704197e-24
8.297684065423238e-18,0.002684002462790331,4.2392461888082206e-37,3.4261825641622655e-32,6.3214940709599102e-25,4.2391547287160081e-37,3.7620685777366087e-23,1.4846661573239137e-37,3.4584205094802331e-64,1.0450134070032904e-50,1.746279359038652e-54,5.5679096069593293e-52,1.0618673942382465e-42,2.9179564163367011e-28,1.4972436319132089e-43,8.5255199960982527e-64,7.4058351275916029e-59,2.1253166814313344e-45,6.1875598172314449e-60,1.7348529559587269e-106,6.3003670947673311e-75,6.3543423752081003e-76,4.0991446142700885e-93,6.3239549519809365e-67,4.5364856272236032e-75,1.6370345558010509e-66,1.9604648638287171e-54,7.5212893046406865e-47,6.1248999219485737e-82,1.6768522402766816e-90,2.1891683307480617e-83,6.1962274270101895e-87,7.995829973402449e-102,0.88129999999999997,0.0,0.0,0.0,0.0098899999999986169,0.108803,0.0001,1.0857889179303462e-16,6.3695001289364625e-16,6.3694998843098014e-16,1.3789877378484507e-23
1.8966135006681685e-17,0.002684002462790331,2.0409909485422572e-36,1.649559334863783e-31,1.4449128434397301e-24,2.0409704160712616e-36,8.5990701141820801e-23,7.1480687456589886e-37,1.665080573008239e-63,4.7575737371698132e-50,8.4075833876459958e-54,5.4178680504500384e-51,2.4271254446895418e-42,6.6696146592683772e-28,7.2085835726684649e-43,8.3704060724866485e-63,7.2710928222851043e-58,1.0232484940880609e-44,6.0749832500417093e-59,7.3752183129302958e-105,1.3314261688788619e-73,1.342832490241436e-74,1.7426268037950907e-91,1.3364108768950118e-65,4.4806639200244213e-74,1.7610470684820391e-65,9.4387943363800254e-54,7.384280865094957e-46,6.0134629088937206e-81,7.1286335575006797e-89,9.3065910787748807e-82,2.6832399858946851e-85,4.3687164663759821e-100,0.88129999999999997,0.0,0.0,0.0,0.0098899999999968388,0.108803,0.0001,2.4818032409788856e-16,1.4558857097726066e-15,1.4558856878413311e-15,6.5503671825393776e-23
4.030303688919858e-17,0.002684002462790331,8.9134951328173973e-36,7.204058245860855e-31,3.0704394206326023e-24,8.9134530897889955e-36,1.8273264001855488e-22,3.1217848182907648e-36,7.271844055433948e-63,1.8484127955477305e-49,3.6718125379057145e-53,4.6595713417131595e-50,5.1576414510538837e-42,1.4172931122582114e-27,3.1481778272307973e-42,7.4035293520133589e-62,6.4311992196905274e-57,4.4687949974051773e-44,5.3732544697047038e-58,2.4835611453159689e-103,2.2275748059875009e-72,2.2466583805186281e-73,5.8681851468398707e-90,2.2359145924897653e-64,4.0087906705059955e-73,1.6187056493591404e-64,4.1221694006994315e-53,6.5312409807707683e-45,5.3188395675200715e-80,2.4005232160888407e-87,3.133936642331574e-80,9.7874629553102554e-84,1.7135832580488072e-98,0.88129999999999997,0.0,0.0,0.0,0.0098899999999932844,0.108803,0.0001,5.2738318870597961e-16,3.093756993909592e-15,3.093757086658947e-15,2.7855101870030619e-22
8.297684065423237e-17,0.002684002462790331,3.7211984309952311e-35,3.0075518807796811e-30,6.3214913930403543e-24,3.7211904276450853e-35,3.7622415036332133e-22,1.3033132942102298e-35,3.0358515270373204e-62,6.0530799052656189e-49,1.5329094427072769e-52,3.6089585844745586e-49,1.0618673085629589e-41,2.9179563959011132e-27,1.3143022663518359e-41,6.2231124706061484e-61,5.4058103871710686e-56,1.8656339365552186e-43,4.516545122558315e-57,6.8407728757165071e-102,3.0469406568737629e-71,3.073043581631103e-72,1.6163436472384876e-88,3.0583480558509348e-63,3.4458126160005809e-72,1.3848367484855088e-63,1.7209245251110912e-52,5.4898711382929792e-44,4.4708046778349832e-79,6.6120474954131864e-86,8.6321740440484346e-79,3.1294957925062023e-82,6.0449779384377576e-97,0.88129999999999997,0.0,0.0,0.0,0.0098899999999861737,0.108803,0.0001,1.0857889179156954e-15,6.3694991623538907e-15,6.3694998842818375e-15,1.1044706756514987e-21
1.6832444818429996e-16,0.002684002462790331,1.5202284356879575e-34,1.2286825667973269e-29,1.2823590609947321e-23,1.5202270752633266e-34,7.632377014180481e-22,5.3247018393288808e-35,1.2402442267553957e-61,1.5370688256490026e-48,6.2624351506596053e-52,2.4101888496155327e-48,2.1540734842169315e-41,5.9192829271075211e-27,5.3693535674396567e-41,5.1020835128200386e-60,4.432009852801512e-55,7.6217233194326977e-43,3.702938172921845e-56,1.4593010623466145e-100,3.2142724755973329e-70,3.2418086133136066e-71,3.4480449756347159e-87,3.2263063458559345e-62,2.9497524036676566e-71,1.1450097803617677e-62,7.030537762576045e-52,4.5009143688773236e-43,3.6654350305915172e-78,1.4105074511338488e-84,1.841447984922827e-77,8.5247173959917532e-81,2.0293172626436643e-95,0.88129999999999997,0.0,0.0,0.0,0.0098899999999719542,0.108803,0.0001,2.2026003763092601e-15,1.2920982159052529e-14,1.2920985479478247e-14,4.0964811156567245e-21
3.390196632444351e-16,0.002684002462790331,6.144997470671509e-34,4.9665272572263247e-29,2.5827770132154659e-23,6.1449957769004447e-34,1.5373869249882738e-21,2.1525250819201259e-34,5.0132640118655842e-61,2.7953941853617489e-48,2.5313763357159758e-51,1.3160049925022588e-47,4.3384852304803685e-41,1.1921935845202713e-26,2.1703785307228021e-40,4.1317993873656233e-59,3.5891563116358016e-54,3.080822383932367e-42,2.9987379342809013e-55,2.2688242247441008e-99,2.4529377881675045e-69,2.4739511890079927e-70,5.3607828704836908e-86,2.462121308021321e-61,2.5906036546545971e-70,9.3110289948629636e-62,2.841855411397505e-51,3.6449495098144794e-42,2.9683630913465588e-77,2.192961500027865e-83,2.8629567307783557e-76,1.8912823550931303e-79,6.6498959398467709e-94,0.88129999999999997,0.0,0.0,0.0,0.0098899999999435152,0.108803,0.0001,4.4362232929929244e-15,2.6023944286616766e-14,2.6023956669673593e-14,1.3946259694488234e-20
6.804100933647055e-16,0.002684002462790331,2.4708715848934129e-33,1.9970154474650956e-28,5.1836053530363153e-23,2.470871653942899e-33,3.086173857971799e-21,8.6567806030632116e-34,2.0158102434083177e-60,3.8035836222239055e-48,1.0178552269350039e-50,6.0352535091738149e-47,8.7073063028305493e-41,2.3927241104122397e-26,8.7269963755586973e-40,3.3256314094016406e-58,2.888864967792041e-53,1.2387850963279897e-41,2.4136493538762579e-54,2.6665109701535359e-98,1.4094552821489966e-68,1.4215289730374545e-69,6.3004294341088471e-85,1.4147321222829438e-60,2.4099844205946694e-69,7.5096815855646572e-61,1.1426972717816993e-50,2.9337659738703549e-41,2.3891948788486702e-76,2.5773509502096221e-82,3.3647806344589104e-75,3.5137012526849725e-78,2.1532801835817585e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999998866353,0.108803,0.0001,8.9034691259463866e-15,5.2229859822114916e-14,5.2229899049274361e-14,4.2365145828135373e-20
1.3631909536052462e-15,0.002684002462790331,9.9092657112453546e-33,8.0088985093630795e-28,1.0385231774371719e-22,9.90926740043408e-33,6.1857016673110173e-21,3.4730170344489382e-33,8.0842913118378335e-60,4.407870714865259e-48,4.0820541914721292e-50,2.5288669696545644e-46,1.744493876683487e-40,4.7937849312878588e-26,3.4999156787408243e-39,2.6686094506038957e-57,2.3181317507532014e-52,4.968082021317224e-41,1.9368083086224787e-53,2.6259838439204199e-97,6.8153181713446372e-68,6.8736944913307066e-69,6.2046632327940977e-84,6.840833946770527e-60,2.4551740497952804e-68,6.0321836571603069e-60,4.5827248159651402e-50,2.3541543298131982e-40,1.9171752482836619e-75,2.5381826120429182e-81,3.3136365892645844e-74,5.9332648437265434e-77,6.9312714085356067e-91,0.88129999999999997,0.0,0.0,0.0,0.0098899999997728773,0.108803,0.0001,1.7837960790197858e-14,1.0464167719755478e-13,1.0464178380531624e-13,1.1289726910279331e-19
