Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782)
0.0,0.0024935432597028608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.809134257668073e-18,0.0024935432597028608,2.8748487870843863e-38,3.2520909393815798e-33,5.3486386581901958e-26,2.874825325547402e-38,7.6161284983068997e-24,2.5750803896579709e-38,2.3870226918461921e-66,3.0846240760364358e-52,5.63112349756791e-56,2.8083605857935111e-53,2.469207608772747e-44,5.5881648081422687e-29,2.0178405109535539e-44,3.7882573309170895e-65,3.9813144749395358e-60,2.0949526039533592e-46,5.7585756755076345e-61,5.9923535323144299e-109,2.0626981390320619e-76,7.139551659589744e-78,5.7915225765213796e-95,4.0791420543426789e-68,4.6054193191514009e-77,6.3481111689521483e-68,6.0100232613167371e-56,6.8900911705893374e-48,2.7516450580287265e-84,1.906742413143137e-92,7.8733373957868035e-85,6.8625140850724399e-89,-7.1405805275064269e-103,0.88129999999999997,0.0,0.0,0.0,0.0098899999999994808,0.108803,0.0001,4.143201313064564e-17,2.3799433777122863e-16,2.3799433551415751e-16,6.4678180747404034e-24,6.5491056402641159e-24,8.7802530061622024e-19,5.4937753824381189e-24,2.3755839641714735e-33
2.1865575921470605e-17,0.0024935432597028608,1.7364003165875729e-37,1.9642628114245352e-32,1.4976187183451975e-25,1.7363943937273661e-37,2.1325383887974764e-23,1.5553622431889783e-37,1.4417616711293043e-65,1.6956237155826357e-51,3.4011985833764972e-55,3.3711417895665258e-52,6.9137811954429404e-44,1.5646861439551071e-28,1.2187756671050494e-43,4.4974190921762063e-64,4.7266165258227355e-59,1.265351371209963e-45,6.8365813287291961e-60,3.093224117502256e-107,5.8007127476186971e-75,2.0077822913513816e-76,2.9895569998703359e-93,1.1471349523336774e-66,5.6534425475239187e-76,9.5932655646776045e-67,3.6300540178432386e-55,8.1798569127248562e-47,3.266752903054181e-83,9.8425179035287246e-91,4.0641805342047643e-83,5.4572275882696824e-87,7.0610406572047381e-102,0.88129999999999997,0.0,0.0,0.0,0.0098899999999985475,0.108803,0.0001,1.1600963676562602e-16,6.6638410746743143e-16,6.6638411822023478e-16,3.8602037008676422e-23,3.9556596791649616e-23,2.4584702823564739e-18,3.3182352508740977e-23,2.8041960958276483e-32
4.997845924907567e-17,0.0024935432597028608,8.3600009971373104e-37,9.4570787123568006e-32,3.423127999605417e-25,8.3599905031430575e-37,4.8744791038087337e-23,7.4885390764790897e-37,6.9414614666696284e-65,6.5673437077198441e-51,1.6375306993583446e-54,3.2194139622107265e-51,1.5802927932300336e-43,3.5764254609379523e-28,5.8678801831894754e-43,4.4155927105364779e-63,4.6406200936304377e-58,6.0921221486282415e-45,6.7121966635740281e-59,1.1275354368584011e-105,1.0485403562797454e-73,3.62927934152254e-75,1.0897462010391428e-91,2.0735681009453236e-65,5.9296031836161288e-75,1.0319997252452174e-65,1.7477147159509249e-54,8.0310005705861793e-46,3.2073171391285899e-82,3.5877716439815669e-89,1.4814655090047115e-81,2.4046812704662669e-85,3.8930584521168118e-100,0.88129999999999997,0.0,0.0,0.0,0.009889999999996681,0.108803,0.0001,2.6516488403485976e-16,1.5231634972403467e-15,1.523163598754776e-15,1.8129092256756517e-22,1.9044797288821367e-22,5.6193580083627961e-18,1.5975822640065544e-22,2.7196710108100258e-31
1.062042259042858e-16,0.0024935432597028608,3.6510275017211102e-36,4.1301536957012581e-31,7.2741448669580584e-25,3.6510265684451629e-36,1.035871908207403e-22,3.2705642350540003e-36,3.0315182800366208e-64,1.8168603761318913e-50,7.1515266999768313e-54,2.4572735799099137e-50,3.3581219660083351e-43,7.5999040577079757e-28,2.5626574254921044e-42,3.905541705679806e-62,4.1045758485294947e-57,2.6605897825636386e-44,5.936862949914779e-58,2.7681139189802743e-104,1.2694888915265009e-72,4.3940411787635397e-74,2.6753394799566843e-90,2.5105105914220869e-64,5.9128038247813896e-74,9.4858553133419119e-65,7.632729039217047e-54,7.1033142375138221e-45,2.8368352739415803e-81,8.8080220866467656e-88,3.6370150506952684e-80,7.8625721575969423e-84,1.531973913698017e-98,0.88129999999999997,0.0,0.0,0.0,0.0098899999999929496,0.108803,0.0001,5.6347537857041905e-16,3.2367217043411386e-15,3.2367222203134841e-15,7.543208053321068e-22,8.3173621868020752e-22,1.1941124510491371e-17,6.9770160820554956e-22,2.3479815445139527e-30
2.1865575921470604e-16,0.0024935432597028608,1.5242306121176953e-35,1.7242569984916716e-30,1.4976171820998123e-24,1.5242309521058736e-35,2.1328633231032103e-22,1.3654985459451129e-35,1.2655989464632553e-63,3.3885874770001067e-50,2.9856215506642761e-53,1.4455078422418827e-49,6.9137796131923612e-43,1.564686110246528e-27,1.069859017830551e-41,3.2828430598630241e-61,3.450143200602637e-56,1.1107438486046245e-43,4.9902927361764942e-57,4.5495138190024448e-103,1.0213576488190214e-71,3.5351919519906829e-73,4.3970325950615124e-89,2.0198122347544672e-63,6.0916350071660398e-73,8.115348691408313e-64,3.1865138798567573e-53,5.970755384598026e-44,2.3845302835889116e-80,1.4476357191483312e-86,5.9775869715811629e-79,1.9248192542603171e-82,5.4124824408247266e-97,0.88129999999999997,0.0,0.0,0.0,0.0098899999999854868,0.108803,0.0001,1.160096367629905e-15,6.6638360051144438e-15,6.6638381053900532e-15,2.8746630393314545e-21,3.4723340326118951e-21,2.4584621715313611e-17,2.9127290108032402e-21,1.8832646847613892e-29
4.4355882583554655e-16,0.0024935432597028608,6.2269716636737894e-35,7.0441453629910806e-30,3.0380198606465161e-24,6.2269744942655464e-35,4.3274198294309036e-22,5.579343600105638e-35,5.1703825271741718e-63,4.550999079484287e-50,1.2197237659065385e-52,6.834618200300956e-49,1.4025092114071206e-42,3.1740774596848423e-27,4.3707230818936218e-41,2.6914729662178948e-60,2.8286356490286173e-55,4.5377509519033658e-43,4.091346279538786e-56,5.3870429056526664e-102,5.8948958744464721e-71,2.0403805074225859e-72,5.2064887484509906e-88,1.1657603801741728e-62,6.8326009765656322e-72,6.7099268353844099e-63,1.3017946943324162e-52,4.895179185595244e-43,1.9549808518550259e-79,1.7141339056771631e-85,7.0780101508532561e-78,3.7339976761145181e-81,1.8183146126369542e-95,0.88129999999999997,0.0,0.0,0.0,0.0098899999999705595,0.108803,0.0001,2.3533383457023461e-15,1.3518057188873574e-14,1.3518064443384961e-14,9.976758220555886e-21,1.4185609741062441e-20,4.9871472928029349e-17,1.189913989300637e-20,1.4139880288256202e-28
8.933649590772275e-16,0.0024935432597028608,2.5170361489471935e-34,2.8473504523089852e-29,6.1188143687329165e-24,2.5170375666021247e-34,8.7188275447512948e-22,2.2559361599895806e-34,2.0899495676970041e-62,5.1759704966958427e-50,4.9303180263308493e-52,2.8948595841911361e-48,2.8247705941880847e-42,6.3928599205085577e-27,1.7667160768929062e-40,2.1796244024763337e-59,2.2907021689452309e-54,1.834231409186774e-42,3.3132828170652627e-55,5.2612551290178903e-101,2.8222240845273638e-70,9.7684644002636763e-72,5.0849148903765082e-87,5.581162232189992e-62,8.5103288154119936e-71,5.456400419365235e-62,5.2620606848419566e-52,3.9642346592069225e-42,1.583192330638528e-78,1.6741097686979845e-84,6.912736241630827e-77,6.4158041267971942e-80,5.9606010737259293e-94,0.88129999999999997,0.0,0.0,0.0,0.0098899999999407049,0.108803,0.0001,4.7398223016611046e-15,2.7226474693232954e-14,2.7226495390783212e-14,3.0820245700307048e-20,5.7340439898015638e-20,1.0044460257223303e-16,4.8095740672249096e-20,9.7899496760673955e-28
1.7929772255605897e-15,0.0024935432597028608,1.0120850332991578e-33,1.1449024860562683e-28,1.2280359989183505e-23,1.0120856460828724e-33,1.7510821758217753e-21,9.0764586444394064e-34,8.4035814835947766e-62,5.5059449651051673e-50,1.9824588301489415e-51,1.17931564774254e-47,5.6692888901778163e-42,1.2830423889942184e-26,7.1038870417890178e-40,1.7543510415796675e-58,1.8437558818992378e-53,7.3753631968920269e-42,2.6668255437460495e-54,4.6612089842056846e-100,1.2355737202285991e-69,4.2766435309397549e-71,4.5049756289617576e-86,2.4434407672419778e-61,1.1642201247029827e-69,4.4007835653838458e-61,2.1158501642560676e-51,3.1907485462702992e-41,1.2742879450396473e-77,1.4831790236138715e-83,6.1243336294166157e-76,1.0522289675817725e-78,1.9304259307077054e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999998809975,0.108803,0.0001,9.5127902128341324e-15,5.4643225970479292e-14,5.4643270371544247e-14,8.3356364239814984e-20,2.3056288331900376e-19,2.0158857078762577e-16,1.9337094007196319e-19,6.0926688248349087e-27
3.5922017585273134e-15,0.0024935432597028608,4.058880861813202e-33,4.5915340815784763e-28,2.4603277649642336e-23,4.058883309103269e-33,3.513152509378019e-21,3.6444281045391139e-33,3.3702009584230951e-61,5.6805149568368758e-50,7.9505436663690295e-51,4.7459754639056728e-47,1.1358307603924679e-41,2.5705548019938789e-26,2.8489759512926899e-39,1.4077557433193728e-57,1.4794971606421765e-52,2.9578500102065959e-41,2.1399712370346201e-53,3.931119369130978e-99,5.1767391795090233e-69,1.7918013188836156e-70,3.7993475022060174e-85,1.0237394455306838e-60,1.7033192250549194e-68,3.5349470065644465e-60,8.4854951188572994e-51,2.5603553096904168e-40,1.0225310459036421e-76,1.2508692456603312e-82,5.1650626507678107e-75,1.6985297083733606e-77,6.2144674569287914e-91,0.88129999999999997,0.0,0.0,0.0,0.0098899999997615808,0.108803,0.0001,1.9058726032202225e-14,1.0947642596119601e-13,1.0947647267957074e-13,1.9956779847648136e-19,9.246562529203299e-19,4.0386734334150562e-16,7.7534459367222264e-19,3.3487062191503543e-26
