Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355)
0.0,0.0022819398363492873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.519831373185828e-21,0.0022819398363492873,1.9520274587481853e-35,1.2367170266485078e-31,6.2026202862536375e-22,8.6203816076900204e-36,4.990662612641652e-22,3.5219047249205094e-38,6.5487020155239214e-57,2.3875895536157326e-47,5.6726340294210922e-51,6.7291699229656432e-52,1.9201664402946493e-36,4.8839062035038985e-27,1.1428071927549506e-43,4.7695835066134783e-63,8.3113621086196098e-59,1.0015318609922472e-44,5.5872003786509504e-61,5.1002761757997203e-104,1.877027022763616e-76,4.1453988375624127e-75,3.7163064738947516e-93,3.1315601286681839e-70,1.1269317040517255e-70,4.2348603369929845e-66,4.2256063814598299e-51,1.064326657974851e-47,2.6639065710990896e-75,2.262614036878029e-91,6.2243180904248061e-87,1.0568282940431946e-80,6.6787239324454982e-97,0.88129999999999997,0.0,0.0,0.0,0.0098899999999993281,0.108803,0.0001,1.6359907149597274e-17,2.0069471483967694e-16,2.0069359552030177e-16,6.9786379116076007e-27,6.9793010988086231e-27,2.5332995030726815e-16,4.0293225902559397e-27,2.8946510289652828e-38,3.3396950050732912e-38,8.2323872505853411e-43,1.2135513625879469e-30,1.3224718162548848e-24,2.8917200770167958e-29,9.1352160101471986e-43,4.0148812158208228e-45,4.2353077511545089e-46,3.1284504422234307e-53,2.2843722522600616e-24,1.3043033975367306e-64,9.6482425552604217e-76
1.825552784492032e-20,0.0022819398363492873,8.2586804910844566e-35,7.4697086262725135e-31,1.7367336797912849e-21,5.2067104901428409e-35,1.3973855393191927e-21,2.1272304687391404e-37,3.9554160174756593e-56,1.4420648476643461e-46,3.4262709538850297e-50,7.9886888566153822e-51,5.3764660327476069e-36,1.3674937370219034e-26,6.9025554444118277e-43,5.6624495392098956e-62,9.8672490955471814e-58,6.0492524405437033e-44,6.633124311431556e-60,2.932782294314963e-102,5.9015177938272988e-75,1.3033453810259023e-73,1.1828709287574041e-91,9.8458666804728254e-69,1.3392853903066691e-69,6.3997191766632509e-65,2.5522662543718587e-50,8.4582424749264559e-47,3.1625898812493268e-74,1.3031161167434619e-89,3.5848001944563621e-85,1.2546353676114406e-79,2.0999121813114918e-95,0.88129999999999997,0.0,0.0,0.0,0.0098899999999981208,0.108803,0.0001,4.580774001886766e-17,5.6194520151534201e-16,5.6194206743413991e-16,4.2146878994539733e-26,4.2154978624325561e-26,7.0932384896859775e-16,2.4337108230433406e-26,3.4352427998464936e-37,3.9606662227359351e-37,9.7735142376626633e-42,7.3298502299212012e-30,7.9877296584369627e-24,1.7465989264252397e-28,1.0845311121373403e-41,4.766466979150239e-44,5.0281570324590026e-45,6.9982180628294991e-52,1.3797608210632366e-23,5.38224416139518e-63,7.262955736804648e-74
4.1726920788389304e-20,0.0022819398363492873,3.2044000976891676e-34,3.5963295621813047e-30,3.9696769806841907e-21,2.5068069701633571e-34,3.1940241265473676e-21,1.0241699161946086e-36,1.9043625462595804e-55,6.9425218103803427e-46,1.6496019759266666e-49,7.8429553569746378e-50,1.2289065217343874e-35,3.1256999705281749e-26,3.3232833167892835e-42,5.5594265357965403e-61,9.6877236744083198e-57,2.9124546519912414e-43,6.5124408268172656e-59,1.3167406113122706e-100,1.3165226736450718e-73,2.9075295635929405e-72,2.9783760259579332e-90,2.1964360998939896e-67,1.3155283395750373e-68,6.8845252475489445e-64,1.2288063356836775e-49,6.1396260467843613e-46,3.1050494993927413e-73,5.8433981711403418e-88,1.6074866828192086e-83,1.2317425856223731e-78,4.6847999617184985e-94,0.88129999999999997,0.0,0.0,0.0,0.0098899999999957043,0.108803,0.0001,1.0470340575738959e-16,1.2844461747236913e-15,1.2844390111709964e-15,2.0287739245421581e-25,2.0295807576617892e-25,1.6213115987242473e-15,1.171726977039647e-25,3.3700189808291667e-36,3.879696657924232e-36,9.595704811668358e-41,3.5290073622405039e-29,3.845747874055398e-23,8.4091219825714851e-28,1.0647954071400178e-40,4.6797455443165001e-43,4.936673692639825e-44,1.3827297695802627e-50,6.6429542200446577e-23,2.1291619781019018e-61,5.742599938220083e-72
8.866970667532726e-20,0.0022819398363492873,1.2430269959125691e-33,1.5706088471539007e-29,8.4355635767142538e-21,1.0947884627786332e-33,6.7873014254761971e-21,4.4728192292548466e-36,8.3168515611992629e-55,3.0316305615967059e-45,7.2042452191271524e-49,6.9363168476445721e-49,2.611426358529782e-35,6.6421124381936977e-26,1.4513651350652691e-41,4.9172498129996723e-60,8.5686818807651795e-56,1.2719454636934632e-42,5.7601802378850026e-58,4.9560451493782029e-99,2.465424865391817e-72,5.4448706620936262e-71,6.9723017087406401e-89,4.1132205956847539e-66,1.1638121840380233e-67,6.3280645829207267e-63,5.3665201039905203e-49,4.4977444195129342e-45,2.7463811187858111e-72,2.1981898927627372e-86,6.0470998663240879e-82,1.0893459284379054e-77,8.7741513436588795e-93,0.88129999999999997,0.0,0.0,0.0,0.0098899999999908731,0.108803,0.0001,2.2249473723435797e-16,2.7294481205687267e-15,2.7294328982814276e-15,8.8565281354824895e-25,8.863712376145867e-25,3.4452869079675257e-15,5.1172393568235263e-25,2.9759114261963077e-35,3.4158048947242196e-35,8.4872964723092731e-40,1.5412102303158104e-28,1.6795390334427786e-22,3.6724844963719017e-27,9.4179295075202534e-40,4.1391819364893811e-42,4.3664307327086997e-43,2.4604930682463489e-49,2.901152461191772e-22,7.5988258035538929e-60,4.1045692100787932e-70
1.825552784492032e-19,0.0022819398363492873,4.8757232705668751e-33,6.5569772265113542e-29,1.7367336745751394e-20,4.5705263158152518e-33,1.3973856521223773e-20,1.8673140906120683e-35,3.4721218099590927e-54,1.2653527356978056e-44,3.0076305639831521e-48,5.829234465077937e-48,5.3764660316251352e-35,1.3674937376136665e-25,6.0591637383850835e-41,4.1332447553456179e-59,7.2024934238269077e-55,5.3101219290806651e-42,4.8417786972381427e-57,1.7161713311604712e-97,4.2574531313857143e-71,9.4025504357390853e-70,1.6934537906653301e-87,7.1029720479416084e-65,9.7835033238115408e-67,5.4137923977063665e-62,2.2404165030328386e-48,3.3957505847219081e-44,2.3084988124496737e-71,7.6099535615056702e-85,2.0934565375740129e-80,9.1546742615283382e-77,1.51553005475637e-91,0.88129999999999997,0.0,0.0,0.0,0.009889999999981209,0.108803,0.0001,4.5807740018799287e-16,5.6194520099742365e-15,5.6194206710491645e-15,3.69437041354874e-24,3.7004254251821145e-24,7.0932367653821651e-15,2.1363465378356825e-24,2.4933419443491408e-34,2.845055916928247e-34,7.1340858176192843e-39,6.4342493229026058e-28,7.0117440109752453e-22,1.5331899835394597e-26,7.9162273998503623e-39,3.4792318203132962e-41,3.670246038007335e-42,4.1499789055675363e-48,1.2111738988876593e-21,2.5674701041859141e-58,2.7759206484101088e-68
3.7032642199695503e-19,0.0022819398363492873,1.9291205002599244e-32,2.6787380322258521e-28,3.5230882991733734e-20,1.8672091270993297e-32,2.8346968704278605e-20,7.6285882487393831e-35,1.4184750524922094e-53,5.1669829702144808e-44,1.2287152226490774e-47,4.7772609653203233e-47,1.0906545375834102e-34,2.7740587262470288e-25,2.475366093825523e-40,3.3886837721886892e-58,5.9050392671933681e-54,2.1693580739614464e-41,3.9695829177375142e-56,5.7079785147894843e-96,7.0706492806820262e-70,1.5615471122715876e-68,4.4437373762444456e-86,1.1796400958884177e-63,8.0214896014939888e-66,4.4762282179969859e-61,9.1528324429650807e-48,2.6278271529116375e-43,1.8926468004531518e-70,2.5307620343887643e-83,6.9619875016179362e-79,7.5024617097854601e-76,2.5181210595628348e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999999618824,0.108803,0.0001,9.292427260940556e-16,1.1399459779663693e-14,1.1399396210772142e-14,1.5067794419574459e-23,1.5117445204703517e-23,1.4389133435925032e-14,8.7276713675343927e-24,2.0310478237167635e-33,2.2908051224377639e-33,5.848955357626321e-38,2.6286007921165944e-27,2.8645255330901208e-21,6.2635813446691359e-26,6.4900214061241238e-38,2.8524844497929186e-40,3.009086021437145e-41,6.8163452998589411e-47,4.9480393935459291e-21,8.4412708146394628e-57,1.826091353083111e-66
7.458687090924588e-19,0.0022819398363492873,7.672252498360504e-32,1.0827885143859067e-27,7.0957975115330639e-20,7.5475577882222406e-32,5.7093201036627003e-20,3.0835980675659121e-34,5.7337029615024758e-53,2.0866424942409764e-43,4.9666633902136195e-47,3.8656796776658882e-46,2.1966704056325069e-34,5.5871887076928265e-25,1.0005825536725345e-39,2.7442439789128311e-57,4.7820539003206472e-53,8.7688921929042051e-41,3.2146715114339624e-55,1.8606996191689489e-94,1.1516609857458317e-68,2.5434338668948137e-67,1.2556437190360301e-84,1.9213871622340183e-62,6.4961631411375998e-65,3.6399944409779414e-60,3.6997212131688204e-47,2.0651510368454329e-42,1.5327144498096252e-69,8.2493414591982546e-82,2.2693483492492361e-77,6.0709342836332189e-75,4.1053202561738516e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999999232276,0.108803,0.0001,1.8715733779013523e-15,2.2959475282689016e-14,2.2959347266968108e-14,6.070594061274932e-23,6.1107129972648508e-23,2.8980914599875303e-14,3.5278632493891706e-23,1.6238978451444046e-32,1.7909413076105764e-32,4.7366361508527191e-37,1.0625224673381863e-26,1.1578864681446032e-20,2.531839721000201e-25,5.2554959257689598e-37,2.3100158585068881e-39,2.4368303246030492e-40,1.1049565105613988e-45,2.0000756814530754e-20,2.7379000135822842e-55,1.1848278211227896e-64
1.4969532832834663e-18,0.0022819398363492873,3.0598658930174933e-31,4.3538444998427686e-27,1.4241215788905338e-19,3.034839755438028e-31,1.1458569756627858e-19,1.2399018052935538e-33,2.3054967468424069e-52,8.3747763736089479e-43,1.9970735095325313e-46,3.1065042943697253e-45,4.408702138559914e-34,1.1213448687300718e-24,4.0232984479296897e-39,2.2088063023015809e-56,3.8490130135220614e-52,3.5259329897591652e-40,2.5874478599045149e-54,6.0015173505540478e-93,1.856605788123457e-67,4.1002986855369893e-66,3.739457159701877e-83,3.097490121469719e-61,5.2287388232625595e-64,2.935787389680292e-59,1.487641626661688e-46,1.6369520431376352e-41,1.2336619333492297e-68,2.6606680622058787e-80,7.3193495507809956e-76,4.8795873477526193e-74,6.6305792365436637e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999998459196,0.108803,0.0001,3.7562346814966315e-15,4.6079506144374456e-14,4.6079249286360087e-14,2.4249832859362327e-22,2.4570907707696582e-22,5.8164428219315271e-14,1.4185374434551463e-22,1.2746262765445288e-31,1.3478965973931739e-31,3.8124572700417534e-36,4.2723561053303454e-26,4.6558061223100122e-20,1.0180416127288714e-24,4.2296108824895724e-36,1.8593017223733186e-38,1.9613641082474261e-39,1.7794905496317555e-44,8.0422086784722469e-20,8.8204713166375644e-54,7.6349514918996451e-63
2.9991224316654813e-18,0.0022819398363492878,1.2221204016695163e-30,1.7460862452371023e-26,2.853205175426149e-19,1.2171064497084947e-30,2.2957081808540085e-19,4.9725654869387461e-33,9.2460731436514593e-52,3.3462694014988001e-42,8.0091580223323445e-46,2.4848961463067095e-44,8.8327655917315812e-34,2.2465968713381688e-24,1.6135226295207729e-38,1.7724279586460508e-55,3.0885905494159351e-51,1.4140568348983779e-39,2.0762648503571217e-53,1.9230055793727943e-91,2.9737844611325408e-66,6.5675786040033576e-65,1.1484986655954375e-81,4.9613483113442326e-60,4.1957590286412091e-63,2.3581841009177098e-58,5.9661082773606507e-46,1.3034287759632462e-40,9.8993600980067734e-68,8.5251590593691585e-79,2.3452227088859122e-74,3.9072319154657479e-73,1.065999295841119e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999996913037,0.108803,0.0001,7.5255572886099329e-15,9.2319567298487675e-14,9.2319052953144254e-14,9.5994484980731206e-22,9.8540325545049222e-22,1.1653126062500325e-13,5.6889627640006195e-22,9.7434761332388823e-31,9.566411667114414e-31,3.0592574026812103e-35,1.7134058804909578e-25,1.8671829294663465e-19,4.0828021683416984e-24,3.3932431844777932e-35,1.491972525599956e-37,1.5738568328325652e-38,2.8564512388318038e-43,3.2252792245173714e-19,2.8320437759159997e-52,4.9030685031393068e-61
