Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664)
0.0,0.002516028720261032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.681568467872849e-19,0.002516028720261032,7.5203275987299136e-37,2.9831262225700311e-32,6.072995953127449e-24,7.5066464900766404e-37,6.6840756984269023e-23,4.3549290660651676e-38,1.1163605324550592e-61,1.1525201855718563e-49,2.0856117488824456e-53,2.9037803848759567e-52,1.8143589668572569e-40,5.7537026299038508e-28,7.3100199157393107e-44,7.6094132460716646e-64,3.4815429570524705e-59,2.0842064767004806e-45,1.08930786502476e-60,5.7479398824639024e-89,7.0323347153390547e-59,4.5028939371314451e-76,5.3774615576035788e-47,1.1573558434622474e-68,3.2009969063666274e-38,3.2833943697629887e-56,2.0488562482057283e-53,1.0713124564213647e-47,8.7925380382969895e-80,2.2920982349016829e-91,1.7985889217073208e-57,7.983136789843988e-73,2.4818416005912912e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999999993819,0.108803,0.0001,3.6071948504928761e-17,2.8141564652050483e-16,2.8141557390331857e-16,4.2077856523755285e-25,4.2152434984140278e-25,1.7587559084962437e-17,2.9674260579335395e-25,2.4786805087274958e-35,3.4715374413380518e-35,4.4993383490458979e-40,1.6720082754789512e-29,4.2495829542684394e-24,4.0166060216253324e-28,1.9317484748497787e-40,1.2196682781915246e-43,1.2436958839762288e-45,1.1315191508806625e-51,4.4508591486960652e-24,1.2704490936724808e-61,4.4419587912789754e-71,6.4226824861606529e-73,7.709850487694565e-83,1.1317209146647535e-77,3.8894500904049977e-29,3.2009969083687578e-38,3.375330475450436e-47
1.0308391710043977e-18,0.002516028720261032,4.5378449527620479e-36,1.8018082250459689e-31,1.7004388583846195e-23,4.5340144610522699e-36,1.8715422787789854e-22,2.6303784744098142e-37,6.7428176100794687e-61,6.9443344317908552e-49,1.2597094964139878e-52,3.4426626289693975e-51,5.0802051034541229e-40,1.6110367365691502e-27,4.4152520295553433e-43,9.0338954063036546e-63,4.1332877983946449e-58,1.2588607120541106e-44,1.2932263298640114e-59,2.371902526792311e-87,1.5731044738550847e-57,1.4124494253644719e-74,6.3841195037254934e-46,3.6311286969850507e-67,3.800223519400588e-37,7.3448218544168024e-55,1.2375091732241535e-52,1.269840618715221e-46,1.0438501144669402e-78,1.3170779647456249e-89,4.0233697539870713e-56,3.2942623791134096e-71,2.8229157246458048e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999999982734,0.108803,0.0001,1.0100145581376468e-16,7.8796380793681377e-16,7.8796360556325934e-16,2.5371663089001634e-24,2.5460070647281658e-24,4.9245136603790089e-17,1.7923250109892132e-24,2.936244996858392e-34,4.0934533662692756e-34,5.3416147499108587e-39,1.009892996222682e-28,2.5667468503140706e-23,2.4260300310995922e-27,2.2932565963941423e-39,1.4479901758281472e-42,1.4765145628065737e-44,2.5311611296446996e-50,2.6883176123511934e-23,5.2425398148962877e-60,3.3437932238939e-69,4.8348314768993264e-71,1.0523900167343176e-80,8.5193075946421602e-76,2.3492278493137306e-28,3.8002235182342386e-37,7.5504689429597072e-46
2.3562038194386233e-18,0.002516028720261032,2.1838082145898953e-35,8.6749309014669328e-31,3.8867173505641027e-23,2.1829327708832559e-35,4.2778160295293599e-22,1.2664153487960458e-36,3.2463764194274236e-60,3.3262760545424306e-48,6.0649589670672599e-52,3.3697610807470062e-50,1.161189736166307e-39,3.6823696845109655e-27,2.1257537921705084e-42,8.8695320813568377e-62,4.0580864700643763e-57,6.0608724361502426e-44,1.2696973446400259e-58,9.3830021027742171e-86,3.1081864410110187e-56,3.1354509759342023e-73,6.2679603334204858e-45,8.0662858767073783e-66,3.7310819697634882e-36,1.4512130211426204e-53,5.9580739594050866e-52,1.2456894967152511e-45,1.0248582292728357e-77,5.8774229044749977e-88,7.9494931991650391e-55,1.3031762386833578e-69,2.5555748659570262e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999999960547,0.108803,0.0001,2.3086047043129317e-16,1.8010601215215053e-15,1.8010596634190105e-15,1.2171417271181242e-23,1.2257927968689611e-23,1.1256017630523657e-16,8.6292700566071995e-24,2.8692635702814846e-33,3.9609792035683087e-33,5.2444292274851097e-38,4.8622000326492903e-28,1.2357768420069898e-22,1.1680290221632028e-26,2.2512889617496497e-38,1.4216453325480591e-41,1.4496482313550005e-43,5.0011394224701591e-49,1.2943078702508846e-22,2.0738931681048373e-58,2.6438323888034555e-67,3.8227495559807061e-69,1.662515561280632e-78,6.7359513721663494e-74,1.1310520783534243e-27,3.7310819611130385e-36,1.4918409654449685e-44
5.006933116307074e-18,0.002516028720261032,9.5353007016712723e-35,3.7885701657181699e-30,8.2592741990660072e-23,9.533440748610013e-35,9.0903808625410276e-22,5.5307803301231605e-36,1.417777866954455e-59,1.4377671225948099e-47,2.6487269224334344e-51,2.9622766970481216e-49,2.4675281818141832e-39,7.8250355835317391e-27,9.2837252999551421e-42,7.8450006837923724e-61,3.5893315255832152e-56,2.6469422273783362e-43,1.1230330376599774e-57,3.3487207738301376e-84,5.5308413035823372e-55,5.8140286300400294e-72,5.5439291654052456e-44,1.4979331310388147e-64,3.3000997195630417e-35,2.5823560100588798e-52,2.6020474245819203e-51,1.101346894599783e-44,9.0647549219898126e-77,2.1896164042648382e-86,1.4145671813039812e-53,4.6509348483986246e-68,1.9368983097699086e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999999916156,0.108803,0.0001,4.9057849966577694e-16,3.827252711971486e-15,3.8272517572739891e-15,5.2773537639039154e-23,5.3533591141516528e-23,2.3918979436497485e-16,3.7686260100742939e-23,2.514038220265048e-32,3.4044925972127903e-32,4.6386384692529348e-37,2.1234504764512517e-27,5.3969509139845372e-22,5.1010895555971025e-26,1.9908057383854845e-37,1.2574291818720851e-40,1.2821929574586839e-42,8.89923024500446e-48,5.6525707602542689e-22,7.4015527161205455e-57,1.8896945838445228e-65,2.7323324927877578e-67,2.3781664633537817e-76,4.8145635140333322e-72,4.9396015328053317e-27,3.300099698560617e-35,2.6546353392852061e-43
1.0308391710043977e-17,0.002516028720261032,3.9804065273733906e-34,1.5816534093610858e-29,1.700438735264161e-22,3.9800237046300558e-34,1.8715579854606368e-21,2.3090017626778581e-35,5.9189434596489888e-59,5.8801212762011106e-47,1.1057913504713827e-50,2.4596145117384685e-48,5.0802050491342807e-39,1.6110367394121872e-26,3.875772565606365e-41,6.5941957749874491e-60,3.0170494193187729e-55,1.1050462757184382e-42,9.4397712951016297e-57,1.1314529896852574e-82,9.3285371711719381e-54,9.8443187347677632e-71,4.6599883971789597e-43,2.5440607863938252e-63,2.7739326105334018e-34,4.3555207782964458e-51,1.0863035735421252e-50,9.2556214884868087e-44,7.6194726128143931e-76,7.434851204209325e-85,2.385865333587316e-52,1.5714399680964313e-66,1.3467989708532193e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999999827373,0.108803,0.0001,1.0100145581324509e-15,7.8796377481180516e-15,7.8796358575578566e-15,2.1718820342507671e-22,2.2349219869448689e-22,4.9244718512527886e-16,1.5733247213876296e-22,2.0742456046402908e-31,2.7081939151994566e-31,3.8990554356513676e-36,8.8649875780248201e-27,2.2531113882783669e-21,2.1296044306253123e-25,1.6726627786248633e-36,1.0569449678576475e-39,1.0777528913470377e-41,1.5009750807715394e-46,2.3598271979790963e-21,2.5008006902841468e-55,1.2779928951113752e-63,1.8478655505846318e-65,3.2179835701987789e-74,3.2560742231449924e-70,2.062186364124587e-26,2.7739325704196231e-34,4.4773766829125545e-42
2.091130889751778e-17,0.002516028720261032,1.6260470804213053e-33,6.4615697981200413e-29,3.4494611486080282e-22,1.6259694324706473e-33,3.7966255142891859e-21,9.4331060912653729e-35,2.4180814970601256e-58,2.3059469991522245e-46,4.5175184828125176e-50,1.9678853124361367e-47,1.0305558687871861e-38,3.2681031065496599e-26,1.5833795591669957e-40,5.4063201066213233e-59,2.4735593941387816e-54,4.5144746117938876e-42,7.7392980078203082e-56,3.7199430871911308e-81,1.532203503134286e-52,1.5722177347171765e-69,3.8205103290235353e-42,4.0893672749878156e-62,2.2742374665869657e-33,7.1539557017397666e-50,4.4379045202116706e-50,7.5875612489915405e-43,6.2469038469484613e-75,2.3792220021312977e-83,3.9187614895906663e-51,5.1665126599011233e-65,8.9804995710213027e-83,0.88129999999999997,0.0,0.0,0.0,0.0098899999999649824,0.108803,0.0001,2.0488866750566263e-15,1.5984407257565979e-14,1.5984403708421277e-14,8.6269221134509523e-22,9.1303850464834634e-22,9.9895458531676567e-16,6.4275248174122087e-22,1.6400147552918897e-30,2.0042723088378083e-30,3.1966816963424253e-35,3.6216365556602565e-26,9.2046185469151609e-21,8.7001286229008137e-25,1.370155361436172e-35,8.665473016582829e-39,8.8359455876112289e-41,2.465322654412694e-45,9.640583819796408e-21,8.2219757855348913e-54,8.4069527304558826e-62,1.2155715796357987e-63,4.2346295782922726e-72,2.1419314708782568e-68,8.4247038489118115e-26,2.2742373968681981e-33,7.35392782058973e-41
4.211714327246539e-17,0.002516028720261032,6.5725840993739597e-33,2.6118694528204466e-28,6.9475051058109781e-22,6.5724274796162343e-33,7.6468714935979566e-21,3.8130773711184657e-34,9.7742717333789565e-58,8.5984859220892811e-46,1.8260532039470056e-49,1.5184710745337038e-46,2.0756265581736576e-38,6.5822358609024731e-26,6.4002733614250907e-40,4.3781782000018783e-58,2.0031525250600274e-53,1.8248228246021702e-41,6.2674893208235851e-55,1.206537241601541e-79,2.483730529930791e-51,2.3708841733519188e-68,3.0939002082614552e-41,6.255455228418509e-61,1.8417363320618294e-32,1.159686964931071e-48,1.7938719697536296e-49,6.1442984684755093e-42,5.0589044539251812e-74,7.1893677509673654e-82,6.3523856530395547e-50,1.6757212532191145e-63,5.8659793835430131e-81,0.88129999999999997,0.0,0.0,0.0,0.0098899999999294726,0.108803,0.0001,4.126630908868284e-15,3.2193944142445538e-14,3.2193938011331113e-14,3.3030451358394249e-21,3.6906472086154689e-21,2.0119398612437727e-15,2.5980921134851273e-21,1.2395263438835971e-29,1.3568558449455876e-29,2.5887564866405332e-34,1.4639233016974385e-25,3.7205920215187778e-20,3.516730822154839e-24,1.107657257662274e-34,7.0175240705928659e-38,7.1553773699705879e-40,3.9962859043341084e-44,3.8968132204398526e-20,2.6667069518297837e-52,5.454573222030584e-60,7.8868342363364263e-62,5.4955873918884178e-70,1.3897284921862388e-66,3.405399733715865e-25,1.8417362159511232e-32,1.1920460647938777e-39
8.45288120223606e-17,0.002516028720261032,2.6427751740531014e-32,1.0502209211740857e-27,1.39435895422796e-21,2.642743429775137e-32,1.5347807138744386e-20,1.5332739669531615e-33,3.9301914373756226e-57,2.9563627729161037e-45,7.3424796548181232e-49,1.1124258987686234e-45,4.165767783502434e-38,1.3210501449920237e-25,2.5735217878314182e-39,3.5239387233550223e-57,1.6123114165889719e-52,7.3375323695747448e-41,5.044628937609028e-54,3.8869084495994868e-78,3.9998510692110195e-50,3.2921710443760238e-67,2.4901626083314986e-40,8.9902235018389193e-60,1.4823894150426414e-31,1.8676398391432604e-47,7.2130813390514632e-49,4.9453423917020973e-41,4.0718460276674729e-73,2.0024298997833824e-80,1.0230013376349235e-48,5.3983998087185386e-62,3.7926098751083996e-79,0.88129999999999997,0.0,0.0,0.0,0.009889999999858453,0.108803,0.0001,8.2821193763448263e-15,6.4613010155848789e-14,6.4613001021884931e-14,1.2001506984416628e-20,1.4839926820577391e-20,4.0377923221576735e-15,1.0446684098716822e-20,8.796246383578858e-29,8.1987525749477077e-29,2.0836576739137437e-33,5.886370466696743e-25,1.495983858792685e-19,1.4140617952140902e-23,8.8844751781366676e-34,5.648312889510127e-37,5.7589475524337131e-39,6.4355462708546953e-43,1.5668392677277912e-19,8.5906930352265619e-51,3.5147194953296881e-58,5.0819760845823092e-60,7.0826782621465052e-68,8.9549732703809586e-65,1.3692960451855713e-24,1.4823892255759218e-31,1.919568823471588e-38
1.6935214952215104e-16,0.002516028720261032,1.0598643702718597e-31,4.2118532236228145e-27,2.793574450348275e-21,1.0598577108002674e-31,3.0751453174578178e-20,6.1495340890911956e-33,1.5761823577529988e-56,8.8467821790072856e-45,2.9446627696738409e-48,7.4837960553139207e-45,8.3460496203834093e-38,2.6467032949209826e-25,1.0320973560826846e-38,2.8277389199528805e-56,1.2937783625012064e-51,2.9426786998402548e-40,4.048010299837719e-53,1.2479328772818209e-76,6.4202603600967184e-49,3.9924663182776645e-66,1.9980743938001951e-39,1.1970053242711361e-58,1.18952380700709e-30,2.9979747053659509e-46,2.892772253582467e-48,3.9682747294447127e-40,3.2673993728255684e-72,4.8826415874577771e-79,1.6420448715982963e-47,1.7332105975120781e-60,2.4396290457291114e-77,0.88129999999999997,0.0,0.0,0.0,0.0098899999997164138,0.108803,0.0001,1.6593096310710834e-14,1.2945111558627693e-13,1.2945110466194628e-13,4.0241094252254961e-20,5.951471761251838e-20,8.0890249352886282e-15,4.189483430061698e-20,5.6972232623643074e-28,4.3694379957484914e-28,1.6720060451143869e-32,2.3606972978631474e-24,5.9991647297129195e-19,5.6710188306559389e-23,7.0801134002947913e-33,4.5324138917075674e-36,4.6206749881107403e-38,1.0329356836319541e-41,6.2833076819929088e-19,2.7579969074263465e-49,2.2568882955660257e-56,3.2632626504564135e-58,9.0961757790331895e-66,5.750327288172792e-63,5.491487887428203e-24,1.1895235009311095e-30,3.0807405532374728e-37
