Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60)
0.0,0.0018870590618861704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.817260990659724e-20,0.0018870590618861704,2.8537426550945374e-36,6.4706782606540246e-32,5.3757669760787058e-23,2.7251423990130745e-36,2.0674070602757997e-22,5.4050868845224757e-38,2.7016866976052738e-59,1.700184887532136e-48,4.4044389509721116e-52,5.7647309650985157e-52,1.5308330698958082e-38,1.9012916477048264e-27,1.2553741080744209e-43,3.0388453167407208e-63,6.7539200756485056e-59,6.1801398697693661e-45,2.5703896818970536e-60,1.058124525724389e-87,6.5421341468689075e-59,1.6102045823522979e-75,2.5283983140176491e-46,3.0472673470273524e-69,7.5669146201688162e-39,1.1971375308461471e-56,3.0102586913523187e-52,8.5192279287053585e-48,1.775294023962668e-77,3.2047323455698139e-91,1.5156181173677826e-57,2.712388307912106e-73,5.1315871986383789e-93,0.88129999999999997,0.0,0.0,0.0,0.009889999999999349,0.108803,0.0001,2.2849197128306149e-17,2.8360274908673249e-16,2.8360253334847665e-16,8.0546829938614351e-26,8.0580046799003478e-26,6.014147702328462e-17,5.1537261587514619e-26,1.2127123719907937e-36,1.5482018085753222e-36,3.9155711864116174e-41,6.5404477377059344e-30,2.0945252537870388e-24,1.5438279031657292e-28,2.3683499039604416e-41,3.0221229451051157e-44,9.579558148525417e-46,2.4033576889743833e-52,2.7916048591838655e-24,5.0388793185338882e-63,3.1957169486734292e-73,1.2233104403113338e-74,2.5619083045392226e-85,2.1948642439531276e-79,3.223218248633355e-29,7.5669148714545027e-39,1.3750852928068575e-48,1.7905888639015143e-49,4.4706733889387413e-23
1.3488330773847228e-19,0.0018870590618861704,1.6819940413768075e-35,3.9082891698133774e-31,1.5052147516259882e-22,1.6459860074698985e-35,5.7887401917384861e-22,3.2646727034774017e-37,1.6318187652212723e-58,1.0265756407780729e-47,2.6602811265857432e-51,6.8422328307811402e-51,4.2863325951568394e-38,5.3236166139979587e-27,7.5824596132742763e-43,3.6077171602734889e-62,8.0182539140841871e-58,3.7328044815884652e-44,3.051566647426268e-59,4.3663802075178051e-86,1.4634491375985656e-57,5.0611366493672028e-74,3.0017142582800717e-45,9.5804614288078206e-68,8.9834410329140597e-38,2.6779487695553863e-55,1.8181962493936447e-51,9.8164624311486992e-47,2.1076290648767842e-76,1.845187125290797e-89,3.3903768663179435e-56,1.1192745539870428e-71,5.8368073503169178e-91,0.88129999999999997,0.0,0.0,0.0,0.009889999999998178,0.108803,0.0001,6.397775195924728e-17,7.94087697014951e-16,7.9408709311440883e-16,4.8630891829407761e-25,4.8670348220903212e-25,1.6839611951269628e-16,3.1128504774905105e-25,1.4384729205155859e-35,1.833237801225669e-35,4.6485673349626452e-40,3.9504304322144242e-29,1.2650931520306603e-23,9.3247205309273041e-28,2.8116804648512009e-40,3.5878643586438641e-43,1.1372848903104779e-44,5.3762138729313308e-51,1.686129199991077e-23,2.0793072281889444e-61,2.4056554608798157e-71,9.2087737705823005e-73,3.4969914996691327e-83,1.6522387747795788e-77,1.9468238211923819e-28,8.9834413296089284e-38,3.0760100113635702e-47,4.0054754551561932e-48,1.2517885474930594e-22
3.0830470340222237e-19,0.0018870590618861704,8.0070179771472594e-35,1.8816728855576513e-30,3.440490852958025e-22,7.9247140733200443e-35,1.3231408146528841e-21,1.5717996031099029e-36,7.8565049146209888e-58,4.9390998967175718e-47,1.2808108472388e-50,6.7141978012622326e-50,9.7973316434732069e-38,1.2168266548282006e-26,3.6506279070378177e-42,3.5420781019292002e-61,7.872369241026134e-57,1.7971846745005748e-43,2.9960462642818159e-58,1.7272963455331826e-84,2.8915284403118641e-56,1.1283542692922046e-72,2.9471003924418597e-44,2.1376540056407198e-66,8.8199956684025741e-37,5.2911754899773589e-54,8.7538322717019851e-51,9.4836645920304741e-46,2.0692827131712473e-75,8.2691219533175492e-88,6.6988123334496422e-55,4.4277381639489344e-70,5.2840387765156547e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999999958379,0.108803,0.0001,1.4623486162108976e-16,1.8150575911613362e-15,1.8150562116009706e-15,2.3393951007549696e-24,2.343267754060988e-24,3.8490533988153614e-16,1.4987033833736507e-24,1.4096411588788657e-34,1.7898239294768862e-34,4.5639915385825655e-39,1.9019622000852628e-28,6.0908779191622743e-23,4.4894515361184508e-27,2.7604725719435996e-39,3.5225864992817701e-42,1.1165925132369491e-43,1.0622487700883768e-49,8.1179849061673265e-23,8.2255288424956536e-60,1.9020785695058891e-69,7.2810972023914355e-71,5.5243869904390231e-81,1.3063750723722911e-75,9.3731186522932338e-28,8.8199959562435256e-37,6.0776740349547674e-46,7.9141436116756505e-47,2.8612309590522764e-22
6.551474947297226e-19,0.0018870590618861704,3.4784203322706366e-34,8.2177595987741106e-30,7.3110430288053076e-22,3.4609308229696318e-34,2.8116750823569467e-21,6.8644638231243508e-36,3.4311421038621681e-57,2.1540347166653736e-46,5.5936374707861238e-50,5.93232106134304e-49,2.0819329731283158e-37,2.5857566423641224e-26,1.5943251180376627e-41,3.1329279692887199e-60,6.9630214429760363e-56,7.8487776384473572e-43,2.6499690521586002e-57,6.1645962286194038e-83,5.1453187808657569e-55,2.110437544865147e-71,2.60667609282814e-43,4.0049699209546274e-65,7.8011862697901453e-36,9.4153640586894849e-53,3.8230285351744309e-50,8.3217574581838973e-45,1.8302571245019581e-74,3.1069277630705237e-86,1.192017495943777e-53,1.5802278247913851e-68,4.0048310194458566e-87,0.88129999999999997,0.0,0.0,0.0,0.0098899999999911559,0.108803,0.0001,3.1074908094461551e-16,3.8569973726262582e-15,3.8569944443928812e-15,1.019945886910116e-23,1.0233665872652556e-23,8.1792352217943685e-16,6.5452303245411199e-24,1.2421054604408498e-33,1.5654718823836041e-33,4.0367991028427631e-38,8.3063686058248164e-28,2.6600455028312557e-22,1.9606614305296744e-26,2.441514262998349e-38,3.1156878598716089e-41,9.8761247931640656e-43,1.8902131636283136e-48,3.5453360793468421e-22,2.9356301154017462e-58,1.3595249855898306e-67,5.2042190760619172e-69,7.9024482853739522e-79,9.3374163820266869e-74,4.0934871605406691e-27,7.8011865182345914e-36,1.0814884077044562e-44,1.4082792461936018e-45,6.0801157596140961e-22
1.3488330773847228e-18,0.0018870590618861708,1.4484712341289896e-33,3.430752794351799e-29,1.5052147273232705e-21,1.444870478557456e-33,5.7887463247490286e-21,2.8657801964807833e-35,1.4324342851773496e-56,8.9676797703546299e-46,2.3352335345482593e-49,4.975885108310536e-48,4.2863325871611938e-37,5.3236166201524178e-26,6.6559935280679141e-41,2.6334147327558294e-59,5.8528390780750742e-55,3.2767101624079341e-42,2.227458762680853e-56,2.0828765642572027e-81,8.6783268308805803e-54,3.635451738021592e-70,2.1910669247002731e-42,6.9225446951193992e-64,6.5573670901839417e-35,1.5880387599458235e-51,1.5960391555984863e-49,6.9675233726347842e-44,1.538441392023589e-73,1.0729828026697328e-84,2.0105104967151824e-52,5.3392294572220939e-67,2.7847111516653802e-85,0.88129999999999997,0.0,0.0,0.0,0.0098899999999817936,0.108803,0.0001,6.3977751959103041e-16,7.9408769083429854e-15,7.9408708932518565e-15,4.2436883701993454e-23,4.2723540175517119e-23,1.6839588530173561e-15,2.7325039020689437e-23,1.0362335850217883e-32,1.287190839684123e-32,3.3931730701285955e-37,3.4677453716050515e-27,1.1105158770283321e-21,8.1853754842796986e-26,2.0520843150113593e-37,2.6189233692095767e-40,8.3014619271326308e-42,3.1881148165987776e-47,1.4801070137054836e-21,9.9188124106914722e-57,9.1944572490242551e-66,3.5196094502696903e-67,1.0693141379354988e-76,6.314890575300371e-72,1.7089503017240633e-26,6.557367288674525e-35,1.8240841765533145e-43,2.375267692364231e-44,1.2517885270511287e-21
2.7362042426947235e-18,0.0018870590618861704,5.9100715721359511e-33,1.4015744281869474e-28,3.0534355333018847e-21,5.9027672607777483e-33,1.1742899637468932e-20,1.1707660892436695e-34,5.8519614384286409e-56,3.6432975743926524e-45,9.540190968571765e-49,4.0622684877789375e-47,8.6951318011104982e-37,1.0799336586594815e-25,2.7191905390439665e-40,2.1590325045858177e-58,4.7985110926997622e-54,1.338643019277779e-41,1.8262054378216906e-55,6.8480347131610082e-80,1.4254160307601274e-52,6.0079785735495355e-69,1.7963667553277364e-41,1.1518853379631589e-62,5.3761256768203379e-34,2.608358410841027e-50,6.520340714264775e-49,5.701269176565596e-43,1.2613071979831901e-72,3.5510493458165391e-83,3.3022654572113549e-51,1.7554197170350533e-65,1.8568545467222396e-83,0.88129999999999997,0.0,0.0,0.0,0.0098899999999630672,0.108803,0.0001,1.2978343968813134e-15,1.6108635871700918e-14,1.6108623724070417e-14,1.7220402024274856e-22,1.7453959917380119e-22,3.4160253796715373e-15,1.1163162554817251e-22,8.3700072032310265e-32,1.0111405518031316e-31,2.7819284961316817e-36,1.4166871258032653e-26,4.5368135213112007e-21,3.3439929421964279e-25,1.6821676948410119e-36,2.1471515883032373e-39,6.8060137326522722e-41,5.2364685691616733e-46,6.0467118495740604e-21,3.261076500097719e-55,6.048398964213841e-64,2.3153081940800444e-65,1.4071521611779457e-74,4.1541345699100913e-70,6.9816195392650262e-26,5.3761258225951301e-34,2.9960502788424851e-42,3.9013807206504366e-43,2.5393423931399875e-21
5.510946573314725e-18,0.0018870590618861704,2.3874639674883386e-32,5.6653877341136569e-28,6.1498769736316605e-21,2.3859928281355054e-32,2.3651249574651042e-20,4.7324348050518373e-34,2.3654563715003709e-55,1.456482328422894e-44,3.856297733730349e-48,3.2620953935458395e-46,1.7512730172543313e-36,2.1750776562942835e-25,1.0991402945290374e-39,1.7484405028906929e-57,3.8859586972874712e-53,5.4110091267676067e-41,1.4789087812493905e-54,2.2211386339727674e-78,2.31065511432087e-51,9.6902689010227321e-68,1.4547406662073728e-40,1.8836441262007288e-61,4.353725888678582e-33,4.2282613179176329e-49,2.6356259592796646e-48,4.6125527605696629e-42,1.0214392641882358e-71,1.1463961907145624e-81,5.353101412314908e-50,5.6936480669492235e-64,1.212880306417739e-81,0.88129999999999997,0.0,0.0,0.0,0.0098899999999256163,0.108803,0.0001,2.6139481514516927e-15,3.2444153372185858e-14,3.2444129118110003e-14,6.8683669198790778e-22,7.0551694379107e-22,6.880141892972238e-15,4.5123227428454035e-22,6.5832217664760959e-31,7.5536319352067948e-31,2.2528781164229674e-35,5.726475805256262e-26,1.8338475593554383e-20,1.3516953928132434e-24,1.361850159094963e-35,1.7388189951412056e-38,5.5116437676046281e-40,8.4884776915650015e-45,2.4441709396653186e-20,1.0577145553038476e-53,3.9243789133984061e-62,1.502239973894405e-63,1.8261987929406203e-72,2.695329485437207e-68,2.822082195731133e-25,4.353725979261526e-33,4.8566829768651067e-41,6.3242946096665405e-42,5.1144499809554026e-21
1.1060431234554727e-17,0.0018870590618861704,9.5969243042681298e-32,2.2780273427624835e-27,1.234275916778149e-20,9.593971612577315e-32,4.7468122695979244e-20,1.9029001339744772e-33,9.5113959791614855e-55,5.7294648498197823e-44,1.5506003659228936e-47,2.5821537578028775e-45,3.514792668954575e-36,4.3653656689491817e-25,4.4195948030188232e-39,1.40729703402316e-56,3.1277576377766918e-52,2.1757429812358481e-40,1.1903548841480961e-53,7.1556616945662743e-77,3.7212204788398745e-50,1.5321386287912337e-66,1.1708958815919796e-39,3.0623374046379007e-60,3.5042572483067328e-32,6.8094842839952673e-48,1.0597736002088363e-47,3.7107841381984661e-41,8.2214317282621476e-71,3.6275086249395653e-80,8.6209622875168402e-49,1.8342757353111007e-62,7.8417976310745837e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999998507144,0.108803,0.0001,5.2461756605517044e-15,6.51151867145947e-14,6.5115138835799173e-14,2.6901361348478392e-21,2.8368524200823926e-21,1.380830876017478e-14,1.8143802690315935e-21,5.0096910406033959e-30,5.258878792024563e-30,1.8133127613087091e-34,2.3025906831898286e-25,7.3737801439346204e-20,5.4351075653277428e-24,1.0954714651477243e-34,1.3995527537842382e-37,4.4361818138485953e-39,1.3670227067836774e-43,9.8278502219830213e-20,3.4075181375228034e-52,2.5288175210513935e-60,9.6802344782190844e-62,2.3536833815385041e-70,1.7368408171513402e-66,1.1347467999054586e-24,3.5042572769973018e-32,7.8213976728638205e-40,1.0185043944340755e-40,1.0264664579137115e-20
2.215940055703473e-17,0.0018870590618861704,3.8482029807044588e-31,9.1359073525000545e-27,2.4728520810042921e-20,3.8476112285740393e-31,9.5102561926450929e-20,7.6315521195175351e-33,3.8144951518404983e-54,2.200888272586666e-43,6.2186010529063035e-47,2.0053790954239766e-44,7.0418318820097887e-36,8.745941763800178e-25,1.772455204287201e-38,1.1292672516357335e-55,2.5098285369504066e-51,8.7257025585567684e-40,9.5518552646308008e-53,2.297512171941657e-75,5.9733240861691577e-49,2.3623535272998357e-65,9.395606297415466e-39,4.9973021788536027e-59,2.8119455708146727e-31,1.0930729647738921e-46,4.2501661115998036e-47,2.976949208831745e-40,6.5971810305322359e-70,1.1195519830404975e-78,1.3838417252268134e-47,5.889417988922036e-61,5.0443051173302974e-78,0.88129999999999997,0.0,0.0,0.0,0.0098899999997009089,0.108803,0.0001,1.0510630678588741e-14,1.304572471038345e-13,1.3045715398961836e-13,1.0254230871815395e-20,1.1377045567700282e-20,2.7664377862038568e-14,7.2764374225957668e-21,3.622759848233409e-29,3.3151652653775361e-29,1.4550700202966226e-33,9.2344180941887349e-25,2.957183365094721e-19,2.179721102188312e-23,8.7798305567302614e-34,1.1230528697287921e-36,3.5596464479175383e-38,2.1943085217791582e-42,3.9413644865751808e-19,1.0940503797881363e-50,1.6239408640455619e-58,6.2163950299948781e-60,3.0230306863901506e-68,1.1153622143297983e-64,4.5508418824786315e-24,2.8119455228753633e-31,1.2554624276999414e-38,1.6349130603032013e-39,2.0565091465704847e-20
