Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328)
0.0,0.002689692306428254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9680565888966245e-18,0.002689692306428254,2.1484041924159422e-37,1.3954504019791976e-32,7.4979303339358588e-25,2.1481598630980812e-37,2.6230980806656604e-23,4.3067589008359491e-38,8.22907539436833e-64,9.3503208992513468e-51,1.528529004037788e-54,1.4825887568174562e-52,2.9827905527430303e-42,2.1048027808505748e-28,5.0366479979307311e-44,2.5947638337927158e-64,1.8968572602377645e-59,8.8100403882960423e-46,3.3791153404388827e-60,3.0578422839540692e-90,5.0853903587681744e-59,1.1831638007717906e-76,8.6115421665800666e-48,3.8492377568821497e-68,9.2543271069255056e-38,6.755417154301937e-56,1.6892037608410045e-54,1.3516096960635356e-47,8.5132115496181301e-82,1.5069476703688794e-91,1.4086587779338354e-57,1.5527014120603716e-72,9.4562441644167854e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999999993594,0.108803,0.0001,4.7058129545396573e-17,2.9390479474923712e-16,2.9390477508748081e-16,2.03266961209282e-24,2.0440437716299633e-24,5.0481497340949318e-18,1.5667592852125694e-24,3.5306497141777762e-34,5.3541776917545394e-34,6.1156784676328586e-39,4.2762313126308345e-29,5.980041173719839e-24,1.0701958829915003e-27,1.4741480513491662e-39,4.0693922434894158e-43,1.5146492810523192e-45,3.7373457320509563e-51,5.0644399647116285e-24,1.6417710013105778e-60,2.7723379252801443e-69,1.4018399661355908e-71,8.4148355813955336e-81,3.2052733629994948e-76,4.1935892449913748e-29,9.254327052746101e-38,4.9333055925040338e-46,5.7074984643530213e-47,5.7633784197363239e-24,4.2450001841600688e-53,8.2621788853580122e-62,2.409737834981124e-38,3.1484077204234317e-72
5.510558448910549e-18,0.002689692306428254,1.2975568036280352e-36,8.4285203013312766e-32,2.0994204559928961e-24,1.2974885378891706e-36,7.3447023342520732e-23,2.6012906635619752e-37,4.9703615125633062e-63,5.5618154646476792e-50,9.2323151821973612e-54,1.7532930788948631e-51,8.3518135168830713e-42,5.8934477865733687e-28,3.0421353908331585e-43,3.080503622804913e-63,2.251948937839964e-58,5.3212643946626391e-45,4.0116858037470077e-59,1.2618248768520729e-88,1.1375793258505213e-57,3.6639847378551409e-75,1.0223602578587672e-46,1.1921852955325633e-66,1.0986737052039081e-36,1.5111597836754663e-54,1.0202790689612828e-53,1.6044648232351611e-46,1.0106884675871342e-80,8.5506996918369152e-90,3.1511073681629025e-56,6.4072540224117437e-71,1.0755795289780748e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999999982075,0.108803,0.0001,1.3176276272699898e-16,8.2293341370113226e-16,8.2293336362184691e-16,1.221165085546831e-23,1.2346024250139729e-23,1.4134782573277542e-17,9.46322017507327e-24,4.1737385344569838e-33,6.2701220177732981e-33,7.2605336142901459e-38,2.5828436843046102e-28,3.6119370472532034e-23,6.4639830572591102e-27,1.7497447804172715e-38,4.8311824091202012e-42,1.7981876996274737e-44,8.3602754648151587e-50,3.0589151145849004e-23,6.7748002037542121e-59,2.0869425952606551e-67,1.055268014518211e-69,1.1486186171132945e-78,2.4128458436017324e-74,2.5329278814928393e-28,1.0986736929938507e-36,1.1035549043518265e-44,1.2767434907249931e-45,1.6137459405950904e-23,9.4958956842069357e-52,1.8413588480292909e-60,2.8608350837806813e-37,2.3700379832402107e-70
1.2595562168938397e-17,0.002689692306428254,6.2470040073251843e-36,4.0579695797940578e-31,4.7986751511549477e-24,6.2468485905581681e-36,1.6788021674974291e-22,1.2524179167305058e-36,2.3930150861890311e-62,2.591782638032937e-49,4.4449623404269154e-53,1.7041092380165329e-50,1.9089859321973497e-41,1.3470737798786008e-27,1.4646572379230198e-42,3.0244567225626406e-62,2.2109768178387461e-57,2.5619597451141939e-44,3.9386970547536846e-58,4.9916335631711359e-87,2.2476557271896162e-56,7.9196169618242822e-74,1.0037550676741551e-45,2.5780695659691263e-65,1.0786843398993249e-35,2.9857970281393906e-53,4.9122044994625574e-53,1.5751869145552711e-45,9.9229991469942818e-80,3.7167900964737895e-88,6.2260313298967993e-55,2.5346356278420101e-69,9.7371804302651884e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999999959038,0.108803,0.0001,3.0117202908975825e-16,1.880990605733057e-15,1.880990514198183e-15,5.8135303105594191e-23,5.9440790921701318e-23,3.2307901524074348e-17,4.5561271411121541e-23,4.060484855348264e-32,5.980557172613986e-32,7.1284351592787483e-37,1.2435280231664362e-27,1.7389842408578808e-22,3.1121295144001496e-26,1.7171397230143408e-37,4.7432834065471652e-41,1.76546302886058e-43,1.6518420061534812e-48,1.4727292056295416e-22,2.6800315185483906e-57,1.6500753729758922e-65,8.3436495465384983e-68,1.814527808366948e-76,1.9077575722613902e-72,1.2194957187205408e-27,1.0786843156729398e-35,2.180413344850233e-43,2.5226252930103323e-44,3.6885620701136894e-23,1.8762289929245877e-50,3.6029368894501158e-59,2.8087728314096745e-36,1.8739093860919374e-68
2.6765569608994095e-17,0.002689692306428254,2.7281955481760479e-35,1.7722218154075708e-30,1.0197183941332842e-23,2.7281627250924983e-35,3.567510369058865e-22,5.4697122173867569e-36,1.0450925352894782e-61,1.0589832667149947e-48,1.9412318316891874e-52,1.4734868654182941e-49,4.0565950439395725e-41,2.8625317826279603e-27,6.3965429586668102e-42,2.6750977176471842e-61,1.9555839511564786e-56,1.1188751295178781e-43,3.4837331942103092e-57,1.7814641193876043e-85,3.9995499471077448e-55,1.3908266249986856e-72,8.8780234806469964e-45,4.5323037719667369e-64,9.5408404927936021e-35,5.3130660944403782e-52,2.1452887451637838e-52,1.3931978007458982e-44,8.7767800850377535e-79,1.3126049393631013e-86,1.107879777787187e-53,9.0458604245754768e-68,7.3799159923309764e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999999912964,0.108803,0.0001,6.3999056181349416e-16,3.9971048102703656e-15,3.9971047093812784e-15,2.4828482268201931e-22,2.5959353877724211e-22,6.8653552524871458e-17,1.9897751388437618e-22,3.526802160291757e-31,5.0021742285283369e-31,6.3050205016256544e-36,5.4308133322268255e-27,7.5945310562498437e-22,1.3591486556356412e-25,1.5174225203956165e-36,4.1953802265401761e-40,1.5615172594773361e-42,2.9393376255264254e-47,6.4317360829457878e-22,9.5647556881889046e-56,1.1793942999869253e-63,5.9636383229478094e-66,2.5955996770870191e-74,1.3635751836548862e-70,5.3258579926684543e-27,9.5408400608088665e-35,3.8798390248519662e-42,4.4888601404549219e-43,7.8381940582536575e-23,3.3386493347214364e-49,6.2725418752055047e-58,2.4843063816668983e-35,1.3393800636525639e-66
5.510558448910549e-17,0.002689692306428254,1.1389608131754821e-34,7.3986762768861618e-30,2.0994199121104367e-23,1.1389540884767868e-34,7.3451041058281342e-22,2.2835591356089714e-35,4.3630554158554093e-61,3.8605010833685134e-48,8.1042607484027563e-52,1.175856523790923e-48,8.3518130703205792e-41,5.8934477893541122e-27,2.6704307696781993e-41,2.2485808140756384e-60,1.643786134120207e-55,4.6710834157130961e-43,2.9282880865048435e-56,6.0190670032963806e-84,6.7457131020889112e-54,2.1079442129641122e-71,7.4623851181746362e-44,6.8866134959044576e-63,8.0196507468705279e-34,8.9612619125856005e-51,8.9561583120975796e-52,1.1710512475912557e-43,7.3774120208386973e-78,3.9973805926898985e-85,1.8685700219196505e-52,3.0563417096023467e-66,5.1315356574958475e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999999820815,0.108803,0.0001,1.3176276272538357e-15,8.2293325305634884e-15,8.2293326758692264e-15,9.9247107503726831e-22,1.083751825836884e-21,1.4134250699909424e-16,8.3068753876577719e-22,2.8612312872539762e-30,3.7902214436505473e-30,5.2997501828047946e-35,2.267257458831662e-26,3.1705087212486368e-21,5.674177552706255e-25,1.2731895084123e-35,3.5264694922884065e-39,1.312524454367926e-41,4.9575315240518516e-46,2.685073665867479e-21,3.2316563493356256e-54,7.9761062315997047e-62,4.0331391227003824e-64,3.5121607618117469e-72,9.221728144575752e-69,2.2234407040708809e-26,8.0196500175449081e-34,6.5436118179332587e-41,7.5710620873080955e-42,1.6137456950945009e-22,5.6311203876193617e-48,1.0063314682178474e-56,2.0881732394059075e-34,9.0580713876304107e-65
1.1178561424932828e-16,0.002689692306428254,4.6530118148684375e-34,3.0225999039441578e-29,4.2588219878314953e-23,4.6529978959255106e-34,1.4901000913787228e-21,9.3295904888613987e-35,1.7824503433796499e-60,1.2019800097416688e-47,3.3108549376325915e-51,8.5579752250645628e-48,1.6942248334668909e-40,1.1955279807716963e-26,1.090958103955868e-40,1.8435223978056441e-59,1.3476751703850527e-54,1.9082899898232213e-42,2.4007881916303026e-55,1.9788733480760427e-82,1.1079484554326512e-52,2.6978701815255175e-70,6.1179033642734196e-43,8.8773545475236723e-62,6.5749932808407327e-33,1.4718897531533379e-49,3.6588837297334789e-51,9.600921216270639e-43,6.0484473098302409e-77,1.0295920175677906e-83,3.0690295276406703e-51,1.0048253545255407e-64,3.4217243944558087e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999999636518,0.108803,0.0001,2.6729017581059976e-15,1.6693785418064507e-14,1.6693786913332683e-14,3.7343757941070592e-21,4.4274790326524378e-21,2.8671102644453186e-16,3.3935936218615487e-21,2.1925574884583276e-29,2.5921667118803868e-29,4.3450562883786634e-34,9.2624849527110067e-26,1.2952084625724069e-20,2.3180862624133973e-24,1.0400927415410263e-34,2.8912121553113404e-38,1.0760460310028e-40,8.1424614639343218e-45,1.0968997219134762e-20,1.0624594874187898e-52,5.2467607856509722e-60,2.6530384245086239e-62,4.6216408960370703e-70,6.0661799893186718e-67,9.0834793928755273e-26,6.5749920824089504e-33,1.0746904188720125e-39,1.2435306124883109e-40,3.2735978401976159e-22,9.249133122457572e-47,1.4741607890403459e-55,1.7119516071485401e-33,5.9584881623074095e-63
2.251456737697739e-16,0.002689692306428254,1.880818431417157e-33,1.2217825874785861e-28,8.5776222983443324e-23,1.8808151848667955e-33,3.0015631866159134e-21,3.7715789787510582e-34,7.2049480080211905e-60,2.9231169922670426e-47,1.3383004908084289e-50,5.3989786704450965e-47,3.4123115709711417e-40,2.4078943864091417e-26,4.4098270898966123e-40,1.4929322228024497e-58,1.0913822683195305e-53,7.7136132546996889e-42,1.944221653676945e-54,6.4180118901624411e-81,1.7959124152008653e-51,2.706170169727911e-69,4.9540953425137085e-42,9.1374620856212761e-61,5.3245985234251686e-32,2.3859960471427577e-48,1.4789823817866231e-50,7.7750461837835679e-42,4.8981881696371022e-76,2.0882884616009398e-82,4.9746973368893185e-50,3.2589133504030947e-63,2.2350383047527209e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999999267924,0.108803,0.0001,5.3834500196962384e-15,3.3622682203117638e-14,3.3622688606214023e-14,1.301011468946185e-20,1.7896571726873406e-20,5.7741051217456988e-16,1.3717157315057351e-20,1.5693440734900876e-28,1.5716031359614461e-28,3.5187406798649836e-33,3.7440433727987067e-25,5.2350532762975667e-20,9.3700723020519935e-24,8.3629104102784652e-34,2.3413776665602789e-37,8.7134387277485897e-40,1.3198311792434212e-43,4.4335168035948812e-20,3.4458127060843529e-51,3.4040330859002726e-58,1.7212583239736794e-60,5.9975697079049626e-68,3.9357099603023199e-65,3.6716864920387912e-25,5.3245965805487433e-32,1.7417960462498373e-38,2.0157563807975526e-39,6.5933003966655285e-22,1.499324653034457e-45,1.8804536838472788e-54,1.3862872824591448e-32,3.8657930803785517e-61
4.51865792810665e-16,0.002689692306428254,7.5626783744584678e-33,4.912729054978696e-28,1.7215207555683015e-22,7.5626674191979063e-33,6.0256243107781475e-21,1.5168645076630264e-33,2.897076884817967e-59,5.1906172517978562e-47,5.3812473245288589e-50,2.8340252248130887e-46,6.8484837845184433e-40,4.8326272055488274e-26,1.7731720816954146e-39,1.2016417166265489e-57,8.7843935661181373e-53,3.101609969253826e-41,1.564880551720064e-53,2.0673797894121357e-79,2.8918758641143469e-50,2.0071942709615565e-68,3.9869374273193647e-41,7.6130240537809705e-60,4.2856977007693678e-31,3.8425709173033087e-47,5.9470254238757622e-50,6.2580175728011657e-41,3.9424859136374955e-75,3.1539181867383797e-81,8.0105282610834225e-49,1.0497647441479114e-61,1.4450485127532241e-78,0.88129999999999997,0.0,0.0,0.0,0.0098899999998530736,0.108803,0.0001,1.0804546542420382e-14,6.748044576012622e-14,6.7480464863828148e-14,4.0784149232017186e-20,7.1961276352961967e-20,1.1586593097908317e-15,5.515375385096781e-20,1.0231951191116031e-27,8.3778197096935296e-28,2.8321909528156127e-32,1.5054625788870201e-24,2.104681207286045e-19,3.7676627892757382e-23,6.6365307401863215e-33,1.8845431382912268e-36,7.012269697583737e-39,2.1252353482159958e-42,1.782434486571733e-19,1.1099539503175192e-49,2.193230866615153e-56,1.1090130074353514e-58,7.7289328852221863e-66,2.535853923635151e-63,1.4763680964006634e-24,4.2856945724882588e-31,2.8040676408271644e-37,3.2461192085441971e-38,1.3232698574667469e-21,2.4146171524684266e-44,2.0074532926445597e-53,1.1156508825789186e-31,2.4907446764937916e-59
9.053060308924475e-16,0.002689692306428254,3.0329677991889027e-32,1.9702200731406764e-27,3.4490316615856346e-22,3.0329616932346413e-32,1.2078286287328573e-20,6.085945518513766e-33,1.1618565870569859e-58,7.0569712960830091e-47,2.1581207884410039e-49,1.2850928003678217e-45,1.3720823165771959e-39,9.6820928753299647e-26,7.1112131555476865e-39,9.6424177127684115e-57,7.0489219563603149e-52,1.2438843247773159e-40,1.2557210131020918e-52,6.6362011360151173e-78,4.6408633840505792e-49,1.1467585709076845e-67,3.1983846686263867e-40,7.2141362901404436e-59,3.438998616485315e-30,6.1681703873413422e-46,2.3853542087417855e-49,5.0216513937342881e-40,3.1635933537392773e-74,3.6806184165656476e-80,1.2855243109627026e-47,3.3696911587266606e-60,9.2953915051143694e-77,0.88129999999999997,0.0,0.0,0.0,0.0098899999997056377,0.108803,0.0001,2.1646739586043326e-14,1.3519587360984067e-13,1.3519590886673152e-13,1.1244662515517289e-19,2.8859649236056639e-19,2.3205565198840669e-15,2.2117255561849095e-19,5.9285943822649749e-27,3.9924837058270142e-27,2.2726586234704123e-31,6.0375728678095059e-24,8.4382219912106238e-19,1.5109998984029575e-22,5.179498812249332e-32,1.5122253181264338e-35,5.6251982544608914e-38,3.4104719415075158e-41,7.1462499073086102e-19,3.5627990650305926e-48,1.4080728748215988e-54,7.1199581732422417e-57,9.9243612167551115e-64,1.628119038954639e-61,5.9208892226007889e-24,3.4389935979825844e-30,4.4978105259495811e-36,5.2101165580725622e-37,2.6511467191097449e-21,3.8759985652508069e-43,1.8507715915061246e-52,8.9499295850674259e-31,1.5990794903838817e-57
