Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693)
0.0,0.002178289615201513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.7591607715195693e-20,0.002178289615201513,5.174652443490402e-36,1.011368103540029e-31,1.1413398467106401e-22,4.7878608346709619e-36,2.7803457504327107e-22,6.0016726489767565e-38,1.207853368216104e-58,4.1718605832971025e-48,9.5585459507736682e-52,8.9674039903241205e-52,5.5558049099305615e-38,2.5940338093918902e-27,1.5006534704139171e-43,4.5444982826226622e-63,1.0547807060676813e-58,8.4111816583742078e-45,2.7574336778443272e-60,4.4832434678989962e-87,1.3308737500452676e-58,3.653746034488189e-75,7.3678841270479792e-46,3.0220362429408601e-69,8.8108841178142663e-39,1.5805457932271743e-56,7.3840618990702808e-52,1.1190847318288106e-47,7.8492378430939981e-77,5.9889916794208245e-91,3.0059733926214813e-57,4.450976768086705e-73,6.1928089152670312e-93,0.88129999999999997,0.0,0.0,0.0,0.0098899999999992917,0.108803,0.0001,2.5936406350870321e-17,2.9066003704374451e-16,2.9065970427758961e-16,5.6937367124592941e-26,5.6958302404598974e-26,1.0178890163267774e-16,3.5603381790473791e-26,7.8458819003365976e-37,9.7893614762045981e-37,2.2898861616033634e-41,5.4874355264976079e-30,2.8306180939328037e-24,1.2941196794979799e-28,1.5435588563452667e-41,2.8781467667038598e-44,1.1945632110188e-45,2.7873580447040334e-52,3.9974568827883229e-24,4.9682793196729181e-63,2.1499440828053218e-73,1.2851212670260547e-74,1.8194143079072916e-85,1.8666925833278323e-79,3.9911748066071696e-29,8.8108848533806232e-39,1.0792581994436411e-48,1.4279637318366317e-49,5.9364236851671835e-23,7.7910139884396132e-55,1.1786393186845599e-62,1.0483282717731526e-38,2.2484525793218469e-76,2.061530276654157e-29,3.1262165423611981e-34
1.0525650160254795e-19,0.002178289615201513,3.0001695478367886e-35,6.1086615411519308e-31,3.195751568188951e-22,2.8918679421716304e-35,7.7849684554250311e-22,3.6250104420041438e-37,7.2954343438624596e-58,2.5192809854442615e-47,5.7733617546989779e-51,1.0644424318468275e-50,1.5556253746452683e-37,7.2632946668329791e-27,9.0639469618584214e-43,5.3952283614841005e-62,1.25223565429124e-57,5.0803537219701144e-44,3.2736252784561234e-59,1.850022875811172e-85,2.9771111718169492e-57,1.1485654253509469e-73,8.7471515063596969e-45,9.503729549825718e-68,1.0460281620782321e-37,3.5356177159988696e-55,4.4599733867295039e-51,1.2555708794189121e-46,9.3186151664887694e-76,3.448671759615375e-89,6.7242418516769356e-56,1.8367079228241063e-71,7.0438564399697211e-91,0.88129999999999997,0.0,0.0,0.0,0.0098899999999980132,0.108803,0.0001,7.2621937782425473e-17,8.1384810342262277e-16,8.1384717179242383e-16,3.4377930350304726e-25,3.4402814623137797e-25,2.8500890201290942e-16,2.1504441862029967e-25,9.3063733436544955e-36,1.1591578788328221e-35,2.7185539932689543e-40,3.314411055365153e-29,1.7096932158168542e-23,7.8164828617638033e-28,1.832499721823727e-40,3.4169358383879307e-43,1.4181851505634699e-44,6.2352072186200413e-51,2.4144637977382584e-23,2.0501739767546748e-61,1.6184239344261304e-71,9.6740702893066316e-73,2.4834910946083242e-83,1.4051993807163857e-77,2.4106695822125967e-28,1.0460282492763783e-37,2.414256899389917e-47,3.1942976032889694e-48,1.6621979620746393e-22,1.7428186685726727e-53,2.6361720924110961e-61,1.2445752489339608e-37,1.692578658028778e-74,1.2451638594929247e-28,1.8891153831690626e-33
2.4058628937725248e-19,0.002178289615201513,1.4170645599312301e-34,2.9410571788142871e-30,7.3045750007422048e-22,1.39230992776787e-34,1.7794215282263434e-21,1.745286648658781e-36,3.5124375945141965e-57,1.2123931237705397e-46,2.7796251631285993e-50,1.0447171821809942e-49,3.5557151414085346e-37,1.6601816383857902e-26,4.3639002928016791e-42,5.2970671993171762e-61,1.2294523911403188e-56,2.445971626723348e-43,3.2140647430923639e-58,7.3185056866755541e-84,5.882269245248591e-56,2.5612961703138068e-72,8.5880040977451728e-44,2.1221337833932956e-66,1.0269966515675221e-36,6.9857847980712683e-54,2.1472851997858184e-50,1.194895387041365e-45,9.1490716272958366e-75,1.5458806615238653e-87,1.3285967086524541e-54,7.2658329895308725e-70,6.376772071282555e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999999954614,0.108803,0.0001,1.6599300064549006e-16,1.8602242349819096e-15,1.8602221060827851e-15,1.6539040254427045e-24,1.6563474295398731e-24,6.5144881253904238e-16,1.035346231555466e-24,9.1196088343498472e-35,1.1316904747270044e-34,2.6690929452638046e-39,1.5957462471463515e-28,8.2314357233784258e-23,3.7633000243757254e-27,1.7991308110573279e-39,3.3547678618369597e-42,1.3923819687340546e-43,1.2319713409752655e-49,1.1624602223160425e-22,8.1102809098420696e-60,1.2796385975080937e-69,7.6489932446618809e-71,3.9233055987783027e-81,1.1110485286588857e-75,1.1606336322941538e-27,1.0269967369074324e-36,4.7701625370052346e-46,6.3113931463746615e-47,3.7993064701051547e-22,3.4435160124912709e-52,5.2068996764400432e-60,1.2219312001019239e-36,1.338270483404683e-72,5.9949236304217942e-28,9.1042465699075931e-33
5.112458649266614e-19,0.002178289615201513,6.133186739916022e-34,1.2844368550365515e-29,1.5522221824235228e-21,6.0805832295028374e-34,3.7812714603355296e-21,7.6221267650903481e-36,1.5339737773610661e-56,5.2901679919848036e-46,1.2139353364115021e-49,9.2340217147681797e-49,7.5558946727704368e-37,3.5278859826478721e-26,1.9058299082925817e-41,4.6851959517396578e-60,1.087436717037972e-55,1.0682200710972512e-42,2.8428039242888857e-57,2.6119220995199613e-82,1.0467181173144564e-54,4.7929275009549868e-71,7.5959903740641598e-43,3.982045873325326e-65,9.0836690647986167e-36,1.2430830778505906e-52,9.3777586070253005e-50,1.0405714886223505e-44,8.0922502411918854e-74,5.8111005697118027e-86,2.364166255515775e-53,2.5931235405986126e-68,4.8330249314461852e-87,0.88129999999999997,0.0,0.0,0.0,0.0098899999999903562,0.108803,0.0001,3.5273512637143629e-16,3.9529764933144066e-15,3.952971971706275e-15,7.2121147611894547e-24,7.2337043600661676e-24,1.3843282726541634e-15,4.5216283413233674e-24,8.0353319081075619e-34,9.8980553284390451e-34,2.3607827110550201e-38,6.9690430777455522e-28,3.5948832290576792e-22,1.6435319892411315e-26,1.5912605182064721e-38,2.9672541707934071e-41,1.2315449769721509e-42,2.1922252710446757e-48,5.0767677694208665e-22,2.8944991708940663e-58,9.1463138524053289e-68,5.4671758928394976e-69,5.6121559962247004e-79,7.9413050255875359e-74,5.0687919892298687e-27,9.083669814786329e-36,8.4882412891949841e-45,1.1230784626114127e-45,8.0735127698518063e-22,6.1275528055536453e-51,9.2592037822736339e-59,1.0807840247659613e-35,9.5653897086126961e-71,2.6181368234682191e-27,3.9839441503646943e-32
1.0525650160254796e-18,0.002178289615201513,2.549353891376177e-33,5.3622708369649458e-29,3.195751530476723e-21,2.538523787066179e-33,7.7849735915199128e-21,3.1820890878945912e-35,6.4040385557932627e-56,2.2046452664621703e-45,5.0679410690616013e-49,7.7510318691325324e-48,1.5556253726835727e-36,7.2632946746004293e-26,7.9564647079541429e-41,3.9381895038918608e-59,9.1405608395016874e-55,4.4596085196235226e-42,2.3895480861716237e-56,8.8250904200190884e-81,1.76544219858692e-53,8.264457485429435e-70,6.3848842471316702e-42,6.9042285684583722e-64,7.6353711564446867e-35,2.0966412968373584e-51,3.9150296145744684e-49,8.6793682223959674e-44,6.8020239169672015e-73,2.0088190464014814e-84,3.9875099158989454e-52,8.7615740179315973e-67,3.3605857320703726e-85,0.88129999999999997,0.0,0.0,0.0,0.0098899999999801456,0.108803,0.0001,7.2621937782259728e-16,8.1384809908971836e-15,8.1384716911243283e-15,3.0018294320350794e-23,3.0199291527105412e-23,2.8500857491372494e-15,1.8876902711040455e-23,6.7028403757796424e-33,8.1380962437922662e-33,1.9843802454408876e-37,2.9094382793442855e-27,1.5007921381907164e-21,6.8614225072645571e-26,1.337465719288551e-37,2.494155901749124e-40,1.0351858984565405e-41,3.6975019088899722e-47,2.1194494147072629e-21,9.7798417596159746e-57,6.1856459666951475e-66,3.6974474200998331e-67,7.5940497143839345e-77,5.3707012833920128e-72,2.1161208688179864e-26,7.6353717787222333e-35,1.4316632345101363e-43,1.8942352166181346e-44,1.6621882504302994e-21,1.0335013589249965e-49,1.5596126093191844e-57,9.0846361752009463e-35,6.4690667004633487e-69,1.0930173876037226e-26,1.6698042046066225e-31
2.1352033182231158e-18,0.002178289615201513,1.0392667399789626e-32,2.1906625461349605e-28,6.4828101600014311e-21,1.0370697849697315e-32,1.5792386921752692e-20,1.29998820638104e-34,2.6162587075722676e-55,8.9749927762435551e-45,2.0704192921654691e-48,6.3372535876619221e-47,3.1556971800332222e-36,1.4734112072219103e-25,3.2504754497053725e-40,3.2287656943212485e-58,7.4939840306055629e-54,1.8218955956164537e-41,1.9590960488864472e-55,2.901493998240793e-79,2.8997411629973134e-52,1.3684743953436674e-68,5.2347083623193383e-41,1.1558966971247506e-62,6.2599385433432887e-34,3.4437396036718567e-50,1.5994173399438787e-48,7.0885697932196468e-43,5.5767101592320647e-72,6.6610626601133889e-83,6.5494903487265606e-51,2.8806109843942455e-65,2.2408495941003197e-83,0.88129999999999997,0.0,0.0,0.0,0.0098899999999597244,0.108803,0.0001,1.4731878807219927e-15,1.6509489910225386e-14,1.6509471082644742e-14,1.2189820984001594e-22,1.2337395788843904e-22,5.7815949271261727e-15,7.7118261771394814e-23,5.4130321734665053e-32,6.3921193557277431e-32,1.6269149307595055e-36,1.1886004536395825e-26,6.1312186793974251e-21,2.8031149623699283e-25,1.0963964476568105e-36,2.0448596672147544e-39,8.487048912569022e-41,6.0731368541700302e-46,8.658632671915776e-21,3.2153869863226851e-55,4.0691106823153158e-64,2.4322961444257281e-65,9.9933086146015702e-75,3.5330172830737265e-70,8.6450441625744993e-26,6.2599390401878022e-34,2.3515022073529307e-42,3.1112845241276197e-43,3.3718450514760045e-21,1.6975291382412728e-48,2.5548370588533055e-56,7.4481257777963053e-34,4.2555536882340396e-67,4.4653065363850791e-26,6.8755156856596868e-31
4.3004799226183875e-18,0.0021782896152015133,4.1964266295942825e-32,8.8550079992669422e-28,1.3056927152723443e-20,4.1920017867145382e-32,3.1807249853673984e-20,5.2547681434222433e-34,1.057533599087489e-54,3.6024198061350046e-44,8.3689658315865555e-48,5.1039336673030723e-46,6.3558407808788908e-36,2.9675746922310707e-25,1.3138941502325969e-39,2.6147381765669724e-57,6.068822570669939e-53,7.3643933089462261e-41,1.5865270283560376e-54,9.4109090412943651e-78,4.7005958210051932e-51,2.215832605621546e-67,4.2391936393756761e-40,1.9130436026168027e-61,5.0694604668228084e-33,5.5824502264937473e-49,6.4651005979490257e-48,5.7295093386327971e-42,4.516164458547853e-71,2.1586752015080551e-81,1.061698449337334e-49,9.3431741210102231e-64,1.4637023399045977e-81,0.88129999999999997,0.0,0.0,0.0,0.0098899999999188838,0.108803,0.0001,2.9671248865090778e-15,3.325150744938262e-14,3.3251469676422797e-14,4.8687825222087627e-22,4.9869724915435227e-22,1.1644590183286037e-14,3.1172397898826065e-22,4.2558609184067832e-31,4.7742626986296203e-31,1.3175180387646313e-35,4.804512944505156e-26,2.4783310403486982e-20,1.1330638740977562e-24,8.8766561099150367e-36,1.6559803239844675e-38,6.8729828252226387e-40,9.8447480312717358e-45,3.4999498859661825e-20,1.0428959169912618e-53,2.6401598847007363e-62,1.5781459991392206e-63,1.2969299212149748e-72,2.2923299491444623e-68,3.4944650245434311e-25,5.0694608475800541e-33,3.8118573804089763e-41,5.0435181593159558e-42,6.7910900715677626e-21,2.7517680557533889e-47,4.1195244229956264e-55,6.0316726796632688e-33,2.7611296646250615e-65,1.8049271674481662e-25,2.822704704937235e-30
8.631033131408931e-18,0.002178289615201513,1.6864734828352291e-31,3.5605595930897145e-27,2.6205160072852813e-20,1.685585403074677e-31,6.3837120803336952e-20,2.1129255629769881e-33,4.2522960827472892e-54,1.4284167303654967e-43,3.3651243697921127e-47,4.0634997992433902e-45,1.2756127927155708e-35,5.9559016841910871e-25,5.2831106142794121e-39,2.1045687710886116e-56,4.8847163934311728e-52,2.961190172150146e-40,1.2769753875988866e-53,3.0318386286461919e-76,7.5701338581660426e-50,3.530515313380297e-66,3.4120574971344689e-39,3.1827450330188947e-60,4.0803427114423959e-32,8.9903637610126636e-48,2.5995885047418708e-47,4.6071926407574868e-41,3.6350020305276934e-70,6.8825002067998501e-80,1.709825665559871e-48,3.0100160420269989e-62,9.4634709988644322e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999998372026,0.108803,0.0001,5.9549988980364252e-15,6.6735541359247145e-14,6.6735466106927859e-14,1.9121744217067012e-21,2.0052395894442207e-21,2.3370488297061916e-14,1.2534254730085274e-21,3.2363380508179972e-30,3.3228429587310317e-30,1.0604533611002779e-34,1.9318734198257684e-25,9.9652152413734238e-20,4.5559999119954689e-24,7.141091226480094e-35,1.3328769497607333e-37,5.5318949509655374e-39,1.5854442518406969e-43,1.4073081190469501e-19,3.3597820822023477e-52,1.7012856149527976e-60,1.0169373194256399e-61,1.6715406453693527e-70,1.4771527713815537e-66,1.4051089782838717e-24,4.0803429831378447e-32,6.1387852934763038e-40,8.1224043307537389e-41,1.3629305794780052e-20,4.4316381728272741e-46,6.5646690337527096e-54,4.8547945028910946e-32,1.7792370350335831e-63,7.2573628457596038e-25,1.169987751340015e-29
1.7292139548990018e-17,0.002178289615201513,6.7617302246313317e-31,1.427943511943087e-26,5.2501621651812667e-20,6.7599507350289227e-31,1.278974430459247e-19,8.4738279010698813e-33,1.7053609120244562e-53,5.5726117617177266e-43,1.3495653947562018e-46,3.1913336253025101e-44,2.555670199805125e-35,1.1932555755877871e-24,2.1187636689128712e-38,1.6887839129647722e-55,3.9196772977785845e-51,1.1875697114466983e-39,1.0246929861602753e-52,9.7345268678783316e-75,1.2151642492726785e-48,5.5256366529592544e-65,2.7379382353516306e-38,5.4198087275518659e-59,3.2742178858513358e-31,1.443152415882267e-46,1.0425512536671196e-46,3.6952126452885984e-40,2.9168601679238203e-69,2.1556274504365243e-78,2.7446265284651838e-47,9.6644534693301311e-61,6.0874608096240075e-78,0.88129999999999997,0.0,0.0,0.0,0.0098899999996738385,0.108803,0.0001,1.1930746920903832e-14,1.3370360472303753e-13,1.3370345593973444e-13,7.32626548450617e-21,8.0419066911821503e-21,4.6821914936262903e-14,5.0267732139191892e-21,2.3375267504309652e-29,2.0938076628356602e-29,8.5094738778184586e-34,7.7476756352853929e-25,3.9964610268272896e-19,1.8271596659227572e-23,5.7244846615852739e-34,1.0695496796032913e-36,4.4388696294271924e-38,2.5449182994629315e-42,5.6438841653542866e-19,1.0787260059297507e-50,1.0925236206670967e-58,6.5305205472503765e-60,2.1469025901769118e-68,9.4859664764396417e-65,5.6351151414999969e-24,3.2742180480688191e-31,9.8538097537950289e-39,1.3038173737567393e-39,2.7304640061531712e-20,7.1137624971759177e-45,1.0320732839314069e-52,3.8956340837684565e-31,1.1425821302031143e-61,2.9103908193096143e-24,4.9728123320036245e-29
