Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445)
0.0,0.0024677037888185495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.395914064704053e-20,0.0024677037888185495,6.9714232060238129e-36,1.2592447334575815e-31,1.7061174399482988e-22,6.3177745050566899e-36,3.1363947135200193e-22,5.9758352843136316e-38,2.5143259373524989e-58,6.5144810264897549e-48,1.3320803491046565e-51,1.0805750183502932e-51,1.0878958738544027e-37,2.9471456765039129e-27,1.5490899410508623e-43,5.0991541762103789e-63,1.2755117976144677e-58,9.268620193737347e-45,2.6207624802239358e-60,9.3742235321187559e-87,1.9806228925765249e-58,5.451491031701235e-75,1.352407313179497e-45,2.8230172398855821e-69,9.6776770822577815e-39,1.79566666278083e-56,1.1529118268809031e-51,1.2653771974869106e-47,1.579557716024966e-76,7.8771538725293483e-91,4.4151138627652736e-57,5.776311476265297e-73,6.3350620909848627e-93,0.88129999999999997,0.0,0.0,0.0,0.009889999999999264,0.108803,0.0001,2.8293852059809387e-17,2.8572077834025218e-16,2.8572036059237461e-16,4.5085089309982221e-26,4.510109032590095e-26,1.3574596823456767e-16,2.7867552726700192e-26,6.0816373448504427e-37,7.5005398094055792e-37,1.6020309252435954e-41,4.7405230981873614e-30,3.4498153351958322e-24,1.1172755746754429e-28,1.1395342962398601e-41,2.7123894682040801e-44,1.2885263699559393e-45,2.9663928693814364e-52,5.0163840875051962e-24,4.987872186067879e-63,1.729228245326437e-73,1.3638910289550108e-74,1.5397689322659732e-85,1.6911989641161782e-79,4.4170153278757103e-29,9.6776784335952848e-39,9.4390460428862391e-49,1.2590773550375179e-49,6.6472553129362293e-23,7.7149222896952553e-55,1.1325502935001779e-62,1.4351145524962749e-38,1.8005965346696278e-76,2.0927681459147592e-29,3.9916186712781102e-34,6.1993198359970969e-44
9.508559381171347e-20,0.0024677037888185495,3.9989573891584212e-35,7.605834661015013e-31,4.7771288286296556e-22,3.8159357988980558e-35,8.7819055033085806e-22,3.6094046380520883e-37,1.5186528661665656e-57,3.9341165119239606e-47,8.0457653091915005e-51,1.2827017495172024e-50,3.04610844658108e-37,8.2520078947891573e-27,9.356503244495001e-43,6.0537158383904171e-62,1.5142876061867748e-57,5.5982465973441578e-44,3.1113692304569622e-59,3.8682994073547889e-85,4.4305739477558017e-57,1.7137702690833487e-73,1.6055778719135308e-44,8.8796403970783908e-68,1.1489338228190871e-37,4.0168344962879024e-55,6.9635874339725747e-51,1.3882596081426409e-46,1.8752509203688571e-75,4.5361463008245713e-89,9.8764325758575317e-56,2.3836109791611005e-71,7.2056349694183546e-91,0.88129999999999997,0.0,0.0,0.0,0.0098899999999979404,0.108803,0.0001,7.9222785767453611e-17,8.0001817911628061e-16,8.0001700951222529e-16,2.7222029675433059e-25,2.724105853432935e-25,3.8008868309462986e-16,1.6832001293518464e-25,7.2135277883734858e-36,8.8808244399852075e-36,1.9019321271188414e-40,2.8632759485832958e-29,2.0836883345460151e-23,6.7483444693748055e-28,1.352845903424613e-40,3.2201487733486883e-43,1.5297381939804456e-44,6.6357008983133137e-51,3.0298958028556502e-23,2.0582590316781513e-61,1.3017196167144245e-71,1.0267029309374314e-72,2.1017766124383223e-83,1.2730921792059012e-77,2.6678772570567658e-28,1.1489339831375614e-37,2.1114764134062089e-47,2.8165055567894859e-48,1.8612308074667364e-22,1.7257972594451902e-53,2.5331736771012626e-61,1.7037679008883493e-37,1.3554438737498853e-74,1.2640315657117973e-28,2.4118221678374008e-33,7.362305147750475e-43
2.1733850014105937e-19,0.0024677037888185495,1.8790423080969063e-34,3.6618812111176052e-30,1.0919151593090047e-21,1.837208822836208e-34,2.0072928304695806e-21,1.7377730895521188e-36,7.3116598258754378e-57,1.8934663010977171e-46,3.8736896560897881e-50,1.2590289433020751e-49,6.962533591189444e-37,1.8861732333672465e-26,4.5047535493982811e-42,5.9435741090028007e-61,1.4867365514819415e-56,2.6953147528290102e-43,3.0547607886159457e-58,1.5302606168415294e-83,8.7540664759514714e-56,3.8220718469008776e-72,1.5763656843332345e-43,1.9839701323720647e-66,1.1280300395096325e-36,7.9365880637489735e-54,3.3526675919871422e-50,1.3039293540168592e-45,1.841132473493956e-74,2.0335400676212066e-87,1.9514164154285285e-54,9.4293269063893683e-70,6.5232232542873432e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999999952932,0.108803,0.0001,1.8108065318269145e-16,1.8286129797233849e-15,1.8286103067662326e-15,1.3096707168322737e-24,1.3115397033000819e-24,8.6877400096614111e-16,8.1038835028181863e-25,7.0683602135934294e-35,8.6692109901744299e-35,1.8673286925326496e-39,1.3785441128699363e-28,1.0032061076065702e-22,3.2490373686599601e-27,1.3282126155837759e-39,3.1615611538984759e-42,1.5019053682843042e-43,1.3111021164994538e-49,1.4587642136503139e-22,8.1422646158420393e-60,1.0292301285579332e-69,8.1178279593266673e-71,3.3202905439856586e-81,1.0065953649398405e-75,1.2844680558760002e-27,1.1280301966733589e-36,4.1719197184132537e-46,5.5649398251147249e-47,4.2542386391944347e-22,3.4098845744932703e-52,5.0038334079385042e-60,1.6727692253004859e-36,1.0717082658576904e-72,6.0857638520129606e-28,1.1620894443619999e-32,7.2335923754418584e-42
4.618443127997511e-19,0.0024677037888185495,8.1124696593876994e-34,1.5992395711737123e-29,2.3203197070401525e-21,8.0235735880011324e-34,4.2654978794710692e-21,7.5893127598974812e-36,3.1931939404796325e-56,8.2636335405665035e-46,1.6917420442835192e-49,1.1130002105009068e-48,1.4795383877026214e-36,4.008118122069031e-26,1.9673442259857817e-41,5.2570239920433381e-60,1.3150016432518934e-55,1.1771147651111668e-42,2.7019013728721001e-57,5.4613903002740092e-82,1.5577389886276988e-54,7.1535987625616962e-71,1.3942772557872188e-42,3.7273980109564699e-65,9.9772979395593662e-36,1.4122734387963862e-52,1.4641980195366831e-49,1.127859153279257e-44,1.6284608222659888e-73,7.6457219750558829e-86,3.4724404272055774e-53,3.3652590190383612e-68,4.9440207193532754e-87,0.88129999999999997,0.0,0.0,0.0,0.0098899999999899971,0.108803,0.0001,3.8479638801296456e-16,3.8858025771637505e-15,3.8857968989314681e-15,5.71132144386824e-24,5.7278384364946912e-24,1.8461441893149154e-15,3.5391783385276774e-24,6.2272560931487151e-34,7.5802833008415454e-34,1.6516312753180254e-38,6.0204642925092948e-28,4.3812634930592874e-22,1.4189399772605593e-26,1.174754303526087e-38,2.7963650246359853e-41,1.3284171124456552e-42,2.3330341627375994e-48,6.3708049081715937e-22,2.9059139518395632e-58,7.3565004268194586e-68,5.802279124305343e-69,4.7495634044173592e-79,7.1947178918965676e-74,5.6096094512094496e-27,9.9772993254226611e-36,7.4237015833922702e-45,9.9025111784987514e-46,9.0402434202005123e-22,6.0677074517706255e-51,8.8994362472265912e-59,1.4795450751544451e-35,7.6601161427169165e-71,2.6578094318017801e-27,5.0830652879592074e-32,6.4073476254420447e-41
9.508559381171347e-19,0.0024677037888185495,3.3679861142077801e-33,6.6765100535875931e-29,4.777128781858714e-21,3.3496840125022719e-33,8.7819099323702143e-21,3.1683896204478796e-35,1.3330956120159629e-55,3.4452058769115925e-45,7.0626900192270943e-49,9.345414251819072e-48,3.0461084435179911e-36,8.2520079031730999e-26,8.2132748751375738e-41,4.4188454272342049e-59,1.1053381163193133e-54,4.9142224312782282e-42,2.271110988681776e-56,1.8452795743210426e-80,2.6273532464255131e-53,1.2339776772999641e-69,1.1719734726326153e-41,6.478668713503415e-64,8.3865200709944895e-35,2.3820055697718111e-51,6.1127385007057832e-49,9.375309183311687e-44,1.3688194426034184e-72,2.6440366822688315e-84,5.8567755548261855e-52,1.1370444389347947e-66,3.4377651200140105e-85,0.88129999999999997,0.0,0.0,0.0,0.0098899999999794066,0.108803,0.0001,7.9222785767270034e-16,8.0001817569966356e-15,8.0001700738908324e-15,2.3774105220265837e-23,2.3912597776778556e-23,3.8008827764371096e-15,1.4775368736059792e-23,5.1934227273023843e-33,6.2292068345614404e-33,1.3882957053695421e-37,2.5134253086942914e-27,1.8290903063462239e-21,5.9237950737729132e-26,9.8739338386248941e-38,2.3505132759046198e-40,1.1166126456703563e-41,3.934996363800614e-47,2.6596842485325158e-21,9.8184098831086218e-57,4.9751964517285324e-66,3.924077601799778e-67,6.4268387148587306e-77,4.865784590986921e-72,2.3419015131662479e-26,8.3865212287766116e-35,1.2521135346900151e-43,1.6702026049341318e-44,1.8612209452613798e-21,1.0234075630035525e-49,1.4994636147329325e-57,1.2436461774514872e-34,5.1805315721953494e-69,1.1095801688184192e-26,2.1286948067584811e-31,5.4014355907047156e-40
1.928879188751902e-18,0.0024677037888185495,1.3721679065504182e-32,2.7275721172015499e-28,9.6907468489208121e-21,1.3684552034265802e-32,1.7814741857753147e-20,1.2943913093708732e-34,5.4461305535859324e-55,1.4036520315684817e-44,2.8853393263754976e-48,7.6455493307876009e-47,6.1792485497407951e-36,1.6739787480183229e-25,3.3553907824639057e-40,3.6228364606834165e-58,9.0622297008672734e-54,2.0076202123039622e-41,1.8619941393686007e-55,6.0668704237369769e-79,4.3154315170730313e-52,2.044877269220009e-68,9.6085372189433703e-41,1.089932554590574e-62,6.8757758062175733e-34,3.912451278272638e-50,2.4972531289194067e-48,7.6438162688859341e-43,1.1222408785894196e-71,8.7740967845640354e-83,9.6197623413848484e-51,3.738349892750509e-65,2.2923130317064719e-83,0.88129999999999997,0.0,0.0,0.0,0.0098899999999582239,0.108803,0.0001,1.6070907969889305e-15,1.622894005684731e-14,1.6228916386325118e-14,9.656132615747314e-23,9.7690763031497656e-23,7.7103527923931932e-15,6.0362168552335778e-23,4.1922131628172196e-32,4.8879916924274151e-32,1.1382087745584825e-36,1.0268162330257653e-26,7.4724229009573385e-21,2.4200635662297975e-25,8.0942900967728274e-37,1.9270927612991923e-39,9.1546326202867862e-41,6.4632211517084373e-46,1.0865666620776688e-20,3.228067445762786e-55,3.2728394179831827e-64,2.5813806581866359e-65,8.4573301484738671e-75,3.2008669385782502e-70,9.56743176502324e-26,6.8757767437620396e-34,2.0565928670938078e-42,2.7433106799800381e-43,3.7755967400632171e-21,1.6809500406156746e-48,2.4577760535854365e-56,1.019615277975897e-33,3.407915277603397e-67,4.5329729301711742e-26,8.7504718931616902e-31,4.4541267807409993e-39
3.8849256900214364e-18,0.0024677037888185495,5.5389923128848738e-32,1.1025282261879059e-27,1.9517982652744151e-20,5.5315146228688214e-32,3.5880436986857409e-20,5.2321428319929184e-34,2.2014130459866887e-54,5.643049252937726e-44,1.1663002912547559e-47,6.1651904772258713e-46,1.244552874055466e-35,3.3715346693411427e-25,1.3563026051654295e-39,2.9338669007869291e-57,7.3388285758467013e-53,8.1151219051352611e-41,1.5078913499490315e-54,1.9677715754596341e-77,6.9954872270970832e-51,3.3161884536185716e-67,7.7812273552763566e-40,1.8209291978595354e-61,5.5681814493147424e-33,6.3422520472798623e-49,1.0094296404650733e-47,6.1729874114471501e-42,9.0881975784969991e-71,2.8477848109283277e-81,1.5594019814553828e-49,1.2125225875899084e-63,1.4973177802800835e-81,0.88129999999999997,0.0,0.0,0.0,0.0098899999999158602,0.108803,0.0001,3.2368166756084242e-15,3.268645642023813e-14,3.2686408861255946e-14,3.8583272182227927e-22,3.9488167247229724e-22,1.552926419125698e-14,2.4399326300118091e-22,3.2932298172712893e-31,3.644494828297128e-31,9.2175106827591282e-36,4.1505552533987246e-26,3.0204664898307255e-20,9.7822837888853142e-25,6.5534157823113718e-36,1.5606096258096918e-38,7.4136062423576521e-40,1.0477088057955842e-44,4.3920669845294458e-20,1.0470088612448591e-53,2.1235156273547405e-62,1.6748766129753395e-63,1.0975909919593639e-72,2.0768204078421724e-68,3.8673088410618273e-25,5.5681821896524159e-33,3.3338017565876202e-41,4.447017975915624e-42,7.6042786842133783e-21,2.7248925996971459e-47,3.9677363620887613e-55,8.2570927382634207e-33,2.2111568814796478e-65,1.8322806453968775e-25,3.5807847537109176e-30,3.6486985391204674e-38
7.797018692560505e-18,0.00246770378881855,2.2256984023226502e-31,4.4332173111611708e-27,3.9172452939181486e-20,2.2241976156875746e-31,7.2011952358418045e-20,2.1038266102994352e-33,8.8517850369833866e-54,2.2446489088176563e-43,4.689642198923914e-47,4.9203551882219523e-45,2.4978089035655414e-35,6.7666465356699519e-25,5.453633146479065e-39,2.3614313329513417e-56,5.9069277174558582e-52,3.2630548394378808e-40,1.2136824968623387e-53,6.3394169596643593e-76,1.1265973918282807e-49,5.2999239111125291e-66,6.2629842539815259e-39,3.0835170317012229e-60,4.4817567464716045e-32,1.0214001163896694e-47,4.0588721736276916e-47,4.9616637349910508e-41,7.3149720392578655e-70,9.1069738448601608e-80,2.5113593206883253e-48,3.9062886028944676e-62,9.6808094264777304e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999998311328,0.108803,0.0001,6.4962684327955476e-15,6.5601488224445837e-14,6.560139321136666e-14,1.5164966072320876e-21,1.5878017482456392e-21,3.1166972457629884e-14,9.8108398149064722e-22,2.5004047172673631e-30,2.5294417314532246e-30,7.4190558600680173e-35,1.6689199047808288e-25,1.2145112081601844e-19,3.9334132238212763e-24,5.2722653839339436e-35,1.256114307531648e-37,5.9670305950327638e-39,1.6872795591412601e-43,1.7660234264022365e-19,3.3730329157183183e-52,1.3683668423005748e-60,1.0792694995355537e-61,1.4146240725312789e-70,1.3382804659541856e-66,1.555027836998568e-24,4.4817573119191451e-32,5.3689079566208655e-40,7.1617632812518982e-41,1.5261364000857473e-20,4.3883560009002444e-46,6.3376635881657295e-54,6.6460006114443498e-32,1.4248417880933842e-63,7.3673631629946188e-25,1.4749635312399449e-29,3.0038052550271986e-37
1.5621204697638644e-17,0.0024677037888185495,8.9230336101535985e-31,1.7779182806378586e-26,7.8481388227171084e-20,8.9200265483453023e-31,1.4427548355493636e-19,8.4373256859394598e-33,3.5499617061811437e-53,8.8113865210818582e-43,1.8807562900226362e-46,3.8826415247088135e-44,5.0043209279749025e-35,1.3556870363060177e-24,2.1871508316456919e-38,1.8948999438886649e-55,4.7399375135557417e-51,1.3086309447250827e-39,9.7390433815204721e-53,2.0354401655065277e-74,1.8084246405518451e-48,8.344831203001025e-65,5.0256111591203321e-38,5.417814447010045e-59,3.5963273697118735e-31,1.6395733165659875e-46,1.6277892702290227e-46,3.9786602117298242e-40,5.8698043369322035e-69,2.8692160429140623e-78,4.0312574034069273e-47,1.2542180832831226e-60,6.2272656886605468e-78,0.88129999999999997,0.0,0.0,0.0,0.0098899999996616781,0.108803,0.0001,1.3015171946962336e-14,1.3143154831015161e-13,1.3143135951258482e-13,5.8187341609509986e-21,6.3677944578299715e-21,6.2441930871667549e-14,3.9345679453255062e-21,1.8011542475203278e-29,1.5877253926915082e-29,5.9533272182549301e-34,6.6931143988950059e-25,4.8706923790678359e-19,1.5774745797763537e-23,4.2266642115392894e-34,1.0079524815556843e-36,4.7880303709514693e-38,2.7083829746729288e-42,7.0824845307699897e-19,1.0829808504611204e-50,8.787317224050153e-59,6.9308049469935075e-60,1.8169233231636601e-68,8.5941540232937012e-65,6.2363568171472736e-24,3.5963277745963842e-31,8.6180391199900745e-39,1.1496145287679569e-39,3.0574420428777445e-20,7.0442847737452016e-45,1.000965291123774e-52,5.3329552537708851e-31,9.1499857796649561e-62,2.9545164409098161e-24,6.1971474679528375e-29,2.517909500649546e-36
