Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160)
0.0,0.0019932514560034587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8818930621651447e-18,0.0019932514560034587,1.5758663547821464e-37,1.0848190545250074e-32,4.6561603793982984e-25,1.5757013229566982e-37,2.5322832755773093e-23,4.9583109101140313e-38,4.4558500674903661e-64,5.9157834886336006e-51,1.3056008027971504e-54,1.2446036397189967e-52,1.4700113908573739e-42,2.0140018862800095e-28,5.5600880555279002e-44,2.8362433238680151e-64,1.609995597436067e-59,9.1959561592130053e-46,4.2959435915485829e-60,1.2363916472787632e-90,2.5817968878327079e-59,7.2552462314903658e-77,3.4262211093103859e-48,4.2952604423442533e-68,6.9867941693737857e-38,5.2635160970796707e-56,1.0746077087022026e-54,1.2623563034192414e-47,5.1259815616353539e-82,1.1030880878230583e-91,7.2139972377885815e-58,9.4718868292869887e-73,9.1340774957299588e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999999993247,0.108803,0.0001,3.8281609131040121e-17,3.1703518212189695e-16,3.170351640499934e-16,2.8069338402470874e-24,2.8210667731554608e-24,3.4512970597354299e-18,2.1834558777771139e-24,4.3552644391094986e-34,6.6794061314897239e-34,1.0053608498372746e-38,5.4842776934789883e-29,3.8708372713530748e-24,1.3811339274283743e-27,2.3008242264453435e-39,4.2456415455238805e-43,1.408501692184282e-45,3.0721806863238549e-51,3.199846832999817e-24,1.2455376036050139e-60,2.7030817356605996e-69,8.9158913317093429e-72,6.9057338087769489e-81,2.8490575007324999e-76,3.582074959428583e-29,6.986794116064177e-38,4.8118564661674215e-46,5.533662770546636e-47,5.5468566105497086e-24,3.7515316569558705e-53,8.9495835770324091e-62,1.2385772064288927e-38,3.0819979435783132e-72,9.0493251500712864e-29,2.5085558027852719e-35,4.3775613281051345e-44,3.0148690260657547e-52,1.9476343294358824e-52,1.7335538991372836e-53,8.961740423049437e-62,6.6379945178043445e-39,5.9066716681449028e-47,1.9498848615165018e-56,3.3623093223320064e-49
5.2693005740624055e-18,0.0019932514560034587,9.5176962583294732e-37,6.5523069663407733e-32,1.3037248770181697e-24,9.5172358119736628e-37,7.0904287085018278e-23,2.9948324471576696e-37,2.6913334226361007e-63,3.5011793162030129e-50,7.8858288460103169e-54,1.4712930196240924e-51,4.1160318748162213e-42,5.6392052815263787e-28,3.3582931855105185e-43,3.3671880729645819e-63,1.9113867715500889e-58,5.5543575201009233e-45,5.100144335690399e-59,5.1019960185419486e-89,5.7753661134288406e-58,2.2351239761197645e-75,4.0676021420054508e-47,1.3233439692067297e-66,8.2947219581104462e-37,1.1774274857037466e-54,6.4906305412681787e-54,1.4985636984767393e-46,6.0855652506733139e-81,6.227221142904888e-90,1.6137394612900661e-56,3.9085938636990363e-71,1.0389353939490938e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999999981069,0.108803,0.0001,1.0718850556683067e-16,8.8769849385382236e-16,8.876984501992912e-16,1.6872196192324373e-23,1.7039243106972363e-23,9.6636082775764396e-18,1.318806597396636e-23,5.1517962000489518e-33,7.8372664361648072e-33,1.1935644253845646e-37,3.3125036783794551e-28,2.337980969780638e-23,8.3420487955160163e-27,2.7310113517939659e-38,5.0404255625121151e-42,1.6721699827768219e-44,6.8723326393584233e-50,1.9327035670376606e-23,5.1397365419146573e-59,2.0348088449276868e-67,6.7116485246388134e-70,9.4262759857253262e-79,2.1446965247393604e-74,2.1635732527740227e-28,8.2947218384998438e-37,1.0763878092623669e-44,1.2378572651065756e-45,1.5530905174924445e-23,8.3920263274907741e-52,1.9938312374509426e-60,1.4704361279547085e-37,2.3200470034025801e-70,5.4657058863665669e-28,1.8689905807734516e-34,6.308431771124237e-43,8.1218921240366927e-51,5.246822747160652e-51,4.6701080497110575e-52,4.4279487914555587e-60,4.0093486120894593e-38,7.0124006054723143e-46,4.3402206869809293e-55,3.9917286048059481e-48
1.2044115597856926e-17,0.0019932514560034587,4.5822437158708088e-36,3.1546536264540811e-31,2.979942438321102e-24,4.5821391791304889e-36,1.6206861721886389e-22,1.4418957950479337e-36,1.2957611724131183e-62,1.6137722984496966e-49,3.7966871301803294e-53,1.4273399479006465e-50,9.4080727643962162e-42,1.2889612071788549e-27,1.6168736065051541e-42,3.305925214771795e-62,1.8766108630208214e-57,2.6741840510034984e-44,5.0073521605460899e-58,2.0182912429982453e-87,1.1411105873218069e-56,4.7802111086780851e-74,3.9935798923033458e-46,2.830945003830443e-65,8.1438070365345799e-36,2.3263982500485482e-53,3.1249591896306419e-53,1.4712439085592762e-45,5.9748439243247367e-80,2.678694083171138e-88,3.1884648492816408e-55,1.5461949530313392e-69,9.4054424434414188e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999999956748,0.108803,0.0001,2.450022984380852e-16,2.0290250536096179e-15,2.0290249859351274e-15,8.0412007193168257e-23,8.2036618720357535e-23,2.2088136755237955e-17,6.3494784026098805e-23,5.0187384080999118e-32,7.505558786101477e-32,1.1718486694191816e-36,1.594827880910011e-27,1.1256323653632344e-22,4.0163372727413928e-26,2.6802071531939046e-37,4.9487195374564064e-41,1.641739571284345e-43,1.357851642695303e-48,9.3050957891872028e-23,2.0332205710966238e-57,1.6088558056222895e-65,5.3066776873584457e-68,1.4891147080182084e-76,1.6957418799849591e-72,1.0416673641205469e-27,8.1438067998021606e-36,2.1267382884607973e-43,2.445793199162312e-44,3.5497829034191492e-23,1.6581230094743416e-50,3.8942745651720924e-59,1.443677124141784e-36,1.8343841520236782e-68,2.6314140012942937e-27,1.2602056334213054e-33,8.5476924304095899e-42,2.2004819448132262e-49,1.4215345958274921e-49,1.2652877361534105e-50,2.386453363865479e-58,1.9303286912647978e-37,6.884816501080681e-45,8.483612375432698e-54,3.9190921767665653e-47
2.5593745645445966e-17,0.0019932514560034587,2.001162372007446e-35,1.3777200091825424e-30,6.3323770935093118e-24,2.001140403192333e-35,3.4440296338750766e-22,6.2972509895279357e-36,5.6589293044131601e-62,6.4442641252917643e-49,1.6581130150408996e-52,1.2269091083363836e-49,1.9992154230205409e-41,2.739042565139082e-27,7.0613118300856302e-42,2.9240534097441462e-61,1.6598410498962867e-56,1.167886432121207e-43,4.4289466472866241e-57,7.2030833337420136e-86,2.0305294708374258e-55,8.2114182090137811e-73,3.5322477065501986e-45,4.8659543598918468e-64,7.2031047975536997e-35,4.1397012146682982e-52,1.3647517688734894e-52,1.3012748840222921e-44,5.2846815644700538e-79,9.256819721641222e-87,5.6736585524723755e-54,5.5182176338029459e-68,7.1284880817573995e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999999908089,0.108803,0.0001,5.2062988417928811e-16,4.3116779232445481e-15,4.3116779111557754e-15,3.4417369304715703e-22,3.5827544875235788e-22,4.6936817884163192e-17,2.7729773019762703e-22,4.3706224718914178e-31,6.325191358439585e-31,1.0364869421660397e-35,6.9650319305190092e-27,4.9158898327001569e-22,1.7540398953638766e-25,2.3686300319993398e-36,4.3770860911843281e-40,1.452087902402529e-42,2.4162048636422558e-47,4.0637447171844133e-22,7.2563618430495673e-56,1.1499337402926245e-63,3.7929612471479664e-66,2.1301132164189789e-74,1.2120379698401467e-70,4.5492348463009301e-27,7.203104375951836e-35,3.784336229690132e-42,4.3521434475575677e-43,7.5426984226543649e-23,2.9505413891684543e-49,6.7415175391475922e-58,1.2769057747681008e-35,1.3111306988440474e-66,1.1491302250414603e-26,8.6696025333752679e-33,1.174758409795958e-40,6.0452476331544319e-48,3.9053019404024692e-48,3.4760750436631531e-49,1.3013927514283499e-56,8.4302518640421022e-37,6.0895422386824749e-44,1.477768417010954e-52,3.4663737271070571e-46
5.2693005740624046e-17,0.0019932514560034587,8.3544106119403533e-35,5.7517089172653349e-30,1.3037244534193781e-23,8.3543659216373604e-35,7.0909439932494269e-22,2.6290729573354469e-35,2.3624914525719051e-61,2.2402993302502694e-48,6.9222954157743693e-52,9.6234663517240669e-49,4.1160315908420691e-41,5.6392052806908665e-27,2.9479586866548116e-41,2.4578430710735852e-60,1.3951964044225077e-55,4.8756959547251925e-43,3.7227971389659637e-56,2.4337220529564491e-84,3.4247312521986104e-54,1.1891256715729608e-71,2.9690191172606767e-44,7.0576365465665506e-63,6.0546430963069251e-34,6.9822105884910592e-51,5.6975701268488974e-52,1.0937900479939493e-43,4.4420929046479707e-78,2.6960155307552999e-85,9.5693049705992889e-53,1.8644524116291847e-66,4.9567082244006455e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999999810771,0.108803,0.0001,1.0718850556564686e-15,8.8769826999724148e-15,8.8769831765930734e-15,1.3814645166388399e-21,1.4957293202845322e-21,9.6632676881894882e-17,1.1576578158092175e-21,3.5637179311629828e-30,4.8559316926755801e-30,8.7122983552233699e-35,2.9077633796339078e-26,2.0522517706121658e-21,7.3227703855222145e-25,1.9876486539275175e-35,3.6792041104002261e-39,1.2205469271732156e-41,4.07521657012301e-46,1.6965041070858807e-21,2.4517214930187685e-54,7.7768841208302076e-62,2.5651408489084456e-64,2.8823071795005352e-72,8.1969182691064285e-69,1.8992158265329906e-26,6.0546423849427084e-34,6.3825631011526735e-41,7.3404758575550146e-42,1.5526652891946365e-22,4.9765196057607234e-48,1.0638887488284053e-56,1.0732989287821807e-34,8.8670427080248276e-65,4.7967457247089446e-26,6.2647779207916228e-32,1.6917362425024904e-39,1.7381645876750603e-46,1.122879651067454e-46,9.9947757405120232e-48,7.37122534253173e-55,3.5194636537224622e-36,5.118627209293487e-43,2.3914355527751948e-51,2.913664162469437e-45
1.0689152593098021e-16,0.0019932514560034587,3.4130392123535557e-34,2.349760017507852e-29,2.6446971936624416e-23,3.4130299830834741e-34,1.4385682455723007e-21,1.0741394208332054e-34,9.6515473361576388e-61,6.3706184268735847e-48,2.8279835284485743e-51,6.7145833223942529e-48,8.3496634251239418e-41,1.1439530710321033e-26,1.2043373128615581e-40,2.0150882344055625e-59,1.1438662886193979e-54,1.9918808871572463e-42,3.0521750294595869e-55,8.0013022991364818e-83,5.6249556508494829e-53,1.3960802882119703e-70,2.4341026818407435e-43,8.3268879042367363e-62,4.9639613872433977e-33,1.146829994752657e-49,2.3276441471229949e-51,8.9675094569106003e-43,3.6418955261716293e-77,6.3827072808076629e-84,1.5717121169876313e-51,6.129723493672101e-65,3.3051488157958331e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999999616135,0.108803,0.0001,2.1743953985899285e-15,1.8007588661530007e-14,1.8007591367452494e-14,5.2368768546303678e-21,6.1105410801926703e-21,1.9601838220064052e-16,4.7293640390138963e-21,2.756141031958405e-29,3.3892648503131246e-29,7.1428703269212432e-34,1.1879159517153791e-25,8.3838283057302868e-21,2.9915899475165229e-24,1.6241638163254693e-34,3.01643305048677e-38,1.0006445793975987e-40,6.693338336774291e-45,6.9305332598307986e-21,8.0604662919377456e-53,5.1157318711722954e-60,1.6873818103961804e-62,3.7928343637530735e-70,5.3920745466893762e-67,7.7589149615599658e-26,4.9639602186726344e-33,1.0482482041291626e-39,1.2056588757942272e-40,3.14870590825119e-22,8.1739493573722772e-47,1.4969283318442128e-55,8.7992691526995232e-34,5.8328519419457686e-63,1.9590988030994319e-25,4.7203926783280644e-31,2.5415245763152087e-38,5.214555611419107e-45,3.3687066953646862e-45,2.9985663852311524e-46,4.2973141122262417e-53,1.4378153096721775e-35,4.196559943620551e-42,3.6328541822042123e-50,2.3887457651285013e-44
2.1528856631169253e-16,0.0019932514560034587,1.3796026387385457e-33,9.4980996308375196e-29,5.3266396824370224e-23,1.3796004058191368e-33,2.8978798353469636e-21,4.3424684907323111e-34,3.9013088511859333e-60,1.3508601235029348e-47,1.1431161433508724e-50,3.9405715575880498e-47,1.6816925088243429e-40,2.3040181563698019e-26,4.8681239743714797e-40,1.6318706776839872e-58,9.2633254819937433e-54,8.051501017097318e-42,2.471732112510837e-54,2.5950453788219335e-81,9.1177258685377097e-52,1.230506465531889e-69,1.9710722112097519e-42,7.489749702906668e-61,4.0199432876729858e-32,1.8590602223993328e-48,9.4087401276579285e-51,7.2621013985075998e-42,2.949300420247616e-76,1.1414488445335466e-82,2.5476539041964976e-50,1.9880391013301219e-63,2.1588921158090011e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999999226881,0.108803,0.0001,4.3794160843732449e-15,3.6268787818755203e-14,3.626879838911723e-14,1.8469566777818871e-20,2.4699774047985226e-20,3.947657450409674e-16,1.9116475596684025e-20,2.003686261448506e-28,2.1100957723484395e-28,5.7844844347837321e-33,4.801744239394693e-25,3.3886431685152368e-20,1.2092479805817978e-23,1.3065784158994574e-33,2.4427845349766563e-37,8.1029361517374011e-40,1.0849486032386553e-43,2.8012386857971875e-20,2.614225850978905e-51,3.3190508457051424e-58,1.0947614488614708e-60,4.9220564341967199e-68,3.4983905661179281e-65,3.1362763591336447e-25,4.0199413934680461e-32,1.6989647594640382e-38,1.9543715389700279e-39,6.33778886746033e-22,1.3250327264936813e-45,1.7818180063223589e-54,7.1254164680984678e-33,3.7843134126968396e-61,7.9147223747033577e-25,3.6538505750899418e-30,3.9268184226787572e-37,1.6096919725992583e-43,1.039910197613483e-43,9.2569422954144671e-45,2.5128292731604225e-51,5.8118761366352297e-35,3.3984833249469128e-41,5.1176260659986979e-49,1.9343838635027907e-43
4.320826470731172e-16,0.0019932514560034587,5.5473139104200385e-33,3.8191392182510661e-28,1.0690512692052714e-22,5.5473054532035002e-33,5.8179586024861235e-21,1.7465902773402882e-33,1.5686984090746652e-59,2.0909795033606966e-47,4.5964196204666769e-50,1.9220792372944538e-46,3.3751440392709176e-40,4.6241483247001191e-26,1.9574512385343146e-39,1.3134714600223307e-57,7.4559297712063688e-53,3.237473144662277e-41,1.9894676810794016e-53,8.3592675280562986e-80,1.4681981993659317e-50,8.0084723646919915e-69,1.5862855902394343e-41,5.4054684326113083e-60,3.2355979229741856e-31,2.9939571816369472e-47,3.7833131054969769e-50,5.8451576200234454e-41,2.3738519527967608e-75,1.5168424169025991e-81,4.1024054984393148e-49,6.4039467131450796e-62,1.3958165756399626e-78,0.88129999999999997,0.0,0.0,0.0,0.0098899999998448354,0.108803,0.0001,8.7894574556054621e-15,7.2791143180035326e-14,7.2791174992282777e-14,5.8913971783514343e-20,9.9316624959359407e-20,7.9216430280498551e-16,7.686354112670124e-20,1.336903555179501e-27,1.1561598023751921e-27,4.6558609110379158e-32,1.9307588592778325e-24,1.3623701442717635e-19,4.8623294127314368e-23,1.0378900525434509e-32,1.9661638403264268e-36,6.5210738836771497e-39,1.7470496191803948e-42,1.1262100382736036e-19,8.4210005500311655e-50,2.1385121732405016e-56,7.0537054198781652e-59,6.3430484525054332e-66,2.2541284562175929e-63,1.2610820272858947e-24,3.2355948732099599e-31,2.7351943454761366e-37,3.1472829551382537e-38,1.2703984190324581e-21,2.1339253620059809e-44,1.7703741321802964e-53,5.7344149858542073e-32,2.4382876759162224e-59,3.1790477163956747e-24,2.8710432967419882e-29,6.1643329724859876e-36,5.0503832862218343e-42,3.2628095095342708e-42,2.9047312105066266e-43,1.4267584969082537e-49,2.3369274980426391e-34,2.735395711834318e-40,6.5241030172742273e-48,1.5568247505711774e-42
8.656708085959666e-16,0.001993251456003459,2.2247171694401277e-32,1.5316417356298206e-27,2.1418210830888633e-22,2.2247118991159835e-32,1.1663938475996144e-20,7.0086411084140457e-33,6.2911764515981492e-59,2.6051398253442152e-47,1.843369754837568e-49,8.3428726709296374e-46,6.7620438914578156e-40,9.2644086520468704e-26,7.8502549546564264e-39,1.0539780775614213e-56,5.9829133326034563e-52,1.2983715285186045e-40,1.5964267603917525e-52,2.683332767854818e-78,2.3561945489881366e-49,4.1845812956400251e-68,1.2725657222364642e-40,4.6126193335516779e-59,2.5963600924428988e-30,4.8059579335127776e-46,1.5176009971176582e-49,4.6903571049343557e-40,1.9048641103048457e-74,1.6175700989966643e-80,6.5836243850318781e-48,2.0556683900969274e-60,8.9787011962919577e-77,0.88129999999999997,0.0,0.0,0.0,0.0098899999996891301,0.108803,0.0001,1.7609540196732239e-14,1.4583571213560312e-13,1.4583577843837829e-13,1.6568877547572723e-19,3.9830344529621515e-19,1.5865769327525905e-15,3.0823346003883138e-19,7.9683416738227306e-27,5.6329758063717564e-27,3.7360425602898269e-31,7.7431971846576569e-24,5.4622032990147475e-19,1.9500091889443341e-22,8.1157833074277215e-32,1.5777202938909599e-35,5.2313488991230404e-38,2.8036741637557586e-41,4.5153574542913619e-19,2.7031158163034971e-48,1.3729887942934115e-54,4.5286899430347321e-57,8.1450821006039145e-64,1.4473015285046493e-61,5.0574957202609117e-24,2.5963551998258053e-30,4.3875906536527988e-36,5.0515335474601727e-37,2.5388671939014784e-21,3.4254260268223948e-43,1.5592341127083209e-52,4.6003195855589568e-31,1.5654538183290021e-57,1.2721995248073355e-23,2.2724396133243588e-28,9.752979429098955e-35,1.5972504293939248e-40,1.031974645220172e-40,9.1890013687266577e-42,7.5832155275765288e-48,9.3721079413283439e-34,2.1949841320731874e-39,7.3776248771803806e-47,1.2490364082986333e-41
