Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160),S(2726)
0.0,0.002091134129064317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.238723257034175e-19,0.002091134129064317,3.6997025760764674e-37,1.9207888369050456e-32,1.6977376188701162e-24,3.6980571363433827e-37,4.404215842036725e-23,5.3140291434067535e-38,7.8968422135892436e-63,2.8365985357424673e-50,6.0343360781972604e-54,2.183927713423999e-52,1.6670546669448838e-41,3.6525500596981352e-28,7.2893179334250942e-44,5.6967481953779589e-64,2.7008818816443856e-59,1.5870919355483425e-45,4.1198115390801759e-60,9.7424812655227642e-90,4.5522978376555823e-59,2.0819619034587795e-76,1.3692568248222024e-47,2.707409865013338e-68,5.0077324030470955e-38,4.7145179093223985e-56,5.0761444558839468e-54,1.3230062615216558e-47,7.9404894001126413e-81,1.941267017021759e-91,1.2178363472977259e-57,9.9089675133863705e-73,6.1509926713876441e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999999993177,0.108803,0.0001,3.7060787573842445e-17,3.1903373690438931e-16,3.1903370183001915e-16,1.2313336998788978e-24,1.2349891791390882e-24,7.8401247939796012e-18,9.1127554284017795e-25,1.1682037646729735e-34,1.7120131737116478e-34,2.728048355184752e-39,3.4415431127932117e-29,4.0416030326466478e-24,8.4310022978744011e-28,8.0421640863771305e-40,2.5792982411056538e-43,1.5067170314745631e-45,2.1125620996261742e-51,3.7634045910235089e-24,4.4652000544530488e-61,4.1236399300154321e-70,2.6718659558638323e-72,8.6358463600847521e-82,6.8692141278945187e-77,3.9823001872219499e-29,5.0077323884177335e-38,1.430385324486255e-46,1.6947629415094487e-47,9.7574407982326315e-24,1.8152481128525574e-53,6.5532267362223214e-62,1.4102602435032907e-38,4.6106722308957353e-73,7.0662569000440877e-29,4.1910128834057941e-35,4.4881223504667992e-44,1.2819685372834185e-52,8.6868197389611594e-53,7.5945621745219296e-54,2.5433057202910703e-62,1.412509441532494e-38,5.4678671205923911e-47,1.0554266491711129e-56,7.0455185854882484e-49,5.168842576591178e-57
2.306842511969569e-18,0.002091134129064317,2.2340869960229593e-36,1.1601564464931277e-31,4.7536652814867398e-24,2.2336264901413686e-36,1.2331826656663588e-22,3.2096785424214654e-37,4.7696926842960531e-62,1.7006486802451327e-49,3.6447389911218735e-53,2.5847973757432942e-51,4.6677530581777721e-41,1.0227140168389467e-27,4.4027480322326626e-43,6.7631794573573403e-63,3.2064869689560449e-58,9.5860352916635472e-45,4.8910403349128066e-59,4.0202588575041277e-88,1.0183299397224502e-57,6.4987679362301614e-75,1.6255802363251245e-46,8.4520876117471481e-67,5.9451798818449617e-37,1.0546187935114862e-54,3.0659912470771377e-53,1.5701729108738978e-46,9.4269489785188733e-80,1.1101397535026515e-89,2.7242488482948608e-56,4.0889597610861426e-71,6.9963102778674704e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999999980861,0.108803,0.0001,1.0377020520670533e-16,8.9329445641118987e-16,8.9329436112230489e-16,7.4160492580187361e-24,7.4593345958828759e-24,2.1952323525206697e-17,5.5041025112141979e-24,1.3829939040451497e-33,2.0144733932024165e-33,3.2387390893616669e-38,2.0786920271840818e-28,2.4411258286379451e-23,5.0923253549933189e-27,9.5467249810302125e-39,3.0621428499893657e-42,1.7887722386603678e-44,4.7257113079542087e-50,2.2730941353104738e-23,1.8425751706211335e-59,3.1041696633257441e-68,2.0113117021914646e-70,1.1787874344858809e-79,5.1709684762462011e-75,2.4053093011303885e-28,5.9451798476823572e-37,3.1997065684059348e-45,3.7911152638302964e-46,2.7320605131831533e-23,4.0606374510053658e-52,1.4616303936590164e-60,1.6742594515377136e-37,3.4707950059981685e-71,4.267989121209991e-28,2.7086376623973421e-34,5.6699975481379618e-43,3.0433914966892171e-51,2.062250153022341e-51,1.8029499102811042e-52,1.1101735955715748e-60,8.531556953681569e-38,6.4914518224073195e-46,2.3522143489581245e-55,8.3644334195631386e-48,1.1525210530236511e-55
5.2727828845018726e-18,0.002091134129064317,1.0755001480969551e-35,5.5856537770779821e-31,1.0865520401321326e-23,1.0753949849335786e-35,2.8187137481758819e-22,1.5453270818423304e-36,2.2964016966169353e-61,8.0603630448253676e-49,1.7547849313678585e-52,2.5197958149219648e-50,1.0669149803571942e-40,2.3376320390710896e-27,2.119733655706102e-42,6.6401296958999305e-62,3.1481479183549369e-57,4.6152633500018606e-44,4.8020525562992913e-58,1.5903715198428724e-86,2.012044563735585e-56,1.4279443616510714e-73,1.5960012100996081e-45,1.8578652204282613e-65,5.8370128051286983e-36,2.0837489970624166e-53,1.4761428014132304e-52,1.541345893218782e-45,9.2554343290591341e-79,4.9042232413343197e-88,5.3826464995650674e-55,1.6175488197669488e-69,6.333733044697533e-88,0.88129999999999997,0.0,0.0,0.0,0.009889999999995628,0.108803,0.0001,2.3718904047221716e-16,2.041815867908262e-15,2.0418156636998848e-15,3.5490883667509377e-23,3.5913484637668114e-23,5.0176617396296415e-17,2.6499866274706253e-23,1.3496466779908311e-32,1.9406569628413485e-32,3.1798133404443824e-37,1.0008007178425444e-27,1.1752945572797578e-22,2.4517354189973699e-26,9.3710571615605435e-38,3.006429962247089e-41,1.7562224864780736e-43,9.3371849510285615e-49,1.0943946985746196e-22,7.2890254742620634e-58,2.4543673674711415e-66,1.5902796386762508e-68,1.8621905171420926e-77,4.0885211935673774e-73,1.1580528765166183e-27,5.8370127360136362e-36,6.3220455805695103e-44,7.4905977870232986e-45,6.2446017410073987e-23,8.0231354488098605e-51,2.8681421382896156e-59,1.6437946602331834e-36,2.7442462679773805e-69,2.0548224375354027e-27,1.4846416439000343e-33,6.2906069961664267e-42,6.7728776122301432e-50,4.5894106770294391e-50,4.0123617226498014e-51,4.9191004922999473e-59,4.1075773464820194e-37,6.3733458443511089e-45,4.6102539473855437e-54,8.2122371038572397e-47,2.261228183385019e-54
1.120466362956648e-17,0.002091134129064317,4.6967553757160816e-35,2.4394016588890051e-30,2.3089229819393313e-23,4.696532249899786e-35,5.989811591530296e-22,6.7488935376015128e-36,1.0028989413819061e-60,3.4105875443501113e-48,7.6636068174968914e-52,2.1963875826916782e-49,2.2671943146073849e-40,4.9674680855108857e-27,9.257433782337387e-42,5.8731195181520964e-61,2.7845011786315685e-56,2.0156067596212261e-43,4.2473613728801784e-57,5.6759021876248918e-85,3.580312234464785e-55,2.5938072292890492e-72,1.411639471837241e-44,3.3776077950015024e-64,5.1627716221330463e-35,3.7079199329052745e-52,6.4467033962464556e-52,1.3631912802334392e-44,8.1863267088464418e-78,1.790379430977134e-86,9.5780955667473046e-54,5.7728953668730567e-68,4.8004059130912469e-86,0.88129999999999997,0.0,0.0,0.0,0.00988999999999071,0.108803,0.0001,5.0402671100238458e-16,4.3388585821511479e-15,4.3388582048270777e-15,1.5314741874928704e-22,1.5684361860438527e-22,1.0662479077605951e-16,1.15731720033697e-22,1.1794397979591828e-31,1.6538725169889177e-31,2.812509035094731e-36,4.3707595543869207e-27,5.1327986039302299e-22,1.0707372412894439e-25,8.2850844451330618e-37,2.6591531733615984e-40,1.5533505314973145e-42,1.6614935065152986e-47,4.7794891469538052e-22,2.6013880508766427e-56,1.7542702190268513e-64,1.1366595931512357e-66,2.6637892878599615e-75,2.9222923822785514e-71,5.0575210525206892e-27,5.1627714977194209e-35,1.1249615760442333e-42,1.3329093097654267e-43,1.3269317660211907e-22,1.4276741285129425e-49,5.0320567115092571e-58,1.4539120735314552e-35,1.9614624847173935e-67,8.9736805630512497e-27,8.0700920791586434e-33,6.8514426114290792e-41,1.4767693283088786e-48,1.0006834157470065e-48,8.7486600630184699e-50,2.1286954294650804e-57,1.7938868781459932e-36,5.6371521382683782e-44,8.0733822557839716e-53,7.2636071882924295e-46,3.9678464881941873e-53
2.3068425119695694e-17,0.002091134129064317,1.9607554572534472e-34,1.0184020946084177e-29,4.7536645369128122e-23,1.9607096117576576e-34,1.2332149991570889e-21,2.8175671192445055e-35,4.186905563895613e-60,1.3363993373686345e-47,3.1994049870120299e-51,1.7916198002067975e-48,4.6677529237931965e-40,1.0227140186292584e-26,3.8647963745091125e-41,4.9367108356647764e-60,2.3405410135128575e-55,8.4147614555507206e-43,3.5701636074992934e-56,1.9177450070758299e-83,6.0386741194880724e-54,4.2139732309865298e-71,1.1865587403594315e-43,5.4975944212795946e-63,4.3396204572439093e-34,6.2539486811949404e-51,2.6913717446997042e-51,1.1457982510608292e-43,6.8811006251786011e-77,5.8370922536031309e-85,1.6154735683402688e-52,1.9505163548899253e-66,3.3379045107310519e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999999808759,0.108803,0.0001,1.0377020520592955e-15,8.9329435857195521e-15,8.9329430309696203e-15,6.2440119935789954e-22,6.5479119848480499e-22,2.195194801102534e-16,4.8315582835694983e-22,9.6814079127312118e-31,1.2952910551043194e-30,2.3640835457598662e-35,1.8247059814722046e-26,2.1428244053938197e-21,4.4701169691268935e-25,6.9582160048170169e-36,2.2351783328927783e-39,1.3056706390658438e-41,2.8023223987058552e-46,1.9953258991236293e-21,8.7894119348322613e-55,1.1864016929552917e-62,7.6871559135643225e-65,3.6044573568918137e-73,1.9763320460040814e-69,2.1114153925389774e-26,4.3396202462121255e-34,1.8973694146734785e-41,2.2481377865881682e-42,2.7317283505934388e-22,2.4079812353221085e-48,8.244708566744568e-57,1.2220911338046013e-34,1.3265245002019418e-65,3.7461103017406654e-26,4.6946916666798189e-32,7.9247551816392352e-40,3.4071925545020572e-47,2.308773899692409e-47,2.0185039304842052e-48,9.6538548211044287e-56,7.4891240550843304e-36,4.7383658971885518e-43,1.3197162590036311e-51,6.1054599298890737e-45,6.5112775883851952e-52
4.6795948099954116e-17,0.002091134129064317,8.0102303284876146e-34,4.1605042136358956e-29,9.6431463322798068e-23,8.0101372925686464e-34,2.5017397644903527e-21,1.1510982740589113e-34,1.7104874603154814e-59,4.8113026177243933e-47,1.307061330479977e-50,1.380478109241045e-47,9.4688699049065494e-40,2.0746484419464861e-26,1.5788954269211349e-40,4.0474138043933211e-59,1.9189169227193065e-54,3.4377046273133232e-42,2.9270365648438322e-55,6.3050335495539096e-82,9.9183900017224168e-53,6.1976801040754007e-70,9.7279730422368405e-43,8.1213853938410224e-62,3.5578827584524678e-33,1.0272128678112827e-49,1.0995131904683866e-50,9.3937579575574944e-43,5.6415416427813106e-76,1.722683197618725e-83,2.6533799590164107e-51,6.4127755774203703e-65,2.2257255456345206e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999999612059,0.108803,0.0001,2.1050527341594195e-15,1.8121111967532061e-14,1.8121111658807518e-14,2.4363336371526e-21,2.6750354175649011e-21,4.4530222927196949e-16,1.9738384221411899e-21,7.5810071284601167e-30,9.3370862151475161e-30,1.9382189051780572e-34,7.4545185785396461e-26,8.7539900133144745e-21,1.8261884503998293e-24,5.6951195163926775e-35,1.8325340246986016e-38,1.0704445876110284e-40,4.602726868382944e-45,8.1514205971655875e-21,2.8897069355439207e-53,7.8043873397164299e-61,5.0567647475803665e-63,4.7431668254487027e-71,1.3000765661628308e-67,8.6258200859159251e-26,3.5578824108703118e-33,3.1162946544984897e-40,3.6925448570911319e-41,5.5407352451092515e-22,3.9551168838248052e-47,1.2754429745005161e-55,1.0019284555347567e-33,8.7261432549672328e-64,1.5302247054547079e-25,3.0010377343637235e-31,1.0048181931338384e-38,8.6063545586168227e-46,5.8318363895385945e-46,5.0987089483516017e-47,4.7173829851337222e-54,3.0595511158272379e-35,3.8847984281143181e-42,2.0415786019221762e-50,5.0055600422089228e-44,1.0145081726821601e-50
9.425099406047097e-17,0.002091134129064317,3.2378436480180761e-33,1.681741807120238e-28,1.9422104664563556e-22,3.2378245660553314e-33,5.0390176363997653e-21,4.6531671891950648e-34,6.9140631682114308e-59,1.5188858210255672e-46,5.2833508730383066e-50,9.8428454181267186e-47,1.907110291810027e-39,4.1785173012248667e-26,6.3821477815534911e-40,3.2777006315645405e-58,1.5539886596037232e-53,1.3895751792299264e-41,2.3703912959991454e-54,2.0449625450219756e-80,1.6077650099841298e-51,7.9652204853593868e-69,7.8777179549625365e-42,1.0564493352154795e-60,2.881265246644204e-32,1.6651560616600327e-48,4.4444092583025959e-50,7.607231214331069e-42,4.568666060191063e-75,4.4502025953036519e-82,4.3011128371071369e-50,2.0799064714963206e-63,1.4538232469379993e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999999218675,0.108803,0.0001,4.2397540983048803e-15,3.6497442737775272e-14,3.6497444816696066e-14,9.030040357207254e-21,1.0812918588173031e-20,8.9684121112588533e-16,7.9784834014445879e-21,5.631491012702364e-29,6.0787902032999758e-29,1.5696205396159409e-33,3.0132350312967888e-25,3.5383839948958997e-20,7.3817442767378938e-24,4.5965076091623237e-34,1.4840332299052203e-37,8.6683638803924286e-40,7.46090709563515e-44,3.2948239754452156e-20,9.3723098272685287e-52,5.0635461245401283e-59,3.2808676284273564e-61,6.1554654686348354e-69,8.435072190479466e-66,3.4866938031554287e-25,2.8812646824557733e-32,5.05119309359571e-39,5.9856828836494714e-40,1.1156404914784638e-21,6.4114164432951167e-46,1.8287627433840244e-54,8.1136222566540189e-33,5.6615885300327197e-62,6.1839291962157958e-25,2.0884225643646621e-30,1.3886910907365204e-37,2.3706496323799281e-44,1.6064092974964461e-44,1.4045088259524235e-45,2.4435965224050299e-52,1.2367191517352264e-34,3.1460101771812162e-41,2.9638761997879878e-49,4.0535272588473825e-43,1.4909425587917026e-49
1.8916108598150469e-16,0.002091134129064317,1.3019184467177791e-32,6.7622056848285612e-28,3.8980000294288268e-22,1.3019142143745198e-32,1.0114486744761868e-20,1.8712142225202169e-33,2.7801138842998477e-58,3.8733517232068202e-46,2.1244121442954824e-49,6.1974791060018316e-46,3.8275565148356539e-39,8.3862550703603379e-26,2.56623357145928e-39,2.6381786161880772e-57,1.2507852419414006e-52,5.5874207177604325e-41,1.9078990616774908e-53,6.5877328481933438e-79,2.5890989750499058e-50,8.3154538742967369e-68,6.3402754505782064e-41,1.1486831567756698e-59,2.319092201670602e-31,2.6816816573596105e-47,1.7870816219441658e-49,6.1229277285276023e-41,3.6772588976838666e-74,9.3771199341382387e-81,6.9263895950761665e-49,6.7002968499755363e-62,9.3995956985688798e-79,0.88129999999999997,0.0,0.0,0.0,0.0098899999998431892,0.108803,0.0001,8.50915682637665e-15,7.3250083332641156e-14,7.3250094741336074e-14,3.1069375060689072e-20,4.3478251854701232e-20,1.7998131214115512e-15,3.2080431859028025e-20,3.8853742137446052e-28,3.5013377484935443e-28,1.263368160410897e-32,1.2116081415812301e-24,1.4226731662418116e-19,2.9681658830152447e-23,3.6748834306461392e-33,1.1944785509206694e-36,6.9764515307859652e-39,1.2014557669870035e-42,1.3247453255831034e-19,3.0191661957368912e-50,3.262663122542848e-57,2.1140058292141718e-59,7.9328987552366754e-67,5.4351821765667398e-64,1.4019837682777552e-24,2.3190912925772787e-31,8.1333261574174883e-38,9.6394632063650745e-39,2.237837560344017e-21,1.0325393480159886e-44,2.3251969805041388e-53,6.5301399822869043e-32,3.6480080326507966e-60,2.4853383191510553e-24,1.543231999760396e-29,2.0427033210210123e-36,6.9575942431082244e-43,4.7146928831639024e-43,4.122383695136029e-44,1.2833980044217485e-50,4.9727908837636622e-34,2.5321822774622759e-40,3.9456725581702732e-48,3.262462425231774e-42,2.0219288864457002e-48
3.789812698235721e-16,0.002091134129064317,5.221264065762963e-32,2.7119435929980476e-27,7.8095707406048794e-22,5.2212518523723505e-32,2.0269078416549536e-20,7.5059793531679428e-33,1.1149496049922475e-57,7.4123451651405763e-46,8.5198428272878524e-49,3.3067551784308609e-45,7.6684474424350343e-39,1.6801730810970337e-25,1.0291744548152059e-38,2.1169721839251158e-56,1.0036763444079836e-51,2.2408056416543487e-40,1.5309719347392901e-52,2.1149347805943782e-77,4.1555732756231056e-49,6.5970940123843994e-67,5.0870342422275671e-40,1.0750206637933439e-58,1.8609242637577789e-30,4.3046902467939654e-46,7.1671357844028415e-49,4.9132461180294364e-40,2.9507670547405632e-73,1.5110421030105497e-79,1.11170410118394e-47,2.1510686871401289e-60,6.0463690124463775e-77,0.88129999999999997,0.0,0.0,0.0,0.0098899999996858324,0.108803,0.0001,1.704796228164358e-14,1.4675529512557145e-13,1.4675532902616304e-13,9.617372411907895e-20,1.7436709036791142e-19,3.605332827918017e-15,1.2865128742206873e-19,2.4191717307159369e-27,1.7818404858431914e-27,1.0137749855238796e-31,4.8590876875870472e-24,5.7047900442061292e-19,1.1903665728522098e-22,2.9098465879976656e-32,9.5849308773425683e-36,5.5971973504418945e-38,1.9282805997939065e-41,5.3121083069698126e-19,9.6923156694646879e-49,2.0949167665391585e-55,1.3573777792718178e-57,1.0187520150052132e-64,3.4899910950133497e-62,5.6225781539574402e-24,1.8609228044320181e-30,1.3051090218032214e-36,1.5472527717271175e-37,4.4784904887369121e-21,1.6574559163840537e-43,2.5186524845612099e-52,5.2393696800946729e-31,2.3423423096136428e-58,9.9577667798737639e-24,1.1824079942911483e-28,3.121663724755274e-35,2.1233229653675304e-41,1.4388691798271522e-41,1.2582583166544002e-42,6.4772344023012576e-49,1.9943098097153924e-33,2.0319163176888393e-39,4.6957452454818928e-47,2.6176497564556238e-41,2.4632556281232241e-47
