Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160),S(2726),C7H9(2388)
0.0,0.0028860468084089463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1304829592042006e-19,0.0028860468084089463,3.9576068550937236e-36,1.013129187556524e-31,5.8495431541337476e-23,3.8948991270395554e-36,1.8731929233226115e-22,6.4555612422688926e-38,1.5772043113476923e-59,1.8808566978722211e-48,3.1389027445336128e-52,1.0272708232159989e-51,1.103904057849917e-38,1.7032833123530396e-27,1.4141531653101872e-43,3.274596635777981e-63,1.2029787282816314e-58,6.3017221327827567e-45,3.5816436963765959e-60,3.2905304773198793e-87,3.14466962266858e-58,4.1685291084524498e-75,8.1120521641708639e-46,8.7431187890856606e-69,2.8790219189064904e-38,4.6977445987998946e-56,3.3315744707060675e-52,1.7567766921283543e-47,1.1898986803441548e-77,1.0957112659497654e-90,7.4235148408040847e-57,1.7483232351899781e-72,2.7599049144434023e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999999992484,0.108803,0.0001,4.0215887582470876e-17,3.1608442015960337e-16,3.1608421526731792e-16,1.3559035059577257e-25,1.357087323729049e-25,7.7872254926616569e-17,8.8334623596202445e-26,4.2372460685184183e-36,5.4951699267398076e-36,8.6783226161681661e-41,9.671155250135592e-30,6.2531275665467581e-24,2.2837539346121409e-28,4.8238021524213957e-41,7.8651990325843444e-44,2.024877100522449e-45,1.0415119757728458e-51,7.9733877650741268e-24,4.7997624903305659e-62,4.6377877247361172e-72,2.1546384997395709e-73,6.9238441133071389e-84,2.6655401966940309e-78,6.0280626646581667e-29,2.8790219991189104e-38,8.0458624851078698e-48,1.0351497147594005e-48,4.0832518071016085e-23,3.7721962534359437e-54,3.0646756183436072e-62,3.2422332253672407e-38,4.9288536514036172e-75,4.2118275485713393e-29,2.8597491817564964e-34,1.0216356909538542e-43,2.8551163878065826e-53,2.1931628711558366e-53,1.8366410935386318e-54,2.3392353857972812e-63,1.1781600560612827e-37,5.0583547061175656e-47,2.8475281632019633e-57,6.6136019364750086e-48,1.5787111975423924e-57,7.1899311835636242e-46
3.165352285771762e-19,0.0028860468084089463,2.3700771914923058e-35,6.1192999269563863e-31,1.6378720805209649e-22,2.3525190695621389e-35,5.244940810680968e-22,3.8991594188370233e-37,9.5263140393789398e-59,1.1354388093078346e-47,1.8958972578905018e-51,1.2191193370006078e-50,3.0909313613696182e-38,4.7691932750844096e-27,8.5414851192159294e-43,3.8876011263433177e-62,1.4281763462713935e-57,3.8062401685301475e-44,4.2521274261331869e-59,1.357846419674839e-85,7.0344990506733005e-57,1.3099833929915548e-73,9.6306267407514159e-45,2.7491582553316144e-67,3.4179748193630226e-37,1.0508666749149153e-54,2.0122709799899344e-51,2.0527198821419717e-46,1.4126477129268701e-76,6.3075716210195482e-89,1.6606103141589118e-55,7.2145036792046812e-71,3.1391923413065951e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999999979005,0.108803,0.0001,1.1260448523089034e-16,8.850363757218764e-16,8.8503580230841226e-16,8.1827588533208003e-25,8.1968074213186429e-25,2.1804226674303784e-16,5.3354108167267675e-25,5.0220330738474456e-35,6.4911619212277026e-35,1.0302906509234055e-39,5.8413777632853693e-29,3.7768883701135639e-23,1.3793873755626803e-27,5.7267065304433454e-40,9.337564276443774e-43,2.4039329972869321e-44,2.3298196140856617e-50,4.8159253429312335e-23,1.9806345886411799e-60,3.491209373763834e-70,1.6219574021026161e-71,9.4510091561726429e-82,2.0065514393594825e-76,3.6409498462398435e-28,3.4179749136379037e-37,1.7998262438145383e-46,2.3155882460053598e-47,1.143309138798257e-22,8.4382521566004982e-53,6.8531049259411276e-61,3.8491786501960704e-37,3.7103164476999045e-73,2.5439412609102313e-28,1.7312187805677498e-33,1.2154132309453004e-42,6.3994927437572383e-52,4.9157819332015093e-52,4.1166709468544436e-53,9.6439088029608608e-62,7.116086730763426e-37,6.0052786953336306e-46,6.3570375126303523e-56,7.8516664198859262e-47,3.5246167348050882e-56,8.5358781147441915e-45
7.235090938906884e-19,0.0028860468084089463,1.1366499275890155e-34,2.9461794147187908e-30,3.7437076001902011e-22,1.1326366613884716e-34,1.1988439086908303e-21,1.8772778508527245e-36,4.586510135625173e-58,5.4605592879550824e-47,9.127929183966398e-51,1.1959587057354021e-49,7.0649859659684231e-38,1.0901013202530737e-26,4.1123574058368233e-42,3.8168698397330713e-61,1.4021920058569267e-56,1.832540796707256e-43,4.1747639815832635e-58,5.371503685782505e-84,1.3898979916526781e-55,2.9193444011586368e-72,9.4554030780473307e-44,6.1380762034784413e-66,3.3557879401128021e-36,2.0763354598017883e-53,9.6882185560622464e-51,1.9983107952301383e-45,1.3869459006293023e-75,2.8255685432388532e-87,3.2810850125037807e-54,2.8539849443361348e-69,2.8418988021645514e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999999951995,0.108803,0.0001,2.5738168052761679e-16,2.0229402839518713e-15,2.022938974630288e-15,3.9326372155338557e-24,3.9464099163981901e-24,4.9838210217005246e-16,2.5687701814625511e-24,4.9129067085382743e-34,6.3048453770125307e-34,1.0115455610810876e-38,2.8123719350468133e-28,1.8184084762311451e-22,6.6411564277206691e-27,5.6222785097137168e-39,9.1676759457615533e-42,2.3601933493676423e-43,4.6033265591920759e-49,2.3186598613237135e-22,7.8351861004611518e-59,2.7603916944441269e-68,1.2824317492969419e-69,1.4930264240310781e-79,1.586518650371746e-74,1.7529606180620382e-27,3.355788030653161e-36,3.5561489908844264e-45,4.5752110401641493e-46,2.6132715862340543e-22,1.6672564394069418e-51,1.3529841312946849e-59,3.7791450791129924e-36,2.9336329099448505e-71,1.2247955834919483e-27,8.375104623443148e-33,1.1986532958750004e-41,1.2699286102772548e-50,9.7549791115676325e-51,8.1692122607118461e-52,3.807226470879997e-60,3.4260894312635146e-36,5.8960182089837327e-45,1.2505566795374655e-54,7.7088088399715341e-46,6.934407586517857e-55,8.3805584098249155e-44
1.5374568245177128e-18,0.0028860468084089463,4.9550499607755439e-34,1.286673930272923e-29,7.9553785973448649e-22,4.9465218422090238e-34,2.5475445645405424e-21,8.1985694021493791e-36,2.0030494735634797e-57,2.3794325002709813e-46,3.9864064885062646e-50,1.0560693378365024e-48,1.5013095165403641e-37,2.3164653065357741e-26,1.7959745210983905e-41,3.3759781498617024e-60,1.2402229500701216e-55,8.0031871137390195e-43,3.6925315696453014e-57,1.9170502807449234e-82,2.4732475005743452e-54,5.4557635947556445e-71,8.3631909577092787e-43,1.151572725587758e-64,2.9681564195301286e-35,3.6947279996100367e-52,4.2310995728900416e-50,1.7601321011990681e-44,1.2267379410010218e-74,1.0607826305892416e-85,5.8385114267793513e-53,1.0185662630473419e-67,2.153906366284893e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999999897976,0.108803,0.0001,5.469360711206198e-16,4.2987480888773967e-15,4.2987453122327879e-15,1.7113585223862523e-23,1.7235008794325494e-23,1.0590610202017803e-15,1.1218490245548057e-23,4.3141546751340407e-33,5.4589245450530104e-33,8.9470064200463485e-38,1.2282367046908523e-27,7.9414614682751883e-22,2.9003674823843856e-26,4.9724220399629326e-38,8.1087054967693361e-41,2.0875601576684748e-42,8.1913579622917825e-48,1.0126189020468722e-21,2.796316990408443e-57,1.9730088645414384e-66,9.1662687503933867e-68,2.1357216388434345e-77,1.1339754185465115e-72,7.6556395343033482e-27,2.9681564960199398e-35,6.3279615008571715e-44,8.1413395751147791e-45,5.5531746063070834e-22,2.9667937880659257e-50,2.403723751432338e-58,3.3426086324398413e-35,2.0968342129806692e-69,5.3489810213076426e-27,3.6928003514157e-32,1.0697184101345902e-40,2.2794213503755253e-49,1.7509413699856808e-49,1.4663107755507557e-50,1.353283888062789e-58,1.4962632590582381e-35,5.2149612913111752e-44,2.2059342950285545e-53,6.8183473404160654e-45,1.2234761273181647e-53,7.4124781599653327e-43
3.1653522857717617e-18,0.0028860468084089463,2.0668312391049529e-33,5.371610283373741e-29,1.6378720422918718e-21,2.0650754729382469e-33,5.2449498786569279e-21,3.4227445303545468e-35,8.3623372420681905e-57,9.8892812028632946e-46,1.6642462378013708e-49,8.847707185891044e-48,3.090931352522451e-37,4.7691932822749155e-26,7.497840092909603e-41,2.8377130550768245e-59,1.0424821189239613e-54,3.3411730793958184e-42,3.1037954534872489e-56,6.4772713055646227e-81,4.1714876241630264e-53,9.3827282602746647e-70,7.0297558502908758e-42,1.9960206854315445e-63,2.4949142979424195e-34,6.2316987606262111e-51,1.7664007799677945e-49,1.4764635999688421e-43,1.0311471534880737e-73,3.6575228395957847e-84,9.8474892442175949e-52,3.4415005209902499e-66,1.497692929081372e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999999789937,0.108803,0.0001,1.1260448523048257e-15,8.8503636529361457e-15,8.8503579592727808e-15,7.0938844555938845e-23,7.1952767951296026e-23,2.1804158449841159e-15,4.6834954873990169e-23,3.5748102863945757e-32,4.4023192642816247e-32,7.5204983966522998e-37,5.1276464050476626e-27,3.3153987486813998e-21,1.2108463230681019e-25,4.1789145725904591e-37,6.8158554610356185e-40,1.7547131471744093e-41,1.3815869510881069e-46,4.2274780960017498e-21,9.4480874563325714e-56,1.3343418503750133e-64,6.1991287806577966e-66,2.8899309407774457e-75,7.6690572422053499e-71,3.1960787799704467e-26,2.494914356193839e-34,1.0672979258164103e-42,1.3731545595941267e-43,1.1432893148563007e-21,5.003931478297087e-49,4.0413279463894203e-57,2.8096599378782442e-34,1.4180846843384185e-67,2.2330749976983435e-26,1.5710655753659498e-31,9.1518313229855819e-40,3.9108945926709299e-48,3.0041596948545988e-48,2.5158144549904232e-49,4.5366902385058634e-57,6.2466045082514724e-35,4.3834891160989936e-43,3.6569316025904845e-52,5.7312203718468763e-44,2.0291257839700055e-52,6.2305826367208563e-42
6.42114320827986e-18,0.0028860468084089467,8.440068589658211e-33,2.1944780154873881e-28,3.3225403399122502e-21,8.4365069307520285e-33,1.0639776516557375e-20,1.3983054322454916e-34,3.4162876123878824e-56,4.0041871726923919e-45,6.7989889231864605e-49,7.2064405575203043e-47,6.270175008866799e-37,9.6746492464481575e-26,3.063112331099498e-40,2.3265286135208073e-58,8.5468982578685299e-54,1.3649782247391907e-41,2.5446793271793553e-55,2.1295796211634943e-79,6.8516619504609136e-52,1.5455452847229525e-68,5.7634020526335859e-41,3.339901226400978e-62,2.0454814491059525e-33,1.0235583784101342e-49,7.2163235298082485e-49,1.209262800982048e-42,8.4539673173216254e-73,1.2065803063558904e-82,1.617448580466116e-50,1.1314870019646082e-64,9.9866656266788086e-83,0.88129999999999997,0.0,0.0,0.0,0.009889999999957386,0.108803,0.0001,2.2842624146660378e-15,1.795359460058108e-14,1.7953583140692743e-14,2.8574636420385105e-22,2.9395052614299208e-22,4.4231134494890047e-15,1.9133579850809703e-22,2.8497877082453607e-31,3.3373376419896059e-31,6.1657594571333811e-36,2.0948108200644525e-26,1.3544444110345364e-20,4.9467022627966455e-25,3.424969822267345e-36,5.5880499479051455e-39,1.4386084556597939e-40,2.2692433153251987e-45,1.7270574413344534e-20,3.1063009979920985e-54,8.7776805911883787e-63,4.0779634276561748e-64,3.8029582600474416e-73,5.0449304263797891e-69,1.3057024474584218e-25,2.0454814869543312e-33,1.7530227261788784e-41,2.25540603247475e-42,2.3191980251947065e-21,8.218972869927526e-48,6.5958748607960961e-56,2.3035223690103679e-33,9.3285648566514077e-66,9.1226824143912788e-26,6.6585218289348884e-31,7.7659378872316594e-39,6.6415168463428516e-47,5.1016893115743408e-47,4.2724003367877724e-48,1.469683783746252e-55,2.5519417160066077e-34,3.5938490955517349e-42,5.8074949838486124e-51,4.6987820256803097e-43,3.2250866980786933e-51,5.1081229850860541e-41
1.2932725053296055e-17,0.0028860468084089463,3.4108882100257003e-32,8.8704305865480767e-28,6.6918766651738198e-21,3.4101708329219097e-32,2.1429493831027694e-20,5.6521952292426261e-34,1.3809180687302549e-55,1.5901002640128442e-44,2.7482600386037741e-48,5.7604849053163125e-46,1.262866225907619e-36,1.9485561225574485e-25,1.2381589830361744e-39,1.8840831963389219e-57,6.9214998118572696e-53,5.5174602419113181e-41,2.0607477657031784e-54,6.9072049724333123e-78,1.1106777685026102e-50,2.4767570020252267e-67,4.6673256621415223e-40,5.5232699806531586e-61,1.6564838636562167e-32,1.6592321932234835e-48,2.9169533362373599e-48,9.7879631844710255e-42,6.8462418529325474e-72,3.8705575822109166e-81,2.6219393089796965e-49,3.669931029547569e-63,6.5231980371215611e-81,0.88129999999999997,0.0,0.0,0.0,0.0098899999999141706,0.108803,0.0001,4.6006975393596655e-15,3.6160055794520165e-14,3.6160033052892645e-14,1.1234514075018821e-21,1.1881949562957423e-21,8.9084604787771689e-15,7.7340767482464627e-22,2.1865692370359947e-30,2.3466906372685461e-30,4.9931926180836472e-35,8.4675598853678458e-26,5.4748472621299035e-20,1.9995361010601822e-24,2.7717574941514782e-35,4.5253474767192628e-38,1.1650039655937694e-39,3.678484789371684e-44,6.9809994616250558e-20,1.007506073989737e-52,5.6951732921378698e-61,2.6458821775858855e-62,4.9354326513286406e-71,3.2732820085798365e-67,5.2778578976875354e-25,1.6564838782566719e-32,2.8416692239102142e-40,3.65609592713735e-41,4.6708754617660845e-21,1.3323310469231914e-46,1.0558354131005156e-54,1.8654414464884935e-32,6.0526005214960961e-64,3.687406694870589e-25,2.8856696497095439e-30,6.7145527690803362e-38,1.1472474355881113e-45,8.8125881194034512e-46,7.3801652022452442e-47,4.6429485563147871e-54,1.0315356059442367e-33,2.910391980288858e-41,8.8282613774618958e-50,3.8051652209961398e-42,4.910028166688494e-50,4.1365526068149872e-40
2.5955888743328444e-17,0.0028860468084089463,1.3713585917131174e-31,3.5667607960816414e-27,1.3430548235767318e-20,1.3712145674799723e-31,4.3009184614635909e-20,2.2727398128471222e-33,5.5526107716398372e-55,6.1737288045276142e-44,1.1050632817723882e-47,4.5192774409173494e-45,2.5345636509577766e-36,3.9107385386946474e-25,4.9785828471008285e-39,1.5164740772679496e-56,5.5710252204830321e-52,2.2185465096883237e-40,1.6586698415017974e-53,2.2252252278268682e-76,1.7886924668372321e-49,3.8667622602121938e-66,3.7566266859175184e-39,9.184348746335028e-60,1.3332822494264073e-31,2.6721421467717198e-47,1.1728941013448782e-47,7.8762126176779721e-41,5.5104509489181535e-71,1.2095903435506509e-79,4.2225055936495408e-48,1.1823043194459236e-61,4.2175305758825797e-79,0.88129999999999997,0.0,0.0,0.0,0.0098899999998277414,0.108803,0.0001,9.2335677886317258e-15,7.2572975526285436e-14,7.2572931074732677e-14,4.2819430220067844e-21,4.7776791066905342e-21,1.7878961822607172e-14,3.1098204427444365e-21,1.5918605150829643e-29,1.4917634479309794e-29,4.0189570032081807e-34,3.4047682853820917e-25,2.2013849807841536e-19,8.0400463768434008e-24,2.2279441497094821e-34,3.6423929446878523e-37,9.3766682916001644e-39,5.9239046577378358e-43,2.8069947214768583e-19,3.2457170331322063e-51,3.6698375115363306e-59,1.704945111715799e-60,6.3609002240124036e-69,2.1092373832269964e-65,2.1222033200914941e-24,1.3332822353422719e-31,4.5762398095409706e-39,5.8879832581251841e-40,9.3736704652446169e-21,2.1456784858442004e-45,1.6587608701849597e-53,1.5014523563141116e-31,3.9001554264541687e-62,1.4825875721657564e-24,1.3164661965017324e-29,6.0893464184345584e-37,2.0750708518922747e-44,1.5939643575873761e-44,1.3349056036902322e-45,1.4332730317958313e-52,4.1477590076379794e-33,2.3425363573030929e-40,1.2639968591262528e-48,3.0626792617979301e-41,7.0478525824038767e-49,3.3292355645159881e-39
5.2002216123393226e-17,0.0028860468084089467,5.499471720063609e-31,1.4304303439836364e-26,2.6907887057132531e-20,5.4991826959523611e-31,8.6169590800445451e-20,9.1148392757474202e-33,2.2268452277210457e-54,2.3125898169245227e-43,4.4317980719903981e-47,3.4508715388029406e-44,5.0779584010912109e-36,7.8351034522167531e-25,1.9966344227969578e-38,1.2168749578030809e-55,4.4703969126395158e-51,8.8973638780025759e-40,1.3309793059793397e-52,7.1445847300266619e-75,2.8711838548079526e-48,5.8187537883679221e-65,3.0143872355124873e-38,1.5678627023134508e-58,1.0698749178032281e-30,4.2893794569982002e-46,4.7038300492193677e-47,6.3193657199276199e-40,4.4217896836543021e-70,3.6448914485530879e-78,6.7779062700256179e-47,3.7960487210975712e-60,2.7129634189998184e-77,0.88129999999999997,0.0,0.0,0.0,0.0098899999996548815,0.108803,0.0001,1.8499308286715073e-14,1.4539880535956406e-13,1.4539871990817656e-13,1.5537146399530419e-20,1.9160625658449528e-20,3.5819193684401414e-14,1.2471628191152141e-20,1.0711258950101983e-28,8.3933250267652606e-29,3.2249617861256071e-33,1.3654641261060192e-24,8.8283216162387917e-19,3.2244179429863741e-23,1.7829771155713859e-33,2.9227903137356391e-36,7.5237089353730271e-38,9.5085956621526793e-42,1.1257027913162957e-18,1.0420687519132557e-49,2.3566018959023804e-57,1.0948378597787658e-58,8.169581823131245e-67,1.354469206042009e-63,8.5109834678800252e-24,1.0698748650427212e-30,7.3452977672572806e-38,9.4513677700577334e-39,1.8777021527477559e-20,3.4442904765654275e-44,2.5378550190490159e-52,1.2047933394856926e-30,2.5045016643221399e-60,5.9450177460552011e-24,6.5318502173483803e-29,5.9852749113531343e-36,4.0610306442658457e-43,3.1194680703715712e-43,2.6125892227733001e-44,4.3358216863176143e-51,1.6634366490744242e-32,1.8797374211161869e-39,1.659154840535909e-47,2.4575290072440622e-40,9.2857617809366001e-48,2.6711459041983382e-38
1.0409487088352279e-16,0.0028860468084089467,2.2025989003708321e-30,5.7291803610629683e-26,5.3862547419750719e-20,2.20254062748161e-30,1.7249450164586079e-19,3.6507990224980998e-32,8.9189957671713676e-54,8.1338601839374797e-43,1.7750308908196657e-46,2.5185998078124674e-43,1.0164747501490591e-35,1.5683833604251625e-24,7.9969523491882445e-38,9.7498079796131709e-55,3.5817575670068453e-50,3.5635864756460734e-39,1.0664050562832785e-51,2.2900228994416348e-73,4.601176511189855e-47,8.230819711845473e-64,2.4150672633263629e-37,2.8439691621033075e-57,8.5720166581029666e-30,6.8741899424243749e-45,1.8839861299735039e-46,5.0628614411555447e-39,3.5428123280315451e-69,1.0333968799795236e-76,1.0861841211002827e-45,1.2167282257840839e-58,1.7407080593212375e-75,0.88129999999999997,0.0,0.0,0.0,0.0098899999993091632,0.108803,0.0001,3.7030789281038681e-14,2.9105043217587078e-13,2.9105026873414267e-13,5.2130426793609426e-20,7.6742408580460764e-20,7.1696574369460441e-14,4.9950422565943066e-20,6.4683703997451804e-28,4.1876222262562309e-28,2.5838969033948429e-32,5.468976873124441e-24,3.5357598601660063e-18,1.291448846022318e-22,1.4209069204998649e-32,2.3417879810296858e-35,6.0273587370283815e-37,1.5236677139406726e-40,4.5084614234024403e-18,3.3398319623890648e-48,1.5106247453917401e-55,7.0181107009168342e-57,1.0473849054098658e-64,8.6825658269249423e-62,3.4088318720318443e-23,8.5720155711687743e-30,1.1769768379347022e-36,1.5146353729216316e-37,3.7574772142473419e-20,5.5198497815161228e-43,3.7161373253051933e-51,9.6525652357294547e-30,1.6054313600145324e-58,2.3804501794204724e-23,3.6188512218505952e-28,6.5558511925402085e-35,8.8471619319183236e-42,6.7958763417468755e-42,5.6921092782470947e-43,1.2986102567350981e-49,6.6624213532841839e-32,1.5060766440385599e-38,1.9454326828073011e-46,1.968888462039743e-39,1.0937316044570299e-46,2.1395970195329212e-37
