Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160),S(2726),C7H9(2388),C7H9(1587),S(859)
0.0,0.002129425889830746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2786701938825763e-19,0.002129425889830746,1.2739342790063287e-36,4.3953666532854531e-32,1.1235078224257096e-23,1.268802489718151e-36,1.0285485782248077e-22,6.1347536048701926e-38,5.7838471003260927e-61,2.8027655811304328e-49,6.0900944902909956e-53,4.8360918449462566e-52,6.0285891240703052e-40,9.0167957005750369e-28,1.1124799316576431e-43,1.659348824503019e-63,5.7297836178282625e-59,3.6554716045497952e-45,4.0216634183223017e-60,1.8780434467580239e-88,9.2011188914531807e-59,9.1559887298263917e-76,9.3235866279758488e-47,1.3075678217309587e-68,2.7892625299352364e-38,3.686585895906149e-56,4.9754358055351323e-53,1.3870096946757148e-47,4.9710624519167969e-79,4.1890454359613802e-91,2.296036178769784e-57,9.3082768645947401e-73,3.1859919607476535e-92,0.88129999999999997,0.0,0.0,0.0,0.00988999999999929,0.108803,0.0001,3.3632243108054331e-17,3.245937848927106e-16,3.2459369382290814e-16,3.6288472722600769e-25,3.6334785986514192e-25,2.5429901693227481e-17,2.4951295836751536e-25,1.5738413150591711e-35,2.1522838824712329e-35,3.9997551527164422e-40,1.735712924834269e-29,3.8998434587815532e-24,4.1388042598193016e-28,1.7063961673235656e-40,1.1805039234624237e-43,1.6150490918873653e-45,1.105156582812216e-51,4.3468520117365266e-24,8.4174475989485358e-62,2.1741586488382196e-71,3.687023144791214e-73,3.2367340870952059e-83,7.3147217682398878e-78,4.4758663851788296e-29,2.7892625368486221e-38,2.144084415669489e-47,2.6611615561830774e-48,2.2770145602348289e-23,5.7246527114851741e-54,3.941417060035471e-62,1.4782040809034307e-38,2.3608285836453722e-74,4.6585842333294064e-29,1.0935703020329193e-34,5.3877689224563051e-44,4.1415384179168101e-53,3.0155134664155067e-53,2.5701643392746357e-54,4.2790292556177483e-63,4.2218175761288341e-38,4.7258724134081078e-47,3.8917869860408784e-57,1.9543856631043535e-48,2.0461141815260705e-57,4.3498077744596035e-46,3.7979215582262319e-51,3.4990288732287377e-39
6.380276542871213e-19,0.002129425889830746,7.6779356904374455e-36,2.6548014308890654e-31,3.1458218912007918e-23,7.6635670142552297e-36,2.8799371432306166e-22,3.7053924467776438e-37,3.4934436465003714e-60,1.6900559880084308e-48,3.6784170724759499e-52,5.7354600789874868e-51,1.6880049538293892e-39,2.5247027964891266e-27,6.7193787879413787e-43,1.9699789246127747e-62,6.8023991110267929e-58,2.2079048493863638e-44,4.7745188586212153e-59,7.7497968315806362e-87,2.0582529149605012e-57,2.8741499225106921e-74,1.1068958798857165e-45,4.1054584169973462e-67,3.3114124704106281e-37,8.2467451729816487e-55,3.0051632253125623e-52,1.6417457356465314e-46,5.9016453371878965e-78,2.4088551576394988e-89,5.1361396516597798e-56,3.8410854661775596e-71,3.6238359424991601e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999999980167,0.108803,0.0001,9.4170280702524242e-17,9.0886259571791023e-16,9.0886234152654378e-16,2.1891283545281413e-24,2.1946210679839851e-24,7.1203697428370089e-17,1.5070580739089585e-24,1.8650744079478654e-34,2.5409737986550306e-34,4.7485096325313902e-39,1.0483706046000822e-28,2.355504695160014e-23,2.4998377683823834e-27,2.0257657244768282e-39,1.401494254666587e-42,1.9173851188712071e-44,2.4721896368173369e-50,2.6254977747261171e-23,3.4734813556532244e-60,1.6366514496860866e-69,2.775497445777837e-71,4.418123629616098e-81,5.5063376518467348e-76,2.7034232920760342e-28,3.3114124760880681e-37,4.7962266199052399e-46,5.9529109245287543e-47,6.3756256568023296e-23,1.2805819194722574e-52,8.8080663519910719e-61,1.7549233703221441e-37,1.7771718395483138e-72,2.8137792532626292e-28,6.6624843545677205e-34,6.447191455768898e-43,9.3347854155875868e-52,6.7967911160418459e-52,5.7930026367656665e-53,1.7751340510079418e-61,2.5499778093274806e-37,5.6105557152733485e-46,8.6860747397236719e-56,2.320245899118505e-47,4.5674569262233752e-56,5.1640424452320822e-45,8.4663366363861479e-50,4.1540465867809498e-38
1.4583489240848488e-18,0.002129425889830746,3.6929617237028703e-35,1.2781725968584938e-30,7.1904499823861459e-23,3.6896776046367689e-35,6.5827187700468343e-22,1.7839882506650387e-36,1.6819427336173102e-59,8.1083242802258112e-48,1.7709994782822881e-51,5.6182343637189323e-50,3.8582970330329207e-39,5.770749250664841e-27,3.2350916423546448e-42,1.934136990340869e-61,6.6786357847579175e-57,1.063011142960503e-43,4.6876510250711035e-58,3.065740770633068e-85,4.0667584214454662e-56,6.3902437005877835e-73,1.0867562511360003e-44,9.13425726314702e-66,3.2511643889941668e-36,1.6294178711711146e-53,1.4468567304023211e-51,1.6093302310614971e-45,5.7942703761588599e-77,1.0766072085328127e-87,1.0148140216511419e-54,1.5194942979782812e-69,3.28064489417915e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999999954667,0.108803,0.0001,2.1524635589135256e-16,2.0774002094630576e-15,2.0773996322234193e-15,1.0512355539944263e-23,1.0566155680861649e-23,1.6275117964811835e-16,7.2558339099472097e-24,1.8240003509133746e-33,2.4651370005563018e-33,4.6621151096838147e-38,5.0474531554503789e-28,1.1340733468983302e-22,1.2035642719426018e-26,1.9887651907365984e-38,1.3759953630642318e-41,1.8824976161551959e-43,4.8846239276727467e-49,1.2640633044696682e-22,1.3740729636747838e-58,1.2940494801953526e-67,2.1944996473277854e-69,6.9795438632041088e-79,4.3536914034689589e-74,1.3015819379520156e-27,3.2511643892090157e-36,9.4765163053635828e-45,1.1761944380867e-45,1.4572787402962805e-22,2.530214101686086e-51,1.7364715486038453e-59,1.7229930816701562e-36,1.4051545902873813e-70,1.354707859582909e-27,3.2660816918407674e-33,6.4375626413872482e-42,1.8748078026998071e-50,1.3650744870294353e-50,1.163473646956284e-51,7.1037354363134515e-60,1.2277045411668188e-36,5.5084768419499583e-45,1.707765133913559e-54,2.278029572563954e-46,8.9832069664555102e-55,5.0699829762283752e-44,1.6694687904029354e-48,4.0784665309767642e-37
3.0989914636803036e-18,0.002129425889830746,1.6120769431992661e-34,5.5821154547861665e-30,1.5279705979297398e-22,1.6113791252962955e-34,1.3988300010897513e-21,7.7911567276656314e-36,7.3454857847274916e-59,3.5161918615120624e-47,7.7344200078732315e-51,4.9464069683146123e-49,8.198881176875245e-39,1.2262842164266143e-26,1.4128495143367152e-41,1.7107222651555358e-60,5.9071777182524931e-56,4.6424489414715634e-43,4.1461744172545343e-57,1.0941398247449603e-83,7.2365704112542779e-55,1.1886668437855801e-71,9.6122237393658617e-44,1.7015787127241954e-64,2.8756180644754645e-35,2.8994620228022777e-52,6.3188034540077904e-51,1.4223376211213295e-44,5.1249665080185009e-76,4.023299060980004e-86,1.8058051059164753e-53,5.4229606708253936e-68,2.4864368672778449e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999999903666,0.108803,0.0001,4.5739850626856325e-16,4.4144754055025106e-15,4.4144741947755882e-15,4.5671617176793531e-23,4.6145177334810712e-23,3.4584570708651005e-16,3.1688115547424651e-23,1.6007481512368557e-32,2.1295005578238282e-32,4.1235881931333553e-37,2.2043553836377201e-27,4.9527895065422115e-22,5.2562813397732915e-26,1.7587848726216819e-37,1.2170523037055383e-40,1.6650434405627249e-42,8.6919051466379327e-48,5.5204890293077303e-22,4.9039565010168096e-57,9.249301548516929e-66,1.568532681412984e-67,9.9839851716040576e-77,3.1118305362849257e-72,5.6843502383111469e-27,2.8756180551318249e-35,1.6862885572308306e-43,2.0929735661285001e-44,3.0966869110955426e-22,4.5023808947083213e-50,3.0762003887159635e-58,1.5239659296874741e-35,1.0043432457480509e-68,5.9163148104988671e-27,1.4776788056339775e-32,5.8854879889730062e-41,3.4448440203299899e-49,2.5082405619693852e-49,2.1378153277069464e-50,2.5928388371162889e-58,5.3617082188517252e-36,4.8721853329790894e-44,3.0090793232764391e-53,2.0148884949747244e-45,1.5839403378947459e-53,4.4841566061361507e-43,2.9676914641618031e-47,3.6073556076329583e-36
6.3802765428712134e-18,0.002129425889830746,6.728626972029495e-34,2.3304232554263022e-29,3.1458217231280324e-22,6.7271904706734229e-34,2.8799534441470542e-21,3.2526640422662835e-35,3.0665957031496438e-58,1.4473966784187066e-46,3.2289681034263552e-50,4.1196822720102751e-48,1.6880049406300931e-38,2.5247028012468244e-26,5.8983686078470891e-41,1.4379651436271058e-59,4.9653388059758467e-55,1.9381310480562759e-42,3.4851097116674132e-56,3.6968425269017857e-82,1.2205503636612394e-53,2.0253178645567622e-70,8.0796326575445812e-43,2.9079577325858745e-63,2.4171302196685905e-34,4.8903664300474185e-51,2.6379760472567239e-50,1.1951078772369518e-43,4.3078431159251124e-75,1.3745705292373125e-84,3.0457467466646383e-52,1.8322914196653506e-66,1.7289140125724387e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999999801681,0.108803,0.0001,9.4170280702120066e-16,9.0886256731147971e-15,9.0886232445135994e-15,1.8870472030726415e-22,1.9264702748987374e-22,7.1203301396721828e-16,1.3229149906859147e-22,1.3248676523498485e-31,1.7099310879314552e-31,3.466124573518276e-36,9.2027496505214129e-27,2.0676864843734314e-21,2.1943939557375907e-25,1.4779351602652423e-36,1.0230057736143964e-39,1.3995619659894946e-41,1.4660093721041352e-46,2.3046892136146597e-21,1.6569277494910406e-55,6.255275941826298e-64,1.0607941278605291e-65,1.3509715684067999e-74,2.104524334535526e-70,2.3731042936424106e-26,2.4171301957766261e-34,2.8441488849219906e-42,3.5301004600190534e-43,6.3754065418184812e-22,7.5939237626803885e-49,5.1424818598572766e-57,1.2809819282004155e-34,6.7923444077078033e-67,2.4699029125002794e-26,6.5976977214245051e-32,5.269317168676325e-40,6.1771395288257737e-48,4.4976648459818139e-48,3.8334489668279497e-49,9.1393503886345496e-57,2.2384075866811072e-35,4.0953652562997899e-43,4.9775503228866526e-52,1.6936303681941066e-44,2.6236664872150339e-52,3.7688910805576265e-42,5.0026021086358423e-46,3.0321966328591794e-35
1.2942846701253034e-17,0.002129425889830746,2.7485680399043691e-33,9.5205388944227157e-29,6.3815236767873837e-22,2.7482766655873983e-33,5.8422291098093143e-21,1.3288271382403725e-34,1.252804392379971e-57,5.7497862396600626e-46,1.3191388309285644e-49,3.3164234741976513e-47,3.4242385632116455e-38,5.121539979287054e-26,2.4096760398271197e-40,1.1789307046051681e-58,4.0708847456610649e-54,7.9178977424619595e-42,2.8573039756212578e-55,1.2154352507310408e-80,2.0047477550686442e-52,3.2751606927494441e-69,6.6241372620207217e-42,4.7318456429361292e-62,1.9817093376285285e-33,8.0324413304646532e-50,1.0776992839228735e-49,9.7963790579575095e-43,3.5318299955567139e-74,4.4529986042872869e-83,5.0026235168721549e-51,6.0241442021100197e-65,1.1528455264564421e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999999597712,0.108803,0.0001,1.9103114085193406e-15,1.8436925720787702e-14,1.8436921042524349e-14,7.5531523903249576e-22,7.8702593228370435e-22,1.4444006358110851e-15,5.4045275047144099e-22,1.0537979702027896e-30,1.2863741146735611e-30,2.8417386969339053e-35,3.7596233911510171e-26,8.4471278779783624e-21,8.96481505298512e-25,1.2109967875849911e-35,8.3872190720972098e-39,1.147433368148021e-40,2.4079002410588129e-45,9.4153560772056998e-21,5.4475612343779004e-54,4.1148884325084793e-62,6.9781885683089258e-64,1.7777849831859836e-72,1.3844156594062768e-68,9.6949050849536681e-26,1.9817092917400031e-33,4.6714467372185424e-41,5.7981829487683169e-42,1.2932458982606628e-21,1.2473043575032705e-47,8.2985617222791978e-56,1.0502210298098418e-33,4.4681865183584539e-65,1.0090015620522428e-25,3.045679971198202e-31,4.8484762191252892e-39,1.1351272674842847e-46,8.2650282548853877e-47,7.0444992237119646e-48,3.2410408180013793e-55,9.1446249681530365e-35,3.3576277273768567e-42,7.8722583669000833e-51,1.3885326003326794e-43,4.1601272425400306e-51,3.0894518567980597e-41,8.2134743243711928e-45,2.4859728906637888e-34
2.6067987018016673e-17,0.002129425889830746,1.110955960957307e-32,3.8483536374013928e-28,1.2852926397145931e-21,1.1108972525677742e-32,1.17668955593165e-20,5.3713943705565731e-34,5.064035555809994e-57,2.1991976983628155e-45,5.3321700832913341e-49,2.5907523373246743e-46,6.8967057151604141e-38,1.0315214368966824e-25,9.7402958636695095e-40,9.5472865313195731e-58,3.2967080108582438e-53,3.2005408755701826e-41,2.3139196053906863e-54,3.9421981910745309e-79,3.2497504620928313e-51,5.0615390431103865e-68,5.3643434471860293e-41,7.4108552630892401e-61,1.6048395145459562e-32,1.3020932838671767e-48,4.3562327905485135e-49,7.9326209721268926e-42,2.8601674024228418e-73,1.3784065508599784e-81,8.1093883477206202e-50,1.9538978523851964e-63,7.5302806453984364e-81,0.88129999999999997,0.0,0.0,0.0,0.0098899999999189758,0.108803,0.0001,3.84752861148708e-15,3.71335239427938e-14,3.7133515432684905e-14,2.933852915538734e-21,3.1812843768515373e-21,2.909107912362627e-15,2.1845868219657254e-21,8.0520884569590452e-30,8.934308734460355e-30,2.3013142431302505e-34,1.5196997916210783e-25,3.4144268926609507e-20,3.62372136864466e-24,9.795586539103043e-35,6.7921869259825705e-38,9.2920171011486327e-40,3.90323044723908e-44,3.8057959413403958e-20,1.7668679512305086e-52,2.6698267906632978e-60,4.5275966223119016e-62,2.307176210186619e-70,8.9824217722727778e-67,3.9188354176177446e-25,1.6048394347875427e-32,7.5723689533613815e-40,9.3990471747289929e-41,2.6045016764287287e-21,2.021934435018975e-46,1.2991890752868741e-54,8.5048755581344148e-33,2.8990541148122429e-63,4.0782678075102686e-25,1.5142944879932534e-30,4.7821413592892139e-38,2.2308202491201896e-45,1.6242937726467024e-45,1.3844482258708992e-46,1.1896837074641854e-53,3.6964033074997494e-34,2.7190937626066383e-41,1.1878221967485779e-49,1.1244569059138767e-42,6.3062283924951693e-50,2.5010880422637466e-40,1.3308507399433234e-43,2.0131970333878328e-33
5.231826765154395e-17,0.002129425889830746,4.4669862578051402e-32,1.5474057474073917e-27,2.5795727089932656e-21,4.4668680540116614e-32,2.3616688931000541e-20,2.1598644083683305e-33,2.0362263406122438e-56,7.9410812781916421e-45,2.144042152045016e-48,1.9445286513899885e-45,1.3841639646200629e-37,2.0702563282724196e-25,3.9165301573693619e-39,7.6844868391262934e-57,2.6534774126560245e-52,1.2869234190452804e-40,1.8624450368661672e-53,1.270007877819148e-77,5.233519741002134e-50,7.367693408739092e-67,4.3176023216733105e-40,1.1118352313142082e-59,1.2917143201844828e-31,2.0969808670975772e-47,1.7516221147775818e-48,6.3845651870046977e-41,2.3021113984905141e-72,4.0210904185024773e-80,1.3059662425587649e-48,6.2946205588361714e-62,4.8686529365526299e-79,0.88129999999999997,0.0,0.0,0.0,0.0098899999998373848,0.108803,0.0001,7.72196301730839e-15,7.4526713429552412e-14,7.4526699389563705e-14,1.0936140475541511e-20,1.2791802345956353e-20,5.8384106011928137e-15,8.784050345214879e-21,5.8204208633044958e-29,5.5837286054855221e-29,1.8522988260438523e-33,6.1106452970701447e-25,1.372896077990687e-19,1.4570822648917822e-23,7.8660832684821653e-34,5.4669421146358565e-37,7.4787085663259298e-39,6.2857759128398038e-43,1.5302604172697028e-19,5.691971887451682e-51,1.7203574146248196e-58,2.9174494000528978e-60,2.9735129853454082e-68,5.7880580409753864e-65,1.5757463040780785e-24,1.291714187422665e-31,1.2194269603446534e-38,1.5136691335736437e-39,5.2263945389603346e-21,3.2562641104124717e-45,1.9555989897609655e-53,6.8453243061560776e-32,1.8680647753219881e-61,1.6396301588406947e-24,8.3658219966134016e-30,5.2263515236443597e-37,4.8509010951873586e-44,3.5320175253839864e-44,3.0105626417966482e-45,4.5722405426382856e-52,1.4863072695923736e-33,2.1885628714834508e-40,1.6797862498693572e-48,9.0504015410951016e-42,8.9866515744115671e-49,2.0117579398539709e-39,2.1417884631407921e-42,1.6203828208843273e-32
1.048188289185985e-16,0.002129425889830746,1.7914371816631297e-31,6.2057865390708877e-27,5.1681309483067252e-21,1.7914131216062271e-31,4.7318117564590952e-20,8.662426204541855e-33,8.1661776770581806e-56,2.5979932237035042e-44,8.5985680825894449e-48,1.3681877051999789e-44,2.7731506016851927e-37,4.1477261647835068e-25,1.5707037890379543e-38,6.1663168065007553e-56,2.1292485109224494e-51,5.1611385768867173e-40,1.4944968265819891e-52,4.0775762435439665e-76,8.4006269547768262e-49,9.7316591976562074e-66,3.4644627743042321e-39,1.5826662631335525e-58,1.0365191695369025e-30,3.3661179796828161e-46,7.0247915135834161e-48,5.1230904419065948e-40,1.8472991651364025e-71,1.0660568134497723e-78,2.0962823798688984e-47,2.0209925419446525e-60,3.131803257294056e-77,0.88129999999999997,0.0,0.0,0.0,0.0098899999996742045,0.108803,0.0001,1.5470831828494361e-14,1.4931306788826158e-13,1.4931304800956367e-13,3.8207764492775751e-20,5.130083096442572e-20,1.1696568555933989e-14,3.5227352403391615e-20,3.8740505403254314e-28,3.083043232203532e-28,1.4863546199551004e-32,2.4506415278098776e-24,5.5056870368829404e-19,5.8435504221378208e-23,6.2829318317237201e-33,4.3868754851121038e-36,6.0006868681758905e-38,1.0089239403295333e-41,6.1367608790544619e-19,1.8274260399791818e-49,1.1047130414453048e-56,1.8734156611507602e-58,3.8189372807035624e-66,3.7168184536073372e-63,6.3194459918610244e-24,1.0365189529847171e-30,1.9571944614481967e-37,2.4297149936272781e-38,1.0467706657483193e-20,5.2270283756877303e-44,2.7646894824904932e-52,5.4927178647068091e-31,1.1995621488649211e-59,6.573859167403621e-24,5.18066178554409e-29,6.4033459128424252e-36,1.1824418018444056e-42,8.6095620285087761e-43,7.338903613594058e-44,1.8104098414004474e-50,5.9607550971129584e-33,1.7561833580174008e-39,2.1659331985494453e-47,7.2620469928812409e-41,1.1715551704563856e-47,1.6121695365273551e-38,3.4335306325457563e-41,1.3002338560165127e-31
