Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160),S(2726),C7H9(2388),C7H9(1587),S(859),S(1111)
0.0,0.003443712029412053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.514487474282965e-19,0.003443712029412053,2.13920387455947e-36,7.2892483126572646e-32,1.9365878670517171e-23,2.1334261242798883e-36,1.0580217377458973e-22,6.1481306359680826e-38,9.1549207040362815e-61,4.8901833096678245e-49,6.5817144056974594e-53,7.9929240299979124e-52,1.1028040798746155e-39,9.2919314040884727e-28,1.1252960743464834e-43,1.7139266436394983e-63,9.4601784990334793e-59,3.7512409522163607e-45,3.9993847220215345e-60,8.7170937291292541e-88,3.9529246507601162e-58,2.5009418091660143e-75,4.1861296972287e-46,2.0481288382410646e-68,7.1009659735603573e-38,9.4807428011021119e-56,8.6796972829272712e-53,2.2347308549713177e-47,7.817491057006398e-79,1.1144853294872791e-90,9.838451648643329e-57,3.886944353692235e-72,7.9909476953890785e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999999992553,0.108803,0.0001,5.4075719355122932e-17,3.2422862693419119e-16,3.2422852541643377e-16,3.4620958252047736e-25,3.4690163483922231e-25,4.2748975134109822e-17,2.3761850626121726e-25,2.355920818043232e-35,3.2056749134403082e-35,3.7214223229118292e-40,1.6892501248024982e-29,1.0137169180307001e-23,4.0241961951648809e-28,1.6079138511049547e-40,1.8472682623857098e-43,2.6030762809962115e-45,2.8020542156072209e-51,1.1370899675276482e-23,3.3225197782235062e-61,8.1929567036673842e-71,2.3227223079862448e-72,1.9446644689194141e-82,2.8262694201531303e-77,7.2380267570172829e-29,7.100966009570559e-38,5.2041006317540904e-47,6.4699312161456767e-48,2.3412404076626502e-23,1.4266191495420437e-53,6.2126911985539717e-62,6.21728594110076e-38,8.8876071105879033e-74,7.3933612360959807e-29,1.8336052111362064e-34,1.4184641412061977e-43,1.0395538634144197e-52,7.58827643162198e-53,6.4620560736865313e-54,1.6911115714294088e-62,7.0659237360810659e-38,7.5600396184223098e-47,9.7333176166247358e-57,5.2630373887299065e-48,5.1306894868923504e-57,1.132456388749017e-45,1.5269530945231085e-50,5.2800882240289988e-39,2.8241394825408273e-48
9.840564927992304e-19,0.003443712029412053,1.2902071124594874e-35,4.4027059321024357e-31,5.4224460085404676e-23,1.2885893752440278e-35,2.9624619594235776e-22,3.7134721093768499e-37,5.5295721024096997e-60,2.949018737113954e-48,3.9753555014875591e-52,9.4798707868555438e-51,3.08785142206081e-39,2.6017407934978253e-27,6.7967882898241584e-43,2.0347737115311707e-62,1.1231123914058988e-57,2.2657495353940748e-44,4.7480695893226544e-59,3.5971316694812804e-86,8.8425304845602329e-57,7.8513569188758001e-74,4.9697709160592788e-45,6.4335025344136929e-67,8.4302667884168532e-37,2.1208042378262838e-54,5.2425371567606501e-52,2.6445026328392858e-46,9.2809253748061279e-78,6.4092364442267943e-89,2.2008213237047596e-55,1.6039577928863897e-70,9.0891263388237411e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999999979126,0.108803,0.0001,1.5141201419428024e-16,9.0784015352794231e-16,9.0783987004160551e-16,2.0870836619237048e-24,2.0952858673787467e-24,1.1969705914652659e-16,1.4352154897323604e-24,2.7889058758308068e-34,3.7724011888539366e-34,4.4180728848726952e-39,1.0203070730957921e-28,6.1228471445788765e-23,2.4306144976618227e-27,1.9088160460919269e-39,2.1930768746009135e-42,3.0903692122589779e-44,6.2680774844365398e-50,6.8680199935216408e-23,1.371045869752934e-59,6.1674478924472775e-69,1.7484858431469177e-70,2.6544551031235397e-80,2.1275434915210318e-75,4.3717681525211424e-28,8.4302668250259152e-37,1.164134812670923e-45,1.4472973434826161e-46,6.5554491578013288e-23,3.1912899876510058e-52,1.3884490094282091e-60,7.3811585119919751e-37,6.6903629251759728e-72,4.4655764077725929e-28,1.121812370160824e-33,1.7039335501094162e-42,2.351733707023207e-51,1.7166600426882811e-51,1.4618814761915171e-52,7.0317235935936234e-61,4.2678179250785336e-37,8.975278999735683e-46,2.1695162329803658e-55,6.248274786745573e-47,1.1438923485011811e-55,1.3444323501420225e-44,3.4075604063706011e-49,6.2685195837850665e-38,6.3165011209030948e-47
2.249271983541098e-18,0.003443712029412053,6.2077006544772865e-35,2.1197133647915897e-30,1.2394162214700532e-22,6.2040031120905095e-35,6.7713467777191808e-22,1.7878781950682453e-36,2.6622509364616424e-59,1.4151028507028569e-47,1.913962549839865e-51,9.2872108801979744e-50,7.0579461000807461e-39,5.9468361010879898e-27,3.272360985358359e-42,1.9977528964475579e-61,1.1026784058493307e-56,1.0908608692875973e-43,4.6616829735259087e-58,1.4229882302056853e-84,1.7471333529345273e-55,1.7459456615676762e-72,4.8793457675755027e-44,1.4333210489430125e-65,8.2768858910604336e-36,4.1903517714287117e-53,2.5240559666859822e-51,2.5919475143977034e-45,9.1120675509313573e-77,2.8650339498182271e-87,4.3484479303742761e-54,6.3450915900772083e-69,8.2283514951237073e-88,0.88129999999999997,0.0,0.0,0.0,0.009889999999995229,0.108803,0.0001,3.4608460387233892e-16,2.0750631991962222e-15,2.0750625547943142e-15,1.0007671350923921e-23,1.0087899435384957e-23,2.7359294225596384e-16,6.9099418409328469e-24,2.7212768138559762e-33,3.6349420908368501e-33,4.3376903350798908e-38,4.9123393286873695e-28,2.9478842371479508e-22,1.1702362472415819e-26,1.8738766567790008e-38,2.1531758664901965e-41,3.0341365726777543e-43,1.2384640140899437e-48,3.306652510057418e-22,5.4237104493868449e-58,4.8764060666616163e-67,1.3824724798035054e-68,4.1933803212102473e-78,1.6821818308128971e-73,2.1048181678646503e-27,8.2768859139930047e-36,2.3001269420446733e-44,2.8596139745091422e-45,1.4983770724555459e-22,6.3054512946225856e-51,2.737579270001106e-59,7.2468580853801579e-36,5.2898584586964242e-70,2.1499687793382572e-27,5.5468449752281323e-33,1.715153492883561e-41,4.7603249309175123e-50,3.4748236623560831e-50,2.9591110228618815e-51,2.8277923456261206e-59,2.0547706052058174e-36,8.8119820700725674e-45,4.2532989584311564e-54,6.1345864568023067e-46,2.2437823475564202e-54,1.3199295571445888e-43,6.7234241815943276e-48,6.1544672511166682e-37,1.2476080535804236e-45
4.779702965024833e-18,0.0034437120294120538,2.7102367959990307e-34,9.2573450303352964e-30,2.6337594319750342e-22,2.7094511186094811e-34,1.4389133914071218e-21,7.8081445628464171e-36,1.1626749249841957e-58,6.1389055927903602e-47,8.3587773020573839e-51,8.1785976364540281e-49,1.4998135430710806e-38,1.263702672191716e-26,1.4291260156209312e-41,1.7669898138256239e-60,9.7530656254052124e-56,4.7640760132732178e-43,4.1232059660247861e-57,5.0785347050857661e-83,3.1089245127440499e-54,3.2488505977945885e-71,4.3157175569030554e-43,2.6775384636620566e-64,7.3208117798864935e-35,7.4565070289282584e-52,1.1023215516551162e-50,2.2906348354173609e-44,8.0595205272967563e-76,1.071047234465786e-85,7.7378159717265105e-53,2.2645138712014977e-67,6.2363581401329922e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999999898635,0.108803,0.0001,7.3542978322743254e-16,4.4095092607078665e-15,4.4095079063091901e-15,4.335224931645547e-23,4.4056506532196601e-23,5.8138356881747329e-16,3.017750564612727e-23,2.3774308161374029e-32,3.0990394277718325e-32,3.83663812834409e-37,2.1453476231960702e-27,1.287415773406792e-21,5.1107291029234509e-26,1.6570487758304105e-37,1.9044596455424763e-40,2.6836483277988125e-42,2.2037717091868638e-47,1.444098972740469e-21,1.9356760956425148e-56,3.4854374977579403e-65,9.8812965224387331e-67,5.9984704284190622e-76,1.2023491703563796e-71,9.1922938462933961e-27,7.3208117770258633e-35,4.0929269916985636e-43,5.0885242522732751e-44,3.1840030132715855e-22,1.1220213882680554e-49,4.850805448095888e-58,6.4097512579885398e-35,3.7809548322613753e-68,9.3893552018806054e-27,2.5505542823749317e-32,1.5921407972378892e-40,8.8772114284469761e-49,6.479966662439402e-49,5.5182645295245518e-50,1.0415280029980366e-57,8.9737229671213874e-36,7.7940982163137373e-44,7.4521655019088287e-53,5.4259601872564883e-45,3.9354508789989946e-53,1.167387865224364e-42,1.1955158599441021e-46,5.4435522320040225e-36,2.2185299522686665e-44
9.840564927992302e-18,0.003443712029412053,1.1313042228439516e-33,3.8647592184744274e-29,5.4224457300764099e-22,1.1311424777897123e-33,2.9624778185817604e-21,3.2597556493437021e-35,4.8539389173647594e-58,2.5288772597191512e-46,3.4896249840274616e-50,6.8149032198996116e-48,3.087851399033167e-38,2.6017407986170872e-26,5.9663197970558911e-41,1.4852614089039086e-59,8.1980393244819399e-55,1.9889079564276929e-42,3.4658033382110438e-56,1.7159158689973138e-81,5.2436355552936951e-53,5.5395444554109539e-70,3.6276063190669307e-42,4.6018468076507873e-63,6.1535833154125626e-34,1.2576488772259871e-50,4.6019754706252523e-50,1.9246270022101416e-43,6.7745125742057154e-75,3.661841979857969e-84,1.305090772805512e-51,7.6512518538081591e-66,4.3363767217757727e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999999791308,0.108803,0.0001,1.5141201419335251e-15,9.0784012663908887e-15,9.0783985373767855e-15,1.7809577647347678e-22,1.8392723696477981e-22,1.1969602633447903e-15,1.2598493022562665e-22,1.9504618459510699e-31,2.4289110039679591e-31,3.2249257121289953e-36,8.9564038453373505e-27,5.3746846871365034e-21,2.133628764747934e-25,1.3922207390237595e-36,1.600813043463465e-39,2.2557494312641978e-41,3.716953288669753e-46,6.0288034338426844e-21,6.5401604106538047e-55,2.3571845918745115e-63,6.6826732722406324e-65,8.1167387937121856e-74,8.1314382837645155e-70,3.8376016649638088e-26,6.1535832740737695e-34,6.9032318425589891e-42,8.5825195669086594e-43,6.5551014117602164e-22,1.8924531377799294e-48,8.1128273238217048e-57,5.3877608673803451e-34,2.5570415562554739e-66,3.9197679208856922e-26,1.1718606770247099e-31,1.4646362721109208e-39,1.6344386860658127e-47,1.1930672166739727e-47,1.0160080803988474e-48,3.7282493029352573e-56,3.7463526058419329e-35,6.5514089596853597e-43,1.2193815655654669e-51,4.5608261856781052e-44,6.4524996677132439e-52,9.8113389169258204e-42,2.0154867800307826e-45,4.5756263254623358e-35,3.7367492829249192e-43
1.9962288853927244e-17,0.003443712029412053,4.6214140040635648e-33,1.5788801645718884e-28,1.0999817834641166e-21,4.6210858709305936e-33,6.0096346725471497e-21,1.3317238991072825e-34,1.9829924103575191e-57,1.0060730188643965e-45,1.4256256723136637e-49,5.4913393485970257e-47,6.2639270703016405e-38,5.2778170605059834e-26,2.4374363181877024e-40,1.2177070408021641e-58,6.7212479429503752e-54,8.1253379823018223e-42,2.8414754339813965e-55,5.6415150083968902e-80,8.6126212922558003e-52,8.9707735641974997e-69,2.9741073330745074e-41,7.574970370740999e-62,5.045079225793131e-33,2.0656919922830372e-49,1.8800571282735981e-49,1.5776049565100156e-42,5.5541546226339071e-74,1.1879317240558017e-82,2.1435991230641597e-50,2.5155453302924153e-64,2.8915101883222938e-82,0.88129999999999997,0.0,0.0,0.0,0.009889999999957667,0.108803,0.0001,3.0715008593293315e-15,1.8416184823217597e-14,1.8416179511663377e-14,7.0497975038501405e-22,7.5140273399631768e-22,2.4280954182866783e-15,5.1468778817746914e-22,1.5257706833832903e-30,1.7530134253472626e-30,2.6439892295973636e-35,3.6589830746872921e-26,2.1957154843661421e-20,8.7165694444483598e-25,1.1403971703457055e-35,1.3124431835330531e-38,1.8493690209633649e-40,6.1050090115930829e-45,2.462942074271146e-20,2.1502277016220637e-53,1.5506104494822042e-61,4.39601681142753e-63,1.0681005192021102e-71,5.3490593699742304e-68,1.5677854447165693e-25,5.0450791280545193e-33,1.1338290717597643e-40,1.4096747342946288e-41,1.3296684332124177e-21,3.1083601860544278e-47,1.3103913948747548e-55,4.4171769745695223e-33,1.6820809941359245e-64,1.6012688902650943e-25,5.6622302439698569e-31,1.4079789265287297e-38,3.1351560734960646e-46,2.2885246069141014e-46,1.948914721399557e-47,1.3523020445270503e-54,1.5305072117511523e-34,5.3712405272614937e-42,1.8898062825847897e-50,3.7392075890581835e-43,1.0037347368307257e-50,8.0418636108615032e-41,3.3090691197032739e-44,3.7513629020973545e-34,6.1208505273575275e-42
4.020573670579712e-17,0.003443712029412053,1.8679827594981111e-32,6.3820854221867361e-28,2.2154560077189451e-21,1.8679166050236344e-32,1.2104060378936058e-20,5.3831003718145417e-34,8.0155722342843773e-57,3.8591578364314366e-45,5.7626069270841836e-49,4.2978510393568359e-46,1.2616078250215785e-37,1.0629969620436427e-25,9.8525073513517035e-40,9.8613073618358334e-58,5.4430408444295722e-53,3.2843915380426918e-41,2.3011012254059229e-54,1.8297853073094658e-78,1.3961216758787844e-50,1.3902327495204264e-67,2.4084711685788196e-40,1.2148771362688132e-60,4.0856357003660569e-32,3.3485755253262804e-48,7.5994914931378415e-49,1.2774561743497962e-41,4.4978982777057906e-73,3.6872586317771879e-81,3.4748134144611413e-49,8.1589885104192169e-63,1.8887077678834239e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999999147396,0.108803,0.0001,6.1862622940554283e-15,3.7091750225043996e-14,3.7091740308842369e-14,2.6820144755133233e-21,3.0372896430072714e-21,4.8902927938798991e-15,2.0804361125303366e-21,1.1313987560460913e-29,1.143284520426618e-29,2.1411714875293303e-34,1.4790193531181202e-25,8.8752828275943075e-20,3.5233765463121707e-24,9.2186006083101128e-35,1.0628504112475573e-37,1.4976173414274738e-39,9.8961652176881666e-44,9.9554371469272934e-20,6.9739917794592052e-52,1.0060574240677866e-59,2.8521963239029846e-61,1.3861451884661613e-69,3.4705583682198437e-66,6.3372390041206664e-25,4.0856355178102682e-32,1.8378923175710345e-39,2.2851218285415522e-40,2.677739511400122e-21,5.0387865379888447e-46,2.0552290136093191e-54,3.5770879122583371e-32,1.0913573494986892e-62,6.4719042135540958e-25,2.9959013215367413e-30,1.475740144384767e-37,6.5428219463050006e-45,4.7759723652153248e-45,4.0673264110655078e-46,5.0881950169931735e-53,6.1865543219511041e-34,4.3497692724941025e-41,2.7520559294631988e-49,3.028053370310685e-42,1.4710262961961615e-49,6.5091674066474466e-40,5.3610334514359702e-43,3.037931501105303e-33,9.8682233710210319e-41
8.069263240953689e-17,0.0034437120294120538,7.5109424886849016e-32,2.5662079614945936e-27,4.4464036695727201e-21,7.5108089963772023e-32,2.4293359785498538e-20,2.1645687912240213e-33,3.2230262277717771e-56,1.4012211255987872e-44,2.3171189179320966e-48,3.2377256595606741e-45,2.5320379959552915e-37,2.1334274884908249e-25,3.9616499079521429e-39,7.937238133323639e-57,4.3810328056219401e-52,1.3206394023165232e-40,1.8521276627872285e-53,5.8947259611310857e-77,2.2483421551565195e-49,2.0344573492899061e-66,1.9384858653232956e-39,1.9157391915938581e-59,3.2884746366827962e-31,5.3927769734919322e-47,3.0557223133093156e-48,1.0281558492409703e-40,3.6202996218359146e-72,1.0812880275442933e-79,5.595908734512437e-48,2.6284479235091832e-61,1.2211314407566391e-78,0.88129999999999997,0.0,0.0,0.0,0.0098899999998288829,0.108803,0.0001,1.2415785163245559e-14,7.4442874872805345e-14,7.4442857297625449e-14,9.6378097360397997e-21,1.2212805290030771e-20,9.8143958251865619e-15,8.3652278513736869e-21,7.7839630701864584e-29,6.5988724209662837e-29,1.7234018278554151e-33,5.947070935862334e-25,3.5685913851330838e-19,1.4167340733508124e-23,7.3932980091355937e-34,8.5547431032540008e-37,1.2053328252088672e-38,1.5936446544869527e-42,4.0029019838459846e-19,2.2466224641036492e-50,6.4825884570241586e-58,1.8378290489076797e-59,1.7864379058503447e-67,2.236293366320925e-64,2.5481755849589539e-24,3.2884743233102989e-31,2.9595679087308811e-38,3.6800484858302772e-39,5.372900002186532e-21,8.1148127273742736e-45,3.104645682611822e-53,2.8790605629328634e-31,7.0322237147238387e-61,2.6017769922456112e-24,1.7731500141484869e-29,1.7277680361307704e-36,1.5239864591699054e-43,1.1124445566353606e-43,9.4742642331105528e-45,1.9816560909429076e-51,2.4875858751670762e-33,3.5010718566407041e-40,3.6807287554918061e-48,2.4371540747708667e-41,1.986464224153053e-48,5.2337707026265344e-39,8.6248500113969315e-42,2.4451603012847426e-32,1.5721491019347427e-39
1.6166642381701642e-16,0.003443712029412053,3.0121965187490264e-31,1.029163754198867e-26,8.9082958464697948e-21,3.012169118684279e-31,4.8673750573407982e-20,8.6812724403767915e-33,1.2925775793763167e-55,4.6307237811127834e-44,9.2926833573815147e-48,2.2941508399734682e-44,5.072898077626277e-37,4.2742885992298335e-25,1.5887988336254828e-38,6.3691338195548948e-56,3.5155029189825194e-51,5.2963547550977288e-40,1.4862177408097673e-52,1.8925629908661792e-75,3.6088663491780299e-48,2.7134056995626807e-65,1.5554145141880921e-38,3.0293054387660487e-58,2.6387931254140822e-30,8.6565991818225756e-46,1.2254821891350591e-47,8.25009241699882e-40,2.9050620943273488e-71,2.8940630070795556e-78,8.9821234174362064e-47,8.4388883819827025e-60,7.8550336921214496e-77,0.88129999999999997,0.0,0.0,0.0,0.0098899999996571696,0.108803,0.0001,2.4874830900577576e-14,1.4914510333190466e-13,1.4914507285290644e-13,3.1769763202581011e-20,4.8978789317185968e-20,1.9661435146523837e-14,3.3547389656268226e-20,4.8281517264379674e-28,3.3646009846112518e-28,1.3829226144257537e-32,2.3850408043994967e-24,1.4310678671991988e-18,5.6817363082747159e-23,5.8903532397870088e-33,6.8646400095340013e-36,9.6707547814678375e-38,2.5578244215897296e-41,1.6052340507514897e-18,7.2125226280529493e-49,4.1625495977956733e-56,1.180092664145984e-57,2.2942507019162043e-65,1.4359761534211176e-62,1.0219321016563961e-23,2.6387926069178242e-30,4.7497958536756606e-37,5.9070688388578324e-38,1.0759297182927539e-20,1.3026079116430714e-43,4.4189194919531498e-52,2.3101187730264354e-30,4.5154775493924005e-59,1.0429902707127671e-23,1.1668417837629572e-28,2.2525062083997393e-35,3.9550945591312697e-42,2.8870563658649899e-42,2.459020323716052e-43,7.7526053768186276e-50,9.9763289376870357e-33,2.8093883462738168e-39,4.40578557806957e-47,1.9555235554421978e-40,2.4068920246988256e-47,4.1911692499468236e-38,1.3817060081583826e-40,1.9620370308121796e-31,2.4704620039510964e-38
