Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160),S(2726),C7H9(2388),C7H9(1587),S(859),S(1111),S(1873),S(2962),S(2913),S(1093),C7H9(2432),S(3132),C7H9(3107)
0.0,0.0028370370393937493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3025520390651037e-19,0.0028370370393937493,1.774974502458332e-36,6.2102617174968678e-32,1.470959580272637e-23,1.7701779026250002e-36,1.0441440510011959e-22,6.6441818825438775e-38,6.6072071225470834e-61,3.78004989494098e-49,6.1559531597382914e-53,7.1395400558901937e-52,7.475349395794353e-40,9.1383515747183732e-28,1.194648986650155e-43,1.821086163043176e-63,8.4667038965011513e-59,3.8740990192779878e-45,4.5694589040368978e-60,5.0045515776573373e-88,2.526163063563037e-58,1.8391035235002727e-75,2.3599708259372163e-46,2.1154420012806629e-68,5.736302219258546e-38,7.8252541677972187e-56,6.7117586365534117e-53,2.095662340841533e-47,5.9510327096402533e-79,8.9790414872456929e-91,6.31818642046681e-57,2.732036251884809e-72,7.4286720532995132e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999999992414,0.108803,0.0001,4.692519676508472e-17,3.3848015400493628e-16,3.3848005828827268e-16,4.1059690484736635e-25,4.1134586750961196e-25,3.406551829247992e-17,2.8312615552473063e-25,2.5388899222497002e-35,3.4739240674038235e-35,4.8297045146546202e-40,1.9316786736832446e-29,7.5539248108188101e-24,4.6081407897093751e-28,2.0366191381035865e-40,1.833051602906208e-43,2.4398639821581799e-45,2.3764666653030352e-51,8.3711776653601086e-24,2.6010692348419594e-61,7.3016437956282628e-71,1.6004354564425616e-72,1.5283930146970719e-82,2.401059917143644e-77,6.4712881849818952e-29,5.7363022374654244e-38,4.7981984383407386e-47,5.9462959982151394e-48,2.3124004113120097e-23,1.2506084733575503e-53,6.3298556840744589e-62,3.9718822958185091e-38,7.9361101283437134e-74,6.8520490016843324e-29,1.5426415608980385e-34,1.0836611792004294e-43,9.0644206435666829e-53,6.5847191457113196e-53,5.6166599945202101e-54,1.3287833895335728e-62,5.9151921750905748e-38,7.1885766972697604e-47,8.4525749346319293e-57,3.8180729313825254e-48,4.4341627949828289e-57,8.7642171114208265e-46,1.1026382020112169e-50,5.614115290548986e-39,3.4107558866919173e-48,3.1403154920366021e-62,3.8877214935311456e-72,3.4110823537918611e-48,1.1768295289489829e-48,4.1347608313052164e-48,5.0247132792402065e-57,2.6681008809949528e-58
9.247145709382291e-19,0.0028370370393937493,1.070530462358648e-35,3.7509980406988343e-31,4.1186868083822965e-23,1.0691874496269282e-35,2.9236045937684839e-22,4.0130873618592562e-37,3.9907530995066508e-60,2.2789959647514855e-48,3.7181957088768232e-52,8.4665587049749073e-51,2.0930978295945151e-39,2.558738441280576e-27,7.2156798802139496e-43,2.1619934929690191e-62,1.0051670865825841e-57,2.3399558079168527e-44,5.4248616690617617e-59,2.0651414379255896e-86,5.6509234447808731e-57,5.772235510896486e-74,2.8017561802366395e-45,6.6421545676552101e-67,6.810137981971366e-37,1.7504780530896911e-54,4.0539022146298907e-52,2.4813442722919388e-46,7.0650660255812294e-78,5.1625045418822548e-89,1.4133524587884034e-55,1.1273819663151574e-70,8.4495783801803661e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999999978779,0.108803,0.0001,1.3139055094218574e-16,9.4774442897028318e-16,9.4774416187396268e-16,2.4756509656197327e-24,2.4845290316742296e-24,9.5383398472590728e-17,1.7100816642064774e-24,3.0064666349987008e-34,4.0919831828265621e-34,5.7338255644971817e-39,1.1667339162921426e-28,4.5625684803927877e-23,2.7833170314862266e-27,2.4177577551927189e-39,2.1761988566858762e-42,2.8966040189372258e-44,5.3160564868466116e-50,5.0561889767605756e-23,1.0733376386450171e-59,5.4964908311099359e-69,1.2047669075444035e-70,2.0862472876560059e-80,1.807456803564196e-75,3.9086580557491941e-28,6.8101379979253984e-37,1.0733363661221878e-45,1.3301623006732585e-46,6.4746989250184323e-23,2.7975611451677326e-52,1.4144468070454428e-60,4.7154166685114639e-37,5.9741008738028968e-72,4.1386256194962257e-28,9.437524523081147e-34,1.3016920697307887e-42,2.0505130537345792e-51,1.4895660084027891e-51,1.2705767116654093e-52,5.5275750610352723e-61,3.5727760631474222e-37,8.5342782240860681e-46,1.8847731315364834e-55,4.5328140669926037e-47,9.8896997070694539e-56,1.0404734862315744e-44,2.4609212496546183e-49,6.6650765391531487e-38,7.6286142728445093e-47,1.2929705845742002e-60,2.9201143255643119e-70,7.6299611723831175e-47,2.6325201550901255e-47,4.966668077325571e-47,1.136640009966713e-55,6.0342121888153755e-57
2.1136333050016665e-18,0.00283703703939375,5.1507468762614197e-35,1.8059440718202857e-30,9.4141411990772019e-23,5.1476772874746647e-35,6.6825306831635809e-22,1.9321303465919984e-36,1.9213758274496091e-59,1.0930230155505228e-47,1.7901511794384956e-51,8.2919380858366228e-50,4.7842236047130572e-39,5.8485450103357811e-27,3.4740392544502578e-42,2.1226580322699537e-61,9.8687900614506409e-57,1.1265879952154492e-43,5.3261614725221914e-58,8.169487285258579e-85,1.1165262597590297e-55,1.2829572474142617e-72,2.7507783233360088e-44,1.4781903744671105e-65,6.6862338272972826e-36,3.458649638195583e-53,1.9517794087382531e-51,2.4327649230719209e-45,6.9365237036518093e-77,2.3065835292054659e-87,2.7925438204016761e-54,4.4598070724139021e-69,7.6493711625898404e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999999951492,0.108803,0.0001,3.0032125929618174e-16,2.1662729699614336e-15,2.1662723637125391e-15,1.1875070190286202e-23,1.1961937705934305e-23,2.1801894784776332e-16,8.2333038753716591e-24,2.9355768908153101e-33,3.9508194548880189e-33,5.6295041673898216e-38,5.6173215439302684e-28,2.1966781769763489e-22,1.3400473334171038e-26,2.373522198590731e-38,2.1366049288821274e-41,2.8438977055092129e-43,1.0503612825449037e-48,2.4343349654145379e-22,4.2460094031985543e-58,4.3459023383286701e-67,9.5257128342303871e-69,3.2957535922183975e-78,1.429099640623599e-73,1.8818505922228986e-27,6.6862338309696305e-36,2.1207255957475164e-44,2.6281751322058999e-45,1.4799207046761031e-22,5.5275094498896711e-51,2.7880070033399843e-59,4.6296198254503082e-36,4.7235335757159441e-70,1.9925578835105931e-27,4.6659548657451589e-33,1.3101407134235746e-41,4.1502244131373986e-50,3.0148715783026208e-50,2.571642071443739e-51,2.2250468457795795e-59,1.7201378686272051e-36,8.3790049026293693e-45,3.6981625987705133e-54,4.4503392457278539e-46,1.9414663487351378e-54,1.0215126029677297e-43,4.8559258962798881e-48,6.5438092680418471e-37,1.5068057713309185e-45,5.1079837604521974e-59,2.3056661945161645e-68,1.5073383501021814e-45,5.2014143582684981e-46,4.998904281711394e-46,2.3004260805852853e-54,1.2206800286453677e-55
4.4914707731285416e-18,0.0028370370393937493,2.2487781126742199e-34,7.8870321034887641e-30,2.0005049718368927e-22,2.2481258812370846e-34,1.4200402877395676e-21,8.4381342844363296e-36,8.3911530064110655e-59,4.7367595944845648e-47,7.8180605189023849e-51,7.2975985804116842e-49,1.0166475135303674e-38,1.2428158154197108e-26,1.5172042143619412e-41,1.8774669919614153e-60,8.7288330484834295e-56,4.9201057587135681e-43,4.7109297118684021e-57,2.9156270607550389e-83,1.9867952958050405e-54,2.3849255390620718e-71,2.4330278128314615e-43,2.7551944944595855e-64,5.9138980530786874e-35,6.1544821865024511e-52,8.5239334399564581e-51,2.1502736166611935e-44,6.1352766345870579e-76,8.6142715884032884e-86,4.9691737002899593e-53,1.591670692465955e-67,5.797542574461392e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999999896918,0.108803,0.0001,6.3818267600334988e-16,4.6033300164588513e-15,4.6033287460584786e-15,5.1477883176716561e-23,5.2240923921101641e-23,4.6328920266081593e-16,3.5956972906155533e-23,2.5681397307929047e-32,3.3813457849624293e-32,4.9792328920497006e-37,2.4532318752344044e-27,9.5934518770322486e-22,5.8523387182307138e-26,2.0989147752815841e-37,1.8898028397257066e-40,2.5153858917173307e-42,1.8690550031354439e-47,1.0631359471794489e-21,1.5153651849465241e-56,3.1062582586300066e-65,6.8085570981814377e-67,4.7144514167780064e-76,1.0214576481901547e-71,8.2185358712385557e-27,5.9138980349953055e-35,3.7736957540037886e-43,4.6766921396166245e-44,3.1447867675169334e-22,9.8359079318677671e-50,4.9371928032911386e-58,4.0948387967530252e-35,3.3761723283307182e-68,8.7019165837379545e-27,2.1451042877044755e-32,1.2159632383472302e-40,7.7381619506401772e-49,5.6212784143932821e-49,4.7948821561617577e-50,8.210875168405285e-58,7.5122938986231646e-36,7.4111348313307956e-44,6.4902031524230024e-53,3.9362666870832098e-45,3.410635868522563e-53,9.0346219047668256e-43,8.6347913283041119e-47,5.7879209197170866e-36,2.6795664267877962e-44,1.8216966739889763e-57,1.6467340344455518e-66,2.681465436313877e-44,9.2556323245132338e-45,4.6395656446156393e-45,4.2887127173369493e-53,2.2735853188116986e-54
9.247145709382291e-18,0.0028370370393937493,9.3868254230131865e-34,3.2926805514097244e-29,4.118686570855644e-22,9.3854827445821509e-34,2.9236227327626004e-21,3.5227661942608634e-35,3.5031411810343053e-58,1.9472435751496853e-46,3.2638863707130482e-50,6.0732810969398764e-48,2.0930978117899044e-38,2.5587384464923439e-26,6.334028939105826e-41,1.5781241338873704e-59,7.3371101282600362e-55,2.0540473038286405e-42,3.959820624226239e-56,9.8512115975831168e-82,3.3510087574930079e-53,4.0583607174403154e-70,2.0450989703543748e-42,4.7141448052859798e-63,4.9709875719911669e-34,1.0380433597825317e-50,3.5585744041341832e-50,1.8068240218016967e-43,5.1570696429738853e-75,2.9393751284799772e-84,8.3812079795938454e-52,5.3778767883048851e-66,4.0312515877416534e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999999787769,0.108803,0.0001,1.3139055094143904e-15,9.4774439696445177e-15,9.477441425425507e-15,2.1176921051821427e-22,2.1809556768435163e-22,9.5382633656098162e-16,1.5011304810425347e-22,2.1124742372414227e-31,2.6688143149950802e-31,4.1853455449943387e-36,1.0241759966597297e-26,4.0050615653670495e-21,2.4432361710860596e-25,1.7635267200932662e-36,1.5884931164728346e-39,2.1143175540131813e-41,3.1524115738275749e-46,4.4383658514018178e-21,5.1200398937808626e-55,2.1007490648812999e-63,4.6045978207607687e-65,6.3792927807187724e-74,6.908082180694039e-70,3.431076884357739e-26,4.9709875209060838e-34,6.3648147693489413e-42,7.8879076915654431e-43,6.4743766532508426e-22,1.6589697045956956e-48,8.2474274047975245e-57,3.4419461072676077e-34,2.2832907977001549e-66,3.6327893009431275e-26,9.8525925581858853e-32,1.1182436216642838e-39,1.42429847002815e-47,1.0346617096396638e-47,8.8255847942004598e-49,2.950013224909288e-56,3.1362347446519769e-35,6.2295051866603418e-43,1.0653406225239614e-51,3.3086559090677758e-44,5.60918481288725e-52,7.5932334622629765e-42,1.4557491831383682e-45,4.8650890967749561e-35,4.5137071977580791e-43,6.152375345433839e-56,1.1130992548258132e-64,4.5201118781561001e-43,1.5610954425190423e-43,4.2667118004567489e-44,7.8921470302921549e-52,4.1760281663609573e-53
1.8758495581889788e-17,0.0028370370393937493,3.8345481014034108e-33,1.3451673662517232e-28,8.3550493495319104e-22,3.8342757262306241e-33,5.9308196475139779e-21,1.4391741170405769e-34,1.4311474616348182e-57,7.7151677361538396e-46,1.3334040827959912e-49,4.8817701095940131e-47,4.2459983768746314e-38,5.1905837178390893e-26,2.5876575011763582e-40,1.2938415132911627e-58,6.0154061716266206e-54,8.3914534719532454e-42,3.2465007582722918e-55,3.2388409600207823e-80,5.5040028364607988e-52,6.5461950654127999e-69,1.6766833844631519e-41,7.6907234349444501e-62,4.075515813579413e-33,1.7049892803923335e-49,1.4537937487691554e-49,1.4810956395664498e-42,4.2280771939981819e-74,9.4985526814249379e-83,1.3766061454970865e-50,1.7681159001504436e-64,2.6880517484112016e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999999569471,0.108803,0.0001,2.6653511762232882e-15,1.9225671332971325e-14,1.922566644286019e-14,8.4050379476101538e-22,8.9099150751647547e-22,1.9348871016433971e-15,6.1325885720065683e-22,1.6606947222759567e-30,1.9489126322865529e-30,3.4313995740721041e-35,4.1840929714367038e-26,1.6361854638731659e-20,9.9814166458787296e-25,1.4446375879369848e-35,1.3023425654943565e-38,1.7334192783024661e-40,5.1777703258521744e-45,1.8132030109628801e-20,1.6833330458421715e-53,1.3819232993902402e-61,3.0290152997203547e-63,8.3946720670835929e-72,4.5443134636348619e-68,1.4017068117691533e-25,4.0755157128505447e-33,1.0453981990329041e-40,1.2955855689948916e-41,1.3132987513587537e-21,2.7248629422039246e-47,1.3289774395154323e-55,2.8218946540098684e-33,1.5020036600477365e-64,1.4840397675589922e-25,4.7582606548642383e-31,1.0744760668031533e-38,2.7307984424437654e-46,1.9837511524115162e-46,1.69214214121278e-47,1.0774265464719663e-54,1.2812541630686368e-34,5.1073244100387849e-42,1.6607254251076902e-50,2.7126140105068234e-43,8.7752209970469633e-51,6.2238986495191143e-41,2.390137015033537e-44,3.9886821996656381e-34,7.3948825269094501e-42,2.0219726710898189e-54,7.3182700351079802e-63,7.4158634734007803e-42,2.5640966212750342e-42,4.0997146238188506e-43,1.5124965507582126e-50,7.9733390776236515e-52
3.7781195326904786e-17,0.0028370370393937493,1.5499302911226259e-32,5.4373809521237417e-28,1.6827773229416614e-21,1.5498753805183369e-32,1.1945341575829093e-20,5.8174461153403399e-34,5.7849267354076887e-57,2.9358487927086987e-45,5.3898325147909136e-49,3.8024609118683675e-46,8.5517993813067046e-38,1.0454274297338567e-25,1.045972539411318e-39,1.0477864059539275e-57,4.8714318760301757e-53,3.3919596746477955e-41,2.6291014056023298e-54,1.0504961075661486e-78,8.9220989839188581e-51,1.0066789223317263e-67,1.3578017359258018e-40,1.2117288988779217e-60,3.300458156340785e-32,2.7638609178573191e-48,5.8764667665660943e-49,1.1993297052188745e-41,3.4240064083588563e-73,2.9259736933350255e-81,2.2315061704141181e-49,5.7347615773272371e-63,1.7558105900539829e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999999132893,0.108803,0.0001,5.3682425097883512e-15,3.872212400466728e-14,3.8722115112532329e-14,3.213370545327541e-21,3.6015297327890857e-21,3.8969546224232721e-15,2.4788747986128447e-21,1.2422874295224894e-29,1.2930690308124499e-29,2.7788370236546661e-34,1.6912771547469083e-25,6.6136192216008906e-20,4.0346479488977663e-24,1.1679528469988577e-34,1.054670673126621e-37,1.4037257730811086e-39,8.3931451885330654e-44,7.329141195022908e-20,5.4596943705781906e-52,8.9661355039353437e-60,1.9652727486210084e-61,1.0894357431397395e-69,2.9484359013284014e-66,5.6659226524968224e-25,3.3004579794613433e-32,1.6945559798209258e-39,2.1001817592349708e-40,2.6447933978948933e-21,4.4171209675687759e-46,2.074725997557844e-54,2.2852098967662256e-32,9.7452359473668117e-63,5.9981343289449427e-25,2.5160123360595949e-30,1.1254849214162867e-37,5.6954500417771501e-45,4.1373850757914942e-45,3.5292679812192375e-46,4.1032572853601975e-53,5.179033687703095e-34,4.1360432296658721e-41,2.442775257639034e-49,2.1967095212002357e-42,1.2987811197351738e-49,5.0378578676794314e-40,3.8724096395970072e-43,3.2301191931289538e-33,1.1926621124869509e-40,6.5546876983242069e-53,4.7442533593365585e-61,1.1994181916542945e-40,4.1564873641768112e-41,4.2943413673802425e-42,3.1517766213365003e-49,1.6492580315284824e-50
7.582659481693478e-17,0.0028370370393937493,6.2320901724943652e-32,2.1863464714830426e-27,3.3773214279131766e-21,6.2319793743676584e-32,2.3974897827641307e-20,2.3392291927206888e-33,2.3260934964987012e-56,1.0498281933515404e-44,2.1672279642605896e-48,2.8383553362840643e-45,1.716340088722136e-37,2.0981655603562072e-25,4.205809613812088e-39,8.4334966033266784e-57,3.9209521761038115e-52,1.3638920776411522e-40,2.1161310194074837e-53,3.3842216888446721e-77,1.4368356969388448e-49,1.4516516688993077e-66,1.0928448658326061e-39,1.8456200169199657e-59,2.6564955124901334e-31,4.4511122277567025e-47,2.3629016382743556e-48,9.6528462063111383e-41,2.755938040223976e-72,8.4572980931234921e-80,3.5936697509529635e-48,1.8474783123405451e-61,1.1352076511798646e-78,0.88129999999999997,0.0,0.0,0.0,0.0098899999998259738,0.108803,0.0001,1.0774025176707552e-14,7.7715021903146885e-14,7.7715006991089777e-14,1.1645858482496409e-20,1.4481589463977543e-20,7.8208736383361635e-15,9.9673215693354751e-21,8.6678514543072137e-29,7.618879839621956e-29,2.236650887353192e-33,6.8005501171579185e-25,2.6592235466376567e-19,1.6223140107215313e-23,9.3694269445443593e-34,8.488905531186993e-37,1.1297728575709874e-38,1.3516116918991229e-42,2.9469227346483108e-19,1.7588127531701551e-50,5.7774150580564054e-58,1.266342304477279e-59,1.4040526739704754e-67,1.8998707793970831e-64,2.2782422618312969e-24,2.6564952167189227e-31,2.7287739740549735e-38,3.382219105103628e-39,5.3068729001059071e-21,7.1136394520521941e-45,3.1064365673103873e-53,1.8392817171340535e-31,6.27943612297997e-61,2.4113477276373635e-24,1.4881518916148013e-29,1.3168303573761433e-36,1.325744226377592e-43,9.6307107972445885e-44,8.2155203638676191e-45,1.6285516142762065e-51,2.082466289763804e-33,3.3290466574585092e-40,3.3172167490537469e-48,1.7680455873136487e-41,1.7807668141171893e-48,4.0510206313634716e-39,6.2303650391571418e-42,2.5998502778654332e-32,1.901451644258234e-39,2.1096660527258958e-51,3.0522972380222182e-59,1.9229065514906632e-39,6.6938183256950065e-40,5.0244290672628491e-41,7.3237859430759156e-48,3.7770070726313499e-49
1.5191739379699477e-16,0.0028370370393937493,2.4993241154536887e-31,8.7682232493556407e-27,6.7664069536882638e-21,2.499301406865384e-31,4.8036059911494697e-20,9.381834124956098e-33,9.3286744833831818e-56,3.3749700881293395e-44,8.6915535766720532e-48,1.9780564475495526e-44,3.4386601887252928e-37,4.2036418804912093e-25,1.6867177959739275e-38,6.7673499892122081e-56,3.1463171840156065e-51,5.4698173339767525e-40,1.6980642514563656e-52,1.0865438879380734e-75,2.3063084039267983e-48,1.8854395836533897e-65,8.7688767203016587e-39,2.7372879057097499e-58,2.1316697946823281e-30,7.1450190510279029e-46,9.4763005052242484e-48,7.7456375573412199e-40,2.2114663948999508e-71,2.2054819358309054e-78,5.7683079310909979e-47,5.9315345971546982e-60,7.3023214333720916e-77,0.88129999999999997,0.0,0.0,0.0,0.0098899999996513426,0.108803,0.0001,2.1585590509702239e-14,1.5570079228535913e-13,1.5570076890507397e-13,3.8893608066274413e-20,5.8077625302877228e-20,1.5667847662707866e-14,3.9972416350770319e-20,5.4808123810684308e-28,3.9607252076361474e-28,1.7947732398476479e-32,2.7273240612410764e-24,1.0664004861605811e-18,6.5062034810125358e-23,7.4686650085135176e-33,6.8118096489488381e-36,9.06462831818708e-38,2.1693842374252596e-41,1.181773469508426e-18,5.646533549337819e-49,3.7097933387090539e-56,8.1314367543370449e-58,1.8031900529952507e-65,1.219967929611374e-62,9.1367678952345315e-24,2.131669311214444e-30,4.3794643004435142e-37,5.4290217129846427e-38,1.0627395229488566e-20,1.1418974157734434e-43,4.3512331445451279e-52,1.4758210615989644e-30,4.0321513923143621e-59,9.6667693866416141e-24,9.7878026668587131e-29,1.7158319576241315e-35,3.4387462250642594e-42,2.4980442169320384e-42,2.1311444712168983e-43,6.5311562511045615e-50,8.3516184288245865e-33,2.671349140411085e-39,4.0483081802427634e-47,1.4186532495435429e-40,2.2007751288546909e-47,3.2444675708647904e-38,9.9823913572102177e-41,2.0861669712632152e-31,2.9921090879556902e-38,6.7612079363156941e-50,1.9540365550791529e-57,3.0590665153490044e-38,1.0744815800553012e-38,6.5468388966258705e-40,1.8931282112646665e-46,9.4908015695069103e-48
