Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160),S(2726),C7H9(2388),C7H9(1587),S(859),S(1111),S(1873),S(2962),S(2913),S(1093),C7H9(2432),S(3132),C7H9(3107),S(3133)
0.0,0.0022433015030407393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.7506138769303436e-20,0.0022433015030407393,6.4374467939211471e-36,1.3069778508212571e-31,1.2194150617371076e-22,6.0679460598364591e-36,3.0395731724607298e-22,7.7844939228574532e-38,1.2852665082022173e-58,4.9986727709943602e-48,1.108169366595075e-51,1.3329039895029748e-51,5.4250975227363408e-38,2.8291154882120264e-27,1.9228573812926676e-43,6.4445395408115814e-63,1.5663586398099524e-58,1.0545546635364878e-44,4.1335404047671128e-60,8.2771949087176095e-87,2.4184565869696094e-58,6.1789127843202017e-75,1.0970278793707374e-45,5.5673258880768729e-69,1.450274994664942e-38,2.9272012931434271e-56,8.8481911821877548e-52,1.6841879177230362e-47,9.6136216760739182e-77,1.2021427840251539e-90,5.4859186673387465e-57,9.6341544020780613e-73,1.5358170247167711e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999999991894,0.108803,0.0001,3.0779536843493377e-17,3.326341144999281e-16,3.3263375370351993e-16,7.9683333580591893e-26,7.9719562602890082e-26,1.1296879902794659e-16,5.0023251321307684e-26,1.3507944400629375e-36,1.6911952108610806e-36,3.8011880922574377e-41,7.4633581133286377e-30,3.954795181743224e-24,1.7599721324056351e-28,2.5164820057801171e-41,4.6454743371806383e-44,1.8425682991573468e-45,5.2758513967795308e-52,5.5309763190241657e-24,1.1714055029462492e-62,6.2106852695853736e-73,3.633946104690749e-74,6.313247039472244e-85,5.1834708060754614e-79,5.3638829746101507e-29,1.4502751041208507e-38,2.1809986684040478e-48,2.877906789860588e-49,6.5049609683093435e-23,1.5107814534467756e-54,2.1498089361035841e-62,1.7213436742616648e-38,6.5051099504054936e-76,2.851373522980091e-29,4.0062670385994371e-34,7.8013518615044079e-44,1.1732077874278501e-53,9.3484233815425281e-54,7.7404503478306431e-55,5.5710358153495763e-64,1.7256712778041648e-37,4.1357726915582774e-47,1.2184672346751382e-57,7.4745996013194167e-48,7.0058591150668497e-58,4.9760985031349512e-46,1.2974227854977653e-51,3.819637556336304e-40,4.5769724801587049e-50,7.2346124660533837e-64,2.4546865945926724e-74,4.5770415919299216e-50,2.2173973088752465e-50,6.7102728101522358e-48,1.6081840845255893e-57,2.9063489334880786e-58,1.0091252616963994e-57
1.3301718855404963e-19,0.0022433015030407393,3.7684995654622455e-35,7.8941444547356155e-31,3.414362169498758e-22,3.6650394171182066e-35,8.5108053647503066e-22,4.7018345889874265e-37,7.763009709297635e-58,3.0184213198057325e-47,6.6933429748209086e-51,1.5821159492048258e-50,1.5190273062040646e-37,7.9215233676800687e-27,1.1614058583848421e-42,7.6509573434409937e-62,1.8595809772638818e-57,6.3695101682200644e-44,4.9073391969194552e-59,3.4156074364224053e-85,5.4099902553181221e-57,1.9422649038405914e-73,1.3023913997363882e-44,1.7508619168869624e-67,1.7217664728832228e-37,6.5480322013162628e-55,5.3443074735870314e-51,1.9119878649237962e-46,1.1413291652541981e-75,6.9220317610734634e-89,1.2271779734089963e-55,3.975560510565962e-71,1.7468786246581798e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999999977357,0.108803,0.0001,8.618270316176545e-17,9.3137552017956109e-16,9.313745101111905e-16,4.8107571591604987e-25,4.815061576239906e-25,3.1631260593600751e-16,3.0214042510641445e-25,1.6019441400136344e-35,2.0014400436971768e-35,4.5127722574165213e-40,4.5078682961637133e-29,2.3886960922724453e-23,1.0630231675726473e-27,2.9875402373780022e-40,5.5151071271975329e-43,2.1874965291417085e-44,1.1801865676674204e-50,3.3407094204764728e-23,4.8338364624743419e-61,4.6752477586921201e-71,2.7355432849754066e-72,8.617549097675947e-83,3.9019867442608194e-77,3.2397853150556801e-28,1.7217666025701044e-37,4.8788054655076433e-47,6.4377620072323701e-48,1.8213881448376047e-22,3.3795576879460168e-53,4.8081433855896102e-61,2.0435790552710141e-37,4.8968832588948239e-74,1.7222288618618629e-28,2.4212785080009752e-33,9.2669988263721665e-43,2.6258352843925292e-52,2.0923334849775885e-52,1.7324425201720381e-53,2.2945606484353059e-62,1.0423054511528705e-36,4.9099893337816501e-46,2.7222625373366925e-56,8.8738435640451399e-47,1.5652145032528117e-56,5.9076109794422517e-45,2.6147010868842094e-50,4.5346735285113226e-39,1.0238256078794506e-48,2.696735700697539e-62,1.6715367531904744e-72,1.0238541260516894e-48,4.960228897321288e-49,7.9709377748671486e-47,3.5993644752069126e-56,6.504613368277503e-57,2.2585903976608686e-56
3.04039288123542e-19,0.0022433015030407393,1.7882067174742782e-34,3.8006903500363545e-30,7.8042563715614804e-22,1.7645587096659564e-34,1.9453271676770503e-21,2.2637312210692566e-36,3.7375550054684879e-57,1.45244899810703e-46,3.2225565189330805e-50,1.5526728469956895e-49,3.4720624134164835e-37,1.8106339129361728e-26,5.5916692660609977e-42,7.5117552905861451e-61,1.8257476308151394e-56,3.066644962253606e-43,4.8180547806529128e-58,1.3511801418925194e-83,1.0689227390399271e-55,4.3307996824132437e-72,1.2786953903716704e-43,3.9101143045876601e-66,1.690440531354152e-36,1.2937808178465377e-53,2.5730539950980742e-50,1.8318693826364743e-45,1.1205637421573588e-74,3.1025150732120369e-87,2.4246964942949305e-54,1.5726919588064453e-69,1.5814419482039367e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999999948231,0.108803,0.0001,1.9698903579824549e-16,2.1288583298595673e-15,2.1288560218918691e-15,2.3140198299302832e-24,2.318244873030334e-24,7.2300009438319528e-16,1.4546759553113016e-24,1.5691690169920178e-34,1.9517115739195768e-34,4.4306673574901663e-39,2.1703445329258595e-28,1.1500541426002842e-22,5.1179989550335011e-27,2.9331271079059146e-39,5.4147648691176044e-42,2.1476958870834758e-43,2.3318485408822032e-49,1.6084074992511089e-22,1.9122166328203116e-59,3.6965758980234972e-69,2.1629106950764403e-70,1.3613608461143905e-80,3.0851823237556888e-75,1.5598171666033377e-27,1.6904406581325221e-36,9.6396917612198828e-46,1.2719931290496944e-46,4.1631685357007705e-22,6.6774365180916547e-52,9.4961822535586621e-60,2.0063977068009245e-36,3.871816334474242e-72,8.291783014563879e-28,1.1672622779244342e-32,9.1094807950485631e-42,5.19433273935436e-51,4.1389784886446843e-51,3.427056443129171e-52,9.0393707484413451e-61,5.0182520662449904e-36,4.8206566318120637e-45,5.3640878568706155e-55,8.7123899391157474e-46,3.0841230723595712e-55,5.8000996086307976e-44,4.8429027437310664e-49,4.4521689827205023e-38,2.0227995193612142e-47,9.9913687507255041e-61,1.2371257955734395e-70,2.0229123257265993e-47,9.8005756235637188e-48,7.8354498492895907e-46,7.1200442463316575e-55,1.2865972306690488e-55,4.4678589076261942e-55
6.460834872625268e-19,0.0022433015030407393,7.7565433617728816e-34,1.6598612452725475e-29,1.65840447218446e-21,7.7062914491367078e-34,4.1338212010575072e-21,9.8863112894930335e-36,1.6322884650121067e-56,6.3362860893640938e-46,1.40737509647699e-49,1.3721508590376398e-48,7.3781326252475526e-37,3.8475970663707359e-26,2.4420288755474429e-41,6.6440624887979253e-60,1.6148531038290433e-55,1.3392844234038135e-42,4.2615149913701855e-57,4.8222645682806493e-82,1.9020902966071695e-54,8.1025177647697805e-71,1.1309912202882515e-42,7.3391885754698997e-65,1.495175503402413e-35,2.3022138342963731e-52,1.1237202794328762e-49,1.600736312442885e-44,9.9112593945933511e-74,1.1660268908538976e-85,4.3146164877595767e-53,5.6128241468322148e-68,1.198592143595929e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999999889979,0.108803,0.0001,4.1860170107094936e-16,4.5238239425160201e-15,4.5238190413145779e-15,1.0087068253550702e-23,1.0124384373468326e-23,1.5363745698021459e-15,6.3529509223515542e-24,1.3814993451553119e-33,1.7030438451757049e-33,3.9188754633135179e-38,9.4784647374937066e-28,5.0225868195582349e-22,2.2351646019596556e-26,2.5942152275732213e-38,4.7892981842342864e-41,1.8996105966339692e-42,4.1493954609338381e-48,7.0243356438438745e-22,6.8245581674126513e-58,2.6421551273232715e-67,1.5459565136252892e-68,1.9473802829809465e-78,2.2051575067659498e-73,6.8121313528174363e-27,1.4951756145598601e-35,1.7153296101329733e-44,2.2634432459005135e-45,8.8467144968733982e-22,1.1882141619326284e-50,1.6884004986924001e-58,1.7746354665883353e-35,2.7674095360728839e-70,3.6212328109333076e-27,5.1111039378182044e-32,8.0769542953428874e-41,9.2649341629322895e-50,7.3825380683750648e-50,6.1127143681486725e-51,3.1995218194181017e-59,2.1916025128879639e-35,4.2638161774238934e-44,9.4931726557928522e-54,7.7060061570179562e-45,5.4579703762053544e-54,5.1300728195691358e-43,8.3318416465715288e-48,3.9378923739183491e-37,3.5990799276945767e-46,3.4449994370021871e-59,8.5395399780277439e-69,3.5994824633885288e-46,1.7439597792599686e-46,6.9473301171438599e-45,1.2699434288849537e-53,2.2944177874913638e-54,7.9691387865201732e-54
1.3301718855404963e-18,0.0022433015030407393,3.2275709040830998e-33,6.9295937499908404e-29,3.4143621207041362e-21,3.2172249587566236e-33,8.5108123517240805e-21,4.1273422824769316e-35,6.8144830228099242e-56,2.6394895752847251e-45,5.8755139897875253e-49,1.1514104110660823e-47,1.5190273038534613e-36,7.9215233776327808e-26,1.0194989847397398e-40,5.584734860324566e-59,1.357381336483674e-54,5.5912488324826871e-42,3.5820602948426846e-56,1.6293332741807631e-80,3.2081512582124765e-53,1.3965462856465709e-69,9.5066564263262301e-42,1.2732357907072604e-63,1.2567850967286493e-34,3.883020114828127e-51,4.6913109584562868e-49,1.3374556363069555e-43,8.3310107109431565e-73,4.0291707814202206e-84,7.2772267113304138e-52,1.8964452437054995e-66,8.3342663896861282e-85,0.88129999999999997,0.0,0.0,0.0,0.0098899999999773475,0.108803,0.0001,8.6182703161533173e-16,9.3137551411217975e-15,9.3137450636053969e-15,4.1954691238905442e-23,4.2267311398263697e-23,3.1631215147408179e-15,2.6522309892162213e-23,1.1505887621997747e-32,1.3939327313758355e-32,3.2940511758144031e-37,3.9570724119196117e-27,2.0968296502319755e-21,9.3313721903740964e-26,2.1804218275880794e-37,4.0256936633176648e-40,1.5967336445844576e-41,6.9985469919548712e-47,2.9325197911640118e-21,2.3058591162376441e-56,1.7868870628247782e-65,1.0455289584946687e-66,2.6350830245745953e-76,1.4913466340866216e-71,2.8439307306945565e-26,1.2567851885203019e-34,2.8931472407465363e-43,3.8176259595890839e-44,1.8213747137379766e-21,2.0040968940282754e-49,2.8430385449371691e-57,1.4916870581287378e-34,1.8715965072877977e-68,1.5117878349929877e-26,2.1449530309625641e-31,6.8223438906758227e-40,1.5700560998473333e-48,1.2510608599297627e-48,1.0358753163419386e-49,1.0636419414715816e-57,9.1495090257243633e-35,3.5839943756863865e-43,1.5839141455119971e-52,6.4773556339872652e-44,9.1058370572831982e-53,4.3120518757399927e-42,1.3813657154394103e-46,3.3100346855204385e-36,6.0690797276763978e-45,1.1436373659975955e-57,5.6729205310988466e-67,6.0704393844563675e-45,2.9414420960740457e-45,5.8681866199039544e-44,2.1519660965281218e-52,3.8866905175778147e-53,1.3504638439333639e-52
2.698348682096435e-18,0.0022433015030407393,1.3164400916631658e-32,2.8309650830189349e-28,6.926277331595574e-21,1.3143413526443287e-32,1.7264806988679791e-20,1.6861555726584237e-34,2.783938664297278e-55,1.0736144485489211e-44,2.4003391816735197e-48,9.4078883275265109e-47,3.0814553823608427e-36,1.6069376017728554e-25,4.1649860122060078e-40,4.578703060019669e-58,1.1128632300226305e-53,2.284207588835579e-41,2.9367897258503577e-55,5.356885181277243e-79,5.2693913654276184e-52,2.3105881093809229e-68,7.794121051070735e-41,2.13409865845818e-62,1.0303883459158199e-33,6.3778721483152792e-50,1.9165535974794222e-48,1.0932556303255488e-42,6.8302659055340444e-72,1.3349620272531409e-82,1.1952851505473285e-50,6.2350892885367764e-65,5.5573161951930131e-83,0.88129999999999997,0.0,0.0,0.0,0.0098899999999540484,0.108803,0.0001,1.7482776926999953e-15,1.8893617432350729e-14,1.8893597041968654e-14,1.7013022641057899e-22,1.7267575550793343e-22,6.4166073810410357e-15,1.0835221125554805e-22,9.2632264253734422e-32,1.0856832059014668e-31,2.700662382248328e-36,1.6165931702166709e-26,8.5662212287409858e-21,3.812169990766161e-25,1.7873589192019137e-36,3.3005068260881764e-39,1.309092936668738e-40,1.1495085364430631e-45,1.1980283322489326e-20,7.5811284172279612e-55,1.1754690874380447e-63,6.8778100214727718e-65,3.4676066966306285e-74,9.8105439773593737e-70,1.1618384888300719e-25,1.030388418478001e-33,4.7519804789302579e-42,6.2704558391537373e-43,3.6947575294044557e-21,3.29173528755792e-48,4.6543461201258969e-56,1.2229735648695657e-33,1.2311935620077769e-66,6.1761009946344343e-26,8.8540961988976636e-31,5.6477767635376773e-39,2.6030978194818539e-47,2.074214057754426e-47,1.7174491996122618e-48,3.389338696500425e-56,3.737872939253406e-34,2.938375066737634e-42,2.5466850624214493e-51,5.3105162401051519e-43,1.4638692963438365e-51,3.5351438245346815e-41,2.2492845315222944e-45,2.7137645652218264e-35,9.9642312208736407e-44,3.726554148472802e-56,3.698021734330579e-65,9.9686987127247621e-44,4.8313242753787152e-44,4.8578917288926299e-43,3.5675263219918587e-51,6.4390940273088915e-52,2.2390085680405144e-51
5.434702275208313e-18,0.0022433015030407393,5.3170047813094157e-32,1.1443213114594818e-27,1.3950107408785774e-20,5.3127777431705234e-32,3.4772845605080974e-20,6.8157231784489457e-34,1.1253125181435139e-54,4.3020898547282042e-44,9.7025547821968145e-48,7.5673108277935139e-46,6.2063115227754869e-36,3.2365081368206831e-25,1.6835539428160348e-39,3.7079524587120756e-57,9.0122549797224288e-53,9.2331323101583275e-41,2.3782889103177274e-54,1.7374888802901948e-77,8.5418887233393029e-51,3.7352301134687342e-67,6.3118646931689222e-40,3.5400746974975838e-61,8.3443518396088103e-33,1.0338805430769689e-48,7.7470160498771002e-48,8.8402887911207051e-42,5.5313263946084295e-71,4.3193513007836641e-81,1.9376038028589633e-49,2.0223312343732601e-63,3.6299878081761534e-81,0.88129999999999997,0.0,0.0,0.0,0.0098899999999074485,0.108803,0.0001,3.5211790148529176e-15,3.8053341597471932e-14,3.8053300733821643e-14,6.7764901590619281e-22,6.9798298769858991e-22,1.2923547019491253e-14,4.3797632602800709e-22,7.240199130059962e-31,7.9894722894391099e-31,2.1870666986871718e-35,6.5345278541427149e-26,3.4625938237252681e-20,1.5409400423177721e-24,1.4469920285538757e-35,2.6728359001356788e-38,1.0601280458655449e-39,1.8633869594558736e-44,4.8426084187224851e-20,2.4589001595897535e-53,7.6267808346490596e-62,4.4625205854788094e-63,4.5002472536880205e-72,6.3653737391815554e-68,4.6963368543439733e-25,8.3443523835996507e-33,7.7030920189948004e-41,1.0164658821884807e-41,7.4414283134041898e-21,5.3360451445355498e-47,7.4955920720827381e-55,9.9039309397078126e-33,7.9883372878931875e-65,2.4964419078089341e-25,3.652748683881342e-30,4.6618368903184834e-38,4.2984373848753789e-46,3.4251005569953548e-46,2.8359999019931658e-47,1.0371264294318384e-54,1.5109079742960874e-33,2.3795722177112015e-41,3.960952584905869e-50,4.3005755084246482e-42,2.2762061300034213e-50,2.8626295287308869e-40,3.6301274338217094e-44,2.197673901962397e-34,1.6138684979966864e-42,1.20321065098969e-54,2.3882029351479515e-63,1.6153157290266583e-42,7.831774473439474e-43,4.0098431140186742e-42,5.8897958052890254e-50,1.0616585622162381e-50,3.6971819726106184e-50
1.0907409461432068e-17,0.0022433015030407393,2.1370928400677504e-31,4.6012653937732643e-27,2.7997766184787377e-20,2.136244444047272e-31,6.9789120207838141e-20,2.7405825755152758e-33,4.5248321318359177e-54,1.7002049507236475e-43,3.9013546275803465e-47,6.0096052555762845e-45,1.2456023737204291e-35,6.4956492350310226e-25,6.7694963942237682e-39,2.9844827391572842e-56,7.2538468782343872e-52,3.7126019113892221e-40,1.9142545441198037e-53,5.5975261775048998e-76,1.3756378390792603e-49,5.9323477249313906e-66,5.0803110862343425e-39,5.9159744857331157e-60,6.7162600904924531e-32,1.6650326894345549e-47,3.115041065530021e-47,7.1101431835961208e-41,4.4520926610069211e-70,1.3728019806103586e-79,3.120435297820589e-48,6.515177043291991e-62,2.3469446789783021e-79,0.88129999999999997,0.0,0.0,0.0,0.0098899999998142505,0.108803,0.0001,7.0669816590931444e-15,7.6372788308487361e-14,7.63727070580337e-14,2.6472411880056494e-21,2.8065586980348082e-21,2.5937297921057214e-14,1.7610784319628937e-21,5.4467206700912477e-30,5.4312319969706681e-30,1.7603419809112581e-34,2.6275047414248667e-25,1.3922858993469292e-19,6.196051985653108e-24,1.1639291641700216e-34,2.1513307050159662e-37,8.5326822167285626e-39,3.000875997194847e-43,1.9471805706034333e-19,7.9215412221940958e-52,4.9145858603556205e-60,2.8755829407398794e-61,5.8000998692240133e-70,4.1017680564479714e-66,1.8883763299586147e-24,6.7162604581001064e-32,1.2405356733406356e-39,1.6369804270558136e-40,1.4934390511317535e-20,8.5935374696742181e-46,1.1915605423889231e-53,7.9715032826553999e-32,5.1475676302513806e-63,1.0037786685536072e-24,1.5280866474147963e-29,3.8941016246795463e-37,7.1759873344471488e-45,5.7179935232465896e-45,4.7345821877388746e-46,3.0171990297150581e-53,6.0752942652856511e-33,1.9152865894079341e-40,5.8998379976682861e-49,3.461447971141714e-41,3.3888088791067572e-49,2.3037366363003188e-39,5.8326387324581638e-43,1.768874318611306e-33,2.5946635217138608e-41,3.8670416504464508e-53,1.5350366221597437e-61,2.5993144737238271e-41,1.2612797950247037e-41,3.3494815040942714e-41,9.8287289918765615e-49,1.7670135016480911e-49,6.1720836521129257e-49
2.185282383387958e-17,0.0022433015030407393,8.5689948531876665e-31,1.8453130100652293e-26,5.60930782232106e-20,8.5672947172605297e-31,1.3982245889313901e-19,1.0991044194799454e-32,1.8146600544461686e-53,6.5902589350019494e-43,1.5646177164945756e-46,4.6968486443977477e-44,2.4955447900459975e-35,1.3013931543910383e-24,2.7148708574752187e-38,2.3948594674327185e-55,5.8207553239167776e-51,1.4889194312967996e-39,1.5360698758556771e-52,1.7972317657713834e-74,2.2081808954559398e-48,9.2269976856038751e-65,4.0765867883273491e-38,1.0160049245921352e-58,5.3893754067342877e-31,2.6727460473476555e-46,1.2492707846564057e-46,5.7033218490313948e-40,3.5725239198385777e-69,4.2733539932473048e-78,5.0089387001332685e-47,2.0918658983494195e-60,1.5096927556611666e-77,0.88129999999999997,0.0,0.0,0.0,0.0098899999996278527,0.108803,0.0001,1.4158586947311128e-14,1.5301167561646867e-13,1.5301151546848297e-13,1.0041812561376529e-20,1.1255554065854501e-20,5.1964286232981926e-14,7.0626711924163027e-21,3.86286095164596e-29,3.3156301990009614e-29,1.4125642606495352e-33,1.0537467850381514e-24,5.583626223284898e-19,2.4848938554141324e-23,9.3280097222448026e-34,1.7263071513784225e-36,6.8466984502721004e-38,4.8169060243295871e-42,7.8089769497791103e-19,2.5433552382810239e-50,3.1560062101359448e-58,1.8466170124121178e-59,7.4495184346713165e-68,2.6340564701329723e-64,7.5732331672878614e-24,5.3893755889899923e-31,1.9912588943485175e-38,2.6276951248388006e-39,2.9918797580758185e-20,1.3794534883135784e-44,1.8645362183498965e-52,6.3965620167912146e-31,3.3056205385021029e-61,4.0253636686850554e-24,6.6041720361287172e-29,3.3524043078254025e-36,1.2332764008373716e-43,9.8270002434577059e-44,8.1370913504904129e-45,8.2421656013981284e-52,2.4364645316537856e-32,1.5368966318778202e-39,8.2301930810912049e-48,2.7775469226686791e-40,4.7237378177538525e-48,1.8480314046371026e-38,9.3496934562854788e-42,1.4194024919680215e-32,4.1508841602578306e-40,1.2398656354981156e-51,9.8414244560184169e-60,4.1657439941943167e-40,2.0246226855925551e-40,2.8835446779415049e-40,1.6878309559604603e-47,3.0185741115544767e-48,1.0606947691270037e-47
