Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160),S(2726),C7H9(2388),C7H9(1587),S(859),S(1111),S(1873),S(2962),S(2913),S(1093),C7H9(2432),S(3132),C7H9(3107),S(3133),C6H6(3100)
0.0,0.0017220921045046145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.1632934041264155e-18,0.0017220921045046145,7.3241435744926068e-38,6.7005899299641217e-33,1.2934785306944366e-25,7.3239588444197678e-38,1.6138464026747759e-23,5.5635324773828815e-38,2.9808013014938204e-65,1.3304148048913522e-51,3.467034349963919e-55,8.3146983535732833e-53,1.3434859506118067e-43,1.226929041319654e-28,5.0636260321033572e-44,1.8534516787588106e-64,1.1393936883156396e-59,6.3977439142979664e-46,5.8220779432858408e-60,1.8594151858186566e-91,1.5376335569692584e-59,2.9153368722039453e-77,8.3944852357527872e-49,8.4314737880631027e-68,1.0253171354023833e-37,6.7598136616244267e-56,2.5200728085054275e-55,1.4142304675291076e-47,4.3556386760100202e-83,7.8397466179771187e-92,4.4741505079237521e-58,1.0283476453902305e-72,1.8409859345406384e-91,0.88129999999999997,0.0,0.0,0.0,0.0098899999999992709,0.108803,0.0001,3.8929872138724e-17,3.4349828597213304e-16,3.4349827920346513e-16,7.4534104227957104e-24,7.5153224714542362e-24,1.5199615996104138e-18,6.0942584442654876e-24,1.8474567693228914e-33,2.9601950517043053e-33,4.6868716389530726e-38,1.0266501281899273e-28,3.5957374258622392e-24,2.675522737812529e-27,8.3360511513159498e-39,8.0823777601649402e-43,1.5437394879492986e-45,5.0939206359140561e-51,2.647290899659086e-24,3.8560326168397609e-60,2.1022338197879765e-68,3.2477150510085705e-71,6.4412592172944968e-80,1.4271234193317414e-75,3.4652659901619995e-29,1.0253171151866146e-37,1.8190738614167508e-45,2.0334236485226678e-46,3.466380654804671e-24,8.8606206730691152e-53,1.5309677816835628e-61,1.0420495066726119e-38,2.4432236611232727e-71,1.2344890800852433e-28,2.2716049459083897e-35,6.3095185865306474e-44,1.1194152816500635e-51,6.9022091059323613e-52,6.2565730580974664e-53,4.8741283341140917e-61,3.4108251591541725e-39,7.4624691688137468e-47,4.1047826263331445e-56,1.7253789194736581e-49,1.8326675404561023e-56,3.5178574128575755e-46,4.4299861166896259e-50,2.6039185795322696e-37,2.8438394205454285e-45,2.2652634470116159e-60,1.1194479798441614e-69,2.8466684637096597e-45,2.124669406447676e-46,5.6936243974488776e-49,1.2454953856205034e-56,2.8733157173780899e-59,1.0101318552265558e-56,1.3797585500235468e-59
1.1657221531553963e-17,0.0017220921045046145,4.4237211951033718e-37,4.0471561483278329e-32,3.6217397043516046e-25,4.4236709908224742e-37,4.5188364536585739e-23,3.3604151320611278e-37,1.8004039541838313e-64,7.5514715682509643e-51,2.0940887445259698e-54,9.8645021726701657e-52,3.761760615880429e-43,3.4354013140545828e-28,3.0584301221721296e-43,2.2004178302760862e-63,1.3526881832483429e-58,3.8642373226718491e-45,6.9119711321656049e-59,7.6729023514160169e-90,3.4396125043548319e-58,8.5621297477049955e-76,9.9658956959758381e-48,2.4763915428740443e-66,1.2172564763707266e-36,1.5121432441282284e-54,1.5221239683662277e-54,1.6789496272367208e-46,5.1710141055723044e-82,4.2228554440524339e-90,1.0008460054422298e-56,4.2434906192508404e-71,2.0939886100319452e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999999979629,0.108803,0.0001,1.090036419883038e-16,9.6179515718282018e-16,9.6179515741944986e-16,4.4662844286024709e-23,4.5392546569082366e-23,4.2558717150655854e-18,3.6809284521174248e-23,2.1832403180466972e-32,3.4616820477040657e-32,5.564254124914769e-37,6.2009665448416216e-28,2.1718165635241909e-23,1.6160156725955035e-26,9.8928972076085547e-38,9.5953985097962584e-42,1.8327221844690114e-44,1.1394865007361478e-49,1.5989571938690082e-23,1.5911983299162961e-58,1.5825049006272138e-66,2.4447922642141069e-69,8.7922636581940472e-78,1.0743008323893128e-73,2.0930206077773076e-28,1.2172564311404197e-36,4.0691589388515916e-44,4.5486811862360275e-45,9.7054657417831513e-24,1.9820854106158519e-51,3.4224905504616681e-60,1.2371165618215581e-37,1.8391928551044808e-69,7.4560568103077397e-28,2.1067359263769049e-34,1.1163804620078097e-42,3.6770953348921584e-50,2.2672646731503392e-50,2.0551880263984001e-51,2.9264684186137546e-59,2.0601383056888445e-38,8.8594436822116524e-46,9.1228227320262686e-55,2.0483655994694888e-48,4.0782973451502068e-55,4.1757991823760373e-45,9.9082939109038159e-49,3.0913692697731032e-36,6.3527166123506503e-44,9.3463772319174933e-59,8.4251474787365064e-68,6.364368642605906e-44,4.7527962630364547e-45,1.007406649754057e-47,4.0907156179484807e-55,9.4198421674222294e-58,3.3180806942974858e-55,4.5322950344494057e-58
2.6645077786409058e-17,0.0017220921045046145,2.1298178086986871e-36,1.9485312976119697e-31,8.2782613252909849e-25,2.1298070408320056e-36,1.0329082660274876e-22,1.6179375113144576e-36,8.6681697057637758e-64,3.1643671869905321e-50,1.0082135846785612e-53,9.4629228679763721e-51,8.5983097630871629e-43,7.8523458529627349e-28,1.4725024483083102e-42,2.1603832682234394e-62,1.3280772721887396e-57,1.8604639279316341e-44,6.7862146418707759e-58,3.0353006977057905e-88,6.7960416825348941e-57,1.669945358287579e-74,9.784496746375687e-47,4.8308208918935925e-65,1.1951095700101452e-35,2.9877400909746281e-53,7.3283716583784783e-54,1.6483897979212499e-45,5.076932035831019e-81,1.6588870378193979e-88,1.9774876274650401e-55,1.6786698046625871e-69,1.8956798401023547e-87,0.88129999999999997,0.0,0.0,0.0,0.0098899999999953435,0.108803,0.0001,2.4915118168696983e-16,2.1983887282112792e-15,2.1983888164504194e-15,2.1149149103183544e-22,2.1854556009395156e-22,9.7276088918622946e-18,1.7722048851188215e-22,2.1225063140168092e-31,3.2921406230728683e-31,5.463017896827629e-36,2.9854982314847867e-27,1.0456271810032009e-22,7.7804192136594704e-26,9.7051556036026631e-37,9.4208183873945929e-41,1.7993662068311801e-43,2.2514195987889588e-48,7.6982242941228625e-23,6.2945845249870919e-57,1.2512315682295718e-64,1.9330121836614393e-67,1.3889538989206967e-75,8.4941360907678693e-72,1.0076992745182751e-27,1.1951094806343808e-35,8.0398144103317036e-43,8.9874007886359767e-44,2.2182035754362993e-23,3.9162667725938111e-50,6.6148455937682984e-59,1.2145986063390967e-36,1.4541858068364615e-67,3.5895084211767017e-27,1.762536911718353e-33,1.874036502269343e-41,1.2337068874000536e-48,7.6069455924212844e-49,6.8954354454886304e-50,1.9541213179887994e-57,9.9186782161027819e-38,8.6982549530587793e-45,1.777342502559936e-53,2.0110884838334557e-47,7.9673884944841164e-54,4.0985515392428388e-44,1.957117786530496e-47,3.0351186092216639e-35,1.2513845574712463e-42,3.6962277851898251e-57,6.6584322776275815e-66,1.2559747570109949e-42,9.3907062954544809e-44,1.6911051953246277e-46,1.3720891381647066e-53,3.1468936513641555e-56,1.1132265094055508e-53,1.5206469411265265e-56
5.662079029611926e-17,0.0017220921045046145,9.3014458653682918e-36,8.5097465863129631e-31,1.7591301661640431e-24,9.3014264949446668e-36,2.1950639491881786e-22,7.0663296396954324e-36,3.7856171578559632e-63,1.0305083728973914e-49,4.4031335800567299e-53,7.6475604858270805e-50,1.8271407324178632e-42,1.6686234904532896e-27,6.4308050418907928e-42,1.9108345247809399e-61,1.1746692939907697e-56,8.1251347469143165e-44,6.0023306998266104e-57,1.0832606657526979e-86,1.2093003578769727e-55,2.3597872320252781e-73,8.6541364891662434e-46,6.8302354146214248e-64,1.0570607795831977e-34,5.316523351704169e-52,3.2004925978411674e-53,1.457976523461638e-44,4.4904883989670328e-80,4.7348665617475443e-87,3.518778440738073e-54,5.9909610204062935e-68,1.4367564835543809e-85,0.88129999999999997,0.0,0.0,0.0,0.0098899999999901064,0.108803,0.0001,5.2944626108232745e-16,4.6715752055585129e-15,4.671575744908433e-15,8.9392825126548665e-22,9.5444577435508316e-22,2.0670751039086126e-17,7.7396517325873294e-22,1.8410027077012362e-30,2.7386562804556629e-30,4.83197780911332e-35,1.303845315769749e-26,4.5664494878759353e-22,3.3979129541753422e-25,8.5703464174111339e-36,8.3326058354136854e-40,1.5914989282925882e-42,4.006231880595549e-47,3.3619585473786246e-22,2.2464654135691248e-55,8.9431730002686784e-63,1.3816197377783545e-65,1.9868295673807948e-73,6.0711994175302179e-70,4.4008870281570782e-27,1.0570606205407854e-34,1.4305855550214091e-41,1.5992503992287655e-42,4.7128776776013579e-23,6.9687875081269197e-49,1.080001408187845e-57,1.0742813327288093e-35,1.0393787717757704e-65,1.5674025017548496e-26,1.4270235877810352e-32,3.0412263012553847e-40,4.0081398453976086e-47,2.4714007296330204e-47,2.2402612284886377e-48,1.2623044060111539e-55,4.3317465800579973e-37,7.6935091085065539e-44,3.0763104960490991e-52,1.7787689704137431e-46,1.3864054387100132e-52,3.6228598104634813e-43,3.4804776730470342e-46,2.6845172489730218e-34,2.2132892086985388e-41,1.3183710690196193e-55,4.75478117939749e-64,2.2295349536533025e-41,1.6710195088492382e-42,2.744361383111095e-45,4.4551725539090286e-52,1.0136532814036116e-54,3.6165406818632741e-52,4.9404388284636972e-55
1.1657221531553964e-16,0.0017220921045046145,3.883164382498956e-35,3.5526504186437664e-30,3.6217370711986352e-24,3.8831631930610224e-35,4.5198010826890208e-22,2.95036396042509e-35,1.5804204044745103e-62,2.4396636782301731e-49,1.8382215723703787e-52,5.0557412401821841e-49,3.7617599513074063e-42,3.4354012902694073e-27,2.6847345052325637e-41,1.60617153699936e-60,9.8738029842087272e-56,3.3920838015415934e-43,5.0453217977399591e-56,3.6599808066158795e-85,2.0395978650972155e-54,2.3735720073520683e-72,7.2740875329457531e-45,6.8852131145281872e-63,8.8852310817890029e-34,8.9670920049419915e-51,1.3361434257796224e-52,1.2255150361843003e-43,3.774525243353665e-79,9.6648299235110065e-86,5.9347480947171273e-53,2.0241479576949534e-66,9.9903118601994943e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999999796304,0.108803,0.0001,1.0900364198651453e-15,9.6179456504815933e-15,9.6179480434093412e-15,3.5048708862804272e-21,3.9846223592290957e-21,4.2555706588730159e-17,3.2311250449455209e-21,1.4896721211048822e-29,2.055938862044256e-29,4.0615690757194478e-34,5.4432959494869504e-26,1.9063366485135863e-21,1.4185613503157099e-24,7.1808620792584482e-35,7.004055111448146e-39,1.3377169243650839e-41,6.7569302642282779e-46,1.4035028322699018e-21,7.5901157873004395e-54,6.0481274040527371e-61,9.3436771731618445e-64,2.6884049699184893e-71,4.1058822026912715e-68,1.8372833265702057e-26,8.8852283994267839e-34,2.4127011109732832e-40,2.6973373157971389e-41,9.6996675934535739e-23,1.1753878815394692e-47,1.4485003412868961e-56,9.0296895443827636e-35,7.0291554143308752e-64,6.5416744145080747e-26,1.1448361570722462e-31,4.8831059628590475e-39,1.2875507233449138e-45,7.9390515031109627e-46,7.1966821425603497e-47,8.0103013941074156e-54,1.8084182967890614e-36,6.4668599018414594e-43,4.9194820019191689e-51,1.4951355703695496e-45,2.239205945819736e-51,3.0414313462887071e-42,5.8632392819619709e-45,2.2564803862163037e-33,3.6883383709604264e-40,4.4491791724824348e-54,3.2097428830180279e-62,3.7423254153500217e-40,2.8183967413211987e-41,4.406448293076265e-44,1.4295164376170464e-50,3.2015322119836687e-53,1.1616431137208716e-50,1.5870825644002313e-53
2.3647506535438043e-16,0.0017220921045046145,1.5863976819117676e-34,1.4513725811598653e-29,7.3469462321383328e-24,1.5864012103106035e-34,9.170978417125945e-22,1.2055736382438888e-34,6.45653107836829e-62,4.0260708061445226e-49,7.5097347448325653e-52,2.6603790141250528e-48,7.6309972157718397e-42,6.9689568479143691e-27,1.096801638680421e-40,1.3168364381459113e-59,8.0951398705957913e-55,1.3857769043399936e-42,4.1364615649694261e-55,1.203247870430656e-83,3.3498355684399686e-53,1.6685452593224975e-71,5.9633500535328367e-44,4.8955759594066132e-62,7.2846464801398038e-33,1.4728469936422568e-49,5.458608923513666e-52,1.004751665600692e-42,3.0945824835275098e-78,1.3888946254504072e-84,9.747230370328753e-52,6.6545455415910569e-65,6.6615702854445206e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999999586801,0.108803,0.0001,2.2112167373991909e-15,1.9510677463593111e-14,1.9510686406755379e-14,1.2748830010827823e-20,1.6278475419476023e-20,8.6320303354123181e-17,1.3199978469409176e-20,1.1361450099439312e-28,1.3864932244987634e-28,3.329920666648332e-33,2.2237628122504399e-25,7.7874669279217487e-21,5.7952828173173074e-24,5.8498844989948161e-34,5.742344220239124e-38,1.0966856988742482e-40,1.109773502844362e-44,5.7333692336389466e-21,2.4953436032807777e-52,3.9784696881235648e-59,6.1462884998059591e-62,3.5376209804283056e-69,2.7008905420485183e-66,7.5058988066971803e-26,7.2846420749283271e-33,3.9622430429780722e-39,4.4302787491899575e-40,1.9663024763882864e-22,1.9305781588526432e-46,1.5556178849086795e-55,7.4026056391256662e-34,4.623791862231786e-62,2.670917658414665e-25,9.1604987932405291e-31,7.8161281038491261e-38,4.1220363249147499e-44,2.5416984292472633e-44,2.3041149550448478e-45,5.0044848215303053e-52,7.3879740106153371e-36,5.3019257857941433e-42,7.3191019104548928e-50,1.2257583669972325e-44,3.3898149772945575e-50,2.4873351797199835e-41,9.6071573421702193e-44,1.8499693389841657e-32,5.9163367239878518e-39,1.4593200880228009e-52,2.1037218971909819e-60,6.0881187204238218e-39,4.6291533880457281e-40,7.053166480082682e-43,4.5660928364643627e-49,9.9165195791011621e-52,3.7182277488535802e-49,5.081266946609805e-52
4.76280765432062e-16,0.0017220921045046145,6.412466191569063e-34,5.86667165954722e-29,1.4797345955997385e-23,6.4125344751538729e-34,1.8480145346339998e-21,4.8751724155298209e-34,2.6098315144947499e-61,5.1067812512821719e-49,3.0355547125746226e-51,1.1884473260599683e-47,1.5369467051444942e-41,1.4036067795290383e-26,4.4334475269967986e-40,1.0664082424643173e-58,6.5556535552385636e-54,5.6015317367402909e-42,3.3498169456450552e-54,3.9022273448914155e-82,5.4295469289808456e-52,8.9811146318370823e-71,4.8286497724585483e-43,2.82600699209196e-61,5.8992910780043516e-32,2.3875466277364248e-48,2.2065461943084521e-51,8.1367894934566652e-42,2.5060709277958592e-77,1.5300237005232476e-83,1.5798699256572042e-50,2.1581199214955042e-63,4.351273151058472e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999999167796,0.108803,0.0001,4.453577372340924e-15,3.9296109990573598e-14,3.9296138198862003e-14,4.2118528643274886e-20,6.5800143284698465e-20,1.7382824471063081e-16,5.335463893244659e-20,8.0684236116402852e-28,8.2595950215019603e-28,2.6966576289083473e-32,8.9887963189416983e-25,3.1473819122260226e-20,2.3425437227448782e-23,4.6778824436049092e-33,4.6502943760527256e-37,8.8803470315854844e-40,1.7988145798239489e-43,2.3171979783782521e-20,8.0928062124600904e-51,2.5811196664497788e-57,3.9875396670713251e-60,4.5907115970231145e-67,1.7523054937387362e-64,3.03400182215405e-25,5.8992839389805657e-32,6.4209388116863013e-38,7.1813294772028262e-39,3.9548932228772774e-22,3.1295505005031139e-45,1.4160012003558394e-54,5.9940456378993319e-33,2.999786724953799e-60,1.0783605840935773e-24,7.3215845339259999e-30,1.2495207810830142e-36,1.3178376812484417e-42,8.1262465033624084e-43,7.3672084572803743e-44,3.0515701822922063e-50,2.9863337269599037e-35,4.2936426804257697e-41,9.9775181777732815e-49,9.9257959421309504e-44,4.7486483643915635e-49,2.0043039122780926e-40,1.5498749184766274e-42,1.4981054029859555e-31,9.1613666225625309e-38,4.7108762067771069e-51,1.3549817840025649e-58,9.6841680278393844e-38,7.5038257022832073e-39,1.1275500392533459e-41,1.4531756178842728e-47,2.9768063512907351e-50,1.1882772190920608e-47,1.6246961897265673e-50
9.558921655874251e-16,0.0017220921045046145,2.5784202368065207e-33,2.3589561413364167e-28,2.9698070999672261e-23,2.5785351867212628e-33,3.7125728177957e-21,1.9619348185644468e-33,1.0494005041599818e-60,5.7100907686765658e-49,1.2205830852714161e-50,4.9495850412362682e-47,3.0846387949790855e-41,2.8170289018669652e-26,1.7826697034372147e-39,8.583380542599718e-58,5.2765593562410585e-53,2.2523512127949407e-41,2.6962291363881787e-53,1.2568464665904987e-80,8.7419256723374389e-51,4.1801311942515667e-70,3.8855105394128438e-42,1.9460478694571568e-60,4.7482554280903426e-31,3.8450643835575068e-47,8.8753098324334118e-51,6.5493851528817568e-41,2.0171003647001915e-76,1.4479782714914938e-82,2.5436939090927698e-49,6.9509576867422063e-62,2.8132827262236418e-78,0.88129999999999997,0.0,0.0,0.0,0.0098899999998329786,0.108803,0.0001,8.9382986417189543e-15,7.8866871941510751e-14,7.8866942045034256e-14,1.2310050439750528e-19,2.6457902407499624e-19,3.4875915999690197e-16,2.1452237067244793e-19,5.2012361109765218e-27,4.3270322898604709e-27,2.1705071472589971e-31,3.6143496339613978e-24,1.265197342258513e-19,9.4192499437692097e-23,3.6727818259885618e-32,3.7429546422421532e-36,7.146230575466299e-39,2.8963684166497432e-42,9.3147663851739897e-20,2.606702285512845e-49,1.6629449689496258e-55,2.5690628594898034e-58,5.9156633561327274e-65,1.1290185138717548e-62,1.2199567906299088e-24,4.7482439375099741e-31,1.0334198301106729e-36,1.1564204182607689e-37,7.9158187067603596e-22,5.0400449639750899e-44,1.1914829245237488e-53,4.8232801399028658e-32,1.9326808751301527e-58,4.3258843116636031e-24,5.8446354142381247e-29,1.995081886372856e-35,4.2075195953983225e-41,2.5946927575129146e-41,2.3526894727032074e-42,1.783171875717188e-48,1.2007892023475386e-34,3.4559067128975793e-40,1.2173989129827724e-47,7.9879985513645932e-43,6.0072776385916105e-48,1.5973240303442997e-39,2.4721937558208496e-41,1.2057291917494862e-30,1.3539527954053676e-36,1.5034103101188764e-49,8.6047220971482086e-57,1.5032149118046779e-36,1.2083939074400563e-37,1.800332927944008e-40,4.5978678511300896e-46,8.469042521831913e-49,3.7909290808672584e-46,5.1884360552820961e-49
1.9151149658981512e-15,0.0017220921045046145,1.0340587176877802e-32,9.4604151978811737e-28,5.949922337599744e-23,1.0342474976912432e-32,7.4525889227231997e-21,7.8814662156182284e-33,4.2085551962596919e-60,6.0393605283875922e-49,4.8950831796747472e-50,2.0381982235602402e-46,6.1800154654663738e-41,5.6438728782207666e-26,7.1493024451064612e-39,6.8876211260119906e-57,4.2341050463972127e-52,9.0329352541092963e-41,2.1635621535915845e-52,4.0334937380703038e-79,1.4025693779930842e-49,1.8089398702981466e-69,3.1162628026176549e-41,2.8891267883428972e-59,3.8101642978932082e-30,6.1721610872068555e-46,3.5686665957266213e-50,5.2561083883891087e-40,1.618590326958931e-75,1.2656074687145312e-81,4.0811456338186655e-48,2.2307074551215303e-60,1.8096633469667663e-76,0.88129999999999997,0.0,0.0,0.0,0.0098899999996653748,0.108803,0.0001,1.790774117845327e-14,1.5800804194340703e-13,1.5800815078762194e-13,3.1559762294205732e-19,1.0610765550396866e-18,6.9828145070500047e-16,8.602165065594646e-19,2.9737279156333914e-26,2.0345602314593562e-26,1.7416992880667438e-30,1.4495118491073786e-23,5.0711934045658095e-19,3.7775300230741396e-22,2.8089879539619802e-31,3.0034757107805462e-35,5.7320818729233578e-38,4.6474934843438423e-41,3.7335663204315644e-19,8.3663459759403408e-48,1.0675224181483764e-53,1.649201838997552e-56,7.5952997791214161e-63,7.248417387890267e-61,4.892556343476631e-24,3.8101458742020967e-30,1.6567765412566016e-35,1.8559560530718016e-36,1.5773175219961805e-21,8.0903895613955111e-43,9.8381442071420654e-53,3.8683751520735441e-31,1.2406787409531877e-56,1.7267799891425746e-23,4.6553510093862839e-28,3.1786774110622336e-34,1.3402043915019e-39,8.2659778742781231e-40,7.4972907620047868e-41,9.7107890816064286e-47,4.8156843992419172e-34,2.7731622493117143e-39,1.3133313993526022e-46,6.4080309838707054e-42,6.7350795865330882e-47,1.2568093794487021e-38,3.8936696140716639e-40,9.6739997339557332e-30,1.8651917213897181e-35,4.7376487612670024e-48,5.3679887741010763e-55,2.2499933926310307e-35,1.9395035199480329e-36,2.8683893621019234e-39,1.4386589203614728e-44,2.2145004133203155e-47,1.2056440266294097e-44,1.653413548451968e-47
