Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160),S(2726),C7H9(2388),C7H9(1587),S(859),S(1111),S(1873),S(2962),S(2913),S(1093),C7H9(2432),S(3132),C7H9(3107),S(3133),C6H6(3100),S(2878),S(1393),S(2871)
0.0,0.0018478543541922353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9439787565181537e-18,0.0018478543541922353,1.749535597601675e-37,1.2092626222672988e-32,4.6677524001033915e-25,1.7493598497757634e-37,2.7654084431164558e-23,6.0006878437266552e-38,4.9439756965787596e-64,6.4872780511844471e-51,1.547634725545019e-54,1.5251066702737646e-52,1.4502055362662628e-42,2.1980449223759149e-28,6.7092528856614765e-44,3.7440639715343905e-64,1.9767140400399936e-59,1.1053519346124189e-45,5.7308344819867783e-60,1.5481033182683394e-90,3.0000054466643664e-59,9.0069884215832405e-77,3.5756792494327418e-48,5.8726021447208871e-68,8.0538146071583778e-38,6.6566398613024321e-56,1.1813045920549278e-54,1.5601850066162057e-47,6.2725534975288917e-82,1.5177035737068201e-91,8.3875790528000871e-58,1.2203434159975605e-72,1.4058612603955864e-91,0.88129999999999997,0.0,0.0,0.0,0.0098899999999992588,0.108803,0.0001,3.9103185608203761e-17,3.48897417595831e-16,3.4889739819142207e-16,3.4395054169689281e-24,3.4573192699544588e-24,3.4830548537743182e-18,2.6777089297569499e-24,5.4870107217087321e-34,8.4188203018494585e-34,1.3653099239679443e-38,6.6870134725005106e-29,4.0325560183756688e-24,1.6847778502026003e-27,3.1133053783375256e-39,5.2878367686233343e-43,1.7403011177826545e-45,3.8997660146788799e-51,3.3279432195559219e-24,1.6292101956597394e-60,3.9386766267911388e-69,1.1937564423244386e-71,1.0302715836006608e-80,4.1248520970030664e-76,4.0191427406302665e-29,8.0538145385997277e-38,6.18108798850283e-46,7.1053345966590173e-47,6.0561402794121441e-24,4.7861985059738048e-53,1.2219766515216078e-61,1.3158056762528046e-38,4.4920383359928626e-72,1.0204161885178441e-28,2.8184746536190642e-35,5.0564970173289984e-44,3.8807404327969647e-52,2.5053057850997573e-52,2.2305041846863753e-53,1.1844829703635084e-61,7.380028065830003e-39,7.3130708617825937e-47,2.4833089821931676e-56,3.817432618498382e-49,1.159681057129063e-56,4.2307100423278288e-46,2.6469058004813503e-50,8.7848190581770353e-38,4.3489363766737926e-46,6.145823369666796e-61,1.9589464030995011e-70,4.3510761700758536e-46,4.6595860062982615e-47,6.8363300363782422e-49,6.7736543744373008e-57,3.5317948525741324e-59,5.2466806910312221e-57,1.447909533633585e-59,1.7762509702286436e-74,3.7496617152463732e-82,1.9243313607538748e-81
5.443140518250831e-18,0.0018478543541922353,1.0566623385712107e-36,7.3039460861315459e-32,1.3069706394565092e-24,1.0566133279614896e-36,7.7431869711969526e-23,3.6244325593304247e-37,2.9861612982989327e-63,3.8302309464228679e-50,9.3477137384272459e-54,1.8020298709259763e-51,4.0605754800171894e-42,6.1545257825568671e-28,4.0523887428873501e-43,4.4449527453178729e-63,2.3467549059675392e-58,6.6763256849505597e-45,6.8036468499946972e-59,6.3882804102509862e-89,6.7108798945043009e-58,2.7678805177285654e-75,4.2450382673105983e-47,1.8048057538953799e-66,9.5614886006607669e-37,1.4890636949281448e-54,7.1350797131031579e-54,1.8521354370473169e-46,7.4467754313655979e-81,8.5468979668143413e-90,1.8762644478302233e-56,5.0357722957610269e-71,1.5990657203698489e-89,0.88129999999999997,0.0,0.0,0.0,0.0098899999999979265,0.108803,0.0001,1.0948891970288428e-16,9.7691274955110879e-16,9.7691270373375167e-16,2.067168038585046e-23,2.0882208119737751e-23,9.7525291376748394e-18,1.6173352413490139e-23,6.4899469186850754e-33,9.8753566003808189e-33,1.6208959778799978e-37,4.0389560714334662e-28,2.4356587391759548e-23,1.0176058043841466e-26,3.6953807988436553e-38,6.2777197014505432e-42,2.0660813922656156e-44,8.7236040646662981e-50,2.0100734991048599e-23,6.7229690543301607e-59,2.9649320412620124e-67,8.9862841268429852e-70,1.4063130852023366e-78,3.1050815764006728e-74,2.4275621873509592e-28,9.5614884469231487e-37,1.3826777290148346e-44,1.5894336545309498e-45,1.6956862014694918e-23,1.070653471246325e-51,2.7211431992356033e-60,1.5621215055656611e-37,3.3814881662371719e-70,6.1632130390820197e-28,2.1122765134021256e-34,7.3268199905565685e-43,1.050973935489748e-50,6.7848195733378238e-51,6.0406159997368537e-52,5.8825800405184738e-60,4.4575368581064465e-38,8.6820777495665143e-46,5.5268753671064221e-55,4.5320501338911091e-48,2.5831590656984521e-55,5.0223434951504831e-45,5.9204597373440007e-49,1.0429331465940848e-36,9.7215582692934233e-45,2.5358560620494017e-59,1.4744532278399812e-68,9.7303796545171709e-45,1.0423302050770457e-45,9.905782442157546e-48,1.834282859457073e-55,9.5547855451569546e-58,1.4208861530031998e-55,3.9212058086440178e-58,1.3369958302192419e-72,5.1175941530050356e-80,1.4484561920692075e-79
1.2441464041716185e-17,0.0018478543541922353,5.0872492865715667e-36,3.5165354773844584e-31,2.9873613080587059e-24,5.0871381314276186e-36,1.7698917349233369e-22,1.7450256724646427e-36,1.4377080988885716e-62,1.7562952371973953e-49,4.5005217760528718e-53,1.7455925380610542e-50,9.2813152814056581e-42,1.4067487502536014e-27,1.9510507390722483e-42,4.3640809599581359e-62,2.3040578777299623e-57,3.2143634256901802e-44,6.6798611294101037e-58,2.5271303275097049e-87,1.3259514650141636e-56,5.8899084530512647e-74,4.1677865066309108e-46,3.841491206789257e-65,9.3875259931348502e-36,2.9421388655309101e-53,3.4352337216862512e-53,1.8183772872161426e-45,7.3112881058151454e-80,3.6583501232299974e-88,3.7071675137058851e-55,1.992093587799417e-69,1.4476280867195393e-87,0.88129999999999997,0.0,0.0,0.0,0.009889999999995262,0.108803,0.0001,2.5026038789190016e-16,2.2329433354012531e-15,2.2329432700094921e-15,9.8491905163935119e-23,1.0053884030884989e-22,2.2291379894665852e-17,7.7867632868024615e-23,6.3211226263699117e-32,9.4517103143203313e-32,1.5914053414822353e-36,1.9445834193861725e-27,1.1726596462910208e-22,4.899333732721255e-26,3.626590126458228e-37,6.1635021971796458e-41,2.0284822891727853e-43,1.7236300146019259e-48,9.6775958001273066e-23,2.6595288264021461e-57,2.34427308697032e-65,7.1051557796002255e-68,2.221621005365249e-76,2.4550871198166123e-72,1.1687666669906707e-27,9.3875256889563107e-36,2.7319082268576297e-43,3.1404475524786579e-44,3.8756982494952801e-23,2.1154308740811097e-50,5.3072139088021486e-59,1.533693817104455e-36,2.6736301562682928e-68,2.9672191717543607e-27,1.4344691723123282e-33,9.9973385786069407e-42,2.8672579857032861e-49,1.8510305724174137e-49,1.6480025639331613e-50,3.1922143075218948e-58,2.1461120216771132e-37,8.5241154681521069e-45,1.0800216649477467e-53,4.4495812618681897e-47,5.0569470698915838e-54,4.9302138139152965e-44,1.1695917483934681e-47,1.0239567365617828e-35,1.9178655732832241e-43,1.0029972606437486e-57,1.1655166482663275e-66,1.9213477832075246e-43,2.0594664763693422e-44,1.3516294960242752e-46,5.0034160614940073e-54,2.600812926005923e-56,3.8763965422256544e-54,1.0697846024416198e-56,1.0569526421769421e-70,8.0821604380945803e-78,1.1450667510951233e-77
2.6438111088646895e-17,0.0018478543541922353,2.2217099987335523e-35,1.535763294679686e-30,6.348142124099467e-24,2.2216867032774527e-35,3.7611071392744058e-22,7.6211385621645679e-36,6.2788487865495612e-62,6.9380438889688051e-49,1.9654960953994701e-52,1.4945616879551558e-49,1.9722794539729066e-41,2.9893410940963564e-27,8.520751163986344e-42,3.8599801810128029e-61,2.037913091304233e-56,1.4037969567895965e-43,5.9082620638947817e-57,9.0190779168126267e-86,2.3594407881286792e-55,1.0012937026974215e-72,3.6863293037551674e-45,6.5344647949883777e-64,8.3031600501610269e-35,5.2353786739866055e-52,1.5002568086921765e-52,1.6083080661691294e-44,6.4667512268004764e-79,1.2513746986900817e-86,6.5966534001218938e-54,7.1095842690438066e-68,1.0971732146552231e-85,0.88129999999999997,0.0,0.0,0.0,0.0098899999999899312,0.108803,0.0001,5.3180332426855148e-16,4.7450042010951019e-15,4.7450042233253142e-15,4.2132125807497551e-22,4.3907950532386321e-22,4.7368690171511557e-17,3.4006755887008022e-22,5.5027531702552918e-31,7.956310097195168e-31,1.40758010088312e-35,8.4925061035590924e-27,5.1212671575171956e-22,2.139667608390854e-25,3.2049121949377629e-36,5.4515474863448254e-40,1.794154183838787e-42,3.0670819799665016e-47,4.2264227042923696e-22,9.4915915953901266e-56,1.6755747318487396e-63,5.0784268926729184e-66,3.1779306300727873e-74,1.7547828344575427e-70,5.1043108467593514e-27,8.3031595085294717e-35,4.8611776005516062e-42,5.5882389401620198e-43,8.2351932136789534e-23,3.764296337201948e-49,9.1527414516849063e-58,1.3565235339612863e-35,1.910983483026013e-66,1.2957724282584235e-26,9.9325693819670595e-33,1.3829823397659462e-40,7.9287307138282363e-48,5.1186026414546185e-48,4.557203712061935e-49,1.7519920274561353e-56,9.3726342106973738e-37,7.5394836944378452e-44,1.8803200899716909e-52,3.9355821209259904e-46,8.8352400683947118e-53,4.3593795947341854e-43,2.0805913407870457e-46,9.0567598391580947e-35,3.402238615776866e-42,3.5785503448342323e-56,8.326684455686493e-65,3.4146133424167175e-42,3.6647021205360216e-43,1.8697773175216532e-45,1.383102425517796e-52,7.1594046429560994e-55,1.0718975065594684e-52,2.9582645163177485e-55,7.5524028833921654e-69,1.1554441757609489e-75,8.1820196005512746e-76
5.443140518250831e-17,0.0018478543541922353,9.2751502553785718e-35,6.4115083036017496e-30,1.3069701671502033e-23,9.275103461186987e-35,7.743815262901803e-22,3.1818031852477884e-35,2.6212956009820953e-61,2.3598782632998465e-48,8.2055592603872815e-52,1.1606641269322074e-48,4.0605751678561871e-41,6.1545257811697832e-27,3.5572458792604851e-41,3.2445459125831231e-60,1.7129887317061041e-55,5.8605759558015676e-43,4.9662511747652993e-56,3.0472947871657871e-84,3.9794776381645204e-54,1.4200093840549198e-71,3.0985303160170476e-44,9.2814989203600428e-63,6.9793056851176648e-34,8.8302305449836196e-51,6.2632770839723858e-52,1.3518689715736232e-43,5.4356935438527026e-78,3.5707118076062202e-85,1.1126040892189899e-52,2.4021298224736709e-66,7.629061576510785e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999999792695,0.108803,0.0001,1.0948891970163323e-15,9.7691247548769704e-15,9.7691254130144587e-15,1.6893205073158853e-21,1.8330702994193367e-21,9.7521745825486397e-17,1.4197080059288363e-21,4.483610701345932e-30,6.0961052756429395e-30,1.183156051470914e-34,3.5454536550873465e-26,2.137990114887814e-21,8.9326898575725081e-25,2.6892807534936068e-35,4.582353473458826e-39,1.508068742158013e-41,5.17299587155556e-46,1.7644168298955133e-21,3.206941641006328e-54,1.1331735404864882e-61,3.434486610016464e-64,4.3001321430450357e-72,1.1867458936297645e-68,2.1309490906251788e-26,6.9793047713017967e-34,8.1987250535710978e-41,9.4253153318138744e-42,1.6952067128491125e-22,6.349036390505671e-48,1.4306851711910082e-56,1.1402207934964062e-34,1.2923780087556603e-64,5.4088416330608201e-26,7.2114077243010492e-32,2.0013206591265164e-39,2.2910049899066244e-46,1.4790254134778853e-46,1.3168251884216781e-47,9.9702562830292759e-55,3.9128896119711198e-36,6.3373905160204502e-43,3.0398937370051209e-51,3.3080567186468326e-45,1.4379276607315255e-51,3.6620708497201688e-42,3.5071219674000254e-45,7.6127161609618026e-34,5.7032551940880358e-41,1.2083991623822291e-54,5.6260820968702823e-63,5.7447117257016012e-41,6.1810273239589066e-42,2.7057640136039345e-44,3.9937319031262364e-51,2.0501816401484885e-53,3.0970769222713606e-51,8.5480467890145518e-54,5.104709153827801e-67,1.5616398392162326e-73,5.5302737133839959e-74
1.1041799337023114e-16,0.0018478543541922353,3.7891906391121815e-34,2.6193094159791812e-29,2.6512812427396003e-23,3.7891818171898539e-34,1.571034076947525e-21,1.2999749076066606e-34,1.0708846464637256e-60,6.453505881491783e-48,3.3522386747910637e-51,7.930626603825204e-48,8.2371660444972139e-41,1.2484895152870029e-26,1.4532510114489394e-40,2.6600747486239396e-59,1.4044116320571337e-54,2.394236503166806e-42,4.0716342542237314e-55,1.0018524245932545e-82,6.5360933508812885e-53,1.6064046420499032e-70,2.5402777728416375e-43,1.0553654666049772e-61,5.7220554230593182e-33,1.4503677532103142e-49,2.5587542661619924e-51,1.1083393489799622e-42,4.4565091363043738e-77,8.1527848816465561e-84,1.8273966712022235e-51,7.8974273183027104e-65,5.0870824511624871e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999999579463,0.108803,0.0001,2.2210609424898056e-15,1.9817361475178946e-14,1.9817364924623847e-14,6.3915584681392264e-21,7.4886886372937288e-21,1.978215979251755e-16,5.7999124338592859e-21,3.4629965984285638e-29,4.241656256579412e-29,9.7002308201498411e-34,1.4484331415008657e-25,8.7340757961406758e-21,3.6492943370249224e-24,2.197261791653114e-34,3.7568891822622708e-38,1.2363633065010569e-40,8.4963781413244285e-45,7.2079614498602406e-21,1.0543376357539257e-52,7.45415115122164e-60,2.2592463899226103e-62,5.6585484616668408e-70,7.8066189620894297e-67,8.705620636046206e-26,5.7220539219800283e-33,1.3465243082932395e-39,1.5480890485792422e-40,3.437735501323032e-22,1.042831270483835e-46,1.973117346123581e-55,9.3479078241303776e-34,8.501417321967099e-63,2.2090730236377615e-25,5.4496721964171252e-31,3.015909472840402e-38,6.8948041789647459e-45,4.451180857224973e-45,3.9631330200402609e-46,5.8280518659655343e-53,1.5985425572664155e-35,5.1957759976566308e-42,4.6098891027678423e-50,2.7120838120510144e-44,2.2067513390561357e-50,2.9987020024928626e-41,5.7536045500331608e-44,6.2413053969495416e-33,9.2543036387803217e-40,3.9682996363584341e-53,3.6941416553852666e-61,9.3883163146323538e-40,1.0152262647250223e-40,4.077476905914765e-43,1.2002734736205145e-49,6.0615238669490315e-52,9.3196726397961305e-50,2.5726329083116401e-52,3.3541469447729276e-65,2.050193769553811e-71,3.6337769210315301e-72
2.223911697456768e-16,0.0018478543541922353,1.5316488240092193e-33,1.0587659944872787e-28,5.3399000581978834e-23,1.5316480193113299e-33,3.164782881704304e-21,5.255551163047536e-34,4.3286858506539544e-60,1.2990579715384178e-47,1.3550284507312056e-50,4.5177789474390307e-47,1.659034559327771e-40,2.5145633886497998e-26,5.8742729407960333e-40,2.1541974698604631e-58,1.1373289116013449e-53,9.6778867459286109e-42,3.297317401219766e-54,3.2492804541528918e-81,1.0594606190692684e-51,1.3480518974108286e-69,2.0570458124016672e-42,9.0536633958757415e-61,4.6338671360526252e-32,2.3511077682285051e-48,1.0342936711354766e-50,8.9756024851718436e-42,3.6089952780573229e-76,1.3899219847295538e-82,2.9620978531088711e-50,2.561349471709832e-63,3.3228342958307402e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999999152999,0.108803,0.0001,4.473404433348401e-15,3.9913819358057904e-14,3.9913832476775807e-14,2.2469979984745043e-20,3.0270463475551648e-20,3.9839626841596642e-16,2.3443705580549437e-20,2.5118888663927487e-28,2.6298900097117844e-28,7.8555027521746082e-33,5.8547956782218248e-25,3.5302013262268201e-20,1.4751024317986235e-23,1.7672548622140087e-33,3.0424246877619506e-37,1.0011701307247481e-39,1.3772077316089908e-43,2.9133654966598668e-20,3.4194943442875128e-51,4.8361924399664961e-58,1.4657806205369744e-60,7.3432277888597786e-68,5.0649517276452334e-65,3.5189496689311294e-25,4.633864702924283e-32,2.1823890470604024e-38,2.509448303268515e-39,6.9194123845947725e-22,1.6904748718402705e-45,2.2823313643283948e-54,7.5696742257346228e-33,5.5156503507194593e-61,8.9244559932337199e-25,4.2253174427063452e-30,4.6679264571474876e-37,2.1321944923238541e-43,1.3765358473543738e-43,1.2256677919683651e-44,3.4108718219995542e-51,6.4615606770591284e-35,4.2076748584957552e-41,6.4757389304292305e-49,2.1962171679903313e-43,3.1610226304159366e-49,2.4224758716556388e-40,9.3047115319918576e-43,5.0542752261335797e-32,1.4647070300642431e-38,1.2841029830826966e-51,2.3879950312920286e-59,1.5067474082734091e-38,1.6456953615335166e-39,6.3109851127199167e-42,3.7016781805376845e-48,1.810802183490637e-50,2.8814501675316088e-48,7.9563293489594055e-51,2.1712434692147309e-63,2.6482893272889929e-69,2.3522627314864822e-70
4.463375224965682e-16,0.001847854354192236,6.1586837930792537e-33,4.2572454608103337e-28,1.0717124344987019e-22,6.1587004374637228e-33,6.354055302909065e-21,2.1139133480348585e-33,1.7405446495773322e-59,1.9248271670808318e-47,5.4485096488994406e-50,2.150531813501661e-46,3.3296695872837136e-40,5.0467111314775722e-26,2.3620193118416395e-39,1.733885488583137e-57,9.1542118925717555e-53,3.8914356913483339e-41,2.6539717968858313e-53,1.0466676464851809e-79,1.7060087842247285e-50,8.4102529585820533e-69,1.6554689485231059e-41,6.339810201535871e-60,3.7297366720461427e-31,3.786383809093975e-47,4.1589902745114045e-50,7.2243501928207049e-41,2.9048311806232746e-75,1.7715671625645021e-81,4.7697525179396163e-49,8.2506839375270177e-62,2.1483550991745591e-78,0.88129999999999997,0.0,0.0,0.0,0.0098899999998300087,0.108803,0.0001,8.9780914147121877e-15,8.010668287132921e-14,8.0106721696882553e-14,7.134666141211326e-20,1.2171609528866866e-19,7.9944549955260151e-16,9.4262359494172328e-20,1.6702969070475715e-27,1.4346639958179635e-27,6.3227990223326652e-32,2.3541857282635822e-24,1.419276005155506e-19,5.9313172326059477e-23,1.4032718064827616e-32,2.4488058029674811e-36,8.0571788268508896e-39,2.2176550429835803e-42,1.1712844003933148e-19,1.1014910281270979e-49,3.1160175126842213e-56,9.4442025022788929e-59,9.4631764626064768e-66,3.263514339855193e-63,1.4149530727233675e-24,3.7297327546640558e-31,3.513431238750914e-37,4.041161248057265e-38,1.3869269599708043e-21,2.7224590965306961e-44,2.2132355447607426e-53,6.0919213651157345e-32,3.5538007075646215e-59,3.5844935415061547e-24,3.3229177729779174e-29,7.3344244465786617e-36,6.6960094917699144e-42,4.3230630914919544e-42,3.8496434859098467e-43,1.9353414754719833e-49,2.5981623031959837e-34,3.386704287822736e-40,8.223411454220311e-48,1.7675481153193097e-42,4.1261709745186722e-48,1.940296508568726e-39,1.491410934138807e-41,4.0679669650112875e-31,2.252281097736281e-37,4.1176614074315578e-50,1.5274480869147242e-57,2.3792108799053776e-37,2.6502448740548562e-38,9.9160584039190143e-41,1.1561792693921381e-46,5.3246126779310074e-49,9.0450634333543499e-47,2.4989760261913882e-49,1.3926827835878873e-61,3.3815834780589951e-67,1.5088003280434763e-68
8.94230227998351e-16,0.0018478543541922353,2.4699030712865679e-32,1.7073409969569791e-27,2.1471519532136218e-22,2.4699392059613401e-32,1.2739699376968056e-20,8.4831869709333296e-33,6.9803553620690221e-59,2.3415606667562835e-47,2.1850959354108535e-49,9.2280063392693758e-46,6.6709361159986953e-40,1.0111006601631844e-25,9.4727538694753421e-39,1.3913338343858207e-56,7.3456775017274795e-52,1.5606397575118274e-40,2.1296514722664151e-52,3.3597872588769388e-78,2.7378162737174655e-49,4.2834884287814437e-68,1.328055866619965e-40,5.5446912713098505e-59,2.992874397170132e-30,6.0779756749238832e-46,1.6683958073225382e-49,5.7971354955676665e-40,2.3309405604515332e-74,1.8401705799043742e-80,7.6545362352899499e-48,2.6484510525278038e-60,1.381946332935113e-76,0.88129999999999997,0.0,0.0,0.0,0.0098899999996594247,0.108803,0.0001,1.7987465376026141e-14,1.6049223729456485e-13,1.6049231660086865e-13,1.9959242654541254e-19,4.881351247822174e-19,1.6011437222615506e-15,3.7800424936590088e-19,9.9132013751675127e-27,6.9646808938569682e-27,5.0736592636159533e-31,9.4413250392572609e-24,5.6903086085909344e-19,2.3787202849131925e-22,1.0964452330162677e-31,1.9650092343042403e-35,6.4635988988482867e-38,3.5588790142030915e-41,4.6960349378526742e-19,3.5357283453394281e-48,2.000562605075274e-54,6.0634185176754767e-57,1.2151541478467263e-63,2.0953934310992479e-61,5.6745857536103927e-24,2.9928681128182733e-30,5.6358614972803388e-36,6.4862273069116292e-37,2.7715206798359434e-21,4.3701543783207315e-43,1.9248663425912358e-52,4.8870821903272754e-31,2.2816308391462861e-57,1.434351027639314e-23,2.6311336935007843e-28,1.1609202637051387e-34,2.1186228195820789e-40,1.367913884645642e-40,1.2183585307107728e-41,1.0265392939917309e-47,1.041977292528057e-33,2.7176196541744744e-39,9.2588084500153277e-47,1.4180920359616522e-41,4.7950548932868577e-47,1.5418621279569685e-38,2.3715658377554145e-40,3.2640421774048945e-30,3.3151841256785964e-36,1.3098774233752173e-48,9.6654175629767064e-56,3.6755450475350111e-36,4.253920723292461e-37,1.5695501991665163e-39,3.6189019997421597e-45,1.4942447928281606e-47,2.8593816471746324e-45,7.9089685394690205e-48,8.8617150814104344e-60,4.2641474671870273e-65,9.6006772740821484e-67
