Time (s),Volume (m^3),O(4),H2(5),H(6),OH(7),HO2(8),H2O2(9),CH(10),CO(11),CH2(12),HCO(13),CH2(S)(14),CH3(15),CH2O(16),CO2(17),CH2OH(18),CH3O(19),CH3OH(20),C2H(21),C2H2(22),HCCO(23),C2H3(24),CH2CO(25),C2H4(26),C2H5(27),C2H6(28),H2O(29),C(30),HCCOH(31),CH2CHO(32),CH3CHO(33),C3H8(34),N2,Ar,He,Ne,C7H10(1),O2(2),CH4(3),C7H10(77),C7H9(61),C7H11(107),S(712),S(180),C7H10(74),S(711),S(782),S(864),S(727),C7H8(690),C7H10(832),C7H10(696),S(860),C7H8(989),S(719),S(1180),C7H10(825),S(1202),S(1355),S(1332),S(1411),S(1338),C7H11(717),C5H7(1246),S(1664),S(1663),C7H9(60),C5H8(1509),CHO3(138),S(1272),S(1328),C7H9(1957),C7H9(693),C7H9(2445),S(2538),S(2540),S(2539),S(2595),C7H9(683),S(997),S(2725),C7H9(1160),S(2726),C7H9(2388),C7H9(1587),S(859),S(1111),S(1873),S(2962),S(2913),S(1093),C7H9(2432),S(3132),C7H9(3107),S(3133),C6H6(3100),S(2878),S(1393),S(2871),C6H7(2400)
0.0,0.0020476494370889756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88129999999999997,0.0,0.0,0.0,0.0098899999999999995,0.108803,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.9602193702303313e-19,0.0020476494370889756,9.0103774255498324e-37,3.6400082869201178e-32,5.6676256945123598e-24,8.995751495457082e-37,8.0231400213694651e-23,6.8336001556211726e-38,1.2559631061856405e-61,1.3165432594724624e-49,2.9237429974016083e-53,4.4261536693545472e-52,1.5693805102462072e-40,6.8895579516960311e-28,1.1151405137187249e-43,1.406123246178087e-63,5.3148080491362366e-59,3.121449013424863e-45,5.205662731772556e-60,8.1998705447029828e-89,8.9004184983831922e-59,6.7536849245765033e-76,5.1699942248960188e-47,2.3521509828857802e-68,4.225658633803389e-38,5.3230878373063949e-56,2.3426186077655932e-53,1.6918953832801953e-47,1.2417676342611191e-79,4.4254141368915002e-91,2.2835704199743479e-57,1.3180585200398989e-72,6.3885405890142402e-92,0.88129999999999997,0.0,0.0,0.0,0.0098899999999992449,0.108803,0.0001,3.6793567191696507e-17,3.5061311052263295e-16,3.5061304292591733e-16,6.9090648762609582e-25,6.9219808213021151e-25,1.6946169166680098e-17,4.8886077511452539e-25,4.2805466733756192e-35,6.0132808331658302e-35,1.0848120442043856e-39,2.6803822987302378e-29,4.3901848554112936e-24,6.4457957151672144e-28,4.0134343621673146e-40,1.994354420837467e-43,1.9575284176228058e-45,1.8678028712742276e-51,4.5612253606800598e-24,2.2292712627888331e-61,1.0288615430986958e-70,1.160601986582946e-72,1.8414467430221074e-82,2.625352944551497e-77,4.8995165844716144e-29,4.2256586323635769e-38,5.8918379178851388e-47,7.1796734301365472e-48,1.7813984866969199e-23,1.1748479024395346e-53,6.5197213636427358e-62,1.6969034556781218e-38,1.1300020226578027e-73,6.2815623552858632e-29,8.5151099640529754e-35,5.9770728514467991e-44,8.3338433282076647e-53,5.9001161853144619e-53,5.0777224286550893e-54,1.1690961694694846e-62,3.1545373644568208e-38,6.2278479491720234e-47,7.5272082288530011e-57,1.584398645661658e-48,3.8492262582107557e-57,5.13181026748094e-46,7.4469741242756359e-51,8.8225781367438889e-39,8.7072676903102584e-48,3.4482497741686795e-62,4.2757251564112509e-72,8.7082395437339411e-48,1.845986657575123e-48,1.8187669892817091e-48,3.5905878966690547e-57,9.1320211931340915e-59,2.5359045961750579e-57,2.7550910272351729e-59,3.490929408513365e-76,1.1336887067547935e-83,5.5180040265384953e-82,3.0706626036246808e-52
1.1088614236644927e-18,0.0020476494370889756,5.4375288027112082e-36,2.1985649890527574e-31,1.5869351848081489e-23,5.4334338756030344e-36,2.2464809424336216e-22,4.1274972513489625e-37,7.5860171522764343e-61,7.9262027502951277e-49,1.7659504077209433e-52,5.245289088013953e-51,4.3942654244342961e-40,1.9290762267638509e-27,6.7354487037035646e-43,1.669357860655832e-62,6.3097401154432612e-58,1.8853552043426701e-44,6.1801628757354704e-59,3.3836980764019605e-87,1.9909871072508474e-57,2.1167977996351219e-74,6.1378142098665789e-46,7.3735951821633465e-67,5.0167019174139245e-37,1.1907534538849976e-54,1.4149416380797087e-52,2.0063070291054636e-46,1.4742265326658714e-78,2.5409466245067842e-89,5.1082533540280191e-56,5.4390029743626916e-71,7.2665039052360027e-90,0.88129999999999997,0.0,0.0,0.0,0.0098899999999978866,0.108803,0.0001,1.0302198813671055e-16,9.8171670564817497e-16,9.8171651794942781e-16,4.1655670734622575e-24,4.1808764001945743e-24,4.7449243998387924e-17,2.9527185083228775e-24,5.0703391768673999e-34,7.0887598506769873e-34,1.2878889140382256e-38,1.6189509032593792e-28,2.6516702691763289e-23,3.8932605993353712e-27,4.7644942882631525e-39,2.3676975594217634e-42,2.3239757723819575e-44,4.1781969355837868e-50,2.7549786804581639e-23,9.1991430305457464e-60,7.7450068618782334e-69,8.7367152683278599e-71,2.5135637873360924e-80,1.976299019601091e-75,2.9593080088804494e-28,5.0167019087658852e-37,1.3179786600975055e-45,1.6060638085071912e-46,4.9878953909887763e-23,2.6280877817640627e-52,1.4559325243485066e-60,2.0145628198380344e-37,8.5063665587533399e-72,3.7940506224677537e-28,5.2505763994766528e-34,7.2317425327908588e-43,1.8983188353048365e-51,1.3439540301192034e-51,1.1566263007435769e-52,4.9000323119075882e-61,1.9053405595623241e-37,7.3937010619355004e-46,1.6789424095622771e-55,1.8809971777613465e-47,8.5880288996537892e-56,6.0923873326847011e-45,1.6640561209427356e-49,1.0474162880521159e-37,1.9474551017144282e-46,1.4214278374722072e-60,3.2152737457391687e-70,1.9478560457702557e-46,4.1293976038773516e-47,2.2005511576140847e-47,8.1785819722097418e-56,2.0795703295245932e-57,5.7763825429958689e-56,6.2756682886015054e-58,2.6251588042240704e-74,1.5474346591687022e-81,4.1494887780600573e-80,3.6454792050511546e-51
2.534540396947412e-18,0.0020476494370889756,2.6169003287898948e-35,1.0585143895337135e-30,3.6272803769006919e-23,2.6159644934303398e-35,5.1348217688276001e-22,1.9872150585666928e-36,3.6523406991313243e-60,3.79008752436981e-48,8.5023949759460138e-52,5.1292511239005901e-50,1.0044035235933397e-39,4.4093170911081937e-27,3.242828615158156e-42,1.6390041191540332e-61,6.1949402605501704e-57,9.0771737345501847e-44,6.0677207210503386e-58,1.3385560263290578e-85,3.9338510825343593e-56,4.6912181793382103e-73,6.026136173365017e-45,1.6350535822833292e-65,4.9254276643850294e-36,2.3527281529495323e-53,6.8123348963121935e-52,1.9686064883480953e-45,1.4474043460246041e-77,1.13203665646661e-87,1.0093037726542556e-54,2.1516133760727422e-69,6.5783383347527951e-88,0.88129999999999997,0.0,0.0,0.0,0.0098899999999951683,0.108803,0.0001,2.3547883002658017e-16,2.243923880698138e-15,2.2439234590238858e-15,1.9979340554454005e-23,2.0129119990286271e-23,1.0845527498876905e-16,1.4216062740178385e-23,4.9538446205781194e-33,6.8557055683152184e-33,1.2644570173110456e-37,7.7945516472337872e-28,1.2766636807176194e-22,1.8744373750716907e-26,4.6772687230825963e-38,2.324619485074301e-41,2.281689032032307e-43,8.2553984628087214e-49,1.3264021787991109e-22,3.6390831570173409e-58,6.1237334296742014e-67,6.9078460926693751e-69,3.9708078841248168e-78,1.562598124104129e-73,1.4247794105537114e-27,4.9254276411968972e-36,2.6040954541521606e-44,3.1733096283644254e-45,1.1400807713558432e-22,5.1926586550292096e-51,2.8655312904807686e-59,1.9779076834380191e-36,6.7257166130219981e-70,1.8266587728624492e-27,2.6373678472181029e-33,7.3877344237255956e-42,3.8980869685242223e-50,2.7597315323267989e-50,2.375067993882695e-51,2.0041746296120961e-59,9.1733945274898847e-37,7.2591794974109799e-45,3.296465127872638e-54,1.8467722888796041e-46,1.6871847219707864e-54,5.981334824106807e-44,3.2857869150435749e-48,1.0283591237845401e-36,3.8464348122863564e-45,5.6193701329545958e-59,2.5404948298723023e-68,3.8480200858077776e-45,8.1589907337942898e-46,2.2480180170496664e-46,1.6793278648121233e-54,4.2677591300485022e-56,1.1861417375812706e-54,1.2886732126645163e-56,2.0742764311837123e-72,2.4444092271747338e-79,3.2787232744987863e-78,3.5791288733042753e-50
5.385898343513251e-18,0.0020476494370889756,1.1426592068294253e-34,4.6228103335775255e-30,7.7079706066003696e-23,1.1424603971568879e-34,1.0911531204817604e-21,8.6787148958463086e-36,1.5950731307386463e-59,1.6326309600027352e-47,3.7133209029644662e-51,4.5002043505655441e-49,2.1343574792569365e-39,9.3697988244202733e-27,1.4162284537298566e-41,1.449717438121964e-60,5.4793545031390707e-56,3.9642402506772339e-43,5.3668305486364807e-57,4.7772021888714308e-84,7.0000637613727007e-55,8.6700117052075373e-72,5.3300381462722086e-44,3.025431659359082e-64,4.356484942835845e-35,4.1865539966572019e-52,2.9751256166283064e-51,1.7406941038847954e-44,1.280212742425929e-76,4.2036005323108834e-86,1.7959985304221675e-53,7.6789401846172633e-68,4.9857949956296714e-86,0.88129999999999997,0.0,0.0,0.0,0.0098899999999897334,0.108803,0.0001,5.0039251380568517e-16,4.7683381704645847e-15,4.7683373052825512e-15,8.6593729967637522e-23,8.7909153970952943e-23,2.3046686227923999e-16,6.2085229579045504e-23,4.3390972077258629e-32,5.886490942884477e-32,1.118397965463753e-36,3.4040854396088093e-27,5.5755133223116615e-22,8.1861603637811751e-26,4.1360308865526763e-37,2.0560995753645799e-40,2.0181207052329184e-42,1.4689988299743366e-47,5.7927339285478495e-22,1.2987583867602501e-56,4.3769733964106625e-65,4.9374224009293748e-67,5.6800915706091515e-76,1.1168768099211952e-71,6.2223859361022833e-27,4.3564848961809543e-35,4.6338191232484216e-43,5.6467284550180138e-44,2.4226306422932071e-22,9.2400588775953154e-50,5.059287665303229e-58,1.7494333192276622e-35,4.8072443209325615e-68,7.9773820733900894e-27,1.2479630197753141e-32,7.0459137689850919e-41,7.4631454497760896e-49,5.2836899680931061e-49,4.5472377839635243e-50,7.6173543968009705e-58,4.0062623206268133e-36,6.4206619708103717e-44,5.7927395091307974e-53,1.6334458056306394e-45,2.9682775092024377e-53,5.2900543798747469e-43,5.8447226082580246e-47,9.0957128964214482e-36,6.8394958385929738e-44,2.0047603814852424e-57,1.815069542656158e-66,6.8451476923164177e-44,1.4518477108865576e-44,2.1440052027343283e-45,3.2148148209821567e-53,8.1612563787004099e-55,2.2709287402901651e-53,2.4672555241972174e-55,1.4820463039820039e-70,3.4961942686428244e-77,2.3426066875164574e-76,3.1656558581010905e-49
1.1088614236644928e-17,0.0020476494370889756,4.7699562089298673e-34,1.9299322301305086e-29,1.5869350448055855e-22,4.7695470591485518e-34,2.2465061209602117e-21,3.6232132254664103e-35,6.6591162620657526e-59,6.6316089502824819e-47,1.5503406048271815e-50,3.7220252742898718e-48,4.3942653649560419e-39,1.9290762309538035e-26,5.9124750155153841e-41,1.2186491329552295e-59,4.6057276126497722e-55,1.6549922701827356e-42,4.5111449318186857e-56,1.614102437224738e-82,1.1806583251857969e-53,1.458342755383758e-70,4.4801996229839348e-43,5.1017111038459282e-63,3.6618880122543518e-34,7.0612350806776893e-51,1.242056373089819e-50,1.4629452891508687e-43,1.0760959313060308e-75,1.4180900531868893e-84,3.0292018604743237e-52,2.5945301129064602e-66,3.4668126403981912e-84,0.88129999999999997,0.0,0.0,0.0,0.0098899999999788619,0.108803,0.0001,1.0302198813613586e-15,9.8171665123328068e-15,9.817164854238886e-15,3.5610092175730798e-22,3.6700340101569912e-22,4.7448813811379096e-16,2.5919318335603816e-22,3.5777190577934147e-31,4.6736988668721516e-31,9.4008095845328174e-36,1.4211386234789829e-26,2.3276567107645467e-21,3.4175607145730463e-25,3.474968721628021e-36,1.7282755261190414e-39,1.6963395977442376e-41,2.4776636306263119e-46,2.4183416347515377e-21,4.3881803455219584e-55,2.9601286618757653e-63,3.339157970290128e-65,7.6859361028082727e-74,7.5534028087727005e-70,2.597723579527803e-26,3.6618879290553914e-34,7.8155133496029564e-42,9.5240110162763195e-43,4.9876000164937457e-22,1.5584710673631724e-48,8.4007873940881522e-57,1.4704980133573472e-34,3.2511190893320049e-66,3.330302459667423e-26,6.0135667958235142e-32,6.7830421471409898e-40,1.4365116744362004e-47,1.017009005966464e-47,8.7526061574212432e-49,2.8793104403950844e-56,1.6725355923225452e-35,5.3969531157158762e-43,9.5323337972165838e-52,1.3730039535567432e-44,4.8955179418292423e-52,4.4459895837608312e-42,9.8551728410770055e-46,7.6454828137510559e-35,1.1518873127160075e-42,6.7716900014798475e-56,1.2270672831128056e-64,1.1537929850301513e-42,2.4487496701789987e-43,2.0640158287530022e-44,6.1864798305649805e-52,1.5671895856150214e-53,4.371030620957333e-52,4.7490133918971501e-54,1.0020206455949911e-68,4.7296321266205491e-75,1.5838491349295179e-74,2.6608519940187806e-48
2.2494046022908283e-17,0.0020476494370889756,1.9485984167623547e-33,7.8844021983224268e-29,3.2192107659173406e-22,1.9485154339715759e-33,4.557256575036017e-21,1.4802176573085908e-34,2.7204662193518532e-58,2.5658314474986385e-46,6.3347651753496638e-50,2.9549335292957353e-47,8.9140810411756034e-39,3.9132689353748214e-26,2.4154389683333757e-40,9.9928425107302184e-59,3.7760537580846146e-54,6.7611834486813479e-42,3.6985099537946699e-55,5.3067748188862268e-81,1.939219261938183e-52,2.2989654294785507e-69,3.673107834703582e-42,8.0859807833330134e-62,3.0022369030300443e-33,1.1598099316778071e-49,5.0742055288117825e-50,1.1993244147125722e-42,8.8224843115296211e-75,4.4802986933510655e-83,4.9754331720527096e-51,8.530180139603338e-65,2.3116819857155594e-82,0.88129999999999997,0.0,0.0,0.0,0.0098899999999571189,0.108803,0.0001,2.0898746164625601e-15,1.9914822273264879e-14,1.9914819377907645e-14,1.412376990922055e-21,1.4993285465566422e-21,9.6252309491552103e-16,1.0588852254476817e-21,2.8252672987571709e-30,3.4476368629988765e-30,7.7073529455045504e-35,5.8058146786328425e-26,9.5091526025069907e-21,1.3961849904161127e-24,2.8463453035683559e-35,1.4169446034071952e-38,1.3907412646686245e-40,4.0695121034360588e-45,9.8796268124504059e-21,1.4427174965779266e-53,1.9472444479430379e-61,2.1965791337540019e-63,1.0114119831727347e-71,4.9688274206610229e-68,1.0612547941162171e-25,3.0022367626932221e-33,1.283667597990848e-40,1.564314485781351e-41,1.0117017347249369e-21,2.5597936776543656e-47,1.33756102032951e-55,1.2055931072936277e-33,2.1386650297916519e-64,1.3604575311588088e-25,3.1133684477700757e-31,6.9722248587742266e-39,2.943345319112852e-46,2.0838060337453263e-46,1.7933884387478125e-47,1.1371462356169821e-54,6.8328531225409302e-35,4.4247480028080576e-42,1.4928801925730705e-50,1.1256622999800455e-43,7.699376168007138e-51,3.6440746866499662e-41,1.6181577216410636e-44,6.268209170786454e-34,1.8864384443655018e-41,2.2256213360274226e-54,8.0678318687836089e-63,1.892677955556918e-41,4.0220665343257446e-42,2.12158231493785e-43,1.2670014429877836e-50,3.1961077832382583e-52,8.9557533795003172e-51,9.7306033695141632e-53,6.5893778768853568e-67,6.2207036872973408e-73,1.0415519005283803e-72,2.1814083426467181e-47
4.530490959543499e-17,0.0020476494370889756,7.8763770604406787e-33,3.1870008775562354e-28,6.4837612194091591e-22,7.8762096059272216e-33,9.1789352956407949e-21,5.9834125190203328e-34,1.0996558980626148e-57,9.320775874741366e-46,2.5619739982468906e-49,2.2457930271144209e-46,1.7953712071557711e-38,7.8816543738069042e-26,9.7635905477145733e-40,8.0963919309636329e-58,3.057946225829509e-53,2.732978463544389e-41,2.9951505252258644e-54,1.7212131932817955e-79,3.1435074710351555e-51,3.3805605983624061e-68,2.9745285593793345e-41,1.2038446809073349e-60,2.4312890695414635e-32,1.880101714546906e-48,2.0510750528594197e-49,9.7120903694287264e-42,7.1446760776954088e-74,1.3207285804960828e-81,8.0652619609399434e-50,2.7666998753494242e-63,1.5099693013621132e-80,0.88129999999999997,0.0,0.0,0.0,0.0098899999999136328,0.108803,0.0001,4.2091840866243793e-15,4.011013030508379e-14,4.0110126128269996e-14,5.3928223542112775e-21,6.0605249253057251e-21,1.9385626299950045e-15,4.2801550996761863e-21,2.1305963481721442e-29,2.3224024735857018e-29,6.2416162940442029e-34,2.3468028830932772e-25,3.8436831609342914e-20,5.6436023920248059e-24,2.3007732475775914e-34,1.14747833338197e-37,1.126225251190419e-39,6.5966669391681001e-44,3.993432096706722e-20,4.6792886300208093e-52,1.2634035268879912e-59,1.4251758972329671e-61,1.3125813480538799e-69,3.2238756810699366e-66,4.2897611556170784e-25,2.4312888390805607e-32,2.0807741059106148e-39,2.5357979027470572e-40,2.0373766762502837e-21,4.1495367348996766e-46,2.0391938300673206e-54,9.7630434623999429e-33,1.3876003049250718e-62,5.4985427100683437e-25,1.7892477950711591e-30,7.9314338911834112e-38,6.6639116771446153e-45,4.7178722094200167e-45,4.060431560114779e-46,4.8037521624182313e-53,2.7619480829797307e-34,3.5832752931807083e-41,2.2137077846891048e-49,9.1157546518692027e-43,1.1502076107918603e-49,2.9494213700158628e-40,2.6215908948390819e-43,5.0761266457345165e-33,3.040191114258456e-40,7.2146402541423372e-53,5.2298169867501471e-61,3.060262283445052e-40,6.5199038092401605e-41,2.4134605139670733e-42,2.8659562199672683e-49,7.1694462213206145e-51,2.0275084257222712e-49,2.2031142679300471e-51,4.2729955742083079e-65,8.0649119978624003e-71,6.754105025214406e-71,1.7663685077850936e-46
9.092663674048841e-17,0.0020476494370889756,3.167022231648506e-32,1.2814785923078265e-27,1.3012858171351463e-21,3.1669882203768233e-32,1.8423003986493191e-20,2.4060132947944311e-33,4.4216676517024391e-57,3.0528036404211658e-45,1.0319871764071553e-48,1.599087808194526e-45,3.6032973313162108e-38,1.5818425369032761e-25,3.9258968518928738e-39,6.5272023842413856e-57,2.4613011445403217e-52,1.0989186294156581e-40,2.4107597662257536e-53,5.5449468465566692e-78,5.0623591611809148e-50,4.4801957288187149e-67,2.3940798482534526e-40,1.6468616345970941e-59,1.9569126180055968e-31,3.0278453217550917e-47,8.2472851693656201e-49,7.816993147137245e-41,5.7506561535342726e-73,3.5140027877770647e-80,1.2988438280351276e-48,8.913011236660348e-62,9.7626055850244209e-79,0.88129999999999997,0.0,0.0,0.0,0.0098899999998266607,0.108803,0.0001,8.4478030267856829e-15,8.0500733732744027e-14,8.0500730441098194e-14,1.9501232380553764e-20,2.4369097899702397e-20,3.890520193621669e-15,1.7210088259476823e-20,1.5063959185479709e-28,1.3944452520492085e-28,5.0237991024311074e-33,9.4363893936625757e-25,1.5454731221933692e-19,2.269267277375087e-23,1.8450238946627223e-33,9.2359017142393516e-37,9.0643081118260172e-39,1.0623124716409549e-42,1.6056843689648415e-19,1.507410771570726e-50,8.1408707480167317e-58,9.183267866860973e-60,1.6916421900868042e-67,2.0773639273314135e-64,1.7248937701350464e-24,1.9569122444941235e-31,3.3506799341572272e-38,4.0837493355762764e-39,4.0878928001190293e-21,6.6827038049952999e-45,2.917403843405671e-53,7.8578858244580801e-32,8.9411457981599722e-61,2.2104219849134906e-24,1.1461566859955687e-29,1.0061326954399605e-36,1.6825731674495881e-43,1.1912217916174424e-43,1.0252658959769977e-44,2.1423272376451014e-51,1.1105668746954054e-33,2.8841311594544366e-40,3.0442036337204658e-48,7.3369102382150532e-42,1.6004763233407912e-48,2.3713067660536728e-39,4.2173614825570036e-42,4.0856574509282704e-32,4.8397531525253709e-39,2.3217819798942468e-51,3.3640089239293819e-59,4.9033625457172065e-39,1.0499977468183403e-39,3.0615667071264956e-41,7.2231406629259949e-48,1.7775005954139188e-49,5.1186164063749035e-48,5.5628980721725056e-50,2.7505503810976351e-63,1.0373067358326622e-68,4.3476319447026164e-69,1.4214172199662178e-45
1.8217009103059524e-16,0.0020476494370889756,1.2701103078739814e-31,5.1392987522916699e-27,2.6071036254155255e-21,1.2701031673768545e-31,3.6913986365519298e-20,9.6500672153777222e-33,1.7732862222303085e-56,8.4183281590856908e-45,4.1651717569873316e-48,1.0254287483015377e-44,7.219149626920183e-38,3.169196783294334e-25,1.5744602561233568e-38,5.2680164870270959e-56,1.9750391397915081e-51,4.4071552819260967e-40,1.9344861801497409e-52,1.7802565185640631e-76,8.1256852687660748e-49,5.0248797495459854e-66,1.9209707057626353e-39,2.0295991723090634e-58,1.5702985841798581e-30,4.8603606089891121e-46,3.3075392076472885e-48,6.2725852006132492e-40,4.6145382582347477e-72,7.9376176520866169e-79,2.0847979809084957e-47,2.8616005869002544e-60,6.2798799458936156e-77,0.88129999999999997,0.0,0.0,0.0,0.0098899999996527165,0.108803,0.0001,1.6925040906458947e-14,1.6128189744870865e-13,1.6128190231520122e-13,6.4904770436615042e-20,9.7730931759771912e-20,7.7939493552470906e-15,6.9018332778236437e-20,9.7049614357875864e-28,7.3843594418878041e-28,4.0312876926212773e-32,3.7844129130265696e-24,6.1975975705921558e-19,9.1007737577580761e-23,1.4696569524743846e-32,7.4112262008545936e-36,7.27268196326626e-38,1.7050528995779008e-41,6.4390544237445901e-19,4.8394380256575063e-49,5.2274274562459717e-56,5.8967732135177726e-58,2.1725391268013947e-65,1.3339538080062787e-62,6.9175929012050425e-24,1.5702979828015354e-30,5.3774837371833304e-37,6.5550812873294544e-38,8.1855927234904802e-21,1.0727228645487442e-43,3.771830670194426e-52,6.3050397983755251e-31,5.7413016151997127e-59,8.8606298254327413e-24,8.0169434656835217e-29,1.3971634184870795e-35,4.6557591341784903e-42,3.2961929786777358e-42,2.8372147468067619e-43,9.6244142097109663e-50,4.4538676612271042e-33,2.3143328588348655e-39,3.7769757178111758e-47,5.8870200513398555e-41,2.0175852516555192e-47,1.8985923603646218e-38,6.7551634163328918e-41,3.2784012984346922e-31,7.5938821757381363e-38,7.4388906373954765e-50,2.1526448149319516e-57,7.791612031411206e-38,1.6854383548461449e-38,4.2514357672065536e-40,1.9914644164717989e-46,4.7470082080876488e-48,1.4159883496160674e-46,1.5394205571418979e-48,1.7626543450279355e-61,1.3268508730171992e-66,2.786095246330204e-67,1.1401008825374252e-44
