Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82)
0.0,0.17823941260870385,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.17823941260870385,89.099999999999994,0.0,0.0,0.0,1.0,11.0,5.526028645610345e-20,6.6560413171154302e-21,5.526028645610345e-20,5.3569133819191854e-20,5.3569133819191854e-20,1.7534463192923885e-20,1.7534463192923885e-20,2.9605140556872454e-21,2.4636839225431152e-21,1.2318419612715589e-21,1.3776135120407292e-27
3.0000000000000002e-15,0.17823941260870385,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.8156951264148274e-19,2.1869850041950698e-20,1.8156951264148274e-19,1.7601286826305896e-19,1.7601286826305896e-19,5.761323620532133e-20,5.761323620532133e-20,9.7273987993871663e-21,8.0949614597845062e-21,4.0474807298922681e-21,9.0528867600307307e-27
7e-15,0.17823941260870385,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.0261065846589654e-19,4.8494015310412421e-20,4.0261065846589654e-19,3.9028940353982635e-19,3.9028940353982635e-19,1.2775108897701683e-19,1.2775108897701683e-19,2.156942038507755e-20,1.7949697149956757e-20,8.9748485749785046e-21,4.9200399611118151e-26
1.5e-14,0.17823941260870385,89.099999999999994,0.0,0.0,0.0,1.0,11.0,8.4469295011472414e-19,1.0174234584733587e-19,8.4469295011472414e-19,8.1884247409336114e-19,8.1884247409336114e-19,2.6802679452040791e-19,2.6802679452040791e-19,4.5253375389845679e-20,3.765916853029981e-20,1.8829584265150979e-20,2.1766203940539868e-25
3.1e-14,0.17823941260870385,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.7288575334123793e-18,2.0823900692118277e-19,1.7288575334123793e-18,1.6759486152004309e-18,1.6759486152004309e-18,5.4857820560719002e-19,5.4857820560719002e-19,9.2620932735852473e-20,7.7078111290973987e-20,3.8539055645495913e-20,9.0724886035331905e-25
6.300000000000001e-14,0.17823941260870385,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.4971867000076897e-18,4.2123232906887656e-19,3.4971867000076897e-18,3.39016089741457e-18,3.39016089741457e-18,1.1096810277807542e-18,1.1096810277807542e-18,1.8735463679711674e-19,1.5591599681222609e-19,7.7957998406185691e-20,3.6970533480003247e-24
1.2700000000000001e-13,0.17823941260870385,89.099999999999994,0.0,0.0,0.0,1.0,11.0,7.0338450331983097e-18,8.4721897336426404e-19,7.0338450331983097e-18,6.8185854618428491e-18,6.8185854618428491e-18,2.2318866721278827e-18,2.2318866721278827e-18,3.7681640258358875e-19,3.1359176785395577e-19,1.5679588392756457e-19,1.4918999154988316e-23
2.55e-13,0.17823941260870385,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.4107161699579551e-17,1.6991922619550392e-18,1.4107161699579551e-17,1.3675434590699406e-17,1.3675434590699406e-17,4.4762979608221391e-18,4.4762979608221391e-18,7.5571736630773663e-19,6.289433099312016e-19,3.1447165497031658e-19,5.9930745784120471e-23
5.11e-13,0.17823941260870385,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.8253795032342038e-17,3.4031388391365892e-18,2.8253795032342038e-17,2.7389132848412519e-17,2.7389132848412519e-17,8.9651205382106521e-18,8.9651205382106521e-18,1.5134290343227021e-18,1.25964639403592e-18,6.2982319705577496e-19,2.4021372219169246e-22
1e-12,0.17823941260870385,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,5.5276075109376624e-17,6.6579430432060339e-18,5.5276075109376624e-17,5.3584439285997331e-17,5.3584439285997331e-17,1.753947303955043e-17,1.753947303955043e-17,2.9604319848098406e-18,2.4643878316523268e-18,1.2321939161171028e-18,9.2931062676407619e-22
1.023e-12,0.17823941260870385,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,5.6547061697867004e-17,6.8110319934996891e-18,5.6547061697867004e-17,5.4816529363838745e-17,5.4816529363838745e-17,1.7942765692987678e-17,1.7942765692987678e-17,3.0284914282887859e-18,2.5210525618469635e-18,1.2605262812263269e-18,9.6172213761308404e-22
2.047e-12,0.17823941260870385,89.099999999999994,0.0,0.0,0.0,0.99999999999999978,11.0,1.1313359502891692e-16,1.3626818302225889e-17,1.1313359502891692e-16,1.0967132239469121e-16,1.0967132239469121e-16,3.5898056002541736e-17,3.5898056002541736e-17,6.0571732129159246e-18,5.0438648942819235e-18,2.52193244956451e-18,3.8477454635313918e-21
4.095e-12,0.17823941260870385,89.099999999999994,0.0,0.0,0.0,0.99999999999999956,11.0,2.2630666169101676e-16,2.7258390919678284e-17,2.2630666169101676e-16,2.1938090845639611e-16,2.1938090845639611e-16,7.180863662164984e-17,7.180863662164984e-17,1.210877088207306e-17,1.0089489533668426e-17,5.0447447862175255e-18,1.5385717719274417e-20
8.191e-12,0.17823941260870385,89.099999999999994,0.0,0.0,0.0,0.999999999999999,11.0,4.526527950152162e-16,5.4521536154583061e-17,4.526527950152162e-16,4.3880008057980575e-16,4.3880008057980575e-16,1.4362979785986599e-16,1.4362979785986599e-16,2.4188951421522713e-17,2.0180738608844608e-17,1.0090369459336995e-17,6.1476664878743766e-20
1e-11,0.17823941260870385,89.099999999999994,0.0,0.0,0.0,0.99999999999999878,11.0,5.5261865321430718e-16,6.6562314897244858e-17,5.5261865321430718e-16,5.3570664365872356e-16,5.3570664365872356e-16,1.7534964177586527e-16,1.7534964177586527e-16,2.9503924734620968e-17,2.463754234611519e-17,1.2318771566838683e-17,1.0207624967001594e-19
1.6383e-11,0.17823941260870385,89.099999999999994,0.0,0.0,0.0,0.99999999999999789,11.0,9.0534506166361467e-16,1.0904782662439255e-16,9.0534506166361467e-16,8.7763842482662443e-16,8.7763842482662443e-16,2.8727212033629815e-16,2.8727212033629815e-16,4.8257642068786886e-17,4.0363235134947737e-17,2.018161880408758e-17,2.4533061657034217e-19
3.2767e-11,0.17823941260870385,89.099999999999994,0.0,0.0,0.0,0.99999999999999567,11.0,1.8107295949604096e-15,2.1810040756401131e-16,1.8107295949604096e-15,1.7553151133202599e-15,1.7553151133202599e-15,5.745567652891618e-16,5.745567652891618e-16,9.603142559524124e-17,8.0728215265889434e-17,4.0364117481748263e-17,9.7664922113235826e-19
6.5535e-11,0.17823941260870385,89.099999999999994,0.0,0.0,0.0,0.99999999999999134,11.0,3.6214986615539917e-15,4.3620556944324786e-16,3.6214986615539917e-15,3.5106684903075238e-15,3.5106684903075238e-15,1.1491260551948866e-15,1.1491260551948866e-15,1.9014886178798475e-16,1.6145807330804703e-16,8.072911474339477e-17,3.869519603821311e-18
9.999999999999999e-11,0.17823941260870388,89.099999999999994,0.0,0.0,0.0,0.99999999999998668,11.0,5.526044434263563e-15,6.6560603343762716e-16,5.526044434263563e-15,5.3569286873859385e-15,5.3569286873859385e-15,1.7534513291389976e-15,1.7534513291389976e-15,2.8623081083516001e-16,2.4636837524613816e-16,1.2318454742130943e-16,9.8222999350195032e-18
1.31071e-10,0.17823941260870388,89.099999999999994,0.0,0.0,0.0,0.99999999999998257,11.0,7.2430367947411235e-15,8.7241589320171705e-16,7.2430367947411235e-15,7.0213752442820204e-15,7.0213752442820204e-15,2.2982646350063262e-15,2.2982646350063262e-15,3.7285092512051573e-16,3.2291698953653217e-16,1.6145910853361139e-16,1.5188870011057778e-17
2.62143e-10,0.17823941260870388,89.099999999999994,0.0,0.0,0.0,0.99999999999996514,10.999999999999998,1.4486113061115259e-14,1.7448365407186403e-15,1.4486113061115259e-14,1.4042788752230888e-14,1.4042788752230888e-14,4.5965417946291652e-15,4.5965417946291652e-15,7.1753012601242697e-16,6.458286940415781e-16,3.2291909049641951e-16,5.855863016821555e-17
5.24287e-10,0.17823941260870396,89.099999999999994,0.0,0.0,0.0,0.99999999999993028,10.999999999999996,2.897226559386302e-14,3.4896778357524245e-15,2.897226559386302e-14,2.8085615768128133e-14,2.8085615768128133e-14,9.193096113874679e-15,9.193096113874679e-15,1.3338952027916745e-15,1.2916069706576024e-15,6.4583901302880003e-16,2.1833664927434749e-16
7.864310000000001e-10,0.17823941260870402,89.099999999999994,0.0,0.0,0.0,0.99999999999989542,10.999999999999995,4.3458418126610275e-14,5.2345191307861471e-15,4.3458418126610275e-14,4.2128442784024875e-14,4.2128442784024875e-14,1.3789650433120029e-14,1.3789650433120029e-14,1.8859898086214326e-15,1.9373219665010955e-15,9.6875887749921054e-16,4.4244847816440833e-16
9.999999999999999e-10,0.17823941260870413,89.099999999999994,0.0,0.0,0.0,0.999999999999867,10.999999999999993,5.5260302244751724e-14,6.6560432188409198e-15,5.5260302244751724e-14,5.3569149124653807e-14,5.3569149124653807e-14,1.7534468202768917e-14,1.7534468202768917e-14,2.2534181986968769e-15,2.4632370930402552e-15,1.2318419025694438e-15,7.0754602453434365e-16
