Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97)
0.0,0.25427746802792456,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.25427746802792456,89.099999999999994,0.0,0.0,0.0,1.0,11.0,7.2613411410509894e-25,1.9712657421566765e-24,7.2613411410509894e-25,7.1034016032957764e-25,7.1034016032957764e-25,1.6758436466223272e-25,1.6758435906135699e-25,8.6562323695605477e-25,7.3709457481008362e-25,3.685472874050295e-25,2.8234822284112274e-31,5.6008757158248916e-33,2.4042485738264064e-31,1.2021242869131629e-31
3.0000000000000002e-15,0.25427746802792456,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.3858692320596111e-24,6.4770160099433652e-24,2.3858692320596111e-24,2.333974812511469e-24,2.333974812511469e-24,5.5063434103305024e-25,5.5063430422729613e-25,2.8441897079974254e-24,2.4218813844088266e-24,1.2109406922043718e-24,1.8554309147867988e-30,3.6805754168804164e-32,1.5799345524792392e-30,7.8996727623959265e-31
7e-15,0.25427746802792456,89.099999999999994,0.0,0.0,0.0,1.0,11.0,5.2904056884800068e-24,1.4362078978570071e-23,5.2904056884800068e-24,5.1753354538297784e-24,5.1753354538297784e-24,1.2209717996819812e-24,1.2209715996507278e-24,6.3066755567911148e-24,5.3702536386902572e-24,2.6851268193450375e-24,1.0083854335035118e-29,2.0003125372950749e-31,8.5865928854363212e-30,4.2932964427180142e-30
1.5e-14,0.25427746802792456,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.1099478601320799e-23,3.0132204915823483e-23,1.1099478601320799e-23,1.08580567364664e-23,1.08580567364664e-23,2.5616467169798427e-24,2.5616458320417155e-24,1.3231629184176675e-23,1.1266982760134121e-23,5.6334913800668695e-24,4.4610902994912306e-29,8.8493812740360605e-31,3.7987028549911395e-29,1.8993514274955053e-29
3.1e-14,0.25427746802792456,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.2717624427002385e-23,6.1672456790330306e-23,2.2717624427002385e-23,2.222349930173964e-23,2.222349930173964e-23,5.2429965515755665e-24,5.2429928630009605e-24,2.7081464158518817e-23,2.3060379454867848e-23,1.1530189727433533e-23,1.8594542929251853e-28,3.6885746057178394e-30,1.5833605388004417e-28,7.9168026940019393e-29
6.300000000000001e-14,0.25427746802792456,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.5953916078365551e-23,1.2475296053934396e-22,4.5953916078365551e-23,4.4954384432286122e-23,4.4954384432286122e-23,1.0605696220767013e-23,1.0605681189634664e-23,5.4780844988513559e-23,4.6646926654295219e-23,2.3323463327146819e-23,7.5773317143345486e-28,1.5031132348259164e-29,6.452241446275039e-28,3.2261207231374092e-28
1.2700000000000001e-13,0.25427746802792456,89.099999999999994,0.0,0.0,0.0,1.0,11.0,9.2426499381091883e-23,2.5091396803737126e-22,9.2426499381091883e-23,9.0416154693379079e-23,9.0416154693379079e-23,2.1331095559149908e-23,2.1331034901812031e-23,1.1017845019795525e-22,9.3819036313596517e-23,4.6909518156796666e-23,3.0577592034795978e-27,6.0657337873488057e-29,2.603739879562135e-27,1.3018699397810234e-27
2.55e-13,0.25427746802792456,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.8537166598654457e-22,5.032359830334258e-22,1.8537166598654457e-22,1.81339695215565e-22,1.81339695215565e-22,4.2781894235915698e-23,4.2781650562199443e-23,2.2096903500832288e-22,1.8815931683883371e-22,9.407965841941367e-23,1.22834197833892e-26,2.4367371625817103e-28,1.0459564714817044e-26,5.2297823574083439e-27
5.11e-13,0.25427746802792456,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.712619991974499e-22,1.007880013025535e-21,3.712619991974499e-22,3.6318677625993683e-22,3.6318677625993683e-22,8.5683491589447268e-23,8.5682514830247491e-23,4.4253170374426696e-22,3.7682412403452319e-22,1.884120620172552e-22,4.9235625734296296e-26,9.7675919978046453e-28,4.1925069170263668e-26,2.0962534585131125e-26
1e-12,0.25427746802792456,89.099999999999994,0.0,0.0,0.0,1.0,11.0,7.2634158099484334e-22,1.9718289609401494e-21,7.2634158099484334e-22,7.1054311466110028e-22,7.1054311466110028e-22,1.6763224590927905e-22,1.6762846661015188e-22,8.6568035287090741e-22,7.3714321007988332e-22,3.685716050399292e-22,1.904874388856081e-25,3.7792991271936171e-27,1.6220367369633547e-25,8.1101836848164992e-26
