Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48)
0.0,0.2319855995828594,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.2319855995828594,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.6419946002410636e-22,8.9393270756857376e-23,1.6419946002410636e-22,1.5994450729874676e-22,1.5994450971384297e-22,4.4084140411336165e-23,4.4084138365326217e-23,3.9475956372554749e-23,3.3278188282824219e-23,1.663909414141196e-23,1.4113530349110064e-29,2.0460099469347487e-30,1.1897690744704083e-29,5.9488453723519875e-30,2.4150962398846236e-30
3.0000000000000002e-15,0.2319855995828594,89.099999999999994,0.0,0.0,0.0,1.0,11.0,5.3951251150777829e-22,2.9372074677253143e-22,5.3951251150777829e-22,5.2553194461770901e-22,5.255319604883413e-22,1.4484788992296175e-22,1.4484787647775376e-22,1.2970666742252346e-22,1.0934257955116512e-22,5.4671289775582078e-23,9.2746041901045145e-29,1.3445207950247519e-29,7.8184812554211437e-29,3.9092406277105382e-29,1.5870632328617793e-29
7e-15,0.2319855995828594,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.1963103516042037e-21,6.5129382979996089e-22,1.1963103516042037e-21,1.1653099130902805e-21,1.1653099993437132e-21,3.2118445156830637e-22,3.2118437849653365e-22,2.8761013805884938e-22,2.4245503354101431e-22,1.2122751677050609e-22,5.0405405643012133e-28,7.3071772702464825e-29,4.2491702314315143e-28,2.1245851157157383e-28,8.6253432858419471e-29
1.5e-14,0.2319855995828594,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.5099060317970544e-21,1.3664399958548199e-21,2.5099060317970544e-21,2.4448656954692977e-21,2.4448660770544569e-21,6.7385757485899569e-22,6.7385725158954399e-22,6.0341617607025606e-22,5.0867918007245364e-22,2.5433959003622452e-22,2.2299313306239636e-27,3.2326945162146647e-28,1.8798297033363467e-27,9.3991485166816511e-28,3.815851596995271e-28
3.1e-14,0.2319855995828594,89.099999999999994,0.0,0.0,0.0,1.0,11.0,5.1370973921827562e-21,2.7967323279645381e-21,5.1370973921827562e-21,5.0039766419629789e-21,5.0039782324759448e-21,1.3792038214403741e-21,1.3792024739977575e-21,1.2350246390691322e-21,1.0411244273599861e-21,5.2056221367998823e-22,9.2947098162209255e-27,1.3474426165102365e-27,7.8354304099813884e-27,3.9177152049906583e-27,1.5905129661092265e-27
6.300000000000001e-14,0.2319855995828594,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.0391480112954159e-20,5.6573169921839737e-21,1.0391480112954159e-20,1.0122196061894134e-20,1.012220254331892e-20,2.789896314603131e-21,2.7898908237060817e-21,2.4982271131394802e-21,2.1060027389751828e-21,1.0530013694875818e-21,3.7876194191545084e-26,5.4908970496354938e-27,3.1929591691529022e-26,1.5964795845764365e-26,6.4814247866508787e-27
1.2700000000000001e-13,0.2319855995828594,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.0900245554496966e-20,1.1378486320622847e-20,2.0900245554496966e-20,2.0358625009541235e-20,2.0358651165004869e-20,5.6112813009286449e-21,5.6112591427153155e-21,5.0245742549172867e-21,4.23571063149821e-21,2.1178553157490858e-21,1.5284552583243437e-25,2.215821333050865e-26,1.288486216197392e-25,6.4424310809869013e-26,2.6155463633131099e-26
2.55e-13,0.2319855995828594,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.191777643758258e-20,2.2820824977500589e-20,4.191777643758258e-20,4.0831443336051621e-20,4.0831548408376769e-20,1.1254051273579672e-20,1.1253962259304112e-20,1.0077037323794646e-20,8.4949315027712484e-21,4.2474657513855866e-21,6.1399886736691258e-25,8.9014275561792813e-26,5.1760045449409374e-25,2.5880022724704458e-25,1.0507232514389233e-25
5.11e-13,0.2319855995828594,89.099999999999994,0.0,0.0,0.0,1.0,11.0,8.3952838203753809e-20,4.570550229125608e-20,8.3952838203753809e-20,8.1776921714553179e-20,8.1777342895120569e-20,2.2539591218881728e-20,2.2539234408362918e-20,2.0181038689014787e-20,1.7012593662670062e-20,8.5062968313349544e-21,2.4610780850114168e-24,3.5681051880998111e-25,2.0746867675064645e-24,1.0373433837532229e-24,4.2118056740872058e-25
